,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o
129,"Відкрита до нових можливостей у сфері, що передбачає активну комунікацію з людьми. Володію знаннями ділового етикету та основами психології, що допомагає ефективно взаємодіяти в різних ситуаціях. У стресових або форс-мажорних обставинах залишаюсь спокійною та оперативно шукаю рішення. Шукаю роботу з гнучким графіком, не більше 5 днів на тиждень, з можливістю неповного робочого дня."
130,"PM ДП ""Е-консалтинг""

- Розробка плану проекту на основі зібраних вимог від замовника, визначення пріоритетів для команди.
- Підтримка життєдіяльності проекту, оцінка ризиків.
- Взаємодія з командою проекту, передача вимог від замовника, контроль виконання задач командою, проведення зустрічей команди.
- Взаємодія з клієнтом, проведення презентацій та демонстрацій рішення.
- Підготовка технічної документації по проекту.
- Робота з Jira, Confluence.
- Підготовка звітів по статусу проекту.

Ассount manager/Project coordinator ДП ""Е-консалтинг""

- Взаємодія з клієнтами компанії, побудова відносин.
- Розробка та ведення документації по проекту, ведення проекту в CRM системі.
- Організація технічної підтримки клієнтів.
- Документування проекту, підписання договорів, актів.
- Тестування продукту.

Помічник керівника ""ДП Е-консалтинг""

- Ведення ділового листування.
- Координація робочого графіку.
- Організація відряджень.
- Оформлення внутрішньої документації компанії.
- Організація роботи офісу.

Менеджер проекту ""МБФ ТОЧКА ОПОРИ""

- Організація проектів фонду, зокрема благодійного ярмарку для підтримки життєдіяльності фонду.
- Співпраця з волонтерами фонду, залучення волонтерів pro bono.
- Ведення сторінок фонду в Facebook.

Досвід впровадження контактного центру (більше 1000 операторів). Підтримка та розвиток платформи чат-ботів."
131,"Наймолодший співробітник у престижній юридичній фірмі з досвідом у юриспруденції, управлінні та викладанні. Успішно реалізовані проєкти, затверджені мерією міста. Отримав 200 балів за ЗНО."
132,"Підвищив прибуток клієнта з $500 до $70,000 на платформі Amazon.  
Створив понад 50 прибуткових рекламних кампаній.  
Понад 100 задоволених клієнтів.  
Досвід ведення численних проєктів одночасно, керівник маркетинг-студії повного циклу (створення сайтів, зйомка, монтаж відео, SMM, SEO, створення Telegram-ботів, дизайн, контекстна реклама).  
Постійний розвиток лінгвістичних та м'яких навичок.  
Сприяв розвитку таких компаній:  
- Liga Zakon  
- Metabo  
- Cherry Auto  
- Merx  
- Ayana Wellness  
Керування проєктами веб-розробки, управління виконавцями, спілкування з замовниками, бріфінг, формування технічних завдань, звітність перед керівництвом."
133,"Досвід навчання на курсах проектного менеджера від IAMPM на курсі DAO PM:

- Ініціювання проекту з розробки мобільного додатку для доставки їжі від концепції до реалізації.
- Визначення та реалізація критеріїв успішності проекту відповідно до стандартів управління проектами.
- Координація роботи команди, планування завдань та ресурсів для досягнення цілей проекту.
- Оптимальне використання інструментів та методологій управління проектами для досягнення найкращих результатів.
- Лідерство в команді."
134,"Досвід роботи

Посада: Junior Project Manager  
Компанія: City5 Consulting  

Обов'язки:  
- Ініціювання та управління проєктами  
- Вирішення проблем і усунення технічних неполадок  
- Аналіз та оцінка потреб клієнтів  
- Оцінка доходів та відповідності клієнтів  
- Збір та передача необхідної документації у відділ обробки  
- Підготовка звітної документації по проєкту  "
135,"Курси:
- PM
- QA
- MINI MBA

Досягнення:
- Розробка mobile CRM системи (замовник - США) для замовлення перукарських послуг до стадії User Acceptance Testing
- Розробка невеликої mobile CRM системи (замовник - Україна) для зчитування та перевірки QR-кодів
- Розробка десктопної CRM системи (замовник - Україна) для замовлення квітів
- Координування проведення UX-дизайну десктопної CRM системи (замовник - Україна)
- Участь у розробці десктопної ERP-системи (замовник - Україна) для заводу металоконструкцій з впровадженням обліку та контролю інформації, прийняття та обробки замовлень, відслідковування залишків, бухгалтерські розрахунки
- Підготовка єстімейтів для нових проектів

Досвід роботи: 1,5+ роки
- Успішний досвід розробки програмного забезпечення (CRM і ERP системи) з командою розміром 10+ членів
- Досвід роботи з віддаленою командою
- Роль Scrum Master та керування подіями Scrum
- Використання продуктів Atlassian (JIRA, Confluence)
- Управління, звітування, моніторинг (Trello, Toggl)
- Risk management
- People management

Навички:
- Project Management
- Scrum

Очікування від роботи:
- Приносити користь команді
- Бути залученим до досягнення мети, яка стоїть перед компанією."
136,"Розробка лендінгів з розробниками, ТЗ, корекція, слідкування виконування всіх пунктів. Великий досвід з модерацією та контент наповненням товарів з різних ніш, та б.у. товарів. Гарне володіння управлінням сайту.

Досвід роботи

Legion Marketing
07.2023 — по поточний час

Досягнення:
- Планування місяця/тижня, контроль успішності та KPI
- Згуртування, мотивація підлеглих
- Допомога співробітникам у складних ситуаціях
- Спілкування, узгодження ТЗ/бріфування з існуючими клієнтами
- Супровід по наданню послуг

Project Manager
«Ломбард 24» «Афинаж ЛТД и компания»
12.2022 — 07.2023

Досягнення:
- Аудит корпоративних магазинів (5шт) на майданчику пром.юа, аналіз вивантаження товарів з 1С та їхня автоматизація, поліпшення видачі в пошуку на платформі.
- Створення лендінгів з різних ніш з 0, від ідеї до реалізації та налаштування реклами.
- Збір конверсії, поліпшення результатів
- Робота над сайтом-майданчиком з 0 (аналог розетки), SEO, контент, реклама, функціонал і оформлення.
- Розробка партнерської програми для трафіку.
- Робота з Serpstat: аналіз конкурентів, PPC ключових слів і оголошень.

Контент-Модератор удаленно
BOO
1 рік 2 місяці

Досягнення:
- Модерування оголошень постачальників, вся техніка, телефони, годинники, міксери, перфоратори, кавоварки, ноутбуки, планшети тощо.
- Пошук моделі та характеристик за фото, якщо їх не зазначено, відправлення на доопрацювання відповідно до правил компанії.

Linkbuilder
Фриланс удаленно

Досягнення:
- Крауд маркетинг, аутріч, робота з Ahrefs, Majestic, Check Trust.
- Робота з біржами посилань.
- Підбір донорів під різні СНД проєкти.
- Створення ТЗ копірайтерам. Робота з Google інструментами.

Главный администратор сайта
Apsen Diamond
11 місяців

Досягнення:
- Заповнення контентом: Картки товарів, seo ключі, заголовки h1, написання новин, коригування інформативних сторінок, створення банерів.
- Оновлений дизайн Інстаграм за погодженням з директором.

Обов'язки як Асистент Директора:
- Консультація щодо планів робіт (Програміст, Seo, Ppc, Контент, Smm), затвердження бюджетів, рішень, змін і подальших дій.
- Перевірка виконуваних робіт, аналіз Google Ads \ Analytics, Fb Ads."
137,"Продаж, планування, контроль та видача сотень індивідуальних замовлень кенді барів та тортів, включаючи десятки проєктів з новими технологіями. Впровадження інновацій для досягнення wow-ефекту: металеві та акрилові конструкції, LED та неонові підсвітки, 3D друк.

Досвід роботи понад 4 роки на посаді адміністратора ресторану-кондитерської. Тісна співпраця з event-management, перемовини та продаж продукту (Candy bar and cake). Вивчення вимог замовника, планування та розробка унікальних проєктів тортів в Україні (антигравітаційні торти, торти-гіганти, торти з неоновими підсвітками). Використання графічних редакторів для візуалізації проєкту (Figma, CorelDraw, SketchUp). Організація роботи команди, співпраця з посередниками та швидке вивчення специфіки їх діяльності. Постійний контроль якості роботи та дотримання термінів, управління ризиками, ведення фінансового обліку проєкту, організація логістики."
138,"ОФІСНА НЕРУХОМІСТЬ

1. Впровадив CRM систему (AmoCRM) на минулій роботі, що покращило організацію роботи та управління проектами, спростило комунікацію та співпрацю між відділами та стейкхолдерами.
2. Уклав угоди з оренди офісної нерухомості загальною площею приблизно 3000 м² протягом першого року роботи.
3. Уклав 2 угоди з продажу офісної нерухомості загальною площею 1000 м², що стало першим досвідом продажу в компанії.

КОУЧІНГ

1. Забезпечив позитивні зміни в житті та кар'єрі 8 клієнтів за програмою «Наставництво».
2. Провів 35 індивідуальних консультацій з розвитку навичок та підвищення мотивації.
3. Допомагав клієнтам досягати балансу між роботою та особистим життям, встановлювати пріоритети та планувати завдання.
4. Сприяв розвитку навичок управління стресом та підтримував клієнтів у складних ситуаціях.
5. Створював мотиваційне середовище для клієнтів, впроваджуючи техніки мотивації.
6. Розкрутив професійний блог в Instagram до 2229 підписників, TikTok до 27,4 тис. підписників, Telegram канал до 1513 підписників.

ДОСВІД РОБОТИ В КОУЧІНГУ

Обов'язки:

1. Розробка та управління коучинговими програмами для досягнення цілей клієнтів.
2. Визначення потреб клієнтів, аналіз ситуації та встановлення цілей.
3. Забезпечення співпраці з клієнтами, підтримка та мотивація.
4. Підтримка клієнтів у розвитку потенціалу та вирішенні проблем.
5. Оцінювання прогресу клієнтів, надання фідбеку та спрямування на розвиток.
6. Ведення блогу для просування себе як лайф коуча.
7. Розробка стратегії просування особистого бренду через блог.

ДОСВІД РОБОТИ В ОФІСНІЙ НЕРУХОМОСТІ

Обов'язки:

1. Комунікація зі стейкхолдерами для успішної реалізації проєктів.
2. Координація внутрішніх процесів та комунікація з відділами.
3. Реалізація проєктів оренди з використанням Agile методології.
4. Планування та контроль бюджету проєктів.
5. Аналіз ринку нерухомості та підготовка звітів.
6. Ведення системи CRM для організації даних про клієнтів.
7. Впровадження CRM системи (AmoCRM) для покращення організації роботи.

ЦІЛІ ТА ІНТЕРЕСИ

Я зацікавлений у переході до сфери інформаційних технологій, зокрема в управлінні проектами як Assistant Project Manager або Junior Project Manager. Готовий почати з низького рівня, щоб навчитися більше про роботу в цій сфері та отримати досвід під керівництвом досвідчених фахівців. Маю базові знання з управління проектами та вивчаю технологічні тенденції в ІТ галузі. Шукаю можливість приєднатися до динамічної організації, де мої навички та потенціал можуть бути використані на повну силу."
139,"[Ваше ім'я]

Контактна інформація:
[Ваш телефон]
[Ваш email]
[Ваш LinkedIn профіль]

Мета:
Прагну зайняти позицію assistant/junior Project Manager з можливістю професійного зростання та розвитку в команді, з метою ведення окремого проекту через рік.

Досвід роботи:

1. Досвід роботи в органах державної влади (10 років)
   - Участь у впровадженні системи якості ISO 9001:2000
   - Адміністрування сайту
   - Ведення інвестиційних проектів
   - Проведення реєстраційних дій для фізичних осіб-підприємців та юридичних осіб
   - Робота з профільною документацією щодо отримання дозвільних документів

2. Досвід у сфері електронної комерції
   - Спільні закупівлі товарів з США
   - Реалізація товарів через Instagram, Olx, Shafa

Громадська діяльність:
- Допомога у зборі коштів для Благодійної організації ""Місто Добра"", що піклується про дітей та сім'ї в біді

Особисті досягнення:
- Подолала дистанцію в 10 км, попри те, що не дуже люблю біг
- Організувала сортування сміття вдома, з метою ефективного використання вторсировини та турботи про екологію

Освіта та додаткове навчання:
- Додатково вивчала Agile, Scrum, курс IMPM

Навички:
- Управління проектами
- Командна робота
- Адміністрування веб-сайтів
- Ведення документації
- Електронна комерція

[Дата]."
140,"Досвід роботи в управлінні проектами з розробки сайтів (4 роки) та на посаді помічника менеджера проектів. Основні проекти - розробка веб-сайтів. В команді понад 3 спеціалістів, паралельно вела від 3 проектів одночасно. Координую проект протягом життєвого циклу, готую проектну документацію. Працюю в CRM Bitrix24, також мала досвід роботи з Worksection."
141,"Один з проектів став лауреатом премії «Людина року - 2017»

Досвід роботи координатором будівельних проектів (квартальна забудова)

Професійний ріст, вирішення складних завдань у неформальній обстановці."
142,"Здатність до швидкого освоєння нової інформації та активного навчання. Здатність швидко адаптуватися до нових задач, вимог та робочих процесів. Здатність працювати самостійно і взяти на себе ініціативу.

Досвід роботи:

- Оформлення страхових актів.
- Комунікація з клієнтами через Bitrix24, Viber, електронну пошту та телефон.
- Врегулювання особистих видів страхування, включаючи фінансові ризики.
- Сплата та оформлення рахунків за допомогою 1С ОперКонтур.
- Взаємодія з партнерами.
- Забезпечення документообігу, включаючи обробку паперових документів.

Навчання і професійний розвиток:

- Інтерес до навичок та знань у сфері управління проектами, а також можливості для особистого і професійного зростання.

Комунікація і співпраця:

- Ефективне спілкування з різними зацікавленими сторонами, включаючи членів команди, клієнтів та постачальників.
- Бажання працювати в команді і досягати спільних цілей.

Організаційні навички:

- Планування, організація та керування проектами з дотриманням термінів і бюджету.

Лідерські якості:

- Інтерес до ролі лідера в команді та здатність стимулювати і мотивувати інших досягати успіху.

Знання проектного менеджменту:

- Інтерес до основних принципів, методологій та інструментів проектного менеджменту, таких як SCRUM, Agile."
143,"Досвід роботи у сфері IT Project Management - 1 рік. До початку повномасштабної війни мав досвід роботи з UI/UX проектами, зосереджуючись на дизайні за допомогою Figma. Останнім часом працював на аутсорс-проектах у геймдеві, займаючись 3D моделюванням та 2D дизайном."
144,"[Ваше ім'я]

[Контактна інформація]

Мета:
Розпочати кар'єру в ІТ як проджект менеджер, використовуючи досвід в аккаунт менеджменті та продажах, а також знання, здобуті на курсах з проджект менеджменту.

Освіта:
- Курси з проджект менеджменту: практичні та теоретичні знання.

Досвід роботи:
- Аккаунт менеджер: Управління відносинами з клієнтами, забезпечення їх задоволеності, підтримка довгострокових партнерств.
- Менеджер з продажів: Розробка та впровадження стратегій продажів, досягнення та перевищення цілей.

Навички:
- Швидке навчання, здатність розбиратися з новими темами.
- Сильні особисті навички: лідерство, комунікація.
- Знання з проджект менеджменту.

Досягнення:
- Два рази підвищена на попередніх посадах.
- Лідер у підгрупі на курсах.

Бажання:
Отримати практичні навички в ІТ та розпочати кар'єру в цій галузі."
145,"Амбіційна та енергійна спеціалістка з великим бажанням розвиватися у сфері Project Management. Закінчила з відзнакою курси у Hillel IT School. Швидко навчаюсь та відповідально ставлюсь до поставлених завдань. Відзначаюсь вмінням швидко освоювати нову інформацію, добре комунікую з колективом, цілеспрямована."
146,Розробка та впровадження систем навчання та адаптації персоналу. Постійне проведення проектів з навчання персоналу та впровадження онлайн-платформи для цих цілей. Досвід у проектній діяльності у сфері розробки та впровадження систем навчання персоналу. Пройшла навчання в Genius Space у 2022 році. Прагну розвиватися в сфері Project Management. Цікавить розвиток на посаді РМ.
147,"[Ваше ім'я]

Контактна інформація:
[Ваш номер телефону]
[Ваш email]

Освіта:
- Курси для початківця Project Manager, Hilel

Досвід роботи:
- Стажер QA, [назва компанії], [дата початку] - [дата закінчення]
  - Виконання завдань під керівництвом досвідчених спеціалістів
  - Забезпечення якості продукту в команді

- Робота в Німеччині, [назва компанії], [дата початку] - [дата закінчення]
  - Спілкування з іноземними колегами
  - Виконання завдань у міжнародному середовищі

Навички:
- Командна робота
- Спілкування з іноземцями
- Базові знання Project Management

Мета:
- Отримати практичний досвід у сфері Project Management, готовий працювати заради досвіду та практики."
148,"Побудував будівельну компанію з нуля, яка зараз працює майже автономно.

Маю 6 років досвіду в управлінні проектами в будівельній сфері, включаючи:
- Проектування
- Розробку графіків робіт (діаграма Ганта)
- Бюджетування
- Організацію постачання
- Ведення переговорів з клієнтами
- Здачу об'єктів

Шукаю цікаву роботу, що дозволить розвиватися."
149,"Життєзабезпечення офісу  
Співпраця з постачальниками  
Закупівля обладнання та витратних матеріалів  
Ведення документації  
Контроль справності офісного обладнання  
Контроль якості роботи персоналу  
Ведення фінансової звітності  
Організація корпоративних заходів  
Відкриття та запуск філіалу  
Ведення графіку роботи спеціалістів  
Управління соціальними мережами компанії  
Допомога в організації відряджень  
Співпраця з громадськими організаціями  
Організація виїзних заходів"
150,"Професійний досвід у fashion e-commerce з 2017 року, зосереджений на напрямку Маркетплейс (B2C, dropshipping) протягом останніх трьох років. Основні обов'язки включають управління операційною частиною проєкту: аналітика, взаєморозрахунки з партнерами, участь у зустрічах з постачальниками та логістичними партнерами. Відповідаю за супровід IT-проєктів, необхідних для розвитку Маркетплейс. Маю досвід комунікації з IT-відділом та роботи в Jira і Confluence. Впевнений користувач Excel. Прагну розвиватися в напрямку Project manager."
151,"Разом з командою реалізувала проект по створенню хмарної інфраструктури.

Під час початку карантину приймала участь в переводі компанії на віддалену роботу.

Пройшла курси:

- Administering System Center Configuration Manager (Microsoft Official Course 20703-1)
- Routing and Switching Essentials (CCNA Routing and Switching)
- Junior Project Manager (Laba)
- Product-менеджер (Laba)

З 2018 року і до сьогодні працювала за технічним напрямком, була інженером інфраструктури в телекомі, працювала в технічній підтримці хмарного провайдера. Обов'язки включали: налаштування фізичного обладнання, створення внутрішньої мережі для компанії та замовників, написання скриптів розмов з клієнтами, аналіз ринку конкурентів та потенційних партнерів, створення графіків роботи команди та розподілення задач в технічній структурі. В телекомі займаюсь адмініструванням додаткових сервісів в мережі GSM. До початку роботи в технічному напрямку мала досвід роботи в диспетчерському центрі, де навчилась вирішувати конфліктні ситуації з клієнтами та грамотно аналізувати їхні потреби.

Бажаю змінити вектор з технічного на проектний, оскільки багаторічний досвід в технічній сфері втратив для мене цікавість, і я прагну зосередитися на проектах та взаємодії в команді."
152,"[Ваше ім'я]

**Контактна інформація:**
[Ваш телефон]  
[Ваш email]  
[Ваш LinkedIn профіль]  

---

**Освіта:**

**Київський національний університет імені Тараса Шевченка**  
- Магістр за спеціальністю ""Системний аналіз""  
- Бакалавр за спеціальністю ""Системний аналіз""  

---

**Досвід роботи:**

**Junior Project Manager, ArchiCGI**  
Червень 2023 - Вересень 2023  
- Керування кількома мультизадачними проєктами одночасно  
- Управління командою та розподіл людських ресурсів  
- Розбиття проєктів на задачі та координація їх виконання  

**ERP-консультант (Стажування), Innoware**  
- Вивчення принципів роботи з NAV Microsoft Dynamics  
- Успішне завершення стажування на позиції ERP консультанта/бізнес-аналітика  

---

**Навички:**
- Управління проєктами  
- Командна робота  
- Бізнес-аналітика  
- Робота з Microsoft Dynamics NAV  

---

**Мови:**
- [Вкажіть мови, якими володієте]  

---

**Додаткова інформація:**
- [Вкажіть будь-яку іншу релевантну інформацію, якщо є]"
153,"Освіта:  
Віденський Університет, один з найстаріших та найпрестижніших вишів німецькомовного простору. Навчання велося німецькою мовою.

Досвід роботи:  
- Організація питань у сфері гастрономії під час підробітків під час навчання у Віденському Університеті, Австрія.  
- Відповідальність за організацію наукових проектів у групах з колегами під час навчання.

Навички:  
- Більше року вивчаю веб-розробку.  
- Вміння організовувати та підтримувати проекти від стадії зародження до досягнення запланованих результатів.  
- Забезпечення прозорої комунікації з замовниками та командою.  
- Застосування навичок, інструментів та методологій для своєчасного завершення проекту в рамках запланованого бюджету.

Мета:  
Професійний розвиток та досвід в ІТ, робота над цікавими проектами та здобуття нових знань."
154,"[Ваше ім'я]

Контактна інформація:
[Ваш телефон]
[Ваш email]
[Ваш LinkedIn профіль]

Освіта:
- Київський Політехнічний Інститут, спеціальність: Журналістика
- Спеціальність: Міжнародне право

Досвід роботи:
- Юридичний консультант у Благодійному фонді: надання юридичних консультацій, складання нормативно-правових документів
- Фітнес-тренер та дієтолог: розробка індивідуальних програм тренувань та харчування

Благодійна діяльність:
- Участь у численних благодійних проектах, включаючи організацію заходів для 2000 людей, зокрема молоді з інвалідністю
- Втілення проекту ""Несемо віру"" для соціалізації дітей соціально-вразливих категорій
- Організація фестивалів-рекордів, таких як ""Казкові мрії""
- Засновник ГО ""Школа волонтера""

Наукова діяльність:
- Дослідження кіберзлочинності в Україні та за її межами з акцентом на захист прав людини

Мовні навички:
- Вільне володіння: англійська, французька, українська, російська
- Вивчаю: іспанська
- Наявність сертифікатів міжнародного зразка

Особисті якості:
- Креативність, відповідальність, швидке навчання
- Лідерські якості, комунікабельність, швидка адаптація
- Бажання працювати, творити, спілкуватися з пресою та ЗМІ

Бажана робота:
- Використання знань англійської та французької мов
- Можливість реалізації лідерських якостей та креативних ідей."
155,"[Ваше ім'я]

Контактна інформація:
[Ваш телефон]
[Ваш email]

Мета:
Шукаю можливість працювати дистанційно, проявити себе, навчитися нового і вирости професійно.

Досвід роботи:

1. Розробка проєктної документації у програмі AutoCAD для зовнішнього електропостачання енергетичних об'єктів.
2. Проведення розрахунків нормального режиму роботи Центральної енергетичної системи та підготовка звітів.
3. Збір інформації для планування та проведення заходів з нагляду за роботою енергетичних об'єктів та споживання електроенергії. Звітування перед керівництвом.

Навички:
- Впевнений користувач ПК та офісних програм

Освіта:
[Ваша освіта]

Додаткова інформація:
Готовність до дистанційної роботи."
156,"Project Coordinator в IT компанії

Досвід:
- Ефективна координація внутрішніх команд у плануванні та виконанні завдань
- Професійне ведення бізнес листування англійською мовою
- Чітке уточнення та формулювання завдань для команд
- Постійний моніторинг та контроль ходу проєкту
- Оперативне вирішення питань, що виникають у процесі реалізації проєкту"
157,"[Ваше ім'я]

Контактна інформація:
[Ваш номер телефону]
[Ваш email]
[Ваш LinkedIn профіль]

Освіта:
- Магістр [Ваші спеціальності], [Ваші університети]
- Онлайн-інститут Projector, IT Project Management

Досвід роботи:
- Керівництво великими командами (до 40 осіб)
- Реалізація проектів у державному секторі

Навички:
- Ефективна робота з людьми
- Швидке освоєння нових знань та навичок

[Додаткова інформація, якщо є]."
158,"Знання англійської мови на високому рівні. Закінчила курси PM на першому місці серед групи в Hillel school.

Розробила з нуля проєкт вебсайту для ІТ компанії: підготувала всі необхідні документи, розписала цикли та допоміжні документи, оформила етапи. Створила варфрейми та підготувала фінальну презентацію.

Наразі працюю на позиції супервайзера. В мої обов'язки входить постановка завдань та контроль за їх виконанням для співробітників контактного центру. Під моїм керівництвом знаходиться 20 фахівців. Також займаюся їх навчанням та опрацюванням помилок.

Мої фахівці займають провідні місця в проєктах протягом останнього року. Бажаю розвиватися в сфері проєктного менеджменту або бізнес-аналізу."
159,"- Замовлення поліграфічної та сувенірної продукції, контроль термінів відвантаження та якості продукції.
- Організація зйомок: пошук моделей, візажиста, локації, письмові домовленості, організація додаткових елементів, контроль логістики одягу, робота на зйомці як організатор, дотримання бюджетів.
- Робота з 1С, виконання завдань від керівника.
- Планування зустрічей, ведення робочого календаря Директора, логістика.
- Ведення соцмереж компанії (Facebook, Instagram, LinkedIn).
- Обробка великих масивів інформації, підготовка презентацій, вакансій, офферів.
- Пошук підрядників, перевірка на надійність.
- Ведення та контроль документообігу, ділова комунікація на онлайн та офлайн зустрічах.
- Службові доручення керівника, офіс-менеджмент."
160,"Освіта: юрист.

Досвід роботи: 8 років в освітній сфері. Кандидат юридичних наук, асистент кафедри адміністративного та інформаційного права.

Обов'язки: проведення лекцій та практичних занять для студентів бакалаврів та магістрів з адміністративного, транспортного та інформаційного права.

Наукова діяльність: автор понад 15 наукових статей, опублікованих в українських та закордонних виданнях.

Додаткова освіта: закінчила курс Project Management в IT від Beetroot Academy, тривалістю 4 місяці. Готова застосовувати отримані знання на практиці."
161,"Освіта: Юрист

Досвід роботи: 5 років

Досвід роботи в компанії проектного типу: 1,5 роки

Курс: IT Project Management (WEB Academy)

Останні півтора роки працювала в юридичній компанії, де за кожним юристом був закріплений клієнт та проект. В компанії були присутні всі традиційні стадії проектного менеджменту: ініціація, планування, виконання, моніторинг та контроль, завершення.

Функціональні обов'язки за стадіями:

Стадія пресейл:
- Аналіз юридичного ринку та пошук потенційно нових проектів
- Підготовка пітчей
- Комунікація з потенційними клієнтами та роз'яснення
- Підготовка комерційної пропозиції

Стадія ініціація:
- Визначення дорожньої карти по проекту та строків виконання
- Визначення відповідальних осіб
- Планування роботи та узгодження з виконавцями

Стадія виконання/моніторинг/контроль:
- Розробка стратегії по проекту
- Постійна комунікація з клієнтами
- Уточнення деталей
- Внесення змін та пропозицій
- Виправлення помилок молодших юристів

Стадія завершення:
- Подача документу до відповідного органу
- Відповідь на запити
- Отримання встановленого результату

Після року роботи на посаді юриста підвищена до позиції Старшого юриста. Окрім проектної роботи та керування молодшими юристами, займалась організаційною діяльністю компанії: написання прес-релізів для сайту, відвідування заходів, спілкування з партнерами.

Мета: Розвиток як проектний менеджер в традиційних та сталих умовах. Прийняла рішення піти з позиції Старшого юриста та знайти роботу, де зможу зосередити всі сили на розвитку в цій професії.

Особисті якості: Швидко навчаюсь, готова до будь-якого виклику."
