Unnamed: 0,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free
13477,"Key Achievements:
- Spearheaded over 20 projects as Head of Business Analytics, driving process refinement and client partnerships
- Developed and implemented enhanced project management processes, fostering collaboration with clients and internal teams
- Built and maintained successful partnerships with prominent Ukrainian banking clients, including Alfa Bank, Ukrsotsbank, Aval Bank, Bank Credit Dnipro, and Idea Bank
- Designed and implemented loan portfolio segmentation, yielding an 8-10% increase in work efficiency
- Created and deployed a scoring model leveraging 50+ indicators, resulting in a 15% reduction in costs and a 20% increase in efficiency
- Successfully integrated a call center and legal team into a unified, high-performing unit

Summary:
Results-driven Head of Business Analysis with 8 years of combined experience in IT and the financial sector, including 4 years as a Project Manager and 4 years in IT.

Key Competencies:
- Systemic and critical thinking
- Effective communication skills
- Creativity and adaptability
- Perfectionism with a strive for excellence
- Strategic planning expertise
- Proactive leadership
- Team-oriented approach

Professional Experience:
- Head of Business Analytics
  - Managed task assignment and implementation for the Business Analytics team and developers
  - Coordinated sprint planning and workload distribution
  - Optimized and controlled processes
  - Collected and formalized requirements in the System Requirements Specification (SRS)
  - Formed labor costs and planned resources for project implementation
  - Created instructional documentation for users and software administrators

Career Aspirations:
Seeking a dynamic company with engaging projects and modern implementation approaches, emphasizing collaboration and results-driven teamwork."
13537,"Training and Internships
Coordinated training and internship programs for new staff members to ensure seamless integration into the company.

Project Development
Coordinated tasks to drive project development, ensuring timely completion and meeting deadlines.

Team Management
Managed a team of junior customer service representatives, setting goals and objectives, and monitoring progress to achieve outstanding results. Provided knowledge about new products and services, and presented new information to the team through working groups and chats.

Reporting and Analysis
Prepared monthly reports (KPIs) on subordinate operators' performance, and analyzed data to inform work process planning. Identified problems and developed recommendations for their elimination, ensuring continuous improvement.

Interdepartmental Communication
Facilitated communication between departments to provide quick and high-quality solutions to customer inquiries, finding the best solutions for each issue.

Customer Support
Delivered exceptional online customer support and consultation, handling a wide range of customer requests via chats, tickets, messengers, and social networks. Responded to customer questions and queries, demonstrating passion and responsibility, and resolving complex service issues.

International Customer Service
Communicated with clients from English-speaking regions, including India, Australia, Canada, Nigeria, and Pakistan, providing tailored solutions to their needs.

CRM Systems
Utilized CRM systems in various capacities, leveraging proven experience in delivering exceptional customer service and turning problems into solutions.

Adaptability
Demonstrated ability to quickly adapt to new programs (CRM) and changes in work processes, ensuring seamless transition and continuous improvement."
13893,"Results-Driven Sales Leader

Summary:
Dedicated professional with a proven track record of driving revenue growth and building high-performing teams, offering expertise in B2B sales, business development, and team management.

Achievements:
- Generated $1,000,000 in revenue within 9 months
- Built a high-performing lead generation and sales team in 4 months
- Implemented OKR and KPI frameworks to drive performance and track progress

Key Strengths:
- Leading B2B sales and business development from lead generation to customer support
- Managing sales, business development, and account management teams
- Negotiating and closing deals
- Planning and budgeting
- Managing partnership programs
- Advocating for company products

Available for personal meetings to explore potential opportunities in detail."
13897,"Commercial Director
International Trading Company (4 years)

Results-driven leader of a high-performing team, driving business growth and success
Directed all commercial operations, developing and implementing strategic plans
Key account management, contract negotiation, and supplier/buyer relations
Fostered strong international partnerships
Cross-functional collaboration with sales, marketing, finance, and logistics teams to ensure organizational alignment and coordination"
14744,"Results-driven professional with extensive experience in managing changes in large trading and manufacturing companies, leveraging expertise in business analysis and system analysis to drive project success.

Key accomplishments include:
- Developed and implemented management resource systems based on MRP II principles, resulting in the elimination of out-of-stock raw materials, increased production planning efficiency, and minimized force majeure occurrences.
- Oversaw and automated operational activities in a chain of grocery and electronic supermarkets, encompassing corporate directory administration, marketing promotions, and loyalty programs.
- Implemented address storage, goods consignment accounting, and Warehouse Management Systems (WMS) in logistics centers, leading to reduced errors in warehouse operations and enhanced service levels.
- Designed and implemented systems such as Sales & Operations Planning (S&OP), WMS, Supply Chain Management (SCM), and Business Intelligence (BI) in distribution companies, resulting in increased business efficiency.

Proven track record of managing projects at the intersection of business and system analysis, with expertise in areas including warehouse logistics, supply chain management, production management, sales, shipping, production, and supply planning, as well as budgeting.
Skilled in designing and implementing various systems, including CIS, consolidated accounting, MRP II, ERP, WMS, CRM, BI, and MDB.
Experienced leader with a history of organizing specialized divisions and leading teams of up to 20 programmers and analysts.
Successfully managed IT projects in four countries remotely, establishing and consolidating management accounting systems.
Seek a company that values analytical expertise, with a principle of consulting analysts when faced with uncertainty.
With a background in solving complex problems and correcting errors, I am confident in my ability to address existing challenges and contribute to a dynamic and forward-thinking organization."
14862,"Results-Driven Executive 
11+ Years of Business and Project Management Experience

Key Achievements:
- Built a company from scratch, forming an effective team that fulfilled the annual plan for 7 months
- Achieved significant revenue growth of 102% and increased net profit by 58% of planned indicators
- Developed and implemented a successful rebranding strategy, resulting in a new structure and regulations
- Optimized business processes, reducing costs by 30%

Professional Expertise:
- Business and Project Management: 11+ years
- Innovative Technologies and Entertainment Industry: 3+ years
- Media and Fashion Business: 8+ years
- People Management: 10+ years, leading teams of 5 to 500+ persons

Operational Management:
- Building operational processes from scratch and managing operations
- Business processes systematization and automation
- Digitization of documents
- Financial performance management

International Experience:
- Managed international projects and teams from France, Italy, Great Britain, UAE, USA, Germany, Saudi Arabia, and Spain"
14882,"Results-driven entrepreneur and seasoned project manager with 7+ years of experience in local and international IT companies. Founder and CEO of two software technology startups, with expertise in various business roles, including HR, finances, tech development, legal, marketing, fundraising, and business partnerships.

Proven track record of successfully launching web and mobile products for local and international companies, from concept phase to marketing stage. Skilled in creating tailored marketing strategies, including referral programs, cash back campaigns, and offline partnerships.

Key experience includes:
* Managing 10+ IT projects, acting as main coordination point for internal and external stakeholders
* Leading technical teams towards successful roadmap implementation within allocated resources
* Working in fast-paced, dynamic, and agile business environments, managing cross-functional local and remote teams

Passionate about innovation, optimization, and automation, with a focus on making a positive social impact through revolutionary products. Interested in projects that disrupt old and inefficient ways of thinking and working, excluding fintech projects unless related to blockchain transformation.

Seeking a challenging opportunity for personal growth and career development with an ambitious business or organization that prioritizes social corporate culture and career development opportunities."
14890,"Business Analyst & Project Manager

Summary:
Results-driven professional with experience in business analysis, project management, and team leadership, proven to optimize workflows, develop analysis methods, and improve marketing strategies.

Experience:

Business Analyst
- Collected, consolidated, analyzed, and documented requirements for 1C Enterprise
- Utilized oral and written communication with company employees for business process analysis and documentation
- Optimized 1C Enterprise workflow and interacted with 1C developers

CEO | Business Analyst | Project Manager
- Collected, consolidated, analyzed, and documented client requirements
- Engaged in verbal and written communication with local and global development teams
- Participated in project management, coordination, and interaction with other teams
- Developed analysis methods for marketing costs and effectiveness, technical tasks, and functional responsibilities for project development
- Researched new approaches to optimize existing processes and worked with CRM systems for data collection and analysis
- Launched a charitable NFT project, conducting market research, building SEO structure, and UX prototyping, while managing teams for these projects

Project Manager | Business Analyst
- Collected, consolidated, analyzed, and documented client requirements
- Developed SEO structure and usability of website design, coordinating and interacting with other teams
- Created a marketing strategy and searched for new approaches to optimize existing processes
- Developed a CRM system for data collection and analysis

Owner | CEO | Business Analyst
- Disseminated information about internet opportunities and developed business models
- Created SEO structure and usability of website design, organized company documentation, hired, and distributed functional responsibilities
- Developed marketing strategies and worked on marketing campaigns, searching for new approaches to optimize existing processes
- Developed a CRM system for data collection and analysis

Skills:
- Business analysis and process optimization
- Project management and team leadership
- Marketing strategy development and implementation
- CRM system development and data analysis
- SEO structure and website design
- Communication and team coordination
- Analysis method development and technical task management"
14906,"Results-driven Development Director with 6 years of experience in the restaurant business, complemented by a background in politics and project management. Proven track record of driving revenue growth and process improvement.

Positions:
Development Director in the restaurant business
Political Worker
Project Manager, Organizer, Head of Partnership Department, PR Specialist
Business Owner, Director

Key Achievements:
Generated over UAH 10,000,000 in revenue for the company through partnership activities within a month
Led a team that achieved a 10-fold increase in company revenue over a year, from UAH 100,000 to UAH 1,000,000
Successfully systematized and automated company processes, implementing 45 staff efficiency indicators and task management systems for project work, resulting in increased income and project completion rates

Language Skills:
Ukrainian: Fluent
Russian: Fluent
English: B2/C1
German: Beginner
Spanish: Beginner

Education:
Bachelor of International Relations"
14907,"Transformation of businesses and departments into systematic forms, leveraging knowledge from multiple MBA courses
Results-driven leader with a proven track record of driving userbase growth at 10%+ per month through product development and management
Experienced in managing crypto portfolios with market-neutral strategies, achieving 5%+ monthly profitability
Successful in raising funds for fixed income allocation, ventures, and directional trading
Product owner and manual trader for algotrading bots, allocating portfolios of bitcoins and USD to achieve 50% annual profits with a maximum 5% equity drawdown
Proven ability to forecast stock market direction, crises, EUR/USD, and oil price direction with a 1-year upfront accuracy
Strong analytical and technical skills, with proficiency in websockets, REST, API, python, and excel macros
Familiarity with various software and tools, including ClickUp, Coda, Jira, Confluence, Slack, Miro, Teams, Discord, Zoom, Bloomberg, Ctrader, Metatrader, and TradingView
Career spanning over 14 years, starting in investment banking as an Analyst and progressing to Portfolio Manager
2 years of experience in business development in a classical bank, focusing on B2B sales
Founded own hedge fund in 2013, marking the beginning of a career in crypto
Transitioned to IT in 2017, developing algotrading bots at crypto exchanges
Joined a prominent crypto exchange in 2021, rapidly advancing from Business Analyst to Product Manager and Head of Liquidity, with key contributions to Listings and Liquidity products
Aspiring to take on more responsibility as a CEO, Head of Product, CTO, or Head of Sales, with a focus on growth and development
Seeking a company with an effective solution to the Principal-Agent problem, ensuring alignment of interests and goals"
14914,"CEO / Project Manager
LLC «ДБК-7» (2017-2022)
- Coordinated and managed high-performing teams
- Provided comprehensive project support throughout the entire life cycle
- Conducted negotiations at all levels to achieve project goals
- Managed contractual processes and ensured compliance
- Obtained necessary permitting documentation from state bodies
- Participated in and organized tenders to secure project opportunities
- Developed and managed project plans and budgets
- Conducted risk analysis and implemented effective risk management strategies
- Organized and facilitated meetings to drive project progress
- Developed and implemented marketing strategies and generated reports
- Oversaw commissioning processes to ensure project completion

Deputy Head of the Own Forces Department
LLC «KAN BUD» (2012-2017)
- Planned and coordinated department and construction site activities to achieve operational efficiency
- Implemented cost-saving and profit-maximizing strategies to drive business growth
- Optimized processes to improve productivity and efficiency
- Analyzed financial activity to inform business decisions
- Managed budgeting, tenders, contracts, and estimates to ensure fiscal responsibility
- Verified and approved ""КБ-2"" to ensure compliance
- Managed procurement processes to ensure timely and cost-effective delivery
- Collaborated with contractors and project organizations to drive project success
- Planned and controlled deadlines to ensure timely project completion
- Reviewed and adjusted pricing policy to ensure competitiveness and profitability"
14916,"Results-driven CEO with 8+ years of experience leading CitySites, a multinational company with over 200 employees and 115 branches across seven countries. Proven track record of driving companies into new markets and developing major projects, with operations in Ukraine, Kazakhstan, Comoros, and Lithuania.

Recognized as one of Ukraine's best young media managers by Talent Advisors and mmr.ua in partnership with PwC. Key strengths include:
- High self-motivation and proactive approach
- Results-driven mindset with persistence and team player skills
- Expertise in active sales, including customer service, presentations, and handling objections
- Staff recruitment and training
- Business process analysis and modeling for company development
- Preparation and writing of necessary documentation

Digital marketing expertise includes:
- SEO
- Internet Marketing
- PPC
- SMM

Skilled in project management, with a focus on delivering results and driving growth, having managed teams of up to 200 people."
14930,"Certified Project Manager, Scrum Master, and Team Leader
3+ years of experience in managing projects and leading teams

Summary:
Results-driven professional with a proven track record of delivering successful projects on time, within budget, and with high-quality results. Skilled in project management, team leadership, and stakeholder communication. Experienced in working with big, demanding clients such as Siemens.

Achievements:
* Successfully Reversed Client Dissatisfaction and Expanded Project Portfolio: Turned around two projects with Siemens, exceeding expectations and delivering high-quality results on time and within budget, leading to expanded cooperation and additional projects.
* Successful Growth of Junior Teams into Skilled Mid-level Professionals: Developed and implemented a comprehensive training program, mentoring junior teams to transition into mid-level professionals, delivering results on par with more experienced counterparts.

Experience:
Project Manager, Scrum Master, and Team Leader
- Managed project timelines, resources, and budgets to ensure high-quality deliverables
- Created project plans, set team goals, and delegated tasks to ensure successful project completion
- Monitored team performance, identified potential issues, and took corrective action as necessary
- Managed stakeholder expectations and provided regular project updates
Business Analyst
- Gathered and translated client business requirements into user stories and process diagrams
- Communicated requirements to development teams and collaborated with UX teams to ensure design compatibility
- Moderated and facilitated client meetings and workshops, identifying challenges and recommending improvements
Quality Assurance Engineer
- Contributed to the development of a clinical communication tool and a product for identifying licensed code areas
- Ensured products met necessary quality standards and specifications

Skills:
* Project management
* Team leadership
* Stakeholder communication
*.Net and NodeJS
* Project planning and execution
* Team performance monitoring and issue resolution
* Business analysis and requirements gathering
* Quality assurance and testing

Certifications:
* Certified Project Manager
* Scrum Master
* Team Leader"
14932,"Blue Prism Professional Developer Certificate
Summary:
Results-driven RPA developer with 5 years of experience, skilled in process automation, technical leadership, and software development, driving efficient solutions and technical excellence.

Technical Skills:
- Process scope identification
- Robust architecture design
- End-to-end development following industry best practices
- Production process maintenance
- Technical support provision
- Detailed documentation creation
- Node.js back-end development
- Express.js
- MS SQL
- Sequelize ORM

Experience:
- Successfully delivered a complex RPA and data processing solution to an international client, implementing it across multiple regions including Europe, Asia, and Australia
- Served as Project Manager, leading an RPA team in delivering automation solutions for a global EU client
- Leveraged technical expertise to automate the monitoring of Blue Prism processes for a web solution, enhancing proficiency and broadening automation skill set"
14939,"Results-Driven Scrum Master & Project Manager

Highly accomplished and certified Scrum Master with over 8 years of experience driving excellence in Agile-based projects at the world's largest IT company. Proven track record of successful project leadership, knowledge sharing, and dual role management.

Key Achievements:
- Successfully guided a challenged project as Scrum Master, ensuring on-time delivery and program adherence through process improvements and resource management.
- Actively contributed to Agile community events, sharing expertise on Agile metrics analysis, Scrum-Kanban integration, effective Retrospectives, and Agile certification preparation.
- Earned distinguished Agile certifications: Professional Scrum Master II (PSM II), Professional Scrum with Kanban I (PSK I), and Kanban System Design (KSD).
- Demonstrated excellence in a dual role as Scrum Master and Resource Manager for a 34-member team, achieving outstanding results in project delivery and people management.

Summary:
Experienced and self-motivated Scrum Master with a strong background in Agile methodologies and Kanban. Skilled in coaching and mentoring teams, leveraging Agile/Scrum/Kanban practices, and utilizing Agile metrics tools such as PERF, Azure DevOps, Jira, and XLS. Proficient in project management activities, including timelines, resource planning, road map creation, risk management, hiring, and project status reporting.

Career Objective:
Seeking a challenging and dynamic role as a Scrum Master or Project Manager in an organization that embraces Agile methodologies, where I can leverage my expertise and experience to drive exceptional results and foster a culture of collaboration, continuous improvement, and innovation.

Expertise:
- Agile methodologies and Kanban
- Scrum framework implementation
- Coaching and mentoring teams
- Agile metrics analysis and utilization
- Project management activities
- Stakeholder management
- Scope and prioritization management
- Team performance optimization
- Collaboration and innovation

Certifications:
- Professional Scrum Master II (PSM II)
- Professional Scrum with Kanban I (PSK I)
- Kanban System Design (KSD)"
14947,"Certifications:
PMP
PMI-ACP
PSM I

Results-Driven Program Manager
PMP, PMI-ACP, and PSM I certified professional with 8 years of experience in managing development teams and delivering successful web, mobile, and API projects for clients across the USA, Great Britain, and Western Europe.

Proven expertise in managing projects for small, mid-sized, and enterprise-level companies, with a strong focus on process development, people management, and problem-solving. Adept at collaborating with cross-functional teams, senior management, and key stakeholders to drive project success.

Key strengths include:
- Process development and improvement
- Effective people management and team leadership
- Strong problem-solving and analytical skills
- Excellent communication and interpersonal skills, with a focus on building long-term client relationships through transparency and professionalism

Preferred work environment characteristics:
1. Minimal bureaucracy
2. Support for work-life balance
3. Opportunities for personal and career growth
4. Competitive compensation package"
15180,"Results-driven professional with experience in managing teams and implementing cloud-based project management tools.

Key Experience:
- Supervised and managed teams of 10 or more individuals, including project managers and IT developers, to drive project success, foster collaboration, and enhance productivity.
- Implemented and managed Cloud Jira for numerous employees, creating projects and providing training to ensure effective system adoption and utilization.
- Developed and implemented controls for accurate and contemporaneous working time records, and maintained time record management.
- Led a project to support apartment participants in utilizing Cloud Jira and modernized the Pearson VUE certification center to align with current industry standards.
- Designed, developed, and implemented a Service Desk system, demonstrating IT service management expertise, and conducted thorough testing for quality and functionality.
- Contributed to testing a mobile food ordering application, identifying and reporting bugs, and ensured quality and functionality of a training company's website.
- Successfully managed the Service Desk system implementation project from conception to completion and developed business processes to enhance operational efficiency.
- Participated in audits for compliance with ISO 9001, ISO 27001, and CISCO Golden Partnership standards.

Skills:
- Cloud Jira implementation and management
- Team management and supervision
- Service Desk system development and management
- Business process development
- Compliance auditing for ISO 9001, ISO 27001, and CISCO Golden Partnership
- Project management
- IT service management
- Staff training and development
- Quality assurance and testing
- Time record management and control
- Mobile application testing
- Website testing and quality assurance
- Certification center management and modernization"
15240,"Results-driven executive with 15+ years of experience in IT, offering expertise in SAP ERP R/3, BI, AI, and Data Science. Proven track record of managing Data Science teams and delivering complex projects, including SAP ERP R/3, MS Axapta, MS Navision, QuickBooks EE, Sage Line 50, and 1C implementations. Skilled in AI and Data Science, with expertise in Business Statistics, Data Science and Machine Learning for Business, Text Mining, Natural Language Processing, Recommendations Systems, Fraud Detection, Clinical Trials and Diagnostics, Drugs Development, Games Analytics, Computer Vision, Deep Learning, Object Detection, Text Recognition from Images in Computer Vision, SparQL, Geolocations from main Geocoders, 3D Modelling, and proficient in R, Python, SPSS, MiniTAB, SAS, JMP, OriginPro, and Statsgraphics. Held C-level positions, including Chief Operating Officer, Chief Financial Officer, Chief Strategy Officer, and Chief Performance Officer. Also held senior-level positions, including Senior Project Manager, Senior Business Analyst, and Senior Data Scientist. Collaborated with team members from Ukraine, Russia, USA, UK, Germany, Turkey, India, China, and Belarus. Proficient in project management, with knowledge of Project Management Institute (PMBOK 6) and various Bodies of Knowledge, including BABOK and PMBOK. Educated with Higher Technical and double Higher Economical degrees, as well as a Ph.D. and twice Post-Graduate degrees in Engineering and Economics. Ready to work as CFO, COO, CPO, CMO, Senior Project Manager, Senior Business Analyst, or Senior Data Scientist. Offering services in Digital Marketing, Web Development, Developers and Teams Performance Management, and Code Metrics. Ready to establish an IT Development Department in Ukraine (Kharkov) for foreign companies and developer teams. Seeking long-lasting projects, preferably at product companies, to raise businesses to higher levels using Data Science for Business and Modern Business Management."
15339,"Results-Driven Digital Advertising Specialist

Summary:
Highly experienced digital advertising professional with 6 years of experience in Facebook Ads, 2 years in Google Ads, 1.5 years in Yandex.Direct, 1 year in myTarget and VK ads, and 3 years of team management experience.

Experience:
Digital Advertising Specialist
- Managed and executed advertising campaigns across multiple platforms, including Facebook, Instagram, VKontakte, Telegram, Viber, and YouTube
- Successfully grew social media presence, increased website traffic, and drove sales for online grocery supermarket products
- Optimized campaigns for app installs on Google Play and App Store, and maximized income from traffic arbitrage
- Developed and implemented strategies for player retention in social casino platforms
Team Management
- Led a team of professionals for 3 years, focusing on growing and monetizing communities on various social networks and messengers
- Utilized expertise in digital advertising to guide team members and drive campaign success

Skills:
- Digital Advertising: Facebook Ads (6 years), Google Ads (2 years), Yandex.Direct (1.5 years), myTarget (1 year), VK ads (1 year)
- Team Management (3 years)
- Social Media Marketing
- Traffic Arbitrage
- App Install Campaigns
- Player Retention Strategies
- Online Sales Optimization"
15419,"Manager with solid business experience, possessing 8 years of experience in the telecom sector, primarily focused on enterprise large systems. Proven track record of developing new solutions from idea to successful implementation.

Work Experience:

Chief Operating Officer, NDA, Ukraine (Sept. 2020 - Present)
- Managed and controlled operating activities of the company and its divisions
- Formed strategic goals, developed and implemented business plans, assessed possible risks, and optimized business processes
- Achieved strategic goals
- Worked with a team, building processes
- Promoted products

Project Manager, Scrum Master, NDA, Ukraine (Mar. 2020 - Sept. 2020)
- Managed the company's financial result
- Monitored budget execution and the company's cost optimization plan
- Ensured smooth operation of the company, including telemarketing, order processing service, design department, IT, accounting, and finance
- Conducted quality control of performance according to service contracts
- Attracted new clients and projects, and launched them
- Communicated effectively with customers
- Coordinated daily work of employees, set tasks, deadlines, and monitored implementation
- Developed and controlled application of regulatory documents, including instructions, rules, standards, and contracts
- Maintained records and internal reporting
- Worked with a team, building processes
- Promoted products

Head of Sales Department, Ukraine (Sept. 2018 - Mar. 2020)

Team Lead, Dealer Department, Kharkiv, Ukraine (Apr. 2016 - Sept. 2018)

Head of Corporate Sales, Eastern Region, Ukraine (Nov. 2009 - Apr. 2016)

I thrive in environments where team members are positively disposed and ready to work jointly towards set goals, achieving them, and enjoying joint successes."
15425,"Results-driven executive manager with 10+ years of experience in operations, business development, and employee relations, serving as the right-hand to the owner and Chief Operations Officer in various industries, including IT, Consulting, IoT Products, Horeca, Manufacturing, Parcel Locker Chains, and Logistics.

Key accomplishments:
- Implemented an effective system for achieving company goals, from strategic sessions and financial planning to decomposition into small daily tasks
- Created a corporate culture with elements of gamification, resulting in the successful implementation of three B2B projects in parallel in two countries and the creation of 4 new products within 6 months
- Implemented a system culture of continuous learning and automated various processes using tools such as 1C, CRM, bots, Jira, and Slack in HR, procurement, production, project implementation, customer service, finance, and Sales
- Successfully implemented Scrum for a team of 200 people in several countries using Atlassian products, including Jira, Confluence, and Slack
- Launched a KPI system to track the efficiency of each specialist and team, with an impact on financial motivation
- Managed the implementation of three major projects in the B2B segment, from product creation to launch and further support
- Managed the acquisition of short-term loans for complex products and closed long-term overdue receivables with several clients, totaling $200,000
- Launched a production line, including negotiations and contract conclusion with contractors, and managed the launch process
- Created an effective system for launching new projects, allowing for the calculation of budgets, risks, and strategy, and enabling informed management decisions

Core skills:
- Planning: OKRs, SMART, decomposition
- Project Management: Agile, Scrum, Kanban, Less, Waterfall, Safe
- Project Delivery: negotiations, finance reports, execution, risk management, problem-solving, legal support, B2B sales
- Executive team management: coaching, leadership, cross-functional teams
- Finance management: PL, Cashflow, Forecasting, Unit Economy, Accounting
- Team Building: Recruitment, HR, Talents development, Compensation & Benefits
- Operations Management: Team culture, KPI, Motivation systems
- Business Development and Scaling
- Automation: Peopleforce, Pipedrive, Jira, Confluence, Slack

Expertise in addressing challenges:
1. Starting a new business or scaling to a new country
2. Launching a new direction in a company and leading it to efficiency
3. Transitioning from manual team management
4. Structuring processes and implementing automation
5. Managing complex projects with cross-functional teams
6. Implementing a champion culture in a company
7. Creating stable and working planning using strategic sessions, OKR, SMART, and day-to-day activities
8. Implementing KPI, metrics, and motivation systems
9. Teaching and guiding teams in these areas"
15426,"Results-driven IT professional with 15+ years of experience, specializing in the development of finance-related projects, including binary options, Forex, and cryptocurrencies. Proven track record of successfully managing remote teams and handling multiple projects simultaneously.

Key Experience:
- Remote Project Manager (almost 10 years)
- Remote Chief Operating Officer (4 years)
- Advertising and Marketing Manager (1.5 years)
- Software Tester and Reviewer (4 years)
- Support Service Representative (2.5 years)

Expertise:
- Development of finance-related projects
- Remote team management
- Process building and maintenance
- Multitasking and project coordination

Career Highlights:
- Managed remote teams and projects, ensuring efficient operation and delivery
- Developed and implemented operational processes to enhance company performance
- Collaborated on diverse projects, including review websites, Forex, binary options, and cryptocurrencies

Geographic Experience:
- Served customers in the UK, Canada, USA, and Europe

Career Goals:
- Seeking challenging projects that leverage new technologies
- Focused on career growth opportunities and professional development
- Attracted to roles offering competitive salaries and opportunities for advancement"
15474,"Results-driven professional with a proven track record of driving growth and improvement, leveraging key strengths in rapid learning, technical expertise, and team leadership.

Key Achievements:
- Achieved a significant increase in sprint completion rate from 55% to 117%, with a sustained average of 101.5%, demonstrating ability to drive improvement.
- Successfully built and managed a social platform for fans in the Eurozone, navigating complex registration and servicing requirements despite strict controls on Ukrainian citizens.
- Implemented budget cuts while maintaining team size, enabling the company to secure funding and acquire new clients during the coronavirus pandemic.

Technical Expertise:
- Sole PM capable of addressing tokenization-related questions, with in-depth knowledge of Visa and Mastercard tokenization, gained through 2 years of experience, and expanded expertise in cryptography.
- Led a high-load project utilizing AWS-based serverless architecture, leveraging Node.js, Vue.js, React.js, and React Native.js to deliver the final product, with key performance metrics including MAU, ARPU, CAC, Churn/Conversion, and retention rates.

Leadership Experience:
- Proven team management skills, with experience leading teams of up to 11 people, defining priorities, and managing planning.
- Utilized Agile methodology to manage a team of up to 6 people and drive a product beyond the breakeven point.

Interests and Strengths:
- Bringing initiative, creativity, and new ideas to projects, with a strong interest in sports, lifestyle, and potentially healthcare, prioritizing product companies."
15519,"Results-driven technology leader with 12 years of professional experience in Internet technologies and 5+ years in management. Proven track record of building and leading high-performing teams of 20+ people, including programmers, administrators, and Q&A specialists. Skilled in budgeting, strategy development, and office infrastructure architecture, with a strong focus on security and supporting high-load projects.

Delivered numerous projects of varying complexity, adapting to different markets and environments, including the USA, Ukraine, Russia, Kazakhstan, Azerbaijan, and Georgia. Proven ability to work with diverse clients and teams to drive project success.

A seasoned professional seeking challenging opportunities in fast-growing markets or environments that leverage technical expertise and leadership skills, with a preference for startup environments and relocation opportunities that foster professional growth and new experiences."
15524,"Summary:
Results-driven engineering leader with 17 years of experience in enterprise projects and 11 years of leadership, specializing in banking, healthcare, robotics, and automotive sectors. Proven track record of establishing and streamlining teams, directing application planning and execution, and spearheading distributed teams across time zones and countries.

Experience:
Engineering Leader
- Established and streamlined DevOps, Backend, QA, and Frontend teams
- Directed enterprise applications and monitoring architectures planning and execution
- Spearheaded distributed teams across time zones and countries
- Accumulated 17 years of experience in enterprise projects, with 11 years in engineering leadership and 8 years specializing in banking, healthcare, robotics, and automotive sectors

Technical Skills:
- Development: Java, NodeJS, PHP, Bash, Python, Angular
- Databases: SQL, NoSQL, DWH, PLSQL
- Software Architecture: Microservice, Messaging, Legacy Wrappers
- DevOps practices: Docker, GitLab, GitHub, Jenkins, Bitbucket
- Cloud: AWS, Azure, GCP, DigitalOcean
- Monitoring: Splunk, ELK, Grafana, Prometheus, Nagios, Zabbix
- Web: Apache, nginx, tomcat, glassfish
- OS: Linux (deb, rpm, apt), Windows, MacOS

Management Skills:
- Frameworks: Waterfall, Agile (Scrum, Kanban), SAFe, XP
- Risk management, Project estimation and planning, Presales
- Team building, hiring, managing
- Documentary: MD, Wiki, Confluence
- Tickets: ServiceNow, Jira, Trello, Redmine

Career Objective:
To leverage my skills in project management, data analysis, and technical expertise to secure a role where I can make a significant impact on product development and user experience, simplifying and improving products to meet evolving consumer needs and enhancing user satisfaction and business profitability."
15589,"Results-driven IT leader with a proven track record of delivering successful projects and building high-performing teams.

Key Achievements:
- Created and implemented an IT service from scratch, supporting thousands of corporate users across a modern holding company.
- Successfully led large-scale implementation projects, including a 34-company rollout with 20,000 staff across 250 km, completed within 8 months.

Technical Expertise:
CIO, PM, Business Analyst
SAP ERP, OEBS, Hyperion, Parus, 1C, custom software
MS Project, Jira, AzDo, Clarity PPM, ConnectWise Manage (Agile, Waterfall, Hybrid)

Industry Experience:
Proven experience working with large Ukrainian and international companies in IT, consulting, oil production/refinery, fertilizers, mining, insurance, and NGO sectors.

Leadership:
- Directly supervised up to 65 employees simultaneously.
- Led project teams of approximately 250 FTEs in the largest project.
- Excellent stakeholder management skills.

Transformation and Optimization:
- Successfully managed business transformations, personnel optimizations, and cost reductions.
- Protected information assets from external interference, including enforcement agencies.

Aiming to leverage my expertise to become a valuable asset to your team."
15679,"Daria Malinina

Summary:
Results-driven and highly motivated individual with international experience in communication and collaboration, possessing a unique blend of skills in teaching, delegation, and creative problem-solving.

Language Skills:
- Chinese
- Italian
- English
- Two additional languages

Professional Experience:
- Theater Critic
- Art Manager
- Journalist

Education:
Three full-time higher education degrees from institutions in three different countries

Skills:
- Teaching
- Delegation
- Education
- Epistolary art
- Creative problem-solving
- Interpersonal communication
- Intuition in beauty and style

Personal Qualities:
Results-driven, hardworking, with a natural taste in beauty and style, and developed intuition in interpersonal communication

International Experience:
Seven years of living abroad in China and Italy, with visits to 23 countries worldwide

Career Objective:
Seeking a challenging and respectable position to utilize my skills and knowledge, available to start immediately"
