,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5
3155,"Agile Transformation Lead
Directed agile transformation initiative across multiple teams with 50+ personnel, establishing and facilitating organizational adoption of agile methodologies and best practices

Scrum Master
Managed 5 cross-functional teams in parallel, facilitating daily standups, sprint planning, and retrospectives to enhance team collaboration, communication, and delivery velocity

Project Management
Managed multiple concurrent projects in accordance with PMBOK standards and industry best practices, ensuring strategic alignment with organizational objectives and successful project outcomes"
3156,"**Scrum Master & Organizational Leadership**

- Enhanced efficiency and self-management across 3 teams by removing blockers, strengthening acceptance criteria standards, reducing inter-departmental dependencies, and facilitating effective, time-boxed Scrum events that consistently deliver sprint increments and drive productivity

- Defined product and sprint goals with 3 Product Owners while managing Product Backlogs, executing sprint planning, and strengthening stakeholder communication and engagement

- Optimized organizational development through agile methodology guidance, implementation of best practices, process design and optimization, tool configuration and adaptation, cross-departmental coordination, recruitment support, team relationship building, and removal of organizational obstacles to enable seamless collaboration"
3157,"# GULNAR ABASOVA

## EDUCATION
**Master's in International Project Management**
Vilnius University
Lithuanian State Scholarship Recipient

## PROFESSIONAL EXPERIENCE

**Scrum Master** | 1 Year
- Facilitated Scrum events including sprint planning, backlog refinement, and sprint retrospectives
- Managed project schedules and coordinated product owner grooming sessions
- Ensured adherence to Agile and Scrum principles across cross-functional development teams
- Oversaw communication and information exchange between product owners, developers, and testers
- Supported team in achieving 2x improvement in delivery speed through successful transition to Agile methodology
- Managed self-organizing, cross-functional teams across remote and in-office environments
- Contributed to Fintech projects including internal sales systems and online banking applications
- Integrated stakeholder feedback to drive continuous process improvements

## TECHNICAL SKILLS
- Project Management Tools: Jira Atlassian, Notion, MS Project
- Product Development Lifecycle: Idea generation, UX research, wireframing, QA, debugging
- Methodologies: Agile, Scrum

## INTERESTS
- Agile management and methodology expansion
- Development team collaboration, particularly in start-up environments"
3158,"• 5+ years of hands-on experience managing distributed teams of up to 40 FTE; 3 years in a Scrum Master role
• Certified SAFe® 5 Scrum Master and Advanced Scrum Master; Certified AgilityHealth® Facilitator for SAFe®
• Expert facilitator of Scrum Ceremonies with proven expertise in removing impediments and establishing collaborative team environments
• Skilled coach of agile teams, fostering self-organization, cross-functional development, and high-performance team culture
• Proficient in project management best practices, including regular reporting, project status tracking, risk management, and metrics collection
• Strong builder and maintainer of trustful client relationships with expertise in organizational communication and strategic meeting facilitation
• Experienced in people management, resourcing, and project recruitment
• Demonstrated problem-solving, analytical, and research capabilities"
3159,"# Resume

**AGILE PROJECT MANAGER & SCRUM MASTER**

Results-driven Agile Project Manager and Scrum Master with proven success leading cross-functional teams of varying sizes on diverse projects, delivering on-time completion with desired business outcomes.

**Core Competencies**
- Team Leadership & Development
- Process Definition & Optimization
- Stakeholder Communication
- Adaptive Project Management
- Milestone & Schedule Management

**Professional Strengths**
- Exceptional team building and relationship management abilities
- Strong communication and stakeholder engagement skills
- Highly adaptable to evolving project requirements and organizational changes
- Demonstrated flexibility in adjusting methodologies based on project specifications and client goals

**Key Achievements**
- Led multiple teams across various projects to on-time completion with desired business outcomes
- Aligned team efforts with business objectives and tracked progress to ensure milestone achievement
- Selected and implemented appropriate processes and tools tailored to project requirements"
3160,"# PROFESSIONAL SUMMARY

Accomplished IT leader with 12+ years of industry experience spanning all project lifecycle phases: initiation, planning, implementation, monitoring, control, maintenance, and closure. Proven expertise in directing cross-functional teams of 30+ engineers and building engineering organizations from the ground up.

## CORE COMPETENCIES

- **Experience & Leadership**: 12+ years professional IT experience; 11+ years IT Management; Team leadership and mentorship; Building and scaling engineering teams
- **Agile Expertise**: 4+ years Agile implementation; Proficient in Scrum, XP, and Kanban methodologies; Scrum Master and Product Owner roles; Agile community leadership and advocacy
- **Project Management**: Expertise across all project stages; Waterfall and Agile methodologies; Project Management tools; Consistent track record of successful project delivery
- **Development Models**: Experience in outsource and product development environments
- **Professional Certifications**: CSM, CSPO, ICP-APM

## KEY STRENGTHS

- Expert-level soft skills and leadership capabilities
- Demonstrated success managing complex, multi-team initiatives
- Proficiency in Agile frameworks, practices, and methodologies
- Commitment to Agile value evangelization"
3161,"# Project Manager

**Professional Summary**

Proactive project manager with 10+ years of experience in international product and IT companies. Proven expertise spanning the entire project lifecycle from pre-sale and product conception through successful launch. Skilled at building and maintaining relationships across diverse teams and departments while prioritizing client needs and team development.

**Core Competencies**

- Full-scale project management
- Multi-project oversight (5+ simultaneous projects)
- Distributed team leadership (up to 50 people)
- Client relationship management
- Cross-functional collaboration
- Agile project delivery

**Professional Experience**

- Delivered 20+ projects of varying sizes and complexity across IT and product companies
- Successfully released 5+ products within the past year, including platforms, marketplaces, mobile applications, and websites
- Led distributed teams across multiple international locations
- Demonstrated high personal initiative and proven ability to quickly master subject matter in new domains
- Built and maintained effective stakeholder relationships across diverse organizational areas"
3162,"# Professional Resume

**Senior Scrum Master & Project/Delivery Manager**

**Leadership & Agile Management**
Senior Scrum Master managing up to 5 teams (35 FTE) with portfolio-level management, risk management, and release and delivery planning expertise. Agile Coach in LeSS setup for 1 product area (6 teams), responsible for organizing workflow, coaching Product Owners, facilitating multi-team events, and team development. Led 30+ team members across internal teams with focus on process management, team coaching, and administrative and technical project support.

**Project & Delivery Experience**
Project/Delivery Manager with full-cycle project expertise across multiple domains including ERP implementation (CRM, sales, logistics, and finance) at Carlsberg Ukraine. Implemented UPS logistics for 60 distributors and provided support and consulting to 3000+ users. Participated in automation projects for Ukrtelekom spanning record-keeping, finances, and management. Proficient with both time and material and fixed-price engagement models. Collaborated closely with Product Owners and stakeholders on business processes and project objectives.

**Technical Competencies**
Technical specification writing, software maintenance documentation, system configuration, and testing. Proficiency in SQL, HTML, CSS, JavaScript, React, .NET, and Core. Experience with GitHub, Jira, and TFS. Web and desktop platform development expertise across multiple domains.

**Additional Skills**
User training and stakeholder presentations. Server administration and tendering. Process improvement and optimization. Professional English proficiency."
3186,"# PROFESSIONAL EXPERIENCE

- Managed and coordinated up to 30 projects while maintaining high standards of quality and efficiency
- Orchestrated large-scale data operations projects, ensuring seamless collaboration between customers and data labeling teams
- Developed and implemented production-grade data labeling pipelines and optimized annotation workflows for efficiency and accuracy
- Tracked key metrics, addressed customer concerns promptly, and delivered superior results
- Evaluated and optimized data labeling workforce performance, providing guidance to maximize productivity and achieve outstanding outcomes
- Conducted regular calls with customers and service providers to build strong relationships and facilitate effective communication
- Calculated customer budgets and estimated costs for service providers, promoting financial transparency and cost-efficiency
- Created comprehensive statements of work (SOW) and ensured ongoing stakeholder alignment with clear project deliverables
- Monitored industry trends and emerging technologies, providing recommendations for product enhancements and process optimizations
- Supervised the Data Labeling Quality Assurance team, upholding stringent quality standards and fostering continuous improvement
- Collaborated with service providers to cultivate strong partnerships and drive successful project delivery
- Fostered a collaborative and inclusive work environment through exceptional leadership
- Managed substantial workloads through outstanding organizational and multitasking abilities to meet deadlines and achieve project milestones"
3225,"PROFESSIONAL SUMMARY

Experienced marketing and marketplace professional with expertise across multiple niches. Proven track record managing 10+ cases, including 6 developed from inception. Skilled in reputation management with proprietary process methodology.

PROFESSIONAL EXPERIENCE

AMAZON MARKETING MANAGER
DIGIORANGE – Brooklyn, NY, USA
January 2022 – Present

MARKETING PROJECT MANAGER
TBI-PRO – Chicago, IL, USA
September 2021 – January 2022

MARKETPLACES PROJECT MANAGER
FDS-IT – Staten Island, NY, USA
December 2018 – September 2021

AMAZON MANAGER
SHOPPING CART ELITE – Brooklyn, NY, USA
2015 – 2018"
3315,"# PROFESSIONAL SUMMARY

Results-driven Business Analyst with expertise in requirements management, stakeholder engagement, and agile methodologies. Proven ability to translate business needs into comprehensive solution documentation and manage project scope effectively.

# CORE COMPETENCIES

**Business Analysis & Requirements Management**
- Requirements Communication
- Use Cases and User Stories Writing
- Business, Functional, and Non-Functional Requirements Collection, Analysis, and Documentation
- Solution Scope Definition and Management

**Process & Planning**
- Business Needs Definition
- Planning Business Analysis Activities
- BPMN (Business Process Model and Notation)
- Solution Assessment and Validation

**Stakeholder & Project Management**
- Stakeholder Analysis and Engagement
- Elicitation Activities Conducting
- Project Management
- Knowledge Transfer to Stakeholders

**Methodologies**
- Agile
- Scrum

**Technical Skills**
- Excel
- Visual Basic (VB)"
3321,"**COMMODITY MARKET RESEARCH ANALYST-SPECIALIST**
Kyivstar Private Joint Stock Company

• Managed marketing research projects from conception through delivery
• Conducted negotiations and consultations with customers regarding research requirements
• Coordinated with external contractors and internal stakeholders
• Maintained and organized project documentation and records
• Conducted market research and budget planning initiatives
• Performed database management and query development based on specified parameters
• Analyzed telecom market trends and compiled primary and secondary marketing information

**RESEARCH MANAGER**
Silpo-Food LLC (Fozzy Group)

• Directed marketing research projects encompassing qualitative and quantitative methodologies
• Consulted with customers on research design and study parameters
• Designed and executed ad-hoc and longitudinal research studies
• Developed and programmed survey questionnaires
• Processed and analyzed research data from multiple sources
• Created and prepared comprehensive reporting materials and documentation
• Presented research findings and insights to stakeholders
• Supervised field supervisors and data collection operators
• Gathered and synthesized primary and secondary marketing information

**PROFESSIONAL DEVELOPMENT OBJECTIVES**

• Expand analytical expertise through specialized training in data processing tools including SQL and Tableau
• Apply research capabilities to address business hypotheses through targeted survey design and testing"
3332,"# Resume

**Software Solution Implementation**

Led end-to-end Customer Relationship Management system and desktop application implementation, including:

• Conducted market analysis and engaged stakeholders to inform requirements
• Defined development strategy and established project goals and deadlines
• Designed and created system prototypes
• Managed User Acceptance Testing execution
• Oversaw and directed system implementation

**Technical Tools & Skills**

MS Project, Trello, Atlassian, Office 365, Pencil and Paper"
5877,"# Architecture / Databases
- Designed and implemented data storage infrastructure up to 50 Terabytes using Hadoop
- Implemented serverless architecture with near-zero idle costs
- Deployed infrastructure as code on Kubernetes with streamlined DevOps delivery processes

# Product / Project Management
- Led Messenger project across all major mobile platforms, delivering a complete, production-ready product to Apple App Store and Google Play within 6 months from inception
- Recognized for instrumental contributions to cost optimization initiatives in software development lifecycle processes

# Human Resources
- Recruited 50+ developers in 4 months while maintaining less than 5% turnover rate

# Projects

**NDA** | 2019
- Architect / DevOps Engineer
- Infrastructure as code on AWS using Terraform, Kubernetes, and Helm; implemented CI/CD pipelines

**Ternary Intelligence** | 2018
- Architect / Project Manager
- Designed serverless AWS cloud architecture for fintech applications

**One Space** | 2018
- Architect / Data Engineer
- Built Hadoop infrastructure, web scraping pipelines, and data engineering solutions

**Defcom** | 2016
- Project Manager / Architect
- Mobile development and secure messaging platform

---

Open to opportunities in live projects."
5981,"# Product Manager & Project Manager

**Snap** | Lead of Internal AR Innovations, Sponsored AR Department
- Led large-scale AR projects for major clients including Disney, Nike, Microsoft, Universal, and Verizon
- Managed complex AR projects in Sponsored Lenses department
- Negotiated client expectations and aligned them with team capabilities
- Assessed risks and adjusted development strategy to optimize outcomes
- Enhanced cross-functional team processes and collaboration
- Oversaw end-to-end product creation from concept through launch

**HeyJoy Toy Store** | Product Manager
- Conceptualized and created an app for this US-based retail-tech startup
- Delivered first MVP and validated core value hypothesis

**Core Competencies**
- End-to-end product development from concept through MVP to launch
- Client negotiations and stakeholder management
- Complex project management and cross-functional collaboration
- Risk assessment and strategic planning"
6043,"**PROFESSIONAL SUMMARY**

Results-driven Project Manager with 5 years of team management experience and demonstrated expertise in project documentation creation. Skilled in defining and implementing team values, establishing communication protocols, and fostering collaborative work environments. Proficient in conflict resolution and managing cross-functional teams across diverse areas of expertise. Strong stakeholder management abilities with comprehensive knowledge of project management processes including risk, scope, schedule, resource, and quality management. Certified in Agile methodologies with practical experience in Scrum and Kanban frameworks.

**CORE COMPETENCIES**

- Team Management & Leadership
- Project Documentation
- Conflict Resolution
- Stakeholder Management
- Agile/Scrum/Kanban
- Project Management Processes (Risk, Scope, Schedule, Resource, Quality)
- Team Values & Communication Framework Development
- Personnel Hiring & Onboarding
- 3D Art (Low/High-Poly Modeling, UV Unwrapping, Texturing, Baking, Level Design)

**PROFESSIONAL CERTIFICATIONS**

- IT Project Manager, Beetroot Academy
- IT Project Manager, SoftServe Academy

**PROFESSIONAL EXPERIENCE**

**Project Manager**
SoftServe
October 2021 - Present

**Service Manager**
Veteran Hub Dnipro
September 2020 - October 2020

Managed cross-disciplinary team of 6 members across multiple professional areas. Oversaw personnel hiring, onboarding, and process implementation. Established work and reporting protocols. Monitored organizational standards compliance. Resolved team conflicts and maintained team cohesion.

**Junior 3D Artist, Freelance (Remote)**
December 2019 - September 2020

Performed low and high-poly modeling, UV unwrapping, texturing, baking, and level design.

**Hotel Manager**
Mykulychyn
November 2018 - November 2019

Managed hotel operations, revenue optimization, and client satisfaction. Oversaw reservations, booking service management, guest communications, and personnel supervision. Improved Booking.com rating from 8.7 to 9.0.

**Artillery Battery Control Platoon Commander**
4th Rapid Reaction Brigade, National Guard of Ukraine, Hostomel
November 2016 - November 2018

Led team of 10 members with diverse backgrounds and motivation levels. Maintained team cohesion and morale. Performed precision mathematical calculations and geometric drawings. Managed high-cost precision equipment inventory (up to €20,000 per unit). Analyzed logistics routes and observation data from multiple sources.

**Hotel Manager (Remote)**
April 2015 - November 2016"
6078,"**Project Manager – GameDev**

**Core Competencies**
- Project lifecycle management from initial partner kick-off through retrospectives and closure
- Scope estimation and resource allocation
- Cross-departmental coordination and stakeholder communication
- Risk identification and proactive resource reallocation
- Change request management and documentation
- Project efficiency tracking and timeline adherence

**Key Achievements**
- Managed projects and batches for major GameDev companies worldwide on several famous industry titles
- Conducted daily team alignment meetings to ensure project progress and efficiency
- Coordinated with Legal and Finance Departments to ensure timely agreements and invoice processing
- Calculated and maintained project efficiency metrics aligned with initial plans and timelines
- Managed complete project closure including Jira tracking review, retrospectives, and final documentation

**Professional Skills**
- Task creation and allocation to artist teams
- Change request processing including information gathering, documentation, and stakeholder coordination
- Partner communication via email and phone
- Payment tracking and invoice issuance
- Proactive risk management and resource optimization

**Work Environment**
- Product company experience
- Cross-functional collaboration within healthy team and office culture"
6081,"ACHIEVEMENTS:

- Built and managed a team of 7 artists, establishing debugging processes and performance evaluation systems from the ground up
- Developed comprehensive documentation including workflow procedures, team frameworks, department structure guidelines, and performance review templates used by all new managers
- Improved employee retention and performance through structured performance reviews and development initiatives
- Created illustrations and designs for ECO-school in Moscow, a space museum in Moscow, restaurant Gorynych, and ISBC
- Streamlined company service operations through process improvement recommendations
- Developed work instructions and regulations for the key accounts department, reducing new employee onboarding time
- Resolved complex client situations while maintaining long-term business relationships
- Consistently met and exceeded sales targets
- Organized and launched a new company event format (ecological quest) that increased deal value with a regular client by more than 100%
- Recognized by management for active event support and high-quality execution

EXPERIENCE:

Art Team Manager 2021–Present
- Managed team of 7 artists, overseeing task assignment, evaluation, quality control, and performance monitoring
- Analyzed and built team processes and systems, documenting all procedures used by new managers
- Generated creative ideas and technical specifications for team projects
- Implemented evaluation system and monitored employee motivation and development
- Conducted market research and competitive benchmarking
- Collaborated with Art Lead on task requirements and deadline setting
- Prepared reporting and company documentation

Illustrator Designer 2018–2021
- Created illustrations, icons, logos, and vector characters for various clients and platforms
- Designed stickers, posters, advertising materials, and social media content
- Produced illustrations for magazines, presentations, and apparel
- Developed personal Telegram sticker collections and animation characters

Internal and External Communications Manager 2016–2018
- Developed instructions, regulations, and motivational models for employees
- Negotiated and managed contracts with partners, monitoring compliance and terms
- Managed e-commerce trading floors on Wildberries and Ozone platforms
- Coordinated shipments and logistics operations
- Worked with 1C, Bitrix, Wildberry platform, and Diadoc systems
- Collaborated with multiple departments to achieve organizational objectives

Event Manager 2015–2016
- Managed client relationships from initial contact through event completion
- Coordinated with project departments on event preparation and execution
- Controlled project delivery across all stages
- Prepared proposals, presentations, and budget estimates"
6082,"# Resume

## Professional Experience

**Art & Project Manager**

- Led task and project management for 2D/3D art teams, directing workload planning, assignment creation and delegation, process coordination, quality control, and priority management
- Managed cross-functional art teams of up to 30 people in GameDev environment
- Directed art quality and style control across multiple projects
- Implemented Scrum and Kanban methodologies to optimize team workflows
- Mentored and onboarded new artists and project managers
- Conducted regular 1:1 meetings and performance reviews with team members
- Resolved team conflicts and fostered collaborative work environments
- Systematized art guides and internal work processes to improve operational efficiency
- Maintained information bases and knowledge repositories
- Communicated with clients and stakeholders
- Analyzed and optimized team workflows and processes

## Core Competencies

- Project and task management
- Team leadership and people management
- 2D/3D art direction
- Scrum and Kanban
- Process optimization and workflow analysis
- Knowledge systematization
- Client and stakeholder communication
- Quality assurance and priority control

## Professional Goals

- Fast learner committed to professional growth in GameDev industry
- Seeking positions in product companies or long-term projects
- Interested in expanding expertise in 3D, VFX, VR, video, and game production"
6090,"# RESUME

**EDUCATION**

Bachelor's Degree in Economics of Enterprise
Kharkov National University of Economics

Master's Degree in Project Management
(In Progress)

**PROFESSIONAL DEVELOPMENT**

Project Manager Course (2017) – Source IT
English Language Course (2016) – Green Forest
English Language Course (2015) – Language Center

**SKILLS**

- Team collaboration and quick learning ability
- Project Management Methodologies: Agile (SCRUM/Kanban), Waterfall
- Document preparation: proposals, terms of reference, project plans, risk assessments, Work Breakdown Structure (WBS)
- Theory and practical application from university and coursework

**PROFESSIONAL EXPERIENCE**

Assistant Manager
Electrical Goods Retail Company
(During University Studies)

- Client acquisition and relationship management
- Order receipt and processing
- Customer invoicing and payment processing
- Record keeping and inventory management
- Goods management and logistics

**PROFESSIONAL INTERESTS**

Seeking a Project Manager Assistant position to leverage team collaboration skills, apply acquired project management knowledge, and develop expertise in a dynamic team environment."
6127,"# Mobile Product Manager

**Professional Summary**
Seasoned Mobile Product Manager with 2 years of experience leading successful mobile product initiatives. Expert in app store optimization with proven ability to develop and execute comprehensive strategies aligned with business goals, user needs, and market trends.

**Core Competencies**
App Store Optimization (ASO) | App Store Advertising (ASA) | Incentive Traffic | Keyword Research & Metadata Optimization | A/B Testing & Conversion Rate Optimization | Mobile App Analytics | Data-Driven Decision Making | Agile Methodologies | Project Management

**Professional Experience**

**Mobile Product Manager**
- Led comprehensive ASO strategies resulting in increased organic downloads and improved app store rankings
- Identified trends and uncovered insights through mobile app analytics to optimize app performance
- Executed cross-functional collaboration with designers, developers, marketers, and data analysts
- Managed effective communication and stakeholder relationships
- Executed agile project management and efficient product development cycle processes
- Managed timely release cycles

**Core Skills**
- App Store Optimization and App Store Advertising
- Mobile App Analytics and Data-Driven Decision Making
- Keyword Research, Metadata Optimization, and A/B Testing
- Cross-functional Team Leadership and Stakeholder Management
- Agile Project Management and Release Management"
6211,"# RESUME

## EDUCATION

**Master of Economy and Management**
2020

**Bachelor of Management**
2017

**Project Management Specialization**
University of Colorado Boulder
2023
- Project Management: Foundations and Initiation
- Project Planning and Execution
- Agile Project Management

**Scrum Master Certification**
Learn Quest
2023
- Introduction to Scrum Master Training
- Scrum Master Certification: Scrum Methodologies
- Scrum Master Certification: Scaling Agile and the Team-of-Teams
- Combining Scrum with Other Agile Methodologies

**Information Systems Specialization**
University of Minnesota, Carlson School of Management
2023
- Enterprise Systems
- IT Infrastructure and Emerging Trends
- Analysis for Business Systems

**Certificate in Marketing and Communications**
International Business Management Institute of Berlin, Germany
2021

**Certificate in Leadership and Team Development**
International Business Management Institute of Berlin, Germany
2020

## PROFESSIONAL EXPERIENCE

**Assistant IT Project Manager** (Current)

- Drive business process optimization and automation by identifying solutions for enhanced efficiency
- Analyze and translate business requirements into effective IT mechanisms
- Specialize in end-to-end implementation of new solutions within proprietary ERP systems
- Collaborate with relevant departments to understand project requirements and priorities within the agile framework
- Work closely with developers to ensure smooth implementation and user adoption
- Define user stories based on customer requirements and prioritize them for the development team
- Identify opportunities to streamline operations and maximize productivity

**Data Analyst** (2+ years)

- Managed extensive macroeconomic and financial datasets for multiple countries across public and private sectors, ensuring accuracy and quality within tight timelines
- Communicated effectively with sources to maintain data integrity, identify patterns, and address client queries
- Coordinated external and internal client interactions using CRM systems, overseeing requests and executing quality improvement projects
- Utilized in-house project management systems to troubleshoot and resolve issue tickets, delivering effective client solutions
- Identified process enhancement opportunities through regular quality and technology projects
- Collaborated with IT teams to ensure seamless availability and accessibility of essential data sources"
6213,"# PROJECT MANAGER

**Online Shop for Developmental Children's Toys** | Project Manager
- Managed a team of four: Power Query Developer, Designer, Sales Manager, and Supply Manager
- Organized and coordinated team workflows
- Managed time and tasks using Notion
- Controlled execution and project roadmap
- Drafted and maintained project documentation and instructions
- Resolved legal issues

**Project Management Intern** | We Challenge & UNIT.City
Kyiv, Ukraine | February 2023 - March 2023
- Led and facilitated the Intern team on IT events organization
- Prepared Impact Map, Project Plan (WBS, Timeline, Resources), and Risks Register
- Developed Stakeholder Register, Map, Matrix, and RACI Matrix
- Created and maintained Stakeholder communication plan
- Managed business communication with stakeholders
- Conducted research and analysis

**Professional Experience**
- Legal Counsel with 5+ years experience, including IT sector
- Oversaw team of five legal counsels; controlled and coordinated their work
- Managed communication with customers and stakeholders
- Led project planning, documentation, and reporting
- Prepared legal documents including Contracts, Invoices, and Services Acceptance Acts

**Education & Training**
- Master's Degree in Law
- ""Fundamentals of Team and Project Management in IT"" | Lviv IT School (LITS) | 2021
- ""IT Project Management"" | Creative&Tech Online Institute: Projector | November 2021 - February 2022
- ""Become a Project Manager"" | LinkedIn Learning Path | March 2023

**Tools & Methodologies**
- Project Management: Notion, Trello, Jira, Miro, Confluence, Gantter, Slack, Gather
- Office Applications: Google Workspace (Docs, Sheets, Calendar), Microsoft Office
- Design: Canva
- Communication: Google Meet
- Expertise: Impact Maps, Work Breakdown Structure (WBS), Gantt Charts, Risk Registers, Stakeholder Management, User Stories, RACI Matrices, Task Estimation (Big/Small/Uncertain, Poker Planning, T-Shirt Sizes)
- Methodologies: Waterfall, Scrum, Kanban, Software Development Life Cycle (SDLC)

**Languages**
- Ukrainian (Fluent)
- Russian (Fluent)
- English (Upper-Intermediate)

**Soft Skills**
- Proactivity, communicativeness, and teamwork
- Multitasking and self-organization
- Fast learning and active listening"
6214,"# JUNIOR PROJECT MANAGER

## PROFESSIONAL SUMMARY
Reliable and hard-working team player with dedicated project management knowledge and professional experience. Seeking a Junior Project Manager position in a dynamic team environment to apply expertise in coordinating cross-functional teams and delivering project objectives.

## CORE COMPETENCIES
- Project Management Methodologies (Scrum, Agile)
- Software Development Life Cycle (SDLC)
- Stakeholder Management
- Team Coordination and Organization
- Project Documentation
- Legal Document Preparation
- Customer Relations

## PROFESSIONAL EXPERIENCE
**Manager**
- Managed multiple projects and coordinated cross-functional teams to meet project deadlines
- Gathered requirements and engaged with customers and stakeholders to ensure satisfaction
- Organized and maintained comprehensive project documentation and records
- Prepared legal documents in support of project requirements

## EDUCATION & TRAINING
- Project Management Course (Completed)

## TECHNICAL SKILLS
- Microsoft Office Suite
- Windows Operating System
- Google Applications (Basic)"
6231,"**PROFESSIONAL SUMMARY**

Results-driven Project Management Specialist with financial consulting expertise. Demonstrated ability to communicate effectively with diverse stakeholders, manage complex documentation, and deliver analytical insights. Strong team collaborator with proven capability to work independently in challenging environments.

**PROFESSIONAL EXPERIENCE**

Project Management Specialist
Grant Thornton Ukraine, Kyiv
Financial Consulting Department

- Managed stakeholder communications with customers and contractors
- Maintained comprehensive work documentation and project execution schedules
- Conducted information collection and analysis to support project implementation
- Facilitated administrative coordination for work meetings
- Developed and delivered project reports

**PROJECT EXPERIENCE**

- Development of a system for monitoring the achievement of Sustainable Development Goals at the Kyiv city level
- Anti-corruption policy audits
- Audits of financial statements

**TECHNICAL PROFICIENCIES**

- Microsoft Office
- 1C/BAS
- CRM Bitrix 24
- Smart Tender

**LANGUAGE PROFICIENCY**

English – Upper-Intermediate"
6232,"**PROFESSIONAL SUMMARY**

Results-driven manager with proven track record delivering 20+ educational projects for 500+ members across leading companies including Boeing, Ubisoft, and Xpand. Exceptional communicator with strong organizational skills and ability to perform effectively under pressure. Committed to advancing IT management career through continuous learning and skill development.

**CORE COMPETENCIES**

- Agile and Scrum Methodologies (1-1s, stand-ups, retrospectives, team motivation)
- Lean Methodology and Continuous Process Improvement
- Project Planning and Task Prioritization
- Risk Management
- Stakeholder Liaison and Communication
- Customer Requirements Management and Expectation Setting
- Project Documentation and Organization
- Performance Monitoring and Delivery Assurance
- Project Launch Coordination
- Cost-Saving Solution Development

**KEY ACHIEVEMENTS**

- Successfully implemented Agile and Scrum methodologies across 20+ projects, maintaining consistent team engagement through stand-ups and retrospectives
- Applied Lean methodology principles to drive continuous project improvement
- Identified cost-saving solutions and key profitability drivers through active collaboration on project design and setup discussions
- Enhanced operations performance through monitoring and performance assurance, ensuring timely and accurate delivery
- Managed direct customer communication to clarify requirements, set expectations, and facilitate implementation of changes
- Coordinated project launches while maintaining consistent stakeholder updates and engagement across 500+ members"
6233,"# RESUME

**British Autoclub Assistance, Kyiv – IT Manager**
September 2018 – March 2019

- Gathered requirements for MVP development across Web, mobile app, and CRM system projects
- Conducted black box and grey box testing with acceptance testing on CRM and app deliverables
- Managed app project delivery in coordination with foreign outsource teams, including project backlog prioritization, sprint planning, manual testing, and bug tracking
- Provided support for 1C accounting system management and feature development

**Pride International LLC., Kyiv – Project Manager Assistant / QA Manager**
August 2017 – September 2018

- Facilitated sprint planning and product backlog management
- Executed quality assurance testing during sprint workflows and final product releases
- Assisted in resolving defects across app and web-based platforms
- Supported team impediment removal through process and release management expertise
- Tracked and communicated team velocity and sprint/release progress to stakeholders and management
- Assisted in defining and deploying product development processes with continuous improvement focus

**MBM Partners, Kyiv – Head of Lead-Generation and Advertising Departments**
June 2015 – August 2017

- Directed lead-generation and traffic management initiatives
- Developed strategic guidelines and tactical approaches for social media marketing (SMM)
- Planned and implemented social media marketing strategies and recommendations
- Created specifications for social media lead extraction script development
- Integrated and managed automation and content control tools for social media"
6239,"# RESUME

**EDUCATION**

World TESOL Academy
120-Hour TESOL/TEFL Certificate
Accredited by ACCREDITAT & The CPD Certification Service

**PROFESSIONAL EXPERIENCE**

**ESL Teacher/Tutor** | Self-Employed | 2018 – Present
• 4+ years of experience teaching English to children and adults in individual and group online formats
• Developing activities and integrating technology to enhance student engagement and diversify instruction
• Improving ESL students' reading, grammar, and speaking proficiency levels
• Customizing lesson plans for students requiring additional support and guidance
• Creating comprehensive monthly academic status reports based on detailed student evaluations
• Documenting student attendance and tracking progress toward established goals
• Conducting speaking clubs to develop conversational skills
• Delivering Business English instruction
• Managing a cohort of 20+ students while serving as teacher, mentor, manager, and academic advisor
• Conducting Sprint Retrospectives to assess and improve instructional effectiveness
• Managing day-to-day meetings and quarterly progress assessments

**Assistant SMM Manager & Content Creator** | Instagram
• Created engaging content and developed copy for social media platforms

**Customer Support Specialist** | Internship
• Resolved product and service issues via multiple communication channels
• Utilized CRM systems to manage customer interactions and maintain satisfaction
• Applied sales tools including Email Finder, Email Verifier, Email Warm-up, and Drip Campaigns

**Cashier** | McDonald's | Work and Travel in Germany Program
• Completed work and travel student exchange program

**CORE COMPETENCIES**

• Fluent English (Advanced)
• Excellent written and verbal communication skills
• Project Management and project lifecycle understanding
• Agile methodologies: Scrum, Kanban, and Waterfall
• Agile Manifesto principles and Sprint Retrospectives
• Metrics and roles in project management
• MS Office proficiency
• CRM system experience and customer relationship management
• Sales tools expertise: Email Finder, Email Verifier, Email Warm-up, Drip Campaigns
• Problem-solving and analytical skills
• Multitasking and time management
• Daily client communication and issue resolution
• Content creation and copywriting
• Planning and rapid issue response"
