,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5
2595,"# PROFESSIONAL SUMMARY

Results-driven professional with 5.5 years of progressive experience in international sales and business development. Expertise in global accounts management and key account relationships. Strong analytical abilities and communication skills with demonstrated commitment to continuous professional development.

# PROFESSIONAL EXPERIENCE

**Head of Sales Department** | 1.5 years
- Led sales department operations and drove team performance
- Directed international sales strategy and execution across multiple markets
- Built and mentored high-performing sales team in international business development practices

**Global Account Manager** | 2 years
- Managed diverse portfolio of international global accounts with strategic relationship focus
- Developed and maintained key account relationships, driving measurable business growth
- Applied analytical abilities to develop account strategies and enhance client success

**Sales Manager** | 2 years
- Managed sales operations while building and strengthening client relationships
- Developed deep expertise in international sales and business development
- Demonstrated commitment to self-directed learning and continuous professional advancement

# CORE COMPETENCIES

- International Sales & Business Development
- Global Account Management
- Key Account Management
- Strategic Account Planning
- Team Leadership
- Analytical Abilities
- Communication Skills
- Professional Development

# CAREER OBJECTIVES

Seeking Account Management position that leverages expertise in global accounts management and strategic international client relationships, with emphasis on key account development and strategic account management."
2597,"# RESUME

**PRODUCT MANAGER**

Successfully opened a new sales direction in one of the most popular educational platforms in the USA (to Australia)

**PROJECT MANAGER**

Managed 2 to 20 FTE across up to 10 simultaneous projects. Experience across diverse industries including Finance, Logistics, Mobile Games, Services, E-commerce, E-learning, CRM/ERP, Sports, and Entertainment.

**SCRUM MASTER**

Successfully established processes according to Scrum methodology. Fostered Agile mindset with team members, created roadmaps, and conducted annual evaluations.

---

## PROFESSIONAL EXPERIENCE

**Senior Project Manager, Scrum Master, Business Analyst, Product Manager**
September 2022 – August 2023

- Mentored and coached teams on Agile ceremonies, practices, roles, and artifacts
- Facilitated Scrum ceremonies and adapted them to team needs while ensuring adherence to Scrum values
- Maintained team focus on priorities and achieved Sprint and product goals
- Identified customer needs, defined vision, and aligned stakeholders
- Prioritized and managed product features and capabilities
- Established and monitored timelines for product launches
- Managed product backlog and prioritized features based on strategic objectives
- Provided immediate support during emerging issues and critical issue resolution

*Areas of Competence: Product backlog management, Annual planning and OKR methodology, People management and coordination, Critical issue resolution, Project metrics reporting, Stakeholder alignment*

**Senior Project Manager, Scrum Master**
August 2019 – August 2022

- Managed web, desktop, and mobile applications development processes across multiple projects in parallel
- Executed effective resource allocation and managed project issues, risks, and mitigation strategies
- Facilitated Scrum events adapted to team needs while ensuring Scrum values adherence
- Monitored progress and ensured timely milestone delivery, maintaining team focus on sprint and product goals
- Conducted one-on-one meetings and provided individual coaching and support to team members

*Areas of Competence: Project management, People management and coordination, Co-located and distributed team management, Product backlog management and iteration planning, Risk management*

**Team Lead Project Manager**
Appus Studio, Kharkov, Ukraine
May 2019 – August 2022

- Led project development including implementation of complex tasks and resolution of critical issues
- Established clear goals and priorities for team members and provided technical guidance and mentorship
- Participated in customer calls, meetings, recruitment, and interview processes
- Determined technology choices and planned project architecture
- Contributed to employee adaptation and motivation initiatives

---

## SPEAKER & HOBBYIST

Speaker at A-Level School (April 2019 – Present)

Digital Drawing"
2645,"# PROFESSIONAL EXPERIENCE

**Project Manager – Non-Profits**
- Created a comprehensive workspace in Monday CRM from scratch to maintain daily team member updates and improve organizational workflows
- Converted all existing business spreadsheets to the Monday CRM system, streamlining data management and enhancing operational efficiency
- Led the integration and training process to ensure seamless CRM transition for all team members
- Trained 5 interns who became integral members of the team
- Prepared comprehensive monthly and quarterly reports for existing clients, highlighting key performance metrics and achievements
- Established a standardized reporting process that improved client satisfaction and retention
- Developed an external e-learning course on grant writing from scratch using the LearnWorlds.com platform

**Underwriting Manager**
- Reviewed and evaluated more than 600 application packages from clients and ISOs, providing comprehensive feedback
- Analyzed statistical data using specialized computer programs including Jarvis CRM
- Boarded 95 approved merchant applications in the system
- Maintained daily communication with new and existing clients

**Account Manager**
- Pre-filled application packages based on client supporting documents
- Submitted application packages to banks and coordinated with bank representatives to track client account status
- Trained new employees on company customer management policies
- Maintained updated workflow records in the CRM system
- Assisted more than 200 clients in obtaining account approval with US banks"
2654,"**ACCOUNT MANAGER**
Sparkybit, Germany | 07/2022 – Present

• Build and maintain strong, long-lasting customer relationships to drive client loyalty and revenue growth
• Resolve complaints and prevent potential issues through proactive engagement
• Conduct client satisfaction surveys and reviews to assess customer needs and identify opportunities for improvement
• Engage in consistent customer meetings and collaborate with the team to solve business and technical issues
• Manage existing accounts and drive positive customer outcomes

**ACCOUNT MANAGER**
DevPals AB, Sweden | 01/2022 – 06/2022

• Communicated with clients to ensure customer success and satisfaction
• Developed trusted advisor relationships with key accounts
• Assisted with challenging client requests and issue escalations
• Ensured timely and successful delivery of solutions according to customer needs
• Supported lead generation initiatives

**BUSINESS SALES MANAGER**
North-wine, Denmark | 11/2017 – 09/2021

• Identified and pursued new key customer opportunities
• Conducted outreach calls to potential clients to introduce website services and build pipeline
• Managed product range and its display on the website
• Corresponded with existing customers to determine their needs and recommend suitable products
• Managed database, pricing, and wine market monitoring

**HEAD OF LOGISTICS**
Gold.ua, Ukraine | 10/2016 – 11/2017

• Controlled delivery at all stages and managed receivables across all company branches
• Filed complaints to obtain compensation for lost or damaged orders
• Settled disputes with customers regarding timely delivery of goods"
2655,"# RESUME

## PROFESSIONAL EXPERIENCE

**IT Project Manager**
February 2021 – Present
PM on IT Start-up, Online Web Service
- Plan and control task execution to meet project objectives
- Manage scope, schedule, and budget to ensure project success
- Provide statistical and detailed analysis to management for project effectiveness evaluation
- Support team delivery of work to product owner specifications

**Director**
2020 – January 2021
OOO Interlagos
Hotels / Restaurants / Entertainment Complexes
- Analyzed, developed, and implemented strategic plans aligned with organizational goals and objectives
- Developed and monitored business processes for production with continuous reporting
- Conducted comprehensive competitor analysis

**HR Manager**
April 2016 – May 2019
PrAT Hotel Salut
Hotels / Restaurants / Entertainment Complexes
- Recruited and attracted qualified staff
- Managed personnel records including registration, transfers, dismissals, and work documentation
- Operated 1C 8.3 software systems
- Processed admissions under MED program

## CORE COMPETENCIES

**Professional Skills**
- Project management (3+ years commercial experience)
- Contract management and negotiation
- Business process development and analysis
- Scrum and Agile methodology
- Stress and conflict resolution
- Personnel management and recruitment

**Technical Skills**
- Microsoft Office Suite
- Advanced Excel
- Google Workspace
- 1C and accounting software
- Client-Bank system

**Personal Attributes**
- Strong communication and interpersonal skills
- Ability to build and maintain long-term professional relationships
- Analytical mindset with understanding of cause and effect relationships
- Independent decision-making capability
- Self-motivation and commitment to continuous improvement
- Punctuality, attention to detail, and responsibility"
2656,"# RESUME

## PROFESSIONAL EXPERIENCE

**Sales / Account Manager**
PAYADMIT | MARCH 2022 - PRESENT

• Lead generation and initial client contact for payment solutions
• Client account management throughout all stages of engagement
• Dispute resolution and conflict management
• Offer calculation and preparation

**Account Manager (Media Buying)**
ACIDBRO | JANUARY 2021 - MARCH 2022

• Prepared and configured advertising accounts
• Managed high-risk vertical advertising campaigns
• Provided technical support including server and proxy procurement, hosting site management, and application deployment on Google Play and AppStore
• Account farming and related technical operations
• Specialized in Gambling and Betting verticals

**Head of Department (Media Buying)**
ACIDBRO | APPROXIMATELY 4 MONTHS

• Managed team of 4 people providing resources and support to advertising specialists
• Position ended due to company direction change

**Project Manager (News Project)**

• Oversaw all project operations including planning, recruitment, and hiring
• Conducted interviews and quality assurance
• Managed payroll and bonus accruals
• Led team of 8-10 employees
• Successfully completed 3-month project upon reaching objectives"
2657,"# PROFESSIONAL RESUME

## CORE COMPETENCIES

**Quality Assurance & Testing**
Specification analysis, test execution, and retesting

**Web Development**
HTML, CSS, JavaScript, jQuery, React

**Project Management**
Agile development processes, Gantt charts, roadmaps, project management tools

**Additional Skills**
Technical documentation, mockup creation, invoicing, negotiations

## PROFESSIONAL EXPERIENCE

- Performed end-to-end software testing including specification analysis, test execution, and retesting
- Developed front-end web applications using semantic HTML and CSS
- Built interactive web applications with JavaScript, jQuery, and React
- Coordinated projects and implemented agile methodology
- Created and maintained technical documentation
- Planned and scheduled projects using Gantt charts and roadmaps
- Collaborated on design mockup review and implementation
- Supported business processes including invoicing and negotiations

## LANGUAGE PROFICIENCY

English – Interview Ready"
2658,"# PROFESSIONAL EXPERIENCE

**McCann Kyiv**
*Senior Account/Project Manager*

Managed integrated marketing campaigns for leading clients including Vodafone, UNICEF, and Carlsberg. Directed all phases of project coordination and execution across TVC (local shooting), OOH, and video production. Oversaw vendor selection and management, budget allocation, and payment terms. Controlled project timelines and financial data. Coordinated with internal creative teams on resource allocation and project implementation. Delivered daily, weekly, and monthly performance reports to clients and agency leadership.

**Cheil Ukraine**
*Project Manager*

Coordinated and managed full-cycle marketing projects for Samsung Electronics Ukraine. Executed diverse campaign types including TVC, OOH, retail POSM, digital, BTL, and video adaptation. Managed tender processes, client briefings, vendor relations, and budget oversight. Controlled payment terms and project schedules. Collaborated with internal agency teams on resource planning and project delivery. Monitored financial data and reported project status to clients and agency stakeholders on a daily, weekly, and monthly basis."
2659,"# PROFESSIONAL SUMMARY

Project Management professional with 6 years of experience across IT banking, digital marketing, aerospace, and automotive industries. Proven expertise in establishing new business ventures, acquiring and managing customers, and scaling operations through strategic team expansion and effective project oversight.

# CORE COMPETENCIES

**Project Management Frameworks:** ITIL, Kanban, PMBoK, BPMN

**Project Management Tools:** Omnitracker, Jira, MS Project, Visio

**Additional Skills:** Negotiations, Sales, Regulatory Compliance, Business Process Documentation

# PROFESSIONAL EXPERIENCE

**Engineering Outsourcing Business**
- Established new engineering outsourcing business from inception
- Successfully acquired and managed customers across multiple active projects
- Scaled staffing and operations to support business growth

**Project Management**
- 6 years of project management experience across IT banking, digital marketing, aerospace, and automotive industries
- 3 years of on-site work experience in the United States

# EDUCATION & CERTIFICATIONS

- PM Master Degree Diploma
- IPMA Certification
- British Council Diploma – Business English Advanced (95%)"
2660,"**PROFESSIONAL SUMMARY**

Results-driven professional with extensive experience in IT industry management and business operations. Proven expertise in project management, risk assessment, and stakeholder relations. Strong technical industry knowledge combined with exceptional communication and negotiation skills. Seeking Project Manager, Project Coordinator, Account Manager, or similar role; open to Business Analysis or Business Development opportunities.

**PROFESSIONAL EXPERIENCE**

**Regional Director** (Current)
Direct cross-functional teams and ensure alignment of operational objectives with organizational goals. Manage documentation and internal/external communication between team and company leadership. Oversee coordination between regional operations and senior management.

**Customer Support Manager** (Current, Part-time)
Maintain customer satisfaction through effective issue resolution and service delivery. Provide customer support services on part-time basis.

**Sales Manager** | Small IT Startup
Developed foundational experience in IT industry through direct involvement in business operations and market engagement. Managed sales operations while completing studies.

**Recruiter**
Identified and acquired top talent for organizational needs. Managed recruitment and talent acquisition processes.

**CORE COMPETENCIES**

Project Management | Risk Management | Requirements Analysis | Business Communications | Business Negotiations | Customer Service | Conflict Resolution | Issue Resolution | Public Relations | International Relations | Intercultural Relations | Talent Acquisition | Recruiting | Translations | Technical Industry Knowledge | Stakeholder Relations | Operations Coordination | Documentation Management

**EDUCATION & PROFESSIONAL DEVELOPMENT**

Project Management Courses (Recently Completed)

**LANGUAGE PROFICIENCY**

English: Upper-Intermediate to Advanced Level"
2741,"**PROFESSIONAL EXPERIENCE**

**Head of Facilities, Ukraine Operations** | Dev-Pro.net
Leading administrative function across 5 development centers (Kyiv, Lviv, Dnipro, Kharkiv). Manage 15+ person team overseeing business continuity, facility launches, and all operational aspects of 5,000+ sq.m. of office space. Direct service delivery oversight and operations management across multiple locations to ensure seamless facility performance.

**Site TS Program Manager & HS&E Department Leader** | Procter & Gamble LLC
Managed cross-functional team of 43 employees overseeing health, safety, and environmental initiatives. Led operational initiatives including production line startup for Tide, Ariel, and Gala brands, and successful discontinuation of DAX and BONUX brands. Executed comprehensive plant infrastructure restructuring including warehouse transfer to 3PL, production facility startup, and boiler house & compressor renovation.

**Operations Technology Project Leader** | Procter & Gamble LLC (2013-2015)
Led optimization initiatives for manufacturing capacities and support departments for raw and pack materials. Achieved significant production optimization with 84% process reliability, less than 2% unplanned downtime, and less than 1% scrap in 2015. Directed unit restructuring and departmental consolidation to enhance operational efficiency.

**Facilities Development & Cost Optimization** | Procter & Gamble LLC (2015-2018)
Established and developed A and A+ class facilities across 5 locations totaling 4,500 sq.m. Negotiated with authorities to reduce rental rate for land from 13% to 6%, generating substantial cost savings. Reduced general plant costs by 37% and optimized operating expenses and utilities by 23% FYTD. Led 6 external audits with zero critical observations; oversaw 3rd and 4th site phase development.

**CORE COMPETENCIES**

Operations Management | Project Management | Facilities Management | Team Leadership | Startup Management | Change Management | Business Continuity | Cost Optimization | Vendor Negotiations | System Integration

**AWARDS & RECOGNITION**

CEO Award (2014) | CBN Award (2013)"
2766,"# RESUME

## Professional Experience

Led seven-figure marketing campaigns with focus on trafficking and optimization across global markets.

Increased yield by 20% on CEE markets through implementation of new targeting capabilities.

Created concept and architecture for rich media building platform and managed platform development to expand advertising capabilities.

Increased viewability of specific ad units by 40% to combat banner blindness.

## Background

Over 8 years of diverse experience in digital marketing, including performance marketing and ad operations on the publisher side. Proven track record leading multiple projects across global markets focused on revenue growth and yield optimization.

## Notable Clients

Collaborated with industry leaders including Ubisoft, Sony, Nintendo, Samsung, and Apple."
2793,"**PROFESSIONAL SUMMARY**

Results-driven advertising professional with expertise in digital marketing, team leadership, and project management. Proven ability to optimize campaigns across multiple platforms and lead cross-functional teams. Fluent in English, Ukrainian, and Russian with a background in Computer Technology.

**EDUCATION**

Advertising Course – Hillel School (2022)
Computer Technology

**PROFESSIONAL EXPERIENCE**

**Art-Director/Stage Manager** – Synergy Group (2018 - 2021)
- Organized team workflows and assigned tasks to designers, content writers, and freelancers
- Conducted comprehensive product and competitor research to inform campaign strategy
- Communicated with partners and led project discussions, planning, and implementation

**Disc Jockey** (2018 - Present)

**Model** (2022 - Present)

**CORE SKILLS**

Advertising Platforms & Campaign Management
- Google Ads, Facebook Ads, MyTarget, Taboola, Capterra, LinkedIn Ads
- EU and USA market experience
- Keywords planning and optimization in search campaigns
- Ads extensions and search terms optimization

Analytics & Reporting
- Ads performance analysis and optimization
- Competitor ads analysis via Facebook Library
- Media planning and strategy
- Report creation and implementation of optimization strategies

Team Leadership & Project Management
- Team organization and leadership
- Deadline management and project coordination
- Project discussion and implementation
- Partner communication

Additional Skills
- SEO optimization (keywords, titles, descriptions)

**LANGUAGES**

English, Ukrainian, Russian"
2810,"SUPPORT SPECIALIST (FINANCE)
NDA (GAMBLING)
2021 - 02.2023
- Provided technical support for financial issues
- Prepared and analyzed financial statements

PROJECT MANAGER
COWBOY ART
(ADVERTISING AND PR SERVICES)
- Developed and presented strategic proposals
- Controlled and maintained projects from receipt through implementation
- Conducted analysis of the advertising market in Ukraine and internationally
- Managed customer protection protocols
- Prepared and analyzed profit reports
- Performed brand ambassador functions

PROJECT MANAGER
SICORE
(ADVERTISING AND PR SERVICES)
04.2018 - 02.2020
- Conducted meetings, presentations, and negotiations with prospective customers
- Analyzed the outdoor advertising market and implemented planned sales indicators
- Identified and engaged prospective customers
- Collaborated with multiple departments across the organization"
2824,"# AFFILIATE MANAGER & MARKETING PROFESSIONAL

## PROFESSIONAL SUMMARY

Affiliate Manager with 7+ years of experience launching and managing affiliate programs from inception across multiple niche markets including e-commerce, nutra, health and beauty, CBD, forex, dating, software, food, and social media. Proven expertise in recruiting and managing top-performing affiliates to drive revenue and results. Strong background in account management, marketing analysis, and digital marketing strategies. 10+ years IT experience with project management background.

## CORE COMPETENCIES

Affiliate Program Management | Account Management | Traffic Source Development | Campaign Analysis & Optimization | Competitor Analysis | B2B Partnership Development | Email Marketing | Social Media Management | SEO | PPC | A/B Testing | CPA Networks | Creative Development | Landing Page Optimization | Project Management

## PROFESSIONAL EXPERIENCE

**Affiliate Manager**

Launched affiliate programs from scratch across multiple niche markets. Managed affiliate platforms including third-party networks and in-house programs. Recruited and managed top-performing affiliates to drive revenue growth. Analyzed daily, weekly, and monthly campaign trends to optimize affiliate performance. Maintained and improved current affiliate projects. Managed day-to-day communication with internal and external partners. Created and coordinated development of banners, HTML creatives, and landing pages. Conducted competitive analysis and market positioning assessment. Proficient with CPA Networks: Commission Junction, LinkShare, Linkconnector, Webgains, Shareasale.

**Account Manager – Advertising Ad Network**

Managed relationships with advertisers and affiliates. Identified and evaluated new traffic sources and partnership opportunities. Coordinated benefits in accordance with contracts and agreements.

**Marketing Analyst**

Conducted market research and data collection analysis including surveys and forms. Provided detailed competitor analysis. Coordinated marketing communications including webinars and email campaigns. Collaborated with Brand and Project Management departments. Promoted company websites through SEO, PPC, and email marketing initiatives. Developed marketing materials and optimized website performance. Conducted A/B testing and performance analysis.

**Social Media & B2B Activities**

Launched and managed corporate social media presence across Facebook, Twitter, and Google+. Managed daily posting and fan engagement strategies. Conducted networking activities with complementary pages and monitored click-through rates. Led B2B activities including partner recruitment and brand awareness initiatives.

## EDUCATION & QUALIFICATIONS

EADL Diploma in Project Management

## PROFESSIONAL BACKGROUND

10+ years IT experience with project management background. Managed IT projects with team leadership responsibilities."
3002,"**Professional Summary**

Results-driven professional with extensive experience in customer support operations and team development, seeking a management position to advance leadership capabilities. Demonstrated ability to optimize processes, mentor staff, and drive service improvements. Adaptable and collaborative, with a preference for non-sales focused roles.

**Professional Experience**

**Support Agent**
- Managed order verification and customer communications across multiple channels including phone and chat
- Organized and optimized working processes to enhance operational efficiency
- Mentored and trained new team members, contributing to team capability development
- Identified and implemented service improvement initiatives to enhance customer experience"
3021,"# RESUME

**OBJECTIVE**
Seeking an Affiliate Manager or Project Manager position in an international company or organization.

**PROFESSIONAL EXPERIENCE**

**Head of Project** (2020-2021)
- Ensured project survival during pandemic restrictions without active outdoor advertising
- Maintained consistent growth in visitor numbers
- Elevated IT & Cyber Security working group to committee status within one year

**Business Development Manager**
The German-Ukrainian Chamber of Industry and Commerce (2019-2020)
- Developed and maintained relationships with local and international partners
- Coordinated working groups and community initiatives
- Organized online and offline events

**CORE COMPETENCIES**
- Creation, planning, and implementation of complex projects from scratch
- Project and team management with strong focus on results and deadlines
- 4+ years of successful management experience
- Team leadership (up to 8 people)
- Coordination of working groups and communities
- Content preparation and organization of online and offline events
- Building relationships with local and international partners"
3093,"# PROFESSIONAL SUMMARY

Results-driven IT leader with 9 years of experience across diverse startup environments including mobile apps, B2B, and SaaS applications. Proven expertise managing multicultural teams with both internal and outsourced staff. Four-year tenure at scale-up company during period of hyper-growth, demonstrating ability to drive transformation and organizational scaling.

# CORE COMPETENCIES

**Leadership & Team Development**
- Strategic manager, coach, and mentor
- Agile and Lean methodology implementation
- Team coaching and guidance toward business value delivery
- Cross-cultural team leadership

**Process & Communication**
- Data-driven decision making
- Relationship building and stakeholder management
- Process transparency and continuous improvement
- Clear, concise communication style

**Technical Tools & Systems**
- Jira
- Confluence
- GitHub
- Code Climate

# PROFESSIONAL EXPERIENCE

**Scale-up Company** | 4 Years
- Led teams through hyper-growth phase, driving organizational scaling and transformation
- Successfully implemented Agile and Lean methodologies across teams
- Coached and enabled team performance and professional development

**Startup Portfolio** | 5 Years
- Managed diverse, multicultural teams across mobile apps, B2B, and SaaS applications
- Coordinated internal and outsourced resources to deliver results across multiple business domains
- Built strong stakeholder relationships while maintaining process transparency"
3105,"# Professional Summary

Results-driven management and technology professional with 10+ years of experience in IT outsourcing and outstaffing. Proven expertise in establishing and improving PMO operations, delivery management for 50+ employees, pre-sales, risk management, budgeting, cost control, process improvements, and quality management. Demonstrated success in strengthening compliance, elevating output and quality, enhancing customer satisfaction, and boosting employee morale.

## Core Competencies

Program & Project Management | Delivery Management (50+ employees) | PMO Establishment & Improvement | Risk Management | Budget & Cost Control | Process Improvement | Quality Management | Leadership & People Management | Lean Agile Methodologies | Rolling Wave Planning | Pre-Sales | Client Relationship Management

## Professional Experience

**International Delivery & Operations Leadership**

Led international, cross-functional, and distributed engineering teams in delivering strategic initiatives that improved systems, processes, and bottom-line results. Managed complex milestones while adapting to changes and shifting priorities. Effectively managed stringent budgets, drove cost savings, improved delivery timelines, and forecasted resource needs. Built strong relationships with national and international clients across diverse markets.

## Additional Information

- Willing to travel
- Fluent in client relationship management across diverse markets"
3113,"# PROFESSIONAL RESUME

## Professional Experience & Expertise
10+ years in IT with extensive experience across product management, business analysis, and agile transformation. Proven expertise in RUP, Waterfall, and Agile methodologies. Product development experience spanning healthcare, education, social media, and insurance sectors. Web and mobile project delivery background.

## Certifications & Credentials
- Project Management Professional (PMP) – PMI
- Certified Scrum Product Owner (CSPO) – Scrum Alliance
- Certified Scrum Master (CSM) – Scrum Alliance
- SAFe Advanced Scrum Master (SASM)
- Kanban System Design (KSD/KMP1) – Kanban University
- Kanban Maturity Model Certification – Kanban University
- Kanban Coaching Practices Certification – Kanban University
- Certified Agile Coach (ICP-ACC) – ICAgile
- Certified Trainer – ICAgile
- Registered Product Owner at Scale (RPOAS) – Scrum at Scale
- Registered Scrum at Scale Fundamentals (RSASF) – Scrum at Scale
- Facilitator – International Association of Facilitators (IAF Member)

## Technical & Professional Skills
**Business Analysis:** Requirements gathering, process analysis, stakeholder management

**Technical Skills:** SQL, BPMN, UML (foundational), API Testing (Postman)

**Project & Product Management Tools:** Jira (administration), Confluence, Azure DevOps (TFS), Asana, PivotalTracker, MS Project

**Visualization & Design Tools:** Miro, Balsamiq Mockups, draw.io, XMind

**Office Suite & Business Intelligence:** MS Word, Excel, PowerPoint, Outlook, Microsoft Power BI

## Languages
English: Upper-Intermediate"
3118,"# Resume

**Education**
- Warsaw University of Technology, Faculty of Computer Science
- Study Grant Recipient
- Duration: 1 year, 6 months
- Instruction Language: English

**Professional Experience**

**Tech Lead, Project Manager Department**
- Duration: 1 year, 3 months
- Managed large-scale website for Fortune TOP 500 company with USA stakeholders
- Led launch of 8 new domains

**Project Manager**
- Duration: 1 year

**Single Point of Contact**
- Duration: 2 months

**Front-end Developer**
- Duration: 4 months

**Speaking Engagements**
- Speaker at 3 annual conferences covering Project Management, Planning, Approving, Customer Understanding, Team Development, and Requirements Translation"
3120,"# PROFESSIONAL SUMMARY

Experienced project and program manager with proven expertise delivering time and material and fixed price projects across enterprise, e-commerce, financial, and big data environments. Demonstrates strong proficiency in risk, time, cost, and schedule management combined with exceptional leadership, communication, and negotiation capabilities. Advanced knowledge of Agile, Scrum, and Kanban methodologies with hands-on mastery of industry-leading tools including Jira, Confluence, Trello, Redmine, VSTS, Salesforce, and Kimble.

## CORE COMPETENCIES

**Project Management Methodologies**
Agile • Scrum • Kanban • Time and Material Project Management • Fixed Price Project Management

**Functional Expertise**
Enterprise Development • E-commerce Development • Financial Services Development • Big Data Management

**Management Skills**
Risk Management • Time Management • Cost Management • Schedule Management • Leadership • Communication • Negotiation

**Technical Tools & Platforms**
Jira • Confluence • Trello • Redmine • VSTS • Salesforce • Kimble"
3122,"**AGILE DELIVERY MANAGEMENT & LEADERSHIP**

- Managed agile delivery processes including version planning, building versions via Jenkins and GitHub Actions, and deploying to Azure and AWS environments across dev and production
- Established and streamlined delivery and release processes from inception through implementation
- Organized and led Scrum Events while managing Scrum Artifacts to ensure process adherence
- Created roadmaps, resource plans, project charters, and reports; identified and mitigated risks to ensure regular and timely delivery of value
- Authored Business Requirements, User Stories, and Job Stories through investigation and domain-specific research
- Collaborated with development teams, UI/UX teams, and stakeholders to drive successful project outcomes
- Participated in pre-sales activities and client meetings; developed estimations and proposals
- Contributed to company process development, role design, stakeholder interviews, and strategic initiatives with CTO
- Led teams through daily stand-ups, 1:1 meetings, retrospectives, and task management; facilitated skills development and issue resolution with comprehensive documentation
- Drove results through strong team collaboration in challenging environments"
3123,"# RESUME

**CERTIFICATIONS & CREDENTIALS**
- Certified Agile Project Manager
- Certified Scrum Master
- Kanban, DSDM, Agile methodologies

**CORE COMPETENCIES**
Project Management | Business Analysis | Product Management | Change & Risk Management | Scope Clarification & Prioritization | Remote Team Management | Client Technology Discussions | Team Leadership & Delegation | Influencing & Stakeholder Management | Sales & Account Management | Business Development

**TECHNICAL SKILLS**
Jira | Redmine | Axure | Mindmap | Prototype | UI/UX | iOS | Android | PHP | Drupal

**PROFESSIONAL EXPERIENCE**

**Project Management & Leadership**
- Led cross-functional projects with 80+ team members across multiple concurrent initiatives
- Managed long-term product development from conception through successful launch
- Implemented business analysis processes to enhance customer relationships and project outcomes
- Directed execution of complex projects across Project Management, User Experience, Business Analysis, and Quality Assurance domains

**Business Development & Market Expansion**
- Identified and evaluated new Western market opportunities to drive business growth
- Recruited, built, and developed high-performing development teams
- Supported startup growth initiatives through strategic planning and team development

**Project Portfolio**
- Delivered medical, business, and educational projects and products across diverse industries
- Successfully completed numerous complex projects spanning multiple functional areas

**LANGUAGES**
Advanced Business English"
3133,"# PROFESSIONAL SUMMARY

Results-driven Project Manager and Business Analyst with 8 years of experience leading cross-functional teams in outsourcing and product environments. Proven expertise in Agile methodologies and organizational process improvement, with a track record of delivering complex projects across Web, E-commerce, and Gaming domains.

## CORE COMPETENCIES

**Project & Program Management**
- Agile Project Management (Scrum, XP, Kanban)
- Management of multiple development teams (3-9 members each)
- Concurrent project delivery (1-3 simultaneous projects)
- Scrum Master practices

**Product & Business Analysis**
- Product development and Business Analysis
- Solution design and estimation
- Presale involvement and delivery

**Organizational Leadership**
- Agile transformation and mindset adoption
- Organization-wide process development (Presale, Hiring, Onboarding, Feedback)
- 1:1 coaching and group facilitation (Certified Coach)
- Team mentoring in context-appropriate Agile practices (MVP, feedback loops, continuous integration, pair programming, test-driven development, code reviews)

**Communication & Process Excellence**
- Transparent communication frameworks
- Process simplification and optimization
- Cross-team and customer stakeholder management

## DOMAIN EXPERTISE

Web Development, E-commerce, Gaming"
3134,"# Project Manager/Scrum Master

**Sensorama Lab** ~ 07/2018 - 06/2028 | Kiev
VR, AR, MR, AI development company

- Implemented agile methodologies and principles across the organization, managing sprint planning, stand-ups, reviews, and retrospectives with team and Product Owner
- Worked with Product Owner to define, document, maintain and communicate roadmap across the organization
- Created briefs, estimations, project plans and other documentation
- Translated discussions into detailed user stories, epics and tasks, managing story writing, prioritization, tracking, and acceptance of the product backlog
- Managed release scope and schedule while focusing on regular and timely delivery of value, preparing, maintaining, and communicating schedules, documentation, and statuses
- Ensured product backlog was prioritized, groomed and refined to avoid ambiguity in specifications
- Worked with management and other leaders to continually identify and implement team processes and workflow improvements
- Defined and refined agile metrics and reporting to understand and communicate team performance

---

# Project Manager

**Bitbay.Market** ~ 01/2018 - 06/2018 | Kharkiv
Blockchain project

- Managed suite of free-to-use, multi-platform applications including the world's first fully-functional Decentralized Marketplace
- Delivered MVP two weeks ahead of schedule
- Supported client in securing investment of over $1 million post-MVP
- Applied Agile methodologies (Scrum, Kanban, Lean, XP) and Waterfall approaches
- Managed PMO, briefs, estimations, project plans, reports, Gantt charts, risks, and resources

---

# Project Manager

**Maybe.Works** ~ 01/2017 - 06/2018 | Kharkiv
Outsourcing IT company

- Led cross-functional team of developers, designers, 3D artists and QA testers through entire project lifecycle using Agile development methodologies
- Served as primary client contact for all project-related communication, building and maintaining strong relationships
- Created and managed schedules, user stories, risk mitigation plans, scope and budget tracking, and production-related documentation to ensure timely delivery and achievement of launch milestones
- Sourced and managed external partners, ensuring clear communication of project requirements and timelines while monitoring progress for distributed teams
- Reviewed contracts and authored change orders as needed"
