,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5
3141,"# PROFESSIONAL RESUME

## Summary

Agile Project Manager with over 5 years of experience leading cross-functional, globally distributed teams in delivering iOS, Android, and web projects across diverse technologies and methodologies.

---

## Professional Experience

**Agile Project Manager**

- Led agile development initiatives across iOS, Android, and web platforms for over 5 years
- Coordinated cross-functional teams distributed across multiple time zones
- Delivered projects utilizing various technologies and methodologies

---

## Core Competencies

- Agile Project Management
- Cross-Functional Team Leadership
- Global Team Coordination
- iOS Development
- Android Development
- Web Development"
3142,"# PROFESSIONAL SUMMARY

Results-driven Scrum Master and Agile Project Manager with over 7 years of experience leading teams, managing operations, and cultivating client relationships. Proven track record delivering cloud platform and web application development projects. Deep expertise in SDLC, business analysis, requirements elicitation, and process improvement. Strong communicator who drives stakeholder alignment and project success.

---

# PROFESSIONAL EXPERIENCE

**Scrum Master / Agile Project Manager**
**Pacto Systems, Ltd, UK**
*August 2017 – Present*

- Champion Agile values and principles, embedding methodology into daily operations and driving company-wide adoption
- Facilitate Scrum ceremonies including daily standups, sprint planning, sprint reviews, and retrospectives
- Coach cross-functional Agile teams, track velocity metrics, and remove impediments to achieve sprint goals
- Elicit, elaborate, and document business and technical requirements through stakeholder engagements, delivering comprehensive Business Requirements Documents
- Perform solution modelling, backlog grooming, and coordinate client demonstrations
- Analyse processes to identify root causes, assess business impacts, and recommend actionable improvements
- Investigate data discrepancies and identify relationships between datasets to ensure data integrity
- Conduct lead generation activities and manage ongoing customer relationships
- Align requirements with business needs while maintaining compliance with policies, standards, and best practices

**Agile Project Manager**
**Tungus, LLC, Clermont, FL, USA**
*October 2015 – October 2017*

- Built company operations from the ground up, establishing foundational processes and workflows
- Automated processes and streamlined document management systems to improve operational efficiency
- Managed client relationships, collaborating with new and existing clients to ensure satisfaction and retention
- Coached and motivated team members through feedback and guidance to drive performance
- Ensured teams had resources required for successful project delivery"
3143,"# PROJECT MANAGER & SCRUM MASTER

**Profile**

Versatile project manager and scrum master with cross-functional expertise spanning quality assurance, business analysis, and project management. Advocate for lean processes, practical agility, and product quality as a core organizational value.

**Core Competencies**

- Agile Methodologies: Scrum, Kanban, Scaled Agile Framework
- SDLC & CI Tools: Jira, Confluence, Jenkins
- Development and QA Process Design Tailored to Organizational Needs
- Scrum and Kanban Ceremony Facilitation

**Experience**

- 5+ years leading and coaching agile teams
- 3+ years in quality assurance and test automation

**Key Achievements**

- Scaled agile practices across multiple teams encompassing up to 100 people
- Established cross-team communication, synchronization, and release procedures
- Designed and refined development and QA processes aligned with business requirements

**Leadership**

- People management and personal development planning
- Hiring and onboarding

**Philosophy**

Less bureaucracy, more agility and common sense. Product quality should be a priority for every company."
3144,"# SCRUM MASTER

## Experience

### Agile Team Leadership & Facilitation

- Founded and led Agile team from the ground up, coaching members on Scrum methodology and industry best practices
- Orchestrated all Scrum ceremonies including daily standups, sprint planning, sprint demos, and retrospectives
- Delivered sprint demonstrations to clients, translating technical progress into clear, actionable business outcomes

### Product & Project Management

- Partnered with Product Owner to refine backlog management, drive prioritization, and craft compelling user stories
- Facilitated estimation and project planning sessions through detailed analysis of user stories and requirements
- Conducted risk assessment and tracking while proactively eliminating impediments to protect team velocity

### Team Development & Growth

- Integrated new team members during active project cycles, ensuring seamless onboarding without compromising delivery timelines
- Mentored junior team members on Scrum practices and supported their professional development"
3145,"**PROFESSIONAL SUMMARY**

Forward-thinking senior executive with 10+ years of proven success in the high-tech sector. Results-driven leader with expertise in driving organizational change, enhancing revenue streams, and optimizing operational efficiency. Committed to profit maximization through multifaceted business strategies and innovative technology solutions.

---

**CORE COMPETENCIES**

- **Leadership:** Directed teams of up to 160 technical professionals
- **Contract Management:** Fixed Price and Time & Material agreements
- **Methodologies:** Scrum, Kanban, Waterfall

---

**CERTIFICATIONS**

- Certified Project Management Professional — TÜV Rheinland Academy, Cologne, Germany
- Certified Specialist in ISO 9001 — Cologne, Germany
- Certified Scrum Master

---

**PROFESSIONAL EXPERIENCE**

**Chief Technology Officer**
Agrifinance.io

- Spearheaded company growth from initial concept through successful product launch
- Established and executed technical vision and strategy, guiding the start-up's technology direction

**Head of PMO**
MinexSystems.com

- Assembled and led the development team that built the first crypto-bank in the world
- Directed project management office operations, overseeing team performance, delivery, and strategic alignment

**Senior Project Manager**
Prozorro.sale (State Reformatory Start-up)

- Created and delivered multiple projects aligned with organizational objectives
- Managed end-to-end project lifecycles to support strategic business goals"
3146,"**PROFESSIONAL SUMMARY**

Certified Agile Project Manager (ICP-APM) and Professional Scrum Master (PSM I) with more than three years of experience delivering projects from ideation through development to commercial launch. Establishes effective working processes for in-house and distributed teams while achieving project goals within time and budget constraints. Decisive leader and communicator who inspires teams to reach their full potential. Committed to spreading Agile culture and driving organizational change.

**CERTIFICATIONS**

- Professional Scrum Master (PSM I)
- ICAgile Certified Professional – Agile Project Management (ICP-APM)

**CORE COMPETENCIES**

Scrum Framework Implementation | Kanban Methodology | Project Management Tools & Techniques | Cross-Functional Team Leadership | Process Improvement | Organizational Development | Workshop Facilitation | Agile Transformation

**EXPERIENCE HIGHLIGHTS**

- Spearheaded Scrum framework and Kanban implementation across multiple companies and teams, driving enterprise-wide Agile adoption and transformation
- Redesigned organizational structures to establish sustainable Agile practices and continuous improvement cultures
- Designed and facilitated workshops, reports, and meetups on Lean Startup, Lean Software Development, Agile, and Scrum methodologies
- Guided cross-functional teams through complete project life cycles from concept to commercial launch, consistently exceeding established targets
- Built and optimized processes for co-located and distributed development teams, ensuring reliable delivery within time and budget constraints"
3147,"**PROFESSIONAL SUMMARY**

Results-driven IT leader with proven expertise in team building, agile methodologies, and product delivery within the iGaming industry. Demonstrated success establishing and scaling international teams across the UK, Germany, Switzerland, and Ukraine, managing 20+ team members, and delivering complex technical products from concept through operation.

---

**KEY ACCOMPLISHMENTS**

- Built and established two teams in Ukraine: an IT engineering team for software development and an operational team for game and platform operations
- Launched a Fantasy Sports startup from inception to operation, now running as a standalone business
- Delivered multiple casino games in Flash and HTML5
- Simultaneously managed four mobile projects across iOS and Android platforms, including business documentation, presentations, business plans, bids, and development specifications
- Implemented Agile/Scrum framework across development processes, improving team efficiency and delivery consistency
- Led mentoring, coaching, and team building initiatives to develop talent and strengthen team performance

---

**TECHNICAL COMPETENCIES**

Agile Project Management | Business Analysis | PMBOK | BABOK | Scrum | Kanban | Waterfall | Mobile Development (iOS/Android) | Web Development | iGaming & Casino Industry

**BUSINESS COMPETENCIES**

Startup Development | Business Development | Marketing & Sales | Public Speaking | Brand Management | Product Management | Customer Service | People Management | Team Building | Coaching & Motivation

---

**LANGUAGES**

English (Fluent) | German (Upper-Intermediate) | Polish (Low-Intermediate) | Ukrainian (Native) | Russian (Native)

---

**CAREER OBJECTIVES**

- Enterprise-level projects with meaningful business impact
- Collaborative, respectful team environment
- Continuous professional growth and new challenges"
3148,"# Professional Summary

Results-driven Agile Project Manager and Scrum Master with over 12 years of experience in software development. Dedicated to optimizing project processes, implementing Agile best practices across teams, and coaching teams to deliver successful business outcomes.

# Technical Background

Over 10 years of experience as a Software Developer and Architect, delivering high-quality software solutions for US and European clients across diverse projects. Expertise in C/C++.

# Core Competencies

**Leadership & Communication**
Communication | Consensus Building | Conflict Management | Executive, Client & Team Liaison

**Strategic Delivery**
Leadership | Networking | Strategic Problem-Solving | Translating Complex Information into Compelling, Concise Messaging

**Adaptability**
Rapid Adoption of Tools, Techniques, Practices & Methodologies

# Languages

English (Excellent) | Russian (Native) | Ukrainian (Native)

---

Available for new opportunities. Please get in touch."
3149,"**PROFESSIONAL SUMMARY**

Agile Project Manager and Delivery Manager with 8 years in IT, including 4+ years specializing in Agile project delivery across diverse formats and methodologies. Expert in Scrum, Kanban, and Lean techniques, optimizing product development while maintaining the highest quality standards.

**KEY ACHIEVEMENTS**

- Doubled deliverable output while reducing Time to Market by 33% through process optimization and strategic prioritization
- Implemented Kanban methodology at all organizational levels, leveraging the Kanban Maturity Model and Evolutionary Change Model to drive safe, sustainable cultural transformation
- Scaled Agile processes across complex organizational structures, leading teams from atomic Scrum units to cross-functional groups of 40+ FTEs
- Directed organizational operations encompassing 100+ FTEs

**CORE COMPETENCIES**

Scrum | Kanban | Lean | Agile | Process Optimization | Team Leadership | Organizational Scaling | Cultural Transformation | Strategic Prioritization | Delivery Management

**PROFESSIONAL OBJECTIVE**

Seeking opportunities to partner with organizations committed to achieving operational excellence through Agile transformation."
3150,"**DELIVERY MANAGER & SCRUM MASTER**

Dual-role leadership across a 40+ person project, driving Agile excellence and operational efficiency in FinTech and Healthcare with monthly budgets of $100–150K.

---

**LEADERSHIP & DELIVERY MANAGEMENT**

- Managed and coached 3 Scrum Teams simultaneously, leading 25+ team members across diverse environments
- Established Release Management process coordinating 3 teams across multiple domains and functionality areas
- Designed and implemented end-to-end framework for requirements gathering, processing, and implementation
- Built team performance metrics system from the ground up, achieving 4.9/5 overall team satisfaction rating
- Executed High-Level Quarterly Planning to align delivery with strategic objectives

**SCRUM MASTER**

- Led cross-functional teams of developers, QA, BA, and stakeholders through full Agile delivery cycles
- Facilitated Agile ceremonies: Product Backlog Refinement, Sprint Planning, Daily Stand-ups, Retrospectives, and Iteration Demos
- Conducted Scrum Workshops to elevate team Agile capabilities and maturity
- Established peopleware practices including 1-to-1 meetings and regular check-ins to foster team development
- Served as communication bridge between development teams and Product Owners
- Built and optimized delivery processes for sustained team performance

**PROJECT MANAGEMENT**

- Created and executed development plans with rigorous progress control and transparent stakeholder reporting
- Managed change requests and mitigated risks associated with evolving requirements
- Maintained Risk Register and developed proactive mitigation strategies
- Conducted requirements analysis through stakeholder interviews and User Story mapping"
3153,"# PROFESSIONAL SUMMARY

Results-driven Agile Project Manager with over 11 years of IT industry experience and 7+ years leading dynamically growing teams through Scrum and Kanban methodologies. Committed to continuous professional development as both training participant and facilitator. Passionate about fostering team growth within challenging, collaborative environments.

# CORE COMPETENCIES

**Project Management & Methodologies**
Agile Project Management | Scrum | Kanban | Risk Management | Change Management

**Leadership & Collaboration**
Team Building & Motivation | Conflict Resolution | Training & Facilitation

**Technical Skills**
JIRA | Applications Deployment

# PROFESSIONAL ATTRIBUTES

- Guide, mentor, and develop team members toward peak performance
- Drive continuous improvement across technical and interpersonal competencies
- Thrive in dynamic, fast-paced environments demanding adaptability and decisive leadership"
3155,"# PROFESSIONAL RESUME

## Professional Experience

**Agile Transformation Leader**
- Spearheaded enterprise-wide Agile transformation initiatives, driving organizational change and stakeholder alignment across 50+ team members

**Scrum Master**
- Facilitated concurrent delivery across 5 cross-functional teams, coordinating parallel workstreams to optimize throughput, collaboration, and delivery outcomes

**Project Manager**
- Delivered projects applying PMBOK methodology, ensuring alignment with industry-standard practices, frameworks, and project governance

## Core Competencies

Enterprise Agile Transformation | Multi-Team Scrum Facilitation | PMBOK Project Management | Cross-Functional Team Coordination | Organizational Change Leadership | Stakeholder Engagement | Delivery Optimization"
3156,"**SCRUM MASTER**

**Team Facilitation**
- Partner with 3 cross-functional teams to enhance efficiency, self-management, and delivery of sprint increments
- Strengthen Definition of Ready criteria while reducing inter-team dependencies
- Proactively identify and remove impediments blocking team goals
- Facilitate Scrum events within established timeboxes, driving productive and focused sessions

**Product Owner Collaboration**
- Support 3 Product Owners in defining product and sprint goals, managing Product Backlogs, and executing refinement activities
- Contribute to sprint planning preparation and execution
- Facilitate stakeholder communication and engagement to align priorities and drive organizational buy-in

**Organizational Development**
- Champion agile software development approaches and implement best practices across teams
- Design, implement, and maintain organizational processes while adapting tooling to optimize workflows
- Cultivate productive relationships across teams and departments, removing organizational impediments and driving cross-departmental cooperation
- Support recruitment efforts"
3157,"# Gulnar Abasova

---

## Objective

Agile practitioner seeking opportunities to deepen Scrum expertise within collaborative, cross-functional development environments.

---

## Professional Experience

**Scrum Master | Fintech**
*Internal Sales Platforms & Online Banking Applications*

- Facilitated comprehensive Scrum ceremonies—sprint planning, daily standups, sprint reviews, and retrospectives—empowering self-managing, cross-functional development teams
- Served as communication bridge between product owners and development team members, including QA testers
- Partnered with product owners to conduct backlog refinement sessions, ensuring prioritization clarity and stakeholder alignment
- Monitored project timelines and proactively supported teams in achieving delivery commitments
- Championed adherence to Agile and Scrum principles and methodologies
- Drove 100% improvement in team delivery velocity following Scrum implementation
- Demonstrated adaptability across remote and in-office work environments

---

## Education

**Master of International Project Management**
Vilnius University | In Progress
Lithuanian State Scholarship Recipient

---

## Skills

**Tools:** Jira, Notion, Microsoft Project

**Product Development:** End-to-end product lifecycle engagement—idea generation, UX research, wireframing, quality assurance, and debugging"
3158,"# Professional Summary

Agile Leader and Scrum Master with more than five years of experience managing distributed teams of up to 40 full-time employees, including three years dedicated to Scrum Master responsibilities. Proven track record of driving team performance, facilitating agile transformation, and cultivating strong stakeholder relationships across complex organizational environments.

---

## Core Competencies

**Agile Facilitation & Coaching**
Scrum Ceremony Facilitation | Impediment Identification & Removal | Team Self-Organization | Cross-Functional Collaboration | High-Performance Culture Development

**Leadership & Team Development**
People Management | Resource Planning | Project Recruitment | Distributed Team Coaching | Collaborative Environment Cultivation

**Stakeholder & Communication Management**
Client Relationship Development | Communication Process Design | Meeting Facilitation | Strategic Partnership Building

**Project Governance**
Status Tracking & Reporting | Risk Management | Metrics Collection & Analysis | Analytical Problem-Solving

---

## Certifications

- Certified SAFe® 5 Advanced Scrum Master
- Certified SAFe® 5 Scrum Master
- Certified AgilityHealth® Facilitator for SAFe®"
3159,"# PROFESSIONAL SUMMARY

Agile Project Manager and Scrum Master with proven success leading teams of varying sizes across diverse project portfolios. Expert at aligning teams with business objectives while monitoring progress to ensure milestones are delivered on time and meet expected outcomes. Skilled in selecting and implementing processes and tools tailored to individual project needs, with the flexibility to adapt methodologies based on project specifics and client goals. Recognized for strong team-building capabilities, excellent communication, and the ability to thrive in dynamic environments with evolving requirements.

---

**Core Competencies**

Agile & Scrum Methodologies | Cross-Functional Team Leadership | Stakeholder Alignment | Milestone Tracking & Delivery | Process Optimization | Adaptive Project Planning | Client-Focused Solutions | Communication & Collaboration"
3160,"**IT MANAGEMENT PROFESSIONAL**

**SUMMARY**

Results-driven IT Management professional with 12+ years in Information Technology and 11+ years of dedicated management experience. Expert in leading all project lifecycle phases—initiation, planning, implementation, monitoring, control, maintenance, and closure. Track record of building and scaling engineering teams to 30+ members across multiple teams, with deep expertise in outsource and product development environments.

---

**CERTIFICATIONS**

CSM | CSPO | ICP-APM

---

**CORE COMPETENCIES**

Agile Methodologies (Scrum, XP, Kanban) — 4+ Years | Waterfall SDLC | Scrum Master & Product Owner Practices | Team Building & Engineering Team Development | Leadership & Mentorship | Project Management Tools | Agile Community Development & Evangelization

---

**KEY QUALIFICATIONS**

- Built engineering teams from the ground up, scaling operations to 30+ engineers across multiple teams
- Delivered successful projects across outsource and product development environments
- Bridged technical execution with business priorities through combined Scrum Master and Product Owner expertise
- Established Agile communities that drove organizational adoption of Agile values and practices
- Cultivated high-performing teams through strategic leadership and mentorship

---

**PROFESSIONAL FOCUS**

Seeking engaging projects requiring professional management expertise and collaborative team leadership."
3161,"# Full-Scale Project Manager

Proactive project manager with 10+ years of experience at international product and IT outsourcing companies, guiding projects from product concept and pre-sale through successful launch.

## Core Competencies

**Distributed Team Leadership** | Directed cross-functional teams of up to 50 members across multiple locations

**Multi-Project Management** | Maintained concurrent oversight of 5+ simultaneous projects while ensuring quality delivery

**Stakeholder Engagement** | Built cross-functional relationships across diverse business areas, balancing client-focused delivery with strong team advocacy

**Rapid Domain Acquisition** | Quickly mastered new subject matter to drive informed decision-making

## Key Achievements

- Delivered 20+ projects of varying scale and complexity, demonstrating consistent execution across the full project lifecycle

- Released 5+ products within a single year—spanning platforms, marketplaces, mobile applications, and websites—showcasing ability to manage rapid, parallel delivery cycles"
3162,"# Senior Scrum Master | Agile Coach | Project/Delivery Manager

## Professional Summary

Senior Scrum Master and Agile Coach with extensive experience leading up to 5 teams comprising 35 FTE across CRM, logistics, sales, finance, and marketing for desktop and web platforms. Proven expertise in portfolio-level management, risk management, and release planning. Equally effective in Agile methodologies and traditional project management approaches, including time and material and fixed price engagements.

## Core Competencies

Scrum Mastery & Agile Coaching | LeSS Huge Implementation | Portfolio & Risk Management | Release & Delivery Planning | Stakeholder Management | Full-Cycle ERP Implementation | Technical Documentation | Team Coaching & Training

## Professional Experience

**Senior Scrum Master & Agile Coach**

- Led Scrum Master activities for 30+ team members distributed across 5 internal teams, driving cross-functional collaboration and delivery excellence
- Served as Agile Coach within a LeSS Huge framework, supporting 1 product area spanning 6 teams through scaled agile transformation
- Orchestrated end-to-end workflows, coached Product Owners, and facilitated all multi-team ceremonies to ensure alignment and continuous improvement
- Built strong partnerships with Product Owners and key stakeholders, fostering transparency and accelerating decision-making
- Streamlined processes while providing administrative and technical project support to remove impediments and optimize team performance

**Project/Delivery Manager**

- Delivered full-cycle ERP implementations spanning CRM, sales, logistics, and finance at Carlsberg Ukraine
- Deployed UPS logistics solution serving 60 distributors with ongoing support for 3,000+ users
- Contributed to enterprise automation initiatives at Ukrtelekom, including record-keeping, finances, and management systems
- Executed system configuration, developed output forms, and built supplementary components
- Led alpha-testing, user training programs, and stakeholder presentations
- Managed tendering processes and conducted business negotiations with customers and developers

## Technical Skills

SQL | HTML | CSS | JavaScript | React | .NET Core | GitHub | Jira | TFS

## Languages

English (Professional)"
3186,"**PROFESSIONAL EXPERIENCE**

**Project & Operations Management**
- Direct 30+ concurrent projects while maintaining quality standards and operational efficiency
- Orchestrate large-scale data operations initiatives, facilitating collaboration between customers and data labeling teams
- Develop statements of work and maintain stakeholder alignment to define project deliverables and milestones

**Customer Success & Relationship Management**
- Partner with customers to design and implement data labeling pipelines, optimizing annotation workflows for efficiency and accuracy
- Lead strategic calls with customers and service providers, building strong relationships and clear communication channels
- Monitor performance metrics, resolve customer concerns, and deliver outcomes

**Team Leadership & Quality Assurance**
- Lead the Data Labeling Quality Assurance team, enforcing quality standards while driving continuous improvement initiatives
- Assess and optimize data labeling workforce performance, delivering guidance to maximize productivity and results
- Foster a collaborative work environment that encourages cross-functional cooperation

**Financial & Strategic Planning**
- Develop customer budgets and service provider cost estimates, ensuring financial transparency and cost optimization
- Cultivate service provider partnerships, driving successful project delivery
- Analyze industry trends and emerging technologies, delivering recommendations for product enhancements and process improvements"
3225,"# PROFESSIONAL RESUME

## SUMMARY
Results-driven marketing and project management professional with deep expertise in Amazon marketplace operations. Creator of a proprietary reputation management process. Proven track record of successfully managing more than 10 cases across diverse niches, with 6 built from the ground up.

---

## PROFESSIONAL EXPERIENCE

### AMAZON MARKETING MANAGER
**DigiOrange** — Brooklyn, NY
*January 2022 – Present*

- Lead Amazon marketplace operations and marketing strategy
- Apply proprietary reputation management process to drive brand performance
- Manage multi-niche case development initiatives

### MARKETING PROJECT MANAGER
**TBI-Pro** — Chicago, IL
*September 2021 – January 2022*

- Directed marketing projects and campaign execution
- Coordinated cross-functional teams to meet project milestones

### MARKETPLACES PROJECT MANAGER
**FDS-IT** — Staten Island, NY
*December 2018 – September 2021*

- Oversaw marketplace operations and project workflows
- Contributed to ground-up case development across diverse product niches

### AMAZON MANAGER
**Shopping Cart Elite** — Brooklyn, NY
*2015 – 2018*

- Managed Amazon seller accounts and marketplace presence
- Built foundational expertise in e-commerce operations

---

## CORE COMPETENCIES
Amazon Marketing & Marketplace Management | Project Management & Cross-Functional Coordination | Proprietary Reputation Management Systems | Multi-Niche Case Development & Launch Strategy | E-Commerce Operations"
3315,"**PROFESSIONAL SKILLS**

**Business Analysis**
- Plan and execute end-to-end business analysis activities across the project lifecycle
- Define business needs, solution scope, and strategic objectives
- Conduct comprehensive stakeholder analysis and targeted elicitation activities
- Collect, analyze, and document business, functional, and non-functional requirements
- Manage solution scope and communicate requirements effectively to diverse audiences
- Perform solution assessment and validation to ensure alignment with business goals
- Facilitate knowledge transfer to stakeholders to support adoption and continuity

**Documentation & Methodologies**
- Develop use cases and user stories to capture detailed requirements
- Apply BPMN for process documentation
- Deliver iterative solutions within Agile and Scrum frameworks

**Project Management**
- Manage projects end-to-end, from initiation through delivery

**Technical Skills**
- Microsoft Excel
- Visual Basic

**CAREER INTERESTS**

Driven by professional growth, energized by complex challenges, and committed to thriving within collaborative team environments."
3321,"**CAREER OBJECTIVE**

Analyst position with opportunities to develop advanced data processing skills using SQL, Tableau, and related tools, while conducting survey-based research to test business hypotheses.

---

**PROFESSIONAL EXPERIENCE**

**Research Manager**
**Silpo-Food LLC (Fozzy Group)**

- Direct end-to-end qualitative and quantitative marketing research projects, from strategic design through final delivery
- Partner with internal stakeholders to define research objectives, methodologies, and success criteria
- Design and program survey instruments; execute comprehensive data processing and statistical analysis
- Lead ad-hoc investigations and longitudinal tracking studies to identify market trends
- Synthesize complex findings into actionable reports and deliver presentations to cross-functional stakeholders
- Supervise field teams including supervisors and operators to ensure data quality and collection standards
- Source and integrate primary and secondary market intelligence to support strategic business decisions

**Commodity Market Research Analyst-Specialist**
**Kyivstar Private Joint Stock Company**

- Spearhead marketing research initiatives while managing project budgets and timelines
- Serve as primary liaison between internal clients and external contractors, negotiating project scope and deliverables
- Administer research databases and construct targeted queries to extract actionable insights
- Execute telecommunications market analysis leveraging primary and secondary data sources
- Streamline document management workflows to enhance operational efficiency"
3332,"**Professional Experience**

**Software Implementation Project**
*Customer Relationship Management System & Desktop Application*

**Project Planning & Strategy**
- Conducted comprehensive market analysis to drive product direction and strategic decision-making
- Developed and executed development roadmap encompassing goals, milestones, and deadlines, ensuring cross-functional alignment
- Orchestrated stakeholder communication and engagement throughout the complete project lifecycle

**Execution & Delivery**
- Designed and developed system prototypes to validate requirements, test assumptions, and refine design concepts
- Spearheaded User Acceptance Testing initiatives, ensuring delivered solutions met defined business requirements
- Drove successful end-to-end implementation and deployment from concept through production release

**Technical Proficiencies**
MS Project | Trello | Atlassian | Office 365 | Prototyping Tools"
5877,"# PROFESSIONAL RESUME

## Objective
Seeking opportunities to contribute to live, production-level projects.

## Architecture & Databases
- Designed and implemented Hadoop-based data storage solutions scaling to 50 terabytes
- Developed serverless architecture achieving near-zero idle costs
- Established infrastructure as code on Kubernetes with streamlined delivery processes requiring minimal DevOps involvement

## Product & Project Management
- Led cross-platform Messenger project from inception to full-feature deployment on Apple App Store and Google Play within 6 months
- Implemented cost-saving measures across SDLC processes

## Human Resources
- Recruited 50+ developers within 4 months while maintaining turnover rate below 5%

## Selected Projects

**Confidential Client** | 2019
Architect/DevOps — Designed and deployed infrastructure as code on AWS utilizing Terraform, Kubernetes, Helm, and CI/CD pipelines

**Ternary Intelligence** | ternaryintelligence.com | 2018
Architect/Project Manager — Engineered serverless AWS cloud architecture for fintech applications

**One Space** | spywords.ru | 2018
Architect/Data Science — Built Hadoop infrastructure for web scraping and data engineering

**Defcom** | defcom.com | 2016
Project Manager/Architect — Directed mobile development and secure messaging solutions"
5981,"# Resume

## Professional Experience

**Product Manager | HeyJoy Toy Store**
US-based retail-tech startup

- Led end-to-end product development of consumer mobile application from concept to launch
- Delivered MVP and validated core value hypothesis through user testing

**Project Manager | Snap Inc.**
Sponsored AR / Sponsored Lenses Department

- Managed AR project development for Fortune 500 clients including Disney, Nike, Microsoft, Universal, and Verizon
- Led Internal AR Innovations initiative within Sponsored AR department
- Balanced client expectations with team capacity through ongoing risk evaluation and adaptive development approaches
- Streamlined cross-functional processes to improve delivery efficiency

## Skills

- Full product lifecycle management from ideation through launch
- Stakeholder management and cross-functional team leadership
- Risk assessment and mitigation
- Production team coordination and negotiation"
6043,"# RESUME

## PROFESSIONAL SUMMARY

Results-driven Project Manager with 5 years of team management experience across IT, hospitality, and military sectors. Expert in Agile methodologies (Scrum, Kanban) and full-spectrum project management including risk, scope, schedule, resource, and quality management. Proven track record building high-performing cross-functional teams, establishing communication frameworks, balancing competing stakeholder interests, and driving measurable operational improvements.

## PROFESSIONAL EXPERIENCE

**Project Manager | SoftServe**
October 2021 – Present

**Service Manager | Veteran Hub Dnipro**
September 2020 – October 2020

- Led cross-functional team of 6 specialists delivering psychological, legal, and career services
- Drove personnel hiring, onboarding, and development of operational workflows and reporting systems
- Maintained organizational compliance and team performance standards
- Strengthened team cohesion and collaboration through effective conflict management

**Junior 3D Artist | Freelance (Remote)**
December 2019 – September 2020

- Delivered low-poly and high-poly modeling, UV unwrapping, texturing, baking, and level design projects

**Hotel Manager | Mykulychyn**
November 2018 – November 2019

- Directed end-to-end hotel operations including reservations, booking management, and payment processing
- Managed personnel and guest relations to optimize service delivery
- Elevated Booking.com rating from 8.7 to 9.0 through strategic service enhancements

**Artillery Battery Control Platoon Commander | 4th Rapid Reaction Brigade, National Guard of Ukraine, Gostomel**
November 2016 – November 2018

- Commanded 10-member team with varying experience levels, ensuring mission readiness
- Maintained accountability for high-precision equipment valued up to €20,000 per unit
- Executed time-critical mathematical calculations and geometric analysis under pressure
- Synthesized logistics routes and observation data from multiple intelligence sources

**Hotel Manager | Remote**
April 2015 – November 2016

## CERTIFICATIONS

- IT Project Manager Course, Beetroot Academy
- IT Project Manager Course, SoftServe Academy"
6078,"# PROFESSIONAL RESUME

## SUMMARY

Project Manager with a proven track record delivering end-to-end projects for major game development companies worldwide, contributing to several renowned titles in the industry.

## CORE COMPETENCIES

- Full project lifecycle management
- Scope estimation and resource planning
- Stakeholder communication and partner relations
- Cross-departmental collaboration
- Risk management and change request handling
- Team leadership and task allocation

## PROFESSIONAL EXPERIENCE

**Project Manager – Game Development**

- Lead end-to-end project delivery from partner kick-off through retrospective and closure, consistently meeting initial planning and efficiency targets
- Develop accurate scope estimates through detailed analysis of references and creative briefs
- Serve as primary point of contact for global partners, managing communications across multiple time zones
- Build and assign task workflows for artist teams while facilitating daily stand-ups to drive alignment and progress
- Collaborate with Legal and Finance departments to manage documentation, agreements, invoices, and payment tracking
- Forecast project efficiency, proactively reallocate resources, and implement risk mitigation strategies
- Drive change request processes by compiling information, building business cases, and coordinating with department heads
- Execute comprehensive project closure activities including Jira verification, team retrospectives, and final invoicing

## CAREER INTERESTS

- Game development industry
- Product-focused companies
- Collaborative team environments"
