,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview
12515,"**[NAME]**
[Contact Information]

**PROFESSIONAL SUMMARY**
Results-oriented professional with a versatile background in Project Management, Business Analysis, and Business Development. Proven track record of enhancing team productivity and velocity while delivering successful projects for a global client base. Dedicated to fostering positive team environments and maintaining high levels of stakeholder satisfaction through strategic project execution and effective management.

**CORE COMPETENCIES**
*   **Project Management:** SDLC & WDLC Methodologies, Full Lifecycle Execution, Risk Mitigation, Change Management, Crisis Management.
*   **Business Analysis:** High-level Requirement Gathering, Backlog Grooming, Work Breakdown Structure (WBS), Business Requirement Documentation (BRD).
*   **Business Development:** Pre-sales, Contract Negotiations, Market Research, Research & Development (R&D).
*   **Leadership & Communication:** People Management, Global Stakeholder Relations, Workflow Optimization, Team Productivity.
*   **Financial Oversight:** Project Estimation, Cost Control, Budget Management.

**PROFESSIONAL EXPERIENCE**
*   Directed the full lifecycle of multiple web projects, overseeing all phases from inception to successful delivery.
*   Increased team velocity and overall productivity by streamlining workflows and implementing effective backlog grooming processes.
*   Facilitated the gathering and documentation of high-level business requirements to ensure project alignment with client needs and objectives.
*   Authored comprehensive Work Breakdown Structures (WBS) and Business Requirement Documents (BRD).
*   Identified potential project risks and implemented mitigation strategies, providing decisive leadership during crisis management scenarios.
*   Executed rigorous project control measures, including precise estimation and strict cost control.
*   Maintained professional and consistent communication with stakeholders across diverse global regions to ensure project transparency.
*   Applied Software Development Life Cycle (SDLC) and Web Development Life Cycle (WDLC) methodologies to ensure high standards of project quality.
*   Contributed to organizational growth through active participation in pre-sale activities, contract negotiations, and detailed marketing research.

**CAREER OBJECTIVE**
Seeking to leverage extensive experience in project management and business development to contribute to organizational success while pursuing professional growth and skill acquisition within a challenging new environment."
12516,"[NAME]
[Phone Number] | [Email] | [LinkedIn]

**PROFESSIONAL SUMMARY**

Strategic Retail Manager with 7 years of leadership experience at one of Ukraine’s largest retail corporations. Proven track record of exceeding sales targets and building high-performing teams through innovative management and modern retail strategies. Expert in advanced product management, market research, and the integration of emerging technologies. Skilled in collaborating with R&D to develop technology roadmaps that drive organizational growth and operational efficiency.

**CORE COMPETENCIES**

*   **Strategic Leadership:** Team Building, Staff Training, Sales Management
*   **Product Expertise:** Advanced Product Management, New Product Implementation
*   **Research & Innovation:** Market Research, Growth Opportunity Identification
*   **Technical Strategy:** R&D Technology Roadmap Development, Emerging Technologies Integration

**PROFESSIONAL EXPERIENCE**

**Manager | [Name of Retail Company] | Ukraine**
*   Directed retail operations for 7 years, consistently delivering sales results that outperformed all initial targets.
*   Spearheaded advanced product management initiatives and identified strategic opportunities to exploit market growth.
*   Conducted comprehensive market research to facilitate the successful launch and implementation of new products.
*   Collaborated directly with R&D teams to create and execute long-term technology roadmaps.
*   Modernized sales management and retail operations by leveraging and integrating emerging technologies.
*   Designed and delivered targeted staff training programs to enhance team expertise and overall performance.

**EDUCATION**

**Master’s Degree in Economics**
National Technical University of Ukraine ""Kyiv Polytechnic Institute""

**Bachelor’s Degree in Metrology and Measurement Technologies**
National Technical University of Ukraine ""Kyiv Polytechnic Institute"""
12518,"**[NAME]**
[Phone Number] | [Email Address] | [LinkedIn Profile]

**VERSATILE PROJECT MANAGER**

**PROFESSIONAL SUMMARY**
Strategic Project Manager with 5 years of experience specializing in the development of new business concepts and the leadership of high-impact projects. Entrepreneurial-minded professional with a passion for technology and a drive for intellectual curiosity. Dedicated to applying extensive expertise in project management and product development while acquiring and implementing new techniques.

**CORE COMPETENCIES**
* Project Management
* Product Development
* Business Development
* Product Marketing
* Agile Methodology

**TECHNICAL SKILLS**
* **Systems & Platforms:** Jira, Azure, Google Analytics
* **Productivity Software:** Microsoft Office (Excel, PowerPoint)
* **Technical Proficiencies:** Blockchain, HTML5, CSS"
12519,"**SUMMARY**

Accomplished Project Manager and Business Analyst with extensive experience in Risk, Compliance, and Information Systems. Proven track record of leading multinational teams (Indian, French, and Spanish) to implement large-scale CRM solutions and company-wide information systems. Expert in managing business process change and organizational adoption within fast-paced environments. Seeking a Business Analyst or Project Manager role within the IT sector.

**PROFESSIONAL EXPERIENCE**

**Head of Sales Support** | 2016 – Present
*   Direct sales support operations with a primary focus on business analysis and project management.

**Project Manager / Business Analyst / Risk and Compliance** | 2009 – Present
*   Serve as Project Manager for a multinational team (Indian, French, and Spanish) to implement a new company-wide information system.
*   Manage the full lifecycle of CRM system implementations, coordinating across international teams to ensure seamless integration.
*   Lead change management and adoption initiatives for all business processes resulting from new system implementations.
*   Successfully implement numerous satellite applications integrated with the core company information system.
*   Execute cross-functional responsibilities across Business Analysis, Project Management, and Risk and Compliance.

**CORE STRENGTHS & SKILLS**

*   **Project Management:** Expert in leading multinational teams and delivering complex, large-scale projects on schedule.
*   **Business Analysis:** Skilled in evaluating business processes and implementing technical solutions to drive organizational transformation.
*   **Risk & Compliance:** Proficient in managing organizational risk and ensuring strict adherence to compliance standards.
*   **Change Management:** Demonstrated ability to facilitate the adoption of new systems and processes across the enterprise.
*   **Multinational Collaboration:** Experienced in working within diverse teams (Indian, French, Spanish) to achieve collective goals.

**PROJECT HIGHLIGHTS**

*   **Information System Implementation:** Acted as Project Manager for a multinational team; drove the total transformation and adoption of company business processes.
*   **CRM System Implementation:** Served as Project Manager for a multinational team; oversaw the transition and optimization of business processes.
*   **Satellite Application Deployment:** Managed the rollout of multiple applications to enhance the functionality and integration of the primary information system."
12520,"**PROJECT MANAGER**

**Professional Summary**
Results-driven Project Manager with over 5 years of experience specializing in web and mobile (Android) development. Proven track record of leading cross-functional teams of 7–10 members across e-commerce, B2B, corporate, and media sectors. Expert in delivering complex projects integrated with accounting systems such as 1C and Капитал. Adept at aligning IT strategy with business goals to deliver high-impact, customer-focused solutions.

**Core Competencies**
*   **Project Management:** Business Requirements Analysis, Project Planning & Scheduling, Scope Management, Risk Tracking & Mitigation, Budget Maintenance.
*   **Leadership:** Resource Management, Team Mentorship, Issue Identification & Resolution, Stakeholder & Sponsor Relations.
*   **Strategy:** Business & IT Strategy Alignment, Analytical Thinking, Organizational Leadership.
*   **Technical Environment:** Web & Mobile (Android) Development, Multi-project Coordination.

**Technical Proficiencies**
*   **Project Management Tools:** Jira, Teamwork, Trello
*   **Software:** MS Office, Adobe Photoshop

**Professional Experience**
**Project Manager**
*   Direct end-to-end web and mobile (Android) development lifecycles from initial inception through to successful completion.
*   Lead cross-functional teams of 7–10 members, providing strategic oversight and support during design and development phases.
*   Orchestrate complex integrations with accounting platforms, including 1C and Капитал, for e-commerce, B2B, corporate, and media projects.
*   Perform comprehensive business requirements analysis to define project scope, objectives, and key deliverables.
*   Develop and execute detailed project plans and schedules, monitoring milestones to ensure consistent, timely delivery.
*   Align project objectives with organizational goals, ensuring clear communication of vision across the project team.
*   Identify and resolve critical project issues and manage the comprehensive risk tracking process.
*   Supervise resource allocation to maintain schedule integrity and ensure strict budget adherence.
*   Manage a portfolio of multiple projects simultaneously while providing transparent status reporting to stakeholders.
*   Cultivate and maintain high-value partnerships with customers, stakeholders, and project sponsors.

**Professional Attributes**
*   **Detail-Oriented:** Strong organizational skills with a focus on precision.
*   **Strategic Communicator:** Effective at facilitating dialogue between teams, customers, and stakeholders.
*   **Collaborative:** Thrives in fast-paced, team-centric environments.
*   **Customer-Centric:** Dedicated to achieving product excellence and meeting user needs.

**Objective**
To contribute to a high-performing team by developing innovative products, enhancing professional skills, and acquiring new knowledge within a challenging project management role."
12521,"**PROJECT MANAGER | BUSINESS ANALYST**

**PROFESSIONAL SUMMARY**
Results-oriented Project Manager and Business Analyst with over 5 years of experience in the IT, telecommunications, and banking sectors. Proven track record of managing the full project lifecycle, from initial concept through implementation and ongoing support. Expert in multitasking and managing high volumes of data across multiple simultaneous projects under strict deadlines. Skilled in systemic thinking, task decomposition, and cross-functional communication.

**CORE COMPETENCIES**
*   **Methodologies:** Agile, Scrum, and Classic Waterfall.
*   **Project Management:** Full Lifecycle Management, Task Decomposition, Prioritization, Resource Evaluation, and Deadline Management.
*   **Analysis:** Data Analysis, Systemic Thinking, and Research.
*   **Soft Skills:** Team Collaboration, Independent Problem Solving, Strategic Organization, and Stakeholder Communication.

**PROFESSIONAL EXPERIENCE**
*   Directed and supported complex IT projects within the telecommunications and banking industries from inception to completion.
*   Successfully oversaw multiple concurrent projects and products, maintaining high performance in multitasking environments with strict deadlines.
*   Applied systemic thinking to decompose complex tasks into actionable subtasks, establishing priorities and evaluating necessary tools and information sources.
*   Facilitated effective communication with diverse stakeholders to resolve issues and drive project results.
*   Achieved project objectives through both collaborative team engagement and independent execution.

**EDUCATION & CERTIFICATIONS**
*   Additional Education in Project Management.
*   Proficient in established project management methodologies (Waterfall, Agile, and Scrum)."
12523,"**PRODUCT OWNER / BUSINESS ANALYST**

**PROFESSIONAL SUMMARY**
Results-oriented professional with 17 years of experience in the banking industry, including 7 years specializing in IT project delivery as a Business Analyst (BA), Project Manager (PM), and Product Owner (PO). Deep expertise in digital retail banking and fintech, with a proven track record of implementing complex systems from inception and managing in-house development. Expert in navigating the full Software Development Life Cycle (SDLC) using Agile methodologies and frameworks.

**CORE COMPETENCIES**
*   **Project Leadership:** End-to-end project management from initial inception through to production.
*   **Business Analysis:** Drafting Business Requirement Documents (BRD) and modeling business processes using BPMN 2.0 notation.
*   **Product Management:** Managing product backlogs, defining project plans, and supervising UX/UI design teams.
*   **Technical Proficiency:** Expert use of Jira, Confluence, Figma, and SDLC management.
*   **Domain Expertise:** Digital Retail Banking, Fintech, CRM systems, and Payment Systems.

**PROJECT HIGHLIGHTS**

**Internet Banking for Retail Business**
*   Orchestrated the implementation of comprehensive P2P transfer functionality, including cross-border, account-to-account, and SEPA transfers.
*   Developed robust card management systems and online currency exchange modules.
*   Enabled digital onboarding processes for opening deposit and card accounts.

**Tokenization System (Visa & MasterCard)**
*   Managed the end-to-end implementation of tokenization systems from initial stages to production.
*   Collaborated with Visa to successfully launch Google Pay, Apple Pay, and Garmin Pay.
*   Collaborated with MasterCard to facilitate the launch of Google Pay and Apple Pay.

**Retail Bank Front-Office System**
*   Delivered a centralized system for retail business operations, optimizing functional areas including credit card sales, cash loans, and refinancing.
*   Implemented core modules for opening current and deposit accounts and debit card issuance.
*   Integrated CRM elements to enhance retail business operations.

**TECHNICAL SKILLS**
*   **Tools:** Jira, Confluence, Figma
*   **Methodologies:** Agile, SDLC
*   **Notations:** BPMN 2.0"
12525,"**Product Owner**

**Professional Summary**
Technical Product Owner with a proven track record of bridging the gap between business vision and technical execution. Expert in transforming complex business ideas into effective solutions through team facilitation, clear goal-setting, and proactive obstacle removal. Dedicated to fostering collaborative environments and delivering customer-centric products across diverse industries.

**Core Competencies**
*   **Product Strategy:** Roadmap contribution, vision alignment, and short-term planning.
*   **Backlog Management:** End-to-end specification, prioritization, and testing of features and bug fixes.
*   **Team Leadership:** Conflict resolution, facilitation of idea generation, and release organization.
*   **Design Collaboration:** Strategic UX/UI improvement and design alignment.
*   **Support & Maintenance:** Workflow management and technical troubleshooting.

**Professional Experience**

**Product Owner**
*   Partnered with strategic Product Owners to elicit and define client requirements and overarching product vision.
*   Drove the development of global roadmaps and translated short-term objectives for the engineering team.
*   Orchestrated the end-to-end product backlog, including detailed specification, prioritization, and rigorous testing of new features and evolutions.
*   Led product development workshops to foster innovation and generate creative technical solutions.
*   Coordinated product releases and standardized knowledge-sharing protocols across the organization.
*   Collaborated on strategic UX/UI enhancements to improve user engagement and design alignment.
*   Directed product support workflows and proactively resolved technical and operational bottlenecks.
*   Mediated team conflicts and facilitated collaborative problem-solving to sustain a high-performance culture.

**Industry Expertise**
*   Printing and Publishing
*   Retail
*   CRM / ERP
*   E-commerce
*   Healthcare
*   VR/AR Entertainment

**Career Objectives**
Seeking a specialist role offering opportunities for mentorship, professional training, and career growth. Aiming to contribute to challenging projects in a creative environment that encourages the implementation of new ideas and recognizes performance through regular appraisals."
12526,"**[NAME]**
[Contact Information]

**PROFESSIONAL EXPERIENCE**

**Project Leadership**
*   **Company Core System:** Managed the end-to-end development of the company's core system from the ground up.
*   **Internet Marketing and Sales:** Led strategic projects focused on digital marketing and sales initiatives.
*   **Supply Chain:** Directed supply chain project operations and management.

**Core Responsibilities**
*   **Scope Management:** Oversaw project scope management for three cross-functional teams.
*   **Agile Leadership:** Served as Scrum Master, facilitating all Sprint and Quarterly planning sessions.
*   **Requirement Analysis:** Gathered complex requirements and translated them into actionable tasks for the team.
*   **Workflow Optimization:** Developed and evaluated alternative workflow solutions to improve operational efficiency.
*   **Specification Control:** Established and maintained detailed specifications to ensure solution quality.
*   **Process Integration:** Collaborated with cross-functional teams to ensure the seamless integration of business processes.
*   **Documentation:** Authored comprehensive documentation for all new and modified system features.

**TECHNICAL SKILLS & DOMAIN KNOWLEDGE**
*   **Project Management Tools:** JIRA, Rally
*   **Software:** MS Office
*   **Systems & Domains:** e-Commerce, CRM, SAP ERP

**KEY COMPETENCIES**
*   **Analytical & Proactive:** Focused on accuracy, initiative, and creative problem-solving.
*   **Professionalism:** Ambitious and hardworking professional with a strong work ethic.
*   **Adaptability:** Fast learner and sociable team player ready to acquire new knowledge and skills."
12527,"**CERTIFICATIONS**

*   Professional Scrum Master I (PSM I)
*   Certified SAFe® 5 Agilist
*   Certified SAFe® Scrum Master
*   Certified SAFe® Product Owner / Product Manager

**PROFESSIONAL EXPERIENCE**

**EPAM**
*Senior Business Analyst | December 2020 – Present*

*   Directed discovery phases and defined solution scope for quarterly project cycles to ensure strategic alignment.
*   Leveraged UX prototyping tools to validate requirements and deliver strategic UX recommendations.
*   Architected and organized a comprehensive Confluence space for centralized project requirements and documentation management.
*   Facilitated workshops with end-user focus groups to elicit requirements and align stakeholder expectations.
*   Conducted in-depth research on insurance products to optimize business value and product market fit for the customer.

**GlobalLogic**
*Middle Business Analyst | November 2019 – Present*

*   Authored granular requirements in User Story format to ensure technical clarity and implementation accuracy.
*   Facilitated core Scrum ceremonies, including Daily Stand-ups, Sprint Planning, and Estimation sessions.
*   Developed high-fidelity web interface prototypes using Wireframepro and Axure.
*   Managed the end-to-end requirements lifecycle, encompassing elicitation, clarification, documentation, and maintenance.
*   Identified and mitigated team impediments to ensure the Development Team’s continuous progress and delivery velocity.

**Nix Solutions**
*Business Analyst | May 2018 – November 2019*

*   Translated complex stakeholder requirements into tangible deliverables, including specifications, user stories with acceptance criteria, and workflow diagrams.
*   Collaborated with Product Owners on backlog prioritization and roadmap maintenance to drive product vision.
*   Provided continuous requirements support and technical clarification to the development team throughout the SDLC.
*   Supported sales and pre-sale activities by gathering initial requirements for project estimations and proposals.
*   Performed UX competitor research and designed UI prototypes for web and mobile interfaces using Axure.

**Galaxy IT**
*Sales Manager / Business Analyst | December 2017 – May 2018*

*   Drove business development by identifying and engaging potential customers via Upwork, Freelancer.com, and LinkedIn.
*   Gathered business requirements and translated them into actionable tasks for the development team.
*   Configured JIRA environments and managed projects utilizing Agile (Scrum and Kanban) methodologies.
*   Conducted sprint demo sessions to present project results and progress to customers.
*   Facilitated sprint planning sessions with the development team to ensure alignment on sprint goals."
12528,"**HCM Configuration Specialist** | Aug 2019 – May 2021

*   Orchestrated customer data initialization and migration processes.
*   Resolved complex client-facing technical issues through systematic troubleshooting and support.
*   Tailored system configurations to align with diverse client business requirements.
*   Authored detailed technical specifications and collaborated with development teams to ensure deliverables met all functional requirements.
*   Executed comprehensive testing and managed requirements across all phases of the Software Development Lifecycle (SDLC).

**Configuration Manager** | Feb 2013 – July 2019

*   Engineered and managed end-to-end software build and release processes.
*   Provisioned and maintained stable test and production environments for enterprise software products.
*   Produced comprehensive technical design documentation for system architecture.
*   Administered ongoing technical support for project-specific and customer-facing databases.

**Software Implementation Specialist** | May 2010 – Feb 2013

*   Produced instructional documentation and detailed user manuals.
*   Standardized and documented manufacturing process workflows.
*   Executed data imports and migrations into Oracle databases.
*   Configured product suites to meet client specifications, generated custom reports, and managed product revisions.
*   Conducted routine system administration and preventative maintenance.
*   Designed and implemented automated quality assurance (QA) testing protocols.
*   Facilitated user training programs and provided dedicated customer support.

**Software Implementation Specialist** | May 2008 – Apr 2010

*   Managed the maintenance and optimization of accounting software systems.
*   Initialized and configured testing environments for system validation.
*   Customized product functionality to meet client needs and developed bespoke reporting tools.
*   Delivered technical support and system functionality training to end-users.
*   Developed software components utilizing HTML, CSS, PHP, and Visual Basic.

**Areas of Interest:** Finance, Big Data, AI, Blockchain."
12529,"**SUMMARY**

Product-focused Project Manager and Business Analyst with a proven track record of delivering high-value products through Agile methodologies and data-driven decision-making. Expert in bridging the gap between technical teams and stakeholders to ensure project success, process efficiency, and alignment with business strategy. Committed to identifying customer problems and deriving effective solutions that deliver maximum value to users and the organization.

**CORE COMPETENCIES**

*   **Project Management:** Full Lifecycle Management, MVP Development, Planning, Prioritization, Budgeting, Risk Mitigation, Change Management, Quality Management, Reporting.
*   **Business Analysis:** Requirements Gathering & Analysis, Solution Development, Documentation, Process Improvement, End-to-End Analysis.
*   **Leadership:** Team Management, Stakeholder Engagement, Mentorship, Professional Development, Cross-functional Collaboration.
*   **Methodologies:** Agile, Scrum, Lean (Waste Elimination).

**PROFESSIONAL EXPERIENCE**

**Project Manager & Business Analyst**

*   Orchestrated the development and launch of a project MVP within a 4-month timeframe utilizing an Agile team.
*   Introduced and implemented Scrum practices, resulting in improved project planning and work organization.
*   Directing the end-to-end analysis and documentation of requirements for a new system, ensuring the final product meets business needs and achieves successful adoption.
*   Manage the full project lifecycle, ensuring completion on time and within budget while consistently meeting all client objectives.
*   Identify opportunities for process improvement and develop solutions that facilitate seamless communication between stakeholders and technical teams.
*   Execute day-to-day operations including project planning, risk mitigation, change management, and comprehensive stakeholder reporting.
*   Continuously evaluate and refine systems to drive efficiency, productivity, and profitability by applying Lean principles to eliminate wasteful processes.
*   Collaborate closely with technical teams to ensure system implementations align with business objectives and deliver organizational value.
*   Strengthened stakeholder relationships through constant communication, leading to a higher level of trust and alignment on project goals and results.
*   Mentored and developed team members, resulting in measurable professional growth and skill development.

**OBJECTIVE**

To transition into a product-focused role where I can apply my experience in strategy and data-driven decision-making to develop successful products. I am dedicated to identifying customer problems, deriving effective solutions, and ensuring that products deliver maximum value to users and the business."
12530,"**AMDOCS ISRAEL**
**Program Manager** | 2020 – Present

**PASHA BANK GEORGIA**
**IT Section Manager** | June 2018 – December 2019
*   Orchestrated departmental activities across three specialized units: IT Operations, Software Development, and Business Analysis and Service Quality.

**GEOCELL – TELIACOMPANY – TELECOMMUNICATIONS**
**Technology Division, Services – Products and IT Section Manager** | February 2015 – June 2018
*   Directed five specialized units: Billing and Charging, Product and Services, Software Development, Enterprise IT, and Business Support and Reporting.

**GEOCELL – TELIACOMPANY – TELECOMMUNICATIONS**
**ICT Division, Service Network Department Manager** | January 2006 – February 2015
*   Oversaw critical systems including Prepaid Charging, Ericsson Billing Gateway platform, and VAS platforms (SMSC, CRBT, WAP GW, Voice Mail).
*   Managed technical helpdesk operations providing 1st and 2nd line support.
*   Supervised systems administration, maintenance, and the implementation and deployment of new products.

**GEOCELL LLC – TELECOMMUNICATIONS**
**Service and Product Operations Team Coordinator (Technical Department)** | March 2004 – January 2006
*   Managed Prepaid Charging systems, Ericsson BGW (EMM) platform, and Value Added Systems (SMSC, CRBT, WAP GW, Voice Mail).
*   Led technical helpdesk operations providing 24/7 1st and 2nd line support for internal customers.

**GEOCELL LLC – TELECOMMUNICATIONS**
**Prepaid Charging System Engineer (Technical Department)** | March 2000 – March 2004
*   Executed administration and maintenance of the Ericsson (PPL) prepaid charging system.
*   Provided 24/7 1st and 2nd line technical helpdesk support.
*   Managed configuration and implementation of new products and tariff plans.

**NEW NET GEORGIA LLC**
**Digital PSTN Switching Center Technical Manager** | February 1997 – March 2000
*   Managed administration and maintenance of the PSTN switching center.
*   Directed shift staff planning and management.
*   Provided 24/7 1st and 2nd line technical helpdesk support.

**KEY PROJECTS**

**Retail Bank Launch (Cash-Loan and TopCard) | August 2018 – August 2019**
*   Managed complex integration including Processing Center swap and Core Banking integration.
*   Oversaw client migration to new Processing Center and existing Core Banking system release upgrade.
*   Directed deployment of CRM and Salesforce (BPM platform from Terrasoft).
*   Managed Internet Banking, Mobile Banking, and Contact Center PBX system swap.
*   Integrated Terminal Payment system (TBC Pay).

**Prepaid Billing System Swap | August 2017 – December 2017**
*   Managed the migration from Amdocs/Comverse One Prepaid Billing System to Peter-Service BSS with online credit and balance control.

**Post-paid Billing and Interconnect Systems Swap | May 2016 – December 2016**
*   Oversaw the transition from CBOSS to Peter-Service BSS for Post-paid and Interconnect Billing Systems, featuring online credit and balance control.

**Deep Packet Inspection & PCRF Platform Swap | January 2017 – December 2017**
*   Managed the Geocell PCRF/PCEF swap tender and platform transition.

**Prepaid Billing System Swap | January 2014 – September 2014**
*   Directed the swap of the Prepaid Billing System from Orga OPSC Classic to Comverse ONE BSS."
12531,"[NAME]
[CONTACT INFORMATION]

SUMMARY
Strategic Project Management professional with over 10 years of experience in Agribusiness B2B operations, transitioning into the IT sector. Recently completed advanced training in IT Project Management and Business Analysis. Expert in project planning, risk mitigation, and stakeholder communication with a proven track record of delivering complex projects. Seeking to leverage analytical expertise and foundational knowledge of the Software Development Lifecycle (SDLC) to contribute to impactful software development initiatives.

CORE COMPETENCIES
* IT Project Management & Business Analysis
* Software Development Lifecycle (SDLC)
* Software Development Methodologies (Agile/Waterfall)
* Risk Management & Strategic Planning
* Stakeholder Management & Communication
* Technical Documentation & Professional Presentations
* B2B Sales Strategy & Client Relations
* Analytical Thinking & Problem Solving

PROFESSIONAL EXPERIENCE

Project Manager / B2B Sales Specialist | Agribusiness Sector
[Dates of Employment]
* Directed complex projects and high-value B2B sales operations for over 10 years, ensuring alignment with organizational goals.
* Spearheaded project planning and risk management initiatives to optimize operational efficiency and project delivery.
* Authored structured documentation and delivered professional presentations tailored to diverse stakeholder groups.
* Facilitated cross-functional communication to streamline workflows and maintain strong client relationships.
* Applied rigorous analytical skills to evaluate project performance and drive strategic improvements.

EDUCATION & CERTIFICATIONS

IT Project Management Certificate
IT Education Academy (ITEA)

IT Business Analysis Courses
BA Space School

TECHNICAL KNOWLEDGE
* Software Development Lifecycle (SDLC): Comprehensive understanding of phases from requirements gathering to deployment.
* Development Methodologies: Foundational knowledge of industry-standard frameworks.
* Project Governance: Proficiency in risk management frameworks and project planning tools.
* Business Analysis: Skills in requirements documentation and process mapping."
12532,"**[NAME]**
[Phone Number] | [Email Address] | [LinkedIn Profile]

**PROFESSIONAL SUMMARY**
Dedicated Project Manager and Business Analyst with extensive experience in SAP ERP implementations and international operations. Proven track record of leading cross-functional teams through complex system migrations and aligning technical requirements with strategic business objectives. Expert in SDLC, Agile methodologies, and stakeholder management, with a history of high performance in both corporate and international mission environments.

**CORE COMPETENCIES**
*   **Project Management:** Agile, Scrum, SDLC, Backlog Prioritization, Resource Allocation, Stakeholder Management.
*   **Business Analysis:** Requirements Gathering, User Stories, Use Cases, Story Mapping, BPMN, RACI Matrix, Product Vision Boards.
*   **Technical Proficiency:** SAP ERP, 1C: Enterprise 8.2, JIRA, Confluence, Miro, Basilique, MS Project, MS Office Suite.
*   **Quality Assurance & Support:** QA Testing, Bug Fixing, User Acceptance Testing (UAT), Training & Documentation.

**PROFESSIONAL EXPERIENCE**

**SAP ERP Implementation Project (Metallurgical Sector)**
*Project Lead / Head of SAP Project Team*

*   Promoted to Head of the SAP Project Team to direct system refinements and ensure all solutions met rigorous project deadlines.
*   Orchestrated the end-to-end migration process from 1C: Enterprise 8.2 to SAP ERP.
*   Facilitated communication between IT, business stakeholders, and developers to ensure the delivery of project scope.
*   Executed a multi-functional leadership role encompassing Project Management, Business Analysis, QA, and Customer Support Management.
*   Collaborated with executive and technical management to align qualitative system implementation with organizational business needs.
*   Elicited and defined business requirements for Sales, Marketing, Finance, and Procurement departments.
*   Prioritized the Product Backlog and managed comprehensive project documentation, including scenarios and prototypes.
*   Directed QA functions, including the testing of IT solutions, system refinements, and bug fixes.
*   Drove user adoption by providing first-line support, developing learning materials, and conducting training sessions.
*   **Key Achievement:** Mentored team members toward career advancement, resulting in one Senior BA at a major IT firm and another implementation project lead.
*   **Key Achievement:** Repeatedly recommended for the Staff Roster (2015–2017) based on consistently high-performance assessments.

**OSCE SMM Ukraine**
*International Administrative Professional*

*   Managed administrative operations, contract management, and Human Resources functions within a civil international mission environment.
*   **Key Achievement:** Awarded a contract extension specifically due to high-performance evaluations.

**Beauty Industry Sector**
*Business Analyst* (1+ Year)

*   Customized and integrated software solutions (YClients/Altegio) to optimize core business processes.
*   Streamlined operational workflows through strategic software integration and process mapping.

**Sales and Marketing**
*Specialist* (1+ Year)

*   Developed and executed sales and marketing strategies to drive business growth and market presence.

**TECHNICAL TOOLKIT**
*   **Methodologies:** SDLC, Agile, Scrum.
*   **Analysis & Design:** User Stories, Use Cases, Scenarios, Story Mapping, BPMN, RACI, Product Vision Boards, Diagrams, Prototypes.
*   **Software:** SAP ERP Test Systems, JIRA, Confluence, Miro, Basilique, MS Project, MS Office Suite, Skype for Business."
12533,"**PROJECT MANAGER | SCRUM MASTER**

**PROFESSIONAL SUMMARY**
Dedicated Project Manager and Scrum Master with extensive experience developing web platforms and solutions within the Telecom industry. Proven track record of delivering high-quality projects on time and within budget by leveraging Agile frameworks and a business-oriented mindset. Expert in stakeholder communication, problem-solving, and the implementation of project management software to drive team efficiency and align project outcomes with company goals.

**CORE COMPETENCIES**
*   **Project Management:** Agile Methodologies, Lifecycle Management, Budget Oversight, Deadline Adherence.
*   **Leadership:** Scrum Master, Stakeholder Relations, Team Collaboration, Strategic Problem-Solving.
*   **Technical Focus:** Web Platform Development, Telecom Solutions, Emerging Technologies.
*   **Tools & Communication:** Project Management Software, Strategic Communication, Active Listening.

**PROFESSIONAL EXPERIENCE**

**Scrum Master** | [Current Company]
*   Facilitate Agile frameworks and development philosophies to ensure the delivery of high-quality project outcomes.
*   Maintain a business-oriented mindset to align technical development with strategic organizational objectives.
*   Streamline workflows and maximize team time-efficiency through the expert use of project management software.
*   Foster a collaborative environment dedicated to achieving optimal results for both clients and internal teams.

**Project Manager** | [NFT Project]
*   Directed the end-to-end development and execution of a personal NFT project with a focus on detail and quality.
*   Managed all project budgets and enforced strict adherence to delivery schedules and milestones.
*   Applied Agile methodologies to oversee the project lifecycle and maintain consistent development momentum.

**Project Manager** | [Telecom/Web Development Sector]
*   Led the development of complex web platforms and specialized solutions tailored for the Telecom industry.
*   Managed diverse stakeholders through effective communication and active listening to ensure transparency and satisfaction.
*   Utilized advanced problem-solving skills to navigate project challenges while upholding rigorous technical standards.
*   Consistently delivered projects on time and within budget through disciplined management and technical expertise."
