,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5
6082,"# RESUME

## PROFESSIONAL EXPERIENCE

**Art & Project Manager**
- Managed task and project management for 2D/3D art teams, including workload planning, assignment creation and delegation, process coordination, quality control, and priority management
- Led client communication and conducted team retrospectives
- Managed teams of up to 30 people
- Provided mentoring and onboarding support to new artists and project managers
- Conducted 1:1 meetings with team members, performance reviews, skills assessments, and conflict resolution
- Directed art quality and style control across projects
- Analyzed and optimized team and project processes
- Created comprehensive documentation including art guides and internal work procedures to systematize knowledge and experience

## TECHNICAL SKILLS

- Scrum and Kanban methodologies in GameDev environments
- 2D/3D art project management
- People management and team leadership
- Process analysis and optimization
- Art direction and quality assurance

## PROFESSIONAL ATTRIBUTES

- Fast learner with strong commitment to professional growth
- Experienced in product company and long-term project environments

## AREAS OF INTEREST

- GameDev (priority focus)
- 3D art and VFX
- VR development
- Video and game production"
6090,"**EDUCATION**

Bachelor of Science in Economics of Enterprise
Kharkov National University of Economics

Master's Degree in Project Management
Currently in Progress

**PROFESSIONAL DEVELOPMENT**

Project Manager Courses (Source IT) – 2017
English Courses (Green Forest) – 2016
English Courses (Language Center) – 2015

**CORE COMPETENCIES**

- Team collaboration and quick learning ability
- Agile methodologies (SCRUM, KanBan) – theory and practice
- Waterfall methodology – theory and practice
- Project documentation (proposals, terms of reference, project plans, risk assessments, WBS)

**PROFESSIONAL EXPERIENCE**

Assistant Manager
Electrical Goods Sales Company

- Attracted and acquired new clients
- Received and processed customer orders
- Generated invoices and managed customer payments
- Maintained inventory and sales records
- Managed goods handling and logistics

**PROFESSIONAL INTERESTS**

Seeking a Project Manager Assistant position to leverage team collaboration skills, apply project management knowledge, and develop expertise in a dynamic team environment."
6127,"**Mobile Product Manager**

Seasoned Mobile Product Manager with 2 years of experience leading successful mobile product initiatives and optimizing app store performance.

**Core Competencies**
- App Store Optimization (ASO): keyword research, metadata optimization, A/B testing, conversion rate optimization
- App Store Advertising (ASA)
- Incentive Traffic strategies
- Mobile app analytics and data-driven decision-making
- ASO strategy development aligned with business goals, user needs, and market trends

**Key Skills**
- Proven track record of increasing organic downloads and improving app store rankings
- Strong ability to identify trends, uncover insights, and optimize app performance
- Excellent collaboration and communication across cross-functional teams (designers, developers, marketers, data analysts)
- Proficient in agile methodologies and project management tools
- Expertise in efficient product development cycles and timely releases"
6211,"# RELEVANT EDUCATION

**Master of Economy and Management**
2020

**Bachelor of Management**
2017

**Project Management Specialization**
University of Colorado Boulder
2023
- Project Management: Foundations and Initiation
- Project Planning and Execution
- Agile Project Management

**Scrum Master Certification**
Learn Quest
2023
- Introduction to Scrum Master Training
- Scrum Master Certification: Scrum Methodologies
- Scrum Master Certification: Scaling Agile and the Team-of-Teams
- Combining Scrum with Other Agile Methodologies

**Information Systems Specialization**
University of Minnesota, Carlson School of Management
2023
- Enterprise Systems
- IT Infrastructure and Emerging Trends
- Analysis for Business Systems

**Certificate in Marketing and Communications**
International Business Management Institute of Berlin, Germany
2021

**Certificate in Leadership and Team Development**
International Business Management Institute of Berlin, Germany
2020

# PROFESSIONAL EXPERIENCE

**Assistant IT Project Manager** (Current)

- Drive business process optimization and automation by identifying solutions that enhance efficiency and productivity
- Analyze and translate business requirements into effective IT mechanisms
- Specialize in end-to-end implementation of new solutions within proprietary ERP systems
- Collaborate with cross-functional departments to understand project requirements and priorities within agile frameworks
- Work closely with development teams to ensure smooth user implementation
- Define user stories based on customer requirements and prioritize deliverables for development teams

**Data Analyst** (2+ years)

- Managed extensive macroeconomic and financial datasets across multiple countries in both public and private sectors while ensuring accuracy and quality within tight timelines
- Communicated effectively with data sources to maintain integrity, identify patterns, and address client queries
- Coordinated external and internal client interactions using CRM systems to oversee requests and execute quality improvement projects
- Utilized in-house project management systems to troubleshoot and resolve issue tickets, delivering effective client solutions
- Identified process enhancement opportunities through regular quality and technology initiatives
- Collaborated with IT teams to ensure seamless availability and accessibility of essential data sources"
6213,"# Resume

## Project Manager – Online Shop for Developmental Children's Toys

Currently managing a pet project with a team of four people: a Power Query Developer, a Designer, a Sales Manager, and a Supply Manager.

**Key Responsibilities:**
– Organization and coordination of team work
– Time and task management using Notion
– Execution and roadmap control
– Drafting and maintenance of project documentation and instructions
– Legal issue resolution

## Project Management Intern
**We Challenge & UNIT.City, Kyiv, Ukraine** | February 2023 - March 2023

Project type: IT events organization

**Responsibilities:**
– Led and facilitated the Intern team
– Prepared Impact Map
– Prepared Project Plan (WBS, Timeline, Resources)
– Prepared Risks Register
– Prepared Stakeholder Register, Map, Matrix & RACI Matrix
– Prepared Stakeholder Communication Plan
– Maintained Business Communication with Stakeholders
– Conducted Research and Analysis

**Tools:** Notion, Trello, Slack, Miro, Canva, Google Meet, Gather, Google Workspace (Docs, Sheets, Calendar)

## Education & Professional Development

**Courses:**
– ""Fundamentals of Team and Project Management in IT"" – Lviv IT School (LITS), 2021
– ""IT Project Management"" – Creative&Tech Online Institute: Projector, November 2021 - February 2022
– ""Become a Project Manager"" – LinkedIn Learning Path, March 2023

**Master's Degree in Law** | 5+ years experience as Legal Counsel, including IT sector
– Oversaw a team of five legal counsels
– Controlled and coordinated team work

## Core Competencies

**Project Management Tools & Methodologies:**
Trello, Jira, Miro, Canva, Confluence, Notion, Gantter, Slack, Gather, Google Workspace, Microsoft Office

**Technical Skills:**
Impact Map, Work Breakdown Structure (WBS), Gantt Chart, Risk Register, Stakeholders Register/Map/Matrix, RACI Matrix, User Stories, User Story Map, Definition of Ready, Definition of Done, Task Estimation (Big/Small/Uncertain, Poker Planning, T-Shirt Sizes)

**Knowledge Areas:**
Software Development Life Cycle (SDLC), Waterfall, Scrum, Kanban

**Legal Expertise:**
Contract preparation, Invoice preparation, Services Acceptance Acts, Customer and Stakeholder communication

**Soft Skills:**
Proactivity, Communicativeness, Multitasking, Self-organization, Fast Learning, Active Listening, Teamwork

## Languages & Technical Proficiency

– Ukrainian (Fluent)
– Russian (Fluent)
– English (Upper-Intermediate, continuously improving)
– Windows, MS Office, Google Applications (Experienced User)"
6214,"# Junior Project Manager

## Professional Summary
Reliable and hard-working team player seeking a Junior Project Manager position. Recently completed Project Management Course with foundational knowledge in project management, SDLC, and methodologies including Scrum and Agile.

## Core Competencies
- Project Management
- Scrum & Agile Methodologies
- SDLC (Software Development Life Cycle)
- Stakeholder Management
- Team Coordination & Organization
- Project Documentation
- Legal Document Preparation
- Customer Relations

## Professional Experience

**Manager** | Previous Position
- Managed projects and coordinated team work
- Collaborated with customers and stakeholders
- Organized and coordinated team activities
- Maintained project documentation
- Prepared legal documents

## Education
- Project Management Course (Completed)

## Technical Skills
- Windows
- MS Office Suite
- Google Applications (Basic)"
6231,"# Resume

**Current Position**
Project Management Specialist
Financial Consulting Department
Grant Thornton Ukraine, Kyiv

**Company Overview**
Audit services, financial consulting, tax consulting, legal services, outsourcing

**Core Responsibilities**
- Stakeholder communication with clients and contractors
- Project documentation maintenance and execution scheduling
- Information collection and analysis for project implementation
- Administrative coordination of work meetings
- Report preparation and analysis

**Key Projects**
- Sustainable Development Goals monitoring system development (Kyiv city level)
- Anti-corruption policy audits
- Financial statement audits

**Technical Proficiencies**
Microsoft Office, 1C/BAS, CRM Bitrix 24, Smart Tender

**Language Skills**
English – Upper-intermediate level

**Target Positions**
Information Technology Manager, Product Manager, Assistant Team Manager, Assistant Project Manager, Project Office Coordinator

**Professional Attributes**
Responsible, detail-oriented, self-motivated, and dedicated professional. Effective team collaborator with adaptability to complex situations. Strong analytical capabilities with demonstrated ability to perform effectively in both collaborative team environments and independent work settings."
6232,"# PROFESSIONAL SUMMARY

Accomplished manager with proven expertise in leading 20+ educational projects serving 500+ members across major organizations including Boeing, Ubisoft, and Xpand. Attentive leader with excellent communication skills, organized and driven with the ability to manage multiple tasks effectively under pressure. Quick learner pursuing a career in IT management.

# CORE COMPETENCIES

**Project Management & Methodologies**
- Agile and Scrum implementation (1-1s, stand-ups, retrospectives)
- Lean methodology for continuous project improvement
- Risk management
- Project planning and task progress monitoring

**Leadership & Team Management**
- Team motivation and performance enhancement
- Workload prioritization and delegation
- Field operations monitoring and optimization
- Timely and accurate delivery assurance

**Stakeholder & Customer Relations**
- Direct customer communication and requirement clarification
- Expectation and change management
- Cross-functional stakeholder liaison and coordination
- Project-related communications across departments

**Operations & Documentation**
- Project design and setup discussions with focus on profitability drivers
- Cost-saving solutions identification
- Project documentation preparation and organization
- Regular project updates and status reporting
- Project launch schedule coordination and activity management"
6233,"**British Autoclub Assistance, Kyiv – IT Manager**
September 2018 – March 2019
- Gathered requirements for MVP development on Web, app, and CRM system projects
- Conducted black box, grey box, and acceptance testing on delivered CRM and app features
- Managed app project delivery in cooperation with foreign outsource team, including project backlog formation, sprint backlog formation, manual testing, and bug tracking
- Provided support for 1C accountancy management and feature development

**Pride International LLC., Kyiv – Project Manager Assistant / QA Manager**
August 2017 – September 2018
- Facilitated sprint planning and product backlog management
- Performed quality assurance testing during sprint workflow and final product releases
- Assisted in resolution of app and web-version defects
- Supported team in removing impediments through understanding of control and release processes
- Tracked and communicated team velocity and sprint/release progress to affected teams and management
- Assisted in defining and deploying new product development processes and continuous improvement of existing processes

**MBM Partners, Kyiv – Head of Lead-Generation and Advertising Departments**
June 2015 – August 2017
- Managed lead-generation and traffic management activities
- Developed strategic guidelines and tactics for company social media activities (SMM)
- Planned and implemented social media marketing strategies and recommendations
- Created tasks for script development for social media lead extraction
- Integrated and controlled automation tools for social media content management"
6239,"# RESUME

**EDUCATION**

World TESOL Academy
120-Hour TESOL/TEFL Certificate
Accredited by ACCREDITAT & The CPD Certification Service

**PROFESSIONAL EXPERIENCE**

**ESL Teacher/Tutor** | Self-Employed | 2018 – Present
• Teach English to children and adults in individual and group online settings
• Develop activities and integrate technology to diversify instruction
• Increase ESL students' reading, grammar, and speaking levels
• Alter lesson plans for students requiring extra guidance
• Create monthly academic status reports based on in-depth student evaluations
• Document student attendance and progress against goals
• Conduct speaking clubs and Business English sessions
• Manage day-to-day meetings and quarterly student progress assessments
• Mentor and manage 20+ students in multiple capacities

**Customer Support Specialist Intern** | August (Recent)
• Interacted with customers via text message interface and calls using Crisp
• Resolved product and service issues to ensure customer satisfaction
• Worked with company CRM system
• Gained experience with sales tools including Email Finder, Email Verifier, Email Warm-up, and Drip Campaigns

**SMM Assistant Manager** | Instagram
• Worked as content creator and copywriter

**Cashier** | McDonald's, Germany
• Completed work and travel exchange program position in Germany

**Volunteer** | Student Period
• Participated in various student startups and volunteer initiatives

**CORE COMPETENCIES**

• Fluent English (Advanced)
• Excellent written and verbal communication
• Project Management Skills
• Agile Methodology (including Scrum, Kanban, Waterfall)
• Sprint Retrospectives and process improvement
• Microsoft Office proficiency
• Multitasking ability
• Problem-solving
• Sense of responsibility and punctuality
• Project lifecycle understanding
• Awareness of copywriter and videographer workflows
• CRM system experience
• Sales tools experience"
6240,"**PROFESSIONAL OBJECTIVE**

Develop expertise as a Project Manager through continuous learning in SDLC methodologies, team management, and project management practices.

**EDUCATION & CERTIFICATIONS**

- Fundamentals of Team and Project Management in IT. Preparatory | Prometheus | October 2021
- Project Manager Profession | 10.0 | GeniusMarketing | May 2022
- Basic Course | Online Ukrainian School of Project Management by Denys Prylutskyi | July 2022
- Ongoing: Webinar participation in SDLC, Team Management, and Project Management topics

**PROFESSIONAL EXPERIENCE**

**People Coordinator** | Crunch | Current

- Serve as primary point of contact for clients regarding project information and updates
- Ensure stakeholders receive regular status updates on all project sites through meetings, correspondence, and status trackers
- Forecast, track, and manage resource planning
- Identify necessary project resources and collaborate with company managers to acquire them
- Build and nurture effective and collaborative project teams while promoting individual and team performance
- Track internal project team assignments
- Monitor team and specialist states to identify and prevent risks including dismissal, professional burnout, and conflicts
- Advise specialists on company social and remuneration policies
- Organize and conduct team buildings based on team needs and current state"
6254,"# RESUME

## PROFESSIONAL EXPERIENCE

**Lead Generation Manager**
Website Development Company | 1 year
- Generated and managed leads using various digital platforms
- Managed social media accounts and promoted company presence through targeted advertising on Facebook Ads

**Business Developer / SDR / Sales Manager / Account Manager**
Crypto Marketing Agency
- Developed business strategies and client relationships
- Managed sales and account management responsibilities

**Social Media Manager (SMM)**
- Managed social media presence for multiple companies
- Executed targeted advertising campaigns on Facebook Ads and Instagram

## CORE COMPETENCIES

- Lead Generation and Sales Development
- Social Media Marketing and Management
- Digital Advertising (Facebook Ads, Instagram)
- Project Planning and Time Management
- Team Collaboration and Framework Development
- Business Development

## TECHNICAL PROFICIENCIES

Facebook Ads, Instagram, Miro, Asana, Figma, Pipe Drive, Expandi, LinkedIn, Google Meet, Google Sheets, Google Docs

## KEY STRENGTHS

- Strategic planning and creative ideation
- Team collaboration and interpersonal skills
- Effective time allocation and project organization
- Adaptability and commitment to continuous learning"
6255,"# RESUME

**Delivery Coordinator & Senior Test Engineer**

Responsible and proactive professional with 8 years of automotive embedded systems experience. Demonstrated expertise in test engineering, delivery coordination, and error management within the automotive industry.

**Core Competencies**
- Test Planning and Execution
- Customer Communication
- Team Organisation
- Jira & Confluence
- Automotive Embedded Systems

**Education**
Master's Degree in Automobile/Automotive Mechanics Technology
National Transport University

**Professional Overview**
Seeking automotive industry opportunities to continue leveraging specialized knowledge and experience in automotive embedded projects. Deep familiarity with automotive sector specifics and proven commitment to this field throughout 8-year career."
6342,"# Resume

**Mrowki-UA**
Consulting. HR.
2021-2022
Automation Project Manager
Provided automation for company processes and managed website development in the automation component. Developed messenger bots to enhance communication efficiency and speed.

**Interra**
Online School
www.interra.bz
2020-2022
Automation Project Manager / Business Analyst
Discovered and analyzed company business processes, proposing transformations. Implemented automation solutions in Bitrix and analytics in Power BI, resulting in cost savings, time reduction, and improved service quality.

**RublevFamily**
Quest Franchise
fr.fortfamily.ru
2018-2022
Automation Project Manager
Initiated automation implementation for franchise sales department. Expanded automation solutions to all franchise partners' sales departments and established marketing analytics systems.

**BizRaise**
Marketing Agency
bizraise.pro
2017-2018
Automation Project Manager / Business Analyst
Worked across multiple business areas focusing on business process analysis and automation. Conducted process assessments for customers and developed automation solutions to address identified business challenges and requirements."
7630,"# RESUME

## PROFESSIONAL SKILLS

**Digital Marketing & Advertising**
Market research, social media marketing, email marketing, Google Ads, Instagram Ads, Facebook Ads, basic SEO, backlink development, content creation

**Team Leadership & Management**
Team coordination, system development, conflict resolution, stakeholder management, cross-functional collaboration

**Tools & Software**
Google Ads Editor, Google Tag Manager, Google Analytics, Facebook Business Manager, LinkedIn, Mailchimp, Tilda, Wix, Bitrix, Ahrefs, Serpstat, SimilarWeb, Excel, PowerPoint, basic SQL, basic HTML, Adobe Photoshop, Adobe Illustrator

## LANGUAGES

**Fluent**
Ukrainian, Russian (C2), English (C1), German (C1)

**In Progress**
Spanish (A2), French (A2)

## PROFESSIONAL STANDARDS

Committed to ethical business practices. No involvement in gaming, gambling, dating services, or fraudulent activities."
7654,"# PROFESSIONAL SUMMARY

Telecom professional with 14 years of experience in B2B customer service and sales. Demonstrated expertise in network coverage request management, business process development, and stakeholder coordination. Strong analytical, managerial, and negotiation skills with a commitment to delivering high-quality service as the foundation for effective sales and long-term customer relationships.

# KEY ACHIEVEMENTS

- Launched the business process for managing network coverage requests for B2B customers
- Developed and delivered training courses to colleagues on customer request lifecycle and coverage processes
- Managed complex base station construction projects involving cross-functional coordination with internal teams, contractors, customers, landlords, and engineers

# CORE COMPETENCIES

- B2B Sales & Account Management
- Network Coverage Analysis & Planning
- Business Case Development
- Stakeholder Negotiation & Management
- Project Coordination
- Process Implementation
- Customer Service Excellence
- Training & Team Development
- Technical Analysis
- Financial Analysis (payback calculations, revenue projections)

# PROFESSIONAL EXPERIENCE

**B2B Network Coverage Specialist** | Telecom Industry | 14 years
- Manage network coverage requests for corporate customers
- Conduct technical and financial analysis for base station construction projects
- Negotiate equipment placement, rental rates, and service terms with internal and external stakeholders
- Advise customers on technical solutions, radiofrequency radiation compliance, and service relevance

**B2B Customer Service & Sales** | Telecom Industry
- Gained foundational experience in customer service division supporting B2B sales operations
- Developed analytical, managerial, and negotiation skills

# PROFESSIONAL DEVELOPMENT

- English language study (ongoing since March 2018)
- Content Marketing & Copywriting course (December 2020)
- Expertise in client acquisition strategies relevant to sales and freelance work

# PROFESSIONAL INTERESTS

- B2B Sales Manager position
- Project Manager position"
8890,"# PROFESSIONAL RESUME

## CORE COMPETENCIES

**Project & Product Management**
- Business Analysis / Product Management
- Project Management
- Scrum Master / Agile Methodologies
- Kanban Framework

**Quality & Process**
- Quality Assurance (QA)
- IT Process Optimization
- Knowledge Base Development
- Rational Unified Process (RUP)

**Technical Skills**
- Enterprise Resource Planning (ERP)
- Customer Relationship Management (CRM)
- Web Development: HTML, HTML5, CSS, JavaScript
- Python Programming
- Unified Modeling Language (UML)

**Tools & Platforms**
- Jira
- Confluence
- Redmine

## PROFESSIONAL INTERESTS
Seeking opportunities in industries aligned with personal values, excluding Forex, Gambling, Alcohol, and Tobacco sectors."
8916,"# IT Professional

## Professional Summary
Accomplished IT professional with 10 years of experience delivering enterprise solutions for government and media organizations. Proven expertise in project management, business development, and channel operations.

## Professional Experience

**IT Consultant & Project Manager** | 10 years
- Directed multiple large-scale projects for governmental structures in Azerbaijan
- Central Bank Card System – Led implementation of national payment infrastructure
- Treasury Inventory System – Designed and deployed asset management solution for Treasury of Azerbaijan Republic
- Online TV System – Managed end-to-end development of streaming platform for broadcasting sector

**Business Development Manager & Channel Manager** | 5 years
- Managed business development and channel partnerships in IT Distribution
- Established and maintained distributor relationships
- Drove revenue growth through strategic channel initiatives

## Core Competencies
- Project Management
- Government & Enterprise Solutions
- Business Development
- Channel Management
- IT Distribution
- Systems Implementation"
9028,"**PROFESSIONAL SUMMARY**

Results-driven data professional with 10+ years of experience in business intelligence, data warehouse development, and reporting. Proven expertise in Oracle BI, SAP WEBI, Oracle PL/SQL, and ETL processes across Financial, Trading, Accounting, and banking domains. 4+ years of Team Lead and Tech Lead experience with strong leadership and in-team communication skills. 9+ years specializing in Data Architecture, Data Modeling, and Data Analysis. Deep understanding of business goals and priorities in financial and product environments. Skilled in technical documentation, agile methodologies (Scrum/Kanban), and customer requirement prioritization.

**CORE COMPETENCIES**

Oracle BI | Oracle PL/SQL | SQL | SAP WEBI | SAP BO | Tableau | ETL Processes | Data Architecture | Data Modeling | Data Analysis | XML | Visual Basic (VB) | Jira | SVN | Crucible | Agile | Scrum | Kanban | Pixel Perfect Reporting | Tech Design & Requirements Documentation | Financial Reporting | Management Banking Reports | Bank Accounting | Siebel | B2 | iFobs | isCard Data Structures"
9066,"# PROFESSIONAL EXPERIENCE

**Procurement & Proposal Management**

• Provided consulting services for public procurement processes and full-cycle tender procedures
• Managed and coordinated service proposals, overseeing technical and commercial aspects from tender document issuance through bid submission
• Directed bid logistics, including scheduling and task assignment to ensure timely team execution
• Served as primary contact for preparation of technical, commercial, and contractual submissions across all departments
• Coordinated and participated in drafting submission documents
• Maintained quality assurance and regulatory compliance of service proposals within established deadlines
• Liaised with internal and external stakeholders including HR, finance, purchasing, legal services, and external partners to gather critical information
• Managed proposal budgets and timeline requirements
• Collaborated closely with account directors on service proposals, submission documentation, and client communications throughout the proposal development cycle
• Enhanced proposal process effectiveness and efficiency
• Developed and refined tools and processes to improve submission document quality, ensure standards compliance, and maintain regulatory guidelines"
9445,"# RESUME

## PROFESSIONAL SUMMARY

Branch Manager and Project Manager with over 15 years of experience in the IT industry. Proven expertise in managing businesses and development teams ranging from 5 to 50 people. Strong technical background combined with strategic project and product management capabilities.

## CORE COMPETENCIES

Project & Product Management | Agile (SCRUM) | Requirements Management | Branch Management | Team Leadership | Multi-Project Oversight

## TECHNICAL SKILLS

**Project Management Tools:** Atlassian Jira

**Web Development:** HTML, CSS, PHP 4-5, jQuery, AJAX, Bootstrap

**Databases:** SQL, PostgreSQL

**Backend & Infrastructure:** LAMP, AWS, Nginx

**Version Control:** CVS, Mercurial, Git

**Platforms:** CMS, CRM

## PROFESSIONAL EXPERIENCE

**Development & Project Management** | 15+ years

## KEY PROJECTS

**Legal Management System** – Full cycle multi-attorney workflow solution spanning from claim filing through executive proceedings

**CRM System** – Enterprise platform for one of the largest wholesale tourism suppliers, supporting hundreds of customers, tens of thousands of products, and multiple warehouse locations across different cities

**SaaS Management Platform** – Comprehensive management solution for fitness facilities, dance clubs, and similar small businesses

**E-Commerce Solutions** – Development of multiple online stores of varying complexity

## OBJECTIVE

Seeking a Branch Manager or Senior Project Management position with a well-established company to leverage extensive management and technical expertise."
9542,"# PROFESSIONAL RESUME

## EXPERIENCE

**Digital Marketing Manager**
Genesis, Keiki
- Creating and scaling Facebook advertising campaigns
- Spending $50,000 monthly with +ROMI
- Working with content manager to develop engaging content
- Analyzing main metrics and making decisions

**Marketing Project Manager**
Silpo
- Planned, executed and monitored projects
- Coordinated IT, Designer and Operational Departments
- Created assets for website, targeted ads, social media, Viber and email campaigns
- Managed video production
- Coordinated creation of ""Recipes Silpo"" product (project suspended due to war)
- Created 170+ recipe database content

**Brand Manager**
Red Bull
- Created social media strategy
- Assisted in event organization
- Conducted marketing research
- Submitted 437 applications to Red Bull Basement 2021

**Project Coordinator**
Volunteer Project (Early Career)
- Created content for website and social media
- Coordinated 8-member core team
- Established partnerships between companies, universities and students
- Identified and communicated with potential partners
- Evaluated and tracked event success metrics

## ADDITIONAL PROJECTS

- 2 successful video productions
- Full copywriting for Lynksen website (project suspended due to war)
- Completed Genesis Marketing School"
9546,"# PROFESSIONAL SUMMARY

Results-driven Project Manager and Event Manager with expertise in team building, strategic planning, and stakeholder management. Proven ability to manage complex projects from conception to completion, including zero-budget initiatives. Strong communicator with experience in public speaking, training delivery, and conflict resolution. Demonstrated success leading diverse teams and delivering high-impact results across IT, marketing, and event management sectors.

---

# CORE COMPETENCIES

**Project Management:** Team building, project strategy, process creation and management, product management, budgeting, bid preparation

**Event Management:** Full project lifecycle management, client communication, vendor coordination, conference and olympiade management, BTL projects

**Leadership & People Management:** Team recruitment and adaptation, sales team management, volunteer team coordination (up to 25 people), emergency situation resolution

**Communication & Training:** Public speaking, training development and delivery, presentation skills, client relations, stakeholder management

**Business Development:** Investor communication, fundraising, partnership development, barter negotiations, marketing strategy, sales strategy

**Professional Skills:** Analytical and critical thinking, conflict resolution, mediation, psychology application, self-education commitment

---

# PROFESSIONAL EXPERIENCE

**Business Assistant for CEO**
07/2022 - 09/2022

- Development of company strategy and communication
- Process creation and management
- Sales team management (5 people)
- Marketing strategy creation and management
- Coordination with designer, development, copywriting, and HR teams

**Event Project Manager**
03/2020 - 10/2021
Ant Hill Event Agency, Kyiv, Ukraine

Key Clients: Metro Cash & Carry, Kyivstar, Metinvest, Intersport

Responsibilities:
- Full project management and client communication
- Project budgeting, bid preparation and defense
- Turnkey implementation including design creation, production preparation, and technical support

Achievements:
- Developed and led online production project for Metro Cash & Carry (online cooking master classes for chefs)
- Managed conference for 500+ guests (Odessa, 2021) featuring world-famous chefs and partner lectures
- Managed sports olympiade for Metinvest across 5 cities over 2 months
- Successfully prepared 2 winning project proposals for Kyivstar tenders (total project costs exceeding 5 million UAH)
- Conducted BTL projects throughout Ukraine

**Co-Owner & COO**
03/2019 - 09/2019
Event Agency ""Believe in you,"" Kyiv, Ukraine

Responsibilities:
- Client, partner, and investor communication and acquisition
- Budgeting and documentation
- Website development and design
- Event support and team management

**Project Manager & COO**
03/2016 - 12/2018
TAG (Ukrainian Start-up), Kyiv, Ukraine

Responsibilities:
- Employee recruitment and adaptation
- Team and task management
- Full-cycle project and product management
- Budgeting and project documentation
- Product development reporting
- International market presentation and investor communication

Achievements:
- Built developer team from scratch with limited investments
- Advanced startup to pre-launch stage
- Presented project at international stage (London Road Show for investors, 2018)

---

# ADDITIONAL SKILLS & ATTRIBUTES

- Developed system of candidate selection and interviewing
- Designed and delivered training programs: ""How to Pass Interview"" and ""Dream Team - Myth or Reality?""
- Expertise in managing projects with zero budgets
- Core strengths: empathy, active listening, consensus building
- Continuous self-education (2-3 educational programs annually in psychology, marketing, brand & product management, philosophy, technologies)
- Fluent in creating comfortable working environments and building strong team relationships

---

# PREFERENCES

- Open to Junior positions to update IT PM skills and grow within organization
- Seeking remote work opportunities
- Currently based in Lodz, Poland
- Interested in IT development PM roles or Event Manager positions with mission-driven teams focused on creating valuable and innovative solutions"
9547,"# RESUME

**Professional Experience**

**Philip Morris Ukraine – Brand Executive, Marketing** (2 years)
- Launched L&M Double Mix new product with full support; achieved target Share of Market
- Launched Philip Morris Business Academy with nationwide roll-out; achieved 90% NPS
- Provided continuous support for Parliament brand
- Executed global EVP adaptation to local market demands and established Employee Ambassador program

**Philip Morris Ukraine – Project Manager Specialist, HR** (2 years)
- Launched nationwide internship program; improved graduate retention rate from 50% to 70%
- Launched global internship program; achieved 80% graduate retention rate
- Launched Hostess Project twice; managed 20K contacts per month with full support

**Philip Morris Ukraine – Customer Care Specialist, Sales** (8 months)

**Nestle Ukraine – Purchasing Department** (6 months)

**Professional Goals**
Seeking challenging projects with ownership opportunities and a collaborative, open-minded team environment."
9583,"# PROFESSIONAL EXPERIENCE

**Project Manager**
Development and scaling of distance selling system from inception to national operations

**Manager & Department Head**
Organization and implementation of procurement systems across construction supermarket network

**Private Business Owner**
""Electronic Diary"" project deployment in Kharkiv schools

**Director**
Operational management of scientific institution

# CORE COMPETENCIES

Leadership & Team Management
Human Resources & Recruitment
Financial Management
Distance Management
Information Analysis & Structuring
Project Organization & Development
Budgeting, Analysis & Planning
Procurement & Sales
Transaction Support
Document Preparation

# PROFESSIONAL QUALITIES

Commitment to continuous skill development and personal growth
Strategic approach to company development
Flexible problem-solving methodology"
9587,"# PROJECT MANAGER & IT PROFESSIONAL

## CERTIFICATIONS
- PMP
- IPMA Level C
- ITIL Foundation
- Microsoft Certified Technology Specialist (MCTS)

## EXPERIENCE
Project Manager of internal, national, and international projects and project portfolios with more than 40 successful completed projects.

## CORE COMPETENCIES

**Project Management & Methodologies**
- Waterfall and Agile methodologies (XP, Scrum)

**Business & IT Services**
- Analysis, design, implementation, and optimization of business processes
- Analysis, design, implementation, and optimization of IT services, processes, and procedures
- Deployment and implementation of production automated systems
- Implementation and support of IT services based on Microsoft products (Exchange, Active Directory, System Center, SharePoint, SQL)

**IT Governance & Standards**
- Deployment and adaptation of ITIL best practices
- CobiT and ISO standards implementation

**Infrastructure**
- Planning and organization of telecommunications networks

**Professional Development**
- Continuous improvement of expertise in project management, business analytics, QA, and IT administration
- Strong management and leadership skills"
12037,"# RESUME

**PROFESSIONAL EXPERIENCE**

**Analyst – MS Dynamics CRM Project**
Advertisement Company | 2011
- Led CRM implementation for the largest project of its kind in Siberia
- Achieved 30% productivity increase and improved customer loyalty metrics
- Project recognized by Microsoft

**AWARDS & RECOGNITION**

First Prize, ""Startup Business Ideas"" Competition
Istanbul | 2019

**PROFESSIONAL SUMMARY**

Dynamic, entrepreneurial and goal-oriented IT professional with 10+ years' experience in various web, mobile and desktop applications development.

**CORE COMPETENCIES**

**Business Analysis & Requirements**
- Eliciting and development of software requirements
- Analysis of complex data and preparing reports
- Team management and leadership
- Cross-functional collaboration across multiple disciplines and departments

**Quality Assurance**
- Functional, access control, cross-browser layout, load and performance testing
- Installation and database-driven testing across operating systems
- Preparing testing scenarios and plans

**Additional Expertise**
- Customer training curriculum development and delivery
- Deployment in test and production environments
- eCommerce and social media management
- Google Ads, SEO, and game development

**TECHNICAL SKILLS**

**Programming & Databases:** MySQL, Oracle SQL, C, C++, Python
**Tools & Platforms:** MS Dynamics CRM, VMWare virtual machines, Linux, Jira, Asana, Trello, Trac
**Business Tools:** Advanced Microsoft Office, IBM SPSS
**Professional Attributes:** Willingness to learn new skills and commitment to self-improvement"
