
**CORE COMPETENCIES**
*   **Project Management:** Agile Methodologies, Product Development, Project Lifecycle Management
*   **Business Strategy:** Business Development, Product Marketing, Entrepreneurial Strategy
*   **Technical Skills:** Blockchain, HTML5, CSS, Google Analytics
*   **Tools & Platforms:** Jira, Azure, Microsoft Office Suite (Advanced Excel, PowerPoint)"
12519,"[NAME]
[Phone Number] | [Email Address]
[LinkedIn Profile] | [Location]

**PROFESSIONAL SUMMARY**

Result-oriented professional with extensive experience in Project Management, Business Analysis, and Risk & Compliance dating back to 2009. Proven track record of leading multinational teams (including Indian, French, and Spanish stakeholders) to implement complex information systems and CRM solutions. Currently serving as Head of Sales Support, with a strategic focus on transitioning into a dedicated Project Manager or Business Analyst role within the fast-paced IT sector. Expert in managing business process change and system adoption across diverse organizational structures.

**CORE COMPETENCIES**

*   Project Management (Multinational Teams)
*   Business Analysis & Process Optimization
*   CRM Implementation & Integration
*   Risk & Compliance Management
*   Information System Deployment
*   Cross-Functional Team Leadership
*   Change Management & System Adoption

**PROFESSIONAL EXPERIENCE**

**Head of Sales Support** | 2016 – Present
*   Directing sales support operations while maintaining a focus on business analysis and project-based results.

**Project Manager / Business Analyst / Risk and Compliance** | 2009 – 2016
*   Managed complex projects and business analysis initiatives within multinational environments.
*   Coordinated international teams consisting of Indian, French, and Spanish members to achieve project milestones.
*   Ensured organizational adherence to risk and compliance standards during periods of significant system transitions.

**KEY PROJECTS**

**Information System Implementation**
*   Served as Project Manager for a multinational team to implement a new company-wide information system.
*   Orchestrated the complete change and adoption of all business processes resulting from the new system architecture.

**CRM System Implementation**
*   Led a multinational project team in the successful deployment of a new CRM system.
*   Managed the end-to-end transition, ensuring business process alignment and organizational adoption.

**Satellite Application Integration**
*   Successfully implemented numerous satellite applications to augment and enhance the core company information system.

**TECHNICAL SKILLS & INTERESTS**

*   **Systems:** Information Systems, CRM, Satellite Application Integration.
*   **Interests:** Technology-driven project management, multinational collaboration, and rapid-growth IT environments."
12520,"**PROJECT MANAGER**

**Professional Summary**
Results-oriented Project Manager with over 5 years of experience in web and mobile (Android) development. Proven track record of leading teams of 7–10 members through the full project lifecycle. Experienced in delivering e-commerce, B2B, corporate, and media projects, including complex integrations with accounting programs such as 1C and Capital. Expert in aligning IT strategy with business objectives to drive product success.

**Core Competencies**
*   **Project Management:** Business Requirements Analysis, Project Planning & Scheduling, Scope Management, Resource Allocation, Budgeting, and Risk Tracking.
*   **Leadership:** Team Management (7–10 people), Issue Identification & Resolution, Multi-project Coordination, and Cross-functional Collaboration.
*   **Stakeholder Relations:** Customer-focused mindset, fostering partnerships with sponsors and stakeholders, and clear reporting.
*   **Technical Strategy:** Business & IT strategy alignment, Design and Development support.

**Technical Skills**
*   **Tools:** Jira, Teamwork, Trello, Photoshop, MS Office.
*   **Systems:** 1C, Капитал (Accounting integrations).

**Professional Experience**

**Project Manager | Web & Mobile Development**
*   Managed the end-to-end delivery of web and Android mobile applications.
*   Led and mentored project teams consisting of 7–10 members.
*   Oversee diverse project portfolios including e-commerce, B2B, corporate, and media platforms.
*   Successfully integrated accounting systems (1C, Capital) into project architectures.
*   Defined project schedules and monitored progress to ensure on-time delivery.
*   Analyzed business requirements and translated them into actionable project plans.
*   Monitored project scope and managed budgets to maintain financial health.
*   Identified potential risks and implemented mitigation and resolution strategies.
*   Maintained transparent communication and reporting for all stakeholders and sponsors.
*   Supported the design and development teams to resolve technical and creative tasks.
*   Simultaneously managed multiple projects while ensuring alignment with company goals.

**Objective**
To join a high-performing team to develop great products, further improve professional skills, and acquire new knowledge within a collaborative environment."
12521,"**[NAME]**
[Phone Number] | [Email Address] | [LinkedIn Profile]

**PROFESSIONAL SUMMARY**
Project Manager and Business Analyst with over 5 years of experience specializing in the telecommunications and banking sectors. Proven track record of managing the full lifecycle of IT projects from inception through implementation. Expert in systemic thinking, data-driven decision-making, and coordinating complex projects under strict deadlines.

**CORE COMPETENCIES**
*   **Methodologies:** Classic Waterfall, Agile, Scrum.
*   **Project Management:** Task Decomposition, Prioritization, Resource Evaluation, Deadline Management.
*   **Analysis:** Business Analysis, Research, Data Analysis, Systemic Thinking.
*   **Soft Skills:** Multitasking, Stakeholder Communication, Team Collaboration, Independent Problem Solving.

**PROFESSIONAL EXPERIENCE**

**Project Manager / Business Analyst** | [Company Name] | [Dates]
*   Managed and accompanied the implementation of IT projects from scratch within the banking and telecommunications industries.
*   Simultaneously directed multiple projects and products, successfully navigating multitasking environments and large volumes of data.
*   Decomposed complex tasks into actionable subtasks, establishing priorities and evaluating necessary tools and information sources.
*   Ensured project delivery by meeting strict deadlines through organized workflow management and daily task execution.
*   Facilitated effective communication with diverse project stakeholders to solve problems and secure project objectives.
*   Applied systemic thinking to evaluate project steps and implementation strategies.

**EDUCATION & CERTIFICATIONS**
*   **Additional Education in Project Management:** Specialized training in project management methodologies, including Waterfall, Scrum, and Agile."
12523,"**[NAME]**
Digital Banking Product Owner | Project Manager | Business Analyst

**PROFESSIONAL SUMMARY**
Results-oriented professional with 17 years of experience in the banking industry and a deep expertise in digital retail banking. For the past 7 years, I have specialized in IT project delivery, serving in Product Owner (PO), Project Manager (PM), and Business Analyst (BA) roles. Proven track record of implementing complex systems from scratch, managing in-house development, and leading projects through the full SDLC using Agile methodologies.

**CORE COMPETENCIES**
*   **Project Leadership:** Product Ownership, Project Management, Backlog Management, Project Planning.
*   **Business Analysis:** BRD Creation, Business Process Modeling (BPMN 2.0), SDLC.
*   **Digital Banking:** Retail Banking Systems, Fintech, Internet Banking, Tokenization.
*   **Design Supervision:** UX/UI Team Supervision, Figma.
*   **Methodologies:** Agile Frameworks, SDLC.

**TECHNICAL SKILLS**
*   **Tools:** Jira, Confluence, Figma.
*   **Notations:** BPMN 2.0.
*   **Payments:** Visa (Google/Apple/Garmin Pay), MasterCard (Google/Apple Pay), P2P, Cross-border, SEP.

**KEY PROJECT ACHIEVEMENTS**

**Product Owner / Business Analyst | Digital Retail Banking**
*   **Front-Office System Implementation:** Successfully delivered a comprehensive retail banking front-office system covering credit card sales, cash loans, refinancing, current and deposit account opening, debit cards, and CRM elements.
*   **Tokenization System Launch:** Managed the end-to-end implementation (from inception to production) of a tokenization system in cooperation with Visa (Google Pay, Apple Pay, Garmin Pay) and MasterCard (Google Pay, Apple Pay).
*   **Internet Banking for Retail:** Developed and launched internet banking features including P2P and cross-border transfers, account-to-account (SEP) transfers, card management, online currency exchange, and digital account opening (deposit and card accounts).

**PROFESSIONAL EXPERIENCE**
*   **IT Project Roles (PO/PM/BA):** 7 Years
*   **Banking Industry Experience:** 17 Years

**Experience Highlights:**
*   Expertise in managing in-house development teams and implementing new systems from scratch.
*   Proficient in creating detailed Business Requirement Documents (BRD) and composing business processes in BPMN 2.0 notation.
*   Experienced in supervising UX/UI teams to ensure user-centric digital banking solutions.
*   Consistent application of Agile methodologies and frameworks to deliver high-value IT projects."
12525,"**[NAME]**
[Contact Information]

**PROFESSIONAL SUMMARY**
Product Owner with a technical background specializing in bridging the gap between business strategy and technical execution. Proven expertise in backlog management, roadmap development, and fostering collaborative team environments across diverse industries. Dedicated to transforming business visions into high-quality solutions through clear goal-setting and proactive obstacle removal.

**EXPERIENCE**

**Product Owner**
*   **Team Leadership & Facilitation:** Successfully organized cross-functional teams to deliver optimal customer solutions. Facilitated idea generation and maintained a positive, high-energy team atmosphere.
*   **Conflict Resolution:** Acted as a primary point of contact to resolve internal conflicts and immediately eliminate obstacles to maintain project momentum.
*   **Strategic Alignment:** Partnered with strategic Product Owners to gather business needs and define product vision, contributing directly to the global roadmap.
*   **Backlog Management:** In charge of the product backlog, including the specification, prioritization, and testing of new features, evolutions, and bug fixes.
*   **Technical Liaison:** Leveraged technical experience to act as a bridge between customers and the development team, translating business ideas into technical requirements.
*   **Release Management:** Organized product releases and communicated short-term roadmap knowledge throughout the team.
*   **Product Development:** Led product development discussions and collaborated with strategic stakeholders to improve UX/UI design.
*   **Support:** Managed product support responsibilities to ensure ongoing solution stability.

**INDUSTRY EXPERTISE**
*   Retail & E-commerce
*   Healthcare
*   CRM / ERP Systems
*   Printing & Publishing
*   VR/AR Entertainment

**CORE COMPETENCIES**
*   Product Backlog Specifications & Prioritization
*   Stakeholder Management & Vision Alignment
*   Roadmap Contribution & Communication
*   UX/UI Improvement
*   Technical-to-Business Translation
*   Agile Team Facilitation

**PROFESSIONAL OBJECTIVES**
Seeking a challenging role that offers opportunities for professional growth, mentorship, and advanced training. Committed to contributing to a creative and collaborative environment where I can implement innovative ideas and drive project success."
12526,"[NAME]
[CONTACT INFORMATION]

PROFESSIONAL EXPERIENCE

Project Manager / Scrum Master

Key Project Achievements:
- Led the end-to-end development of the company’s core system, building the architecture from the ground up.
- Managed complex projects within the domains of internet marketing, sales, and supply chain management.

Responsibilities:
- Managed project scope for three cross-functional teams simultaneously.
- Directed sprint and quarterly planning sessions to ensure alignment with business goals.
- Served as Scrum Master, facilitating agile ceremonies and process improvements.
- Conducted requirements gathering and translated business needs into technical specifications for the development team.
- Developed and evaluated alternative workflow solutions to optimize system performance.
- Established technical specifications to maintain control and quality of implemented solutions.
- Collaborated with diverse teams to ensure the seamless integration of business processes.
- Authored comprehensive documentation for all new and modified system features.

SKILLS AND COMPETENCIES

- Project Management Tools: JIRA, Rally
- Business Systems: SAP ERP, CRM, e-Commerce
- Software: MS Office
- Core Strengths: Workflow Optimization, Requirements Analysis, Cross-team Collaboration, Technical Documentation

PERSONAL QUALITIES

- Analytical and detail-oriented
- Proactive and initiative-driven
- Creative problem-solver
- Highly responsible and hardworking
- Rapid learner with a commitment to acquiring new knowledge
- Collaborative and ambitious team player"
12527,"**CERTIFICATIONS**

*   Professional Scrum Master I (PSM I)
*   Certified SAFe 5 Agilist
*   Certified SAFe Scrum Master
*   Certified SAFe Product Owner & Product Manager

**PROFESSIONAL EXPERIENCE**

**EPAM**
*Senior Business Analyst* | December 2020 – Present

*   Led the discovery phase to define and solution the project scope for quarterly cycles.
*   Utilized UX prototyping tools to validate requirements and provide strategic UX recommendations.
*   Architected a structured Confluence environment to house all project-related requirements and documentation.
*   Facilitated workshops with end-user focus groups to elicit requirements and align stakeholder expectations.
*   Conducted comprehensive research on insurance products to enhance business value for the customer.

**GlobalLogic**
*Middle Business Analyst* | November 2019 – December 2020

*   Generated detailed and clear requirements utilizing the User Story format.
*   Organized and facilitated core Scrum ceremonies, including Daily Stand-ups, Sprint Planning, and Estimation sessions.
*   Developed web interface prototypes using Wireframepro and Axure.
*   Managed the full requirements lifecycle, including elicitation, clarification, documentation, and continuous updates.
*   Identified and removed impediments to ensure the development team’s steady progress.

**Nix Solutions**
*Business Analyst* | May 2018 – November 2019

*   Translated stakeholder requirements into tangible deliverables, including specifications, user stories with acceptance criteria, and workflow diagrams.
*   Collaborated with the Product Owner to prioritize the backlog and manage future workstreams for the development team.
*   Provided ongoing requirements support and clarification for the development team throughout the SDLC.
*   Supported sales and presale activities by gathering initial requirements for project estimations.
*   Conducted competitive UX research and designed UI prototypes for web and mobile interfaces using Axure.

**Galaxy IT**
*Sales Manager / Business Analyst* | December 2017 – May 2018

*   Drove business development by identifying potential customers through Upwork, Freelancer.com, and LinkedIn.
*   Gathered business requirements and translated them into actionable tasks for the development team.
*   Managed JIRA setup and project execution according to Agile (Scrum and Kanban) methodologies.
*   Conducted demo sessions of sprint results for customers.
*   Facilitated sprint planning sessions with the development team."
12528,"**HCM Configuration Specialist**
Aug 2019 – May 2021

*   Managed customer data initialization processes.
*   Provided technical support and troubleshooting for customer issues.
*   Customized systems according to specific client requirements.
*   Authored technical specifications and collaborated with development teams to ensure deliverables met requirements.
*   Performed testing and managed requirements throughout all stages of the software development lifecycle.

**Configuration Manager**
Feb 2013 – July 2019

*   Managed and configured the software build and release process.
*   Established test and production environments for company software products.
*   Prepared technical design documentation.
*   Supported project and customer databases.

**Software Implementation Specialist**
May 2010 – Feb 2013

*   Drafted user instructions and documentation.
*   Documented manufacturing processes.
*   Imported data into Oracle databases.
*   Configured products to meet customer requirements, developed additional reports, and prepared product revisions.
*   Performed system administration.
*   Developed automated QA tests.
*   Conducted user training sessions.
*   Provided technical customer support.

**Software Implementation Specialist**
May 2008 – Apr 2010

*   Maintained accounting software.
*   Prepared test environments.
*   Configured products to meet customer requirements, developed reports, and prepared product revisions.
*   Conducted user training sessions.
*   Provided technical customer support.
*   Performed coding tasks using HTML, CSS, PHP, and Visual Basic.

**Areas of Interest**
Finance, Big Data, AI, Blockchain."
12529,"**[NAME]**
[Phone Number] | [Email Address] | [LinkedIn Profile]

**PROFESSIONAL SUMMARY**
Versatile professional currently performing a dual role as a Project Manager and Business Analyst. Experienced in driving project success by managing cross-functional teams, stakeholders, and budgets while ensuring technical solutions align with business objectives. Proven track record in delivering MVPs within tight timeframes, implementing Agile methodologies, and optimizing processes to maximize productivity and value. Seeking to leverage expertise in product strategy and data-driven decision-making to develop successful products that solve customer problems.

**CORE COMPETENCIES**
*   **Project Management:** Project Planning, Prioritization, Team Management, Budgeting, Risk Management, Quality Management, Change Management, Reporting.
*   **Business Analysis:** Requirements Gathering & Analysis, Solution Development, Documentation, Process Improvement, Stakeholder Management.
*   **Methodologies:** Agile, Scrum, Lean (Waste Elimination).

**PROFESSIONAL EXPERIENCE**

**Project Manager & Business Analyst** | [Company Name] | [Dates]

*   Developed and launched a project MVP in collaboration with an Agile team within a 4-month timeline.
*   Introduced Scrum practices to the project, resulting in improved planning and work organization.
*   Leading the analysis and documentation of requirements for a new system, ensuring successful implementation and adoption by aligning technical development with business needs.
*   Strengthened stakeholder relationships, fostering a higher level of trust and collaboration through consistent communication and alignment on project goals.
*   Mentored and developed team members, contributing to their professional growth and development.
*   Manage the full project lifecycle, ensuring completion on time and within budget while meeting all client objectives.
*   Identify opportunities for improvement and facilitate communication between stakeholders and technical teams to ensure projects add measurable value to the organization.
*   Direct day-to-day operations including project planning, risk mitigation, change management, and quality assurance.
*   Continuously evaluate and improve systems and processes to drive efficiency, productivity, and profitability by eliminating wasteful practices.
*   Utilize data to drive decision-making and ensure products deliver maximum value to users.

**TECHNICAL SKILLS & TOOLS**
*   Project Planning and Reporting
*   Requirements Gathering and Analysis
*   Solution Development and Documentation
*   Stakeholder Engagement and Management
*   Agile/Scrum Implementation"
12530,"**[NAME]**
[Phone Number] | [Email Address] | [LinkedIn Profile] | [Location]

**PROFESSIONAL SUMMARY**
Experienced Program and IT Manager with over 25 years of expertise in telecommunications and banking sectors. Proven track record in managing large-scale IT operations, software development, and complex system migrations. Expert in BSS/OSS transformations, core banking integrations, and technical department leadership.

**PROFESSIONAL EXPERIENCE**

**Amdocs Israel**
**Program Manager** | 2020 – Present

**Pasha Bank Georgia**
**IT Section Manager** | June 2018 – December 2019
*   Coordinated department activities and managed three specialized units: IT Operations, Software Development, and Business Analysis & Service Quality.
*   Directed the technology roadmap for the Retail Bank launch, overseeing multiple concurrent sub-projects.

**Geocell – TeliaCompany (Telecommunications)**
**Section Manager: Technology Division, Services – Products and IT** | February 2015 – June 2018
*   Managed five critical units within the section: Billing and Charging, Product and Services, Software Development, Enterprise IT, and Business Support and Reporting.
*   Led large-scale BSS transformations and system swaps to modernize telecommunications infrastructure.

**Geocell – TeliaCompany (Telecommunications)**
**Service Network Department Manager, ICT Division** | January 2006 – February 2015
*   Responsible for the administration and maintenance of core systems including:
    *   Prepaid Charging System
    *   Ericsson Billing Gateway platform
    *   VAS platforms (SMSC, CRBT, WAP GW, Voice Mail)
*   Managed 1st and 2nd line technical helpdesk support.
*   Oversaw the implementation and deployment of new products and platform upgrades.

**Geocell LLC (Telecommunications)**
**Service and Product Operations Team Coordinator** | March 2004 – January 2006
*   Coordinated team responsibilities for the Prepaid Charging system, Ericsson BGW (EMM) platform, and Value Added Systems (SMSC, CRBT, WAP GW, Voice Mail).
*   Managed 24/7 technical helpdesk support (Level 1 and 2) for internal customers.

**Geocell LLC (Telecommunications)**
**Prepaid Charging System Engineer** | March 2000 – March 2004
*   Administered and maintained the Ericsson (PPL) prepaid charging system.
*   Provided 24/7 Level 1 and Level 2 technical support.
*   Executed configuration and implementation of new products and tariff plans.

**New Net Georgia LLC**
**Technical Manager, Digital PSTN Switching Center** | February 1997 – March 2000
*   Managed the administration and maintenance of the PSTN switching center.
*   Responsible for shift staff planning and department management.
*   Provided 24/7 technical helpdesk and operational support.

**KEY PROJECTS**

**Retail Bank Launch (Cash-Loan and TopCard)** | Aug 2018 – Aug 2019
*   Managed a complex integration involving a Processing Center swap and Core Banking integration.
*   Oversee the migration of clients to a new Processing Center and the upgrade of existing Core Banking system releases.
*   Led the deployment of CRM and Salesforce (BPM platform from Terrasoft).
*   Directed the launch of Internet Banking and Mobile Banking platforms.
*   Managed the Contact Center PBX system swap and integration with Terminal Payment systems (TBC Pay).

**Prepaid Billing System Swap** | Aug 2017 – Dec 2017
*   Managed the transition from Amdocs/Comverse One Prepaid Billing to Peter-Service BSS, incorporating online credit and balance control.

**Post-paid Billing and Interconnect Systems Swap** | May 2016 – Dec 2016
*   Orchestrated the swap of Post-paid and Interconnect Billing systems from CBOSS to Peter-Service BSS with online credit and balance control.

**Deep Packet Inspection (DPI) & PCRF Platform Swap** | Jan 2017 – Dec 2017
*   Managed the tender and execution of the PCRF/PCEF platform swap for Geocell.

**Prepaid Billing System Swap** | Jan 2014 – Sep 2014
*   Led the migration of the Prepaid Billing System from Orga OPSC Classic to Comverse ONE BSS.

**TECHNICAL SKILLS**
*   **Systems:** BSS/OSS, CRM (Salesforce/Terrasoft), Core Banking Systems, PSTN Switching, DPI, PCRF/PCEF.
*   **Platforms:** Amdocs/Comverse One, Peter-Service BSS, CBOSS, Orga OPSC, Ericsson BGW/EMM.
*   **Operations:** IT Operations Management, Software Development Life Cycle (SDLC), 24/7 Technical Support Management, Project/Program Management."
12531,"[NAME]
[Phone Number] | [Email Address] | [LinkedIn Profile]

**PROFESSIONAL SUMMARY**
Dedicated professional with over 10 years of experience in Project Management and B2B Sales within the agribusiness sector. Recently transitioned into the IT sphere through comprehensive training in IT Project Management and Business Analysis. Seeking a long-term role to apply expertise in the software development lifecycle, risk management, and project planning to contribute to impactful projects and organizational success.

**CORE COMPETENCIES**
*   **Project Management:** IT Project Management, Project Planning, Risk Management, Software Development Methodologies.
*   **Business Analysis:** IT Business Analysis, Requirement Documentation, Analytical Thinking.
*   **Communication:** B2B Sales, Stakeholder Communication, Presentation Design, Technical Documentation.
*   **Operations:** Software Development Lifecycle (SDLC), Organizational Leadership, Strategic Planning.

**PROFESSIONAL EXPERIENCE**

**Agribusiness Sector**
*Project Management and B2B Sales* | [Year] – Present

*   Accumulated over 10 years of experience managing projects and driving B2B sales growth.
*   Utilized strong analytical and organizational skills to streamline operations and planning.
*   Developed well-structured, easy-to-read documents and professional presentations to facilitate clear communication.
*   Demonstrated a consistent track record of effectiveness in high-stakes environments.

**EDUCATION & CERTIFICATIONS**

**IT Education Academy (ITEA)**
*Certificate in IT Project Management*

**BA Space School**
*IT Business Analysis Courses*

**ADDITIONAL SKILLS**
*   Understanding of software development methodologies.
*   Knowledge of the software development lifecycle (SDLC).
*   Expertise in creating structured documentation and presentations."
12532,"**PROFESSIONAL SUMMARY**

Results-driven Project Manager and Business Analyst with extensive experience in SAP ERP implementation, process optimization, and cross-functional team leadership. Proven track record of delivering complex IT solutions within deadlines while bridging the gap between technical developers and business stakeholders. Expert in the full Software Development Life Cycle (SDLC), Agile methodologies, and stakeholder management. Seeking a Business Analyst or Project Manager role to leverage technical expertise and leadership skills in a fast-paced environment.

**CORE COMPETENCIES**

*   **Project Management:** SDLC, Agile, Scrum, Backlog Prioritization, RACI Matrix, Resource Allocation.
*   **Business Analysis:** Requirement Gathering, User Stories, Use Cases, Story Mapping, BPMN, Product Vision Boards.
*   **Technical Tools:** SAP ERP, JIRA, Confluence, Miro, Basilique, MS Project, MS Office (Excel, Word, Outlook), YClients (Altegio), 1C: Enterprise 8.2.
*   **Quality Assurance & Support:** System Testing, Bug Fixing, User Training, Technical Documentation, Customer Support.

**PROFESSIONAL EXPERIENCE**

**Head of SAP Project Team / Project Manager** | Metallurgical Industry (Metinvest-SMC)
*   Promoted to Head of the SAP Project Team following consistent performance and successful system refinements.
*   Led the end-to-end rollout of SAP ERP solutions, ensuring all project deadlines and business requirements were met.
*   Streamlined communication between IT, business stakeholders, and developers, significantly decreasing misunderstandings and ensuring project scope alignment.
*   Managed the migration process from 1C: Enterprise 8.2 to SAP ERP.
*   Defined business needs and prepared functional requirements for Sales, Marketing, Finance, and Procurement departments.
*   Prioritized the Product Backlog and managed the delivery of new solutions and system improvements.
*   Performed QA duties, including testing IT solutions, refinements, and bug fixes.
*   Acted as the first line of user support, preparing learning materials and conducting training sessions.
*   Mentored team members toward professional growth, resulting in successful career advancements to Senior BA and Project Implementation roles.
*   Recommended for the Staff Roster (prospective employees) multiple times based on 2015-2017 staff assessments.

**Business Analyst** | Beauty Industry
*   Customized software (YClients/Altegio) and organized operational working processes for over one year.
*   Analyzed business requirements to align software functionality with organizational goals.

**International Administrative Professional** | OSCE SMM (Ukraine)
*   Managed administrative duties, contract management, and Human Resources functions for 1.5 years in an international civil environment.
*   Received contract extensions based on consistently high-performance evaluations.

**Sales and Marketing Specialist**
*   Executed sales and marketing strategies over a period of one year, focusing on market engagement and business growth.

**TECHNICAL SKILLS & METHODOLOGIES**

*   **Documentation:** User Stories, Use Cases, Scenarios, Product Backlog, Technical Instructions, Diagrams, and Prototypes.
*   **Frameworks:** Agile, Scrum, RACI, Story Mapping, Product Vision Boards.
*   **Communication:** Stakeholder Management (Top Management and Technical Teams), Skype for Business."
12533,"[NAME]
[Contact Information]

**PROFESSIONAL SUMMARY**
Experienced Project Manager and Scrum Master with a proven track record in the development of web platforms and telecommunications solutions. Expert in Agile frameworks and business-oriented project delivery, with a consistent record of meeting deadlines and budget requirements through effective stakeholder communication and technical expertise. Dedicated team player focused on achieving high-quality results for clients and organizations.

**CORE COMPETENCIES**
* Project Management & Lifecycle Development
* Agile & Scrum Methodologies
* Telecom Web Platforms & Solutions
* Stakeholder Management & Communication
* Budgeting, Scheduling & Resource Allocation
* Project Management Software
* Problem Solving & Team Leadership

**PROFESSIONAL EXPERIENCE**

**Scrum Master** | [Current Company]
* Serve as Scrum Master, facilitating Agile processes and fostering a business-oriented mindset to drive project success.
* Utilize project management software and the latest technologies to ensure time-efficient delivery and high-quality results.
* Maintain open lines of communication with a variety of stakeholders to ensure all parties are informed and project requirements are satisfied.
* Act as a skilled listener and problem-solver to resolve bottlenecks and maintain team productivity.

**Project Manager** | [NFT Project]
* Spearheaded the development of a personal NFT project, overseeing all aspects of the project lifecycle from conception to execution.
* Maintained a keen eye for detail to ensure strict adherence to project deadlines and budgets.
* Applied Agile frameworks and development philosophies to consistently deliver project milestones on time.

**Project Manager** | [Telecom Sector]
* Managed the development of web platforms and specialized solutions for various Telecom companies.
* Collaborated with cross-functional teams to deliver complex technical projects on time and within budget.
* Leveraged deep knowledge of the latest technologies to expand skillsets and deliver innovative solutions for clients.

**TECHNICAL SKILLS**
* Agile Frameworks
* Project Management Software
* Web Platform Development
* Telecommunications Solutions
* Emerging Technologies"
12565,"**[NAME]**
[Phone Number] | [Email Address] | [LinkedIn Profile]

**PROFESSIONAL SUMMARY**
Results-oriented professional with 9 years of experience, including 4 years in Business Analysis/Scrum Management and 5 years in Sales Management. Proven track record of managing cross-functional teams, launching projects from scratch in startup and outsourcing environments, and delivering successful MVPs. Expert in bridging the gap between business stakeholders and technical teams through effective communication and detailed technical documentation.

**CORE COMPETENCIES**
*   **Project Management:** Scrum/Agile Methodologies, Sprint Planning, Gantt Charts, Backlog Grooming, Risk Management, Budgeting, Project Estimations.
*   **Business Analysis:** Requirement Identification & Gathering, User Stories, Use Cases, Wireframes, Functional & Non-Functional Specifications.
*   **Technical Documentation:** UML (Sequence Diagrams), Confluence, Change Management, Progress Reporting.
*   **Technical Skills:** MS SQL, MySQL, HTML, CSS, PHP.
*   **Sales & Strategy:** Affiliate Program Development, Sales Strategy, Client Relationship Management (USA/EU).

**PROFESSIONAL EXPERIENCE**

**Business Analyst / Scrum Master**
*   Managed and coordinated cross-functional teams:
    *   Team 1: 15 members (2 iOS, 2 Android, 4 FE, 5 BE, 2 QA).
    *   Team 2: 9 members (2 Mobile, 2 FE, 3 BE, 2 QA).
*   Successfully released an MVP and implemented 5+ integrations for the second project.
*   Facilitated all Scrum events including sprint planning, grooming, estimations, retrospectives, and backlog fulfillment.
*   Managed project timelines and schedules to ensure scope delivery within deadlines.
*   Produced comprehensive technical requirements and UML diagrams (Use Cases, Sequence Diagrams).
*   Collaborated closely with Product Owners, Developers, QAs, and UI/UX designers to manage the development process.
*   Analyzed change requests and maintained detailed changelogs.
*   Ensured backlog and dashboard transparency for all team members and stakeholders.
*   Provided regular progress reports and performance monitoring to POs and stakeholders.
*   Managed projects across various domains including Healthcare, Cryptocurrencies, Crowdfunding, Finance Systems, and Fitness Applications.

**Sales Department Manager**
*   Managed and coordinated a department of 8 Sales Managers and Pre-sales Managers.
*   Established and implemented a comprehensive Sales Strategy and Affiliate Program.
*   Leveraged sales background to build client relations, solve complex problems, and maintain seamless communication between clients and internal teams.

**EDUCATION & PROFESSIONAL DEVELOPMENT**
*   **Course:** IT Project Management (Completed April 2019)
*   **Course:** Quantitative and Quality Market Research (Completed November 2019)
*   **Private Courses:** MS SQL, MySQL, HTML, CSS, and PHP (March 2020 – July 2020)

**ADDITIONAL INFORMATION**
*   **Experience Types:** Start-up companies, outsourcing projects, and launching projects from scratch.
*   **Geographic Experience:** Client communication and management for USA and EU markets.
*   **Work Philosophy:** Dedicated to team growth and achieving tangible results; committed to continuous technical skill improvement.
*   **Availability:** Preferred working schedule starts at 11:00 AM for maximum productivity."
12656,"**[NAME]**
[Phone Number] | [Email Address] | [LinkedIn Profile]

**PROFESSIONAL SUMMARY**
Results-driven Business Analyst, Web Analyst, and Project Manager with extensive experience in data automation, business scaling, and strategic growth. Proven track record of increasing operational efficiency, managing high-traffic digital platforms, and achieving significant profitability. Seeking to leverage analytical expertise and leadership experience to contribute to a professional team and drive impactful results.

**PROFESSIONAL EXPERIENCE**

**Web Analyst / Business Analyst** | [Company Name - National Retail]
*Current*

**Business Analyst / Web Analyst** | [Company Name]
*2021 – 2022*
*   Restructured reporting for approximately 10 projects into dynamic formats to improve data accessibility.
*   Automated daily reporting by developing and packaging a universal algorithm.
*   Established cross-departmental interaction protocols and accelerated internal process exchanges.
*   Increased the volume of projects under analysis by 2.5 times.

**Lecturer (Part-time)** | [University Name, Ukraine]
*2020 – 2023*
*   Authored over 10 scientific and expert publications indexed in major scientometric databases, including Scopus and Web of Science.
*   Developed and implemented the strategic concept for an educational YouTube channel.

**Chief Executive Officer (Own online IT project)**
*2017 – 2021*
*   Developed and executed a proprietary business model from inception.
*   Achieved an average monthly profitability of approximately 90%.
*   Fully automated all technical, managerial, and business processes within 14 months.
*   Successfully transitioned the project to maintenance under content manager support.

**Project Manager (Remote)**
*2016 – 2021*
*   Scaled monthly site traffic by nearly 500% over four years, increasing users from 1.5 million to 7 million.
*   Expanded the total number of advertising partners by 3 times.
*   Streamlined project operations to transition the platform to freelance developer support.

**SKILLS**
*   **Analysis:** Business Analysis, Web Analysis, Data Automation, Reporting Restructuring.
*   **Management:** Project Management, Process Automation, Business Modeling, Strategic Planning.
*   **Digital:** Traffic Growth, Platform Scaling, Content Strategy.
*   **Academic:** Scientific Research, Technical Writing, Educational Content Creation."
