,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5
98376,"# Julia

## Professional Summary

UX/UI designer with a background in photography, bringing a strong eye for visual composition and creativity to digital product design. Detail-oriented and collaborative professional with experience in Figma, user research, and end-to-end design processes. Proven ability to work independently and within teams to deliver intuitive, user-centered designs for mobile and web applications.

## Education

**UX/UI Design Course** – GoIT

## Technical Skills

- Figma
- ProtoPie
- User Research & Analysis
- Wireframing & Prototyping
- Mobile & Web Design
- Responsive Design

## Projects

**Buyland – Mobile Supermarket App** (Team Project)
Designed a mobile app enabling in-app scanning and payment to streamline the shopping experience. Conducted competitor analysis, defined target audience personas, mapped user journeys, and developed wireframes, prototypes, and UI design in Figma with a focus on intuitive navigation.

**Clean Up – Web Service** (Team Project)
Designed a responsive web service for a cleaning company to promote services and facilitate online booking. Conducted competitor analysis, created user personas, mapped user journeys, and developed wireframes, prototypes, and device-optimized designs.

**Mainsail Realty Company Website Redesign** (Project)
Redesigned a website for a Florida-based real estate firm with 20+ years of experience. Created a minimalistic, easy-to-navigate design targeting middle-aged couples seeking residential or investment properties.

**Library App** (Mini-Project)
Designed onboarding and main pages in Figma. Created animations using ProtoPie to enhance user experience.

**Flower App** (Mini-Project)
Designed onboarding, registration, main page, and card pages in Figma with integrated animations.

**IT School Dashboard** (Mini-Project)
Designed a dashboard interface for an IT school."
98377,"# Resume

## Professional Experience

**Freelance Designer**

- Design and develop high-converting landing pages for e-commerce clients, including custom jewelry store websites
- Create compelling advertising banners and marketing creative assets
- Develop intuitive online store interfaces and mobile application interfaces
- Apply user interface design principles through sketching, prototyping, and compositional interface construction
- Deliver user-centered design solutions emphasizing usability and visual quality

## Core Competencies

- Landing Page Design
- E-commerce Website Design
- Mobile Interface Design
- Advertising & Marketing Creative
- UI/UX Design Principles
- Design Sketching & Prototyping
- Modern Design Trends

## Professional Development

- Continuously expand design capabilities through educational projects across multiple styles
- Actively pursue skill advancement and industry best practices
- Maintain current knowledge of emerging design trends

## Areas of Interest

E-commerce design, landing pages, mobile application interfaces, and diverse creative projects"
98378,"# RESUME

## Professional Summary
Creative and analytical designer specializing in UX/UI design, graphic design, and web development. Skilled at delivering user-focused solutions through research-driven methodology, with proven ability to work effectively both independently and collaboratively.

## Core Competencies
**Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator, CorelDRAW, Canva

**Design Expertise:** UX methodology, usability principles, graphic design, typography, color theory, composition

**Technical Skills:** Website and mobile application design, responsive and adaptive design, image optimization

**Professional Strengths:** Analytical thinking, creative problem-solving, team collaboration

## Professional Experience

### Volunteer Website Development | Social Project
Contributed to the development of a volunteer-focused website, applying UX methodology and collaborative design practices.

## Featured Projects

### Real Estate Website Redesign
- Defined project goals and identified target audience
- Conducted competitor research and market analysis
- Developed user personas and user flow documentation
- Created wireframes and design mockups using Figma and Adobe Photoshop
- Curated color schemes, fonts, and graphics for cohesive visual identity
- Designed user-friendly interfaces aligned with composition principles
- Implemented responsive design across multiple devices and screen resolutions
- Optimized images and media elements for improved loading performance

### Pet Search Web Service
- Defined main blocks and elements for service structure
- Analyzed composition and element arrangement to optimize perception and usability
- Developed value propositions and calls-to-action
- Designed aesthetically pleasing, responsive interfaces
- Optimized media elements for enhanced user experience"
98379,"**Professional Summary**

Enthusiastic UX/UI Designer dedicated to continuous learning and professional growth. Skilled in developing web applications, adaptive design, and creating intuitive, attractive user interfaces. Proficient in Figma with expertise in auto layout, components, variants, and animation. Excellent at strategic planning and detailed execution while maintaining flexibility to adapt to evolving project needs.

---

**Hard Skills**

Sitemap and Userflow · Competitive Analysis · Typography and Color Theory · Mood Board Creation · UX/UI Principles · Lo-Fi and Hi-Fi Wireframing · Prototyping · User Testing · UI Design and UI Kit Development · Adaptive Design · Nielsen Heuristics Analysis

---

**Soft Skills**

Design Decision Argumentation · Communication · Adaptability · Team Collaboration · Attention to Detail · Self-Motivation · Workflow Organization · Project Management · Priority Setting · Creativity · Time Management

---

**Experience**

**E-commerce Platform**

Designed an e-commerce platform for a trend-focused textiles manufacturer to automate ordering and serve as a digital brand showcase.

- Conducted project research, competitor analysis, and client briefing to determine target audience
- Created sitemap, userflow, Lo-Fi and Hi-Fi wireframes, mood board, and UI kit
- Performed Nielsen Heuristics analysis and user testing
- Delivered user-friendly catalog with advanced filtering and sorting, intuitive product cards, functional shopping cart with editing capabilities, and streamlined checkout with multiple delivery and payment options
- Achieved excellent results across CSAT, Completion Rate, and Task Time metrics

**Landing Page**

Created an engaging landing page addressing animal shelter challenges and encouraging pet adoption.

- Performed project and secondary research, created sketches and mood board
- Developed Lo-Fi and Hi-Fi wireframes, UI kit, and prototype
- Designed attractive interface with 10 content blocks presenting key information and addressing adoption myths
- Incorporated interactive pet selection form"
98380,"# UX/UI Designer

Self-motivated junior UX/UI designer with meticulous attention to detail and a passion for design. Background in furniture and interior design complements proven experience in landing page design, redesign, web services, and mobile applications. Skilled in creating intuitive, aesthetically refined interfaces that deliver maximum value to users by combining deep understanding of user needs with visually compelling, user-centered solutions.

## Project Experience

**Landing Page: BusinessUp by Podvigina**
Designed and delivered a landing page for the practical course ""BusinessUp by Podvigina"" under tight deadlines. Developed UI kit components and integrated animation elements to elevate user experience.

**FinEasy Web Service**
Led end-to-end design for FinEasy, a collaborative web service connecting accountants and entrepreneurs. Conducted UX research, developed personas and user flows, and created adaptive UI components with animations. Delivered seamless cross-device responsiveness.

**Mexican Restaurant Website Redesign**
Executed comprehensive redesign including competitor analysis, wireframing, UI design, and responsive adaptation with animation using Figma.

**Urban Festival Landing Page**
Completed full design cycle: competitor analysis, wireframing, UI development, and responsive adaptation for tablet and mobile devices.

## Additional Experience

- Two independent pet projects
- Furniture and interior design expertise

## Professional Attributes

- Results-driven with commitment to design excellence
- Collaborative team player
- Eager to embrace new challenges and grow within creative teams
- Available for hybrid/partially remote arrangements"
98381,"# RESUME

## EDUCATION

**Mobios School** — 2020
UX/UI Design and Mobile Design

**Projector** — 2021
Junior Web Design | Font and Logo Design

## CORE COMPETENCIES

**UX/UI Design**
- Adaptive landing pages, e-commerce platforms, and corporate websites
- Mobile application design
- UX research and competitor analysis
- User personas, Customer Journey Maps, and User Flow design
- Interactive prototypes

**Visual Design**
- Logo creation and typography
- Banner design for social media, print, and outdoor advertising
- Grids, color theory, mood, and atmosphere

**Client Relations**
- Customer briefing and requirements gathering
- Project presentation and client representation"
98382,"# PROFESSIONAL RESUME

## PROFESSIONAL SUMMARY
UX/UI Designer with expertise in user-centered design, wireframing, and prototyping. Combines strong visual design capabilities with technical understanding of HTML/CSS to bridge design and development. Committed to creating intuitive, compelling user experiences.

## EXPERIENCE

**UI/UX Designer** | Freelance
1 month

- Conducted design research and developed concept sketches to inform project direction
- Created wireframes and interactive prototypes to validate design solutions
- Redesigned application interfaces to improve user experience
- Produced visual content for digital platforms including YouTube and Instagram
- Developed original logos and executed brand identity redesigns

## SKILLS

**Design Tools**
Figma · Adobe Photoshop · Adobe InDesign · Adobe Illustrator · InVision

**Technical**
HTML/CSS

**Core Competencies**
UX/UI Design · Wireframing · Prototyping · Visual Design · Brand Identity · Process Organization · Time Management · Communication

**Languages**
English (Advanced)

## PROFESSIONAL DEVELOPMENT
- Active participant in design meetups and industry events
- Completed web design marathons
- Developed comprehensive design portfolio

## CAREER OBJECTIVES
Seeking to deepen UX expertise by solving complex design challenges and collaborating with skilled professionals in a team environment."
98383,"**UI/UX DESIGNER**

**SKILLS**
UI/UX Design • User Research & Analysis • Competitive Analysis • Figma • Adobe Photoshop • Miro

**PROFESSIONAL EXPERIENCE**

**Research Manager** | Entertainment/Crypto Company | 1 year 3 months
- Conducted comprehensive research and analysis on target audiences, competitors, and regulatory policies across multiple countries
- Collaborated with QA department on UI/UX design and regression testing projects

**PROJECTS**

**HelpPets** | Volunteer & Lost Pet Platform
- Partnered with design team to conduct competitive analysis
- Developed typography standards and comprehensive UIKit
- Designed complete user flow and interface for pet owner segment
- Contributed innovative feature concepts including AI-powered pet movement prediction
- Tools: Figma, Adobe Photoshop

**Destin/Tattoo** | Website Redesign
- Executed competitive analysis and UX evaluation of existing website
- Conducted user analysis to inform design decisions
- Created redesigned layout featuring improved color palette, typography, and user flow
- Delivered measurable usability improvements through strategic design changes
- Tools: Figma

**EDUCATION**
UI/UX Course | Hillel IT School
UI/UX Webinar | GoIt School

**PORTFOLIO**
Available upon request"
98384,"# PROFESSIONAL EXPERIENCE

## Web Service for Finding Lost Pets | Team Project
Developed a platform connecting pet owners with community members to locate missing animals. Led user research initiatives including persona development and Jobs-to-be-done analysis. Designed core interface pages—lost animals, found animals, my ads, and ad creation forms—incorporating dropdown functionality. Contributed to cross-functional team collaboration on expanded project requirements.

## India Cafe Website Redesign | Independent Project
Transformed an outdated website suffering from low-quality imagery and inadequate customer information. Delivered a minimalist design solution balancing accessibility, structural clarity, and visual hierarchy to create a contemporary, user-friendly interface.

## Flower Shop Landing Page | Independent Project
Created a single-page website for bouquet ordering with delivery services. Executed a modern, user-friendly design featuring flower photography and a distinctive color palette. Streamlined the user journey from browsing arrangements to order completion.

---

# OBJECTIVE

Seeking a full-time position at a company dedicated to simplifying everyday life and business operations, with opportunities for professional development in a collaborative environment."
98385,"# [YOUR NAME]
## UI/UX Designer

---

### PROFESSIONAL EXPERIENCE

**UI/UX Designer** | JetIQ | 2022 - 2023

Design creation, wireframing, component development, and layout for mobile and web applications serving Vinnitsa National Technical University.

**Key Accomplishments:**
- Created user-friendly designs for web pages, blog sites, and branded materials including company logos, social media posts, and illustrations for small businesses and corporate clients
- Developed responsive HTML5/CSS3 websites using SASS/SCSS with clean, maintainable code
- Designed mobile and web applications applying UI/UX principles and brand guidelines
- Collaborated with clients and development teams to ensure successful project implementation
- Produced corporate identities and illustrations using industry-standard design tools

**Notable Projects:**
- **Anitime** — Mobile application for watching anime
- **Innovexa** — Landing page for a data security services company

---

### EDUCATION

- Junior Front-end Developer — EPAM University
- UI/UX Designer — Taras Shipka

---

### SKILLS

**Design:** UI/UX Design, Wireframing, Prototyping, Brand Identity Development, Responsive Web Design

**Tools:** Figma, Adobe Illustrator, Adobe Photoshop, Procreate

**Development:** HTML5, CSS3, SASS, SCSS"
98386,"**PROFESSIONAL SUMMARY**

Fast learner with strong sense of responsibility and ability to tackle challenging projects. Seeking a full-time position with a company dedicated to improving everyday life and business operations through intuitive, user-friendly solutions.

---

**PROJECTS**

**VDOMA — Web Service**

Developed an animal search web service to help owners locate lost pets efficiently. Led project through multiple phases including competitor analysis, user persona analysis, prototyping, system design, UI design, and responsive adaptation.

**CUSTOM CONCEPT TATTOO & DESIGN — Website Redesign**

Redesigned website for tattoo studio to modernize outdated design and improve cross-device functionality. Developed responsive design to enhance user experience and attract potential customers across multiple media formats.

**FLOVER LOVER — Landing Page**

Created a landing page to advertise a new flower delivery service. Collaborated with client to design a simple, single-page website with intuitive navigation and soft color palette. Conducted mood board development and competitor analysis prior to design implementation."
98387,"# OBJECTIVE

Seeking UX/UI Design roles that prioritize user-centered digital experiences and design innovation. Interested in positions offering creativity and cross-functional team collaboration. Prefer roles emphasizing thorough user research, thoughtful ideation, and testing. Committed to contributing to projects that prioritize quality and user satisfaction.

# EXPERIENCE

**f.Lover Mobile App for Delivering Flowers**

- Redesigned user interface for flower and gift delivery mobile application
- Optimized mobile app performance and web-service integration
- Developed landing page for user acquisition
- Collaborated with cross-functional team to create user-centered digital experience featuring gift and flower recommendations
- Enabled users to order gifts for specific dates, times, and special occasions"
98388,"# RESUME

## PROFESSIONAL SUMMARY

User-focused designer skilled in UX research, competitive analysis, and creating intuitive interfaces across mobile and web platforms. Experienced in leading design projects from research through prototyping, with a strong commitment to delivering products that meet customer needs. Seeking remote design opportunities with mentoring support to continue professional growth.

## TECHNICAL SKILLS

- User Experience (UX) Research
- Persona Development
- Competitive Analysis
- Wireframing and Prototyping
- Mobile App Design
- Web Design
- Responsive Design (Desktop, Tablet, Mobile)
- Design Principles and User Flow Architecture

## PROJECT EXPERIENCE

**Flowers Delivery Mobile App**
- Designed an intuitive interface for a global online flower ordering service
- Conducted persona research to identify and address customer needs
- Delivered a streamlined user experience enabling customers to order bouquets internationally

**Pet Scout - Animal Pet Search Web Service** | Project Leader & Lead Ideator
- Led UX research including competitor analysis and user flow mapping
- Applied design principles and web service architecture to create a compelling user experience
- Produced wireframes, mockups, prototypes, and comprehensive portfolio documentation

**Barbershop Landing Page**
- Designed a responsive landing page for service information and appointment scheduling
- Conducted competitor analysis and developed user personas through structured research methods
- Delivered fully responsive designs optimized for desktop, tablet, and mobile platforms

**Tattoo Studio Website Redesign**
- Redesigned website enabling visitors to browse artists, view portfolios, and schedule consultations
- Performed competitive analysis incorporating demographic data including age and sex breakdowns
- Created a visually appealing, research-driven interface with intuitive navigation"
98389,"# UI/UX DESIGNER

## PROFESSIONAL SUMMARY

UI/UX designer specializing in web and mobile applications. I transform concepts into effective solutions by addressing user challenges and optimizing user goals, combining visual appeal with strategic problem-solving to create meaningful design experiences. Experienced working independently and collaboratively within team environments.

## CORE COMPETENCIES

**Design Expertise:**
Low and high-fidelity prototyping, vector illustration, component design, adaptive design, logo creation, landing page design, UI/UX improvement

**Software Proficiency:**
Figma, Adobe Illustrator, Adobe Photoshop, ProtoPie

## FEATURED PROJECTS

**Website Redesign – Destin Tattoo Company**
Comprehensive individual project: competitor analysis, prototyping, copywriting, color selection, logo development, wireframe creation, and responsive design adaptation for tablet and mobile devices.

**Web Service – The Lost Pets**
Collaborative project helping users find, return, or rehome animals. Created user flow for individuals who found or rescued animals and developed a custom logo for the service.

**Mobile App – Suit Store**
E-commerce application designed for streamlined shopping. Developed intuitive user flow for male personas making purchases across multiple categories. Transitioned from collaborative foundation to independent execution through prototyping and final delivery.

## CAREER OBJECTIVES

Seeking a full-time position in a creative, collaborative team environment where I can solve challenging design problems, improve user interfaces, and contribute to advancing design solutions."
98390,"# PROFESSIONAL EXPERIENCE

**Team Leader – BudgetStay Project**
Led a design team of 2 in developing a comprehensive web service for budget accommodation discovery across desktop, tablet, and mobile platforms.
- Architected main user flow supporting 2 account tiers (free and premium) and 3 distinct host type workflows
- Delivered responsive interfaces across all platforms with interactive desktop prototype

**Team Leader – Tantric Massage Salon Sensual**
Leading development of responsive landing page across desktop, tablet, and mobile to promote salon services and drive client acquisition.

**Designer – FoodieFinder Mobile Application**
Designed mobile application enabling restaurant discovery and table reservation based on user preferences.

**Designer – India Cafe Website Redesign**
Independently redesigned website for Indian restaurant in Pennsylvania, modernizing the digital presence to increase customer engagement.
- Expanded site architecture with photo gallery and menu pages
- Integrated restaurant booking functionality
- Delivered responsive designs across desktop, tablet, and mobile with interactive desktop prototype

**Designer – Citroen 4 Landing Page Concept**
Created concept design for Ukrainian market landing page featuring test drive scheduling functionality.

# ADDITIONAL PROJECTS
2 personal pet-projects

# PROFESSIONAL GOALS
Seeking to join a collaborative team implementing modern, innovative projects that create meaningful connections between service providers and clients while continuously developing UX/UI design skills."
98391,"# RESUME

## PROFESSIONAL EXPERIENCE

**Computer Science Teacher** | 15 Years

- Delivered comprehensive instruction in raster and vector graphics, 3D modeling, and programming languages
- Applied design principles and technology expertise to create engaging learning experiences

## CORE COMPETENCIES

**Design Software**
Adobe Photoshop | Adobe Illustrator | CorelDRAW | Figma | ProtoPie | Canva

**Design Skills**
Website Redesign | Adaptive Design | Mobile Application Design | Wireframing | Prototyping | User Research | Persona Development | User Flow Mapping | Visual Style Creation | Moodboard Development | Landing Page Design

## SELECTED PROJECTS

**Website Redesign — Veterinary Clinic ""Aibolit""**
- Executed full design cycle from problem analysis through interface prototyping, visual style creation, and final product delivery
- Created modern, user-friendly interface designed to attract and engage potential customers

**Mobile Application — ""Coffee Time""**
- Led complete design cycle including problem analysis, interface prototyping, visual style creation, and final product development
- Designed intuitive mobile application enabling customers to scan and pay for goods, eliminating checkout queue wait times

## PROFESSIONAL ATTRIBUTES

Dedicated to continuous learning and application of emerging technologies. Eager to contribute expertise within a collaborative team environment to achieve shared objectives."
98392,"**UI/UX Designer**

**Education**

Online IT School – UI/UX Design (8 months)
Coursework: Landing pages, websites, web services, and individual site elements.

**Projects**

**Visit – Web Service | Full-Stack Design**
Designed a user-friendly web service for organizing travel throughout Ukraine. Conducted UX research and competitive analysis to inform design decisions. Developed functionality based on research findings while strategically avoiding unsuccessful competitor solutions.

**Poltavski Galyshki – Website Redesign**
Redesigned website for Poltava Dumplings cafe. Restructured site architecture by implementing logical sections, organizing information hierarchy, integrating photography, and incorporating business contact information to enhance user experience.

**Additional Projects**
Two independent pet-projects demonstrating design expertise."
98393,"# RESUME

## EDUCATION & TRAINING

**H.S. Skovoroda Kharkiv National Pedagogical University**
Faculty of Art and Graphics — Ad Designer

**Mobios School** | Sep 2021 — Dec 2021
UX/UI Web Design + Mobile Design

**CURSOR Education** | Feb 2021 — Jul 2021
UI/UX Designer

**Source IT** | Feb 2015 — Apr 2015
HTML Layout

## PROFESSIONAL EXPERIENCE

**Layout Designer** | 10+ Years
Various Publishing Houses

- Designed and developed layouts for books, magazines, and posters, ensuring visual consistency and brand alignment
- Executed page design and visual composition to enhance readability and aesthetic appeal
- Created, sourced, and processed vector illustrations to support editorial and marketing objectives
- Sourced and processed bitmap images for seamless integration into print materials
- Compiled collages and composite visuals for diverse publication needs
- Prepared final products for print production, ensuring technical accuracy and quality standards

## CORE COMPETENCIES

**UX/UI Design:** UX Research | Wireframing | UI Design | Mobile App Design | Web Design

**Visual Design:** Vector Illustration | Image Processing | Print Preparation

**Professional Skills:** Communication | Client Collaboration

## PROJECT EXPERIENCE

**Final UX/UI Design Project**

- Conducted stakeholder and client interviews to identify user needs and business requirements
- Performed comprehensive competitor analysis to inform strategic design decisions
- Developed SWOT analysis to evaluate project opportunities and challenges
- Created detailed UX Personas to guide user-centered design
- Developed Customer Journey Maps to visualize user interactions and pain points
- Established information architecture to optimize content organization and navigation
- Produced wireframes and final design deliverables aligned with project objectives"
98394,"# Professional Summary

User experience and graphic design professional with expertise in UX research, wireframing, and prototyping. Proficient in Adobe Creative Suite with a foundation in print design and publishing production. Award-winning designer recognized at the national level. Seeking opportunities to leverage combined graphic design experience and UX training in UI/UX design roles.

## Professional Experience

**Freelance Graphic Designer**
- Design print publications and illustrations using Adobe Photoshop and Adobe Illustrator
- Apply UX research methodologies, wireframing, and prototyping techniques through comprehensive coursework
- Created case study demonstrating end-to-end UX design process and proficiency

## Education & Certifications

**Google UX Design Certificate**
Coursera Platform

**Introduction to Software Product Management**
University of Alberta

**Fundamentals of Graphic Design**
California Institute of the Arts

## Awards

**Diploma of the II Degree**
Sixth All-Ukrainian Student Olympiad in Design of Publishing and Printing Production

## Skills

**Design:** UX Research, Wireframing, Prototyping, Print Design, Publishing Production

**Tools:** Adobe Photoshop, Adobe Illustrator"
98395,"# UI/UX Designer

## Professional Experience

**Freelance UI/UX Designer** | 6 months

Developed distinctive user interfaces for diverse clients while managing end-to-end project delivery. Conducted user research and client requirement analysis to inform design decisions. Created information architecture, wireframes, and interactive prototypes through iterative design processes. Partnered with development teams to ensure seamless implementation. Delivered designs that enhanced user experience and improved conversion rates while maintaining project timelines and clear client communication.

## Core Competencies

**Research & Strategy:** User Research | Client Requirement Analysis | Information Architecture

**Design & Execution:** Wireframing | Prototyping | Interaction Design | User Experience Testing

**Project Delivery:** Independent Project Management | Developer Collaboration | Timeline Management | Iterative Design Process

## Education & Training

Completed comprehensive UI/UX design coursework in design principles, user research methodologies, wireframing, prototyping, and interaction design. Executed individual and team-based design projects, earning recognition for attention to detail, creativity, and effective incorporation of user feedback. Maintain ongoing professional development through self-study, webinars, and active participation in design communities.

## Professional Attributes

- User-centric design philosophy prioritizing target audience needs and positive user experiences
- Strong collaboration and communication skills across cross-functional teams and stakeholders
- Committed to continuous learning and staying current with industry trends and emerging practices
- Dedicated to delivering quality design solutions that achieve project objectives"
98396,"**PROFESSIONAL EXPERIENCE & PROJECTS**

**UI/UX Designer** | 11 Months

**Key Projects**

**Roofing Materials Plant Website Redesign**
Transformed an outdated, non-functional multi-page site into a modern, streamlined landing page with intuitive navigation and engaging visual structure.

**Tea Studio Landing Page**
Designed a stylized website that balances aesthetic appeal with cultural authenticity while delivering essential studio information.

**Board Games Online Store**
Developed an e-commerce platform incorporating AI elements to enhance the shopping experience.

**Multiplex Ukrainian Cinema Network Application**
Conducted comprehensive UX research and developed strategic solutions to resolve key usability issues.

**TECHNICAL PROFICIENCIES**

- Figma (components, variants, auto layout, constraints)
- Adobe Photoshop
- Adobe Illustrator
- Adobe After Effects
- Webflow

**CORE COMPETENCIES**

- UI/UX Design
- Web Design
- User Research
- Creative Design with Distinctive Visual Identity"
98397,"**TECHNICAL SKILLS**

**Frontend Development**
HTML5 | CSS3 (Responsive & Adaptive Design) | SASS/LESS | Flexbox | JavaScript | React.js (Component Structuring) | Bootstrap | Git

**Design & Creative Software**
Adobe Photoshop | Illustrator | InDesign | Procreate | Figma

---

**PROFESSIONAL EXPERIENCE**

**Freelance Designer & Illustrator**

- Created commissioned illustrations, portraits, and 2D character designs for training videos
- Managed multiple client projects remotely, developing strong prioritization and client communication skills

---

**CORE COMPETENCIES**

- UI/UX Design with component-based design approach
- Full-stack design thinking, bridging design and front-end development perspectives
- Understanding of developer workflows and technical requirements

---

**PROFESSIONAL DEVELOPMENT**

- Continuously advancing skills in design and front-end technologies
- Self-taught Figma proficiency
- Focused on deepening expertise in UI/UX design as primary career direction"
98398,"# RESUME

**PROFESSIONAL SUMMARY**

Detail-oriented designer skilled in creating simple, intuitive, and user-friendly interfaces. Committed to solving complex problems through thoughtful design, with expertise spanning the complete design process from research and user flows through wireframing and prototyping.

**CORE COMPETENCIES**

- User Interface Design
- Design Research
- User Flows
- Wireframing
- Prototyping
- Animation Design
- Figma
- 3D Modeling

**DESIGN EXPERTISE**

Proficient in Figma for creating design layouts, interactive prototypes, and animations. Experienced in end-to-end design workflows including research, user flows, wireframes, and prototyping to deliver effective design solutions.

**PROFESSIONAL EXPERIENCE**

**Freelance Designer**

- Deliver user interface design solutions from concept through prototype
- Conduct design research and develop user flows to inform design decisions
- Create wireframes, interactive prototypes, and animations in Figma

**ADDITIONAL SKILLS**

- 3D Modeling
- Problem-Solving
- Team Collaboration"
98399,"# RESUME

**UI/UX Designer Intern** | 6 months
- Applied visual design principles to user interface development

**Translator** | Marriage Agency | April 2023 - August 2023
- Facilitated cross-cultural communication for clients

**Assistant Architect** | June 2022 - August 2022
- Developed architectural project layouts using computer-aided design software
- Prepared and drafted comprehensive project plans

**Freelance Artist** | January 2019 - August 2021
- Designed and delivered custom paintings, portraits, and logos for diverse clientele
- Managed client relationships from concept through final delivery"
98400,"# RESUME

**PROFESSIONAL EXPERIENCE**

**Freelance Graphic Designer** | Hilding Company
- Create brand stories, icons, and graphics for Amazon store products
- Develop visual assets that support e-commerce product presentation

**Content Creator and Photographer** | Sport Clothing Shop
- Develop content and photography for retail operations
- Produce visual materials supporting brand marketing initiatives

**Photographer** | Restaurant
- Provide professional photography services for commercial use

**VOLUNTEER EXPERIENCE**

**International Exchange Programs Volunteer**
- Contribute to cross-cultural program coordination and support

**Volunteer** | BookForum and Children's BookForum
- Support literary community events and programming

**TECHNICAL SKILLS**

- **Design Tools:** Figma, Adobe Photoshop, Zeplin
- **Web:** Webflow, Web Design and Development"
98401,"# RESUME

**Web Designer & UI/UX Designer**

---

**Freelance | Implants & Surgeons** | 2022 – 2023
- Designed e-commerce platforms, service websites, and high-converting landing pages in collaboration with an IT company
- Developed and refined UX processes to improve user experience
- Conducted manual UI/UX testing to ensure quality and usability

**Famart Group | Web Designer & UI/UX Designer** | 2021 – 2022
- Created comprehensive website designs for a goods sales platform
- Developed creative advertising banners to drive engagement and conversions
- Performed professional photo retouching to elevate site content quality
- Optimized client user flows and contributed to UI/UX development initiatives"
98402,"**PROJECT AND PRODUCT MANAGER**

Four years of experience managing 74 concurrent web projects while leading mobile application development across the complete development lifecycle.

**CORE COMPETENCIES**

Project & Product Management | UI/UX Design | Team Leadership | Quality Assurance | Workflow Optimization | Stakeholder Communication | Analytics & Competitive Analysis | Prototyping

**PROFESSIONAL EXPERIENCE**

**Freelance UI/UX Designer**

- Designed landing pages and e-commerce websites from concept through implementation
- Developed website layouts using Tilda
- Created brand identities including logos, business cards, and advertising materials
- Built interactive prototypes to validate design concepts

**UI/UX Designer — Netpeak Group**

- Designed visual content for blogs and review websites
- Developed landing pages using Tilda
- Created logo designs for company properties

**Project/Product Manager — Netpeak Group**

- Led cross-functional development teams delivering mobile applications and websites
- Managed end-to-end project workflow: technical specifications, prototyping, design, development, testing, and production deployment
- Facilitated Agile ceremonies including retrospectives, backlog grooming, and planning poker sessions
- Established and maintained communication channels across project stakeholders
- Conducted manual product testing to ensure quality standards
- Analyzed product performance metrics using Google Analytics and AppsFlyer
- Performed competitive analysis leveraging App Annie, Alexa, and Sensor Tower

**EDUCATION**

Projector School — Four Design Courses Completed

**SEEKING**

A role combining project management and design expertise with challenging projects, professional growth opportunities, structured processes, and a collaborative team committed to employee development and positive societal impact."
1747,"# RESUME

## PROFESSIONAL EXPERIENCE

**Self-Employed Entrepreneur** | 8 Years

- Founded, operated, and successfully exited a chain of coffee shops
- Established export-oriented production company specializing in 3D printing technologies

## HARD SKILLS

- Project planning, prioritization, and goal setting
- Budget management and resource allocation
- Delegation and task performance monitoring
- Agile methodologies: SCRUM, Kanban, and Waterfall
- Game design fundamentals with working knowledge of UE4 and Unity
- Blender: modeling, UV mapping, and animation
- Linux node administration

## SOFT SKILLS

- Strategic decision-making and critical thinking
- Time and risk management
- Team leadership and coaching
- Stakeholder communication and consensus building
- Customer and user needs analysis
- English: Intermediate (B1)"
1784,"**PROFESSIONAL SUMMARY**

Creative professional with diverse experience spanning 3D art, graphic design, video production, digital marketing, and event organization, with proven success in dynamic start-up environments.

**CORE COMPETENCIES**

3D Modeling & Animation | Graphic Design | Videography & Video Editing | Digital Marketing Strategy & Execution | Event Organization | Start-up Operations

**PROFESSIONAL EXPERIENCE**

**3D Artist**
Crafted visually stunning, realistic 3D models and animations for diverse projects.

**Graphic Designer**
Designed compelling visual assets tailored to project requirements and brand objectives.

**Videographer & Video Producer**
Captured and edited high-quality video content, creating impactful visual narratives through meticulous attention to detail and technical proficiency.

**Digital Marketing Specialist**
Strategized and executed marketing campaigns utilizing digital tools and platforms to drive engagement, enhance brand awareness, and generate leads.

**Event Organizer**
Organized music art festival in Azerbaijan showcasing the region's vibrant and diverse music culture. Contributed to DokuBaku International Documentary Film Festival, promoting and celebrating documentary filmmaking.

**START-UP EXPERIENCE**

Developed versatile skill set while navigating fast-paced start-up environments, gaining deep understanding of start-up challenges and opportunities."
2476,"**Client Success Manager**

Managed 3–4 large enterprise-level accounts simultaneously, overseeing health and growth for US-based clients with dedicated engineering teams of 30–50 people.

**Key Responsibilities & Achievements:**

- Directed multiple accounts across varied engagement models, owning all aspects of client relationships
- Analyzed client business pain points and partnered on roadmap development to advance strategic goals
- Identified and implemented improvement initiatives that drove account expansion and team growth
- Built high-performing engineering teams while establishing processes and strategic direction for clients
- Mentored engineers and solution architects while leveraging their technical expertise
- Led opportunity initiation efforts, drafting proposals and statements of work
- Expanded partnerships with existing clients through strategic account management
- Delivered executive reporting and conducted business reviews
- Performed project scope analysis and proactively managed risks and issues
- Led team management and coaching initiatives to elevate performance
- Removed obstacles to ensure seamless project execution

**Core Competencies:**

- Client Relationship Management & Partnership Development
- Software Development Methodologies & Lifecycle
- Project Scope Analysis & Risk Management
- Executive Communication & Business Reviews
- Team Leadership, Mentoring & Coaching
- Strategic Account Planning & Growth

**Technical Proficiency:**

Salesforce | IBM WebSphere | Magento"
