,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5
98385,"# UI/UX DESIGNER

## EXPERIENCE

**UI/UX Designer** | 2022 - Present

- Design web pages, blog sites, and mobile/web applications for diverse clients, including small businesses and Vinnitsa National Technical University (JetIQ)
- Develop corporate identities, logos, branded materials, social media content, and illustrations
- Build websites end-to-end: wireframes, visual design, and responsive HTML5/CSS3 development using SASS/SCSS
- Write clean, maintainable code adhering to modern development standards
- Apply UI/UX principles and user-centered design methodologies within established brand guidelines to deliver functional, visually compelling digital products
- Collaborate with clients and cross-functional development teams to drive successful project outcomes

## COMMERCIAL EXPERIENCE

**JetIQ** | Vinnitsa National Technical University | 2022 - 2023
- Spearheaded design creation, wireframing, component development, and layout implementation

## SELECTED PROJECTS

**Anitime**
Mobile application for streaming anime content

**Innovexa**
Landing page for a data security services company

## SKILLS

**UI/UX Design:** Figma

**Illustration:** Adobe Illustrator, Adobe Photoshop, Procreate

**Development:** HTML5, CSS3, SASS/SCSS

## EDUCATION

**Junior Front-end Developer** — EPAM University

**UI/UX Designer** — Taras Shipka"
98386,"# Resume

## About Me

Responsible, fast-learning designer seeking a full-time position with a company focused on creating products that enhance everyday life and business. Passionate about improving productivity and crafting user-friendly design solutions, ready to take on challenging tasks.

---

## Projects

**VDOMA – Web Service**
Designed a web service to reunite lost animals with their owners. Led the full design process: competitor analysis, user persona development, prototyping, system design, UI creation, and responsive adaptation.

**Custom Concept Tattoo & Design – Website Redesign**
Modernized a tattoo studio's visual identity and improved user experience through a complete website redesign. Implemented responsive design ensuring consistent functionality across all devices.

**Flower Lover – Landing Page**
Designed a landing page for a bouquet delivery service featuring intuitive navigation and a soft color palette. Conducted competitor analysis and developed a mood board to guide visual direction."
98387,"# UX/UI Designer

## Career Objectives

Seeking UX/UI design roles focused on crafting user-centered digital experiences. Eager to contribute creativity and collaboration within cross-functional teams, with emphasis on rigorous user research, thoughtful ideation, and iterative testing. Passionate about projects that prioritize quality and user satisfaction.

## Professional Experience

**f.Lover — Mobile App for Flower Delivery**
- Designed end-to-end mobile experience for online bouquet and gift ordering
- Created intuitive recommendation system for gifts and flowers
- Developed scheduling functionality enabling orders by date, time, and special occasions

**Indian Cafe — UI Redesign**
- Redesigned mobile application interface to enhance user experience
- Optimized app performance for improved responsiveness
- Developed complementary web service and landing page"
98388,"# UX/UI DESIGNER

## Professional Summary
Versatile designer with proven leadership abilities and experience driving creative direction in team settings. Skilled in both independent and collaborative work, combining technical knowledge with design theory to deliver user-centered solutions.

## Projects

### Pet Scout – Animal Search Web Service
*Team Leader*
- Led UX research including competitor analysis and user flow development
- Designed information architecture applying core design principles
- Produced wireframes, mockups, and prototypes
- Published case study on Behance

### Tattoo Studio Website Redesign
- Redesigned website featuring artist selection, portfolio browsing, and streamlined consultation booking
- Conducted competitor analysis incorporating demographic data including age and gender statistics
- Delivered visually engaging, intuitive design informed by research findings

### Barbershop Landing Page
- Designed landing page showcasing services with integrated appointment booking functionality
- Conducted competitor analysis, developed user personas, and applied research methodologies
- Created fully responsive design across desktop, tablet, and mobile platforms

### Flowers Delivery Mobile App
- Designed intuitive interface for online flower ordering service
- Conducted persona research to identify and address customer needs
- Developed accessible mobile solution for ordering bouquets from any location worldwide

## Career Objectives
Seeking remote opportunities in company or freelance settings. Eager to grow as a designer, with particular interest in mentorship. Committed to creating products that meet customer needs."
98389,"# UI/UX Designer

## Professional Summary

UI/UX Designer specializing in web and mobile applications, transforming concepts into functional, user-centered solutions. Expert at creating visually compelling designs that solve user challenges and optimize workflows. Demonstrated success delivering results in collaborative team environments and through independent project execution.

## Core Competencies

**Design Tools:** Figma, Adobe Illustrator, Adobe Photoshop, ProtoPie

**Expertise:** Low and High-Fidelity Prototyping | Vector Illustration | Component Design | Adaptive/Responsive Design | Logo Creation | Landing Page Design | UI/UX Optimization

## Selected Projects

### Website Redesign — Destin Tattoo Company
*End-to-End Individual Project*

Led complete website redesign from discovery through delivery. Conducted competitor analysis, established typography and color systems, designed original logo, developed wireframes and components, built interactive prototypes, and executed responsive adaptation for tablet and mobile devices.

### Web Service — The Lost Pets
*Collaborative Team Project*

Designed comprehensive user flow for a platform connecting communities with lost, found, and adoptable animals. Owned the experience design for individuals reporting found or rescued animals. Created original brand logo.

### Mobile Application — Suit Store
*End-to-End Individual Project*

Designed e-commerce application prioritizing intuitive product search and streamlined purchasing. Developed user flow optimized for frequent buyers navigating multiple categories. Delivered all work independently from prototyping through final implementation.

## Career Objectives

Seeking a full-time position within a creative, collaborative team environment with opportunities to solve complex design challenges, enhance user interfaces, and pursue continued professional growth."
98390,"# UX/UI Designer

## Professional Experience

**Team Leader | BudgetStay Project**
Led design team in developing a comprehensive accommodation booking platform supporting couch surfing and budget lodging options. Architected primary user flow for dual account types (free and premium) and secondary flows for three distinct host categories. Delivered fully responsive design across desktop, tablet, and mobile with interactive prototype.

**Team Leader | Sensual Temple**
Leading end-to-end development of a responsive landing page for a wellness salon. Creating an engaging online presence optimized to drive client acquisition across all device platforms.

**Team Leader | FoodieFinder**
Spearheading mobile application design for a restaurant discovery and table reservation platform, delivering intuitive search and seamless booking experiences.

---

## Independent Projects

**India Cafe | Website Redesign**
Redesigned website for an Indian restaurant in Pennsylvania, USA. Developed user-centered design featuring new page architecture, photo integration, comprehensive menu display, and table reservation functionality. Delivered responsive design with interactive desktop prototype.

**Citroen 4 | Landing Page Concept**
Designed conversion-focused landing page concept for Citroen 4 in Ukraine, centered on test drive booking functionality.

---

## Skills
UX/UI Design · Responsive Design · Prototyping · User Flow Development · Team Leadership

---

## Career Objective
Seeking to join a collaborative team working on projects that create meaningful connections between service providers and their clients."
98391,"# PROFESSIONAL SUMMARY

Detail-oriented designer with 15 years of computer science teaching experience, specializing in raster and vector graphics, 3D modeling, and programming languages. Proven ability to develop curriculum incorporating industry-standard design software. Skilled in delivering complete design cycles from user research through final delivery. Passionate about learning and applying new technologies. Seeking a collaborative, motivated team to contribute to and grow with.

---

# SKILLS

**Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator, CorelDRAW, ProtoPie, Canva

**Competencies:** Website Redesign, Adaptive Design, Mobile Application Design, Landing Page Design, User Research, Persona Development, User Flow Design, Moodboard Development, Interface Prototyping, Visual Style Development, Curriculum Development

---

# EXPERIENCE

**Computer Science Teacher**
*15 Years*

- Instructed students in raster and vector graphics, 3D modeling, and programming languages
- Developed and implemented curriculum incorporating industry-standard design software
- Cultivated strong communication and instructional skills through years of classroom teaching

---

# PROJECTS

**Veterinary Clinic ""Aibolit"" — Website Redesign**

- Conducted comprehensive problem analysis and user research to identify client needs
- Created interface prototype and cohesive visual style
- Delivered modern, user-friendly design optimized to attract potential customers
- Managed full design cycle from initial research through final delivery

**""Coffee Time"" — Mobile Application Design**

- Led problem analysis and user research initiatives
- Developed interface prototype and visual style
- Designed intuitive scan-and-pay functionality enabling customers to bypass checkout queues
- Executed full design cycle from research through final delivery

---

# EDUCATION

Graphic Design Studies"
98392,"# [Your Name]
[Contact Information]

## Professional Summary
UI/UX Designer specializing in user-centered design solutions for websites and web services. Expertise spans the complete design lifecycle—from UX research and competitor analysis through wireframing to final implementation. Committed to transforming research insights into intuitive, optimized digital experiences.

## Skills
UI/UX Design • UX Research • Competitor Analysis • Wireframing • Information Architecture • Website Redesign • User-Centered Design • Site Architecture

## Projects

### VISIT | Web Service Design
- Designed comprehensive web service enabling users to organize trips throughout Ukraine
- Conducted UX research and competitor analysis to establish evidence-based design direction
- Translated research findings into wireframes and functional specifications
- Analyzed competing platforms to identify pain points and optimize user experience

### Poltavski Galyshki | Website Redesign
- Redesigned website for local café, improving usability and overall user experience
- Restructured site architecture through strategic section organization
- Unified service information, photography, and contact details into cohesive design

### Independent Projects
- Completed 2 self-directed design projects demonstrating initiative and continuous skill development

## Education
**UI/UX Design Program**
Online IT School | 8 Months

Coursework: Landing Page Design • Website Design • Web Service Development • Site Element Design"
98393,"# PROFESSIONAL RESUME

## EDUCATION

**H.S. Skovoroda Kharkiv National Pedagogical University**
Faculty of Art and Graphics — Ad Designer

## PROFESSIONAL EXPERIENCE

**Layout Designer** | 10+ Years

- Designed and developed layouts for books, magazines, and posters
- Created compelling page designs and visual compositions
- Sourced, processed, and produced vector illustrations
- Selected and edited bitmap images for publication
- Compiled collages and integrated visual elements
- Prepared final products for print production

## PROFESSIONAL DEVELOPMENT

**Mobios School** | Sep 2021 — Dec 2021
UX/UI Web Design + Mobile Design

**CURSOR Education** | Feb 2021 — Jul 2021
UI/UX Designer

**Source IT** | Feb 2015 — Apr 2015
HTML Layout

## UX/UI SKILLS

- UX Research
- Customer Journey Mapping
- Information Architecture
- Wireframing
- UI Design
- Web Design
- Mobile App Design

## PROJECT EXPERIENCE

Developed comprehensive UX/UI project encompassing the full design lifecycle:

- Conducted client interviews and competitor analysis
- Performed SWOT analysis
- Created UX Personas and Customer Journey Maps
- Designed information architecture
- Produced wireframes and delivered final design execution"
98394,"# PROFESSIONAL SUMMARY

Award-winning graphic designer with freelance experience in print publication design seeking to transition into UX/UI design. Combines expertise in visual design and illustration with a foundation in UX research, wireframing, and prototyping.

---

# PROFESSIONAL EXPERIENCE

**Freelance Graphic Designer**
*One Year*

- Designed print publications and illustrations for diverse clients
- Created visual assets using Adobe Photoshop and Adobe Illustrator
- Delivered award-winning work in publishing and print design

---

# EDUCATION & CERTIFICATIONS

**Google UX Design Professional Certificate** — Coursera
- Completed training in UX research, wireframing, and prototyping
- Developed comprehensive UX case study

**Introduction to Software Product Management** — University of Alberta

**Fundamentals of Graphic Design** — California Institute of the Arts

---

# AWARDS

**Diploma of the II Degree** — Sixth All-Ukrainian Student Olympiad in Design of Publishing and Printing Production

---

# SKILLS

**Design Tools:** Adobe Photoshop, Adobe Illustrator

**UX/UI:** UX Research, Wireframing, Prototyping

**Visual Design:** Print Publication Design, Illustration"
98395,"# UI/UX DESIGNER

## Professional Summary

Dedicated UI/UX Designer with freelance experience and comprehensive training in design principles, user research methodologies, wireframing, prototyping, and interaction design. Proven ability to manage projects independently, meet deadlines, and deliver design solutions that enhance user experience and drive measurable improvements in conversion rates.

## Professional Experience

**Freelance UI/UX Designer** | 6 Months

- Design custom user interfaces tailored to diverse client needs and business objectives
- Translate client requirements into actionable design strategies through targeted user research
- Develop information architecture and interactive prototypes to validate design concepts
- Execute user experience testing to identify pain points and optimization opportunities
- Refine designs through iterative processes incorporating stakeholder and user feedback
- Partner with development teams to ensure seamless implementation and quality delivery
- Produce distinctive design solutions that elevate user experience and boost client conversion rates

## Skills

User Interface Design | User Experience Design | User Research | Information Architecture | Prototyping | Wireframing | Client Communication | Project Timeline Management | Cross-functional Collaboration | Iterative Design Processes

## Education & Training

**UI/UX Design Courses** — Successfully Completed

- Design principles and interaction design
- User research methodologies
- Wireframing and prototyping
- Individual and collaborative design projects
- Recognized by instructors and peers for attention to detail, creativity, and thoughtful incorporation of user feedback

## Professional Development

Active participant in self-study, webinars, and design communities, maintaining current knowledge of industry trends, tools, and emerging design practices."
98396,"# UI/UX Designer

## About Me

Ukrainian designer delivering originality, creativity, and a distinctive perspective to every project.

## Skills

**Design Tools:** Figma (components, variants, auto layout, constraints), Photoshop, Illustrator, After Effects, Webflow

## Projects

**Multiplex Cinema Network Application Improvement**
Conducted comprehensive UX research for Ukraine's leading cinema network, identifying key usability issues and developing targeted solutions to enhance the user experience.

**Roofing Materials Plant Website Redesign**
Transformed an outdated multi-page website into a modern, conversion-focused landing page featuring streamlined information architecture and improved functionality.

**Board Games Online Store**
Designed and developed an e-commerce platform, integrating AI elements into the design workflow to enhance efficiency and user engagement.

**Tea Studio Landing Page**
Created a visually distinctive website that balances essential studio information with aesthetic and cultural appeal to attract and engage potential clients.

## Professional Development

Eleven months of dedicated UI/UX design training and hands-on practice. Committed to continuous growth and skill advancement in web design."
98397,"# PROFESSIONAL SUMMARY

UI/UX Designer with front-end development knowledge and a background in illustration. Skilled at bridging the gap between design and development, with deep understanding of developer workflows and thinking. Passionate about the intersection of art, design, and front-end development.

# TECHNICAL SKILLS

**Front-End Development**
HTML5 | CSS3 (Responsive & Adaptive Design) | SASS/LESS | Flexbox | Bootstrap | JavaScript | React.js (Component Splitting & Development Preparation) | GIT

**Design Tools**
Figma | Adobe Photoshop | Adobe Illustrator | Adobe InDesign | Procreate

# EXPERIENCE

**Freelance Illustrator & Designer**

- Created commissioned illustrations and portraits for a diverse client base
- Developed 2D characters for training videos within a remote collaboration environment
- Managed end-to-end client relationships, from initial consultation through final project delivery
- Balanced multiple concurrent projects while maintaining consistent daily workflows and meeting all deadlines

# CAREER OBJECTIVE

Seeking to develop expertise in UI/UX design by leveraging combined skills in art, design, and front-end development."
98398,"# Professional Summary

Detail-oriented designer passionate about transforming complex problems into simple, intuitive interfaces. Skilled in executing end-to-end design processes from research through final delivery, with a commitment to usability and thoughtful user experiences.

---

## Skills

**Design**
User Experience Design | User Research | User Flows | Wireframing | Prototyping | Animation | 3D Modeling

**Tools**
Figma

---

## Experience

**Freelance Designer**

- Create clean, intuitive interfaces prioritizing simplicity and usability
- Build interactive prototypes and animations in Figma
- Lead end-to-end design processes encompassing user research, user flows, wireframes, and prototyping

---

## Additional Interests

3D Modeling"
98399,"# Resume

## Professional Experience

**UI/UX Designer Intern**
6-Month Internship
- Completed comprehensive internship program specializing in user interface and user experience design principles and practices

**Translator**
Marriage Agency | April 2023 – August 2023
- Delivered professional translation services to facilitate clear and effective client communications

**Assistant Architect**
June 2022 – August 2022
- Created architectural layouts using computer-aided design software
- Produced detailed technical drawings and project plans for architectural initiatives

**Freelance Artist**
January 2019 – August 2021
- Designed and produced custom paintings, portraits, and logos for a diverse client base
- Managed end-to-end client relationships from initial consultation through final project delivery
- Executed commissioned artwork tailored to individual client specifications and vision"
98400,"# PROFESSIONAL RESUME

## Skills

**Design & Development**
Adobe Photoshop | Figma | Zeplin | Webflow | Web Design & Development

**Creative**
Graphic Design | Photography | Content Creation | Visual Storytelling

## Professional Experience

**Freelance Graphic Designer | Hilding Company**
- Develop brand storytelling and cohesive visual identity systems
- Design custom icons and graphics for Amazon store product listings

**Content Creator & Photographer | Sport Clothing Shop**
- Create visual content and photography for marketing materials

**Photographer | Restaurant**
- Produce professional photography for promotional campaigns

## Volunteer Experience

**BookForum & Children BookForum**
- Support literary events and programming initiatives

**International Exchange Programs**
- Participate in cross-cultural exchange initiatives"
98401,"# Professional Experience

**Freelance, Implants & Surgeons**
Web Designer | UI/UX Designer
2022 – 2023

- Collaborated with IT partners to design and deliver online stores, service platforms, and landing pages
- Established and optimized UX processes to elevate overall user experience
- Conducted comprehensive manual UI/UX testing to ensure design integrity and seamless functionality

**Famart Group**
Web Designer | UI/UX Designer
2021 – 2022

- Designed and developed a full-scale e-commerce platform, driving product sales and customer engagement
- Created visually compelling website designs and advertising banners to maximize audience reach
- Delivered professional photo retouching to enhance visual content quality
- Streamlined UI/UX and client flow, improving conversion rates and user satisfaction"
98402,"# PROFESSIONAL SUMMARY

Project and Product Manager with four years of experience, having simultaneously managed 74 projects across websites and mobile application development. Comprehensive expertise spanning all stages of the development lifecycle. Currently transitioning to UI/UX Design with formal training and professional experience.

---

# EXPERIENCE

**UI/UX Designer | Freelance**
- Design high-converting landing pages for diverse client industries
- Create e-commerce and online store experiences optimized for user engagement
- Develop interactive prototypes to validate design concepts
- Build responsive website layouts on Tilda
- Craft logos and cohesive corporate identity systems
- Produce business cards and advertising banners aligned with brand standards

**UI/UX Designer | Netpeak Group**
- Designed blog and review websites spanning multiple content verticals
- Developed landing pages on Tilda platform
- Created distinctive logo designs

**Project/Product Manager | Netpeak Group**
- Led cross-functional teams delivering 74 mobile applications and websites simultaneously
- Owned end-to-end workflow from technical specifications through prototyping, design, development, testing, and production deployment
- Executed manual product testing to ensure quality standards
- Served as central liaison between project stakeholders, streamlining communication
- Facilitated Agile ceremonies including retrospectives, backlog grooming, and planning poker
- Developed prototypes to align team vision with stakeholder expectations
- Leveraged Google Analytics and AppsFlyer to drive data-informed decisions
- Conducted competitive analysis using App Annie, Alexa, and Sensor Tower

---

# EDUCATION

**Projector School**
- Completed four design courses

---

# LOOKING FOR

Meaningful projects within a mission-driven company focused on professional development and organized management processes."
1747,"# PROFESSIONAL SUMMARY

Results-driven entrepreneur with 8 years of business development experience. Founded and successfully exited a chain of coffee shops. Established an export-oriented manufacturing operation leveraging 3D printing technologies.

---

# SKILLS

**Project & Operations Management**
- Strategic prioritization and goal setting
- End-to-end project planning and execution
- Budget development and oversight
- Team delegation and performance monitoring
- Agile methodologies: Scrum, Kanban, Waterfall

**Technical**
- Game design with proficiency in Unreal Engine 4 and Unity
- Blender: 3D modeling, UV mapping, animation
- Linux node operations

**Leadership & Communication**
- Team management and professional coaching
- Cross-functional stakeholder alignment
- Customer and user needs analysis
- Risk identification and mitigation

**Analytical**
- Critical thinking and data-driven decision-making
- Strategic time management

---

# LANGUAGES

English – Intermediate (B1)"
1784,"# Professional Experience

## 3D Artist
- Crafted visually compelling 3D models and animations, combining creative vision with technical precision to deliver realistic visual content across diverse projects

## Graphic Designer
- Developed strategic design solutions and created visual assets aligned with project objectives and brand requirements

## Videographer & Video Producer
- Captured and edited high-quality video content, producing impactful visual narratives with meticulous attention to detail and storytelling

## Digital Marketing Specialist
- Strategized and executed marketing campaigns utilizing digital tools and platforms to drive engagement, enhance brand awareness, and generate qualified leads

## Event Organizer
- Organized music art festival in Azerbaijan, showcasing regional music culture to diverse audiences
- Contributed to DokuBaku International Documentary Film Festival, supporting the promotion and advancement of documentary filmmaking

## Startup Experience
- Thrived within fast-paced startup environments, cultivating versatile skills, adaptability, and an entrepreneurial mindset

---

**Core Competencies:** 3D Art | Graphic Design | Video Production | Digital Marketing | Event Management | Startup Operations"
2476,"# Client Success Manager

## Professional Profile

Strategic client partner dedicated to driving IT project success and transforming merchant businesses through elevated eCommerce capabilities. Skilled communicator who leads and empowers engineering teams while eliminating obstacles to delivery. Proven track record of building trusted, enduring client partnerships that fuel sustained growth.

## Professional Experience

**Client Success Manager**

Directed the health and growth of large US-based enterprise accounts, managing 3–4 accounts simultaneously with 30–50 dedicated engineering professionals across multiple teams. Developed strategic improvements, built high-performing engineering teams, and established processes and strategies that drove account expansion and team growth. Mentored professionals who advanced to become engineers and solution architects while cultivating a culture of mutual learning and development.

**Key Achievements**

- Drove partnership expansion with existing clients by developing strategic roadmaps aligned with business objectives
- Built, coached, and scaled high-performing engineering teams across multiple engagement models
- Managed full client relationship lifecycle from initiation through sustained expansion
- Led opportunity initiation process, including proposal development and SOW creation
- Delivered executive reporting and strategic business reviews to enterprise stakeholders
- Conducted comprehensive project scope analysis with proactive risk identification and issue resolution
- Mentored emerging talent who advanced to engineer and solution architect roles

## Technical Expertise

- Software development methodologies and lifecycle management
- Platform experience: Salesforce, IBM WebSphere, Magento"
2515,"**PROFESSIONAL SUMMARY**

Experienced professional with a strong background in client relationship management, project coordination, and cross-functional collaboration. Proven ability to build and maintain long-term business partnerships while driving sales and retention outcomes. Seeking to leverage expertise toward a project management career path.

---

**KEY COMPETENCIES**

- Client Relationship Management & Retention
- Project Coordination & Implementation
- Cross-Functional Team Collaboration
- Issue Resolution & Troubleshooting
- Sales Documentation & Contract Administration

---

**PROFESSIONAL EXPERIENCE**

- Cultivated and sustained long-term business relationships with clients, fostering trust and partnership continuity
- Led client onboarding and integration projects with online platforms and services, coordinating timelines and deliverables
- Diagnosed and resolved customer issues efficiently, ensuring satisfaction and retention
- Collaborated with development teams to ensure project alignment, communication, and successful delivery
- Drove sales and retention initiatives to support business growth objectives
- Administered sales documentation including agreements, contracts, and invoices

---

**TECHNICAL PROFICIENCIES**

Zoho | Jira | Confluence | SAP | 1C"
2517,"**PROFESSIONAL EXPERIENCE**

**Project & Client Relationship Manager**

- Directed up to 15 concurrent projects, orchestrating workflow processes, timelines, and deliverables to ensure successful completion
- Analyzed client needs to deliver customized solutions, driving revenue growth through strategic cross-selling and upselling initiatives
- Built and nurtured long-term client relationships, serving as the primary point of contact for key stakeholders
- Delivered regular progress updates to stakeholders while proactively identifying and mitigating potential risks
- Managed the full sales cycle from lead generation to close, encompassing inbound inquiry management and outbound prospecting
- Crafted and presented compelling proposals, negotiated contract terms, and executed client agreements"
2529,"# Professional Summary

Analytical professional committed to building mutually respectful, honest relationships that enable all parties to achieve optimal results. Seeking challenging opportunities that foster growth and development.

# Core Competencies

- Communication
- Teamwork
- Project Management

# Work Experience

Progressive career with consistent focus on communication, teamwork, and project management across multiple positions.

# Career Objective

Seeking opportunities to advance expertise in communication, teamwork, and project management.

---

Available for contact at your convenience."
2538,"**PROFESSIONAL SUMMARY**

Results-oriented recent graduate with over two years of experience working with Amazon and Asian partners. Expert in market research, supplier negotiation, cost-saving strategy development, and supply chain operations. Demonstrates critical thinking and composure in high-pressure situations.

---

**EXPERIENCE**

**Key Accomplishments**

- Led eBay market expansion project from initiation through successful completion
- Optimized supply chain operations, delivering cost savings through strategic logistics improvements
- Negotiated with Asian suppliers to achieve measurable product quality improvements
- Managed US re-import process, eliminating duplicate tax payments and reducing operational costs

**Project Experience**

- Directed strategic initiatives including marketplace expansion into new countries, product quality improvement programs, and supply chain planning
- Prepared legal documentation to maintain platform selling privileges and ensure regulatory compliance
- Coordinated organizational registration with EU regulatory bodies
- Executed cross-functional projects requiring rapid acquisition of new knowledge and skills

---

**SKILLS**

Market Research & Analysis | Supplier Negotiation | Cost-Saving Strategy Development | Supply Chain Management | Amazon Marketplace Operations | International Partner Relations | Strategic Project Management"
2551,"# RESUME

## PROFESSIONAL SUMMARY

Results-driven professional with 3+ years of in-house legal experience at an IT Product Company, combining comprehensive SDLC knowledge with deep expertise in Data Privacy, Intellectual Property, Commercial Law, and Contract Law. Proven ability to manage cross-functional relationships, support international clients, and drive legal compliance across diverse business operations. Currently transitioning to Account Management, leveraging strong organizational capabilities, attention to detail, and experience collaborating with global stakeholders.

---

## EXPERIENCE

### Legal Counsel | Benish Group

- Delivered actionable legal recommendations to internal stakeholders, analyzing and minimizing organizational risks while shaping corporate policy
- Drove cross-functional risk-reduction initiatives in collaboration with developers, analysts, marketing managers, and executive leadership
- Built and managed relationships with customers, business partners, and service providers across multiple international jurisdictions
- Authored and maintained Rules for Provision of Services, Privacy Policies, and Terms of Use ensuring full GDPR compliance
- Partnered with product teams to enhance development processes and optimize business operations across the group of companies
- Championed legal compliance across personal data protection, intellectual property, PR/marketing, sales, payments, and consumer rights
- Led contractual activities encompassing legal review and drafting aligned with local legislation and internal standards

### Project Manager Assistant | Vayosoft Team

- Directed contract management, RFPs, and RFIs throughout the complete procurement lifecycle
- Executed procurement activities including supplier negotiations and contractor evaluations in accordance with company procedures
- Orchestrated team meetings, tracked follow-ups and action items, and delivered reports and presentations to senior leadership
- Contributed to new project development spanning inception through MVP delivery to ongoing application enhancements"
2553,"**PROFESSIONAL SUMMARY**

Results-driven professional with comprehensive experience in business development and project management for outstaff projects. Combines deep IT industry knowledge with proven expertise in people management and full-cycle project delivery. Skilled in building and maintaining B2B relationships with international customers while driving collaborative team environments.

**PROFESSIONAL EXPERIENCE**

**Business Development Manager / Project Manager**

- Directed full-cycle project delivery from initial client contact through project closure, including negotiation, conflict resolution, and ongoing account management
- Led people management initiatives encompassing one-on-one meetings, performance reviews, and sprint process monitoring
- Managed end-to-end recruitment for technical and non-technical positions, from candidate interviews through onboarding
- Identified and secured outstaff project opportunities while preparing comprehensive agreement documentation
- Built and maintained strategic relationships with partner companies and international customers
- Delivered company presentations and prepared estimation documents
- Cultivated a collaborative, positive work environment through effective leadership and team motivation

**CAREER OBJECTIVE**

Seeking a project management position within an outsource company to further develop B2B expertise and collaborate with international customers."
2554,"**PROFESSIONAL SUMMARY**

Results-driven professional with 4 years of B2B international communication and sales experience. Master's degree in Foreign Economics combined with training in Business Analytics and Web & Mobile UI/UX Design. Strong communicator with proven team-building, public speaking, and problem-solving capabilities.

---

**SKILLS**

B2B Account Management & International Sales | Team Leadership & Collaboration | Cross-Cultural Communication | Oral & Written Presentation | Business Analysis | Web & Mobile UI/UX Design & Prototyping | Agile Methodologies (SDLC)

---

**TOOLS**

CRM | Figma | Axure RP | Adobe Photoshop | Canva | Trello | Slack | Google Docs | Coggle

---

**EDUCATION & CERTIFICATIONS**

Master's Degree, Foreign Economics

Certificate, Business Analytics

Certificate, Web & Mobile UI/UX Design

---

**CAREER OBJECTIVE**

Seeking an Account Manager or Junior Project Manager position in the development/design field. Eager to contribute to a collaborative team environment while applying expertise in business solutions, UI/UX design, prototyping, and cross-cultural communication."
2555,"# PROFESSIONAL RESUME

## PROFESSIONAL EXPERIENCE

**Project Manager | EdTech Industry**
*1 Year*

- Directed cross-functional operations spanning lead generation, outbound sales, and customer support
- Spearheaded market expansion initiatives across Western Europe and the United States, serving secondary and higher education institutions

**Support Team Lead | EdTech Industry**
*5 Years*

- Advanced from Customer Support/Account Manager to team leadership through demonstrated performance excellence
- Led customer support and account management operations across Western European and US markets
- Cultivated and sustained strategic client relationships within international education sectors

**Sales Assistant | Chemical Raw Materials Distribution**
*5 Years*

- Supported international sales operations in chemical raw materials distribution
- Developed expertise in global organizational structures and cross-border commercial processes

---

## TECHNICAL SKILLS

**CRM & Business Systems:** IBS, SAP, Zoho, Kommo CRM

**Project Management & Collaboration:** Confluence, Jira

**Design Tools:** Canva

**Programming:** Java programming concepts

---

## CAREER OBJECTIVES

Seeking a stable position with long-term growth potential where I can contribute to a collaborative, results-driven work environment."
2556,"**PROFESSIONAL EXPERIENCE**

**Account Manager**

- Managed client relationships through email correspondence, cold and warm calling, and product demonstrations
- Conducted application testing and created company profiles to ensure optimal platform performance
- Resolved client inquiries and provided ongoing support to maximize product adoption and utilization
- Developed website content including blog posts and tutorials
- Portfolio available upon request

**Sales Support Agent**

- Conducted comprehensive market research and analysis for Ukrainian and Russian markets
- Supported company expansion into Eastern European markets
- Engaged with business owners and representatives to drive B2B sales initiatives
- Maintained accurate reporting and documentation

**Customer Support Agent**

- Resolved thousands of customer service issues for clients across the USA, Canada, and Great Britain
- Delivered support through telephone and email channels, ensuring customer satisfaction
- Managed customer profiles, subscriptions, and refunds
- Administered CRM system and performed quality assurance by analyzing outsourced call center performance
- Conducted follow-up calls to verify customer satisfaction and corrected system errors
- Maintained comprehensive reporting and documentation"
