,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5
3153,"# Professional Summary

Results-driven Agile Project Management professional with over 11 years of IT industry experience and 7+ years leading dynamically growing teams. Proven expertise in Scrum and Kanban methodologies with a strong commitment to continuous professional development through ongoing training initiatives as both participant and facilitator. Passionate about fostering team growth within challenging, collaborative environments.

# Core Competencies

**Agile & Delivery**
- Agile Project Management
- Scrum & Kanban Methodologies
- Applications Deployment

**Leadership & Team Development**
- Team Building & Motivation
- Conflict Resolution
- Change Management

**Strategic & Operational**
- Risk Management
- JIRA

# Professional Attributes

- Cultivates talent and champions professional development across teams
- Thrives in dynamic, fast-paced environments requiring adaptive leadership
- Committed to continuous improvement and lifelong learning"
3155,"# PROFESSIONAL RESUME

## Professional Experience

**Agile Transformation Leader**
- Spearheaded enterprise-wide Agile transformation initiative, driving organizational change across 50+ team members

**Scrum Master**
- Facilitated Scrum ceremonies and practices across 5 concurrent teams, ensuring alignment and continuous improvement
- Orchestrated multiple parallel workstreams to optimize value delivery and cross-team collaboration

**Project Manager**
- Delivered projects leveraging PMBOK framework and industry-standard methodologies
- Applied best practices in project planning, execution, and stakeholder management

## Core Competencies

- Agile Transformation & Coaching
- Scrum Facilitation & Ceremony Leadership
- Multi-Team Coordination & Alignment
- PMBOK Project Management
- Organizational Change Leadership
- Cross-Functional Collaboration"
3156,"**Scrum Master**

**Team Facilitation**
- Partnered with 3 cross-functional teams to drive efficiency improvements and strengthen self-management capabilities
- Reduced inter-team dependencies, streamlining areas of responsibility and accelerating delivery
- Championed sprint-focused delivery, ensuring teams consistently produced completed increments
- Enhanced Definition of Ready criteria to improve backlog quality and sprint predictability
- Proactively identified and removed impediments blocking team goals
- Facilitated all Scrum events, delivering productive, timeboxed, and positive outcomes

**Product Owner Collaboration**
- Supported 3 Product Owners in defining clear, actionable product and sprint goals
- Partnered on Product Backlog management, refinement, and prioritization
- Guided sprint planning preparation and execution to maximize team alignment
- Facilitated stakeholder communication, strengthening engagement and transparency

**Organizational Service**
- Championed agile software development principles, promoting organization-wide understanding and adoption
- Implemented and adapted best practices to elevate team performance across the organization
- Optimized and configured tools to support scalable agile workflows
- Designed, implemented, and maintained organizational processes that enhanced operational efficiency
- Cultivated productive relationships across teams and departments to foster collaboration
- Contributed to recruitment efforts, supporting organizational growth
- Removed cross-departmental obstacles, enabling seamless collaboration and delivery"
3157,"# Gulnar Abasova

---

## Education

**Master's in International Project Management**
Vilnius University | Currently Enrolled
Lithuanian State Scholarship Recipient

---

## Professional Experience

**Scrum Master | Fintech**

Drove Agile delivery for cross-functional development teams building internal sales systems and online banking applications.

- Facilitated end-to-end Scrum ceremonies: sprint planning, daily standups, sprint reviews, and retrospectives
- Coordinated communication between product owners, developers, and QA testers to maintain alignment and momentum
- Led backlog grooming sessions with product owners to ensure prioritization and clarity
- Monitored project schedules and supported teams in meeting delivery commitments
- Championed process improvements that doubled team delivery speed
- Ensured consistent adherence to Agile/Scrum principles across remote and in-office environments

---

## Skills

**Agile & Project Management:** Scrum facilitation, sprint planning, backlog refinement, cross-functional team coordination, process optimization

**Product Development:** Idea generation, UX research, wireframing, QA coordination, debugging oversight

**Tools:** Jira, Notion, Microsoft Project

---

## Professional Interests

Agile management | Startup environments | Development team collaboration

---

## Contact

Gulnar Abasova"
3158,"**PROFESSIONAL SUMMARY**

Certified SAFe® Advanced Scrum Master with 5+ years of hands-on experience managing distributed teams of up to 40 FTE, including 3 years in a dedicated Scrum Master role. Proven expertise in Agile coaching, high-performance team development, and strategic client relationship management across complex organizational environments.

---

**CORE COMPETENCIES**

**Agile Leadership & Facilitation**
- Scrum Ceremony Facilitation
- Agile Team Coaching
- Self-Organization & Cross-Functionality Development
- High-Performance Team Culture

**Project & Risk Management**
- Project Management Best Practices
- Risk Management & Reporting
- Impediment Removal
- Metrics Collection & Analysis

**Stakeholder & Organizational Excellence**
- Client Relationship Management
- Organizational Communication Processes
- Problem-Solving & Analytical Research
- People Management, Resourcing & Recruitment

---

**CERTIFICATIONS**

- Certified SAFe® 5 Advanced Scrum Master
- Certified SAFe® 5 Scrum Master
- Certified AgilityHealth® Facilitator for SAFe®"
3159,"# AGILE PROJECT MANAGER & SCRUM MASTER

## Professional Summary

Results-driven Agile Project Manager and Scrum Master with proven success leading diverse teams across projects of varying scope and complexity. Expert at aligning team efforts with business objectives while ensuring timely delivery of project milestones and desired outcomes. Skilled at selecting and implementing optimal processes and tools tailored to individual project needs, with the flexibility to adapt methodologies based on project specifics and client goals.

## Core Competencies

- Agile & Scrum Methodologies
- Team Leadership & Development
- Project Milestone Tracking
- Process Definition & Optimization
- Stakeholder Communication
- Requirements Management
- Cross-Functional Team Collaboration
- Adaptive Project Management"
3160,"# PROFESSIONAL SUMMARY

Results-driven IT Management professional with 12+ years in Information Technology and 11+ years of specialized management experience. Proven expertise across all project lifecycle phases: initiation, planning, implementation, monitoring, control, maintenance, and closure. Demonstrated success leading teams of 30+ engineers across multiple teams, with a track record of building engineering teams from scratch and delivering successful projects in both outsource and product development environments.

# CERTIFICATIONS

CSM | CSPO | ICP-APM

# CORE COMPETENCIES

- Agile Methodologies: Scrum, XP, Kanban (4+ years)
- Waterfall SDLC
- Scrum Master & Product Owner Execution
- Team Leadership & Mentorship
- Cross-functional Team Management
- Agile Community Development & Evangelism
- Project Management Tools

# KEY STRENGTHS

- Proven leadership and mentorship capabilities with strong interpersonal skills
- Experienced in building and maintaining Agile communities and evangelizing Agile values
- Skilled in delivering results across outsource and product development environments
- Proficient in Agile and Waterfall methodologies, practices, and frameworks

# PROFESSIONAL FOCUS

Seeking engaging projects requiring professional management expertise and collaborative team leadership."
3161,"# FULL-SCALE PROJECT MANAGER

## Professional Summary

Proactive project manager with 10+ years of experience in international product and IT outsourcing companies. Expert in managing the complete project lifecycle—from product ideation and pre-sale through successful product launch. Demonstrated ability to build relationships across diverse business areas, rapidly master new domains, and lead high-performing distributed teams. Committed to delivering client value while fostering team growth and well-being.

## Key Qualifications

- Led distributed teams of up to 50 professionals across multiple locations
- Managed 5+ concurrent projects while maintaining quality and timelines
- Successfully delivered over 20 projects of varying scope and complexity
- Released 5+ products in the past year, including platforms, marketplaces, mobile applications, and websites

## Core Competencies

- Full Project Lifecycle Management
- Pre-Sale & Product Ideation
- Distributed Team Leadership
- Stakeholder Relationship Building
- Client-Focused Delivery
- Team Development & Mentorship"
3162,"# Senior Scrum Master | Agile Coach | Project/Delivery Manager

## Professional Summary

Senior Scrum Master and Agile Coach with extensive experience leading up to 5 teams (35 FTE) across CRM, logistics, sales, finance, and marketing domains. Demonstrated expertise in portfolio-level management, risk mitigation, and release planning. Adept at bridging Agile methodologies with traditional project management approaches (time and material, fixed price). Effective collaborator with Product Owners and stakeholders, dedicated to continuous process improvement and delivering measurable results.

## Core Competencies

Scrum Mastery & Agile Coaching | Portfolio & Risk Management | Release & Delivery Planning
Stakeholder Management | Team Coaching & Development | Process Optimization

## Professional Experience

**Senior Scrum Master**
- Facilitated Agile practices for up to 5 internal teams comprising 35 FTE across diverse business domains
- Directed portfolio-level planning, risk management, and cross-team release coordination
- Delivered administrative and technical support ensuring seamless project delivery

**Agile Coach | LeSS Huge Implementation**
- Coached 6 teams within a single product area through LeSS Huge framework adoption
- Orchestrated end-to-end workflow design and facilitated all multi-team ceremonies
- Mentored Product Owners while guiding teams toward Agile maturity

**Project/Delivery Manager**
- Delivered full-cycle ERP implementations spanning CRM, sales, logistics, and finance at Carlsberg Ukraine
- Implemented UPS logistics solution serving 60 distributors and supporting 3,000+ users
- Contributed to Ukrtelekom automation projects encompassing record-keeping, finances, and management systems
- Authored technical specifications and software maintenance documentation
- Executed system configuration, alpha-testing, user training, and stakeholder presentations
- Managed tendering processes and led business negotiations with customers and developers

## Technical Skills

SQL | HTML | CSS | JavaScript | React | .NET Core | GitHub | Jira | TFS

## Languages

English (Professional)"
3186,"**PROFESSIONAL EXPERIENCE**

**Project Management & Operations**
- Managed up to 30 concurrent projects while maintaining high standards of quality and efficiency
- Orchestrated large-scale data operations projects, ensuring seamless collaboration between customers and data labeling teams
- Developed comprehensive statements of work and maintained stakeholder alignment on project deliverables

**Customer Success & Relationship Management**
- Partnered with customers to develop and implement production-grade data labeling pipelines, optimizing annotation workflows for efficiency and accuracy
- Tracked key metrics, resolved customer concerns promptly, and delivered superior results
- Led regular calls with customers and service providers, building strong relationships and effective communication channels

**Financial Management**
- Developed customer budgets and cost estimates for service providers, ensuring financial transparency and cost-efficiency

**Team Leadership & Quality Assurance**
- Supervised the Data Labeling Quality Assurance team, upholding stringent quality standards and driving continuous improvement
- Evaluated and optimized data labeling workforce performance, providing guidance to maximize productivity
- Built a collaborative and inclusive work environment, fostering cross-functional cooperation

**Strategic Initiatives**
- Cultivated strong partnerships with service providers, driving successful project delivery
- Monitored industry trends and emerging technologies, delivering recommendations for product enhancements and process optimizations"
3225,"# PROFESSIONAL RESUME

## SUMMARY

Results-driven marketing and e-commerce professional with extensive expertise in Amazon marketplace management and strategic reputation building. Proven track record managing 10+ cases across diverse niches, with 6 built entirely from the ground up. Creator of a proprietary reputation management process that delivers measurable results.

---

## PROFESSIONAL EXPERIENCE

### AMAZON MARKETING MANAGER
**DigiOrange** — Brooklyn, NY, USA
*January 2022 – Present*

---

### MARKETING PROJECT MANAGER
**TBI-Pro** — Chicago, IL, USA
*September 2021 – January 2022*

---

### MARKETPLACES PROJECT MANAGER
**FDS-IT** — Staten Island, NY, USA
*December 2018 – September 2021*

---

### AMAZON MANAGER
**Shopping Cart Elite** — Brooklyn, NY, USA
*2015 – 2018*

---

## KEY QUALIFICATIONS

- Managed 10+ cases across diverse product niches
- Built 6 cases from the ground up, demonstrating end-to-end project ownership
- Developed proprietary reputation management process"
3315,"**PROFESSIONAL SKILLS**

**Business Analysis**
- Plan and execute comprehensive Business Analysis activities across project lifecycles
- Define business needs and establish solution scope aligned with organizational objectives
- Conduct stakeholder analysis and lead elicitation activities to gather critical insights
- Collect, analyze, and document business, functional, and non-functional requirements
- Manage solution scope while effectively communicating requirements to diverse audiences
- Perform solution assessment and validation to ensure alignment with business goals
- Facilitate knowledge transfer to stakeholders ensuring successful adoption

**Documentation & Methodologies**
- Develop use cases and user stories to drive solution development
- Apply BPMN (Business Process Model and Notation) for process documentation
- Work within Agile and Scrum frameworks

**Project Management**
- Deliver end-to-end project management from initiation through completion

**Technical Skills**
- Microsoft Excel
- Visual Basic (VB)

**CAREER OBJECTIVES**

Seeking opportunities for professional growth through challenging projects within a collaborative team environment."
3321,"**CAREER OBJECTIVE**

Analyst seeking to expand data processing capabilities using SQL and Tableau, with focus on conducting surveys and testing business hypotheses to drive data-informed decision-making.

---

**PROFESSIONAL EXPERIENCE**

**Research Manager**
**Silpo-Food LLC (Fozzy Group)**

- Designed and delivered end-to-end qualitative and quantitative marketing research projects
- Consulted with internal stakeholders on research design and methodology selection
- Programmed questionnaires and executed data processing and analysis
- Conducted ad-hoc and longitudinal studies aligned with business objectives
- Presented research findings and reporting materials to stakeholders
- Supervised field supervisors and operators to ensure data collection quality
- Synthesized primary and secondary marketing information to inform business decisions

**Commodity Market Research Analyst-Specialist**
**Kyivstar Private Joint Stock Company**

- Led marketing research projects with full budget management responsibility
- Negotiated project requirements and consulted with customers on research needs
- Coordinated contractor relationships to execute research initiatives
- Managed databases and developed queries to extract targeted data parameters
- Analyzed telecom market trends and delivered actionable primary and secondary insights
- Maintained document management systems"
3332,"**PROFESSIONAL EXPERIENCE**

**Software Implementation Specialist**

Led end-to-end implementation of Customer Relationship Management system and desktop application

**Project Management & Strategy**
- Defined strategic direction of development initiatives and established project goals and deadlines
- Conducted market analysis to inform product development decisions
- Managed stakeholder communication throughout project lifecycle

**Product Development**
- Created system prototypes to validate requirements
- Coordinated User Acceptance Testing to ensure quality standards
- Executed full system implementation

**Technical Proficiencies**

MS Project | Trello | Atlassian | Office 365 | Prototyping Tools"
5877,"# PROFESSIONAL RESUME

## Architecture & Databases
- Designed and implemented 50TB data storage solutions using Hadoop
- Developed serverless architecture achieving near-zero idle costs
- Established Infrastructure as Code on Kubernetes with streamlined delivery processes requiring minimal DevOps involvement

## Product & Project Management
- Led cross-platform Messenger project from inception to full-feature release on Apple App Store and Google Play within 6 months
- Recognized for implementing cost savings measures within the SDLC process

## Human Resources
- Recruited 50+ developers within 4 months while maintaining under 5% turnover rate

## Projects

**Confidential Project** | 2019
Architect/DevOps — Infrastructure as Code on AWS utilizing Terraform, Kubernetes, Helm, and CI/CD pipelines

**Ternary Intelligence** | ternaryintelligence.com | 2018
Architect/Project Manager — Serverless AWS cloud architecture in fintech

**One Space** | spywords.ru | 2018
Architect/Data Science — Hadoop infrastructure, web scraping, and data engineering

**Defcom** | defcom.com | 2016
Project Manager/Architect — Secure mobile messaging application development

## Objective
Seeking opportunities to contribute to live, active projects."
5981,"# Product Manager

## Experience

**Product Manager | HeyJoy Toy Store**
US-based retail-tech startup

- Spearheaded end-to-end product development for consumer mobile application
- Delivered first MVP and successfully validated value hypothesis

**Project Manager | Snap Inc.**
Sponsored AR Department

- Managed complex AR project development for major enterprise clients including Disney, Nike, Microsoft, Universal, and Verizon
- Drove internal AR innovations within the Sponsored AR department
- Balanced client expectations with team capabilities while evaluating risks and adapting development strategy
- Streamlined processes across cross-functional teams

## Skills

- End-to-end product development, from ideation through MVP to launch
- Client and production team negotiations
- Risk assessment and strategic planning
- Cross-functional team collaboration"
6043,"# PROFESSIONAL RESUME

## Summary

Project management professional with 5 years of team management experience. Expert in full project lifecycle management including documentation, risk assessment, scope definition, scheduling, resource allocation, and quality assurance. Proficient in Agile methodologies (Scrum, Kanban) with demonstrated ability to define team values, establish communication protocols, resolve conflicts, and balance competing stakeholder interests.

## Education & Certifications

- IT Project Manager Course, Beetroot Academy
- IT Project Manager Course, SoftServe Academy

## Professional Experience

### Project Manager | SoftServe
**October 2021 - Present**

---

### Service Manager | Veteran Hub Dnipro
**September 2020 - October 2020**

- Led cross-functional team of 6 professionals delivering psychological, legal, and career services
- Directed end-to-end hiring and onboarding initiatives
- Designed and implemented operational processes and reporting frameworks
- Maintained organizational standards compliance across all operational activities
- Mediated and resolved team conflicts to ensure productive working relationships

---

### Junior 3D Artist | Freelance (Remote)
**December 2019 - September 2020**

- Created low and high-poly models with UV unwrapping, texturing, and baking
- Designed and executed level design projects

---

### Hotel Manager | Mykulychyn
**November 2018 - November 2019**

- Directed comprehensive hotel operations including reservations and online booking platform management
- Supervised personnel performance and task execution
- Managed guest relations, payment processing, and property decisions
- **Achievement:** Elevated Booking.com rating from 8.7 to 9.0

---

### Artillery Battery Control Platoon Commander | 4th Rapid Reaction Brigade, National Guard of Ukraine, Gostomel
**November 2016 - November 2018**

- Commanded team of 10 personnel with diverse experience levels and motivations
- Built and sustained team morale and unit cohesion
- Performed precise mathematical calculations and geometric drawings under time-critical conditions
- Maintained accountability for high-precision equipment valued up to €20,000 per unit
- Synthesized logistics routes and observation data from multiple intelligence sources

---

### Hotel Manager | Remote
**April 2015 - November 2016**"
6078,"# RESUME

## PROFESSIONAL EXPERIENCE

**Project Manager | Game Development Industry**

Partnering with leading game development studios worldwide to deliver acclaimed, high-profile titles.

**Project Lifecycle Management**
- Drive end-to-end project execution from kick-off through delivery, including post-project retrospectives
- Develop accurate scope estimations based on client briefs and reference materials
- Forecast project efficiency, optimize resource allocation, and proactively mitigate risks
- Sustain project performance in alignment with baseline planning targets
- Manage project and batch closure processes, ensuring Jira accuracy and timely final invoicing

**Stakeholder Communication & Coordination**
- Serve as primary point of contact for external partner communications via email and calls
- Lead daily stand-ups and team meetings to ensure alignment and momentum
- Coordinate change request workflows: consolidate requirements, prepare documentation, and facilitate cross-departmental collaboration

**Team Leadership**
- Develop and delegate tasks to artist teams, ensuring clarity and accountability
- Foster seamless communication and efficient workflows across all project phases

**Cross-Functional Collaboration**
- Liaise with Legal and Finance departments to support project operations
- Monitor legal documentation, agreements, and compliance requirements
- Oversee invoice processing and payment tracking to ensure financial accuracy

---

## DESIRED POSITION

- Game Development industry
- Product-focused company
- Collaborative, positive team culture"
6081,"**PROFESSIONAL ACHIEVEMENTS**

**Leadership & Team Development**
- Built and managed a high-performing team of 7 artists, establishing robust debugging processes from the ground up
- Designed and implemented a comprehensive employee assessment system for the Art Department
- Retained at-risk employees through strategic performance review initiatives
- Developed foundational documentation adopted company-wide, including workflow guides, team frameworks, department structure outlines, and performance review templates

**Creative Projects**
- ECO-school, Moscow — Illustration Design
- Space Museum, Moscow — Illustration Design
- Gorynych Restaurant — Illustration Design
- ISBC — Illustration Design

**Operations & Sales**
- Streamlined company service operations through targeted process improvement initiatives
- Authored training materials and work instructions for key account department, accelerating new employee onboarding
- Resolved complex client disputes while preserving long-term relationships
- Consistently met and exceeded sales targets

**Event Management**
- Pioneered the company's first ecological quest event format
- Doubled deal value with existing client compared to previous engagements
- Recognized by management for exceptional event execution and client support

---

**PROFESSIONAL EXPERIENCE**

**Art Team Manager** | 2021–Present
- Lead and develop a team of 7 artists, overseeing task specification, quality control, and performance evaluation
- Architect and document team processes, workflows, and reporting systems
- Generate creative concepts and develop technical specifications
- Conduct market research and competitive benchmarking
- Partner with Art Lead on task prioritization, requirements, and deadline management
- Monitor team motivation, deliver constructive feedback, and drive continuous improvement

**Illustrator & Designer** | 2018–2021
- Created illustrations for magazines, presentations, and social media campaigns
- Designed logos, icons, vector characters, and animated assets
- Developed promotional materials including posters, prints, and custom Telegram stickers

**Internal & External Communications Manager** | 2016–2018
- Developed operational instructions, regulations, and employee motivational frameworks
- Managed partner relationships, contract negotiations, and compliance monitoring
- Oversaw marketplace operations on Wildberries and Ozon, including shipment coordination
- Proficient in 1C, Bitrix, Wildberries platform, and Diadoc

**Event Manager** | 2015–2016
- Coordinated cross-departmental collaboration throughout full event lifecycle
- Managed complete client journey from initial contact through event completion
- Prepared proposals, presentations, and budget estimates"
6082,"# ART PRODUCTION MANAGER

## Professional Experience

### Task & Project Management
- Lead 2D/3D art production encompassing workload planning, assignment creation, process coordination, and priority management
- Manage client communications and facilitate team retrospectives
- Direct teams of up to 30 artists and creative professionals

### People Management
- Mentor and onboard artists and project managers
- Conduct regular 1:1 meetings, performance reviews, and skills assessments
- Facilitate conflict resolution within creative teams

### Art Direction
- Ensure quality standards and style consistency across projects

### Process Improvement
- Develop and maintain knowledge bases, art guides, and internal documentation
- Analyze and optimize production workflows

## Methodologies

Scrum | Kanban | GameDev Production Pipelines

## Strengths

- Quick to adapt and acquire new skills
- Committed to continuous professional development

## Career Interests

- Game development industry preferred
- Product companies or long-term project engagements
- Expanding expertise in 3D, VFX, VR, and video/game production"
6090,"**PROFESSIONAL SUMMARY**

Motivated professional with hands-on business operations experience and formal project management education. Skilled in client acquisition, order processing, and documentation management. Proficient in Agile and Waterfall methodologies with strong team collaboration abilities.

---

**OBJECTIVE**

Seeking a Project Manager Assistant position to apply my project management knowledge and skills within a collaborative team environment, while continuing to develop professionally and contribute value as a specialist in this field.

---

**EDUCATION**

**Master's Degree in Project Management** (In Progress)
Kharkov National University of Economics

**Bachelor's Degree in Economics of Enterprise**
Kharkov National University of Economics

---

**WORK EXPERIENCE**

**Assistant Manager**
Electrical Goods Company

- Attracted and acquired new clients, contributing to business growth
- Received and processed customer orders, ensuring accuracy and timely fulfillment
- Prepared and issued invoices for customer payment
- Maintained accurate records supporting operational efficiency
- Managed goods handling and inventory control

---

**SKILLS**

- Project Management Methodologies: Agile (Scrum, Kanban), Waterfall
- Documentation: Proposals, Terms of Reference, Project Plans, Risk Assessments, Work Breakdown Structures
- Team Collaboration & Rapid Learning Ability
- Client Relations & Order Processing
- Records Management & Inventory Control

---

**PROFESSIONAL DEVELOPMENT**

Project Manager Course | Source IT | 2017
English Language Course | Green Forest | 2016
English Language Course | Language Center | 2015"
6127,"# MOBILE PRODUCT MANAGER

**Core Expertise:** ASO | ASA | Incentive Traffic

---

## PROFESSIONAL SUMMARY

Mobile Product Manager with 2 years of experience leading mobile product initiatives and optimizing app store performance. Develops and executes comprehensive strategies that align with business goals, user needs, and market trends.

---

## AREAS OF EXPERTISE

**App Store Optimization (ASO)**
Keyword research, metadata optimization, A/B testing, and conversion rate optimization to drive organic downloads and improve app store rankings

**Apple Search Ads (ASA)**
Strategic campaign management and performance optimization

**Incentive Traffic**
User acquisition strategy and implementation

**Analytics & Insights**
Mobile app analytics and data-driven decision-making to identify trends, uncover insights, and optimize performance

**Project Management**
Agile methodologies and project management tools to ensure efficient development cycles and timely releases

---

## KEY STRENGTHS

- Aligns ASO initiatives with overarching business objectives
- Collaborates cross-functionally with designers, developers, marketers, and data analysts
- Communicates effectively across all organizational levels
- Takes a data-informed approach to product optimization"
6211,"# RESUME

---

## EDUCATION

**Master of Economy and Management** | 2020

**Bachelor of Management** | 2017

---

## CERTIFICATIONS & PROFESSIONAL DEVELOPMENT

**Project Management Specialization** | University of Colorado Boulder | 2023
- Project Management: Foundations and Initiation
- Project Planning and Execution
- Agile Project Management

**Scrum Master Certification** | LearnQuest | 2023
- Introduction to Scrum Master Training
- Scrum Master Certification: Scrum Methodologies
- Scrum Master Certification: Scaling Agile and the Team-of-Teams
- Combining Scrum with Other Agile Methodologies

**Information Systems Specialization** | University of Minnesota, Carlson School of Management | 2023
- Enterprise Systems
- IT Infrastructure and Emerging Trends
- Analysis for Business Systems

**Certificate in Marketing and Communications** | International Business Management Institute, Berlin | 2021

**Certificate in Leadership and Team Development** | International Business Management Institute, Berlin | 2020

---

## PROFESSIONAL EXPERIENCE

**Assistant IT Project Manager** | Current

- Drive business process optimization and automation initiatives to enhance operational efficiency
- Translate complex business requirements into actionable IT solutions
- Lead end-to-end implementation of solutions within proprietary ERP system
- Collaborate with cross-functional departments to define project requirements and priorities using agile methodologies
- Partner with development teams to ensure seamless solution deployment and user adoption
- Define and prioritize user stories based on customer requirements for development sprints
- Identify opportunities to streamline operations and maximize productivity

**Data Analyst** | 2+ Years

- Managed comprehensive macroeconomic and financial datasets across multiple countries for public and private sector clients, ensuring accuracy and quality within tight deadlines
- Maintained data integrity through proactive source communication, pattern identification, and client query resolution
- Coordinated internal and external client interactions via CRM system while executing quality improvement projects
- Utilized project management systems to troubleshoot and resolve issue tickets with effective solutions
- Led quality and technology projects, proactively identifying process enhancement opportunities
- Collaborated with IT teams to ensure seamless availability and accessibility of essential data sources"
6213,"# [Name]
**Project Manager | Legal Professional**

---

## Professional Experience

**Project Manager | E-Commerce Venture – Developmental Children's Toys**
*Present*

Leading a cross-functional team of four specialists (Power Query Developer, Designer, Sales Manager, Supply Manager) in launching and scaling an online retail operation.

- Directing team coordination and workflow optimization
- Implementing project tracking and task management systems in Notion
- Monitoring execution against roadmap milestones
- Developing and maintaining project documentation, SOPs, and operational guidelines
- Overseeing legal compliance and regulatory matters

**Project Management Intern | We Challenge & UNIT.City**
*Kyiv, Ukraine | February 2023 – March 2023*

Contributed to IT events organization initiative within Ukraine's largest innovation hub.

- Facilitated and guided intern team activities
- Developed comprehensive project artifacts: Impact Map, WBS, Timeline, Resource Plan
- Created Risk Register, Stakeholder Register, Stakeholder Map, Stakeholder Matrix, and RACI Matrix
- Designed and executed Stakeholder Communication Plan
- Managed business communications with internal and external stakeholders
- Conducted market research and data analysis

**Legal Counsel**
*5+ years experience, including IT sector*

- Supervised and mentored a team of five legal professionals
- Served as primary liaison for customers and stakeholders
- Managed deadlines and deliverables using task management systems
- Maintained project documentation, compliance registers, and performance reports
- Drafted and negotiated contracts, invoices, and service acceptance documentation

---

## Education

**Master's Degree in Law**

---

## Certifications & Training

- Become a Project Manager – LinkedIn Learning Path (2023)
- IT Project Management – Projector Creative & Tech Online Institute (2021–2022)
- Fundamentals of Team and Project Management in IT – Lviv IT School (2021)

---

## Skills

**Project Management Frameworks:**
Impact Mapping, Work Breakdown Structure, Gantt Charts, Risk Management, Stakeholder Analysis, RACI Matrix, User Stories, User Story Mapping, Definition of Ready/Done, Estimation Techniques (Planning Poker, T-Shirt Sizing)

**Methodologies:**
Waterfall, Scrum, Kanban, SDLC

**Tools:**
Jira, Confluence, Notion, Trello, Miro, Gantter, Canva, Slack, Google Meet, Gather, Google Workspace, Microsoft Office

---

## Languages

- Ukrainian – Fluent
- Russian – Fluent
- English – Upper-Intermediate

---

## Core Competencies

Proactive Leadership | Stakeholder Communication | Cross-Functional Coordination | Self-Organization | Rapid Adaptability | Active Listening | Collaborative Teamwork"
6214,"# [Your Name]
[Phone] | [Email] | [City, State] | [LinkedIn]

## Professional Summary

Detail-oriented professional transitioning into project management with formal training in project management methodologies and practical management experience. Demonstrated success coordinating teams, cultivating stakeholder relationships, and delivering projects from initiation through completion.

## Core Competencies

Project Management Fundamentals | SDLC Methodologies | Scrum & Agile Frameworks
Stakeholder Management | Team Coordination | Project Documentation | Legal Document Preparation

## Professional Experience

**Manager**
*[Company Name]* | *[Dates of Employment]*

- Directed projects through full lifecycle, from initiation to successful completion
- Built and maintained strategic relationships with customers and stakeholders to ensure alignment and satisfaction
- Coordinated cross-functional team activities, driving efforts toward organizational objectives
- Developed and maintained comprehensive project documentation to support transparency and accountability
- Prepared and reviewed legal documents with attention to accuracy and compliance

## Education & Certifications

**Project Management Course**
*[Institution Name]* | *[Completion Date]*

## Technical Skills

Microsoft Office Suite | Google Workspace | Windows Operating Systems

## Professional Attributes

- Reliable and dependable team contributor with strong work ethic
- Collaborative approach to problem-solving"
6231,"**PROJECT MANAGEMENT SPECIALIST**

---

**PROFESSIONAL SUMMARY**

Responsible and detail-oriented professional with strong analytical capabilities and proven experience managing complex projects in audit, financial consulting, and public sector initiatives. Effective communicator skilled at coordinating stakeholders, maintaining documentation, and driving projects to completion. Self-motivated team collaborator who thrives in challenging environments.

---

**PROFESSIONAL EXPERIENCE**

**Project Management Specialist**
Grant Thornton Ukraine | Kyiv

- Lead end-to-end communication with customers and contractors throughout project lifecycles
- Develop and maintain project execution schedules and comprehensive work documentation
- Gather, synthesize, and analyze critical information to support successful project implementation
- Coordinate and provide administrative support for cross-functional work meetings
- Prepare and deliver detailed project reports to stakeholders

---

**KEY PROJECT ACHIEVEMENTS**

- Contributed to the development of a monitoring system for Sustainable Development Goals achievement at Kyiv city level
- Supported anti-corruption policy audits ensuring compliance and transparency
- Assisted with financial statement audits for organizational accountability

---

**TECHNICAL PROFICIENCIES**

Microsoft Office Suite | 1C/BAS | CRM Bitrix 24 | Smart Tender

---

**LANGUAGES**

English – Upper-Intermediate

---

**TARGET POSITIONS**

Information Technology Manager | Product Manager | Assistant Team Manager | Assistant Project Manager | Project Office Coordinator"
6232,"**PROFESSIONAL SUMMARY**

Results-driven manager with excellent communication skills and a proven ability to manage multiple priorities under pressure. Organized, detail-oriented, and committed to delivering measurable outcomes. Quick learner eager to advance a management career in the IT field.

**KEY ACHIEVEMENTS**

Delivered 20+ educational projects for over 500 members across industry-leading organizations including Boeing, Ubisoft, and Xpand.

**CORE COMPETENCIES**

Agile & Scrum Methodologies | Lean Methodology | Risk Management | Stakeholder Management | Project Planning & Documentation | Client Relations

**PROFESSIONAL EXPERIENCE**

**Project Management**

- Implemented Agile and Scrum methodologies, facilitating 1-1 meetings, stand-ups, and retrospectives to maintain team alignment and motivation
- Applied Lean methodology to drive continuous improvement and operational efficiency
- Contributed to project design and set-up discussions, identifying profitability drivers and delivering cost-saving solutions
- Monitored and enhanced field operations performance to ensure timely, accurate delivery
- Served as primary liaison among stakeholders on all project-related matters
- Managed direct client communication, clarifying requirements and navigating expectations and scope changes
- Led project planning, task monitoring, and team workload prioritization to optimize productivity
- Prepared and maintained comprehensive project documentation
- Coordinated project launch schedules and cross-functional activities
- Conducted risk management assessments and developed mitigation strategies"
