,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5
3136,"# PROFESSIONAL SUMMARY

IT professional with 15+ years of experience, beginning in web development in 2009 before transitioning to project management. Proven track record leading teams of 2 to 24 developers across web, data-driven, and mobile projects. Strong expertise in people management, team building, and Scrum methodologies.

# CORE COMPETENCIES

- Project Management
- Team Leadership & Development
- People Management
- Scrum Methodologies
- Cross-functional Team Coordination
- Web Development

# PROFESSIONAL EXPERIENCE

**Project Manager**
*4 years*

- Lead teams of 2 to 24 developers across web, data-driven, and mobile application projects
- Apply Scrum methodologies to drive project success and team performance
- Build and develop high-performing teams under challenging circumstances
- Coordinate cross-functional collaboration throughout project lifecycles

**Web Developer**
*2009 – Transition to Project Management*

- Developed technical foundation in web development
- Contributed to multiple technical projects, building expertise that informs current management approach

# PROFESSIONAL GOALS

- Lead mid-sized projects of approximately 18 team members with growth potential
- Contribute to impactful projects with global reach and user benefit"
3137,"# AGILE PROJECT MANAGER | SCRUM MASTER | PRODUCT OWNER

## PROFESSIONAL SUMMARY

Agile Project Manager with proven expertise in building and implementing Scrum frameworks from scratch across multiple teams. Track record of transforming team delivery capabilities, achieving over 100 successful production releases, and establishing sustainable agile practices. Skilled in scope, release, people, risk, quality, and stakeholder management with cross-industry experience in fintech, healthcare, e-commerce, social networks, and education.

## CORE COMPETENCIES

**Agile & Framework Expertise**
Scrum | Kanban | Nexus | SAFe Framework Knowledge

**Leadership & Team Development**
Team Building & Scaling (14+ Teams) | Department Building | Cross-functional Coordination | Talent Assessment & Interviewing

**Project & Delivery Management**
Release Management | Risk Management | Quality Assurance | Stakeholder Management | Crisis Management

**Process & Culture**
Process Optimization | Standards Development | Cultural Initiatives

## PROFESSIONAL EXPERIENCE

**Agile Project Manager | Product Owner | Scrum Master**

- Built Scrum framework from scratch across 5 teams while managing multiple teams simultaneously
- Established and maintained Agile best practices across 14 teams
- Delivered over 100 successful production releases across live projects
- Transformed underperforming team as Crisis Manager, achieving consistent monthly release cadence from zero releases
- Designed end-to-end processes spanning idea generation, development, testing, and release
- Built and scaled Project Management department
- Managed full project lifecycle including scope, release, people, risk, quality, and stakeholder management
- Implemented process standards, approaches, and cultural initiatives within development teams
- Conducted PM interviews and technical specialist assessments for team and company value alignment
- Coordinated design and development department workflows

## INDUSTRY EXPERIENCE

Fintech | Healthcare | E-commerce | Social Networks | Education

## PROFESSIONAL OBJECTIVES

Seeking opportunities in product-focused companies offering workplace flexibility. Interested in roles involving process creation, decision-making participation, and applying expertise to enhance development process quality, speed, and transparency."
3138,"**KARINE**

**PROFESSIONAL SUMMARY**

Project Manager with 3 years of experience in strategic resource optimization and client-focused delivery. Expertise in Agile and Scrum methodologies, team leadership, and Jira environment configuration. Effective communicator between technical teams and executive leadership, driving organizational adoption of best practices.

**PROFESSIONAL EXPERIENCE**

**Project Manager**
3 years

• Aligned team efforts with client objectives, eliminating inefficiencies to maximize project value
• Led and guided software development teams in management operations
• Advised senior leadership on implementing Scrum and Agile methodologies across the organization
• Designed and configured Jira environment architecture, including components and swimlanes, optimizing developer workflow and platform usability

**CORE COMPETENCIES**

Project Management | Agile & Scrum Methodologies | Team Leadership & Coaching | Executive Advisory | Jira Configuration & Administration | Stakeholder Management | Process Optimization | Software Development Lifecycle

**AVAILABILITY**

Monday–Friday, GMT+4

**CONTACT**

Available upon request"
3139,"**CERTIFICATES**
- SAFe Scrum
- Soft Skills and Project Management (ITEA)
- PMP Exam Preparation

**KEY ACHIEVEMENTS**
- Delivered web solution for financial analysis while simultaneously managing five projects across multiple scales
- Launched IT Project Management Process in Scrum methodology from scratch
- Achieved positive client feedback through consistent delivery and stakeholder management

**PROFESSIONAL OBJECTIVES**
Seeking challenging projects within a collaborative team environment with opportunities for professional growth.

**MAIN RESPONSIBILITIES**
- Managed full project lifecycle for web development projects, including budget oversight and resource allocation
- Led project discovery phases to define scope and requirements
- Coordinated and delivered high-quality product releases within agreed timelines
- Facilitated Scrum ceremonies including daily stand-ups, retrospectives, estimation sessions, and sprint planning
- Administered sprint planning and documentation in Jira and Confluence, including task creation and time tracking
- Cultivated team development through personal growth initiatives and performance reviews
- Led remote cross-functional team of 19 members as Scrum Master
- Prepared comprehensive Project Status Reports with detailed project metrics and insights"
3140,"# PROFESSIONAL SUMMARY

Certified Scrum Master (CSM) and Management 3.0 practitioner with more than 4 years of experience in the game industry. Proven track record as Scrum Master, Scrum Coach, Project Manager, and Group Manager driving Agile transformation and team excellence.

---

# KEY ACHIEVEMENTS

- Scaled company department from 10 to 40 employees, representing 300% growth
- Led enterprise-wide Agile adoption across 40+ employees, embedding Agile values and principles throughout the organization
- Implemented scaled Agile best practices and tools to maximize business and product value delivery at the company level
- Established a culture of quality with zero defects approach across multiple teams
- Spearheaded continuous improvement initiatives in process and engineering practices company-wide
- Directed day-to-day operations of geographically dispersed teams across Kiev, Kharkov, and Dnipro (20+ people)

---

# CORE COMPETENCIES

**Agile Leadership & Coaching**
- Mentored Scrum Masters in facilitating team ceremonies including sprint planning, demos, and retrospectives
- Guided teams in evolving into self-organized Scrum teams capable of executing according to plan and meeting commitments
- Executed release planning, dependency management, risk management, and impediment resolution

**People Management & Development**
- Developed talent within matrix organizational structures
- Owned individual HR processes within teams
- Empowered team growth and self-organization

**Process Management**
- Optimized development processes and measured team performance
- Implemented scaled Agile frameworks and best practices
- Drove engineering excellence and process optimization

---

# CERTIFICATIONS

- Certified Scrum Master (CSM)
- Management 3.0

---

# CAREER OBJECTIVE

Seeking opportunities to leverage expertise in Agile leadership and team development to drive exceptional results and organizational success."
3141,"# PROFESSIONAL SUMMARY

Results-driven Agile Project Manager with over 5 years of experience leading cross-functional, international teams in the successful delivery of iOS, Android, and web development projects. Proven expertise in agile methodologies and managing distributed teams across multiple platforms.

---

## CORE COMPETENCIES

- Agile Project Management
- iOS Development Projects
- Android Development Projects
- Web Development Projects
- International Team Leadership
- Cross-functional Collaboration

---

## PROFESSIONAL EXPERIENCE

**Agile Project Manager**

- Led agile project management initiatives for iOS, Android, and web development projects
- Coordinated and managed international, cross-functional development teams
- Applied agile methodologies to drive project delivery across mobile and web platforms

---

## EXPERIENCE

5+ Years in Agile Project Management"
3142,"**PROFESSIONAL SUMMARY**

Results-driven Agile Project Manager with extensive experience in Scrum Master methodologies, business analysis, and client relationship management. Proven track record managing cloud platform and web application development, with deep knowledge of SDLC and exceptional communication skills. Demonstrated expertise in team leadership, operations management, and driving Agile transformation across organizational cultures.

---

**PROFESSIONAL EXPERIENCE**

**Pacto Systems, Ltd, UK**
*Scrum Master / Agile Project Manager*
August 2017 – Present

- Champion Agile values and principles, embedding methodology into daily operations and team workflows
- Facilitate daily standups, sprint planning, sprint reviews, and retrospectives to maintain team alignment and continuous improvement
- Organize, coach, and develop Agile teams while driving company-wide adoption of Agile culture
- Monitor team velocity metrics and proactively remove impediments to ensure sprint goal achievement
- Lead backlog grooming sessions and identify evolving requirements through strategic client discussions
- Conduct research and development initiatives aligned with emerging industry practices
- Cultivate and strengthen customer relationships while supporting lead generation efforts
- Elicit, elaborate, and document business requirements; author comprehensive Business Requirements Documents (BRD)
- Coordinate and facilitate client demonstrations to showcase deliverables and gather feedback
- Investigate data discrepancies and analyze relationships between complex datasets
- Design solution models that align technical capabilities with business objectives
- Secure stakeholder approval on requirements while ensuring adherence to quality standards
- Perform process analysis, root cause identification, and business impact assessments to uncover improvement opportunities
- Ensure compliance with organizational policies, standards, and industry best practices

**Tungus, LLC, Clermont, FL, USA**
*Agile Project Manager*
October 2015 – October 2017

- Built company operations infrastructure from the ground up, establishing scalable processes
- Automated workflows and managed daily operational tasks including document flow optimization
- Partnered with existing and prospective clients to drive business development initiatives
- Coached and motivated cross-functional project teams while fostering optimal working conditions
- Provided leadership, actionable feedback, and strategic guidance to ensure successful project delivery
- Managed team performance and optimized resource allocation across projects"
3143,"**PROFESSIONAL SUMMARY**

Project Manager and Scrum Master with 5+ years of experience leading and coaching agile teams across quality assurance, business analysis, and project management domains. Proven track record scaling agile frameworks for organizations up to 100 people, implementing tailored development processes, and driving product quality initiatives. Combines 3+ years of QA and test automation expertise with strong people management capabilities.

**CORE COMPETENCIES**

Agile Leadership & Coaching (Scrum, Kanban, SAFe) • Project & Program Management • Quality Assurance & Test Automation • Process Optimization & Implementation • People Management & Team Development • Cross-Team Coordination & Scaling • SDLC Tools (Jira, Confluence, Jenkins, CI/CD) • Hiring, Onboarding & Personal Development Planning

**PROFESSIONAL EXPERIENCE**

**Agile Team Leadership & Coaching**
• Led and coached agile teams for 5+ years, building high-performance cultures centered on delivery excellence and continuous improvement
• Facilitated Scrum and Kanban ceremonies while streamlining workflows and eliminating unnecessary bureaucracy
• Mentored team members on agile principles, translating complex challenges into practical, actionable solutions

**Agile Scaling & Process Implementation**
• Scaled agile practices across multiple teams totaling up to 100 people
• Established cross-team communication frameworks, synchronization protocols, and release procedures
• Designed and implemented development and QA processes customized to organizational needs
• Elevated product quality to a core organizational priority

**Quality Assurance & Technical Expertise**
• Leveraged 3+ years of hands-on experience in quality assurance and test automation
• Applied SDLC methodologies and CI tools including Jira, Confluence, and Jenkins
• Embedded quality practices throughout the development lifecycle

**People Management & Team Development**
• Directed team hiring, onboarding, and integration processes
• Created personal development plans aligning individual career goals with organizational objectives
• Cultivated cohesive, high-performing teams through strategic leadership and talent development"
3144,"# PROFESSIONAL EXPERIENCE

## Agile Team Leadership

**Team Building & Development**
- Established and led Agile team from inception through project execution
- Coached and mentored team members on Scrum methodology and best practices
- Onboarded new team members, providing guidance on processes and methodologies

**Scrum Facilitation**
- Facilitated daily scrums, sprint planning, sprint demos, and retrospective meetings
- Led estimation and project planning processes
- Delivered demo presentations to clients

**Product & Backlog Management**
- Collaborated with product owner to develop and prioritize product backlogs
- Maintained user story templates and analyzed requirements for clarity and feasibility

**Risk & Impediment Management**
- Identified and removed impediments to maximize team productivity
- Conducted ongoing risk assessment and tracking"
3145,"**PROFESSIONAL SUMMARY**

Forward-thinking senior technical executive with over 10 years of proven accomplishments in high-tech environments. Driven change manager dedicated to continuous business improvement, operational excellence, and revenue growth through multifaceted business strategies.

---

**CORE COMPETENCIES**

Team Leadership: Up to 160 Technical Professionals | Contract Management: Fixed Price & Time & Material | Methodologies: Scrum, Kanban, Waterfall | Business Operations Optimization | Revenue Enhancement & Profit Maximization

---

**PROFESSIONAL EXPERIENCE**

**Chief Technology Officer**
Agrifinance.io

- Created and developed start-up from concept to successful product launch

**Head of PMO**
minexsystems.com

- Assembled team and developed the first crypto-bank in the world

**Senior Project Manager**
prozorro.sale (State Reformatory Startup)

- Created and developed multiple projects

---

**CERTIFICATIONS & QUALIFICATIONS**

- Certified Project Manager, TÜV Rheinland Academy (Cologne, Germany)
- Certified Specialist in ISO 9001 (Cologne, Germany)
- Certified Project Management Professional, TÜV Rheinland
- Scrum Master"
3146,"**PROFESSIONAL SUMMARY**

Certified Agile Project Manager (ICP-APM) and Professional Scrum Master (PSM I) with over 3 years of proven success delivering projects from concept through commercial launch. Experienced in managing both in-house and distributed development teams, ensuring projects are completed within time and budget constraints while achieving exceptional results.

Decisive leader with excellent communication skills and the ability to inspire teams to reach their full potential. Skilled at coordinating and planning project activities to exceed targets and creating environments where innovation thrives. Committed to spreading Agile culture and serving as a change agent in any organization.

**CERTIFICATIONS**

Certified Professional Scrum Master (PSM I)
Certified Agile Project Manager (ICP-APM)

**CORE COMPETENCIES**

Agile & Scrum Implementation | Kanban Methodology | Project Management | Team Leadership | Process Improvement | Stakeholder Communication | Organizational Development | Change Management | Lean Software Development | Workshop Facilitation

**PROFESSIONAL EXPERIENCE & ACHIEVEMENTS**

Led teams through the complete development life cycle from ideation to commercial launch, managing both in-house and distributed development teams successfully

Implemented Scrum framework and Kanban methodologies across multiple companies and teams, establishing effective project management processes using industry-standard tools and techniques

Delivered projects consistently within time and budget constraints while improving organizational structures to enhance team performance and delivery

Organized and facilitated reports, workshops, and meetups on Lean Startup, Lean Software Development, Agile, and Scrum methodologies"
3147,"# PROFESSIONAL EXPERIENCE

**Key Achievements:**

• Built and led two specialized teams in Ukraine: an IT engineering team focused on software development and an operational team dedicated to game and platform operations

• Implemented Agile and Scrum frameworks across development processes, driving efficiency and collaboration

• Delivered and operated a Fantasy Sports startup as a standalone business

• Developed and launched multiple casino games in Flash and HTML5

• Managed four concurrent mobile projects for iOS and Android, including business documentation, presentations, business plans, bids, and development specifications

• Led cross-functional teams of 20+ professionals

• Provided mentoring, coaching, and team-building leadership to drive high performance


# CORE COMPETENCIES

**Project & Product Management:**
Agile Project Management | Scrum | Kanban | Waterfall | PMBOK | BABOK | Business Analysis | Mobile & Web Software Development | iGaming & Casino Industry

**Business & Leadership:**
Startup Development | Business Development | Marketing & Sales | Brand & Product Management | Customer Service | Company & People Management | Team Building | Coaching & Motivation | Public Speaking


# PROFESSIONAL BACKGROUND

International experience with UK, German, and Swiss companies

Proven expertise in management and software development


# LANGUAGES

Ukrainian – Native | Russian – Native | English – Fluent | German – Upper-Intermediate | Polish – Low-Intermediate


# PROFESSIONAL OBJECTIVES

• Enterprise-level projects with meaningful impact
• Collaborative teams in a positive, respectful environment
• Creative challenges and new experiences
• Continued professional growth"
3148,"# Professional Summary

Seasoned technology professional with over 12 years of experience in software development, architecture, and agile leadership. Currently serving as Agile Project Manager and Scrum Master, driving continuous improvement, implementing best practices, and coaching cross-functional teams to deliver successful business outcomes. Combines 10+ years of hands-on software development and architecture experience with deep technical expertise in C/C++, delivering high-quality solutions for US and European clients.

# Core Competencies

**Agile Leadership:** Project Management | Scrum Master | Team Coaching | Process Improvement | Best Practices Implementation

**Technical Expertise:** Software Development | Systems Architecture | C/C++

**Communication & Collaboration:** Cross-functional Stakeholder Liaison | Conflict Resolution | Consensus Building | Executive Communication

**Professional Strengths:** Strategic Decision-Making | Problem-Solving | Rapid Methodology Adaptation

# Professional Experience

**Agile Project Manager & Scrum Master**

• Drive continuous improvement initiatives and enhance project processes across multiple teams
• Develop and implement Agile best practices to optimize team performance and delivery
• Lead and coach cross-functional teams to achieve deliverables and business objectives
• Facilitate successful project outcomes through effective agile methodologies
• Serve as liaison between executive leadership, clients, and technical teams

**Software Developer & Architect** | 10+ Years

• Designed software architecture for complex systems serving US and European customers
• Delivered high-quality solutions across diverse, high-impact projects in multiple domains
• Applied deep technical expertise in C/C++ development

# Languages

• English – Excellent Proficiency
• Russian – Native
• Ukrainian – Native"
3149,"**Agile Project Manager & Delivery Manager**

**Professional Summary**

Results-driven Agile Project Manager and Delivery Manager with 8 years of IT experience, including 4+ years specializing in agile project delivery and team leadership. Proven track record implementing Kanban, Scrum, Lean, and other Agile methodologies to optimize product development and drive measurable business outcomes.

**Key Achievements**

• Drove cultural transformation by implementing Kanban across all organizational levels using the Kanban Maturity Model and Evolutionary Change Model

• Doubled deliverable output while reducing Time to Market by 33% through process optimization and strategic prioritization

• Led cross-functional units of 40+ FTEs within organizations of 100+ FTEs

• Delivered IT projects across multiple formats and methodologies

**Core Competencies**

Agile Project Management | Delivery Management | Scrum | Kanban | Lean Methodologies | Organizational Change Management | Cross-Functional Team Leadership | Process Optimization | Product Development | Large-Scale Team Management

**Professional Experience**

Agile Project Manager & Delivery Manager
8 years in IT, with 4+ years leading atomic Scrum teams and cross-functional units of varying sizes

**Career Objective**

Seeking opportunities to leverage agile expertise and drive organizational performance improvement."
3150,"# PROFESSIONAL EXPERIENCE

## Delivery Manager & Scrum Master

Led enterprise-scale project of 40+ people

- Managed and coached 3 Scrum Teams simultaneously
- Established Release Management process across 3 teams spanning multiple domains and functionality areas
- Built requirements gathering, processing, and implementation framework from ground up
- Directed high-level quarterly planning initiatives
- Designed and implemented team performance metrics system
- Achieved 4.9 of 5 overall team satisfaction rating

## Leadership & Project Delivery

- Led and managed 25+ team members across diverse project environments
- Directed FinTech and Healthcare sector projects with $100-150K monthly budgets

## Scrum Master

- Led cross-functional teams of developers, QA, BA, and stakeholders
- Established peopleware practices: 1-to-1 meetings and team check-ins
- Facilitated Agile ceremonies: product backlog refinement, sprint planning, daily stand-ups, retrospectives, and iteration demonstrations
- Configured delivery processes and bridged communication between development teams and product owners
- Conducted Scrum Workshops for team development

## Project Manager

- Created development plans and maintained execution oversight
- Managed change requests and requirements change risks
- Maintained Risk Register and developed risk mitigation strategies
- Delivered progress reports and change communications
- Analyzed and documented requirements through stakeholder interviews and User Story mapping"
3153,"**PROFESSIONAL SUMMARY**

Results-driven IT professional with over 11 years of industry experience and 7+ years specializing in Agile project management. Proven track record leading dynamically growing teams using Scrum and Kanban methodologies. Committed to continuous professional development through regular training participation and facilitation.

**CORE COMPETENCIES**

Agile Methodologies (Scrum, Kanban) • Project Management • JIRA • Risk Management • Conflict Management • Change Management • Team Building & Motivation • Applications Deployment

**PROFESSIONAL OBJECTIVE**

Dedicated to fostering team growth and professional development. Seeking opportunities in dynamic environments that offer meaningful challenges and a collaborative atmosphere."
3155,"# Professional Experience

**Agile Transformation Leader**
- Spearheaded enterprise-wide Agile transformation initiative, driving organizational change across 50+ team members

**Scrum Master**
- Facilitated Scrum ceremonies and processes for 5 concurrent cross-functional teams, ensuring alignment with Agile principles and practices

**Project Manager**
- Delivered projects utilizing PMBOK methodology and industry best practices"
3156,"**SCRUM MASTER**

**Team Collaboration & Development**
- Partnered with 3 cross-functional teams to drive efficiency improvements and cultivate self-management capabilities
- Streamlined workflows by reducing inter-departmental dependencies
- Championed sprint-focused delivery, ensuring teams released increments at the close of each sprint
- Strengthened quality standards by expanding definition of done criteria
- Proactively identified and removed impediments blocking team progress toward sprint goals
- Facilitated all Scrum ceremonies, maintaining positive, productive, and timeboxed sessions

**Product Owner Partnership**
- Collaborated with 3 Product Owners to establish clear product goals and sprint objectives
- Guided effective Product Backlog management and refinement
- Drove sprint planning preparation and execution
- Enabled transparent stakeholder communication and engagement

**Organizational Agile Leadership**
- Championed agile methodologies and mindset adoption across the organization
- Implemented and adapted tools and best practices to optimize agile workflows
- Designed, launched, and maintained operational processes to support team effectiveness
- Cultivated productive relationships across team members and departments
- Contributed to talent acquisition initiatives
- Led cross-departmental collaboration efforts
- Eliminated organizational barriers to ensure seamless cooperation between departments and teams"
3157,"# Gulnar Abasova

**Scrum Master | Agile Project Coordinator**

---

## PROFESSIONAL SUMMARY

Lithuanian State Scholarship recipient pursuing a Master of International Project Management while delivering measurable results as a Scrum Master. Proven ability to double team velocity and improve deadline achievement through Agile transformation leadership.

---

## PROFESSIONAL EXPERIENCE

**Scrum Master**
1 Year | Remote & In-Office

- Facilitate complete Scrum event cycles: sprint planning, daily stand-ups, sprint reviews, and retrospectives
- Deliver fintech projects on schedule, spanning internal sales systems to online banking applications
- Lead backlog grooming sessions with Product Owners and bridge communication between stakeholders and cross-functional development teams
- Champion Agile/Scrum principles while empowering self-managing developer teams
- Drive process improvements through active listening, enabling team members and testers to consistently meet deadlines
- Doubled team velocity and improved deadline achievement following company's Agile transformation
- Engage across the full product development lifecycle: idea generation, UX research, wireframing, QA, and debugging

---

## EDUCATION

**Master of International Project Management** (In Progress)
Vilnius University
Lithuanian State Scholarship Recipient

---

## TECHNICAL SKILLS

**Project Management Tools:** Jira Atlassian, MS Project, Notion
**Methodologies:** Agile, Scrum
**Domain Experience:** Fintech

---

## PROFESSIONAL OBJECTIVE

Seeking opportunities to expand Agile management expertise and contribute to development teams in dynamic startup environments."
3158,"# PROFESSIONAL SUMMARY

Results-driven Scrum Master with 5+ years of hands-on experience managing distributed teams of up to 40 FTE and 3 years dedicated to the Scrum Master role.

---

## CORE COMPETENCIES

- Agile & Scrum Framework Implementation
- Distributed Team Leadership
- Stakeholder Relationship Management
- Risk Management & Mitigation
- People Management & Recruitment
- Project Status Tracking & Metrics Analysis

---

## PROFESSIONAL EXPERTISE

**Agile Leadership**
- Facilitate Scrum Ceremonies and drive impediment removal to maintain team velocity
- Coach agile teams in self-organization and cross-functional development
- Foster high-performance team culture and collaborative environments

**Stakeholder Management**
- Build and maintain trustful relationships with clients
- Organize communication processes and drive effective meetings
- Deliver regular reporting and project status updates

**Operational Excellence**
- Apply project management best practices
- Execute risk management and metrics collection
- Lead resourcing and recruitment initiatives for projects
- Leverage strong problem-solving, analytical, and research skills

---

## CERTIFICATIONS

- Certified SAFe® 5 Advanced Scrum Master
- Certified SAFe® 5 Scrum Master
- Certified AgilityHealth® Facilitator for SAFe®"
3159,"# PROFESSIONAL SUMMARY

Results-driven Agile Project Manager and Scrum Master with proven success leading cross-functional teams of varying sizes across diverse project portfolios. Expert in aligning team efforts with strategic business objectives while maintaining rigorous milestone tracking to ensure on-time delivery and optimal outcomes. Skilled in tailoring processes, methodologies, and toolsets to match unique project requirements and client objectives. Demonstrates flexibility in applying various Agile approaches based on project dynamics and stakeholder goals. Recognized for building high-performing teams, fostering clear communication across all organizational levels, and excelling in dynamic environments with evolving requirements.

## CORE COMPETENCIES

Agile Project Management & Scrum Master Leadership | Cross-Functional Team Leadership & Development | Business Objective Alignment & Strategic Focus | Project Milestone Tracking & On-Time Delivery | Process Design & Optimization | Agile Methodology Customization | Stakeholder Communication & Relationship Management | Change Management & Requirements Adaptation | Team Building & Performance Enhancement | Client Goal Achievement"
3160,"# PROFESSIONAL SUMMARY

Results-driven IT leader with 12+ years of experience delivering successful projects across the complete lifecycle—from initiation through closure. Proven ability to build and lead engineering teams of 30+ members across multiple concurrent teams. Deep expertise in Agile and Waterfall methodologies with demonstrated success in both outsource and product development environments.

# CORE COMPETENCIES

**IT Management** | **Agile Methodologies (Scrum, XP, Kanban)** | **Waterfall SDLC** | **Team Leadership & Mentorship** | **Product Ownership** | **Scrum Master** | **Engineering Team Building** | **Stakeholder Management** | **Agile Community Leadership** | **Project Management Tools**

# PROFESSIONAL EXPERIENCE

**IT Management** | 11+ Years

- Built engineering teams from the ground up, establishing processes and frameworks that enabled sustained success
- Led and managed 30+ engineers across multiple concurrent teams, delivering projects in outsource and product development environments
- Drove complete project lifecycles through initiation, planning, implementation, monitoring, control, maintenance, and closure
- Served in dual Scrum Master and Product Owner capacities, applying deep expertise in Agile values and principles
- Championed and grew the Agile community, promoting best practices and fostering continuous improvement
- Leveraged project management tools to enhance efficiency, visibility, and team alignment

**Agile Expertise** | 4+ Years

- Deployed Scrum, XP, and Kanban frameworks tailored to project needs
- Balanced Agile and Waterfall approaches to optimize delivery based on project requirements
- Applied strong leadership and interpersonal skills to align teams and drive results

# CERTIFICATIONS

- Certified Scrum Master (CSM)
- Certified Scrum Product Owner (CSPO)
- ICP-APM (ICAgile Certified Professional - Agile Project Management)

# TECHNICAL PROFICIENCIES

Project Management Tools | Agile Frameworks & Practices | Waterfall Methodology"
3161,"**SENIOR PROJECT MANAGER**

Results-driven project manager with 10+ years of experience leading IT initiatives from product concept through market launch. Proven track record delivering 20+ projects of varying sizes and complexity across international product companies and IT outsourcing environments.

**CORE COMPETENCIES**

• Full-Cycle Project Management | Pre-Sale to Product Launch
• Distributed Team Leadership | Teams up to 50 Members
• Multi-Project Management | 5+ Simultaneous Projects
• Stakeholder Engagement & Client Relations
• Cross-Functional Team Collaboration
• Product Development | Platforms, Marketplaces, Mobile Apps, Websites

**PROFESSIONAL SUMMARY**

Proactive project management professional with extensive experience in international IT environments. Quickly immerses in new subject areas and establishes effective working relationships across diverse teams and functions. Committed to understanding client needs and developing team capabilities to consistently drive successful product releases.

**KEY ACHIEVEMENTS**

• Orchestrated 5+ concurrent projects while directing geographically distributed teams of up to 50 members
• Delivered 20+ projects spanning multiple domains and complexity levels in both product company and IT outsourcing settings
• Launched 5+ products within a single year, encompassing platforms, marketplaces, mobile applications, and websites
• Guided complete project lifecycles from initial product concept through successful market launch
• Built effective working relationships across international teams and diverse functional areas"
3162,"# PROFESSIONAL SUMMARY

Senior Scrum Master and Project/Delivery Manager with extensive cross-domain expertise spanning CRM, logistics, sales, finance, and marketing across desktop and web platforms. Demonstrated success managing full-cycle ERP implementations and driving agile transformations at portfolio level.

# CORE COMPETENCIES

Portfolio Management | Risk Management | Release & Delivery Planning | Agile Coaching | LeSS Huge Implementation | Stakeholder Management | Process Improvement | Technical Documentation | User Training | Business Negotiations

# PROFESSIONAL EXPERIENCE

**Senior Scrum Master**
- Directed portfolio-level operations for 5 scrum teams comprising 35 FTE, owning risk management and release planning
- Orchestrated cross-functional collaboration among 30+ team members across 5 internal teams
- Delivered projects under both time-and-material and fixed-price models
- Partnered with Product Owners and stakeholders to align delivery with business objectives

**Agile Coach**
- Guided LeSS Huge adoption across 1 product area encompassing 6 teams
- Designed end-to-end workflows and facilitated all multi-team ceremonies
- Mentored Product Owners and elevated team agile proficiency through targeted training

**Project/Delivery Manager**
- Executed full-cycle ERP implementations (CRM, sales, logistics, finance) at Carlsberg Ukraine
- Deployed UPS logistics solution serving 60 distributors
- Supported 3,000+ users through consultation and system guidance
- Contributed to Ukrtelekom automation project across Record-keeping, Finances, and Management modules
- Directed website development and testing initiatives
- Authored technical specifications, process improvement documentation, and software maintenance guides
- Performed system configuration, alpha-testing, and server administration
- Led user training sessions and stakeholder presentations

# TECHNICAL SKILLS

**Languages:** SQL, HTML, CSS, JavaScript, React, .NET, .NET Core

**Platforms:** GitHub, Jira, TFS

**Languages:** English (Professional)

# PROFESSIONAL INTERESTS

Driven by collaborative environments and dynamic workflows. Seeking product development opportunities alongside high-caliber professionals, with focus on international collaboration, process improvement, and measurable outcomes."
3186,"**PROFESSIONAL EXPERIENCE**

**Project Manager, Data Operations**

• Managed up to 30 concurrent projects while maintaining high standards of quality and efficiency

• Orchestrated large-scale data operations projects, ensuring seamless collaboration between customers and data labeling teams

• Partnered with customers to develop and implement production-grade data labeling pipelines, optimizing annotation workflows for efficiency and accuracy

• Supervised Data Labeling Quality Assurance team, upholding stringent quality standards and fostering continuous improvement

• Evaluated and optimized data labeling workforce performance, providing guidance and support to maximize productivity

• Created comprehensive statements of work and ensured ongoing alignment with stakeholders on project deliverables

• Calculated customer budgets and estimated costs for service providers, promoting financial transparency and cost-efficiency

• Conducted regular calls with customers and service providers, building strong relationships and facilitating effective communication

• Tracked key metrics, addressed customer concerns promptly, and delivered superior results through strong customer service orientation

• Collaborated with service providers to cultivate partnerships and drive successful project delivery

• Monitored industry trends and emerging technologies, providing recommendations for product enhancements and process optimizations

• Fostered collaborative and inclusive work environment, encouraging cross-functional cooperation"
3225,"# PROFESSIONAL EXPERIENCE

**AMAZON MARKETING MANAGER** | January 2022 - Present  
DigiOrange | Brooklyn, NY, USA
- Manage multiple client cases across diverse product niches
- Develop and implement proprietary reputation management processes

**MARKETING PROJECT MANAGER** | September 2021 - January 2022  
TBI-Pro | Chicago, IL, USA

**MARKETPLACES PROJECT MANAGER** | December 2018 - September 2021  
FDS-IT | Staten Island, NY, USA
- Successfully launched 6 marketplace cases from the ground up

**AMAZON MANAGER** | 2015 - 2018  
Shopping Cart Elite | Brooklyn, NY, USA

# KEY ACHIEVEMENTS

- Successfully managed more than 10 cases across different niches
- Launched 6 cases from the ground up
- Developed proprietary process for reputation management"
3315,"# PROFESSIONAL SUMMARY

Business Analyst with expertise in requirements management, stakeholder engagement, and agile methodologies. Proven track record in elicitation, documentation, and solution assessment across the full project lifecycle.

# CORE COMPETENCIES

**Business Analysis**
- Business analysis planning and needs assessment
- Solution scope definition and management
- Stakeholder analysis and engagement
- Requirements elicitation, analysis, and documentation (business, functional, non-functional)
- Requirements communication and traceability
- Solution assessment and validation
- Stakeholder knowledge transfer

**Methodologies & Documentation**
- Agile and Scrum frameworks
- BPMN process modeling
- Use case and user story development

**Technical Skills**
- Project Management
- Microsoft Excel
- Visual Basic (VB)

# PROFESSIONAL INTERESTS

Professional growth | Complex challenges | Collaborative team environments"
