,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5
6254,"# Professional Summary

Results-driven marketing and business development professional with proven expertise in lead generation, social media management, and sales across website development and crypto marketing sectors. Demonstrated success in strategic planning, framework development, and cross-functional collaboration to drive business growth and client satisfaction.

# Professional Experience

**Business Developer/SDR/Sales Manager/Account Manager**
Crypto Marketing Agency

- Led business development initiatives and client relationship management across multiple strategic roles
- Developed and executed comprehensive sales strategies and account management programs
- Consistently delivered results in dynamic, fast-paced crypto marketing environment

**Lead Generation Manager**
Website Development Company | 1 Year

- Architected and implemented lead generation strategies and multi-channel campaigns
- Accelerated business growth through data-driven, targeted marketing initiatives

**Social Media Manager**

- Orchestrated social media strategy and execution for multiple company accounts
- Designed and launched targeted advertising campaigns on Facebook Ads platform
- Expanded brand visibility and audience engagement across multiple social platforms

# Core Competencies

- Lead Generation & Sales Pipeline Development
- Business Development & Strategic Sales
- Social Media Marketing & Digital Advertising
- Account Management & Client Relationship Building
- Strategic Planning & Marketing Framework Development
- Cross-Functional Team Leadership & Collaboration
- Project Coordination & Stakeholder Management

# Technical Proficiencies

**Marketing & Advertising:** Facebook Ads, Instagram, LinkedIn, Expandi

**Project Management:** Miro, Asana, Figma

**CRM & Business Tools:** Pipe Drive, Google Meet, Google Sheets, Google Docs

# Professional Strengths

- Exceptional interpersonal and communication capabilities
- Strategic thinking with creative problem-solving approach
- Advanced time management and organizational planning
- Agile learner with rapid adaptability to emerging technologies and methodologies
- Collaborative team player with proven cross-functional expertise"
6255,"# Delivery Coordinator | Error Manager | Senior Test Engineer

Results-driven Delivery Coordinator and Error Manager with 8 years of specialized experience in automotive embedded systems projects. Proven expertise in coordinating deliverables, managing quality processes, and leading test engineering initiatives within the automotive industry.

## Professional Experience

**Senior Test Engineer | Delivery Coordinator | Error Manager**
Automotive Embedded Systems Projects | 8 years

- Coordinate project deliveries and manage error resolution processes for automotive embedded projects
- Lead test planning and execution activities for automotive systems
- Facilitate customer communication and manage stakeholder expectations
- Organize and coordinate team activities to ensure project success
- Utilize Jira and Confluence for project tracking and documentation

## Core Competencies

- Automotive Embedded Systems Testing
- Test Planning & Strategy Development
- Error Management & Quality Assurance
- Delivery Coordination & Project Management
- Stakeholder Management & Customer Communication
- Team Leadership & Coordination
- Jira & Confluence Administration

## Education

**Master's Degree in Automobile/Automotive Mechanics Technology**
National Transport University

## Professional Objective

Seeking opportunities in automotive projects to leverage extensive industry-specific knowledge and technical expertise developed throughout 8-year career in automotive embedded systems."
6342,"# PROFESSIONAL EXPERIENCE

## MROWKI-UA
**Automation Project Manager**
*2021-2022*

• Managed automation implementation for company processes
• Directed website development for automation components
• Developed messenger bots to streamline communication

---

## INTERRA | Online School
www.interra.bz
**Automation Project Manager / Business Analyst**
*2020-2022*

• Analyzed business processes and recommended transformations
• Implemented automation solutions in Bitrix
• Developed analytics dashboards in Power BI
• Delivered cost savings, improved efficiency, and enhanced service quality

---

## RUBLEVFAMILY | Quest Franchise
fr.fortfamily.ru
**Automation Project Manager**
*2018-2022*

• Implemented automation for franchise sales department
• Expanded automation solutions across all franchise partners' sales departments
• Established marketing analytics systems

---

## BIZRAISE | Marketing Agency
bizraise.pro
**Automation Project Manager / Business Analyst**
*2017-2018*

• Specialized in business process analysis and automation across diverse business sectors
• Assessed current client processes and identified requirements and challenges
• Designed automation solutions to address business problems"
7630,"# MARKETING SPECIALIST

## PROFESSIONAL SUMMARY

Results-driven marketing specialist with expertise in digital marketing, SEO strategy, and paid advertising. Proven ability to lead cross-functional teams, manage contractors, and deliver data-driven campaigns that achieve organizational objectives.

## CORE COMPETENCIES

Digital Marketing Strategy | SEO & Backlink Strategy | Paid Advertising (Google, Facebook, Instagram) | Social Media Marketing | Email Marketing | Market Research | Content Creation | Analytics & Performance Optimization | Cross-Functional Team Leadership | Contractor Management

## PROFESSIONAL EXPERIENCE

*Please add your work experience here*

## PROFESSIONAL SKILLS

**Leadership & Team Management**
- Lead cross-functional teams and coordinate stakeholders to deliver organizational objectives
- Design transparent operational systems that drive efficiency and performance
- Resolve conflicts and navigate high-pressure situations with diplomacy
- Build collaborative relationships across organizational hierarchies to achieve mutually beneficial outcomes

**Digital Advertising & Analytics**
Google Ads | Google Ads Editor | Google Tag Manager | Google Analytics | Facebook Business Manager | LinkedIn Campaign Manager | Mailchimp

**SEO & Competitive Intelligence**
Ahrefs | Serpstat | SimilarWeb

**Web Development & Design**
Tilda | Wix | Bitrix | Adobe Photoshop | Adobe Illustrator | HTML (basic)

**Technical Skills**
SQL (basic) | Microsoft Excel | Microsoft PowerPoint

## LANGUAGES

**Ukrainian** - Native  
**Russian** - Native (C2)  
**English** - Advanced (C1)  
**German** - Advanced (C1)  
**Spanish** - Elementary (A2)  
**French** - Elementary (A2), in progress

## EDUCATION

*Please add your education here*

## PROFESSIONAL BOUNDARIES

Not available for opportunities in gaming, gambling, dating, or fraud sectors."
7654,"# PROFESSIONAL SUMMARY

Results-driven telecommunications professional with 14 years of experience in B2B customer service, network coverage solutions, and business process development. Proven expertise in analytical problem-solving, stakeholder negotiation, and cross-functional project coordination. Skilled at managing complex technical requests involving financial analysis, contract negotiations, and multi-party collaboration. Committed to delivering high-quality service as the foundation for effective sales and long-term customer relationships.

# CORE COMPETENCIES

- B2B Customer Service & Sales Support
- Network Coverage Analysis & Optimization
- Business Case Development & Financial Analysis
- Stakeholder Management & Multi-Party Coordination
- Contract Negotiation & Terms Management
- Financial Modeling & Revenue Projections
- Technical Solutions Development
- Business Process Implementation
- Training & Presentation Delivery
- Content Marketing & Copywriting
- English Language Proficiency

# PROFESSIONAL EXPERIENCE

**Telecommunications Industry Professional**
*14 years of progressive experience*

**Network Coverage Request Specialist**

- Launched and implemented business processes for handling network coverage requests for B2B customers
- Developed comprehensive business cases for base station construction projects, including payback calculations, revenue projections, and cost optimization
- Managed network coverage requests for corporate B2B customers, ensuring service excellence to support sales effectiveness and customer retention
- Coordinated complex projects involving multiple stakeholders including colleagues, contractors, customers, landlords, and engineers
- Negotiated equipment placement terms, rental rates, and technical specifications with property owners and customers
- Negotiated effectively with management across all organizational levels
- Optimized technical solutions to balance customer requirements with operational efficiency
- Communicated radiofrequency radiation information and regulatory compliance matters to stakeholders
- Delivered training courses to colleagues on customer request lifecycle for network coverage, utilizing interactive presentation techniques including audience engagement, real-world examples, supporting data, and visual documentation
- Analyzed service relevance and alignment with client business objectives

**B2B Sales Customer Service Division**

- Developed foundational analytical, managerial, and negotiation skills
- Gained comprehensive understanding of B2B customer service operations

# PROFESSIONAL DEVELOPMENT

**Content Marketing & Copywriting Course** | December 2020

**English Language Training** | March 2018 – Present

# CAREER OBJECTIVES

Seeking B2B Sales Manager or Project Manager position to leverage telecommunications expertise, analytical capabilities, and relationship management skills in a growth-oriented role with competitive compensation and opportunities to utilize English language proficiency."
8890,"# Business Analyst / Product Manager

## Professional Summary

Experienced Business Analyst and Product Manager with expertise in agile methodologies, requirements management, and cross-functional collaboration. Proven ability to bridge technical and business stakeholders, optimize IT processes, and deliver customer-focused solutions. Skilled in leveraging enterprise systems and modern development tools to drive product success.

## Core Competencies

**Product Management & Business Analysis**
- Requirements Gathering & Analysis
- Product Roadmap Development & Execution
- Stakeholder Management & Communication
- Agile Methodologies (Scrum, Kanban)
- Quality Assurance & Testing Strategies
- Process Optimization & Documentation

**Technical Skills**
- HTML5, CSS, JavaScript
- Python
- UML Modeling
- Enterprise Systems (ERP, CRM)

**Tools & Platforms**
- Project Management: Jira, Confluence, Redmine
- Development Frameworks: Rational Unified Process (RUP)
- Knowledge Base Management
- UI/UX Design Principles

## Professional Preferences

Open to opportunities outside of Forex, gambling, alcohol, and tobacco industries."
8916,"# PROFESSIONAL SUMMARY

Results-driven IT professional with 10 years of comprehensive experience spanning government systems implementation, broadcasting technology, and IT distribution management. Proven track record of delivering complex technical projects for governmental organizations and commercial enterprises.

# CORE COMPETENCIES

• Project Management & IT Consulting • Business Development & Channel Management • Government Systems Implementation • Broadcasting Technology Solutions • IT Distribution & Strategic Partnerships

# PROFESSIONAL EXPERIENCE

**Business Development Manager & Channel Manager | IT Distribution Sector**  
5 years

Drove business development and channel operations within the IT distribution sector, managing strategic partnerships and delivering revenue growth through effective channel management and relationship building.

**Project Manager & IT Consultant | Government & Broadcasting Sectors**  
5 years

• Participated in implementation of card system for Central Bank of Azerbaijan, delivering critical banking infrastructure solutions

• Contributed to deployment of Inventory System for Treasury of Azerbaijan Republic, supporting public finance operations

• Managed online TV system projects for broadcasting industry, executing end-to-end technology implementations

# KEY ACHIEVEMENTS

• Successfully contributed to multiple high-impact governmental infrastructure projects in Azerbaijan, spanning banking and public finance sectors

• Delivered technology solutions across diverse industries including banking, public finance, and broadcasting

• Built and maintained strategic relationships across IT distribution channels, driving partnership success and business growth"
9028,"# PROFESSIONAL SUMMARY

Results-driven BI/DWH professional with 10+ years of experience in reporting and development. Deep expertise in Oracle BI, SAP WEBI, Oracle PL/SQL, and ETL processes. Proven expert across data domains including Financial, Trading, Accounting, and banking business departments.

• 4+ years in Team Lead and Tech Lead positions
• 9+ years in Data Architecture, Data Modeling, and Data Analysis
• Extensive experience writing Technical Design and Requirements documents
• Deep knowledge of agile development practices: Scrum/Kanban
• Strong experience prioritizing requirements with customers
• Deep understanding of business goals and priorities in financial and product spheres
• Proactive in-team communication and leadership skills

# TECHNICAL SKILLS

**Business Intelligence & Reporting:** Oracle BI, SAP BO, Tableau, Pixel Perfect reporting

**Database & Programming:** Oracle PL/SQL, SQL, XML, Visual Basic (VB)

**Data Systems:** Siebel, B2, iFobs, isCard datastructures

**Development Tools:** Jira, SVN, Crucible

**Methodologies:** Agile, Scrum, Kanban

**Domain Expertise:** Financial and management banking reports, Bank Accounting, Trading, Financial data domains"
9066,"# PROFESSIONAL EXPERIENCE

**Consultant & Tender Management Specialist**

• Delivered consulting services for public procurement processes and provided full-cycle tender procedure management

• Managed and coordinated service proposals, including technical and commercial aspects, from call for tender issuance through bid submission

• Directed bid logistics, developed team schedules, and established responsibilities and deliverable expectations

• Served as primary contact for technical, commercial, and contractual submission preparation in collaboration with cross-functional teams

• Coordinated and participated in proposal document drafting, ensuring quality and compliance within deadlines

• Managed proposal costs and timelines while liaising with internal and external stakeholders including HR, finance, purchasing, legal services, and partners

• Collaborated with account directors on service proposals, submission documents, communications, client discussions, and meetings throughout proposal development cycles

• Optimized service proposal process effectiveness and enhanced proposal tools to increase submission document quality and ensure compliance with standards and guidelines"
9445,"# BRANCH MANAGER / PROJECT MANAGER

Branch Manager / Project Manager with over fifteen years' experience in the IT industry, leading businesses and development teams of five to fifty people.

## CORE COMPETENCIES

Project & Product Management | Agile (SCRUM) | Requirements Management | Branch Management | Team Leadership | Stakeholder Engagement | Cross-functional Collaboration | Strategic Planning | Resource Allocation

## TECHNICAL SKILLS

**Project Management:** Atlassian Jira

**Development:** PHP4-5, HTML, CSS, jQuery, AJAX, Bootstrap, SQL

**Infrastructure:** LAMP, PostgreSQL, AWS, Nginx

**Version Control:** CVS, Mercurial, Git

**Systems:** CMS, CRM

## PROFESSIONAL EXPERIENCE

**Development Experience:** 15+ years

### KEY PROJECTS

**Legal Management System**
Delivered full-cycle multi-attorney workflow platform managing complete case lifecycle from initial claim filing through executive proceedings. Coordinated technical requirements and ensured seamless integration across all workflow stages.

**CRM System – Major Tourism Wholesale Supplier**
Led development of enterprise customer relationship management solution supporting hundreds of clients, tens of thousands of products, and multi-warehouse operations across multiple cities. Enabled scalable operations for major tourism wholesale supplier.

**SaaS Management Platform**
Developed comprehensive management solution for fitness clubs, dance studios, and similar small businesses, providing end-to-end operational support.

**E-Commerce Solutions**
Delivered multiple online stores of varying complexity and scale, managing complete project lifecycles from requirements through deployment.

## CAREER OBJECTIVE

Seeking Branch Manager or Senior Project Management position to leverage extensive IT management and project delivery expertise."
9542,"**PROFESSIONAL EXPERIENCE**

**Digital Marketing Manager**  
Genesis, Keiki

• Developed and scaled Facebook advertising campaigns achieving positive ROMI on monthly ad spend exceeding $50,000
• Partnered with content manager to create engaging content that drove campaign performance
• Leveraged performance metrics analysis to inform strategic marketing decisions and optimize ROI

**Marketing Project Manager**  
Silpo

• Led end-to-end planning, execution and monitoring of marketing projects from conception to completion, ensuring on-time delivery
• Directed cross-functional collaboration across IT, Design and Operations teams to achieve business objectives
• Created marketing assets for multiple channels including website, targeted advertising, social media, Viber and email campaigns
• Oversaw video production delivering 2 successful assets
• Developed comprehensive recipe database content portfolio of 170+ recipes
• Led development coordination for ""Recipes Silpo"" product initiative

**Brand Manager**  
Red Bull

• Architected social media strategy to strengthen brand presence and audience engagement
• Supported organization and execution of brand activation events
• Executed marketing research to drive brand strategy and initiatives
• Managed and evaluated 437 applications for Red Bull Basement 2021 program

**Volunteer Project Coordinator**

• Produced content for website and social media channels
• Led and coordinated 8-member core team to achieve organizational goals
• Built strategic partnership networks connecting companies, universities and students
• Sourced and secured partners while managing ongoing stakeholder relationships
• Monitored and analyzed event performance metrics to measure impact

**ADDITIONAL PROJECTS**

• Authored complete website copy for Lynksen

**EDUCATION**

Genesis Marketing School"
9546,"# PROFESSIONAL SUMMARY

Results-driven Project Manager with 7+ years of experience in IT startups and event management. Proven track record building and leading teams of up to 25 people, managing full-cycle projects with budgets up to 5 million UAH, and delivering complex initiatives for major corporate clients including Metro Cash & Carry, Kyivstar, Metinvest, and Intersport. Expert in stakeholder communication, budget management, and cross-functional team coordination. Committed to continuous professional development through 2-3 educational programs annually in psychology, marketing, brand and product management, philosophy, and technologies. Strong analytical and interpersonal skills with expertise in conflict resolution and mediation.

---

# PROFESSIONAL EXPERIENCE

**Event Project Manager**  
*Ant Hill Event Agency, Kyiv, Ukraine*  
*03/2020 - 10/2021*

Directed full-cycle BTL, marketing, and technology projects for major corporate clients including Metro Cash & Carry, Kyivstar, Metinvest, and Intersport.

- Launched innovative online production project for Metro Cash & Carry featuring interactive cooking master classes for professional chefs
- Orchestrated 500+ attendee conference for Metro chefs and partners at Odessa Dramatical Theater during quarantine, featuring world-renowned chef master classes and industry lectures
- Directed two-month multi-city sports olympiad for Metinvest across 5 locations
- Secured Kyivstar contracts through competitive tender process with winning proposals exceeding 5 million UAH in total project value
- Executed nationwide BTL campaigns for Metro Cash & Carry
- Managed end-to-end project delivery from concept through execution
- Developed budgets, prepared bids, and delivered client presentations
- Coordinated turnkey project implementation including design oversight, production coordination, and technical support

**Business Assistant to CEO**  
*07/2022 - 09/2022*

- Developed company strategy and communication frameworks
- Designed and implemented business processes across departments
- Led and managed 5-person sales team
- Created and executed marketing strategy
- Coordinated cross-functional teams including designers, developers, copywriters, and HR

**Co-Owner & COO**  
*Event Agency ""Believe in you"", Kyiv, Ukraine*  
*03/2019 - 09/2019*

- Drove client acquisition, partner development, and investor relations
- Managed budgets, financial planning, and company documentation
- Oversaw website development and brand identity design
- Directed event operations and team management

**Project Manager & COO**  
*TAG (Ukrainian Startup), Kyiv, Ukraine*  
*03/2016 - 12/2018*

- Built complete development team from scratch under constrained budget conditions
- Successfully led startup from conception to pre-launch stage
- Presented company at London Road Show for international investors in 2018
- Recruited, hired, and onboarded employees to build development team from ground up
- Managed team operations, resource allocation, and full-cycle project and product management
- Oversaw budgeting and comprehensive project documentation
- Prepared detailed reports for product development milestones
- Represented company at international exhibitions, road shows, and investor presentations

---

# CORE COMPETENCIES

**Project & Team Leadership**
- Team Building & Leadership (up to 25 people)
- Full-Cycle Project Management
- Talent Acquisition & Interviewing
- Crisis Management & Volunteer Team Management

**Financial & Strategic Planning**
- Budget Management & Financial Planning
- Zero-Budget Project Execution (investor attraction, fundraising, strategic partnerships, barter arrangements)

**Communication & Collaboration**
- Public Speaking & Presentations
- Conflict Resolution & Mediation
- Stakeholder & Client Relationship Management
- Cross-Functional Team Coordination

---

# TRAINING & SPEAKING EXPERIENCE

- Designed and delivered training program: ""How to Pass Interview"" for IT beginners
- Designed and delivered training program: ""Dream Team - Myth or Reality?"" for IT beginners

---

# CAREER OBJECTIVES

Seeking Project Manager role in IT development or Event Manager position. Open to junior-level positions to refresh and advance IT PM expertise with clear growth trajectory. Seeking collaborative, positive team environments focused on developing meaningful products.

I do not work with companies that cooperate with russia or have russians among their employees.

---

# LOCATION & AVAILABILITY

Based in Lodz, Poland"
9547,"# PROFESSIONAL EXPERIENCE

**Philip Morris Ukraine - Brand Executive, Marketing**
*2 years*
- Launched L&M Double Mix new product with full marketing support, achieving share of market target
- Provided continuous marketing support for Parliament brand
- Launched Hostess Project twice, generating 20K consumer contacts per month with full-support execution

**Philip Morris Ukraine - Project Manager Specialist, HR**
*2 years*
- Launched Philip Morris Business Academy with nationwide roll-out, achieving NPS of 90%
- Launched nationwide internship program, increasing graduate retention from 50% to 70%
- Launched global internship program, achieving 80% graduate retention rate
- Led EVP roll-out, adapting global Employee Value Proposition to local market demands
- Developed and implemented Employee Ambassador program

**Philip Morris Ukraine - Customer Care, Sales**
*8 months*
- Delivered customer care and sales support operations

**Nestle Ukraine - Purchasing Department**
*6 months*
- Supported purchasing department operations

# CAREER OBJECTIVES

Seeking challenging projects with ownership in a friendly and open-minded team environment

# KEY COMPETENCIES

- Product launch and brand management
- Program development and implementation
- Cross-functional collaboration across marketing, HR, and sales
- Strategic planning and execution
- Stakeholder engagement and retention improvement"
9583,"# PROFESSIONAL SUMMARY

Results-driven leader with proven track record in scaling operations from concept to national implementation. Demonstrated expertise in building and managing teams, optimizing procurement systems, and delivering technology integration projects in retail and educational sectors. Committed to organizational growth and operational excellence through solution-oriented leadership and continuous improvement.

# CORE COMPETENCIES

**Leadership & Strategy:** Team Leadership & Management | Project Development from Inception | Remote Team Management | Cross-Functional Team Building | Strategic Oversight

**Operations & Finance:** Financial Management | Budgeting & Financial Planning | Procurement & Sales | Transaction Support | Procurement System Optimization

**Business Functions:** Human Resources & Recruitment | Information Analysis & Structuring | Document Preparation

**Project Delivery:** Technology Integration | Operations Scaling | Implementation Management | System Development

# PROFESSIONAL EXPERIENCE

**Project Manager** – Distance Selling System
- Developed and scaled distance selling system from inception to national coverage

**Manager / Head of Department** – Construction Supermarket Network
- Organized and managed procurement system across retail network

**Director** – Scientific Institution
- Provided operational management and strategic oversight

**Private Business Owner** – Electronic Diary Project
- Implemented ""Electronic Diary"" system in schools of Kharkiv"
9587,"**PROFESSIONAL CERTIFICATIONS**
• Project Management Professional (PMP)
• IPMA Level C
• ITIL Foundation
• Microsoft Certified Technology Specialist (MCTS)

**PROFESSIONAL EXPERIENCE**

**Project Manager – Internal, National, and International Projects and Project Portfolios**
• Successfully delivered 40+ projects utilizing Waterfall and Agile methodologies (Scrum, XP) across diverse project environments
• Managed project portfolios and led cross-functional teams to achieve strategic objectives
• Analyzed, designed, implemented, and optimized business processes and IT services to drive operational efficiency
• Developed and refined IT processes and procedures to enhance service delivery
• Deployed and implemented production automated systems to streamline operations
• Implemented and supported IT services based on Microsoft products including Exchange, Active Directory, System Center, SharePoint, and SQL
• Deployed and adapted ITIL best practices to improve IT service management
• Applied CobIT standards and ISO frameworks to ensure compliance and quality
• Planned and organized telecommunications networks to support business requirements
• Continuously advanced expertise in project management, business analytics, quality assurance, and IT administration

**CORE COMPETENCIES**

Project Management | Project Portfolio Management | Waterfall Methodology | Agile Methodologies (Scrum, XP) | Cross-Functional Team Leadership | Business Process Management | IT Service Management | ITIL Best Practices | CobIT Standards | ISO Frameworks | Systems Deployment & Implementation | Microsoft Technologies (Exchange, Active Directory, System Center, SharePoint, SQL) | Telecommunications Network Planning | Business Analytics | Quality Assurance | IT Administration"
12037,"# PROFESSIONAL SUMMARY

Results-driven IT professional with 10+ years of experience delivering web, mobile, and desktop applications. Proven expertise in business analysis, project management, and quality assurance with demonstrated ability to drive productivity improvements and enhance customer satisfaction.

# CORE COMPETENCIES

**Business Analysis & Project Management**
• Requirements elicitation and software requirements development
• Team leadership and cross-functional stakeholder management
• Strategic planning and process optimization
• Data analysis, reporting, and business intelligence
• Agile and waterfall project methodologies

**Quality Assurance & Testing**
• Test plan development and execution
• Functional, access control, and cross-browser compatibility testing
• Performance and load testing
• Database-driven and installation testing
• Cross-platform operating system testing

**Technical Skills**
• Programming Languages: C, C++, Python
• Databases: MySQL, Oracle SQL
• Analytics Tools: IBM SPSS
• Infrastructure: VMWare virtualization, Linux administration
• Deployment & Environment Management: test and production environments
• Project Management Platforms: Jira, Asana, Trello, Trac
• Microsoft Office Suite: Advanced proficiency

**Industry Expertise**
• eCommerce solutions
• Social media management and Google Ads campaign management
• Search Engine Optimization (SEO)
• Game development

**Training & Development**
• Curriculum design, materials creation, and delivery

# PROFESSIONAL EXPERIENCE

**Business Analyst**
MS Dynamics CRM Project for Advertisement Company

• Led business analysis for the largest CRM implementation project in Siberia (2011)
• Delivered 30%+ productivity increase and improved customer loyalty metrics
• Project recognized and featured by Microsoft as a success case

# AWARDS & RECOGNITION

First Prize Winner, ""Startup Business Ideas"" Competition, Istanbul, 2019"
12116,"# PROFESSIONAL EXPERIENCE

**Business Analyst & Project Manager**

Results-driven Business Analyst and Project Manager with over 8 years of experience in business analysis and business administration of IT systems and services in 2 of the largest international banks.

## Key Achievements

- Led 2 successful Oracle Hyperion Planning implementations in 2 TOP 10 Ukrainian banks

## Core Responsibilities

- Conducted business analysis and administered budgeting processes and financial reporting systems
- Developed technical documentation including business requirements, functional requirements, and user guides
- Served as business and technical specialist on Oracle Hyperion implementation projects
- Developed test cases, executed testing procedures, and managed bug tracking and resolution
- Provided development and support for SAP ERP system modules: HR, LSO, TMC, Portal, and Performance
- Implemented IT-Enterprise ERP system as business analyst for HR modules (Performance and Payroll) and E-Documentation

## Technical Skills

Business Analysis | Project Management | Agile | Redmine | Jira | Oracle Hyperion Planning | MDX | SAP ERP | IT-Enterprise ERP"
12122,"# PROFESSIONAL EXPERIENCE

**Business Process Engineer Lead**
2022-02 – 2022-09

• Led implementation team of 17.5 FTE across multiple concurrent projects
• Planned and allocated resources to align with project requirements, timelines, and business needs
• Monitored project progress and timelines in collaboration with internal stakeholders
• Prepared comprehensive reports for internal stakeholders
• Ensured quality standards for services delivered to internal and external parties
• Organized and conducted internal training sessions
• Initiated process improvement initiatives to enhance operational efficiency
• Created and maintained internal documentation and knowledge repositories

**Solution Engineer for EMEA, APAC, LATAM and NA**
2019-09 – 2022-01

• Defined and analyzed data and system requirements for diverse client portfolios across four regions
• Designed tailored solutions based on client demands and system functionalities
• Supported Business Analysts in interpreting complex business rules and client requirements
• Initiated and supported strategic internal projects
• Developed comprehensive project documentation for internal and external users
• Organized, conducted, and participated in webinars for stakeholder engagement

**Project Manager for EMEA, APAC and NA**
2018-02 – 2019-08

• Managed multiple concurrent implementation projects for multi-national clients across three regions
• Developed detailed project plans and aligned deliverables with internal and external parties
• Provided regular project updates to internal and external stakeholders
• Ensured on-time project delivery and adherence to quality standards
• Developed project documentation for internal and external users
• Organized, conducted, and participated in webinars for client communication

**Implementation Specialist**
2014-07 – 2018-01

• Analyzed requests and data for new carrier implementations including rate cards, shipment data files, and business rules
• Implemented new providers to online platform ensuring seamless integration
• Led final testing stage of implemented logics to ensure accuracy
• Organized, conducted, and participated in webinars for training and knowledge transfer
• Created and maintained internal documentation for IT departments
• Developed internal and external documentation for project handover to Operations
• Prepared detailed reports for external users
• Collaborated with Operations and IT departments to streamline workflows
• Optimized existing processes to improve efficiency
• Conducted internal training sessions

**Data Analyst**
2012-10 – 2014-06

• Prepared analytical reports for external users
• Led final testing stage to validate data accuracy
• Analyzed rate cards and managed their implementation to online platform
• Updated and maintained internal and external documentation"
12124,"# PROFESSIONAL SUMMARY

Business Analyst and Project Manager with more than 20 years of experience in business analysis, project management and process automation across international companies. Expertise in Payment technologies, Finance, B2B sales, and IT Service Management. Proven track record of organizing effective communication between IT and business units for development, implementation and support of new systems and enhancements. Business Analyst position preferred, with capability for partial Project Management responsibilities.

# CORE COMPETENCIES

- Business Process Definition and Optimization
- Requirements Gathering and Documentation (BRD, SRS, Vision, Project Profile)
- Process Automation and Implementation
- Stakeholder Management and Facilitation
- Project Management (PMBOK and Agile methodologies)
- API Integration Development
- CRM System Implementation (Bitrix24, Microsoft Dynamics)
- Team and Department Management (up to 100 employees)
- Business Development and Project Discovery

# PROFESSIONAL EXPERIENCE

## Banking

**SWIFT Payments Implementation – Mobile Banking Application**
- Collected functional and non-functional requirements and coordinated with business units
- Prepared Software Requirement Specification (SRS)
- Developed and tested Camunda process, ESB and OKD services

**Mortgage Loan Process Automation**
- Automated mortgage loan process workflow and developed customer forms
- Integrated mortgage loan process with Diia API
- Developed and tested integration microservice

**POS-Terminal Software Development**
- Developed POS-terminal software for VISA and MasterCard international payment systems
- Achieved EMV certification

**Payment Cards System**
- Implemented and administered local payment cards system

## B2B Sales

**Sales and Delivery Process Automation**
- Defined business processes and approved Business Requirements Document (BRD) with business owner
- Automated processes in Bitrix24 CRM

**HR Process Implementation**
- Defined onboarding, dismissal and vacation processes
- Approved BRD with HR Director
- Implemented processes in Bitrix24 CRM

## IT Service Management

**Service Delivery Process Automation**
- Created, described and implemented Service Desk system processes based on Microsoft Dynamics CRM

**Service Desk Integration**
- Created, described and implemented integration protocol in API
- Integrated Service Desk system with customer issue tracking systems

# LEADERSHIP EXPERIENCE

- Managed project teams up to 15 employees and departments up to 100 employees
- Supported and facilitated gathering of business needs and objectives to evaluate new or enhanced functionality
- Participated in business development and project discovery phases"
12141,"# PROFESSIONAL EXPERIENCE

**Head of Outgoing Volunteer Exchanges**
AIESEC in Kharkiv
*Current Position*

- Manage department of 13 people within Executive Board team
- Analyzed organizational state and developed departmental strategy aligned with operational goals
- Adapted strategy and team structure for changing operational environment

**Team Leader, Professional Exchanges Promotion**
AIESEC
*Previous Role*

- Led team that doubled monthly LEAD generation within one month
- Managed marketing initiatives during organizational transition
- Balanced team leadership with university coursework and personal commitments

# EDUCATION

**Kharkiv Polytechnic University**

# PROJECTS

**Realistic Interference Pattern Generation**

- Defined technical requirements and conducted domain research
- Developed comprehensive project documentation
- Implemented and adapted algorithms for pattern generation

**Business Analysis Team**

- Facilitated stakeholder communication with customers and professors
- Developed technical requirements and specifications
- Designed application prototype using Figma

# SKILLS

**Technical:** Algorithm development, technical documentation, prototyping (Figma)

**Management:** Team leadership (13+ members), strategic planning, marketing, product management, time management

**Core Competencies:** Stakeholder communication, requirements analysis, cross-functional collaboration, adaptive problem-solving

# CAREER OBJECTIVE

Seeking Business Analyst or Project Manager position to leverage technical background from university and managerial experience from AIESEC within an IT environment"
