,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5
98390,"# UX/UI Designer

## Professional Experience

**Team Leader | BudgetStay Project**
Led a team of designers in developing a comprehensive web service interface for accommodation booking, encompassing couch surfing and budget lodging options. Architected Main User Flow supporting dual account types (free and premium) alongside secondary flows for three distinct host categories. Delivered fully responsive design across desktop, tablet, and mobile platforms with interactive desktop prototype.

**Team Leader | Sensual Temple**
Leading end-to-end development of a responsive landing page for a wellness salon. Crafting an engaging online presence optimized to drive client acquisition across all device platforms.

**Team Leader | FoodieFinder**
Spearheading mobile application design for restaurant discovery and table reservation platform, delivering intuitive dining search and seamless booking experiences.

---

## Independent Projects

**India Cafe | Website Redesign**
Executed complete website redesign for an Indian restaurant in Pennsylvania, USA. Developed modern, user-centered design featuring new page architecture, photo integration, comprehensive menu display, and table reservation functionality. Delivered responsive design across all platforms with interactive desktop prototype.

**Citroen 4 | Landing Page Concept**
Designed conversion-focused concept landing page for Citroen 4 in Ukraine, centered on test drive booking functionality.

---

## Skills
- UX/UI Design
- Responsive Design (Desktop, Tablet, Mobile)
- Prototyping
- User Flow Development
- Team Leadership

---

## Career Objective
Seeking to join a collaborative team implementing modern projects that create meaningful connections between service providers and their clients."
98391,"# PROFESSIONAL SUMMARY

Detail-oriented designer with 15 years of teaching experience in computer science, specializing in raster and vector graphics, 3D modeling, and programming languages. Proven ability to develop curriculum incorporating industry-standard design software. Passionate about learning and applying new technologies. Seeking a collaborative, motivated team to contribute to and grow with.

---

# SKILLS

**Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator, CorelDRAW, ProtoPie, Canva

**Competencies:** Website Redesign, Adaptive Design, Mobile Application Design, Landing Page Design, User Research, Persona Development, User Flow Design, Moodboard Development

---

# EXPERIENCE

**Computer Science Teacher**
*15 Years*

- Instructed students in raster and vector graphics, 3D modeling, and programming languages
- Developed curriculum incorporating industry-standard design software

---

# PROJECTS

**Veterinary Clinic ""Aibolit"" — Website Redesign**

- Conducted problem analysis and user research
- Created interface prototype and visual style
- Delivered modern, user-friendly design to attract potential customers
- Completed full design cycle from research through final delivery

**""Coffee Time"" — Mobile Application**

- Conducted problem analysis and user research
- Created interface prototype and visual style
- Designed scan-and-pay functionality enabling customers to bypass checkout queues
- Completed full design cycle from research through final delivery

---

# EDUCATION

Graphic Design Studies"
98392,"# [Your Name]
[Contact Information]

## Professional Summary
UI/UX Designer specializing in user-centered design solutions for websites and web services. Skilled in full-stack design processes, from UX research and competitor analysis to wireframing and final implementation.

## Skills
UI/UX Design • UX Research • Competitor Analysis • Wireframing • Website Redesign • Information Architecture

## Projects

### VISIT | Web Service Design
- Designed comprehensive web service enabling users to organize trips throughout Ukraine
- Conducted UX research and competitor analysis to inform design decisions
- Developed wireframes and functionality based on research findings
- Identified unsuccessful solutions from existing platforms to optimize user experience

### Poltavski Galyshki | Website Redesign
- Redesigned website for local café to improve usability and user experience
- Restructured site architecture through clear section organization
- Integrated service information, photography, and contact details

### Independent Projects
- Completed 2 additional pet projects demonstrating self-directed design initiative

## Education
**UI/UX Design Program**
Online IT School | 8 Months

Coursework: Landing Page Design • Website Design • Web Service Development • Site Element Design"
98393,"# PROFESSIONAL RESUME

## EDUCATION

**H.S. Skovoroda Kharkiv National Pedagogical University**
Faculty of Art and Graphics — Ad Designer

## PROFESSIONAL EXPERIENCE

**Layout Designer** | 10+ Years

- Developed layouts for books, magazines, and posters
- Created page designs and visual compositions
- Sourced, processed, and created vector illustrations
- Selected and edited bitmap images
- Compiled collages and visual elements
- Prepared products for print production

## PROFESSIONAL DEVELOPMENT

**Mobios School** | Sep 2021 — Dec 2021
UX/UI Web Design + Mobile Design

**CURSOR Education** | Feb 2021 — Jul 2021
UI/UX Designer

**Source IT** | Feb 2015 — Apr 2015
HTML Layout

## UX/UI SKILLS

- UX Research
- Customer Journey Mapping
- Information Architecture
- Wireframing
- UI Design
- Web Design
- Mobile App Design

## PROJECT EXPERIENCE

Developed comprehensive UX/UI project encompassing full design lifecycle:
- Conducted client interviews and competitor analysis
- Performed SWOT analysis
- Created UX Personas and Customer Journey Maps
- Designed information architecture
- Produced wireframes and final design execution"
98394,"# PROFESSIONAL SUMMARY

Graphic designer with one year of freelance experience and award-winning background in print publication design seeking to transition into UX/UI design. Combines expertise in visual design and illustration with a foundation in UX research, wireframing, and prototyping.

---

# PROFESSIONAL EXPERIENCE

**Freelance Graphic Designer**
*One Year*

- Designed print publications and illustrations for clients
- Created visual assets using Adobe Photoshop and Adobe Illustrator

---

# EDUCATION & CERTIFICATIONS

**Google UX Design Professional Certificate** — Coursera
- Completed training in UX research, wireframing, and prototyping
- Developed comprehensive case study

**Introduction to Software Product Management** — University of Alberta

**Fundamentals of Graphic Design** — California Institute of the Arts

---

# AWARDS

**Diploma of the II Degree** — Sixth All-Ukrainian Student Olympiad in Design of Publishing and Printing Production

---

# SKILLS

**Design Tools:** Adobe Photoshop, Adobe Illustrator

**UX/UI:** UX Research, Wireframing, Prototyping

**Visual Design:** Print Publication Design, Illustration"
98395,"# UI/UX DESIGNER

## Professional Summary

Dedicated UI/UX Designer with freelance experience and comprehensive training in design principles, user research methodologies, wireframing, prototyping, and interaction design. Skilled at managing projects independently, meeting deadlines, and delivering design solutions that enhance user experience and drive measurable improvements in conversion rates.

## Professional Experience

**Freelance UI/UX Designer** | 6 Months

- Designed custom user interfaces tailored to diverse client needs and business objectives
- Translated client requirements into actionable design strategies through targeted user research
- Developed information architecture and interactive prototypes to validate design concepts
- Executed user experience testing to identify pain points and optimization opportunities
- Refined designs through iterative processes incorporating stakeholder and user feedback
- Partnered with development teams to ensure seamless implementation and quality delivery
- Produced distinctive design solutions that elevated user experience and boosted client conversion rates

## Education & Training

**UI/UX Design Courses** — Successfully Completed

- Design principles and interaction design
- User research methodologies
- Wireframing and prototyping
- Individual and collaborative design projects
- Recognized by instructors and peers for attention to detail, creativity, and thoughtful incorporation of user feedback

## Skills

User Interface Design | User Experience Design | User Research | Information Architecture | Prototyping | Wireframing | Client Communication | Project Timeline Management | Cross-functional Collaboration | Iterative Design Processes

## Professional Development

Active participant in self-study, webinars, and design communities, maintaining current knowledge of industry trends, tools, and emerging design practices."
98396,"# UI/UX Designer

## About Me

Ukrainian designer bringing originality, creativity, and a unique perspective to every project.

## Skills

**Design Tools:** Figma (components, variants, auto layout, constraints), Photoshop, Illustrator, After Effects, Webflow

## Projects

**Multiplex Cinema Network Application Improvement**
Conducted comprehensive UX research for Ukraine's cinema network and proposed solutions to address key usability issues.

**Roofing Materials Plant Website Redesign**
Transformed an outdated multi-page website into a modern, user-friendly landing page with streamlined structure and improved functionality.

**Board Games Online Store**
Developed an e-commerce platform incorporating AI elements into the design workflow.

**Tea Studio Landing Page**
Designed a stylized website combining essential studio information with aesthetic and cultural appeal to engage potential clients.

## Professional Development

Eleven months of dedicated UI/UX design training and practice. Committed to continuous growth and skill advancement in web design."
98397,"# PROFESSIONAL SUMMARY

UI/UX Designer with front-end development knowledge and a background in illustration. Skilled at bridging the gap between design and development, with understanding of how developers think. Passionate about combining art, design, and front-end development.

# TECHNICAL SKILLS

**Front-End Development**
HTML5 | CSS3 (Responsive & Adaptive Design) | SASS/LESS | Flexbox | Bootstrap | JavaScript | React.js (Component Splitting & Development Preparation) | GIT

**Design Tools**
Figma | Adobe Photoshop | Adobe Illustrator | Adobe InDesign | Procreate

# EXPERIENCE

**Freelance Illustrator & Designer**

- Created commissioned illustrations and portraits for diverse client base
- Developed 2D characters for training videos in remote collaboration environment
- Managed end-to-end client relationships from initial consultation through project delivery
- Balanced multiple concurrent projects while maintaining consistent daily workflows and meeting deadlines

# CAREER OBJECTIVE

Seeking to develop expertise in UI/UX design, leveraging combined skills in art, design, and front-end development."
98398,"# Professional Summary

Detail-oriented designer passionate about solving complex problems through thoughtful design and creating simple, intuitive, user-friendly interfaces. Experienced in executing the complete design process from initial research through final delivery.

---

## Skills

**Design**
User Experience Design | User Research | User Flows | Wireframing | Prototyping | Animation | 3D Modeling

**Tools**
Figma

---

## Experience

**Freelance Designer**

- Design clean, intuitive interfaces with a focus on simplicity and usability
- Develop interactive prototypes and animations in Figma
- Execute end-to-end design processes including user research, user flows, wireframes, and prototyping

---

## Additional Interests

3D Modeling"
98399,"# Resume

## Professional Experience

**UI/UX Designer Intern**
6-Month Internship
- Completed comprehensive internship program in user interface and user experience design

**Translator**
Marriage Agency
April 2023 - August 2023
- Provided professional translation services facilitating client communications

**Assistant Architect**
June 2022 - August 2022
- Developed architectural layouts utilizing computer-aided design software
- Produced detailed project plans and technical drawings for architectural projects

**Freelance Artist**
January 2019 - August 2021
- Created custom paintings, portraits, and logos for diverse clientele
- Managed client relationships from initial consultation through project delivery
- Delivered commissioned artwork meeting individual client specifications"
98400,"# PROFESSIONAL RESUME

## Skills

**Design & Development**
Adobe Photoshop | Figma | Zeplin | Webflow | Web Design & Development

**Creative**
Graphic Design | Photography | Content Creation | Visual Storytelling

## Professional Experience

**Freelance Graphic Designer | Hilding Company**
- Develop brand storytelling and cohesive visual identity systems
- Design custom icons and graphics for Amazon store product listings

**Content Creator & Photographer | Sport Clothing Shop**
- Create visual content and photography for marketing materials

**Photographer | Restaurant**
- Produce professional photography for promotional campaigns

## Volunteer Experience

**BookForum & Children BookForum**
- Support literary events and programming initiatives

**International Exchange Programs**
- Participate in cross-cultural exchange initiatives"
98401,"# Professional Experience

**Freelance, Implants & Surgeons**
Web Designer | UI/UX Designer
2022 – 2023

- Partnered with an IT company to design online stores, service platforms, and landing pages
- Developed and refined UX processes to enhance user experience
- Executed manual UI/UX testing to ensure design quality and functionality

**Famart Group**
Web Designer | UI/UX Designer
2021 – 2022

- Designed and developed a comprehensive e-commerce platform for product sales
- Created compelling website designs and advertising banners to drive engagement
- Performed professional photo retouching to elevate website content
- Optimized UI/UX and client flow to improve conversion and user satisfaction"
98402,"# PROFESSIONAL SUMMARY

Project and Product Manager with four years of experience, having simultaneously managed 74 projects across websites and mobile application development. Comprehensive expertise spanning all stages of the development lifecycle. Currently transitioning to UI/UX Design with formal training and professional experience.

---

# EXPERIENCE

**UI/UX Designer | Freelance**
- Designed high-converting landing pages for diverse client industries
- Created e-commerce and online store experiences optimized for user engagement
- Developed interactive prototypes to validate design concepts
- Built responsive website layouts on Tilda
- Crafted logos and cohesive corporate identity systems
- Produced business cards and advertising banners aligned with brand standards

**UI/UX Designer | Netpeak Group**
- Designed blog and review websites spanning multiple content verticals
- Developed landing pages on Tilda platform
- Created distinctive logo designs

**Project/Product Manager | Netpeak Group**
- Led cross-functional teams delivering mobile applications and websites
- Owned end-to-end workflow: technical specifications, prototyping, design, development, testing, and production deployment
- Executed manual product testing to ensure quality standards
- Served as central liaison between project stakeholders, streamlining communication
- Facilitated Agile ceremonies including retrospectives, backlog grooming, and planning poker
- Developed prototypes to align team vision and stakeholder expectations
- Leveraged analytics platforms including Google Analytics and AppsFlyer to inform decisions
- Conducted competitive analysis using App Annie, Alexa, and Sensor Tower

---

# EDUCATION

**Projector School**
- Completed four design courses

---

# LOOKING FOR

Meaningful projects within a mission-driven company focused on professional development and organized management processes."
1747,"# PROFESSIONAL SUMMARY

Self-employed entrepreneur with 8 years of experience in business development. Founded and successfully exited a chain of coffee shops. Established an export-oriented manufacturing operation utilizing 3D printing technologies.

---

# SKILLS

**Project & Operations Management**
- Prioritization and goal setting
- Project planning and organization
- Budget management
- Delegation and performance monitoring
- Agile methodologies: Scrum, Kanban, Waterfall

**Technical**
- Game design fundamentals with proficiency in UE4 and Unity
- Blender: modeling, UV mapping, animation
- Linux node operations

**Leadership & Communication**
- Team management and coaching
- Stakeholder consensus building
- Customer and user needs identification
- Risk management

**Analytical**
- Critical thinking and decision-making
- Time management

---

# LANGUAGES

English – Intermediate (B1)"
1784,"# Professional Experience

## 3D Artist
- Crafted visually compelling 3D models and animations, applying creative and technical expertise to produce realistic visual content for diverse projects

## Graphic Designer
- Developed compelling design solutions and created visual assets tailored to diverse project requirements

## Videographer & Video Producer
- Captured and edited high-quality video content, producing impactful visual narratives with meticulous attention to detail

## Digital Marketing Specialist
- Strategized and executed marketing campaigns utilizing digital tools and platforms to drive engagement, enhance brand awareness, and generate leads

## Event Organizer
- Organized music art festival in Azerbaijan, showcasing regional music culture
- Contributed to DokuBaku International Documentary Film Festival, supporting the promotion of documentary filmmaking

## Startup Experience
- Thrived within fast-paced, dynamic startup environments, cultivating versatile skills and an entrepreneurial mindset

---

**Core Competencies:** 3D Art | Graphic Design | Video Production | Digital Marketing | Event Management | Startup Operations"
2476,"# Client Success Manager

## Professional Profile

Dedicated to partnering with expert teams on IT projects that transform merchant businesses and elevate eCommerce capabilities. Skilled communicator who leads and supports engineering teams while removing project obstacles. Proven ability to build trusted, lasting client partnerships.

## Professional Experience

**Client Success Manager**

Directed health and growth of large US-based enterprise accounts, managing 3–4 accounts simultaneously with 30–50 dedicated engineering professionals across multiple teams. Developed strategic improvements, built high-performing engineering teams, and established processes and strategies that drove account expansion and team growth. Mentored professionals who advanced to become engineers and solution architects while cultivating a culture of mutual learning and development.

**Key Achievements**

- Expanded partnerships with existing clients through strategic roadmaps aligned with client goals
- Built and coached high-performing engineering teams across multiple engagement models
- Managed full client relationship lifecycle from initiation through expansion
- Led opportunity initiation process, including proposal and SOW development
- Delivered executive reporting and business reviews to enterprise stakeholders
- Conducted project scope analysis with proactive risk and issue management
- Mentored professionals who advanced to engineer and solution architect roles

## Technical Expertise

- Software development methodologies and lifecycle management
- Platform experience: Salesforce, IBM WebSphere, Magento"
2515,"**PROFESSIONAL SUMMARY**

Experienced professional with a strong background in client relationship management, project coordination, and cross-functional collaboration. Proven ability to maintain long-term business partnerships while driving sales and retention outcomes. Seeking to leverage expertise toward a project management career path.

---

**KEY COMPETENCIES**

- Client Relationship Management & Retention
- Project Coordination & Implementation
- Cross-Functional Team Collaboration
- Issue Resolution & Troubleshooting
- Sales Documentation & Contract Administration

---

**PROFESSIONAL EXPERIENCE**

- Built and maintained trustful, long-lasting business relationships with clients
- Coordinated client onboarding and integration projects with online platforms and services
- Troubleshot and resolved customer issues efficiently
- Liaised with development teams to ensure project alignment and delivery
- Executed sales and retention activities to support business growth
- Managed sales documentation including agreements, contracts, and invoices

---

**TECHNICAL PROFICIENCIES**

Zoho | Jira | Confluence | SAP | 1C"
2517,"**PROFESSIONAL EXPERIENCE**

**Project & Client Relationship Manager**

- Directed up to 15 concurrent projects simultaneously, orchestrating workflow processes, timelines, and deliverables to ensure successful completion
- Analyzed client needs to deliver customized solutions, driving revenue growth through strategic cross-selling and upselling initiatives
- Built and nurtured long-term client relationships, serving as the primary point of contact for key stakeholders
- Delivered regular progress updates to stakeholders while proactively identifying and mitigating potential issues and risks
- Managed the full sales cycle from lead generation to close, encompassing inbound inquiry management and outbound prospecting efforts
- Crafted and presented compelling proposals, negotiated contract terms, and executed client agreements"
2529,"# Professional Summary

Analytical professional seeking challenging opportunities that foster growth and development. Committed to building mutually respectful, honest relationships that enable all parties to achieve optimal results.

# Core Competencies

- Communication
- Teamwork
- Project Management

# Work Experience

Held multiple positions with a consistent focus on communication, teamwork, and project management.

# Career Objective

Seeking to advance within the fields of communication, teamwork, and project management.

---

Available for contact at your convenience."
2538,"**PROFESSIONAL SUMMARY**

Results-oriented recent graduate with over two years of experience working with Amazon and Asian partners. Expert in market research, supplier negotiation, cost-saving strategy development, and supply chain operations. Demonstrates critical thinking and composure in high-pressure situations.

---

**EXPERIENCE**

**Key Accomplishments**

- Led and closed eBay market expansion project
- Optimized supply chain operations, delivering cost savings through logistics improvements
- Negotiated with Asian suppliers to improve product quality with measurable results
- Managed US re-import process, eliminating duplicate tax payments

**Project Experience**

- Managed strategic projects including marketplace expansion into new countries, product quality improvement initiatives, and supply chain planning
- Prepared legal documentation to maintain platform selling privileges
- Coordinated registration with organizations in the EU
- Completed cross-functional projects requiring rapid acquisition of new knowledge and skills

---

**SKILLS**

Market Research & Analysis | Supplier Negotiation | Cost-Saving Strategy Development | Supply Chain Management | Amazon Marketplace Operations | International Partner Relations | Strategic Project Management"
2551,"# RESUME

## PROFESSIONAL SUMMARY

Results-driven professional with 3+ years of in-house legal experience at an IT Product Company, combining comprehensive SDLC knowledge with deep expertise in Data Privacy, Intellectual Property, Commercial Law, and Contract Law. Proven ability to manage cross-functional relationships, support international clients, and drive legal compliance across diverse business operations. Currently transitioning to Account Management, leveraging strong organizational capabilities, attention to detail, and experience collaborating with global stakeholders.

---

## EXPERIENCE

### Legal Counsel | Benish Group

- Advised internal stakeholders on corporate policy, delivering actionable recommendations to analyze and minimize legal risks across the organization
- Partnered with cross-functional teams—including developers, analysts, marketing managers, and leadership—to implement risk-reduction initiatives
- Managed relationships with customers, business partners, and service providers across multiple jurisdictions
- Drafted and maintained Rules for Provision of Services, Privacy Policies, and Terms of Use in compliance with GDPR
- Contributed to product development and optimization of business processes across the group of companies
- Ensured legal compliance spanning personal data protection, intellectual property, PR/marketing, sales, payments, and consumer rights
- Oversaw contractual activities, including legal review and drafting in accordance with local legislation and internal standards

### Project Manager Assistant | Vayosoft Team

- Managed contracts, RFPs, and RFIs throughout the full procurement cycle
- Supported procurement activities, including supplier negotiations and contractor evaluations per company procedures
- Coordinated team meetings, follow-ups, and action items; prepared reports and presentations for senior leadership
- Contributed to new project development from inception through MVP to ongoing application improvements"
2553,"**PROFESSIONAL SUMMARY**

Results-driven professional with comprehensive experience in business development and project management for outstaff projects. Combines deep IT industry knowledge with proven expertise in people management and full-cycle project delivery. Skilled in building and maintaining B2B relationships with international customers while driving collaborative team environments.

**PROFESSIONAL EXPERIENCE**

**Business Development Manager / Project Manager**

- Led people management initiatives including one-on-one meetings, performance reviews, and sprint process monitoring
- Cultivated a collaborative, positive work environment through effective leadership and team motivation
- Directed full-cycle recruitment for technical and non-technical positions, from candidate interviews through onboarding
- Managed client accounts across ongoing projects, including negotiation and conflict resolution
- Delivered company presentations and prepared estimation documents
- Built and maintained strategic relationships with partner companies
- Provided end-to-end customer support from initial contact through project closure
- Identified and secured outstaff project opportunities
- Prepared comprehensive documentation for outstaff agreements

**CAREER OBJECTIVE**

Seeking a project management position within an outsource company to further develop B2B expertise and collaborate with international customers."
2554,"**PROFESSIONAL SUMMARY**

Results-driven professional with 4 years of B2B international communication and sales experience. Master's degree in Foreign Economics combined with training in Business Analytics and Web & Mobile UI/UX Design. Strong communicator with proven team-building, public speaking, and problem-solving capabilities.

---

**SKILLS**

- B2B Account Management & International Sales
- Team Leadership & Collaboration
- Cross-Cultural Communication
- Oral & Written Presentation
- Business Analysis
- Web & Mobile UI/UX Design & Prototyping
- Agile Methodologies (SDLC)

**TOOLS**

CRM | Figma | Axure RP | Adobe Photoshop | Canva | Trello | Slack | Google Docs | Coggle

---

**EDUCATION & CERTIFICATIONS**

Master's Degree in Foreign Economics

Business Analytics Certificate

Web & Mobile UI/UX Design Certificate

---

**CAREER OBJECTIVE**

Seeking an Account Manager or Junior Project Manager position in the development/design field. Eager to contribute to a collaborative team environment while applying expertise in business solutions, UI/UX design, prototyping, and cross-cultural communication."
2555,"# PROFESSIONAL RESUME

## PROFESSIONAL EXPERIENCE

**Project Manager | EdTech Industry**
*1 Year*

- Directed lead generation, outbound sales, and support operations across multiple business functions
- Drove market expansion initiatives serving secondary and higher education institutions throughout Western Europe and the United States

**Support Team Lead | EdTech Industry**
*5 Years*

- Promoted from Customer Support/Account Manager to team leadership, demonstrating consistent professional growth
- Managed customer support and account management operations serving Western European and US markets
- Built and maintained client relationships across international education sectors

**Sales Assistant | Chemical Raw Materials Distribution**
*5 Years*

- Supported international sales operations within the chemical raw materials distribution sector
- Gained experience working within global company structures and cross-border commercial processes

---

## TECHNICAL SKILLS

**CRM & Business Systems:** IBS, SAP, Zoho, Kommo CRM

**Project Management & Collaboration:** Confluence, Jira

**Design Tools:** Canva

**Programming:** Java programming concepts

---

## CAREER OBJECTIVES

- Seeking a stable position offering long-term professional growth
- Committed to contributing within a collaborative, positive work environment"
2556,"**PROFESSIONAL EXPERIENCE**

**Account Manager**

- Managed client relationships through email correspondence, cold and warm calling, and product demonstrations
- Conducted application testing and created company profiles to ensure optimal platform performance
- Resolved client inquiries and provided ongoing support to maximize product adoption and utilization
- Developed website content including blog posts and tutorials
- Portfolio available upon request

**Sales Support Agent**

- Conducted comprehensive market research and analysis for Ukrainian and Russian markets
- Supported company expansion into Eastern European markets
- Engaged with business owners and representatives to drive B2B sales initiatives
- Maintained accurate reporting and documentation

**Customer Support Agent**

- Resolved thousands of customer service issues for clients across the USA, Canada, and Great Britain
- Delivered support through telephone and email channels, ensuring customer satisfaction
- Managed customer profiles, subscriptions, and processed refunds
- Administered CRM system and performed quality assurance by analyzing outsourced call center performance
- Conducted follow-up calls to verify customer satisfaction and corrected system errors
- Maintained comprehensive reporting and documentation"
2577,"# PROJECT COORDINATOR

## Summary

Results-oriented professional with expertise in workflow optimization, standard operating procedures development, and cross-functional team coordination. Demonstrated success in Salesforce database administration, e-commerce operations management, and driving process improvement initiatives across remote and in-house environments.

---

## Professional Experience

### Project Coordinator | Upwork Premium Services

- Conducted contrastive analysis and reporting to measure and enhance service efficiency
- Delivered comprehensive administrative support to ensure seamless program operations
- Imported, maintained, and ensured accuracy of lead data in Salesforce
- Monitored team activity and generated reports on overdue tasks and tickets to drive accountability
- Resolved high-value escalations from internal teams with timely, effective solutions
- Assessed existing processes, identified inefficiencies, and implemented targeted improvements

### Online Store Project Manager (Remote)

- Optimized workflow efficiency through delivery of high-quality customer service
- Managed high-volume, time-sensitive tasks while maintaining a results-oriented approach
- Administered backend systems and hosting infrastructure to ensure operational continuity
- Managed dedicated servers and delivered first-line technical support
- Coordinated dispatch management and resolved support tickets to maintain service standards

### Talent Agent Admin & Talent Specialist | Upwork

- Sourced and identified high-caliber talent for internal teams and external clients
- Conducted video interviews with freelancers across the Americas, Europe, and Asia
- Created, managed, and tracked Jira tickets to support project workflows
- Optimized operations to improve overall program efficiency and quality
- Developed, maintained, and enhanced SOP documentation to standardize processes

### Magento E-Commerce Project Manager

- Created and assigned tasks to development team, driving UI optimization improvements
- Collaborated with SEO and marketing teams to align project objectives
- Conducted performance review meetings to evaluate progress and outcomes
- Established partnerships with manufacturers and suppliers worldwide
- Managed stock levels, payment configuration, and shipping methods within Magento
- Oversaw order fulfillment, dispatch, refunds, and customer inquiry resolution"
2582,"# [YOUR NAME]
[Contact Information]

## PROFESSIONAL SUMMARY
PhD-level economist combining analytical rigor with hands-on expertise in educational program development, project management, and client relations. Demonstrated success in improving program outcomes, managing concurrent projects under deadline pressure, and guiding products from concept through market launch. Proficient in CRM implementation, data-driven marketing strategy, and cross-functional stakeholder management.

## PROFESSIONAL EXPERIENCE

### Project Manager | Ukrainian Social Academy
*July 2019 – March 2020*
- Spearheaded competitor analysis initiative to shape product positioning and promotional strategy
- Designed depth interview protocols and translated qualitative findings into actionable client insights
- Built comprehensive client personas encompassing segmentation, behavioral patterns, needs analysis, and value proposition mapping
- Architected complete educational program concept including structure, learning objectives, topic sequencing, outcome metrics, and expert selection criteria
- Managed expert partnerships, evaluating proposals and negotiating program enhancements
- Orchestrated cross-team promotion plan development and execution
- Authored marketing content for social media channels
- Prepared and managed product budget projections
- Directed client communications and ongoing needs assessment
- Conducted user testing to optimize company website experience

### Project Manager | EdEra
*April 2019 – May 2019*

### Account & Project Manager | Kyiv-Mohyla Business School [kmbs]
*May 2016 – July 2018*
- Owned Executive Development Programs end-to-end: scheduling, promotion, delivery, retrospective analysis, and continuous improvement
- Simultaneously managed multiple projects while upholding quality standards
- Conducted strategic needs assessments to align program recommendations with client business objectives
- Built lasting client relationships through exceptional service delivery across the program lifecycle
- Partnered cross-functionally with Marketing and Finance teams to ensure seamless execution
- Developed and implemented marketing plans for diverse program portfolio
- Served as school representative at external events, cultivating prospective client relationships
- Analyzed client feedback data to identify and implement product improvements
- Presented program retrospectives and strategic recommendations to senior leadership
- Mentored new team members on departmental processes and systems
- Created content and concepts for promotional materials and communications
- Administered company website and learning management system platforms
- Contributed to CRM analytics strategy and system development

**Key Achievements:**
- Redesigned medium-term program structure, resulting in improved participant comprehension and enhanced ability to implement business changes
- Selected for CRM implementation team; led testing, bug reporting, and user interface design aligned with departmental workflows
- Appointed to graduation project evaluation commission for medium-term program

### Intern | Presidential Administration of Ukraine
*November 2014 – July 2015*
USAID Rada Program & Liga Interniv

## EDUCATION
**PhD in Economics (Candidate of Economic Sciences)** — 2018

**IELTS Academic** — Score: 7.0 (2014)

## PROFESSIONAL DEVELOPMENT
**Coursera Certifications:**
- An Introduction to Marketing
- Critical Perspectives on Management
- Critical Thinking in Global Challenges
- A Beginner's Guide to Irrational Behavior
- Games without Chance: Combinatorial Game Theory
- Fundamentals of Global Energy Business"
2583,"**PROFESSIONAL SUMMARY**

Account and digital marketing professional with over 4 years of experience in B2B/B2C environments, specializing in AdTech and Crypto products. Proven expertise in email marketing, communications, and digital marketing project management. Excels in fast-paced environments alongside high-performing teams while tackling complex challenges. Seeking opportunities in project management or retention management with a focus on user retention and product development.

---

**PROFESSIONAL EXPERIENCE**

**Account Project Manager**
Genesis – Sendios.io

- Redesigned and optimized the account flow for client task management, improving workflow efficiency across the entire team

**Product Manager**
Coreteka

- Led the successful launch of the redesigned company website

**Sales and Account Manager**
BitMedia

- Drove 20% growth in advertiser spend across the entire network
- Implemented and configured Pipedrive CRM system to streamline sales operations

**User Acquisition Manager**
MGID

- Consistently exceeded client acquisition targets, closing 2x more clients than colleagues for 3 consecutive months
- Developed and delivered team training presentations to enhance collective knowledge and performance

---

**SKILLS**

- Email Marketing
- Strategic Communications
- Digital Marketing Project Management
- CRM Implementation & Administration
- Client Acquisition & Retention
- Account Management
- Cross-Functional Team Collaboration"
2584,"**PROFESSIONAL SUMMARY**

Results-driven Project Management professional with a proven track record of delivering 143 projects with a combined budget of $310,000 USD. Demonstrated capacity to manage 56 concurrent projects while maintaining quality and meeting deadlines. Extensive experience building, maintaining, and running digital marketing campaigns. Adept in all aspects of project management including planning, budget management, and coordinating all working parts of the project. Experienced in working directly with clients to ensure all project goals are achieved within scope and budget.

---

**CORE COMPETENCIES**

Multi-Project Management & Prioritization | Budget Planning & Oversight | Client Relationship Management | Team Leadership & Mentorship | Digital Marketing Campaigns | Training Development & Delivery | Strategic Planning & Execution

---

**TECHNICAL SKILLS**

Teamwork | Asana | Notion

---

**PROFESSIONAL EXPERIENCE**

**Lead Account Executive**

- Established and led strategic partnerships by influencing stakeholders and advocating for company priorities
- Developed customer acquisition and retention strategies to drive business growth
- Conducted market research and analysis to identify and develop sales opportunities

**Middle Project Manager**

- Led cross-functional project teams of 10–15 members to deliver successful marketing campaigns
- Directed strategic planning and tactical execution through weekly cross-functional meetings
- Mentored 3 Junior Project Managers, advancing 1 to Middle-level Project Manager
- Designed and delivered company-wide training on negotiation techniques and troubleshooting"
