,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5
98378,"# RESUME

## PROFESSIONAL SUMMARY
Creative and analytical professional with expertise in UX/UI design and web development. Proficient in designing responsive websites and mobile applications with a strong focus on user-centered design principles. Skilled at working both independently and collaboratively to deliver cohesive digital solutions.

## CORE COMPETENCIES
**Design Tools:** Figma, Photoshop, Illustrator, Corel Draw, Canva

**Design Expertise:** UX methodology, usability principles, graphic design, typography, color theory

**Technical Skills:** Website and mobile application design, responsive/adaptive design, wireframing

**Soft Skills:** Analytical thinking, creative problem-solving, team collaboration, project planning

## EXPERIENCE

### UX/UI Designer – Volunteer Platform Development
Social Impact Project

- Led end-to-end design process for a volunteer coordination website, from research through implementation
- Conducted competitor analysis and market research to inform design strategy
- Developed user personas and user flow documentation to guide design decisions
- Established cohesive visual identity including color schemes, typography, and graphic elements
- Created wireframes and high-fidelity mockups using Figma and Adobe Photoshop
- Designed responsive interfaces optimized for multiple devices and screen resolutions
- Developed strategic calls-to-action to maximize user engagement
- Optimized images and media assets to improve loading performance

## ADDITIONAL PROJECTS

**Real Estate Website Redesign**
Redesigned website interface to enhance user experience and visual appeal

**Pet Search Web Service**
Designed web-based platform connecting users with pet search services"
98379,"# UX/UI Designer

## Summary

Enthusiastic designer committed to continuous learning and development. Experienced in web application design, adaptive design, and prototype development with deep understanding of UX/UI principles. Proficient in Figma including auto layout, components, variants, and animation. Strategic planner who balances big-picture thinking with meticulous attention to detail, while remaining adaptable to project changes and capable of quick task engagement.

## Experience

### E-commerce Platform | UX/UI Designer

Designed a website for textile manufacturers to automate ordering and present the brand to customers hesitant to visit physical stores.

- Conducted project research, competitor analysis, and customer analysis to inform design decisions
- Created sitemap, userflow mapping, Lo-Fi and Hi-Fi wireframes, and interactive prototype
- Developed mood board, UI kit, and design system; performed Nielsen Heuristics evaluation
- Built intuitive product catalog with advanced filtering and sorting functionality
- Designed editable shopping cart and streamlined checkout process with multiple delivery and payment options
- Achieved user testing results that exceeded expectations across CSAT, Completion Rate, and Task Time metrics

### Animal Shelter Adoption Landing Page | UX/UI Designer

Created a landing page to raise awareness about shelter animals and encourage pet adoption while maintaining an engaging, stylish aesthetic.

- Conducted project research and secondary research; developed concepts through sketching and brainstorming
- Produced Lo-Fi and Hi-Fi wireframes, mood board, UI kit, and interactive prototype
- Delivered attractive, myth-dispelling interface across 10 content blocks featuring an interactive pet selection form

## Skills

**Design:** Sitemap and Userflow, Competitive Analysis, Typography and Color Theory, Mood Board Creation, UX/UI Principles, Lo-Fi and Hi-Fi Wireframes, Prototyping, User Testing, UI Design and UI Kit Development, Adaptive Design

**Professional:** Design Decision Argumentation, Communication, Team Collaboration, Attention to Detail, Project Management, Priority Management, Time Management, Adaptability, Creativity"
98380,"# UX/UI Designer

## Professional Summary

Junior UX/UI designer with strong attention to detail and commitment to user-centered design. Creates intuitive, visually appealing interfaces that deliver value to users. Skilled at understanding user needs and developing solutions that balance usability with compelling aesthetics. Delivers high-quality designs under tight deadlines. Background in furniture and interior design complements expertise in landing page design, web service design, website redesign, and mobile application design.

## Project Experience

**BusinessUp by Podvigina – Landing Page**
Designed landing page for the practical course ""BusinessUp by Podvigina"" under tight deadline. Developed UI kit and integrated animation elements to create an engaging user experience.

**FinEasy – Collaborative Web Service**
Designed FinEasy, a web service connecting accountants and entrepreneurs. Conducted UX research, created user personas, developed user flows, and designed adaptive UI components with animations. Delivered seamless responsiveness across devices.

**Mexican Restaurant – Website Redesign**
Led complete website redesign including competitor analysis, wireframing, UI design, and responsive adaptation with animation in Figma.

**Urban Festival – Landing Page**
Executed full design cycle: competitor analysis, wireframing, UI development, and responsive adaptation for tablets and mobile devices.

## Additional Experience

Completed 2 independent pet projects."
98381,"# UX/UI & WEB DESIGNER

## EDUCATION

**Projector** | 2021
- Junior Web Designer Courses (Instructors: Alex Kim, Den Potapov)
- Font and Logo Design Courses (Instructor: Kate Jacushek)

**Mobios School** | 2020
- UX/UI Design and Mobile Design Courses

## SKILLS

**UX/UI Process**
- User research and competitive analysis
- Customer briefing and stakeholder communication
- User personas and Customer Journey Mapping (CJM)
- User Flow creation and documentation
- Project presentation and client delivery

**Web & Digital Design**
- Adaptive landing page design
- E-commerce website design
- Corporate website design
- Mobile application design
- Interactive prototype development

**Design & Creative**
- Logo and icon design
- Typography, color theory, grids, and visual atmosphere
- Banner design for social media and print/outdoor advertising"
98382,"# PROFESSIONAL RESUME

## PROFESSIONAL SUMMARY
UX/UI Designer dedicated to solving complex design problems and creating meaningful, user-centered experiences. Strong foundation in user research, prototyping, and interface design with a focus on usability over purely visual or advertising-driven work.

## EXPERIENCE

**UI/UX Designer** | Freelance

- Conducted user research and reference analysis to inform design decisions
- Created sketches, wireframes, and interactive prototypes
- Redesigned application interfaces to improve user experience
- Developed visual assets including logos, banners, and video intros
- Collaborated on branding and visual design initiatives

## SKILLS

**Design Tools**
Figma · Adobe Photoshop · Adobe InDesign · Adobe Illustrator · InVision

**Technical**
HTML/CSS

**Core Competencies**
UX Design · User Research · Prototyping · Wireframing · Problem-Solving · Process Organization · Time Management · Communication

**Languages**
English (Advanced)

## PROFESSIONAL DEVELOPMENT
- Active participant in design meetups
- Completed web design marathons
- Developed professional design portfolio

## CAREER OBJECTIVES
Seeking to grow expertise in UX design while contributing user-centered solutions that enhance usability within a collaborative team environment."
98383,"**UI/UX Designer**

**Education**
- UI/UX Course, Hillel IT School
- UI/UX Webinar, GoIt School

**Technical Skills**
Figma | Adobe Photoshop | Adobe Creative Suite | Miro

**Professional Experience**

**Research Manager** | Entertainment/Crypto Company | 1 year 3 months
- Researched, collected, and analyzed target audience data, competitor landscapes, and regulatory policies across target markets
- Partnered with QA department on UI/UX design evaluation and regression testing

**Projects**

**Destin/Tattoo** | Figma
- Conducted comprehensive competitor analysis and UX audit of existing website
- Performed user research and designed improved interface featuring refined color palette, typography, and user flows
- Delivered measurable improvements in site usability

**HelpPets** | Figma, Adobe Photoshop
- Collaborated with design team on competitor analysis for volunteer and pet services platform
- Developed typography standards and comprehensive UIKit
- Conceptualized innovative features including AI-assisted pet movement prediction
- Designed complete user flows and UI for pet owner segment

**Portfolio**
Multiple projects available upon request

**Interests**
Animations | Mock-ups | 3D Design | Collaborative Team Environments"
98384,"# EXPERIENCE OF WORKING ON PROJECTS

**Web Service for Finding Lost Pets** | Team Project

Platform connecting pet owners with community members to report and locate missing animals. Created user personas and defined Jobs-to-be-Done framework. Designed core interface pages: lost animal listings, found animal listings, user dashboard, and ad creation forms featuring drop-down list functionality. Collaborated cross-functionally throughout all development phases.

**Indian Cuisine Website Redesign** | Independent Project

Transformed outdated restaurant website with low-quality photography and insufficient customer information. Developed minimalist design system balancing accessibility, structural clarity, and visual hierarchy. Delivered modern, user-friendly interface.

**Flower Shop Landing Page** | Independent Project

Single-page website for bouquet ordering and delivery service. Crafted modern layout leveraging floral photography and distinctive color palette. Streamlined user flow for browsing arrangements and completing purchases.

---

# PROFESSIONAL INTERESTS

Seeking a full-time position with a company dedicated to improving everyday life and business operations, offering opportunities for professional growth within a respectful, collaborative environment."
98385,"# PROFESSIONAL RESUME

## UI/UX Designer
2022 – Present

---

## SKILLS

- UI/UX Design (Figma)
- Web Development (HTML5, CSS3, SASS, SCSS)
- Illustration (Adobe Illustrator, Adobe Photoshop, Procreate)

---

## EXPERIENCE

### Commercial Project
**JetIQ** | Vinnitsa National Technical University | 2022–2023
- Designed mobile and web application interfaces
- Created wireframes and reusable component systems
- Developed page layouts and visual designs

### Client Work
- Designed web pages and blog sites for small businesses
- Created branded materials including logos, social media assets, and illustrations
- Developed corporate identities using Figma, Adobe Illustrator, Adobe Photoshop, and Procreate
- Built responsive websites from concept through HTML5/CSS3 implementation with clean, maintainable code
- Collaborated with clients and development teams to ensure successful project delivery
- Applied UI/UX principles and brand guidelines to create functional, visually appealing products

### Notable Projects
**Anitime** – Mobile application for streaming anime
**Innovexa** – Landing page for a data security services company

---

## EDUCATION

**Junior Front-end Developer** – EPAM University
**UI/UX Designer** – Taras Shipka"
98386,"**PROFESSIONAL SUMMARY**
Fast learner with a strong sense of responsibility and enthusiasm for challenging projects. Seeking a full-time position at a company dedicated to improving everyday life and business through intuitive, user-friendly, and productive solutions.

---

**PROJECTS**

**VDOMA** | Web Service
Designed and launched an animal search web service to help owners locate lost pets efficiently. Executed project across multiple phases including competitive analysis, user persona development, prototyping, system design, UI design, and responsive adaptation.

**CUSTOM CONCEPT TATTOO & DESIGN** | Website Redesign
Redesigned website for a tattoo studio to modernize outdated design and improve cross-device functionality. Developed responsive design to ensure proper adaptation across multiple media formats and enhance appeal to potential customers.

**FLOVER LOVER** | Landing Page
Designed and created a landing page to advertise a flower delivery service. Collaborated with client to develop a simple, single-page website with intuitive navigation and refined color palette. Conducted mood board development and competitive analysis prior to design execution."
98387,"**UX/UI Designer**

**Projects & Experience**

**f.Lover Mobile App for Delivering Flowers**

Designed a mobile application for ordering and delivering bouquets and gifts online. Collaborated with a cross-functional team to create an intuitive experience featuring personalized gift and flower recommendations, with scheduling capabilities for specific dates, times, and special occasions.

**Key Design Work:**
- User Interface Redesign
- Mobile App Optimization
- Web Service Development
- Landing Page Design

**Professional Focus**

Dedicated to crafting user-centered digital experiences through thoughtful UX/UI design. Seeking opportunities that prioritize creativity and cross-functional collaboration, emphasize comprehensive user research and testing, and value quality and user satisfaction over rapid development cycles."
98388,"**PROFESSIONAL SUMMARY**

User-focused designer skilled in UX research, persona development, and multi-platform design. Proven ability to deliver results in both independent and collaborative project environments. Seeking remote design opportunities with mentoring support to continue professional growth.

**CORE COMPETENCIES**

- UX Research & Analysis
- Persona Development
- Wireframing, Mockups & Prototypes
- Competitor Analysis
- User Flow Design
- Responsive Design (Desktop, Tablet, Mobile)
- Design Principles & User Experience

**PROJECT EXPERIENCE**

**Flowers Delivery Mobile App** | Individual Project
- Designed intuitive mobile interface for global online flower ordering service
- Conducted persona research to identify and address customer needs
- Delivered user-friendly experience enabling seamless international bouquet ordering

**Pet Scout - Animal Pet Search Web Service** | Team Project | Leader & Primary Ideator
- Led UX research initiatives including competitor analysis and user flow mapping
- Analyzed web service architecture and applied design principles to optimize user experience
- Produced comprehensive wireframes, mockups, prototypes, and portfolio documentation

**Barbershop Landing Page** | Individual Project
- Designed conversion-focused landing page for service discovery and appointment booking
- Conducted competitor analysis and developed research-based user personas
- Delivered fully responsive designs optimized for desktop, tablet, and mobile platforms

**Tattoo Studio Website Redesign** | Individual Project
- Redesigned website to streamline artist selection, portfolio exploration, and consultation signup
- Performed competitive analysis incorporating demographic and statistical evaluation
- Created visually engaging interface grounded in research-driven insights"
98389,"# UI/UX DESIGNER

## PROFESSIONAL SUMMARY

UI/UX designer specializing in web and mobile applications, transforming concepts into visually compelling, user-centered solutions. Skilled at balancing aesthetics with problem-solving to optimize user experiences and address audience needs. Proven ability to deliver results both independently and collaboratively.

## CORE SKILLS

Figma | Adobe Illustrator | Adobe Photoshop | ProtoPie

## EXPERTISE

- Low and high-fidelity prototyping
- Responsive and adaptive design
- UI component development
- Web and mobile application design
- User interface and experience optimization
- Vector illustration and logo creation
- Landing page design

## PROJECT EXPERIENCE

**Website Redesign – Destin Tattoo Company**
Led end-to-end redesign including competitor analysis, content strategy, wireframing, prototyping, logo development, color selection, component creation, and responsive adaptation for tablet and mobile devices.

**Web Service – The Lost Pets**
Contributed to team project helping users find, return, or adopt animals. Designed user flow for individuals who found or rescued animals and developed custom logo for the service.

**Mobile App – Suit Store**
Designed streamlined e-commerce application prioritizing user convenience in product search and purchase. Created complete user flow for male persona across multiple product categories. Independently executed all work from prototyping through final delivery.

## CAREER GOALS

Seeking a full-time position in a creative, collaborative environment to solve challenging design problems, enhance user interfaces, and take on increasing design responsibilities."
98390,"# Professional Experience

**Team Leader — BudgetStay Project**
Led a design team of 2 on the development of an accommodation search and booking platform. Designed the main user flow incorporating 2 account types (free and premium) and 3 distinct host-type flows. Delivered responsive designs across desktop, tablet, and mobile, including an interactive desktop prototype.

**Team Leader — Sensual Temple Landing Page**
Directing responsive landing page development for a tantric massage salon across desktop, tablet, and mobile platforms. Focused on service promotion, establishing an informative online presence, and client acquisition.

**Designer — FoodieFinder Mobile Application**
Designed a restaurant search and table reservation mobile application, enabling users to efficiently discover and book restaurants based on personal preferences.

**Designer — India Cafe Website Redesign**
Independently executed a full website redesign for an Indian restaurant in Pennsylvania, USA. Expanded site architecture with new pages featuring photography and menu functionality, and implemented an appointment booking feature. Delivered responsive designs with desktop prototype.

**Designer — Citroen 4 Landing Page Concept**
Designed a concept landing page for Citroen 4 in Ukraine, centered on test drive conversions. Delivered desktop design.

# Additional Projects
2 personal projects completed.

# Professional Goals
Seeking a UX/UI Designer position with a team dedicated to modern projects that build effective connections between service providers and clients. Committed to enthusiastic project execution and continuous professional growth."
98391,"# PROFESSIONAL SUMMARY

Designer and educator with 15 years of computer science teaching experience spanning raster and vector graphics, 3D modeling, and programming languages. Committed to leveraging emerging technologies to craft modern, user-centered digital experiences.

# CORE COMPETENCIES

**Design Tools:** Figma | ProtoPie | Adobe Photoshop | Adobe Illustrator | CorelDRAW | Canva

**Design Skills:** Wireframing | Prototyping | Visual Style Development | User Research | Persona Development | User Flow Mapping | Moodboard Creation | Adaptive Design | Landing Page Design | Website Redesign | Mobile Application Design

**Expertise:** Full Design Cycle Implementation | Interface Analysis & Prototyping | User-Centered Design

# PROFESSIONAL EXPERIENCE

**Computer Science Teacher** | 15 Years

Delivered comprehensive instruction in raster and vector graphics, 3D modeling, and programming languages, cultivating technical proficiency and creative problem-solving skills in students.

# SELECTED PROJECTS

**Veterinary Clinic ""Aibolit"" – Website Redesign**

Executed full design cycle encompassing problem analysis, interface prototyping, and visual style creation. Delivered a modern, user-friendly design optimized to engage and convert potential customers.

**""Coffee Time"" – Mobile Application**

Led end-to-end design process including problem analysis, interface prototyping, and visual style development. Created a streamlined mobile application enabling customers to scan and pay for purchases, eliminating traditional checkout queues."
98392,"**UI/UX Designer**

**Education**

Online IT School – UI/UX Design (8 months)

Coursework: Landing pages, websites, web services, and individual site elements

**Projects**

**Visit – Web Service | Full-Stack Design**

Designed and developed a user-friendly web service for organizing travel throughout Ukraine. Conducted UX research and competitive analysis to inform design decisions. Created wireframes and functionality grounded in research findings, implementing proven design patterns while eliminating ineffective solutions.

**Poltavski Galyshki – Website Redesign**

Executed comprehensive redesign for Poltava Dumplings cafe website. Restructured information architecture by implementing logical sections, organizing content hierarchy, integrating photography, and incorporating business contact information to enhance user experience and improve service discovery.

**Additional Projects**

Completed 2 additional web design and development projects demonstrating end-to-end design capabilities.

**Skills**

UX Research | Competitive Analysis | Wireframing | Information Architecture | Web Design | Landing Pages | Website Design | Web Services"
98393,"# RESUME

## EDUCATION & TRAINING

**H.S. Skovoroda Kharkiv National Pedagogical University**
Faculty of Art and Graphics — Ad Designer

**Mobios School** | Sep 2021 — Dec 2021
UX/UI Web Design + Mobile Design

**CURSOR Education** | Feb 2021 — Jul 2021
UI/UX Designer

**Source IT** | Feb 2015 — Apr 2015
HTML Layout

## PROFESSIONAL EXPERIENCE

**Layout Designer** | 10+ Years
Various Publishing Houses

- Designed and developed layouts for books, magazines, and posters
- Executed page design with strong visual composition principles
- Created, sourced, and processed vector illustrations
- Sourced and optimized bitmap images for publication
- Produced collages and composite imagery
- Managed print production preparation and file delivery

## CORE COMPETENCIES

**UX/UI Design**
UX Research · Wireframing · UI Design · Information Architecture · User Personas · Customer Journey Mapping · Competitor Analysis · SWOT Analysis

**Digital Design**
Mobile App Design · Web Design

**Print & Visual Design**
Book & Magazine Layout · Vector Illustration · Print Production

**Professional Skills**
Communication"
98394,"# PROFESSIONAL SUMMARY

UX/UI Designer combining graphic design expertise with product management knowledge. Proficient in Adobe Creative Suite and skilled in user research, wireframing, and prototyping methodologies.

## PROFESSIONAL EXPERIENCE

**Freelance Graphic Designer** | 1 year
- Created print publications and illustrations for clients using Adobe Photoshop and Adobe Illustrator
- Completed comprehensive UX case study encompassing user research, wireframing, and prototyping

## CORE COMPETENCIES

**Design & UX**
- UX Research & Design
- Wireframing & Prototyping
- Graphic Design
- Print Publications & Illustrations

**Tools**
- Adobe Photoshop
- Adobe Illustrator

## CERTIFICATIONS

- Google UX Design | Coursera
- Introduction to Software Product Management | University of Alberta
- Fundamentals of Graphic Design | California Institute of the Arts

## EDUCATION & RECOGNITION

- Diploma of the II Degree | Sixth All-Ukrainian Student Olympiad in Design of Publishing and Printing Production"
98395,"# UI/UX Designer

## Professional Experience

**Freelance UI/UX Designer** | 6 months

- Designed and delivered custom user interfaces for diverse client portfolio
- Translated client requirements into actionable design solutions through comprehensive user research
- Developed information architecture, wireframes, and interactive prototypes
- Executed user experience testing to validate design decisions
- Collaborated with development teams through iterative design cycles to ensure seamless implementation
- Managed end-to-end project timelines while maintaining clear client communication
- Produced engaging designs that elevated user experience and drove improved conversion rates

## Core Competencies

**Design Expertise:** UI/UX Principles | Interaction Design | Information Architecture | Wireframing & Prototyping

**Research & Testing:** User Research Methodologies | User Experience Testing | Client Requirements Analysis

**Professional Skills:** Project Management | Stakeholder Communication | Cross-functional Collaboration | Independent Project Execution

**Tools & Practices:** Current Design Tools | Emerging Industry Practices

## Education & Training

**UI/UX Design Courses**

Comprehensive training in design principles, user research methodologies, wireframing, and prototyping. Recognized by instructors and peers for attention to detail, creativity, and effective incorporation of user feedback.

## Professional Development

- Active contributor in design communities
- Ongoing self-directed learning through webinars and industry resources
- Dedicated to continuous growth and current best practices"
98396,"# RESUME

## PROFESSIONAL EXPERIENCE

**UI/UX Designer** | 11 months

- Expert proficiency in Figma including components, variants, auto layout, and constraints
- Skilled in Adobe Photoshop, Illustrator, and After Effects
- Experienced in Webflow development
- Committed to continuous professional growth in web design

## PROJECTS

**Roofing Materials Plant Website Redesign**
- Redesigned outdated multi-page website into a streamlined, modern landing page with improved information architecture and enhanced functionality

**Tea Studio Landing Page**
- Designed visually distinctive landing page balancing brand aesthetics with clear business communication

**Board Games Online Store**
- Developed e-commerce platform incorporating AI-powered features

**Multiplex Ukrainian Cinema Network Application Improvement**
- Conducted comprehensive UX research to identify user pain points
- Delivered actionable recommendations to resolve key usability issues

## CORE COMPETENCIES

UI/UX Design | Web Design | Figma | Adobe Photoshop | Adobe Illustrator | Adobe After Effects | Webflow | UX Research | Information Architecture | E-Commerce Design"
98397,"# RESUME

## Technical Skills

**Development**
HTML5 | CSS3 (Responsive & Adaptive Design) | SASS/LESS | Flexbox | JavaScript | React.js | Bootstrap | GIT

**Design**
Figma | Adobe Creative Suite (Photoshop, Illustrator, InDesign) | Procreate

## Professional Experience

**Freelance Designer & Illustrator**

- Create commissioned illustrations and portraits for clients
- Develop 2D characters for training video productions
- Manage end-to-end client relationships and project prioritization
- Deliver projects remotely with independent workflow management

## Core Competencies

- UI/UX Design
- Front-End Development
- Design-to-Development Integration
- Cross-Functional Collaboration

## Professional Profile

Designer with front-end development skills who bridges the gap between creative vision and technical implementation. Focused on creating designs optimized for developer workflows and seamless UI/UX experiences."
98398,"# RESUME

## PROFESSIONAL SUMMARY

Design professional with strong attention to detail and a proven ability to work effectively in team environments. Skilled in solving problems through design and creating simple, user-friendly interfaces.

## CORE COMPETENCIES

- End-to-end design process, from research through prototyping
- User research and analysis
- User flow development
- Wireframing and prototyping
- Animation design
- 3D modeling
- Figma (design layout, clickable prototypes, animation)

## PROFESSIONAL EXPERIENCE

**Freelance Designer**
- Develop design solutions focused on user experience and interface simplification
- Create clickable prototypes and animations to streamline project delivery
- Apply full design methodology: research, user flows, wireframes, and prototyping

## ADDITIONAL SKILLS

- 3D modeling
- Team collaboration
- Problem-solving
- Attention to detail"
98399,"# PROFESSIONAL EXPERIENCE

**UI/UX Designer** | Internship (6 months)
- Designed intuitive user interfaces and crafted seamless user experiences to enhance product usability

**Assistant Architect** | June 2022 – August 2022
- Developed comprehensive layouts and project plans for architectural projects utilizing computer-aided design tools

**Translator** | Marriage Agency | April 2023 – August 2023
- Delivered accurate translation services facilitating cross-cultural communication

**Freelance Artist** | January 2019 – August 2021
- Created custom paintings, portraits, and logos tailored to client specifications
- Managed client relationships from initial consultation through project delivery"
98400,"# RESUME

**PROFESSIONAL EXPERIENCE**

**Freelance Graphic Designer** | Hilding Company
- Create brand stories, icons, and graphics for Amazon store products

**Content Creator and Photographer** | Sport Clothing Shop

**Photographer** | Restaurant

**TECHNICAL SKILLS**
- Figma
- Adobe Photoshop
- Zeplin
- Webflow
- Web Design and Development

**VOLUNTEER EXPERIENCE**
- International Exchange Programs Volunteer
- BookForum Volunteer
- Children's BookForum Volunteer"
98401,"# RESUME

## Professional Experience

**Freelance, Implants & Surgeons**
Web Designer, UI/UX Designer | 2022 - 2023

- Partnered with an IT company to design e-commerce stores, service platforms, and landing pages
- Developed comprehensive UX processes to enhance user engagement
- Conducted manual UI/UX testing to ensure optimal functionality and user satisfaction

**Famart Group**
Web Designer, UI/UX Designer | 2021 - 2022

- Designed intuitive platform interfaces for e-commerce sales operations
- Created compelling advertising banners to drive customer engagement
- Performed professional photo retouching for website content
- Contributed to UI/UX development initiatives
- Optimized user flow to improve platform navigation and conversion

## Core Competencies

- Web Design
- UI/UX Design
- E-commerce Platform Development
- Landing Page Design
- UX Process Development
- Manual UI/UX Testing
- Advertising Banner Creation
- Photo Retouching
- User Flow Optimization"
98402,"# PROJECT AND PRODUCT MANAGER | UI/UX DESIGNER

## PROFESSIONAL SUMMARY

Project and Product Manager with four years of experience in digital product development, skilled in managing 74 concurrent website projects alongside mobile application development. Proven ability to guide products through all stages from concept to production. Expanding into UI/UX Design with comprehensive training and hands-on project experience.

## PROFESSIONAL EXPERIENCE

**Freelance UI/UX Designer**
- Designed high-converting landing pages and e-commerce platforms
- Developed interactive prototypes to communicate user flows and functionality
- Built and launched websites using Tilda
- Created logos and corporate identity systems
- Produced business collateral including visiting cards and advertising banners

**Netpeak Group — UI/UX Designer**
- Designed visual assets for blogs, websites, and topic-specific review platforms
- Developed landing pages using Tilda
- Created logos and led brand development initiatives

**Netpeak Group — Project/Product Manager**
- Led cross-functional team delivering mobile application and website development
- Managed end-to-end workflow: technical specifications, prototyping, design, development, testing, and production deployment
- Conducted manual product testing to ensure quality standards
- Established communication protocols among project stakeholders
- Facilitated retrospectives, backlog grooming, and planning poker estimations
- Built interactive prototypes to align teams on product vision
- Analyzed performance metrics using Google Analytics and AppsFlyer
- Performed competitive analysis using App Annie, Alexa, and Sensor Tower

## EDUCATION

Projector School — Four Design Courses

## WHAT I'M SEEKING

Meaningful projects within an organization committed to employee development and societal impact through innovative products and a values-driven culture."
1747,"# RESUME

## PROFESSIONAL EXPERIENCE

**Entrepreneur & Business Owner** | 8 Years

- Founded, scaled, and managed a chain of coffee shops through successful exit
- Established and operate an export-oriented production company specializing in 3D printing technologies

## SKILLS

**Management & Methodology**
- Project planning, prioritization, and goal setting
- Budget management and resource allocation
- Team delegation and performance monitoring
- SCRUM, Agile, Kanban, and Waterfall methodologies

**Technical**
- Game design fundamentals with working knowledge of UE4 and Unity
- Blender: 3D modeling, UV mapping, and animation
- Linux node operations

**Leadership & Communication**
- Strategic decision-making and critical thinking
- Team management and coaching
- Stakeholder communication and consensus building
- Customer and user needs analysis
- Risk assessment and management
- Time management and organizational planning

**Languages**
- English (B1 - Intermediate)"
1784,"# PROFESSIONAL SUMMARY

Results-driven creative professional with diverse experience across multiple disciplines. Proven expertise in 3D art, graphic design, videography, video production, digital marketing, and event organization. Skilled at delivering high-quality visual content and executing effective marketing strategies in fast-paced start-up environments.

## CORE COMPETENCIES

3D Modeling & Animation | Graphic Design | Videography & Video Production | Digital Marketing & Campaign Execution | Event Organization | Brand Awareness & Lead Generation

## PROFESSIONAL EXPERIENCE

**3D Artist**
- Created realistic 3D models and animations for visual projects

**Graphic Designer**
- Designed compelling visual assets for diverse projects

**Videographer & Video Editor**
- Captured and edited high-quality video content
- Developed impactful visual narratives with attention to technical detail

**Digital Marketing Specialist**
- Strategized and executed digital marketing campaigns to drive engagement
- Enhanced brand awareness and generated leads through targeted initiatives

**Event Organizer**
- Organized music art festival in Azerbaijan showcasing regional music culture
- Contributed to DokuBaku International Documentary Film Festival promoting documentary filmmaking

**Start-up Professional**
- Developed versatile skill set navigating start-up challenges and opportunities"
2476,"**Client Success Manager**

Managed 3-4 large enterprise-level accounts simultaneously, driving account health and growth while overseeing dedicated engineering teams of 30-50 people.

**Key Responsibilities & Achievements:**

- Directed multiple accounts across diverse engagement models, owning all aspects of client relationships from onboarding through expansion
- Diagnosed client business pain-points and partnered with stakeholders on strategic roadmap development aligned to business goals
- Conceived and executed improvement initiatives that drove measurable account and team growth
- Built high-performing engineering teams while establishing scalable processes and strategic direction
- Mentored and coached engineers and solution architects, fostering a culture of continuous learning and knowledge exchange
- Spearheaded opportunity initiation processes, authoring proposals and statements of work
- Expanded partnerships with existing clients through proactive, consultative relationship management
- Delivered executive reporting and led business reviews with senior stakeholders
- Conducted project scope analysis while proactively managing risks and resolving issues
- Led and developed cross-functional project teams
- Applied deep knowledge of software development methodologies and lifecycle to drive technical excellence

**Core Competencies:**

Client Relationship Management | Strategic Account Planning | Team Leadership & Mentoring | Executive Communication | Risk & Scope Management | Software Development Lifecycle | eCommerce Transformation

**Technical Expertise:**

Salesforce | IBM WebSphere | Magento"
2515,"# PROFESSIONAL SUMMARY

Results-driven professional with extensive experience in client relationship management, project coordination, and sales operations. Seeking to advance expertise in project management while leveraging strong communication and documentation skills.

# KEY COMPETENCIES

**Client & Relationship Management**
- Build and maintain long-term business relationships with customers
- Troubleshoot and resolve customer issues and concerns
- Coordinate client projects and platform interactions

**Project & Operations Management**
- Coordinate projects involving client engagement with online platforms and services
- Collaborate with development teams
- Drive sales and retention activities

**Technical Skills**
- Zoho
- Jira
- Confluence
- SAP
- 1C

**Documentation & Administration**
- Prepare and manage sales documentation
- Process agreements, contracts, and invoices

# PROFESSIONAL GOALS

Committed to developing expertise and advancing career in project management."
2517,"**PROFESSIONAL EXPERIENCE**

**Project & Account Manager**

• Directed up to 15 concurrent projects while cultivating client relationships and identifying strategic growth opportunities
• Orchestrated project workflows, timelines, and deliverables while providing consistent progress updates to stakeholders
• Proactively identified potential risks and communicated mitigation strategies to relevant parties
• Cultivated long-term client partnerships through responsive communication and exceptional service delivery
• Assessed client needs to develop tailored solutions, driving revenue through cross-selling and upselling initiatives
• Managed full sales cycle from inbound request processing and outbound lead prospecting through proposal presentation to contract close
• Negotiated and finalized client agreements"
2529,"# PROFESSIONAL PROFILE

Results-driven professional with expertise in communication, cross-functional collaboration, and project management. Analytical thinker committed to strategic planning and organizational success.

# PROFESSIONAL EXPERIENCE

**Communication, Teamwork & Project Management Specialist**

- Communicated effectively across teams and stakeholders
- Coordinated cross-functional collaboration and teamwork initiatives
- Managed and executed projects from planning through completion
- Cultivated strong professional relationships grounded in mutual respect and integrity

# CORE COMPETENCIES

Project Management | Team Collaboration | Strategic Planning | Cross-Functional Coordination | Problem-Solving | Stakeholder Communication | Relationship Building

# PROFESSIONAL PHILOSOPHY

Committed to fostering respectful, honest relationships that enable all parties to contribute their best work. Motivated by challenges that drive personal growth and professional development."
