,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5
2654,"**PROFESSIONAL EXPERIENCE**

**Account Manager** | Sparkybit (Germany)
07/2022 – Present

• Build and maintain strong, long-lasting customer relationships to drive client loyalty and revenue growth
• Resolve complaints and prevent potential issues through proactive engagement and consistent customer meetings
• Conduct client satisfaction surveys and reviews to enhance service delivery
• Manage existing accounts, resolving business and technical issues in collaboration with cross-functional teams


**Account Manager** | DevPals AB (Sweden)
01/2022 – 06/2022

• Developed trusted advisor relationships with key accounts, ensuring customer success and satisfaction
• Provided assistance with challenging client requests and issue escalations
• Ensured timely and successful delivery of solutions according to customer needs
• Assisted in lead generation on Upwork


**Business Sales Manager** | North-wine (Denmark)
11/2017 – 09/2021

• Identified and acquired new key customers through targeted outreach and introduction of website services
• Maintained correspondence with existing customers to determine needs and recommend suitable products
• Assisted in controlling product range, pricing, and display on website
• Managed product database and conducted wine market monitoring


**Head of Logistics** | Gold.ua (Ukraine)
10/2016 – 11/2017

• Controlled delivery operations at all stages and managed receivables across all company branches
• Filed complaints to secure compensation for lost or damaged orders
• Resolved disputes with customers regarding delivery issues"
2655,"**PROFESSIONAL SUMMARY**

Results-driven Project Manager with 3+ years of commercial experience, including 1 year in IT startup environment. Demonstrated expertise in contract management, business process development, and team leadership. Analytical problem-solver with proven ability to build strategic partnerships and deliver measurable results in fast-paced, dynamic environments.

**CORE COMPETENCIES**

• Contract Management & Negotiation
• Project Planning & Execution (Scope, Schedule, Budget)
• Stakeholder Relationship Management
• Business Process Analysis & Development
• Stress & Conflict Resolution
• Agile & Scrum Methodologies
• Statistical Reporting & Performance Analysis
• Team Facilitation & Leadership
• Strategic Planning & Implementation
• Competitive Analysis & Performance Metrics

**TECHNICAL SKILLS**

MS Office Suite (Advanced Excel) | Google Workspace | 1C Accounting Software (8.3) | Client-Bank Systems | Project Management Tools | MED Program

**PROFESSIONAL EXPERIENCE**

**Project Manager**
IT Start-up, Online Web Service
February 2021 - Present

• Plan and control task execution for web service development projects, managing scope, schedule, and budget to ensure on-time delivery
• Facilitate cross-functional team collaboration and optimize workflows to support product owner objectives
• Deliver statistical and detailed reporting to senior management, enabling project effectiveness evaluation and data-driven decision-making
• Drive measurable results through analytical problem-solving in fast-paced startup environment

**Director**
OOO Interlagos | Hotels / Restaurants / Entertainment Complexes
2020 - January 2021

• Analyzed, developed, and implemented strategic plans aligned with organizational goals and objectives
• Designed and optimized business processes for production operations, enhancing operational efficiency
• Conducted competitive analysis and maintained continuous monitoring of key performance and reporting metrics
• Built strategic partnerships to support business development initiatives

**HR Manager**
PrAT Hotel Salut | Hotels / Restaurants / Entertainment Complexes
April 2016 - May 2019

• Recruited, interviewed, and onboarded new staff members across multiple departments, ensuring alignment with organizational needs
• Managed high-volume information processing and personnel documentation with accuracy and efficiency
• Administered comprehensive personnel records including registration, transfers, dismissals, and work book maintenance
• Utilized 1C 8.3 system for HR operations management and MED program compliance"
2656,"**PROFESSIONAL EXPERIENCE**

**Sales / Account Manager**  
PAYADMIT  
March 2022 - Present

• Generate leads and establish first contact with prospective clients through strategic outreach
• Deliver tailored payment solutions to new and existing customers
• Manage client relationships and ensure satisfaction throughout the entire customer lifecycle
• Resolve disputes and navigate conflict situations to maintain positive, long-term partnerships
• Calculate pricing and prepare customized offers based on client requirements

**Head of Department**  
Media Buying Company  
4 months

• Managed department responsible for strategic resource allocation to advertising specialists
• Led, mentored, and developed team of 4 employees
• Departure due to company directional change

**Account Manager (Media Buying)**  
ACIDBRO  
January 2021 - March 2022

• Prepared and configured advertising accounts for campaign deployment and optimization
• Executed advertising campaigns in high-risk verticals with focus on performance and compliance
• Supported technical department with server and proxy procurement, site hosting, application deployment on Google Play and AppStore, account farming, and related technical tasks
• Specialized in high-risk verticals including Gambling and Betting

**Project Manager**  
News Project  
3 months

• Managed all project aspects from planning through execution and successful completion
• Recruited, interviewed, and selected qualified candidates for project roles
• Supervised and coordinated team of 8-10 employees to achieve project milestones
• Monitored work quality, performance metrics, and deliverables to ensure standards
• Administered salary payments and bonus allocations
• Successfully delivered project objectives within designated timeframe"
2657,"# PROFESSIONAL SUMMARY

Results-driven software testing and web development professional with comprehensive experience across the complete testing lifecycle from specification analysis through re-testing. Proven ability to build interactive websites using HTML, CSS, JavaScript, jQuery, and React. Expert in agile development methodologies, project management processes, and technical documentation. Skilled in project planning utilizing Gantt charts and roadmaps, mockup creation, stakeholder negotiations, and invoice management. Fluent in English with strong communication skills.

---

# CORE COMPETENCIES

**Web Development & Programming**
HTML | CSS | JavaScript | jQuery | React

**Quality Assurance & Testing**
Complete Testing Lifecycle Management | Specification Analysis | Test Execution | Re-testing

**Project Management**
Project Planning | Gantt Charts | Roadmaps | Project Management Tools & Processes | Stakeholder Negotiations

**Technical & Business Operations**
Agile Development Methodologies | Application Development | Technical Documentation | Mockup Development | Invoice Management"
2658,"# PROFESSIONAL EXPERIENCE

**McCann Kyiv**  
*Senior Account/Project Manager*  
Clients: Vodafone, Unicef, Carlsberg

- Managed end-to-end project lifecycle from inception through completion across multiple client accounts
- Oversaw TVC production including local shooting coordination, OOH campaigns, and video production
- Managed competitive tender processes, vendor briefings, budget development, payment term negotiations, and timeline management
- Collaborated with cross-functional creative teams on resource allocation and project coordination
- Produced daily, weekly, and monthly performance reports for clients and senior agency leadership
- Maintained financial oversight and budget control

**Cheil Ukraine**  
*Project Manager*  
Client: Samsung Electronics Ukraine

- Managed full project lifecycle from conceptualization to delivery
- Executed integrated campaigns spanning TVC, OOH, Retail (POSM), digital, BTL, and video adaptation
- Administered competitive tender processes, vendor briefings, budget formulation, payment term coordination, and deadline management
- Partnered with internal agency teams on resource selection and project coordination
- Generated daily, weekly, and monthly performance reports for clients and agency leadership
- Maintained financial oversight and budget control"
2659,"# PROFESSIONAL SUMMARY

Project management professional with 6 years of experience across IT banking, digital marketing, aerospace, and automotive industries. IPMA certified with Master Degree in Project Management. 3 years US on-site job experience. Proven expertise in business development, negotiations, sales, and regulatory compliance.

# CORE COMPETENCIES

**Frameworks:** ITIL, Kanban, PMBoK, BPMN

**Tools:** Omnitracker, Jira, MS Project, Visio

**Specializations:** Project Management, Business Process Description, Regulations, Negotiations & Sales

# PROFESSIONAL EXPERIENCE

**Business Development Manager – Engineering Outsourcing**
- Established engineering outsourcing business unit from ground up
- Acquired new customers and secured project contracts
- Expanded workforce allocation on existing client projects

**Project Manager** | 6 Years
- Delivered projects across IT banking, digital marketing, aerospace, and automotive sectors
- Managed business process optimization and regulatory compliance initiatives
- Led negotiations and sales activities with stakeholders and clients

# EDUCATION & CERTIFICATIONS

- Master Degree in Project Management
- IPMA Certification
- British Council Diploma – Business English Advanced (95%)

# PROFESSIONAL ATTRIBUTES

Thrives in mature corporate environments with complex, high-impact projects and collaborative, open-minded teams."
2660,"# PROFESSIONAL SUMMARY

Results-driven professional with diverse experience in IT industry management, client relations, and project coordination. Completed Project Management coursework with expertise in risk management, stakeholder negotiations, and requirements analysis. Proven track record of managing cross-functional teams, facilitating international stakeholder communication, and delivering customer-focused solutions. Seeking Project Manager, Project Coordinator, Account Manager, Business Analyst, or Business Development Manager position.

# PROFESSIONAL EXPERIENCE

**Regional Director** | *Current Position*

• Manage comprehensive documentation and coordinate communication between operational teams and international company ownership

• Facilitate cross-functional collaboration and optimize information flow across geographically distributed stakeholders

• Ensure alignment between regional operations and global organizational objectives

**Customer Support Manager** | *Current Position - Part-time*

• Oversee customer service operations and strategic client relationship management

• Resolve complex customer issues while maintaining service quality standards and client satisfaction

• Drive continuous improvement in customer support processes

**Recruiter** | *Previous Position*

• Conducted talent acquisition and recruitment activities within the IT industry

• Identified and evaluated candidates to meet organizational requirements

**Sales Manager** | *Startup Company*

• Launched career in IT industry while completing studies

• Developed foundational business communication and negotiation skills in fast-paced startup environment

# EDUCATION & TRAINING

**Project Management Courses** | *Recently Completed*

• Project management methodologies and frameworks

• Risk management and mitigation strategies

• Customer negotiation and stakeholder management

• Requirements analysis

# CORE COMPETENCIES

Business Communications • Business Negotiations & Stakeholder Management • Requirements Analysis • Risk Management & Mitigation • Conflict Resolution • Customer Service & Client Relations • Public Relations • International/Intercultural Relations • Recruiting & Talent Acquisition • Translation Services • Cross-functional Team Coordination • Documentation Management

# LANGUAGES

**English:** Upper-Intermediate to Advanced"
2741,"# PROFESSIONAL EXPERIENCE

**Head of Facilities, Ukraine Operations**
Dev-Pro.net
Current (1 year)

• Manage administrative functions across 5 development centers in Kyiv, Lviv, Dnipro, and Kharkiv
• Oversee business continuity, services, and operations for 5,000+ sq.m. facility
• Lead team of 15+ people

**Site TS Program Manager / HS&E Department Leader**
Procter & Gamble LCC
6 years (2013-2019)

• Led Operations Technology Project Leader role in international projects including startup of new production lines for Tide, Ariel, and Gala brands and discontinuation of DAX and BONUX brands (2015-2017)
• Started up A and A+ class facilities totaling 4,500 sq.m. across 5 locations
• Negotiated with authorities to reduce land rental rate from 13% to 6%, delivering 37% savings in general plant costs (2017-2018)
• Optimized operating expenses and utilities, achieving 23% cost reduction FYTD
• Led 6 external audits with zero critical observations
• Directed 3rd and 4th site phase development (2015-2018)
• Restructured and merged multiple units into single department (2013-2015)
• Optimized manufacturing capacities and support departments for raw and pack materials factory operations (Feb 2013 - May 2014)
• Achieved production optimization results: 84% process reliability, <2% unplanned downtime, <1% scrap in 2015
• Restructured plant infrastructure by transferring warehouses to 3PL, launching production facilities, and renovating boiler house and compressors
• Managed team of 43 employees

**Awards & Recognition**
• CEO Award 2014
• CBN Award 2013

# CORE COMPETENCIES

Operations Management | Facilities Management | Managed Services | Customer Service Leadership | Project Management | Startup Management | System Integration | Team Leadership | Change Management | Business Development | Product Management"
2766,"**PROFESSIONAL SUMMARY**

Results-driven digital marketing professional with 8+ years of experience driving revenue growth and yield optimization across global markets. Proven expertise in performance marketing and publisher-side ad operations, with demonstrated success managing campaigns for industry leaders including Ubisoft, Sony, Nintendo, Samsung, and Apple. Strong track record in campaign management, product development, and strategic optimization.

**KEY ACHIEVEMENTS**

• Managed and optimized seven-figure marketing campaigns across multiple channels

• Increased yield by 20% in CEE markets through implementation of new targeting capabilities

• Improved viewability of select ad units by 40% to combat banner blindness

• Conceptualized, architected, and managed development of rich media building platform to expand advertising capabilities

**CORE COMPETENCIES**

Performance Marketing • Ad Operations • Campaign Trafficking & Optimization • Yield Optimization • Targeting Strategy • Rich Media Development • Revenue Growth • Global Market Management • Viewability Enhancement • Product Development

**PROFESSIONAL EXPERIENCE**

[Company Name] | [Location]
[Job Title] | [Dates]

• Managed seven-figure digital marketing campaigns for major brands including Ubisoft, Sony, Nintendo, Samsung, and Apple
• Increased yield by 20% in Central and Eastern European markets through strategic implementation of advanced targeting capabilities
• Enhanced ad unit viewability by 40% through optimization initiatives addressing banner blindness
• Led conceptualization, architecture, and development management of rich media building platform
• Executed publisher-side ad operations and campaign trafficking across multiple channels
• Drove revenue growth through performance marketing optimization and strategic market management

**EDUCATION**

[Degree] in [Field of Study]
[University Name] | [Year]

**TECHNICAL SKILLS**

Ad Serving Platforms • Campaign Management Tools • Analytics Platforms • Rich Media Technologies • Programmatic Advertising • Targeting & Optimization Tools"
2793,"# PROFESSIONAL RESUME

## PROFESSIONAL SUMMARY
Results-driven marketing professional with extensive experience in digital advertising, campaign management, and team leadership. Proven track record in managing multi-platform advertising campaigns across EU and USA markets, with strong expertise in SEO, analytics, and project coordination.

## PROFESSIONAL EXPERIENCE

**Model** | 2022 - Present

**Art Director/Stage Manager** | Synergy Group | 2018 - 2021
- Organized and managed cross-functional team workflows, including designers, content writers, and freelancers
- Coordinated project discussions and implementation with strategic partners
- Managed project timelines and ensured timely delivery of team deliverables

**Disc Jockey** | 2018 - Present

## CORE COMPETENCIES

**Digital Advertising & Marketing**
- Multi-platform campaign management: Google Ads, Facebook Ads, MyTarget, Taboola, Capterra, LinkedIn Ads
- International market experience (EU and USA)
- Ad performance analysis and competitive research utilizing Facebook Ad Library
- Media planning and campaign performance reporting
- Keyword planning and optimization for search campaigns
- Ad extensions and search term optimization

**SEO & Analytics**
- Keyword research and strategic optimization
- Title and meta description optimization
- Competitive analysis and performance reporting
- Data-driven campaign optimization and improvement

**Project Management & Leadership**
- Team coordination and strategic task delegation
- Product and competitor research
- Partner communication and meeting facilitation
- Deadline management and organizational planning

**Languages**
- English
- Ukrainian
- Russian

## EDUCATION

**Hillel School** | 2022
Course in Advertising

**Computer Technology Degree**

## PROFESSIONAL STRENGTHS
- Strong team collaboration and leadership
- Excellent organizational abilities
- Deadline-oriented with superior time management
- Positive and professional communication style"
2810,"# PROFESSIONAL EXPERIENCE

**Support Specialist (Finance)**  
NDA (Gambling)  
2021 - 02.2023

- Provided technical support for financial issues and prepared financial statements

**Project Manager**  
COWBOY ART (Advertising and PR Services)  
02.2020 - 2021

- Analyzed advertising markets in Ukraine and internationally to identify growth opportunities
- Served as brand ambassador while managing customer relations and protection
- Developed client proposals including financial projections and profit analysis
- Oversaw full project lifecycle from initiation through successful implementation

**Project Manager**  
SICORE (Advertising and PR Services)  
04.2018 - 02.2020

- Conducted market research on outdoor advertising sector and identified new client opportunities
- Achieved planned sales targets through strategic client acquisition
- Led client meetings, presentations, and negotiations
- Collaborated with cross-functional departments to deliver integrated solutions"
2824,"**PROFESSIONAL SUMMARY**

Results-driven Affiliate Manager with 7+ years of experience launching and managing high-performing affiliate programs across diverse niche markets including e-commerce, nutra, health and beauty, CBD, forex, dating, software, food, and social media. Demonstrated success managing both third-party network programs and in-house platforms. Skilled Account Manager with proven ability to cultivate and maintain advertiser and affiliate relationships at advertising networks. Led teams delivering end-to-end affiliate program management services from strategic consultation and assessment through full program execution and optimization. Proficient in email marketing, social media management, B2B strategy, A/B testing, PPC, and SEO. 10 years of IT experience managing projects and leading teams of 2-3 subordinates.

---

**PROFESSIONAL EXPERIENCE**

**Affiliate Manager**

• Established affiliate programs from ground up across multiple niche markets including e-commerce, nutra, health and beauty, CBD, forex, dating, software, food, and social media
• Administered affiliate programs on leading third-party networks (Commission Junction, LinkShare, Linkconnector, Webgains, Shareasale) and proprietary in-house platforms
• Recruited, onboarded, and managed top-performing affiliates to maximize revenue generation and campaign results
• Conducted comprehensive analysis of daily, weekly, and monthly campaign performance metrics to optimize affiliate results and identify growth opportunities
• Identified and secured new traffic sources and launched strategic partnership initiatives
• Directed development of marketing assets including text slogans, display banners, HTML creatives, and conversion-optimized landing pages
• Delivered detailed personalized consultation and program assessment services for clients
• Provided comprehensive end-to-end affiliate program management and optimization services
• Led and mentored team in managing existing affiliate programs and executing successful new program launches

**Account Manager, Advertising Network**

• Managed day-to-day communications with internal teams and external stakeholders to ensure seamless operations
• Monitored and optimized campaign delivery and performance for advertisers and affiliate partners
• Developed and prepared proposals, correspondence, and strategic documents for management review and partner presentations
• Administered and coordinated partnership benefits in accordance with contractual agreements
• Identified and prospected new affiliate partners and developed strategic contact lists for partnership expansion

**Marketing Analyst**

• Researched and analyzed data collection market landscape including surveys and form optimization
• Conducted competitive intelligence analysis evaluating features, benefits, pricing strategies, and market positioning
• Planned and executed marketing communications initiatives with customers including webinars and targeted email campaigns
• Partnered cross-functionally with Brand and Project Management departments to align marketing strategies
• Engaged in strategic partner programs to expand market reach
• Drove website traffic and visibility through SEO optimization, PPC campaign management, and email marketing
• Created and refined marketing materials and enhanced company website performance
• Designed and implemented A/B testing protocols to improve conversion rates
• Executed B2B initiatives including partner prospecting, brand awareness campaigns, and targeted email marketing
• Managed corporate social media presence across platforms (Facebook, Twitter, Google+) through daily content posting, audience engagement, content curation, community interaction, direct messaging, strategic networking, and click-through rate analysis

---

**EDUCATION & CERTIFICATIONS**

EADL Diploma in Project Management, Laba"
3002,"# [Your Name]

**PROFESSIONAL SUMMARY**

Experienced customer support professional with proven expertise in operations management, team mentoring, and process optimization. Demonstrated ability to manage complex workflows, train team members, and drive service improvements across multi-channel environments. Seeking management position to apply operational excellence and leadership capabilities.

---

**PROFESSIONAL EXPERIENCE**

**Customer Support Specialist**

**Operations & Process Management**
• Managed order verification and processing workflows, ensuring accuracy and efficiency
• Organized and streamlined daily work processes to optimize team productivity
• Executed process-related tasks and operational responsibilities

**Customer Service & Communication**
• Handled multi-channel customer communications including phone calls and live chat
• Delivered responsive support across multiple customer touchpoints

**Leadership & Continuous Improvement**
• Mentored and trained new team members on systems, processes, and best practices
• Identified and implemented service improvement initiatives to enhance customer experience

---

**CORE COMPETENCIES**

Operations Management • Workflow Optimization • Team Training & Mentoring • Multi-Channel Customer Support • Process Improvement • Order Management • Cross-Functional Collaboration • Customer Service Excellence"
3021,"# PROJECT MANAGER | AFFILIATE MANAGER

Strategic project leader with 4+ years of management experience delivering results in international business environments. Proven track record of launching initiatives from conception to execution while building high-performing teams and strategic partnerships.

---

## PROFESSIONAL EXPERIENCE

**Head of Project** | 2020-2021

• Secured project survival and growth during pandemic restrictions in absence of outdoor advertising channels
• Drove consistent visitor growth in challenging market conditions
• Led project through critical development phase with emphasis on results and deadline adherence

**Business Development Manager** | The German-Ukrainian Chamber of Industry and Commerce | 2019-2020

• Managed IT & Cyber Security working group, successfully advancing it to committee status within one year
• Cultivated and maintained strategic relationships with local and international partners
• Designed and executed complex projects from concept through full implementation

---

## CORE COMPETENCIES

• Complex project development, planning, and implementation from inception
• Team leadership and management of up to 8 professionals
• Content preparation and execution of online & offline events
• Working group and community coordination
• Local and international partnership development
• Results-driven with strong deadline accountability

---

## CAREER OBJECTIVE

Seeking Affiliate Manager or Project Manager position with an international company or organization to leverage project management expertise and relationship-building skills in a dynamic, cross-border environment."
3093,"# PROFESSIONAL SUMMARY

Results-driven IT professional with nine years of experience in startups specializing in mobile apps, B2B, and SaaS applications. Proven ability to lead teams through transformation and growth initiatives while collaborating effectively with diverse, multicultural, and outsourced employees. Spent the last four years with a scale-up company during a hyper-growth phase, successfully driving organizational transformation and team performance through management, coaching, and mentoring.

# KEY STRENGTHS

• Coach and guide teams in Agile and Lean methodologies to deliver measurable business value
• Create high-performing environments that enable individuals to reach their highest potential
• Communicate clearly and concisely with stakeholders at all organizational levels
• Analyze information and data to make informed decisions and deliver actionable insights
• Build and maintain strong relationships across diverse teams, cultures, and nationalities
• Utilize Jira, Confluence, GitHub, and Code Climate to drive transparency, process organization, and continuous improvement

# PROFESSIONAL EXPERIENCE

**Scale-up Company** | Four Years
*Team Lead & Transformation Manager*

• Led teams through organizational transformation and expansion during hyper-growth phase
• Drove team performance improvement through hands-on management, coaching, and mentoring
• Collaborated with multicultural and outsourced employees to achieve business objectives

**Various Startup Companies** | Nine Years Total IT Experience
*IT Professional*

• Contributed to development of mobile app, B2B, and SaaS applications
• Managed internal and outsourced team members across multiple nationalities and cultures
• Applied Agile and Lean methodologies to deliver business value in fast-paced startup environments

# TECHNICAL PROFICIENCIES

Jira • Confluence • GitHub • Code Climate"
3105,"# PROFESSIONAL SUMMARY

Results-driven IT leader with 10+ years of experience in management and technology roles within IT outsource and outstaff environments. Proven track record of strengthening compliance, improving processes, and elevating output, quality, customer satisfaction, and employee morale. Expert at conceptualizing and executing program vision from start to finish, managing complex milestones while adapting to changes and shifting priorities. Lead international, cross-functional, and distributed engineering teams in delivering strategic initiatives that improve systems, processes, and bottom-line results. Highly effective at managing stringent budgets, fueling cost savings, improving delivery, and forecasting for additional needs. Work in close partnership with clients nationally and internationally.

# CORE COMPETENCIES

• PMO Establishment & Optimization • Delivery Management (50+ employees) • Pre-Sales & Client Engagement
• Risk Management & Mitigation • Budget Management & Cost Control • Process Improvement & Optimization
• Quality Management & Assurance • Leadership & People Management • Lean Agile Methodologies
• Rolling Wave Planning • Cross-Functional Team Leadership • International Client Relations
• Strategic Program Execution • Compliance Management

# PROFESSIONAL ATTRIBUTES

• Available for domestic and international travel
• Adaptable to shifting priorities and complex project requirements
• Demonstrated success achieving record-high quality metrics and customer satisfaction
• Experienced managing distributed engineering teams across multiple time zones
• Focused on cost optimization and budget efficiency
• Committed to continuous professional and personal development"
3113,"# PROFESSIONAL SUMMARY
IT professional with 10+ years of experience delivering web and mobile solutions across healthcare, education, social media, and insurance domains. Proven expertise in Agile frameworks (Scrum, Kanban, SAFe, Scrum at Scale) and traditional methodologies (RUP, Waterfall) with deep product development and business analysis capabilities.

# CERTIFICATIONS

**Project Management & Agile Leadership**
- Project Management Professional (PMP) - Project Management Institute
- ICAgile Certified Professional - Agile Coaching (ICP-ACC)
- ICAgile Certified Trainer
- Certified ScrumMaster (CSM) - Scrum Alliance
- Certified Scrum Product Owner (CSPO) - Scrum Alliance
- SAFe Advanced Scrum Master (SASM)
- Registered Product Owner at Scale (RPOAS) - Scrum at Scale
- Registered Scrum at Scale Fundamentals (RSASF) - Scrum at Scale

**Kanban & Continuous Improvement**
- Kanban System Design (KMP I) - Kanban University
- Kanban Maturity Model - Kanban University
- Kanban Coaching Practices - Kanban University

**Facilitation**
- Member, International Association of Facilitators (IAF)

# CORE COMPETENCIES
- Project & Product Management
- Agile Frameworks: Scrum, Kanban, SAFe, Scrum at Scale
- Traditional Methodologies: RUP, Waterfall
- Business Analysis & Requirements Engineering
- Team Coaching, Training & Facilitation
- Process Optimization & Continuous Improvement

# TECHNICAL SKILLS

**Methodologies & Notations:** Agile, Scrum, Kanban, SAFe, RUP, Waterfall, BPMN, UML

**Project Management & Collaboration Tools:** Jira (including administration), Confluence, Azure DevOps (TFS), Asana, PivotalTracker, MS Project

**Analysis & Design Tools:** Miro, Microsoft Power BI, Postman, Xmind, Balsamiq Mockups, draw.io

**Technical & Office Applications:** SQL, MS Office (Word, Excel, PowerPoint, Outlook)

# INDUSTRY EXPERIENCE
Healthcare | Education | Social Media | Insurance

# LANGUAGES
English: Upper-Intermediate"
3118,"# PROFESSIONAL RESUME

## EDUCATION

**Warsaw University of Technology (WUT)**  
Faculty of Computer Science  
1 year 6 months | English-language program | Study grant recipient

## PROFESSIONAL EXPERIENCE

**Single Point of Contact**  
2 months

**Tech Lead Project Manager Department**  
1 year 3 months

**Project Manager**  
1 year

**Front-end Developer**  
4 months

## KEY ACHIEVEMENTS

- Delivered Fortune 500 company website in collaboration with USA stakeholders
- Expanded project scope from single domain to successful launch of 8 new domains
- Presented at 3 annual conferences on project management methodologies, planning and approval processes, customer requirements analysis, team collaboration, and project delivery

## ADDITIONAL INFORMATION

Detailed CV with comprehensive technical skills and previous project information available upon request"
3120,"# PROFESSIONAL SUMMARY

Results-driven Project Manager with extensive experience delivering time and material and fixed price projects across enterprise, e-commerce, financial services, and big data domains. Proven expertise in risk management, time management, cost management, and scheduling. Strong leadership capabilities with exceptional communication and negotiation skills. Proficient in Agile, Scrum, and Kanban methodologies.

# CORE COMPETENCIES

**Project Management**
- Time and Material Projects
- Fixed Price Project Delivery
- Risk Management
- Time Management
- Cost Management
- Project Scheduling

**Industry Expertise**
- Enterprise Solutions
- E-commerce Platforms
- Financial Services Development
- Big Data Projects

**Methodologies & Leadership**
- Agile Methodologies
- Scrum Framework
- Kanban
- Team Leadership
- Stakeholder Communication
- Contract Negotiation

**Tools & Platforms**
- Jira
- Confluence
- Trello
- Redmine
- VSTS (Visual Studio Team Services)
- Salesforce
- Kimble"
3122,"# AGILE DELIVERY & PROJECT MANAGEMENT

## Core Competencies

• Agile Delivery Management including version planning, building versions via Jenkins and GitHub Actions, and deploying to Azure and AWS environments (dev and production)

• Established and streamlined delivery and release processes from scratch

• Organized and led Scrum Events and maintained Scrum Artifacts

• Developed roadmaps, resource plans, project charters, and reports; mitigated risks and ensured regular and timely delivery of value

• Authored Business Requirements, User Stories, and Job Stories; conducted investigative research in project domains to collect critical information

• Collaborated closely with developers, UI/UX teams, and stakeholders to drive project development

• Participated in pre-sales activities and client meetings; prepared estimations and proposals

• Contributed to company process development, wrote role descriptions, interviewed stakeholders, and collaborated daily with CTO

• Led teams through daily stand-ups, 1:1 meetings, retrospectives, task management, skills development, issue resolution, and documentation creation

## Professional Philosophy

• Thrive on challenges and excel in collaborative team environments

• Seek projects in meaningful domains that contribute to positive impact

• Pursue opportunities to leverage diverse experience while driving results and fostering continuous learning and professional development"
3123,"# PROFESSIONAL SUMMARY

Certified Agile Project Manager and Scrum Master with extensive experience creating IT projects from scratch and leading startups to growth. Proven track record discovering new Western markets and delivering medical, business, and educational projects. Successfully completed dozens of projects in PM, UX, BA, and QA roles. Experienced leading long-term products and managing projects with 80+ team members. Strong technical background with expertise in business analysis, remote team management, and change/risk management. Skilled in hiring developers and engaging clients in technology discussions.

# CERTIFICATIONS

- Certified Agile Project Manager
- Scrum Master Certified

# CORE COMPETENCIES

**Project Management:** Agile | Scrum | Kanban | DSDM | Jira | Redmine | Change Management | Risk Management

**Technical Skills:** iOS | Android | PHP | Drupal | UI/UX | Axure | Prototype | Mindmap

**Business Skills:** Business Analysis | Sales & Account Management | Business Development | Scope Clarification and Prioritisation

**Leadership:** Team Management | Remote Management | Influencing | Leading | Delegating

**Languages:** Advanced Business English

# KEY ACHIEVEMENTS

- Created IT projects from scratch and led startup growth initiatives
- Discovered and expanded into new Western markets
- Implemented business analysis stage in customer relations process
- Successfully delivered dozens of projects across PM, UX, BA, and QA roles
- Led long-term product development initiatives
- Managed complex projects with teams exceeding 80 members
- Built and developed high-performing development teams
- Delivered medical, business, and educational projects and products"
3133,"**PROFESSIONAL SUMMARY**

Results-driven Project Manager, Business Analyst, and Scrum Master with 8 years of experience delivering successful outcomes in outsourcing and product environments. Certified coach with proven expertise in Agile methodologies, product development, and presale solution design.

**CORE COMPETENCIES**

• Agile Project Management (Scrum, XP, Kanban)
• Product Management & Business Analysis
• Presale Solution Design & Estimation
• Multi-Team Leadership (3-9 members per team)
• Agile Transformation & Coaching
• Process Optimization & Implementation
• 1:1 Coaching & Group Facilitation

**PROFESSIONAL EXPERIENCE**

**Agile Leadership & Delivery**
• Lead multiple concurrent development teams of 3-9 members, driving successful project delivery across outsourcing and product environments
• Guide teams and stakeholders in Agile adoption, implementing context-appropriate practices including MVP development, feedback loops, Continuous Integration, Pair Programming, Test-Driven Development, and Code Review
• Facilitate Agile transformation initiatives to maximize team performance and delivery excellence

**Strategic Business Contributions**
• Design presale solutions and lead estimation processes for new business opportunities
• Drive organization-wide process improvements across Presale, Hiring, Onboarding, and Feedback functions
• Deliver 1:1 coaching and group facilitation to enhance team capabilities and organizational effectiveness

**DOMAIN EXPERTISE**

Web • E-commerce • Gaming

**PROFESSIONAL APPROACH**

Champion transparency in communications and simplicity in processes. Optimal capacity: 1-3 simultaneous projects/teams or 1-2 projects/teams with Presale involvement."
