,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5
98402,"# UI/UX Designer

## Professional Summary

UI/UX Designer with 4 years of combined experience in project management, product management, and design. Proven track record of managing 74 concurrent projects and leading mobile application development through all stages. Completed four design courses at Projector School with hands-on experience in landing page design, e-commerce, prototyping, and brand identity creation.

## Professional Experience

**Freelance — UI/UX Designer**
- Landing page design
- Design of online stores (e-commerce)
- Prototyping
- Layout of sites on Tilda
- Creation of logos and corporate identity
- Creation of visiting cards and advertising banners

**Netpeak Group — UI/UX Designer**
- Created designs for blogs and websites for reviews across different topics
- Designed landing pages on Tilda
- Developed logos

**Netpeak Group — Project/Product Manager**
- Managed team for mobile apps and websites development
- Conducted manual testing of products
- Managed complete workflow: technical task creation, prototyping, design, development, testing, and production
- Established communication channels between project stakeholders
- Organized retrospectives, backlog grooming, and planning poker sessions for project time estimation
- Created prototypes
- Analyzed data using Google Analytics and AppsFlyer
- Conducted competitor analysis using App Annie, Alexa, and Sensor Tower

## Education

Projector School — Four Design Courses (Completed)

## Core Competencies

- UI/UX Design
- Project Management
- Product Management
- Prototyping
- E-commerce Design
- Landing Page Design
- Tilda Platform
- Brand Identity & Logo Design
- Team Leadership
- Workflow Management
- Analytics (Google Analytics, AppsFlyer)
- Competitive Analysis (App Annie, Alexa, Sensor Tower)
- Manual Testing
- Stakeholder Communication

## What I'm Looking For

- Interesting projects
- Professional growth opportunities
- Well-organized management processes
- Comfortable workplace and friendly team
- A company that strives for better results with clear goals and mission
- An organization focused on employee development and positive societal impact through its products and culture"
1747,"# PROFESSIONAL SUMMARY

Self-employed entrepreneur with 8 years of experience building and scaling businesses from concept to successful exit. Demonstrated expertise in launching a profitable coffee shop chain and subsequently establishing an export-oriented manufacturing operation leveraging advanced 3D printing technologies.

---

# CORE COMPETENCIES

**Business & Project Management**
- Strategic prioritization and goal setting
- Project planning and execution
- Budget management and financial oversight
- Team delegation and performance monitoring
- Organizational development
- Risk management and mitigation

**Methodologies & Frameworks**
- SCRUM methodologies
- Agile, Kanban, and Waterfall approaches

**Technical Skills**
- Game design: theoretical foundations, UE4 and Unity basics
- Blender (Junior level): 3D modeling, UV mapping, animation
- Linux node operating

**Leadership & Communication**
- Critical thinking and decision-making
- Team management and coaching
- Time management
- Stakeholder communication
- Customer and end-user needs analysis
- Consensus building and project alignment

**Language**
- English: Intermediate (B1)

---

# PROFESSIONAL EXPERIENCE

**Self-Employed Entrepreneur** | 8 Years

- Founded and scaled a chain of coffee shops, successfully managing all operational, financial, and strategic aspects
- Executed profitable exit through sale of coffee shop chain
- Established export-oriented manufacturing business utilizing 3D printing technologies"
1784,"# PROFESSIONAL EXPERIENCE

**3D Artist**
Utilized creative abilities to craft visually stunning and realistic 3D models and animations.

**Graphic Designer**
Employed design skills to create compelling visual assets for different projects.

**Videographer & Video Producer**
Captured and edited high-quality videos, employing keen eye for detail and technical proficiency to create impactful visual narratives.

**Digital Marketing Professional**
Strategized and executed effective marketing campaigns. Utilized digital marketing tools and platforms to drive traffic engagement, enhance brand awareness, and generate leads.

**Event Organizer**
Organized music art festival in Azerbaijan, showcasing vibrant and diverse music culture of the region. Contributed to DokuBaku International Documentary Film Festival, promoting and celebrating documentary filmmaking.

**Start-up Experience**
Worked with start-ups in fast-paced and dynamic environments, developing versatile skill set and understanding of challenges and opportunities start-ups face.

# SKILLS

3D Art | Graphic Design | Video Production | Videography | Digital Marketing | Event Organization | Start-up Operations"
2476,"# CLIENT SUCCESS MANAGER

## PROFESSIONAL SUMMARY

Results-driven Client Success Manager with proven expertise in managing large US-based enterprise accounts and fostering strategic client relationships. Track record of driving account growth through strategic planning, process optimization, and team development. Experienced in overseeing multiple large-scale engagements with 30-50 dedicated engineering professionals across 3-4 parallel accounts.

## CORE COMPETENCIES

- Multi-Account Management & Client Relationship Leadership
- Strategic Business Analysis & Roadmap Development
- Opportunity Initiation & Proposal Development
- Executive Reporting & Business Reviews
- Project Scope Analysis & Risk Management
- Team Management, Coaching & Mentorship
- Partnership Development & Account Expansion
- Software Development Methodologies & Life Cycle Management
- eCommerce & IT Project Collaboration

## PROFESSIONAL EXPERIENCE

**Client Success Manager**

- Managed account health and growth for large US-based enterprise clients, overseeing 3-4 accounts simultaneously with 30-50 dedicated engineering team members
- Analyzed client business pain-points and assisted in roadmap development to achieve strategic goals
- Directed all aspects of client relationships across multiple engagement models
- Actively participated in opportunity initiation process, including drafting proposals and statements of work
- Conducted executive reporting and business reviews to ensure alignment and transparency
- Performed project scope analysis and implemented risk/issues management strategies
- Generated and implemented improvement initiatives that resulted in significant account and team growth
- Built and strengthened engineering teams while developing processes and client strategies
- Extended partnerships with existing clients through trust-building and collaborative approaches
- Mentored team members who progressed to become talented engineers and solution architects
- Removed project obstacles to ensure seamless execution and delivery

## TECHNICAL EXPERTISE

**Platforms:** Salesforce | IBM Websphere | Magento

**Methodologies:** Software Development Life Cycle | IT Project Management"
2515,"**PROFESSIONAL EXPERIENCE SUMMARY**

**Key Responsibilities:**

• Built and maintained long-term, trust-based client relationships

• Analyzed and resolved complex customer issues through effective troubleshooting

• Coordinated client onboarding and platform integration projects

• Facilitated communication between clients and development teams

• Drove sales initiatives and client retention strategies

• Managed sales documentation including agreements, contracts, and invoices

• Utilized project management and business tools: Zoho, Jira, Confluence, SAP, 1C


**CAREER OBJECTIVE**

Seeking opportunities to advance into project management roles"
2517,"**Project Management & Client Relations**

Managed up to 15 concurrent projects, ensuring timely delivery through comprehensive process monitoring and strict adherence to schedules and deadlines.

Identified client needs and provided tailored solutions through strategic cross-selling and upselling initiatives.

Maintained consistent stakeholder communication with regular progress updates, proactively addressing potential issues and risks.

Cultivated long-term client relationships to drive retention and business growth.

**Business Development & Sales**

Processed inbound client requests and pursued outbound lead generation through targeted prospecting.

Delivered compelling proposals and guided clients through the complete sales cycle from initial contact to contract execution.

Prepared and finalized client agreements to secure new business."
2529,"# PROFESSIONAL SUMMARY

Results-oriented professional with diverse experience in communication, teamwork, and project management. Analytical problem-solver committed to continuous growth and professional development. Dedicated to building mutually respectful relationships that drive successful outcomes.

# CORE COMPETENCIES

• Communication
• Teamwork & Collaboration
• Project Management
• Analytical Thinking
• Strategic Planning

# PROFESSIONAL EXPERIENCE

Held multiple positions focused on communication, teamwork, and project management.

# PROFESSIONAL APPROACH

Committed to honest, respectful professional relationships that enable all parties to deliver optimal results. Focused on strategic thinking, thorough planning, and goal achievement."
2538,"# PROFESSIONAL SUMMARY

Results-oriented and dedicated recently graduated student with over 2 years of experience working with Amazon and Asian partners. Adept at completing extensive market research, negotiating with suppliers, developing and implementing cost-saving plans, and executing various supply chain and Amazon-related activities. Possesses critical thinking skills and significant ability to remain calm in stressful situations.

# PROFESSIONAL EXPERIENCE

**E-commerce Operations Specialist**

- Successfully closed the eBay expansion project, enabling company growth into new marketplace channels
- Redesigned supply chain processes to reduce logistics costs and improve operational efficiency
- Negotiated with Asian suppliers to improve product quality, achieving measurable quality improvements
- Managed re-import operations to the US, eliminating duplicate tax payments and reducing costs
- Handled diverse strategic projects including market expansion to other countries and marketplaces
- Prepared legal documents to maintain selling authorization on Amazon platform
- Coordinated registration with different organizations in the EU to support international operations
- Led product quality improvement initiatives across supplier network
- Optimized supply chain planning and execution processes

# SKILLS

- Market Research & Analysis
- Supplier Negotiations
- Supply Chain Management
- Cost Reduction & Optimization
- Amazon Platform Operations
- International Market Expansion
- Legal Documentation & Compliance
- Cross-functional Project Management
- Strategic Planning"
2551,"PROFESSIONAL SUMMARY

Professional with 3+ years of in-house legal practice in IT Product Company, now advancing to Account Manager role. Comprehensive understanding of the complete SDLC cycle with deep expertise in Data Privacy, Intellectual Property, Commercial and Contract Law. Proven ability to manage teams, recruit talent, and build relationships with international companies and customers. Strong organizational capabilities including attention to detail, multitasking, and adapting managerial methodologies to meet business objectives.

EXPERIENCE

Legal Counsel | Benish Group

• Advised colleagues on corporate policy, legal risk analysis and mitigation strategies, providing actionable recommendations
• Collaborated with cross-functional teams including developers, analysts, marketing managers, and leadership to oversee activities reducing legal risks
• Communicated with customers, business partners, and service providers across multiple jurisdictions
• Drafted Rules for provision of services (offers), Privacy Policies, and Terms of Use for Applications in compliance with GDPR
• Contributed to product development and optimization of business processes across the entire group of companies
• Implemented legal compliance across diverse business operations including personal data protection, intellectual property, PR and marketing, sales, payments, and consumer rights
• Organized and maintained contractual activities including legal expertise, contract drafting in accordance with local legislation and internal company standards and procedures

Project Manager Assistant | Vayosoft Team

• Managed contracts, RFP, and RFI processes
• Collaborated with procurement on supplier negotiations and contractor evaluation according to company procedures
• Organized team meetings, follow-ups, and action lists
• Prepared reports and presentations for upper management
• Participated in creation of new projects from inception through MVP to enhancement of working applications"
2553,"# Professional Summary

Experienced professional with comprehensive background in business development and project management within the IT industry. Possess theoretical and practical knowledge of project management skills and responsibilities, with expertise in people management and B2B client relations. Seeking project manager opportunity in an outsource company to further develop skills working with foreign customers.

# Professional Experience

**Business Development Manager & Project Manager - Outstaff Projects**

## Key Responsibilities

**People Management**
- Conducted 1-1 meetings and performance reviews
- Monitored sprint processes

**Team Leadership**
- Led and motivated team members
- Maintained friendly work atmosphere

**Talent Acquisition**
- Sourced and recruited new employees
- Conducted interviews for technical and non-technical positions
- Onboarded new employees into company environment

**Account Management**
- Managed ongoing projects
- Negotiated and resolved conflicts with customers

**Business Development**
- Presented company capabilities
- Prepared estimation documents
- Maintained communication with partner companies

**Customer Relations**
- Provided customer support from initial contact through closing
- Identified outstaff project opportunities
- Prepared documentation for outstaff deals

# Career Objective

Seeking project manager role in an outsource company to develop B2B expertise and work with foreign customers."
2554,"# Professional Summary

Results-driven professional with 4 years of successful B2B international communication and sales experience. Proven excellence in oral and written presentation, team-building, and public speaking. Strong communicator with demonstrated management and problem-solving capabilities.

# Education

Master's Degree in Foreign Economics

# Professional Experience

**B2B International Communication and Sales** | 4 years
- Managed client accounts and drove sales initiatives
- Conducted international business communications
- Collaborated effectively in team environments
- Delivered presentations to stakeholders

# Skills

**Communication & Management**
- International B2B communication
- Account management
- Sales
- Problem-solving
- Team collaboration
- Public speaking

**Technical & Design**
- Web & mobile UI/UX design (basic)
- Prototyping (basic)
- Agile methodologies in SDLC

**Tools & Software**
CRM, Google Docs, Figma, Axure RP, Coggle, Adobe Photoshop, Canva, Trello, Slack

# Professional Development

- Business Analytics
- Web & Mobile UI/UX Design

# Career Objective

Seeking an account management or junior project manager position in the development/design field. Interested in business solutions, web & mobile UI/UX design, prototyping, and cross-cultural communication. Eager to contribute to a creative and determined team working on challenging projects while continuously developing professional skills."
2555,"# Will be provided during the interview

## Professional Experience

**EdTech Project Manager** | 1 year
- Led lead generation, outbound sales, and support initiatives for secondary and higher education sector serving Western European and USA markets

**Support Team Lead** | EdTech Company
- Promoted from Customer Support/Account Manager role
- Managed customer support operations for Western Market (Western Europe and USA)
- Total tenure: 5 years

**Sales Assistant** | International Chemical Raw Materials Distribution Companies | 5 years
- Supported sales operations across multiple international organizations in chemical raw materials distribution industry

## Technical Skills

- **CRM & Business Tools:** IBS, SAP, Zoho, Confluence, Jira, Kommo CRM, Canva (advanced user)
- **Programming:** General knowledge of Java programming concepts

## Career Objectives

- Stability of income
- Professional growth opportunities
- Healthy work atmosphere"
2556,"**Account Manager**

• Managed client relationships through email correspondence, cold and warm calling, and product demonstrations
• Tested application functionality and created customized company profiles to meet client specifications
• Provided comprehensive support by addressing client questions and inquiries regarding application features
• Developed strategic approaches to increase client engagement and product adoption
• Produced regular website content including blogs and tutorials

**Sales Support Agent**

• Conducted market research and analysis for Ukrainian and Russian markets
• Supported British company's expansion into Eastern European markets
• Executed B2B sales initiatives through direct communication with business owners and representatives
• Maintained accurate reports and documentation for all sales activities

**Customer Support Agent**

• Resolved thousands of customer service issues for clients across USA, Canada, and Great Britain
• Communicated with customers via telephone and email to provide timely solutions
• Managed customer profiles and subscriptions, including adjustments and refunds as needed
• Utilized CRM systems to track and document customer interactions
• Performed quality assurance reviews of outsourced call center performance
• Conducted follow-up calls to verify customer satisfaction
• Completed all required reporting and documentation"
2577,"# PROFESSIONAL SUMMARY

Results-driven project management professional with extensive experience in workflow optimization, team coordination, and e-commerce operations. Proven track record in Salesforce administration, process improvement, and talent acquisition. Successfully managed multiple e-commerce businesses while maintaining high-quality service delivery and operational efficiency.

---

## PROFESSIONAL EXPERIENCE

**Project Coordinator**
Upwork Premium Services Team

- Measured service efficiency through contrastive analysis and comprehensive reporting
- Delivered administrative support for program operations
- Imported and maintained lead data in Salesforce database
- Monitored and reported team activity on overdue tasks and tickets
- Handled high-value escalations from internal teams
- Revised current processes and implemented improvements and amendments

**Online Store Project Manager (Remote)**

- Optimized workflow by delivering high-quality customer service
- Managed high volume of time-sensitive tasks with results-oriented approach
- Administered backend admin panel
- Managed hosting infrastructure, dedicated servers, and provided first-line support
- Oversaw dispatch management operations
- Resolved support tickets efficiently

**Talent Agent Admin & Talent Specialist**

- Sourced high-caliber talent for Upwork internal teams and clients
- Conducted video interviews with freelancers from Americas, Europe, and Asia
- Created and handled Jira tickets
- Optimized operations to improve program efficiency and quality
- Created, maintained, and improved SOP documentation

**Magento E-Commerce Project Manager**

- Created and assigned tasks to development team and improved UI optimization
- Collaborated with SEO and marketing teams
- Conducted performance review meetings
- Established cooperation with manufacturers and suppliers worldwide and configured vendor relationships
- Managed inventory, payment methods, shipping configurations, and shipping rates in Magento
- Managed orders, dispatch operations, and refunds
- Handled customer inquiries and resolved complaints

---

## CORE COMPETENCIES

- Workflow & Process Optimization
- Team Management & Coordination
- Salesforce Administration
- E-Commerce Operations
- Project Management
- Customer Service Excellence
- Vendor Relations
- Talent Acquisition & Sourcing
- SOP Documentation
- Performance Analysis & Reporting"
2582,"# RESUME

**PhD in Economics (Candidate of Economic Sciences), 2018**

---

## PROFESSIONAL EXPERIENCE

**Project Manager | Ukrainian Social Academy**  
Jul 2019 – March 2020

• Conducted analysis of competitors, their products and promotion  
• Formulated logic and questions for depth interviews, conducted depth interviews, analysed and interpreted results  
• Outlined client portraits (target audience), client segments, their characteristics and behavior, needs, pains and gains, and value propositions  
• Created educational program concepts: structure, objectives, sequence of topics, expected outcomes and expert involvement  
• Produced requirements regarding experts' (lecturers') focus and objectives, analysed their proposals and negotiated program updates  
• Created promotion plans for products, coordinated realisation and assigned responsibilities  
• Formulated draft texts and messages for Facebook posts  
• Produced provisional budgets for products  
• Communicated with clients, defined and analysed their needs  
• Tested new company website

**Project Manager | EdEra**  
April 2019 – May 2019

**Account & Project Manager | Kyiv-Mohyla Business School [kmbs]**  
May 2016 – July 2018

• Managed Executive Development Programs at all stages from scheduling and promotion to retrospective and development of suggestions  
• Managed multiple projects simultaneously  
• Identified key expectations, needs and goals of clients and their businesses; advised clients  
• Managed client relationships and provided excellent service and support  
• Coordinated with Marketing and Finance departments  
• Developed marketing plans for programs  
• Represented the school at external events to support business development efforts and communicated with prospective clients  
• Collected feedback from clients for product improvement and client advising  
• Suggested program improvements and provided senior staff with retrospective on program results  
• Coached new team members and familiarised them with processes  
• Coordinated and prepared texts and concepts for promotional materials and mailings  
• Administered company website  
• Worked with CRM and analytics; contributed to development of CRM system  
• Worked with Learning Management System (LMS)

**Intern | Presidential Administration of Ukraine (USAID Rada Program & Liga Interniv)**  
Nov 2014 – July 2015

---

## KEY ACHIEVEMENTS AT KYIV-MOHYLA BUSINESS SCHOOL [KMBS]

• Suggested improvements to the logic of the medium-term program that enabled participants to introduce changes in their businesses easier than before; participants demonstrated better understanding of content  
• Selected to team focused on implementation of new CRM system; responsible for testing, bug reporting and designing interface based on processes and needs of department  
• Appointed to commission that evaluated participants' graduation projects on the medium-term program

---

## ADDITIONAL QUALIFICATIONS

• IELTS Academic test score: 7.0 (2011, 2014)  
• Participant, Internship Program at Presidential Administration of Ukraine (USAID Rada Program and Interns' League)  
• Completed 6 online courses at Coursera: ""An Introduction to Marketing""; ""Critical Perspectives on Management""; ""Critical Thinking in Global Challenges""; ""A Beginner's Guide to Irrational Behavior""; ""Games without Chance: Combinatorial Game Theory""; ""Fundamentals of Global Energy Business"""
2583,"# Professional Summary

Experienced account and digital marketing professional with over 4 years of experience in B2B/B2C working with AdTech and Crypto products. Skilled in E-mail Marketing, Communications, Digital Marketing, and Project Management. Motivated by fast-paced environments, strong professional teams, and challenging tasks. Eager to advance in user retention and product development as a Project Manager or Retention Manager.

---

## Professional Experience

**Account Project Manager**  
Genesis - Sendios.io  
- Rebuilt the account flow for managing clients' tasks for the whole team

**Product Manager**  
Coreteka  
- Launched the updated version of the company website

**Sales and Account Manager**  
BitMedia  
- Achieved 20% growth of advertiser cost through the whole network
- Set up the Pipedrive CRM system

**User Acquisition Manager**  
MGID  
- Closed 2 times more clients for 3 months in a row in comparison with colleagues
- Conducted team education through presentations and delivering

---

## Core Skills

- E-mail Marketing
- Digital Marketing
- Project Management
- Communications
- B2B/B2C Sales
- CRM Systems
- User Acquisition
- Team Training"
2584,"**PROFESSIONAL SUMMARY**

Results-driven project management professional with proven expertise in digital marketing campaigns and client relationship management. Demonstrated success managing 143 completed projects with a total budget of $310,000 USD. Skilled in leading cross-functional teams, optimizing project workflows, and delivering results within scope and budget. Experienced in strategic planning, stakeholder management, and team development.


**CORE COMPETENCIES**

• Project Management & Execution
• Budget Management ($310,000 USD total portfolio)
• Cross-Functional Team Leadership (10-15 people)
• Client Relations & Account Management
• Digital Marketing Campaign Management
• Strategic Planning & Business Development
• Training Development & Delivery
• Team Mentoring & Development
• Market Research & Analysis
• Project Management Tools: Teamwork, Asana, Notion


**PROFESSIONAL EXPERIENCE**

**Lead Account Executive**

- Establish, develop, and lead strategic partnerships and collaborations by influencing and advocating for company strategic priorities
- Create customer acquisition techniques and retention strategies for current client base
- Conduct market research and analysis to develop detailed business plans on sales opportunities

**Middle Project Manager**

- Coordinate and manage multi-functional project teams of 10-15 people to ensure successful delivery of marketing campaigns
- Oversee strategic goals and tactical decisions through weekly cross-functional meetings
- Mentor Junior Project Managers, successfully developing 1 junior team member to middle-level position
- Manage concurrent projects with capacity to oversee 56 simultaneous initiatives
- Work directly with clients to achieve project goals within defined scope and budget parameters


**ACHIEVEMENTS**

• Successfully completed 143 projects
• Managed project portfolio totaling $310,000 USD
• Developed and delivered training programs on negotiation techniques and troubleshooting for company employees
• Currently mentoring 3 Junior Project Managers with proven track record of team advancement"
2585,"# PROFESSIONAL SUMMARY

Result-oriented project management, marketing, and sales professional with a proven track record of managing highly successful projects and increasing revenue growth in competitive markets. Experienced in business processes across Marketing, Sales, and IT with professional experience collaborating in Agile/Scrum environments and international teams. Continuously developing technical expertise in emerging information technologies through workshops and courses in Online Marketing, Scrum, Agile Project Management, and Lean Project Management.

# EDUCATION

**Master's Degree** | Germany
- International master's degree awarded with ""very good"" grade
- Multilingual certification: German/English

**Bachelor's Degree** | Germany

# PROFESSIONAL EXPERIENCE

**Head of Business Development**
- Manage team of sales and account managers
- Increased revenue growth by 50% in respective market
- Manage large integration project with third-party software supplier (Top European ECM Software Solution)

# SKILLS

- Project Management
- Business Development
- Marketing & Sales
- Agile/Scrum Methodologies
- Team Leadership
- International Collaboration
- Business Process Optimization
- IT Integration Projects
- German (Native/Fluent)
- English (Fluent)

# PROFESSIONAL INTERESTS

- Career advancement opportunities
- International travel
- Continuous skill development
- Collaborative team environments
- Reputable organizations"
2586,"# Professional Summary
7 years of experience in client service and project management

---

## Professional Experience

### Account Project Manager
**Media Agency Vizeum (Dentsu)** | 1.6 years

• Organization and coordination of interaction between the Agency and the Client in the process of development, approval, and implementation of projects/products

• Daily communication and client service for local and global client and customer teams

• Complex client management in media: Planning media strategy in all types of media: TV (including TV sponsorship), OOH, Radio, Digital

### Senior Account Manager
**Marketing Services Agency Adsapience** | 3.1 years

• Account Management: development of concepts for brand/product promotion; building the structure of operational processes; daily customer support; processing customer requests; preparation of project budgets

• IT Project Management: coordination of web developers team for websites and app development; supervising national teleconferences

• Operations Management: continuous communication with 4-5 other teams of the specific area (product development, creative, digital, production, legal, logistics); managing and participating in all procedural processes

• Team Leading: leading mass BTL, B2B, B2C events; partner integrations; coordination of a team of more than 20+ people; training and quality control of middle managers

• Customer support: coordination of the implementation of services for the client; handling problems and providing better solutions

### Account Manager
**Marketing Agency TMA Ukraine** | 1.9 years

• Development and integration of marketing promotion for the shopping and entertainment center (Kyiv); 318 projects with an attendance of up to 55,000 people a day

• Coordination of different types of trade-marketing projects; full-cycle management of all processes"
2587,"# Professional Experience

**Account & Project Manager**
Dutch SaaS Company | Supply Chain Risk Management Software

## Company Overview
Provider of supply chain mapping software and verified risk data analytics solutions
- Market Focus: European enterprise clients
- Supply Network: Global operations

## Key Responsibilities

**Client Management & Business Development**
- Advise international clients on supply chain risk solutions and industry trends
- Serve as primary point of contact for client inquiries and issue resolution
- Ensure client satisfaction and account retention

**Project & Financial Management**
- Prepare and manage project budgets
- Oversee ongoing project delivery and timelines
- Coordinate cross-functional IT team resources

## Technical Proficiencies
- Teamleader CRM
- Microsoft Office Suite
- Tableau
- Proprietary supply chain management platforms"
2588,"**Account Manager**
ProfiAds (Advertising & Event Agency) | June 2015 – Present

**Key Qualifications & Responsibilities:**

- Launched large-scale projects for major brands across shopping centers throughout Ukraine, including Vodafone, Davidoff, Mary Kay, Glo, Lays, OPPO, Vitto Rossi, Fellini, and Vivo

- Managed comprehensive project documentation including client negotiations, contract execution, client communications, shopping center correspondence, and budget oversight

- Conducted on-site meetings to finalize location placement agreements and supervised project launches across multiple cities

- Coordinated cross-functional teams by liaising with designers to create layouts and securing client approvals

- Oversaw end-to-end advertising placement execution including layout printing, contractor sourcing, installation management, equipment import/export logistics, permit acquisition, and installation/dismantling supervision"
2589,"**PROFESSIONAL SUMMARY**

Result-oriented Account Manager/Project Manager with 5+ years of experience in product and outsource companies, successfully delivering 19 commercially launched projects. Organized and diligent professional with strong written, oral, and interpersonal communication skills. Stress-resistant with proven ability to work under pressure and manage multiple projects simultaneously.

**CORE COMPETENCIES**

- Scrum Event Facilitation
- Project & Stakeholder Communication Management
- Team Staffing & Resource Allocation
- Project Documentation & Financial Management
- Software Development Planning & Execution
- Requirements Analysis & Project Estimation
- Cross-Functional Team Leadership
- Performance Management & Team Development

**PROFESSIONAL EXPERIENCE**

**Account Manager/Project Manager**

*Key Responsibilities:*
- Facilitate Scrum events across multiple project teams
- Plan and manage internal and external project communications
- Control staffing processes and resource allocation
- Manage project documentation, financial tracking, and invoicing processes
- Lead internal delivery teams to ensure successful project execution
- Evaluate and estimate software implementation requests, including goals, cost, scope, and efficiency metrics
- Plan software development processes and monitor execution of development plans
- Build and develop high-performing, collaborative project teams
- Drive effective individual and team performance through strategic people management

**PROFESSIONAL ATTRIBUTES**

Positive, open-minded team player committed to project success and continuous professional development. Seeking opportunities with organizations that foster strong team collaboration and provide pathways for skill advancement and career growth."
2590,"**PROFESSIONAL SUMMARY**

Results-driven Sales Account Manager with over 4 years of experience building strong, long-term customer relationships. Skilled at bridging communication between clients and development teams while managing the full sales cycle from lead processing through project delivery and account management.

**PROFESSIONAL EXPERIENCE**

**Sales Account Manager**
4+ years

**Key Responsibilities:**
- Process verified leads and manage sales pipeline
- Identify customer needs and develop tailored solutions to meet business objectives
- Gather project requirements and prepare comprehensive project quotes
- Negotiate contract terms and close deals
- Manage client accounts throughout project lifecycle
- Facilitate business meetings between prospects, customers, and internal teams
- Generate and issue invoices

**CORE COMPETENCIES**
- Account Management
- Client Relationship Building
- Sales Cycle Management
- Needs Assessment & Solution Development
- Contract Negotiation
- Project Coordination
- Cross-functional Team Collaboration
- Customer Communication

**CAREER OBJECTIVES**

Seeking to advance career in Account Management or Project Management, leveraging strong client communication skills and experience coordinating between customers and technical teams.

**PREFERRED WORK ENVIRONMENT**
- Informal and friendly team culture
- Well-established business processes
- Mentorship and guidance during onboarding"
2591,"# [YOUR NAME]

## PROFESSIONAL SUMMARY

Results-driven Account/Project Manager with one and a half years of experience delivering quality outcomes through effective communication and strategic prioritization. Skilled at building strong relationships with teams and customers while managing multiple projects simultaneously with accuracy and responsibility.

## CORE COMPETENCIES

• Project Management
• Client Relations & Communication
• Contract & Agreement Development
• Budget Preparation
• Website Testing
• Task Prioritization & Execution
• Multi-Project Coordination
• Results Analysis & Process Improvement
• Team Collaboration

## PROFESSIONAL EXPERIENCE

**Account/Project Manager**
Duration: One and a half years

• Managed multiple projects concurrently, ensuring accurate and timely delivery
• Developed and negotiated contracts and agreements with clients
• Prepared comprehensive budgets aligned with client requirements
• Conducted website testing to ensure quality standards
• Established common ground with cross-functional teams and customers through strong interpersonal skills
• Prioritized and executed tasks efficiently to meet project objectives
• Evaluated project results and analyzed challenges to implement continuous improvements
• Maintained commitment to quality throughout all deliverables"
2592,"**PROFESSIONAL SUMMARY**

Results-driven Account Manager and Project Coordinator with proven expertise in B2B sales, partner relationship management, and team leadership across international markets. At age 21, served as the sole Account Manager for an entire region at a multinational company, coordinating a team of 10 people. Recognized alumna of Study US Institutions program for Women Leaders and winner of International Case Championship. Track record of doubling partner revenue, managing large-scale projects with 400+ participants generating $27,000 quarterly, and driving strategic growth initiatives.

**PROFESSIONAL EXPERIENCE**

**Key Account Manager | Glovo**

- Served as the only Account Manager for the country at Europe, Africa, and Asia's fastest-growing delivery platform
- Sold B2B in-app instruments and promotional campaigns to partners, generating over 4,000 euros in monthly revenue
- Doubled top 10 partners' revenue within 2-3 months through strategic relationship management
- Developed and managed partner relationships across entire account portfolio
- Owned strategic partner relationships end-to-end, including P&L tracking, product integrations, co-marketing efforts, and operational excellence
- Delivered day-to-day campaign execution, optimization, and analysis across multiple clients
- Analyzed partner KPIs and ensured month-over-month growth through performance tracking and reporting
- Served as main point of contact between Glovo's departments and partners, translating partner feedback into product, marketing, and operations improvements

**Project Coordinator/Founder**

- Founded and coordinated educational project helping students learn business basics with opportunities for university admission discounts
- Managed project with 400 participants generating $27,000 in quarterly revenue
- Worked on inbound and outbound lead generation
- Conducted training for Bishkek and regional coordinators
- Mentored and prepared teams for project participation
- Managed technical and administrative teams of 60 people
- Developed and implemented team vision and scope

**Key Customer Manager | Dubai**

- Promoted vendor products and increased sales performance
- Designed and implemented strategic sales plans
- Served as lead point of contact for all customer account matters
- Built and maintained long-lasting customer relationships
- Tested hypotheses to optimize customer relationship strategies
- Negotiated contracts and closed agreements with new leads
- Onboarded new customers through initial meetings and training sessions
- Created vendor showcases on website backend panel

**Assets Sales Manager**

- Sold assets worth more than $20,000 in 3 months
- Ensured product and sales materials remained current for presentations, conferences, and opportunities
- Prepared franchise for sale
- Managed financial reporting

**ACHIEVEMENTS & RECOGNITION**

- Alumna of Study US Institutions program for Women Leaders, selected from 200 candidates and represented country, 2019
- Winner of International Case Championship, Almaty, 2018
- Featured in popular local internet publication

**LEADERSHIP & SKILLS**

- Regional team coordination (10+ people) at age 21 in international company setting
- Cross-functional stakeholder management and communication
- Strategic planning and business development
- Project performance evaluation and KPI analysis
- Customer relationship management and satisfaction
- Contract negotiation and sales execution

**CORE VALUES**

Ownership, Drive, Healthy Atmosphere, Growth"
