,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo
127,"- Виграш конкурсу серед юних веб-дизайнерів для розробки дизайну лендінг-пейджа для стартапу навчальної платформи з трейдінгу (десктоп + мобільна версія) для іспаномовної аудиторії.
- Розробка дизайну для лендінгу навчальної платформи з трейдінгу (десктоп + мобільна версія) для іспаномовної аудиторії.
- Створення дизайну сайту для передзамовлення виробів магазину-пекарні (десктоп + мобільна версія).
- Розробка дизайну мобільного додатку для покупки та прослуховування аудіокниг українською мовою.
- Проведення редизайну сайту української компанії з розробки та підтримки електронних технологій.
- Створення PDF-презентацій для компанії, що залучає інвестиції для стартапів.
- Використання інструментів: Figma, Adobe Photoshop, Adobe After Effects.
- Обмеження у роботі з галузями Adult, Gambling, Dating, Gamedev, Blockchain/Crypto, а також з компаніями, пов'язаними з Росією та Білоруссю."
128,"Я світчер з декількома роками досвіду у сфері обслуговування клієнтів. Маю високий рівень адаптивності, вмію налагоджувати контакт та ефективно вирішувати конфліктні ситуації. Маю досвід роботи з дедлайнами та вмію ефективно працювати в стресових умовах."
129,"Фріланс, Квітень 2020 - дотепер

Графічний дизайнер

- Розробка фірмового стилю для музичного гурту «VSIVDOMA»
- Підготовка ескізів логотипу та розробка 10 рекламних постерів для соціальних мереж, веб перегляду та друку
- Розробка дизайну для соціальних мереж гурту
- Розробка концепцій дизайн макетів рекламних носіїв
- Праця у тандемі з різними клієнтами, включаючи британську компанію “EdTechX” та інші
- Розробка банерів, постерів та іншого рекламного контенту для соціальних мереж
- Досвід роботи з графічними редакторами: Illustrator, Photoshop, InDesign, Figma
- Розуміння можливостей та обмежень HTML, CSS, JavaScript"
130,"Кваліфікований UI/UX дизайнер з сертифікатом від комп'ютерної школи Hillel. Досвіду роботи не маю, але успішно завершив курси з розробки редизайну для лендінгу сайта, адаптивної версії для мобільних пристроїв, дешборду та онлайн магазину. Портфоліо доступне на Dribbble та Behance."
131,"Web UX/UI дизайнер з досвідом у створенні мобільних застосунків, інтернет-магазинів, корпоративних сайтів та лендінгів. Вмію працювати з Figma, Adobe Photoshop, Adobe Illustrator, Affinity Designer та Affinity Photo. Готовий надати рекомендації з поточної роботи."
132,"Професійний дизайнер з півторарічним досвідом роботи в компанії ""Потрібні люди"". Маю досвід у створенні дизайну інтерфейсів для веб-сайтів, включаючи лендінги, візитки, інтернет-магазини, логотипи, рекламу в соціальних мережах і банери. Останні 4 місяці працюю у сфері моушн дизайну та вивчаю 3д дизайн. Мета - приєднатися до професійної команди з UI/UX дизайну та постійно розвивати свої навички в цьому напрямку."
133,"Проектування та інтерфейси, створення адаптивного дизайну для інтерфейсів у бізнес-додатках, веб-сайтах та надання кінцевим користувачам найбільш ефективного та приємного інтерактивного досвіду. Вивчення сучасних тенденцій та використання UX-рекомендацій у роботі."
134,"University Landing Pages, Social Web Applications, end-to-end Branding, Checkout Pages and more Landing Pages
- Робота над внутрішнім продуктом компанії
- Веб дизайн
- Дизайн UI/UX
- Прототипування
- Дизайн взаємодії
- Дизайн соц мережей

Мета: Вирішувати цікаві та складні завдання з дружньою та професійною командою, рости професійно, покращувати свої навички та створювати чудовий досвід користувача."
135,"Курс Web Design Junior та Mobile App Design від Projector School з сертифікатами, вивчаю Adobe Illustrator самостійно
Розробила дизайн лендінгу для бітмейкера та самостійно перенесла дизайн з Figma у Webflow
Працювала над реальними проектами (Teach for Ukraine та ETNODIM) в рамках курсу Web Design Junior від Projector School
Web designer in Booking Ninjas (2021-2023) - interface design, client portal, mobile app for staff, hotel administration portal, student housing portal
Freelance projects - landing page for a singer, landing page for a beatmaker
Після проходження курсу Mobile App Design у Projector School, хочу розвиватися в дизайні мобільних додатків."
136,"Досвідний дизайнер, який шукає роботу в агенції, продуктовій команді або аутсорс компанії. Маю досвід роботи з ентерпрайзом і стартапами різного розміру. Від діскавері до фази дизайн QA і підтримки розробки. Вмію проводити дослідження, тестування, прототипування, проробляти інформаційну архітектуру, працювати з аналітикою і створювати або підтримувати візуальний стиль."
137,"Дизайнер та арт-директор з восьмирічним досвідом у візуальних комунікаціях. Навички включають розробку користувацького досвіду, прототипування, аудит та графічний дизайн веб-аплікацій і сайтів, арт-дирекцію та графічний дизайн (візуальна ідентифікація, прінт). Досвід у продакт-менеджменті в розробці веб-аплікацій. Мови: українська, англійська, польська, російська. Відкритий до віддаленої роботи на проектах будь-якого масштабу."
138,"Мета: Займати посаду дизайнера інтерфейсів

Досвід:

BEETROOT ACADEMY, навчання
- Навчався створювати сценарії дій користувачів та розробляти користувацький інтерфейс
- Дипломний проект: ""Платформа для планування навчального процесу в школах""

Компанія (назва), дизайнер інтерфейсів
- Робота над цікавими проектами в дружньому колективі
- Співпраця з професіоналами для вдосконалення навичок
- Активна участь у спільних ідеях та командних заходах

Навички:
- Вміння створювати сценарії дій користувачів
- Розробка користувацького інтерфейсу
- Комунікативні навички та співпраця в команді

Освіта:
- BEETROOT ACADEMY, курси з дизайну інтерфейсів

Мета: Зайняти посаду дизайнера інтерфейсів, де я зможу використовувати свої навички та досвід для досягнення успіху в професійному середовищі."
139,"Закінчив навчання в beetroot academy за напрямом UI/UX дизайн. Володію навичками створення Lo-Fi прототипів, інтерактивних прототипів, вайрфреймів, макетів та лого. Досвід роботи в команді, проведення аналізу конкурентів. Володію навичками роботи з сервісом Readymag. Маю бажання постійно розвиватися, вивчати нові технології та отримувати додатковий досвід у співпраці з професіоналами у цій галузі."
140,"Курси:
- School HotSpot: English A1 (now)
- School HotSpot: English elementary (12.05.2023)
- Projector Institute: Web Design Junior (20.04.2022)
- SkillUp: UI\UX Design (2021)

Робочо-освітній досвід:
E-Commerce:
- аналіз конкурентів та вхідних даних клієнта;
- розробка концепту та робота з референсами;
- створення дизайн системи в Figma;
- адаптивний дизайн.

Landing page:
- аналіз вихідних даних клієнта;
- аналіз конкурентів;
- пошук і робота з референтами;
- створення прототипу;
- робота з правками."
141,"Досвід роботи на фрілансі протягом 2,5 років, спеціалізується на розробці прототипів сайтів та їх дизайні, а також на створенні обкладинок для соціальних мереж. Маю велике бажання приєднатися до крутої команди, де можна отримати корисний досвід та досягти неймовірних результатів."
142,"- Freelance UI/UX & graphic designer with experience working with a variety of clients and successfully avoiding conflicts by understanding and meeting their diverse needs.
- Managed projects independently, demonstrating the ability to take initiative and deliver results without direct supervision.
- Skilled at translating creative visions into visually appealing designs, showcasing a talent for bringing any visual concept to life.
- Worked as a graphic designer at Jelvix from November 2019 to September 2020.
- Currently employed as a UI/UX designer at AnyforSoft, focusing on long-term projects and conducting UX research.
- Seeking opportunities to contribute to team projects, collaborate on UX research, and create marketing and HR materials efficiently."
143,"May 2022 - Jun 2022
Course ""English for IT""
Anna Gandrabura

Dec 2021 - Mar 2022
Course ""Mobile Apps design""
Projector Institute

Sep 2021 - Dec 2021
Course ""Ux/Ui design Start""
Designly school

10.2022 - now
Employed at a company working on a complex, multifunctional product. Due to the small size of the company, I have gained valuable experience taking on various roles and responsibilities. I oversee the entire process from business request to handoff to developers, requiring frequent communication with both the business and development teams to achieve results.

06.2022 - 10.2022
Worked at a company specializing in developing applications for Microsoft. During this time, I also gained experience in designing for X-box.

01.2022 - 06.2022
Collaborated with a team of designers on freelance projects. We worked on various interesting projects, with one standout being a desktop application for parents and children to track the child's educational progress and assist with homework completion."
144,"1. Certificate of completion the course Introduction to IT April 2023 – May 2023, Beetroot IT Company
2. GoIT Demo-Design UI-UX Marathon, created a landing page
3. GoIT UI-UX Design Marathon, redesigned an astrological application - horoscope
4. Test-drive of IT professions from GoIT, created a website layout in Figma"
145,"- UI/UX Designer
Участь у створенні дизайну сайту та особистого стилю для Міжнародного Благодійного Фонду “День За Днем”, з метою покращення інтерфейсу та дизайну для користувачів.

- Стажування як UI/UX Designer в студії KovalIt
Отримання цінного досвіду роботи в молодій та зростаючій команді.

- Веб-дизайнер в компанії “KovalIt”
Розробка повноцінного проєкту сайту курсу по зачіскам з метою створення стильного та мінімалістичного інтерфейсу для користувачів. Відповідальні за дотримання вимог ТЗ, підбір кольорової палітри та шрифтів, розробку дизайну для різних версій сайту, створення логотипу та сертифікату.

- Веб-дизайнер з особистого стилю в Міжнародному Благодійному Фонді “День За Днем” (“DayByDay”)
Розробка особистого стилю та дизайну сайту для підтримки людей, які потребують допомоги. Волонтери швидко та якісно створили сайт для команди “DayByDay” з метою полегшення їхньої роботи."
146,"1. Сертифікат `Веб-Дизайнер 2021' від школи Shendrikov Education;
2. Сертифікат WayUp `Веб-Дизайнер Взрывной Старт 2.0';
3. Сертифікат WayUp `Веб-Дизайнер Взрывной Старт 2.1';
4. Курси `Web designer` школи Shendrikov Education;
5. Онлайн курс від WayUp `Веб-Дизайнер Взрывной Старт 2.0'.

Досвід у дизайні для інтернет магазинів."
147,"1. ""Cafe for work"" project. Designed test site layout for user to search for attractive workspaces, rent a spot, select branches, and view menu options.

2. ""Flower Shop"" project. Created test site design allowing users to choose seeds, pots, and other items.

3. ""Ticket Purchase Site"" project. Developed test site design enabling users to select tickets and view current year premieres.

4. Apple store analog project. Designed test site layout for users to browse equipment categories, learn about the store, and place orders.

Role: Graphic Designer, UI/UX Designer."
148,"1. 1 рік самостійного навчання дизайну
2. Володію навичками роботи з Adobe Creative Suite
3. Досвід роботи над проектами з дизайну логотипів, брошур, веб-дизайну
4. Здатність працювати в команді та виконувати завдання в обумовлені терміни
5. Вміння працювати з клієнтами та враховувати їхні побажання
6. Креативний підхід до вирішення завдань у сфері дизайну."
149,"1. Розробка UI та UX для веб-сайтів.
2. Дизайн мобільних додатків.
3. Використання методології Design Thinking у процесі роботи (створення Customer Journey Maps, проведення інтерв'ю з користувачами, тестування залучення користувачів).
4. Створення Landing Pages.
5. Розробка візуального контенту для бренду (соціальні мережі, візуальний контент для блогу, HTML-банери, електронні листи, push-сповіщення).
6. Дизайн логотипів.
7. Розробка фірмового стилю та створення брендбуку.
8. Розробка та верстка POS матеріалів, дизайн мерчандайзу."
150,"2012 - 2015: Веб-дизайнер в студії DARTC
2015 - 2018: Веб-дизайнер в Lumospark
2018 - 2020: Ведучий дизайнер в Lumospark
2020 - дотепер: Фріланс - дизайнер

Досвід у створенні дизайну для сайтів, мобільних додатків, анімації, прототипів, логотипів та поліграфії. Володію програмами: Figma, Adobe Photoshop, Adobe Illustrator, Adobe XD, Balsamiq, Adobe After Effects, Adobe InDesign, InVision. Готовий швидко вивчити нові програми за потреби."
151,"UI/UX Designer with experience in creating marketplaces for no-code developers. 

2016 - 2018: UI/UX Designer at togethernetworks.com, where I developed a website template for the Yola site builder.

2018 - 2020: Product Designer at Skillum startup, responsible for designing the marketplace for no-code developers.

2020 - 2023: UI/UX Designer at Metevo agency on Upwork, working on e-commerce projects.

Seeking challenging opportunities that will utilize my experience and skills, while allowing for continuous professional growth."
152,"Досвід:

2016 - 2021 — дизайнер дитячого одягу, власний бренд:
- дизайн лого,
- дизайн одягу,
- створення лекал,
- фотозйомка та обробка фото,
- маркетинг,
- створення магазину на Etsy
- участь в ярмарках ""Всі свої""

2019-2021 — баєр спортивного одягу з США:
- створення інтернет магазину,
- створення контенту в інстаграмі.

З 2020 - графічний дизайнер:
- створення ілюстрацій,
- створення анімацій,
- обробка фото.

З 2022 - магазин в Etsy з майстер-класами англійською мовою по пошиву фетрових іграшок та оригінальні принти:
- скетчі в Procreate,
- дизайн и викрійки в Adobe Illustrator,
- ведення сторінки магазину та маркетинг в Etsy.

2022 - UI/UX фрилансер:
- створення контенту в інстаграм,
- створення лого, банерів, візиток,
- розробка дизайну та редизайн сайтів."
153,"Досвід:

2018-2019 Веб студія “Ранок”
- Розробка прототипів та дизайну для міжнародних проектів
- Виконання ресерчу та мудбордів для клієнтів
- Використання Adobe Photoshop та Figma для дизайну
- Створення презентацій для організації роботи колективу
- Кураторство нових співробітників та стажерів
- Мерчендайзинг вітрин та організація офісного простору

Літо 2020 Робота з блогером
- Пошук блогерів для реклами та аналіз їхньої статистики
- Створення чек-листів, гайдів, обкладинок та монтаж відео
- Генерація ідей для блогу та їх реалізація

2019-2022 Магазини з непродовольчими товарами
- Дотримання касової дисципліни та відповідальність за дії
- Робота в команді з важливістю особистих кордонів та розвитку

Навички:
- Основи дизайну, включаючи композицію, теорію кольорів та принципи UX та UI
- Робота з Adobe Photoshop та XD
- Створення адаптивного дизайну
- Високий рівень організаційних навичок та вміння працювати в команді

Будь ласка, дайте знати, якщо є ще щось, що потрібно додати чи змінити."
154,"2019 - present: Graphic Designer at Helena Studio (Israel)
- Responsible for creating visual concepts and designs for various projects
- Completed courses in web design and mobile app design at Prozhektor
- Looking to transition from graphic design to UI/UX design and seeking opportunities for junior UI/UX positions."
155,"2020-2023: First Ukrainian Studio, UI/UX Designer
- Prototyping
- Web design (landing pages, corporate websites, multi-page sites, mobile responsiveness)
- Redesigning existing websites while maintaining brand identity
- Generating website ideas, user logic, and site usability
- Building effective communication systems between user/client and product/company, focusing on modern UI/UX
- Collaborating with front-end developers and marketing team
- Describing interface interaction and behavior for developers
- Creating promotional materials."
156,"2021 - 2023: UI/UX Designer at Ux lab.
Responsible for creating UX wireframes, landing pages, branding, and designing mobile applications, Saas, and Crm.

2020 - 2020: Motion Designer at Beemlop.
Created shape animations and character animations.

2019 - 2020: Video Editor at Vilz Agency.
Handled shape animations, merging, and trimming video clips for projects like MindGame and YBW (Your Business Forum). Utilized Adobe After Effects, Final Cut Pro, Adobe Premiere Pro, Motion 5, Compressor, Adobe Photoshop, Adobe Media Encoder, and Adobe Illustrator.

2017 - 2018: Frontend Developer at Qumel Digital Agency.
Designed websites using HTML/CSS/JavaScript based on designer sketches. Developed simple website designs, maintained and updated sites, and optimized SEO. Worked on projects such as Frog Tutoring, spa.ru, and the Lviv Topography site. Implemented adaptive layouts for mobile devices."
157,"2 роки досвіду як UI/UX designer та 1 рік досвіду як Front-end developer. Завдяки цьому маю хороше розуміння процесів розробки продукту в цілому. Маю експертизу в різних сферах - security, health care, HRM system, web-development, personal management. Розвивала власний дизайн проект. Хотілось б пірнути глибше в тему UX розробки."
158,"3,5 роки досвіду в UX / UI в галузях E-commerce, Fitness, Restaurant, Medicine, Education, News, Office service.
- Участь у цікавих проектах для внутрішнього та зовнішніх ринків
- Бажання навчатися новому
- Прагнення працювати в команді з тімлідом та сеньйорами
- Повна зайнятість
- Погодинна ставка: від 25$
- Місячна зарплата: від 2 500 $"
159,"Створення дизайну landing page та великих тендерних проектів для міст Лозова та Ізюм
Досвід роботи в дизайнерському агенстві протягом 3 років, здатність ефективно спілкуватися з клієнтами
Розуміння базових принципів HTML, CSS, JavaScript та адаптивної верстки, базове знання фреймворку Bootstrap
Досвід у підготовці макетів до друку та гнучке розподілення робочого часу
Високий рівень трудової етики та здатність виконувати завдання якісно та вчасно
Бажання займатися розробкою дизайну мобільних та настільних додатків"
160,"3D візуалізація
4 роки досвіду у веб дизайні, 1 рік досвіду 3D візуалізації, 6 місяців досвіду UI/UX дизайну
Відсутність бюрократії, штат досвідчених дизайнерів, проекти дизайну мобільних додатків."
161,"Досвід роботи:

- Розробка дизайну Головної Нагороди та Диплому Кубку Вільга 2018 з авіамодельного спорту (етап World Cup 2018, Eurotour Contest 2018, Intertour F5J 2018) та участь у організації змагання.
- 4 роки та 11 місяців роботи в компанії Catalyst Apps на посадах 2D artist та UI/UX designer, де створювала інтерфейси для мобільних ігор (шутер та стратегія).
- 7 місяців співпраці з компанією Vladimir's Model, де розробляла дизайни для літаків та поліграфічних матеріалів, а також координувала роботу команди з виготовлення замовлень.
- 2 роки та 5 місяців роботи з компанією VMG Ukraine, де займалася розробкою дизайну мобільного додатку та веб-сторінки для казино в Лас Вегасі, а також створювала ігрову логіку додатку та координувала роботу команди.

Цікаві проекти та можливості для професійного зростання."
162,"5 років досвіду у UI/UX дизайні (70% додатки, 30% веб). Працював як самостійний дизайнер, так і у співпраці з іншими фахівцями.

Обов'язки:

- Розробка юзерфлоу та Customer Journey Maps
- Аналіз аналітики та конкурентів
- Прототипування
- Проведення UX тестів, коридорок та інтерв'ю з користувачами
- Live прототипування
- Розробка дизайн системи та компонентів
- UI дизайн та анімація

Технічні навички:

- Figma, Adobe Photoshop / Illustrator / After Effects / Premiere, Protopie, Midjourney / Leonardo, Google Analytics, Hotjar
- CSS / HTML
- Lottie / SVG Animations

Готовий приєднатися до команди з цікавим та складним проектом."
163,"- 6 років досвіду управління командою в digital agency SMELO
- Спеціалізація на SMM design, Web design та Identity
- Активний дизайнер з великим портфоліо робіт"
164,"- Професійний фотограф-ретушер з 7-річним досвідом
- Знання принципів композиції, перспективи, колористики та балансу
- Досвідчений користувач програм Adobe Photoshop, Figma, Adobe Lightroom, Adobe Illustrator та Adobe Premier Pro
- Пройшов курси з роботи з Figma, UX/UI дизайну, основ дизайну та роботи з Illustrator
- Бажання розвиватись у UI/UX дизайні"
165,"Курси в Projector по ""Web design"" та ""UX design"".
Вміння працювати з Adobe Photoshop, Adobe Illustrator, Adobe After Effects, Sketch, Axure, Prototyping, User Interface Design, User Experience Design, Figma, Principle, Invision.
Зацікавлена в цікавих задачах та проектах, постійно розвиваю свої професійні навички. Важлива стабільність та можливість професійного зростання."
166,"Опитування користувачів, аналіз конкурентів, розробка прототипів, дизайн інтерфейсів, анімація, тестування UX/UI, співпраця з розробниками."
167,"Молодший веб-дизайнер з емоційним інтелектом та емпатією, здатний до ефективного самоменеджменту під час самостійних проектів та спільної роботи. Маю досвід у створенні лендінгів, мобільних додатків, wireframe, прототипуванні та адаптації дизайну під будь-який тип екрану. Підтягнула знання англійської мови до рівня, необхідного для бажаної роботи за три місяці. Навчаюсь в Mate Academy.

Amazon
Графічний дизайнер
Травень 2022 - дотепер
- Створення наклейок та деколів для сайту Amazon
- Розробка векторних зображень відповідно до заданого стилю
- Пошук референсів
- Робота з типографікою
- Додрукарська підготовка"
168,"CGS-team - 2 роки
Development of web and mobile responsive design, mobile applications, presentations, social media design, and corporate-style internal document layouts. Design creation for the international market: blockchain, crypto, entertainment, medicine, health, education.

Leng Meng - 6 місяців
Design development for web and mobile applications, logos, banners, and social media design. Primarily focused on the Ukrainian market in 90% of cases. Specializing in e-commerce, government institutions, and redesign projects."
169,"CYBERION
Graphic Digital Designer
- Responsible for the visual/web/graphic design of 3 projects: CYBERION (network of eSports clubs), TRAFFIC (network of esports clubs), and Sushi Take Out (food)
- Collaborated with the Ukrainian eSports Federation (UESF) in the ""eChampions"" project as Designer

Eqvola LLP
Graphic Designer / Web Designer
- Designed banners, posts for social networks, creatives for targeted advertising, and Google Advertising
- Created designs for merch, including t-shirts, caps, etc.
- Worked with motion design and developed visual style for social network pages for 2 projects
- Led and collaborated with other designers on projects
- Created animation templates for social networks using 3D elements

SoftProject (SooprIT)
UI Designer
- Designed 2 functional dashboards and a B2B mobile application for the iOS platform

Freelance
Graphic Designer
- Designed signs, stickers, and banners for social networks, posters for concerts, and creatives for targeted advertising"
170,"Мені дуже подобається галузь дизайну. Я хотіла б працювати в сучасній компанії та створювати цікавий та якісний продукт. Мені подобається те, що я можу допомагати людям з усього світу втілювати свої ідеї в життя. Це також дає мені можливість познайомитися з багатьма чудовими людьми."
171,"У академії на “проектний практикум” за створений прототипу та розпис теоретичного матеріалу про UI/UX дизайн отримав найвищий бал

Freelancer:
Використовуючи практичні навички в Adobe Photoshop і Blender 3D, створив різні логотипи, прев'ю, початкові/кінцеві екрани та живий дизайн для стрімерів

Академія:
У академії на “проектний практикум” створив проект, де розписав теоретичний матеріал про UI/UX дизайн та створив у якості проекту прототип платформи для перегляду відео на Youtube"
172,"G.Bar
- Розробка дипломного проекту на курсах від КАМА
- Проведення досліджень та інтерв'ю для виявлення проблем користувачів
- Розробка зрозумілого флоу для додатка
- Проведення юзер тестів

Osteria
- Розробка сайту для малого інтернет магазину
- Додавання конструктору для збору букетів
- Вибір кольору та шрифту на основі бренду магазину"
173,"- Certified in web design courses
- Proficient in Figma and Photoshop
- Passionate about developing skills in web design
- Prioritizes experience and personal growth
- Willing to work for a lower salary in exchange for valuable experience
- Looking forward to feedback."
174,"Привіт! Я - графічний дизайнер та UI/UX дизайнер з досвідом роботи в Adobe Illustrator, Photoshop, Figma. Маю навички створення айдентики, креативів для соцмереж, іконок, web дизайну, ілюстрацій та UI/UX дизайну. Закінчила курс у Lemon.School та вмію ефективно розподіляти час та виконувати завдання вчасно. Обожнюю творчість та завжди працюю з натхненням."
175,"Hello! Мене звати Женя, і я є Graphic & UI/UX Designer з 2018 року. Мій досвід роботи включає співпрацю з різними компаніями, починаючи від регіональних до європейських. Я маю досвід роботи з печатними та веб-продуктами, а також спеціалізуюсь на UI/UX дизайні на фрилансі.

Мої навички включають знання основних принципів дизайну та юзабіліті, вміння візуалізувати дизайн-концепції та створювати wireframes та прототипи. Я також вмію аналізувати користувацьку поведінку та використовувати дані для поліпшення дизайну, працювати в корпоративному стилі, працювати з компонентами та автоматичними макетами, використовувати плагіни, постійно вдосконалювати свої навички та вивчати нові тенденції в дизайні.

Мої основні інструменти роботи - Figma, Adobe Photoshop та Adobe Illustrator, а також маю базові знання Adobe After Effects та Adobe Premier Pro."
176,"HEX and HSB color models
Gradient colors in HSB
Icon library, components
UI kit - simple Inputs
Inputs with icons
Custom Inputs
Labels, Textarea and Variants
Indentation system and AL
Simple buttons
Composite buttons
Selectors
Dropdowns
Dropdown Calendar
Radio Buttons, Checkboxes, Toggles
Labels & Social Icons
Tabs & Choice Chips
Tooltips
Notifications
Sliders
Pagination & Carousel
Breadcrumbs, Progress Bars & Indicators
Tables with components
Tables with tall rows
Graph Bars
Graphs
Pie Charts
Dark Mode
Dropdown adaptation
Table adaptation
Widget adaptation
PopUps: Moodboard & User Flow
PopUps: UI & micro UX
Audio player: composition, moodboard
Audio player: UI & UX process
Video player
Products Cards, Spacers, AL
Authorization: description in Notion and User Flow
Authorization: basics of atomic design
Authorization: creating form organisms
Authorization: creating templates, pages and UI design
Dashboard: layouts and independent work
Form: basics of interactive macro-UX prototyping
Form: interactive components, micro-UX
Learning Smart Animate, easing
UX testing and analytics
Token placement, mastering Figma Tokens
Creating libraries, design system documentation, projects in Figma
Brand, theme + task description
Research, exploration, moodboard and User Flow
Design concept
UI + UX design of the program
Testing and refining design
Description of the program's design system
I strive to continue to develop and expand my skills, growing alongside colleagues in a friendly company."
177,Звідки ви взяли це резюме? Чи можна його використовувати для мого власного резюме?
178,"Hi! I'm Vika, a web designer with a passion for creating innovative projects. I completed a web design course at Shendrikov Education and currently work as a UX designer at Fozzy Group, where I design for Silpo.

Soft skills:
- Excellent communication skills
- Team player
- Punctual
- Creative
- Well-balanced

Hard skills:
- Prototyping
- E-commerce structure
- Typography and color theory
- Landing page design
- Mobile design
- Adaptive responsive design
- Proficient in Photoshop, Illustrator, After Effects
- Advanced skills in Figma
- Presentation design
- Social media creative design

I am eager to continue learning and working towards achieving results."
179,"Hi there! My name is Kate, and I am a graphic designer with experience in Ui/Ux design. I am proficient in using programs such as Figma, Adobe Illustrator, Adobe Photoshop, In Design, and After Effects. My previous work experience includes designing for various print materials such as business cards, booklets, posters, corporate identity, and catalogs. I have also worked in the knitwear industry, creating illustrations for clothing. I hold a bachelor's degree in graphic design and am known for my ability to meet deadlines and plan my work effectively. I am eager to collaborate and continue learning in a new role. Thank you for considering me for any exciting opportunities that may arise."
180,"Курс ""веб-розробка"" Академії ШАГ, Одесса.

Досвід у створенні, підтримці та підтримці різних типів веб-сайтів (корпоративні сайти, сайти електронної комерції, посадочні сторінки), розробці інтерактивних прототипів та логіки сайту, створенні графічного контенту для соціальних мереж та сайтів. Досвід у розробці дизайну поліграфічних продуктів та створенні елементів корпоративного стилю. Знання принципів фронтенд-розробки, вміння працювати з HTML5 та CSS3, створення CSS-анимацій, адаптивна верстка, використання CSS-фреймворків (Bootstrap, Foundation), використання сіток. Понад 5 років досвіду роботи з CMS Wordpress, створення унікальних дизайнів та шаблонів.

ДОСВІД РОБОТИ:
NetBee 2016-2017 (WEB-DEVELOPER)
- Розробка веб-сайтів на CMS Wordpress.
- Адаптивна та кросбраузерна верстка HTML/CSS.
- Створення та дизайн інтерфейсів сайтів.

VP Production 2017-2019 (WEB-DESIGNER)
- Створення та підтримка дизайну різних типів сайтів, розробка клікабельних прототипів та логіки сайту, робота над презентаціями проектів.
- Розробка корпоративного стилю, брендування, дизайн поліграфічних продуктів, створення елементів реклами.

Готовий наполегливо працювати, вдосконалювати власні навички та створювати унікальні дизайнерські рішення."
181,"Досвід у проведенні досліджень, аналітиці та проектному менеджменті
ICan App - мобільний додаток для благодійності
- Розробка мобільного додатку з повним циклом дизайну
- Запуск проекту в 3 етапи: користувацький інтерфейс, платіжний інтерфейс, інтерфейс адміністратора
- Створення зручної навігації для користувачів

Open Doors - веб-сервіс наукової сторінки Юлії Турченко
- Розробка посадкової сторінки з повним циклом дизайну
- Підтримка персональних наукових публікацій у світовій науковій спільноті

Веб-сервіс для громадської організації
- Розробка веб-сайту з повним циклом дизайну
- Підтримка безлічі проектів по всьому світу для зміни та покращення життя людей

Веб-сервіс для платформи Crownfinding
- Розробка веб-сайту з повним циклом дизайну
- Створення краудфандингової платформи для вирішення соціальних проблем
- Можливість створення та підтримки соціальних проектів на одній платформі

Тестування"
182,"I developed landing pages and full-fledged website pages, the last of which is a site for a company engaged in landscape design. After discussing the brief in the project, the task was set to create a simple and stylish site without unnecessary details, which will interest potential customers! The site is in two languages, as the company focuses more on America and Europe. I use the program for creating sites figma, illustrator and photoshop. In figma, I make the site itself, as well as a video to show how the site will work, I also fully think over the functionality so that it is convenient for the user to use (UX). I make mockups in Photoshop to show the finished version to the client. The project also included a phone adaptor, for the user's convenience. The site was presented to the client in two versions and different styles.

I also quite often design banners for stores and street boards, the interest in advertising from the boards was 25% more calls and 3% more purchases. I used Figma and Photoshop. I cooperated with polygraphy so that there were no nuances!"
