Unnamed: 0,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo
214,"- Створення та підтримка відділу продажу з розробкою системи мотивації для 9 осіб.
- Управління проєктом по впровадженню програмного продукту BAS ERP для девелоперської компанії з фокусом на управлінський облік.
- Адаптація та вдосконалення внутрішньої CRM системи для відділу продажу.

Менеджер зі збуту
Техноцентр Маяк
Липень 2017 - Вересень 2020

Керівник відділу продажу
Компанія Softinform LLC
Вересень 2020 - Грудень 2021

- Формування команди менеджерів з продажу.
- Проведення співбесід та навчання співробітників.
- Пошук та формування баз для роботи менеджерів.
- Розробка розмовних модулів для різних груп клієнтів.
- Розрахунок та введення системи мотивації.
- Аналіз KPI.
- Ведення звітності в внутрішній CRM.
- Написання ТЗ з оптимізації та доробки CRM.

Проєкт - менеджер
Компанія Softinform LLC
Грудень 2021 - по сьогодні

- Пошук проєктів на впровадження ПО.
- Організація зустрічей та презентацій з потенційними партнерами.
- Готування презентацій для демонстрації клієнтам прикладів впровадження технологій.
- Підготовка проєктної документації.
- Контроль підписання документації.
- Організація групи проєкту та контроль дедлайнів.
- Звітність в формі проміжних презентацій замовнику.
- Ведення післяпроєктної роботи на подовження співпраці."
215,"Консультування клієнтів у магазині, по телефону та онлайн. Наповнення та дизайн сайтів, SEO оптимізація. Організація роботи інтернет-магазину, проведення продажів та переговорів про партнерство. Ведення документації та управління соціальними мережами компанії. Реклама магазину.

Досягнення: спільно з партнером створення інтернет-магазину з продажу запчастин до побутової техніки ""з нуля"".

Соціальний педагог у школі: проведення профілактичної, діагностичної, консультативної та просвітницької роботи з дітьми, батьками та педагогами. Надання соціально-психологічної допомоги сім'ям, вирішення соціально-педагогічних проблем, організація культурно-дозвіллєвої діяльності та захист прав дітей.

Посади: менеджер з продажу, комплектувальник товарів, продавець-консультант, контент-менеджер, адміністратор інтернет-магазину, соціальний педагог та інші."
216,"Менеджер проекту з досвідом управління командою в фармацевтичних і торгово-роздрібних проектах. Зібрала та керувала 8 командами, більшість учасників працюють в проектах понад 5 років. Відповідальна за організацію роботи команди, проведення переговорів з партнерами, аналіз продажів та планування бюджету, а також організацію та проведення тренінгів.

Менеджер по персоналу з досвідом управління персоналом в компанії InterApteka. Виконувала співбесіди, розробляла посадові інструкції, організовувала навчання персоналу та розробляла рішення для підвищення ефективності роботи команди. Мала можливість навчатись та рости в команді висококваліфікованих спеціалістів та добрих людей.

Лютий 2016 - дотепер: Менеджер проекту, InterApteka
Червень 2012 – Лютий 2016: Менеджер по персоналу, InterApteka"
217,"Мене звати Ліза, я PM-початківець.

Закінчила КНУ зі спеціалізацією в маркетингу, але протягом останніх 3 років займалась графічним дизайном і SMM.

Зимою 2023 року почала викладати дизайн підліткам 13-16 років, що було неймовірним досвідом. Допомагаю підліткам здобувати професію мрії, хизуватися своїми роботами та брати перші замовлення.

Викладання стало поштовхом до розуміння того, що я можу круто організовувати людей, знаходити спільну мову та мотивувати. Це додало мені впевненості спробувати себе у проджект менеджменті."
218,"Олександр
Вища освіта бакалавра зі спеціальності «Менеджмент»
Досвід роботи:
- Білінг менеджер у маркетинговій агенції (2 роки)
- Адміністративний офіс-менеджер в консалтинговій компанії
Обов'язки:
- Організація роботи офісу
- Участь у HR-процесах
- Допомога проектним командам
Мета:
Реалізуватись як проджект-менеджер
Навички:
- Софт-скіли
- Комунікаційні вміння
- Організація роботи в команді
Хобі:
Створення нових ідей та планів, робота з командою для досягнення цілей
Готовий навчатись та розвиватись для покращення у своїй професії."
219,"Моє резюме:

Маю теоретичні знання у відповідній сфері, прослуховую лекції та проходжу теоретичні курси. Маю здатність швидко сприймати нову інформацію та бажання навчатися. Готовий проявити себе у відповідній галузі та отримати офер."
220,"Співпраця з Міжнародною спортивною федерацією UCI (Азербайджан), логістичними компаніями України та ЄС (зокрема, ТОВ «ЗАММЛЕР УКРАЇНА», Proventus Trading OU (Естонія), Zammler Polska sp. z o.o. (Польща) та аграрними компаніями (зокрема, Lushbury Fertilizer Co. (США).

Останні роки працював в американській аграрній компанії Lushbury Fertilizer Co. як Project manager, відповідальний за розробку та супроводження проекту щодо впровадження нового продукту на ринок. Керував ефективною командою (10-25 членів), забезпечував комунікацію з клієнтами та інвесторами, контролював виконання завдань та використовував технічні інструменти для оптимізації роботи (Jira, Agile frameworks, SDLC).

Міжнародна аграрна компанія Lushbury Fertilizer Co. | 2019-2022
- організація роботи відділів закупівель для аграрного сектору та формування логістичних ланцюжків;
- координація та керування поставками;
- відслідковування робочих процесів, трекінг виконаних робіт та звітність;
- моделювання процесів для внесення змін у проект;
- рекрутинг нових працівників та комунікація з клієнтами.

Бажаю плідної співпраці та маю цілі увійти до ІТ сфери для подальшого розвитку та повноцінної роботи. ІТ - це майбутнє!"
221,"Успішне здобуття військового звання полковника, що свідчить про високий рівень професіоналізму, лідерських здібностей та відданості службі.

Отримання почесного звання ветерана військової служби за видатну службу, яке підтверджує внесок у розвиток та зміцнення Збройних Сил України.

Сформована репутація ефективного співробітництва та партнерства з різними організаціями, включаючи місію ОБСЄ. Це вказує на високий рівень комунікаційних навичок та здатність працювати в умовах міжнародної співпраці.

Успішне керування та реалізація складних проектів у сфері інформаційного забезпечення, включаючи розробку стратегій протидії інформаційним загрозам. Це свідчить про глибокі знання у сфері інформаційної безпеки та здатність ефективно керувати проектами.

Ефективне створення сприятливого психологічного клімату у військовому колективі та поліпшення командної роботи, що підкреслює навички управління людьми та розв'язання конфліктних ситуацій.

Мій професійний досвід складається з двох основних етапів. Перший етап – це робота у Збройних Силах України, де я пропрацював з липня 1999 до серпня 2017 року (18 років 8 місяців) на посаді заступника командира частини різних рівнів.

У цій ролі моїми ключовими завданнями було:

- Управління та координація діяльності особового складу для підтримки високої продуктивності та дисципліни.
- Взаємодія та співпраця з різними командами та стейкхолдерами.
- Участь у проведенні Антитерористичної операції, планування та логістика.
- Спілкування з місією ОБСЄ та співпраця в рамках АТО.
- Підготовка звітів для старшого керівництва.
- Створення сприятливого психологічного клімату у колективі, розвиток командної роботи та розв'язання проблем, пов'язаних із взаємодією персоналу.

Другий етап – це робота у відділі інформаційного забезпечення, де я працював з серпня 2017 по березень 2020 (2 роки 7 місяців) спочатку як офіцер відділу, а потім як керівник відділу.

На цих посадах я займався:

- Керуванням командою, що відповідає за інформаційну сферу.
- Розробкою та впровадженням планів інформаційного забезпечення.
- Координацією заходів, плануванням ресурсів та контролем термінів виконання.
- Розробкою стратегій протидії інформаційним загрозам.
- Управлінням проектами, що стосуються інформаційних систем та веб-технологій, використовуючи методологію SCRUM.
- Розв’язанням технічних та кадрових питань.

На даний момент я зацікавлений у розвитку своїх компетенцій у сфері проектного управління, зокрема в застосуванні Agile методологій. Також, хочу поглибити свої технічні навички у сфері веб-технологій та розробки. Моїм бажанням є здобуття ролі керівника проектів або консультанта з управління проектами, де я зможу застосувати свій досвід та компетенції на благо організації та команди."
222,"Мій досвід в IT компанії Ispro почався з посади фахівця з впровадження програмного продукту, де я займався налаштуванням програм, аналізом потреб клієнтів, адаптацією програмного продукту та пошуком рішень щодо оптимізації бізнес-процесів замовників. Мої проекти в основному охоплювали підприємства виробничого та невиробничого секторів, де я працював з працівниками бухгалтерського та фінансового відділів. Мої обов'язки також включали освоєння технічних задач, написання калькуляцій, автоматизацію бухгалтерської кореспонденції (проводок) та роботу з запитами SQL.

У процесі розвитку я перейшов на посаду проджект менеджера, де мої обов'язки включали постановку задач, контроль виконання робіт, дотримання термінів виконання, організацію зустрічей та переговорів, підготовку та ведення проектної документації та роботу з командою. Я використовував методи Scrum, Kanban та Waterfall для ефективного управління проектами.

У зв'язку з війною я змушений був припинити роботу, втративши проекти, які були на стадії успішного впровадження, але опинилися в окупації. Зараз я шукаю можливість розвиватися в сучасній міжнародній компанії, де зможу реалізувати та розвинути свої аналітичні здібності."
223,"Junior Project Manager with experience in customer service and client management. Skilled in closing deals with difficult clients and implementing information learned during courses. Currently working as an L&D Specialist in a logistics company, responsible for creating and delivering customer service training courses. Experienced in leading a team of dispatchers, monitoring calls for script adherence, English proficiency, and overall customer interaction. Dedicated to providing excellent service and ensuring client satisfaction."
224,"12-річний досвід у створенні, підтримці та адмініструванні інтернет-магазинів, B2B-порталів, інформаційних порталів, веб-сервісів, форумів, наповнення сайтів текстовою та графічною інформацією
Знання адмін-панелей PrestaShop, WordPress, Joomla, Instant CMS, DataLife Engine та інших
Досвід у розгортанні та роботі з різноманітними CRM, включаючи Bitrix24, HubSpot, RedMine та інші
Вміння працювати з Flash, Photoshop, Corel, HTML, CSS, JS
Більш, ніж дванадцятирічний досвід роботи на посаді проєкт-менеджера в інтернет-проєктах
Організація роботи команди фахівців для реалізації проектів різної складності
Відповідальний, мотивований, швидко навчаюсь, завжди на зв'язку
Здатність працювати за нестандартним графіком та у понаднормовий час
Дискретне мислення та здатність швидко опрацьовувати великі об’єми інформації
Прагнення завершувати розпочаті справи та досягати найкращих результатів
Предпочтіння довгострокової постійної співпраці
Відмінний рівень знання російської та української мов, навіть кращий, ніж у 90% її носіїв
Одружений, з дитиною."
225,"Управляюча готелю та директор антікафе з бажанням постійно вдосконалюватися та використовувати нові знання. Маю досвід у управлінні персоналом, тайм-менеджменті та многозадачності. Гарний менеджер з продажу, здатний знаходити спільну мову з людьми завдяки освіті в галузі психології. Генератор ідей, активна та ініціативна особистість, яка шукає можливості для розвитку та самовдосконалення."
226,Менеджер з продажу та підтримки з досвідом у впровадженні нових навчальних предметів у шкільний розклад. Досягнення включають в себе входження до переліку 15-ти кращих менеджерів компанії та успішне побудування довготривалих відносин з клієнтами. Зараз проходжу курси з Project Manager Essentials та маю досвід у використанні Atlassian Jira та QA Manual. Готова до постійного розвитку та співпраці з командою для досягнення спільної мети. Готова розглянути можливість переїзду.
227,"Аніматор-волонтер у ораторії Св. Доменіка Савіо, член Ради Ораторії, староста групи. Досвід роботи в магазині продавцем-консультантом. Активно шукаю роботу в сфері IT, з бажанням розвиватись як Project Manager/Team Leader. Відкрита до нових можливостей."
228,"Продовження роботи та збільшення рівня продажів навіть в умовах карантину та війни

Протягом останніх 3 років мої обов'язки включали контроль залишків на складах, закупка товарів, оптовий продаж, ціноутворення, контроль та організація всіх процесів. Маю досвід управління командою, організації роботи та розробки власної продукції компанії.

Маю стресостійкість, багатозадачність та відповідальність. Вважаю, що успіх на роботі залежить від власних зусиль, і я завжди ставлю це на перше місце.

Хочу розвиватися у сфері управління проектами та готовий зробити все можливе, щоб навчитися цій спеціальності та досягти успіху."
229,"Наразі працюю у банкінвській сфері 1,5 роки. Займаю посаду кредитного спеціаліста. Основні задачі: верифікація документів, продаж банківських продуктів та формування документації по кожному клієнта. Дуже хочу спробувати себе в сфері іт та працювати віддалено."
230,"Професійний досвід:

- Розробка та впровадження власної ідеї бізнесу, що призвело до покращення існуючого проекту. Виконання всіх завдань самостійно, включаючи пошук підрядників, комунікацію з постачальниками та клієнтами, а також розвиток товарів і послуг. Використання методологій Waterfall та Agile.

- Розробка та впровадження нової системи навчання, перегляд підходів до навчання, адаптація до змін у роботі та перегляд актуальності.

Поточна робота:

- Працюю у напрямку web development та розглядаю перспективні можливості для розвитку.

Мета:

- Прагну знайти місце, де відчуватиму себе комфортно та зможу повністю розвинути свої навички."
231,"Досвід у некомерційній сфері
- Знання основ управління ІТ-проектами, включаючи процеси, документацію, життєвий цикл проекту та ІТ-продукту
- Використання soft skills для формування, розвитку та керування командою проекту
- Планування проектів, включаючи розробку графіків та бюджету відповідно до вимог проекту"
232,Бажаючий керувати проектом з командою та готовий взятися за тестування як QA.
233,"Завершила курси Genius.Space з проджект менеджменту та маю досвід роботи асистентом продюсера на анімаційній студії. Мої обов'язки включали управління командою, видачу та контроль задач, оформлення документації та відстеження робочого часу аніматорів. Маю бажання розвиватися в цьому напрямку та швидко навчаюсь новому."
234,"Обов’язки:
- забезпечення роботи персоналу напрямку/проекту, включаючи відбір та організацію навчання, розробку плану навантаження співробітників, поточний моніторинг виконання завдань команди та оптимізацію роботи персоналу Харкова та Харківської області,
- налагодження та підтримка співпраці з місцевими державними структурами та НДО з питань, передбачених цілями проекту,
- підготовка та подання програмної та фінансової звітності донору,
- моніторинг виконання робочого плану та бюджету напрямку/проекту."
235,"ООО “Либерти финанс”
Финансовий консультант
м. Дніпро, Україна - липень 2020 - по теперішній час
- За час роботи збільшив щомісячний оборот переказів в межах України на **15000000 грн**, міжнародні перекази на **800 000 дол**
- З 01 вересня 2020 по 31 жовтня 2020 р. брав участь у конкурсі з продажу/купівлі криптовалюти та залучення нових клієнтів по напрямку криптовалюта, за результатами конкурсу посів друге місце з продажами на суму - **1 115 633 дол,** та третє місце за кількістю залучених нових клієнтів - **9 осіб**

**Приватний підприємець Шевцов Ю.Г.**
Власник роздрібного магазину товарів для риболовлі та активного відпочинку
м. Дніпро, Україна — квітень 2019—вересень 2020
- Впровадили CRM систему, чітке ведення складу та фінансів магазину
- Відстрочка платежу при купівлі товару на 2 місяці, дала можливість додатково придбати товар на **7000 дол**
- Під час пандемії вдалося знизити оренду приміщення на **40 %** та зекономити **5500 грн**

Досвід роботи можна переглянути у моєму портфоліо, посилання на яке закріплене в розділі ""Контакти та резюме""."
236,"Освіта: 2007-2013рр.вища.
Сумський національний аграрний університет
Магістр з «Технології виробництва та переробки продукції тваринництва», спеціалізація «Кінологія». Сертифікат з англійської мови.
2013р.: Курси з грумінгу. Працювала в даній сфері 2,5 роки.
2016р.: Курси. ""Базовий курс візажиста"", ""Курси бровіста""

Навички: 
1) Володію ПК (Microsoft Office Excel, Microsoft Office Word)
2) Вільно володію мовами: українською, російською, базові знання з англійською мовою, та польською перекладаю та читаю.

Досвід роботи: 
2012 р.: працювала в якості студентки-практикантки в «ФОП Була».
2010р.: працювала в Польщі
2010р.: 6-місяців, продавець – консультант з товарів чаю та кави
2011-2012рр.: продавець – консультант в «Парфюм Бар»
2013-2015рр.: Майстер з грумінгу
2016р.: Менеджер зі збуту
Кінець 2016 р. - 2018 р.: працювала майстром Бровіст-візажист"
237,"Основний досвід роботи в проектному менеджменті в івентах протягом 3 років, здійснення трьох заходів за 1 добу та проведення зустрічі високого рівня в Кишеневі. Проходження курсів (Web Academy, Coursera, edX) з проектного менеджменту в ІТ. Володію теоретичною базою, розумінням специфіки роботи та бажанням розвиватися в даному напрямку. Soft skills на високому рівні. Бажання працювати в команді з відпрацьованими процесами та цікавим дружнім колективом."
238,"Маю досвід активних продажів та цікавлюся новими тенденціями у світі та соціальними мережами. Останні 10 років працював торговим агентом у компаніях, таких як President, Лукас та Наша ряба. Паралельно з цим, спільно з дружиною веду магазин жіночого одягу, який має фізичний магазин та активну сторінку в Instagram. Цікавлюсь також маркетингом."
239,"Професійний досвід:

- Ведення семи маленьких кав'ярень та допомога з деякими завданнями на великих закладах мережі
- Підбір персоналу та участь у відкритті двох нових закладів з нуля

Освіта та навички:

- Прочитані книги з проектного менеджменту та менеджменту загалом
- Прослухані теоретичні курси та активна участь у курсах з практичним нахилом

Мета:

- Зміна сфери діяльності та розвиток під менторством старших фахівців

Це нове резюме відображає ваші фактичні обов'язки, досвід та навички без додавання будь-яких нових фактів."
240,"Професійний досвід:

- Керівник відділу галузевих державних підприємств ФДМУ
- Управління відділом, включаючи розподіл завдань між працівниками, встановлення пріоритетів, визначення методології, контроль за виконанням завдань та оцінка результатів
- Взаємодія та співпраця з іншими підрозділами Фонду та органами державної влади
- Здійснення заходів щодо управління державними підприємствами
- Підготовка державних підприємств до приватизації в межах компетенції
- Проведення онлайн-нарад з керівниками підприємств
- Участь в роботі комісій

Додаткова інформація:

- Понад 1,5 року досвіду роботи на позиції керівника
- Підготовка понад 30 державних підприємств до приватизації
- Збільшення сплати податків до державного бюджету та виплата заробітної плати працівникам

Будь ласка, врахуйте, що це лише перероблений текст вашого резюме, який відображає ваші фактичні обов'язки, досвід та навички."
241,"Пишаюся всіма проектами, оскільки всі вони були вдалі як для замовників, так і для команди. Особисто я викладався на повну, та в кожному проекті досягав економії від заявлених бюджетів. Ні один проект вийшов за межі дедлайнів. Та всі клієнти були задоволені як робочим процесом так і фінальним результатом.

Період роботи: Квітень 2019 року - Вересень 2019 року
Посада: Проектний менеджер
В організації: Передвиборчий штаб Кандидата в Народні Депутати України.
Посадові обов'язки та досягнення:
- Створення команд та відділів різного спрямування.
- Модерація їхньої діяльності та створення умов для ефективної комунікації, створення стандартизованої системи звітності.
- Контроль за використанням виділеного бюджету та фінансове звітування.
- Контроль за дотриманням дедлайнів та якості роботи команд та відділів.

- Вирішення внутрішніх конфліктів та створення умов для ефективної роботи.
- Всі поставленні замовником задачі було виконано, бюджет був використаний більш ефективно, що дало змогу скоротити витрати на 35%. Проект може вважатись успішним оскільки він виявився ефективнішим за інші проекти.

Період роботи: Січень 2019 року – Квітень 2019 року
Посада: Регіональний тренер
В організації: Політична партія «Солідарність»
Посадові обов'язки та досягнення:
- Розроблення, викладання та впровадження тренінгових програм.
- Консультативна діяльність, направлена на цілодобову підтримку учасників тренінгів.
- Ведення фінансової та трудової звітності.
- Було проведено 56 тренінгів, якими було охоплено 6124 людей.

Період роботи: Вересень 2014 року - Травень 2016 року
Посада: Координатор ініціативної групи «Міських дитячих омбудсменів при Міському голові»
В організації: ГО Міські дитячі омбудсмени при Міському голові. м. Вінниця.
Посадові обов'язки та досягнення:
- Представляти організацію в органах місцевого самоврядування та на сесіях міської ради.
- Координувати діяльність представництва, координація співпраці з органами самоврядування та громадськістю.
- Розроблення, викладання та впровадження тренінгових програм.
- Організація ефективної роботи представництва.
- Моніторинг дотримання прав дітей в місті та захист прав дітей.
- Двічі нагороджений почесною подякою мера м. Вінниці за активну участь у забезпеченні прав дітей в м. Вінниця.

Хочу стати частиною команди, щоб мати можливість обмінюватись досвідом з командою, та стати ефективною одиницею як в середині компанії так і команди. Прагну до постійного розвитку та як особистість так і спеціаліст."
242,"Пройшов курс на платформі Genius Space ""Project Manager"" та постійно розвиваю навички, необхідні для роботи PM. Почав кар'єру як інженер-проєктувальник сонячних систем для домашнього та комерційного використання. З часом перейшов на посаду керівника невеликої групи проєктувальників, де відповідав за контроль якості та своєчасне виконання проєктів."
243,"Drafting: letters, decisions, orders, certificates, and other documents. Managing distribution and collection of documentation for various projects. Ensuring completeness of collected data for each project, writing economic sections in Explanatory Notes for urban planning projects according to schedule. Checking, printing, assembling, duplicating project notes, and archiving urban planning documents in collaboration with colleagues according to schedule."
244,"Під час навчання на бакалавра, працював помічником керуючого магазину. Допомагав здійснювати продажі, слідкував за звітністю та отримав досвід економічного планування."
245,"Під час навчання успішно створив проєкт WEB, від ініціалізації до завершення і підтримки, використовуючи методології Agile та Waterfall. Зараз займаю позицію РМ (проєкт навчальної платформи) в компанії At Brog’s School, де працюю з методологією Agile. Маю велике бажання професійно зрости в цій сфері, отримувати практичні навички та стати найціннішим фахівцем."
246,"Після завершення курсів з РМ в грудні 2022 року, я приєдналась до команди в громадській організації як РМ. Мої обов'язки включають проведення щотижневих мітінгів команди для обговорення планів на тиждень, фіксацію записів в джирі та конфлюєнсі. Крім того, я координую дії наших волонтерів-підлітків у розвитку їхніх власних проєктів."
247,"Помічник адвоката
з 07.2021 по нині (2 роки 1 місяць)
Радник, Київ (Юриспруденція)

Freelance (2016-по теперішній час)
- Ознайомлення 500+ клієнтів з послугами, цінами та іншою інформацією щодо товарів та послуг компанії, переважно англомовних клієнтів.
- Підготовка більше 10 комерційних пропозицій українською та англійською мовами.
- Створення клієнтської бази для замовника.
- Обробка зворотного зв'язку від клієнтів.

Курс ""Проджект-менеджмент в ІТ"" від Laba, (5 грудня-6 березня 2023)

Лаборант
з 02.2016 по 02.2017 (1 рік)
Київський національний економічний університет ім.Вадима Гетьмана, Київ (Освіта, наука)
- Організація реструктуризації підрозділу (кафедри) факультету.
- Впровадження нового програмного забезпечення для внутрішнього планування.
- Управління внутрішнім документообігом.
- Планування робочого дня та навантаження педагогічного складу.
- Ведення обліку робочого часу.
- Підготовка нормативних документів.
- Координація та виконання робочих завдань керівника."
248,"Помічник керівника - ПрАТ ""Херсонський комбінат хлібопродуктів""
Обов'язки: ведення вхідної та вихідної кореспонденції; заключення договорів; забезпечення безперебійної роботи офісу; ведення ділової переписки з клієнтами та постачальниками; виконання розпоряджень керівника.

Бухгалтер - ТОВ ""Амбра Імпекс""
Обов'язки: ведення первинної документації, контроль документообігу; облік імпортних та експортних операцій; робота з банківськими виписками у гривні та валюті, робота в онлайн банкінгу; реалізація товару (рахунки, видаткові накладні, ТТН); нарахування та облік маркетингових послуг та бонусів; складський облік."
249,"Успішні проекти: впровадження ID карток у банку та відкриття банківського рахунку онлайн

Понад 2 роки досвіду в управлінні проектами та оптимізації процесів. Написання бізнес вимог (зміна процесу/створення нового продукту), ведення проекту, пошук рішень, аналіз досягнутих цілей, проведення бізнес тестування, пошук команди, комунікація з замовником та ІТ, звітування.

Цікавий проект та дружній колектив."
250,"Професійний досвід:
- Project manager в IT у компанії ""Projector""
- Project manager у компанії ""Genius Space""

Попередній досвід роботи:
- 4.5 роки на керуючій посаді в салоні краси
- Обов'язки включали управління командою, онбординг і наставництво, контроль виконання стандартів сервісу, делегування, створення графіків роботи тощо

Навчання:
- Активно вивчаю проджект менеджмент та проходжу другий курс профільного навчання для більш ефективного застосування навичок."
