,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat
98258,"Here’s your improved resume while ensuring all facts remain accurate:  

---  

**Education**  
Master’s Degree in Law – 2018  

**Professional Experience**  
**Notary Assistant**  
- Reviewed and prepared legal documents, drafted contracts, and advised clients on notarial procedures.  
- Maintained electronic registers and managed business correspondence.  
- **Duration:** 3 years  

**Customer Support Manager**  
- Assisted users with website navigation and technical issues.  
- Escalated complex inquiries to appropriate departments for resolution.  
- **Industry:** Gambling  
- **Duration:** 1 year  

**Head of Quality Control, Customer Support**  
- Oversaw quality assurance for customer support operations, ensuring service standards.  
- **Employer:** Rocket Delivery  
- **Location:** Cyprus  
- **Duration:** 6 months  

**Skills & Certifications**  
- UI/UX Design Certification (DanIT Academy)  
- Attention to detail, analytical mindset, and strong organizational skills.  

**Interests**  
- IT and UI/UX design, with ongoing self-study in the field.  

---"
98259,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Detail-oriented designer specializing in competitor analysis, user experience design, and digital prototyping. Proficient in creating user flows, site maps, mood boards, and adaptive designs for landing pages, websites, and web services. Skilled in Figma, Adobe Illustrator, and Adobe Photoshop. Committed to collaboration, innovation, and ongoing skill development.  

**Key Skills**  
- Competitor & Market Analysis  
- User Flow & Site Mapping  
- Mood Board & Visual Design  
- Landing Page & Website Development  
- Prototyping & Adaptive Design  
- Figma | Adobe Illustrator | Adobe Photoshop  

**Professional Experience**  

**OURPAWS** – Search Service Redesign for Missing Animals  
- Collaborated on redesigning a platform to help locate lost pets.  
- Developed wireframes, prototypes, and visual assets using Figma, Adobe Illustrator, and Photoshop.  

**LA MESA** – Restaurant Table Booking Mobile App  
- Supported the design of a reservation app for restaurants.  
- Created UI elements and interactive prototypes with Figma, Illustrator, and Photoshop.  

**Career Goals**  
- Deepen proficiency in vector graphics and advanced Adobe Illustrator techniques.  
- Cultivate a teamwork-driven environment with transparent communication.  
- Pursue continuous learning to stay ahead of industry trends and tools."
98260,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Experienced in designing user-friendly and visually appealing web interfaces with a focus on attracting and retaining customers. Skilled in analyzing target audiences, studying competitors, and creating modern designs that enhance user experience.  

**Projects**  

**Project: Landing Page for Flower Shop ""FlowerLover""**  
- Designed a user-friendly landing page tailored to the client’s requirements.  
- Conducted competitor analysis and target audience research to inform design decisions.  
- Developed a clear and intuitive interface, focusing on the User Interface (UI) to enhance customer engagement.  

**Project: Redesign Website for Alaska Pete's Restaurant**  
- Redesigned the restaurant’s outdated website to create a modern and visually appealing interface.  
- Added a table reservation form to improve functionality and customer convenience.  
- Focused on creating a user-friendly design to attract potential customers and enhance the overall user experience.  

**Skills**  
- Web Design  
- User Interface (UI) Design  
- Competitor Analysis  
- Target Audience Research  
- Customer Engagement Strategies  

**Education**  
[Your Education Details]  

**Certifications**  
[Your Certifications, if applicable]  

**Languages**  
[Your Languages, if applicable]"
98261,"**Professional Experience**  

**Project: ""See World""**  
- Spearheaded the development of a streamlined housing search platform interface, optimizing usability and accessibility.  
- Partnered with management to integrate an automated solution for identifying cost-effective living options.  
- Enhanced website functionality, enabling seamless navigation, application submissions, and listing publications.  

**Project: ""GenieTable""**  
- Conceptualized and designed a mobile app featuring an interactive lamp-touch mechanic for restaurant table reservations.  
- Crafted a visually cohesive theme and color scheme inspired by the character’s magical essence to improve engagement.  
- Delivered an intuitive booking system requiring minimal user input for a frictionless experience.  

**Project: ""Nice View"" (Team Project)**  
- Collaborated on a landing page for a residential complex, targeting prospective residents with compelling visuals.  
- Curated a serene color palette to evoke the property’s family-oriented and professional atmosphere.  
- Executed a minimalist design approach to reinforce the development’s sophistication and trustworthiness.  

**Skills**  
- User Interface Design  
- Team Leadership  
- Cross-Functional Collaboration  
- Minimalist Design Principles  
- Strategic Color Application"
98262,"**Resume**  

**Projects**  

**Tattoo Salon Website Redesign** (Individual Project, GoIT Course)  
- Analyzed target audience and selected design references.  
- Redesigned website UI with a cohesive UI-kit.  
- Ensured responsive design for tablet and mobile compatibility.  
- Integrated functional navigation links.  

**Landing Page Design** (Individual Project)  
- Researched references and curated a moodboard.  
- Developed UI-kit and designed the main landing page.  
- Independently conceptualized and executed project theme.  

**Budget Travel Web Service** (Team Project, GoIT Course)  
- Performed audience research and reference analysis.  
- Created USER FLOW and Customer Journey Map (CJM).  
- Established design system and implemented responsive layouts.  
- Optimized for tablet and mobile with interactive elements.  

**Skills & Expertise**  
- Competitor and market analysis.  
- Task prioritization and conceptual planning.  
- Moodboard and visual reference curation.  
- Minimalist web and landing page design.  
- CRM and mobile application interface development.  
- Wireframing, prototyping, and adaptive design.  

**Work Values**  
- Results-oriented with a collaborative approach.  
- Emphasis on respect and positive team dynamics.  
- Adaptable to hybrid or remote work structures.  
- Dedicated to continuous learning and skill enhancement."
98263,"[Your Name]  
[Your Contact Information]  

### PROJECT EXPERIENCE  

**1. Redesign Tattoo Company**  
_Full-Cycle Design_  
- Redesigned the company’s website to align with target audience needs and modern trends.  
- Improved usability and clarity, enhancing conversion rates and customer acquisition.  

**2. Easy Yoga Web Service**  
_Desktop & Mobile Adaptation Design_  
- Designed the service from scratch to streamline communication between yoga teachers and students.  
- Ensured an intuitive interface for users to find compatible instructors.  

**3. Productivity Mobile Application**  
_UI/UX Design_  
- Developed a mobile app to boost productivity through day planning and health tracking.  
- Incorporated features to monitor physical and mental well-being.  

### SKILLS  
- UI/UX Design  
- Responsive Design (Desktop & Mobile)  
- User-Centered Design  
- Collaboration & Communication"
98264,"**Professional Experience**  
**Team Leader & UX/UI Designer** – *Travelhaven*  
- Directed design initiatives and facilitated team collaboration for project success.  
- Executed competitor research and analysis to identify effective solutions.  

**Pet Projects**  

1. **Website Redesign – Alaska Pete's Roadhouse Grille** (*alaskapetes.com*)  
- Conducted competitor analysis and research to inform redesign strategy.  
- Created modern UX/UI solutions for the restaurant’s website.  

2. **Web Service for Affordable Travel & Work Exchange**  
- Designed a user-friendly web interface for a budget-conscious travel/work exchange platform.  
- Focused on students and young travelers seeking affordable lodging in exchange for work.  

**Volunteer Work**  
- Developed a website for a social project aimed at supporting volunteers."
98265,"**Professional Experience**  

**TimeWell Daily Planner Mobile App**  
Designed and developed a mobile application for time management, task planning, and goal tracking. Conducted competitor analysis, defined User Personas and User flows, and created high-fidelity prototypes with UI design. Implemented animations using Protopie.  
*Instruments:* Figma, Photoshop, Illustrator, Protopie  

**SweepUp Cleaning Web-service**  
Led a team in designing a web-service for booking cleaning specialists. Performed market and competitor research, defined User Personas, JTBD, and CJM, and developed User flows. Created prototypes, UI design, and adapted layouts within an existing design system.  
*Instruments:* Figma, Photoshop, Illustrator  

**Bravo Furniture Site Redesign**  
Redesigned a luxury furniture store’s website, including market and competitor analysis, prototyping, UI design, and responsive layouts for mobile and tablet. Developed a UI-kit as a personal project.  
*Instruments:* Figma, Photoshop, Illustrator  

**Citroen C4 Landing Page**  
Designed a landing page for Citroen C4 test drive bookings as coursework. Conducted market research, created moodboards, wireframes, and an animated interface in Figma.  
*Instruments:* Figma  

**Skills**  
UI/UX Design, Prototyping, User Research, Wireframing, Animation, Responsive Design  
*Tools:* Figma, Photoshop, Illustrator, Protopie"
98266,"**Professional Experience**  

**Team Leader – Travel Joy**  
*Web-Service, Full Cycle Team Design*  
- Led the development of a web service designed to facilitate work and rest in new environments.  
- Conducted competitor analysis, created user flows, and developed wireframes and prototypes using Figma.  
- Managed the team to deliver a well-designed web service with convenient functionality and an intuitive user interface.  
- Addressed challenges such as working within a predefined design system to ensure project success.  

**Designer – Nice View**  
*Landing Page, Full Cycle Design*  
- Designed a landing page for selling apartments in a new residential complex based on client requirements.  
- Conducted competitor analysis and studied the target audience to create low-detailed and high-detailed prototypes.  
- Selected fonts and a color palette to maximize buyer appeal.  
- Delivered a visually appealing landing page design that met client needs and included functionality for home inspection applications and client feedback.  

**Personal Project**  
- Developed a project concept for a new residential complex, focusing on innovative design and functionality.  

**Skills**  
- Full cycle design (research, prototyping, wireframing)  
- Competitor and target audience analysis  
- Figma proficiency  
- Team leadership and project management  
- User interface and user experience design"
98267,"Volunteering Projects Aggregator for Ukraine  
Developed a user-friendly platform to showcase volunteering initiatives in Ukraine. Enabled users to explore projects, donate, and connect with volunteer organizations, fostering engagement and support for meaningful causes nationwide.  

Landing Page for Kickstarter Project  
Designed a landing page for a multifunctional nightstand product, utilizing the AIDA marketing model to drive Kickstarter engagement. Conducted competitor analysis, selected references, created high-fidelity wireframes, and developed an adaptive website.  

Landing Page About Rihanna  
Created a landing page to introduce users to Rihanna and generate interest in her career. Applied skills in mood boards, reference selection, wireframing, complex composition, typography, and prototyping."
98268,"**Professional Experience**  

**Website Redesign**  
*A Kids Place Childcare*  
- Led a full-cycle redesign of a preschool website to enhance user engagement and visual appeal.  
- Performed competitor analysis to guide design strategy and improve market positioning.  
- Implemented adaptive design principles to ensure seamless functionality across mobile and tablet devices.  

**Pet Service Platform**  
*Team Project – Full Cycle Design*  
- Collaborated with a team to design a web service for pet adoption and related services, streamlining access for users.  
- Conducted market research and analyzed target audience needs to inform design decisions.  
- Developed a fully adaptive interface optimized for mobile and tablet compatibility.  

**Independent Projects**  
- Designing a mobile event application with a focus on intuitive user experience and core functionality.  

**Skills**  
- Full-cycle design (research, wireframing, prototyping, testing)  
- Competitor and market analysis  
- Adaptive and responsive design (mobile & tablet)  
- Cross-functional team collaboration  
- User-centered research and audience analysis"
98269,"[Your Name]  
[Your Contact Information]  
[Your Portfolio/Website (if applicable)]  

**EDUCATION & TRAINING**  
- **Projector UX Beginner Course** – Completed UX/UI training, including stakeholder projects as both an independent designer and a team member. Developed skills in UX research, problem-solving, and translating insights into UI solutions.  
- **KronaStudio&School Web Design Course** – Gained foundational knowledge in web design principles and practices.  

**WORK EXPERIENCE**  
- **2-Month Internship (Pet Project with Small Dev Team)** – Collaborated on a development project, contributing to design and teamwork processes.  
- **Volunteer UI/UX Designer – University IT HUB (1 Year)**  
  - Redesigned university websites and interfaces to improve usability.  
  - Managed tasks in Jira, ensuring efficient workflow and team coordination.  
  - Conducted UX research and evaluated solutions to enhance user experience.  
  - Worked closely with developers and project managers, strengthening collaboration skills.  
  - Rapidly improved UI proficiency through hands-on work with a UI library and mentorship.  

**SKILLS**  
- UX Research & Problem-Solving  
- UI Design & Prototyping  
- Team Collaboration & Task Management (Jira)  
- Adaptability & Rapid Skill Development  

**PROJECTS**  
- **Stakeholder Projects (Projector UX Course)** – Led and contributed to UX/UI projects, delivering research-backed design solutions.  
- **University IT HUB Redesigns** – Designed and iterated on interfaces for institutional needs.  

[Optional: Add a brief personal statement or objective if desired.]"
98270,"Here’s your improved resume with refined formatting and clarity while strictly retaining only the original facts:  

---  

**Professional Summary**  
Experienced 3D graphic specialist with expertise in SketchUp, 3D modeling, and UI/UX design. Skilled in HTML, CSS, and leading collaborative projects. Proven ability to deliver user-friendly and visually appealing designs.  

**Professional Experience**  
**3D Graphic Specialist**  
HOVER Ukraine | Feb 2021 – Jun 2023  
- Modeled 3D exteriors and interiors using SketchUp.  
- Reviewed and verified finished 3D models created by other modelers.  

**Project Experience**  
**UI/UX Design Projects**  
- **Sophie Scholl Realschule Website Redesign**  
  Conducted research and analysis of school websites and web design best practices. Redesigned the website to create an aesthetically pleasing, user-friendly, and informative platform. Enhanced skills in competitive and audience analysis.  
- **YoHome – Web Service for Hosting and Renting Housing**  
  Developed the interface from scratch, focusing on simple user flow, thoughtful details, and stylization. Ensured adaptability with minimal changes.  

**Skills**  
- HTML, CSS  
- SketchUp  
- 3D Modeling (Exteriors and Interiors)  
- UI/UX Design  
- Competitive and Audience Analysis  

**Additional Information**  
- Led the YoHome team in creating a website for hosting/renting.  
- Completed 3 pet projects on diverse topics.  
- Thrives in collaborative, respectful, and result-oriented environments.  
- Committed to continuous learning and professional development.  

---"
98271,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Design professional with 4 years of experience in interior, graphic, and industrial design. Holds a master’s degree in environmental and industrial design. Skilled in project development, freelancing, and corporate design roles. Transitioning into UI/UX design with completed coursework in web design fundamentals, Figma, and interface design.  

**Education**  
Master’s Degree in Environmental and Industrial Design  
[University Name], [Graduation Year]  

**Professional Experience**  
Freelance Designer  
- Developed interior design projects, graphic design materials, logos, business cards, banners, and paintings.  
- Collaborated with clients to deliver tailored design solutions.  

Interior Designer  
[Company Name], [Dates of Employment]  
- Executed interior design projects, ensuring client satisfaction and adherence to design principles.  

**Skills**  
- Interior, Graphic, and Industrial Design  
- UI/UX Design Fundamentals  
- Proficiency in Figma  
- Logo and Branding Development  
- Multilingual: English (B1), Polish (B2), Spanish (B1)  

**Certifications**  
- GENIUS Courses: ""Fundamentals of Web Design,"" ""Working with Figma,"" ""UX/UI: Projecting and Design of Interfaces""  
- Cases Courses: ""Fundamentals of Web Design,"" ""Working with Figma,"" ""UX/UI: Projecting and Design of Interfaces""  

**Career Objective**  
Aspiring to become an expert in UI/UX design, leveraging existing design expertise and newly acquired skills to create intuitive and impactful user interfaces."
98272,"6 months of professional experience in UI/UX design. Proficient in designing Landing pages, E-Commerce platforms, Portfolio sites, Mobile applications (iOS, Android), and redesign projects. Skilled in the full-design process, including competitor analysis, user flows, wireframing, prototyping, and creating unique UI designs for websites. Experienced in adapting websites for mobile and tablet devices, implementing responsive design, and incorporating basic website animations. Collaborated effectively with front-end developers in team environments.  

Completed a 5-month coursework program with in-depth study of UI/UX design principles and technologies. Gained comprehensive knowledge of Google Material Design Guidelines and Human Interface Guidelines, applying this expertise throughout the learning process.  

Passionate about entering the professional UI/UX design field and leveraging acquired skills and experience to contribute effectively. Committed to creating comprehensive and visually appealing designs that optimize user experience, drive conversions, and ensure seamless access to information. Eager to tackle challenging projects that require innovative solutions and foster continuous skill development."
98273,"**Professional Summary**  
Entry-level UX designer with 6 months of freelance experience in social media banner design, application and website planning, and Webflow development for blogs and landing pages. Proficient in UX fundamentals, including user-centered design, accessibility, equity-focused design, and design sprints. Certified in UX design through Hillel IT School.  

**Experience**  
**Freelance UX Designer**  
*Self-Employed* | [Dates of Employment]  
- Designed banners for Instagram, Twitter, and Facebook, aligning with client branding and engagement goals.  
- Collaborated on planning and wireframing applications and websites to improve user flows.  
- Built and maintained blogs and landing pages using Webflow, ensuring responsive and intuitive layouts.  

**Education**  
**UX Design Course**  
*Hillel IT School* | [Completion Date]  
- Studied core UX principles: user research, accessibility standards, equity-focused design, and iterative design processes.  
- Applied design sprint methodologies to streamline project workflows.  

**Skills**  
- User-Centered Design  
- Accessibility & Inclusive Design  
- Wireframing & Prototyping  
- Webflow Development  
- Social Media Graphics  
- Collaborative Project Planning  

**Projects**  
- Delivered custom landing pages and banners for diverse client needs, optimizing visual appeal and usability.  
- Developed a functional blog via Webflow, demonstrating content organization and platform proficiency."
98274,"Junior UI/UX Designer  

**About Me:**  
As a Junior UI/UX Designer, I am passionate about creating effective and aesthetically pleasing designs that improve the user experience. I offer full-cycle design services and specialize in landing pages, e-commerce, website redesign, and web services.  

**Education:**  
Successfully completed a 6-month UI/UX Design course.  

**Project Experience:**  
During the course, I worked on 3 individual and 2 team projects.  

• **""Wish"" - Gift Delivery Mobile App**  
A flower and gift delivery app where users can select flowers/gifts and schedule delivery. My approach involved a full-cycle design process, including competitive analysis, UX personas, user flow, wireframes, and UI design.  

• **“Fitroom” - Corporate Website Redesign for a Fitness Studio**  
I performed competitor analysis, established a stylistic direction using references, built prototypes, optimized interfaces for phone and tablet, and developed a UI kit. The challenge was to design a modern and attractive user interface to boost sales.  

• **“VDOMA” - Ukrainian Couch-Surfing Web Service**  
The goal was to create a web service to organize affordable stays in Ukraine and promote Ukrainian tourism. My approach included competitive analysis, UX personas, empathy map, sitemap, MVP definition, user flow diagram, and tablet/mobile adaptations. I conducted A/B testing to refine the design.  

**Additional Tasks:**  
• UI of a table for accounting services of a cleaning company.  
• UI for the sidebar of a site.  
• Team page with paddings formed using AutoLayout.  
• User page for an online learning resource.  
• Dashboard for an ed-tech product aimed at school students.  
• UI for the desktop of a site’s start screen using animation.  
• Modal window confirming card-to-card money transfer.  
• Dashboard for administrators to manage user rights.  

I am excited to bring my knowledge, skills, and passion to your team and help create designs that elevate business. Thank you for considering me for your next project!"
98275,"**UX/UI Designer**  
Passionate and creative Junior UX/UI Designer with a strong foundation in design principles and a keen eye for aesthetics. Committed to crafting exceptional user experiences by leveraging innovative solutions and staying current with industry trends. Eager to contribute to meaningful projects that challenge and expand skill sets.  

**PROJECT EXPERIENCE**  

**Petsearch**  
- Designed and developed a user-friendly web service to help reunite lost pets with owners through ads and volunteer engagement.  
- Ensured intuitive navigation and functionality for seamless user interactions.  

**Children’s Project – ""A Kids Place Childcare""**  
- Redesigned a kindergarten website, conducting competitor analyses and user research.  
- Developed a UI kit with documented components, addressing weaknesses and optimizing visual consistency.  

**FlowerLover Flower Shop (Landing Page)**  
- Created a responsive landing page with structured UI elements (buttons, inputs, etc.).  
- Conducted competitor research, curated a mood board, and refined the color palette for cohesive branding.  

**SKILLS**  
- UI/UX Design  
- Competitor & User Research  
- Prototyping & Wireframing  
- Responsive Design  
- Collaboration & Documentation"
98276,"Junior UI/UX Designer  
Self-educated in UI/UX design through online courses, literature, and exploration of cutting-edge design technologies. Continuously developing portfolio by adding new projects and improving the quality of work.  

**About Me**  
Junior UI/UX designer with experience in team and individual design projects. Solid foundation in design principles, including color theory, typography, and layout. Seeking opportunities to expand experience and collaborate with a team to create exceptional user experiences.  

**Project Experience**  
**Website Redesign | Tattoo Studio**  
December 2022 – January 2023  
Redesigned the tattoo studio website to create a modern and user-friendly interface. Enhanced navigation elements, introduced new functions for ordering tattoos, improved the quality of images showcasing tattoo artists' work, and added customer reviews.  

**UI/UX Design | Service for Finding Lost Animals**  
February 2023 – March 2023  
Developed a study project for a web service dedicated to finding lost pets. Designed functionality for creating and publishing ads about lost or found animals. Aimed to create a tool for efficient information dissemination and communication between pet owners. Collaborated with experienced designers, received assignments, and improved professional skills by learning new technologies and trends in UI/UX design."
98277,"**UX/UI Designer**  

**About Me**  
Creative and skilled UX/UI Designer with a passion for developing aesthetically pleasing products. Specialize in designing websites, web services, mobile apps, logos, advertisements, and posters.  

**Work Experience**  

**Korg Sound Library Cover Design**  
Created two illustrations as covers for sound libraries. Discussed essential details with the client, analyzed reference photos, and designed the covers accordingly. Corrected mistakes and delivered a final product that satisfied the client.  

**Sinevibes Logo (3D Animation)**  
Designed an animated 3D logo rotating as a video intro. Created the model, applied shading, and rendered the final animation after client approval.  

**Projects**  

**UrbanFest Landing Page Design**  
Designed a landing page from scratch. Created a moodboard, developed a wireframe, and delivered a minimalistic landing page for UrbanFest.  

**CustomConcepts Tattoo Website Redesign**  
Updated an existing website by analyzing tattoo-related websites and prototyping. Designed a modern, functional, and aesthetically pleasing website.  

**Web Service UX and UI Design**  
Created a web service for finding affordable accommodation abroad. Conducted UX analysis, developed user personas and a customer journey map, and designed information architecture and user flows. Wireframed pages and finalized the design in full color.  

**Beatcraft Mobile App Design**  
Designed a music-related app by analyzing the target audience, creating wireframes, and designing the entire interface, including features like two-factor authentication and in-app achievements.  

**Objective**  
Seeking an opportunity to work remotely with like-minded individuals. As a fast learner, I am ready to quickly acquire new skills and take on challenges."
98278,"**UI/UX Designer**  

**About Me**  
Dedicated UI/UX designer from Ukraine, specializing in intuitive, user-centered designs. Passionate about solving user problems through thoughtful design solutions. Strong attention to detail and a commitment to continuous learning and growth.  

**Skills**  
· Figma (auto layout, styles, components, design systems)  
· User-centered design based on business requirements  
· UX problem identification and troubleshooting  
· Wireframing, prototyping, and adaptive design  
· Competitor and target audience analysis  
· User flow and persona development  

**Project Experience**  

**Lunushka Shop Mobile App**  
Designed a mobile application for an online store, including:  
- Competitor and target audience analysis  
- Persona development with needs, wishes, and fears  
- User flow and detailed wireframes  
- Intuitive UI design and onboarding  
- Animated prototype (Protopie) for customer presentation  

**Globetrot Web Service**  
Created a web service for economical stays abroad, featuring:  
- In-depth research to identify user problems  
- Solution-driven design proposals  
- Detailed wireframes and UI development  
- Adaptive design and prototype animations  

**Redesign: Tattoo Studio Website**  
Modernized a tattoo studio’s website by:  
- Conducting a detailed analysis of existing issues  
- Redesigning for a contemporary, user-friendly interface  
- Developing informative pages to attract clients and artists  

**Flower Shop Landing Page**  
Designed a landing page for a flower delivery service, including:  
- User research and competitor analysis  
- Persona and moodboard creation  
- Prototyping with a focus on seamless navigation  
- Adaptive design for mobile and tablet compatibility  

**Work Preferences**  
- Corporate training and career development opportunities  
- Collaborative, respectful, and friendly work environment"
98279,"ABOUT ME  
Junior UI/UX Designer with experience in team and individual design projects. Skilled in performing the full design cycle: analysis, idea development, prototyping, user interface design, and adaptation. Proficient in creating user-friendly and easily navigable interfaces. Open to working on projects that achieve goals and solve problems.  

PROJECT EXPERIENCE  
**Website Redesign | Restaurant & Hotel Complex**  
October 2022 – November 2022  
Redesigned an outdated website to make it more attractive, modern, and user-friendly. Conducted analysis of the old website, identified disadvantages, and proposed solutions. Created detailed prototypes, visual designs, and adaptations.  

**UI/UX Design | Pet Search Webservice**  
December 2022 – February 2023  
Developed a webservice to help owners of lost animals find them faster. Collaborated in a team environment, enhancing communication, organizational, delegation, and time-management skills. Performed competitor analysis, created user personas, sitemaps, high-fidelity prototypes, user interfaces, and adaptations to deliver a simple, usable, and visually appealing webservice.  

**Mobile App Design | Flower & Gift Delivery**  
February 2023 – Present  
Currently working on a team project to design a mobile app for flower and gift delivery.  

**Landing Page Design | Yoga Studio**  
Independent project to create a landing page for a yoga studio.  

SKILLS  
- Full design cycle: analysis, prototyping, UI design, adaptation  
- User-friendly and navigable interface design  
- Team collaboration and communication  
- Time-management and organizational skills  
- Competitor analysis and user persona creation  
- High-fidelity prototyping and visual design"
98280,"**Junior UX/UI Designer**  

**Skills**  
Proficient in Figma, Adobe Photoshop, Adobe Illustrator, Canva.  
Skilled in using web services like SimilarWeb.  
Experienced in working with Design Systems, User Flows, and Customer Journey Maps (CJM).  

**About Me**  
Self-motivated and detail-oriented Junior UX/UI Designer passionate about creating high-quality products for users and businesses.  

**Project Experience**  
**Barbershop - Landing Page**  
Designed and developed a landing page to promote a new barbershop in Ukraine, showcasing its range of services. Utilized Figma and Adobe Photoshop to create an engaging and visually appealing design.  

**India Cafe - Website Redesign**  
Redesigned the website for India Cafe to enhance its appeal and attract more visitors. Conducted competitor analysis and user interviews to inform the redesign process. Delivered a modern and attractive website that improved user engagement.  

**Look for - Web Service**  
Developed a web service to help users find accommodations based on their needs and budget. Analyzed the target audience and designed a clear, user-friendly interface. The project was executed in three stages: user-end interface, payment interface, and admin-side interface. Tools used included Figma, Canva, and Adobe Illustrator.  

**Objective**  
Seeking to join a collaborative team to create high-quality products for users and businesses. Eager to embrace new challenges in web design processes."
98281,"[Your Name]  
[Your Contact Information]  

**PROFESSIONAL SUMMARY**  
Experienced designer with 8 years in graphic design and 3 years as Chief Designer (Head of Department). Transitioning into UI/UX design with hands-on project experience, including adaptive redesigns, web and mobile application design, and interface development. Passionate about creating user-friendly digital products with modern, intuitive interfaces.  

**PROFESSIONAL EXPERIENCE**  
**Chief Designer (Head of Department)**  
[Company Name] | [Dates of Employment]  
- Organized and prepared creative projects aligned with the company’s corporate style.  
- Developed design concepts and oversaw department workflows.  
- Led redesign of the company website, designed interfaces for a popcorn machine, created landing pages for KinoboardPRO, and developed design projects for a city café and conference hall.  

**Graphic Designer**  
[Company Name] | [Dates of Employment]  
- Delivered high-quality graphic design solutions across various projects.  

**UI/UX DESIGN PROJECTS**  
**Adaptive Redesign of Website**  
- Updated design, organized content into logical sections, and improved navigation.  
- Conducted competitor research, created wireframes, UI kits, and adapted designs for tablet and mobile.  

**Adaptive Design of Web Service for Cleaning Company**  
- Designed a web service for hiring cleaning company employees, focusing on usability and accessibility.  

**Mobile Application Design for Restaurant Table Booking**  
- Developed a mobile app interface for booking restaurant tables, ensuring intuitive user interaction.  

**Interface Redesign for Popcorn Machine, Kinoprokat-Sumy**  
- Redesigned the interface to align with the company’s branding, including background, button colors, fonts, and icons.  
- Created animations while maintaining button size and layout.  

**Redesign of Website, MAINSAIL Realty Company**  
- Updated design, simplified navigation, and created user-friendly forms and elements.  
- Conducted research, developed wireframes, UI kits, and ensured responsive design.  

**SKILLS**  
- UI/UX Design  
- Graphic Design  
- Adaptive and Responsive Design  
- Wireframing and Prototyping  
- Team Leadership and Project Management  
- Adobe Creative Suite, Figma, Sketch  

**ABOUT ME**  
Aspiring UI/UX designer passionate about creating digital products that enhance user experience and drive business success. Result-oriented, team player, and committed to continuous learning and professional growth.  

**PREFERENCES**  
- Flexible work schedule for work-life balance.  
- Remote work preferred.  
- Opportunities for career and financial growth.  

**CONTACT**  
[Your Email] | [Your Phone Number] | [LinkedIn/Portfolio Link]  
I look forward to connecting with you!"
98282,"[Your Name]  
[Your Contact Information]  

**Summary**  
Detail-oriented junior UI/UX designer with a background in HR, specializing in creating intuitive and visually engaging digital experiences. Proficient in designing user-centric websites and mobile applications, with a commitment to innovation and continuous skill development.  

**Project Experience**  
**Eventize – Mobile Application (2023)**  
- Designed a user-friendly mobile app for discovering, booking, and planning events.  
- Developed a streamlined interface for venue selection, task management, and event customization.  
- Ensured intuitive navigation and visual appeal to enhance user engagement.  

**Guesture – Web Application (2022)**  
- Created a web platform facilitating budget-friendly travel through task-based accommodations.  
- Designed a responsive interface for seamless browsing and booking of guest stays.  
- Tailored the experience for students and young travelers seeking affordable exploration.  

**Objective**  
Seeking a dynamic role in a forward-thinking company where I can contribute my design skills, adaptability, and problem-solving abilities to deliver exceptional user experiences."
98283,"Here’s the improved resume with refined wording and structure while ensuring factual accuracy:  

---  

**Junior UX/UI Designer & Team Leader**  

**About Me**  
Detail-oriented Junior UX/UI Designer passionate about crafting intuitive and aesthetically balanced digital experiences. Expertise in blending user-centric design (65%) with visual appeal (35%). Proven leader in collaborative projects, currently guiding a team in a course-based initiative. Driven to evolve as a professional UX/UI Designer and build a personal design brand.  

**Experience**  
**Team Leader**  
_Pet Project: Web Service ""Shine"" (Cleaning Companies)_  
- Managed project workflow, delegation, and team coordination.  
- Actively contributed to UX/UI design and development.  
- Mentored team members to foster productivity and creativity.  

**Projects**  
**Landing Page: ""FlowerLover""**  
- Designed a clean, minimalist one-page website for floral deliveries.  
- Balanced visual appeal with usability to prevent cognitive overload.  
- Researched competitors and target audience, curated moodboards, and selected references.  
- Built wireframes, interactive prototypes, and a cohesive UI kit.  
- Integrated subtle animations and optimized responsiveness for tablet/mobile.  
- Showcased final case study on Behance.  

**Website Redesign: ""A Kids Place Childcare""**  
- Revamped a kindergarten’s website to enhance engagement and modernity.  
- Audited the existing site, identifying pain points through UX analysis.  
- Conducted competitor research and audience profiling to inform design choices.  
- Developed wireframes, prototypes, and a scalable UI kit.  
- Implemented adaptive design with animations for all devices.  
- Published a detailed case study on Behance post-launch.  

**Skills**  
- UX Research & Strategy  
- UI Design & Prototyping  
- Wireframing (Figma, Adobe XD)  
- Competitor & User Analysis  
- Moodboard & UI Kit Creation  
- Responsive Design (Mobile-First)  
- Micro-interactions & Animation  
- Case Study Documentation  
- Agile Team Leadership  

**Work Philosophy**  
Collaborate with clients who respect design integrity and professional commitment.  

---"
