id,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat
98280,"**Junior UX/UI Designer**  

**Skills**  
Proficient in Figma, Adobe Photoshop, Adobe Illustrator, Canva.  
Skilled in using web services like SimilarWeb.  
Experienced in working with Design Systems, User Flows, and Customer Journey Maps (CJM).  

**About Me**  
Self-motivated and detail-oriented Junior UX/UI Designer passionate about creating high-quality products for users and businesses.  

**Project Experience**  
**Barbershop - Landing Page**  
Designed and developed a landing page to promote a new barbershop in Ukraine, showcasing its range of services. Utilized Figma and Adobe Photoshop to create an engaging and visually appealing design.  

**India Cafe - Website Redesign**  
Redesigned the website for India Cafe to enhance its appeal and attract more visitors. Conducted competitor analysis and user interviews to inform the redesign process. Delivered a modern and attractive website that improved user engagement.  

**Look for - Web Service**  
Developed a web service to help users find accommodations based on their needs and budget. Analyzed the target audience and designed a clear, user-friendly interface. The project was executed in three stages: user-end interface, payment interface, and admin-side interface. Tools used included Figma, Canva, and Adobe Illustrator.  

**Objective**  
Seeking to join a collaborative team to create high-quality products for users and businesses. Eager to embrace new challenges in web design processes."
98281,"[Your Name]  
[Your Contact Information]  

**PROFESSIONAL SUMMARY**  
Experienced designer with 8 years in graphic design and 3 years as Chief Designer (Head of Department). Transitioning into UI/UX design with hands-on project experience, including adaptive redesigns, web and mobile application design, and interface development. Passionate about creating user-friendly digital products with modern, intuitive interfaces.  

**PROFESSIONAL EXPERIENCE**  
**Chief Designer (Head of Department)**  
[Company Name] | [Dates of Employment]  
- Organized and prepared creative projects aligned with the company’s corporate style.  
- Developed design concepts and oversaw department workflows.  
- Led redesign of the company website, designed interfaces for a popcorn machine, created landing pages for KinoboardPRO, and developed design projects for a city café and conference hall.  

**Graphic Designer**  
[Company Name] | [Dates of Employment]  
- Delivered high-quality graphic design solutions across various projects.  

**UI/UX DESIGN PROJECTS**  
**Adaptive Redesign of Website**  
- Updated design, organized content into logical sections, and improved navigation.  
- Conducted competitor research, created wireframes, UI kits, and adapted designs for tablet and mobile.  

**Adaptive Design of Web Service for Cleaning Company**  
- Designed a web service for hiring cleaning company employees, focusing on usability and accessibility.  

**Mobile Application Design for Restaurant Table Booking**  
- Developed a mobile app interface for booking restaurant tables, ensuring intuitive user interaction.  

**Interface Redesign for Popcorn Machine, Kinoprokat-Sumy**  
- Redesigned the interface to align with the company’s branding, including background, button colors, fonts, and icons.  
- Created animations while maintaining button size and layout.  

**Redesign of Website, MAINSAIL Realty Company**  
- Updated design, simplified navigation, and created user-friendly forms and elements.  
- Conducted research, developed wireframes, UI kits, and ensured responsive design.  

**SKILLS**  
- UI/UX Design  
- Graphic Design  
- Adaptive and Responsive Design  
- Wireframing and Prototyping  
- Team Leadership and Project Management  
- Adobe Creative Suite, Figma, Sketch  

**ABOUT ME**  
Aspiring UI/UX designer passionate about creating digital products that enhance user experience and drive business success. Result-oriented, team player, and committed to continuous learning and professional growth.  

**PREFERENCES**  
- Flexible work schedule for work-life balance.  
- Remote work preferred.  
- Opportunities for career and financial growth.  

**CONTACT**  
[Your Email] | [Your Phone Number] | [LinkedIn/Portfolio Link]  
I look forward to connecting with you!"
98282,"[Your Name]  
[Your Contact Information]  

**About Me**  
Motivated junior UI/UX designer with a background in HR and a strong passion for design and innovation. Skilled in creating visually appealing and user-friendly websites and apps. Committed to continuous learning and skill improvement. Excited to contribute to a great company and collaborate with inspiring individuals.  

**Project Experience**  
1. **Eventize - Mobile Application (2023)**  
Eventize is a mobile application that enables users to find and book venues or events, as well as plan their own special occasions. The app provides a comprehensive platform for creating and managing events, including selecting necessary items by category and planning important tasks.  

2. **Guesture - Web Application (2022)**  
Guesture is a web service designed to help users change their environment by working or resting in new locations. Similar to couch-surfing, the service allows visitors to stay as guests by either paying or performing tasks specified by the host. Targeted at students and young people who want to explore the world on a budget.  

**Objective**  
Seeking a full-time or part-time position in an innovative and growing company. A fast learner, responsible, and ready to take on challenging tasks."
98283,"**Junior UX/UI Designer & Team Leader**  

**About Me**  
Responsible Junior UX/UI Designer with a strong focus on detail and user experience. Dedicated to delivering well-thought-out, high-quality work while balancing time effectively. Prioritize user experience (65%) over visual design (35%). Currently leading a team in a course-based project. Aspiring to become a professional UX/UI Designer and establish my own brand.  

**Experience**  
**Team Leader**  
Pet Project: Web Service ""Shine"" (Cleaning Companies)  
- Oversee all organizational aspects of the project.  
- Actively contribute to project development.  
- Inspire and support team members to achieve project goals.  

**Projects**  
**Landing Page: ""FlowerLover""**  
- Designed a minimalistic one-page website for flower delivery.  
- Ensured the site was visually appealing without overloading users.  
- Conducted competitor and target audience analysis, selected references, and created moodboards.  
- Developed wireframes, prototypes, and a UI kit.  
- Added subtle animations and ensured adaptations for tablet and mobile.  
- Published a case study on Behance.  

**Website Redesign: ""A Kids Place Childcare""**  
- Redesigned the website for a modern kindergarten to improve client engagement.  
- Analyzed the current site to identify issues and conducted competitor and target audience research.  
- Created moodboards, wireframes, prototypes, and a UI kit.  
- Implemented animations and ensured adaptations for various devices.  
- Delivered a successful redesign, achieving the project goal.  
- Published a case study on Behance.  

**Skills**  
- User Experience (UX) Design  
- User Interface (UI) Design  
- Wireframing & Prototyping  
- Competitor & Target Audience Analysis  
- Moodboard Creation  
- UI Kit Development  
- Responsive Design (Tablet & Mobile Adaptations)  
- Subtle Animation Implementation  
- Case Study Development  
- Team Leadership & Collaboration  

**Work Philosophy**  
Committed to working with clients who value my work and time."
98284,"[Your Name]  
[Your Contact Information]  

**Objective**  
Seeking a Junior UI/UX Designer position to apply my knowledge in creating site structure, interaction flows, page wireframes, and interface requirements, as well as visual styles for sites and applications.  

**Education**  
**Web Design (UX/UI) Courses**  
UX Energy IT School, Jun 2018 – Sep 2018  
- Gained knowledge in creating site structure, interaction flows, page wireframes, and interface requirements.  
- Developed skills in visual styles for sites and applications, including layout, color, typography, and iconography.  

**Skills**  
- Adobe Photoshop  
- Adobe Illustrator  
- Adobe Experience Design  
- Axure  
- InVision  

**Experience**  
No professional experience listed.  

**Objective**  
Seeking a Junior UI/UX Designer position to apply my knowledge in creating site structure, interaction flows, page wireframes, and interface requirements, as well as visual styles for sites and applications."
98285,"Dima  
Kyiv, Ukraine  

Junior UI/UX Designer  

About Me  
I am a junior UI/UX designer with limited experience but a strong passion for creating applications with convenient, modern, and engaging interfaces. I specialize in crafting wireframes of varying detail and developing prototypes using components and autolayouts in Figma. I have hands-on experience in designing landing pages and multi-page projects. I am detail-oriented, committed to meeting deadlines, and dedicated to continuous self-improvement. While I have completed a few courses and lack extensive professional experience, I am eager to enhance my skills and knowledge.  

Skills  
- Wireframing and prototyping in Figma  
- Component and autolayout creation  
- Landing page and multi-page project design  
- Attention to detail and deadline management  
- Commitment to self-improvement  

Education  
Projector — Creative & Tech Online Institute  
Web Design Beginning  
2022  

Projector — Creative & Tech Online Institute  
Web Design Junior  
2022-2023"
98286,"[Your Name]  
[Your Contact Information]  

**UI/UX & Graphic Designer**  

A highly motivated and creative designer with a passion for delivering exceptional user experiences and visually compelling UI. Strong understanding of the design process, coupled with a background in marketing, enables me to contribute effectively as a UI/UX or graphic designer.  

**Professional Experience**  

**Marketing Manager / Designer**  
[Company Name] | [Dates of Employment]  
- Designed marketing materials (brochures, leaflets, stands) using Figma, Adobe Photoshop, and Adobe Illustrator.  
- Created visuals for websites, social media posts, and campaigns.  
- Planned and developed email newsletters.  
- Edited videos for social media platforms.  
- Wrote content for websites, marketing materials, campaigns, and email newsletters.  

**Skills**  
- UI/UX Design  
- Graphic Design  
- Figma  
- Adobe Photoshop  
- Adobe Illustrator  
- Video Editing  
- Content Writing  
- Marketing Strategy  

**Education**  
[Degree Name] | [Institution Name] | [Year]"
98287,"**Professional Summary**  
Understanding of the interface design process and experience with them. Ability to create prototypes for different types of products. Ability to analyze conditions, test prototypes, and use data to improve design. Understanding of user needs and knowledge of examples of good design. Experience in creating simple and clear web browser layouts. Experience in designing interactive UX applications. Ability to work in a team and knowledge of the principles of collaboration.  

**Work Experience**  
**UI/UX Designer**  
*alkima web & design*  
March 2023 - Present  
- Conduct user experience research.  
- Create sitemaps, wireframes, and user interfaces.  
- Utilize Webflow builder for design projects.  
- Design banners for websites and creatives for social networks.  
- Develop logos and design system concepts.  

**Sales Manager**  
*Vinnytsia Distribution Company*  
January 2019 - February 2022  
- Collaborated with teams to achieve sales targets.  
- Developed and maintained client relationships.  

**Career Objective**  
Seeking to work in a team-oriented environment to create projects that enhance user interaction with technology. Focused on developing interfaces for websites, mobile apps, and software."
98288,"**Professional Experience**  

**Freelance Developer**  
- Collaborated with diverse clients on various projects, including early-stage gaming development, cryptocurrency exchanges, and crypto-related websites.  
- Communicated directly with project managers (acting as clients) to align deliverables with project expectations.  
- Worked closely with web developers to clarify and implement layout specifications.  
- Adapted to varying project scopes, ensuring timely and efficient completion of tasks.  

**Skills**  
- Cross-functional collaboration  
- Client communication  
- Technical coordination  
- Agile project adaptation"
98289,"[Your Name]  
[Your Contact Information]  

**Portfolio**  
All work is done in Figma.  

**Study Case 1**  
Designed a landing page for a Law Firm. Responsibilities included:  
- Briefing the client  
- Researching and analyzing the law field  
- Creating mood boards  
- Selecting fonts and colors  
- Working with brand identity  
- Wireframing  
- Developing different design concepts  
- Finalizing the design  
- Creating adaptive designs for various devices, including phones and tablets  

**Study Case 2**  
Designed a website for a pastry shop with delivery. Focused on:  
- Learning and applying auto layouts in Figma  
- Utilizing previous knowledge of design basics  

**Skills**  
- Proficient in Figma  
- Wireframing and prototyping  
- Brand identity development  
- Adaptive design for multiple devices  
- Auto layouts in Figma  
- Design research and analysis"
98290,"Here's an improved version of your resume while ensuring all details remain truthful and aligned with your original submission:  

---  

**Skills**  
- Proficient in Adobe Photoshop, Illustrator, and Figma  
- Quick learner with strong adaptability to new challenges  
- Detail-oriented with a keen eye for design  

**Experience**  
*(Optional: You may include academic projects, freelance work, or internships if applicable.)*  

**Education**  
*(Include relevant degrees, certifications, or courses if applicable.)*  

**Additional Information**  
- Eager to expand knowledge in graphic design tools and techniques  
- Strong problem-solving abilities and willingness to take initiative  

---  

Let me know if you'd like to refine it further or add specific sections."
98291,"**Professional Summary**  
Motivated UI/UX Designer with foundational skills in creating seamless, creative, and functional designs. Experienced in developing user-friendly interfaces and conducting comprehensive testing to ensure software quality. Proficient in SQL for database management and data verification. Skilled in utilizing tools like Figma and Adobe Illustrator to deliver modern and structured designs. Seeking a flexible or full-time position in a company focused on enhancing productivity and user experience.  

**Skills**  
- UI/UX Design  
- Wireframing and Prototyping  
- User Research and Competitive Analysis  
- SQL for Database Management  
- Bug Reporting and Test Case Execution  
- Tools: Figma, Adobe Illustrator, Slack  

**Projects**  
**Redesign for Website “A Kids Place Childcare” (Study Project)**  
- Redesigned the website for a childcare center in North Olmsted, Ohio, focusing on creating a modern, user-friendly, and well-structured design.  
- Conducted user research, competitive analysis, wireframing, and prototyping.  
- Tools: Figma, Adobe Illustrator  

**Web Service “Medical Clinic” (Study Project)**  
- Developed a web service for a private medical clinic to streamline doctor-patient interactions, including online consultations and automated documentation using speech recognition technology.  
- Responsibilities: Baseline study, brainstorming, Jobs-to-be-Done, User Flow, Customer Journey Mapping (CJM), prototyping, UI design, and adaptation.  
- Tools: Figma, Adobe Illustrator, Slack  

**Experience**  
- Created and executed test cases to ensure software quality and functionality.  
- Generated comprehensive and accurate bug reports to facilitate quick issue resolution.  
- Utilized SQL to manage databases and verify data accuracy.  

**Objective**  
Seeking a flexible or full-time position in a company dedicated to simplifying daily tasks and improving business productivity through user-friendly solutions. A fast learner, responsible, and ready to tackle challenging tasks."
98292,"**Professional Summary**  
Graduated from mentoring in UX/UI Design, specializing in creating landing pages, sign-up/log-in forms, and other user interfaces. Worked in a design studio in Kyiv on the mobile app project ""DayDrive."" Advanced proficiency in spoken English. Passionate about solving UX problems and enhancing user experiences. Skilled in conducting thorough research, building wireframes, and creating interactive prototypes. Focused on balancing usability and aesthetics while aligning business solutions with user empathy. Seeking opportunities to advance my career and apply my skills and knowledge.  

**Experience**  
**UX/UI Designer**  
Design Studio, Kyiv  
- Contributed to the mobile app project ""DayDrive,"" focusing on user interface design and user experience improvements.  
- Collaborated with teams to create functional and visually appealing designs.  

**Education**  
Mentoring Program in UX/UI Design  
- Developed skills in designing landing pages, sign-up/log-in forms, and other user interfaces.  

**Skills**  
- UX/UI Design  
- Wireframing and Prototyping  
- User Research  
- Usability and Aesthetics  
- Advanced Spoken English  

**Interests**  
Solving UX problems, improving user experiences, and balancing usability with aesthetics."
98293,"**UI/UX Designer**  

**Education**  
- **UI/UX Design Advanced Level Course** – IT School Hillel (First-Class Degree Diploma, 2nd Place in Student Ratings)  
- Continuously enrolled in design-related online courses across various platforms  

**Experience**  
**Freelance UI/UX Designer** – Upwork (Top Rated) | Apr 2020 – Present  
- Redesigned CRM systems  
- Developed a components library for a site-builder service  
- Designed mobile applications  
- Created CRM interface designs  

**UI/UX Design Studies** | Sep 2019 – Mar 2020  
- Gained expertise in UX (research, analysis, prototyping), typography, grid compositions, animations, color systems, and responsive design  
- Applied knowledge to diploma project: a CRM system for a sports complex  

**Landing Page Designer & Collaboration** | July – Aug 2019  
- Designed a landing page for educational courses  
- Collaborated with developers on testing and CRM/web design  
- Decision to pursue formal UI/UX design education  

**Career Goals**  
Seeking a company with a warm, friendly team where I can grow as a designer while contributing to challenging and engaging projects."
98294,"**UI/UX Designer**  

**APR - MAY 2023**  
**App Project: Food Delivery App**  
- Conducted UX tasks including Personas, Customer Journey Maps (CJM), Empathy Maps, Competitor Analysis, Site Maps, and User Flows.  
- Executed UI tasks including Wireframing, Concept Development, and Visual Design.  

**JUNE 2023**  
**Landing Page: Craft Beer Brewery**  
- Performed UX tasks including Competitor Analysis, Information Architecture, and Moodboard Creation.  
- Completed UI tasks including Wireframing, Visual Design, and Animation."
98295,"[Your Name]  
[Your Contact Information]  

**UX/UI Designer**  

**About Me**  
Artists express themselves. Designers solve problems. As an aspiring UX/UI designer, I combine creativity with problem-solving to create useful, revenue-driving products. My background in art and design enables me to deliver visually appealing and functional solutions.  

**Skills**  
- **Design Tools:** Adobe Illustrator, Adobe Photoshop, Figma  
- **UX Research:** User Flow, User Story, CJM, User Scenario  
- **Prototyping:** Low- and high-fidelity prototyping, interactive prototyping (Figma)  
- **Visual Design:** Color theory, typography, composition, logo design  
- **UI Frameworks:** Material Design & Human Interface Guidelines  
- **Design Systems:** UI-kit creation, components, variants, auto layout (Figma)  
- **Web Design:** Adaptive design, basic HTML/CSS, Tilda  

**Projects**  
- **Vinyl Shop Website** – Designed desktop and mobile versions.  
- **Sign Language Study App** – Conducted UX research, applied Human Interface/Material Design, and created a landing page.  
- **Car Trip Planning App** – Led UX research, developed a design system, applied Human Interface Design, and designed a landing page.  

**Availability**  
Currently seeking new opportunities in web design. Open to roles that align with my skills and experience.  

[Optional: Portfolio or LinkedIn link]"
98296,"Here’s your improved resume:  

---

**Name** [Your Name]  
**Email** [Your Email] | **Portfolio** [Your Portfolio Link] | **LinkedIn** [Your LinkedIn Profile]  

### **Designer | Volunteer**  
[Charitable Foundation Name] | [Dates of Involvement]  
- Designed landing pages, banners, and logos to support the foundation’s mission.  
- Ensured visual consistency across digital assets.  

### **Skills**  
- UI/UX Design (Landing Pages, Mobile Apps)  
- Prototyping (Hi-Fi & Lo-Fi Wireframes)  
- Responsive & Adaptive Design  
- UX Research  
- Figma/Adobe XD/Sketch [List Tools You Use]  

### **Education**  
[Your Degree/Course Name] | [Institution Name] | [Year of Completion]  
- Developed skills in UX/UI design, prototyping, and research through coursework.  
- Created solo projects, including landing pages, apps, and prototypes.  

### **Objective**  
Aspiring designer seeking hands-on experience to grow my skills in UI/UX. Passionate about creating intuitive, user-centered designs and eager to contribute to impactful projects.  

---  

(Ensure all details align with your actual experience.)"
98297,"Here’s your improved resume draft while preserving factual accuracy:  

---  

**Designer**  

Experienced in individual and teamwork on landing pages, website redesign, web services, and mobile applications. Developed 3 projects, including one team project.  

**Key Skills**  
- Landing page and website design  
- User flow research and implementation (patient-side experience)  
- Web service design for healthcare  
- Responsive/adaptive redesign  
- Proficiency in industry-standard design tools  
- Team collaboration and communication  
- Open to feedback and iterative improvement  
- Deadline-driven task completion  

**Project Experience**  

**Landing Page – “Barbershop in Kyiv”**  
- Designed a one-page site to attract customers and promote services.  
- Included service details, master profiles, customer reviews, and competitive advantages.  

**Web Service – Medical Clinic (Team Project)**  
- Contributed to the patient-side user flow.  
- Designed features for online appointments, in-person scheduling, medical history access, and payment tracking.  

**Redesign – “KIDS PLACE”**  
- Modernized the website to boost visitor engagement.  
- Created an adaptive version to improve accessibility and expand the target audience.  

**Career Objective**  
Seeking a full-time or part-time designer role at a company focused on user-friendly, business-driven digital products. Committed to continuous learning and tackling complex challenges.  

---"
98298,"**Professional Summary**  
UI/UX Designer with experience in creating user-centered designs for websites, web services, and mobile applications. Skilled in market and competitor analysis, persona development, wireframing, sitemap creation, and UI/UX design. Proficient in Figma, Adobe Photoshop, Adobe Illustrator, and Adobe InDesign. Experienced in collaborating with customers and development teams to deliver effective and visually appealing solutions.  

**Experience**  
**UI/UX Designer**  
- Developed a logo and corporate identity for Ina&Mi, a Ukrainian women’s clothing brand, using Adobe Illustrator, Adobe Photoshop, and Adobe InDesign.  
- Designed landing pages, website redesigns, and web services, ensuring alignment with corporate style and user needs.  
- Conducted market and competitor analysis, created personas, wireframes, and sitemaps, and implemented UI/UX design principles.  
- Collaborated with a development team on a web service for booking accommodations, contributing to competitor analysis, strategy development, and team communication.  

**Skills**  
- UI/UX Design: Wireframing, prototyping, persona development, sitemap creation.  
- Tools: Figma, Adobe Photoshop, Adobe Illustrator, Adobe InDesign.  
- Soft Skills: Leadership, flexibility, creativity, organization, interpersonal communication.  

**Projects**  
**Ina&Mi Brand Identity**  
- Created a logo and corporate style for a modern women’s clothing brand, ensuring customer satisfaction.  

**Freedom Accommodation Booking Service**  
- Collaborated with a development team to analyze competitors, develop strategies, and design a user-friendly web service.  

**Pet Projects**  
- Designed landing pages, website redesigns, and an application for booking tables in restaurants, cafes, and bars.  

**Education**  
Graphic Design Courses  
- Gained hands-on experience in creating visual solutions using Adobe Illustrator, Photoshop, and After Effects.  

**Career Goals**  
- Collaborate with teams to create high-quality products that meet business and user needs.  
- Seek opportunities for professional growth, training, and mentorship.  
- Contribute fresh perspectives, creativity, and enthusiasm to team projects.  

**What I Offer**  
- Support and collaboration to achieve team goals.  
- Creativity and innovative problem-solving.  
- Willingness to learn, share knowledge, and grow professionally."
98299,"**Professional Summary**  
Highly creative and detail-oriented junior UI/UX designer with a passion for crafting intuitive and engaging digital experiences. Skilled in applying design principles and solving complex problems to create user-centered designs that meet the needs of diverse audiences. Eager to continue learning and growing while contributing to dynamic and innovative teams.  

**Experience**  
**Crypto Wallet Tutis**  
*Application, Full Cycle Design*  
- Designed a secure and intuitive platform for managing cryptocurrencies, focusing on user needs and data privacy.  
- Conducted extensive user research to understand the needs of crypto wallet users and incorporated feedback into the design process.  
- Created a user-centered design that ensured a seamless experience while prioritizing asset safety.  

**Redesign Cucina di Catherina**  
*Online Store Website, Full Cycle Design*  
- Redesigned the website to create a modern, user-friendly platform that enhanced the customer experience and increased sales.  
- Conducted user research to identify pain points and needs, designing new visual elements and a fresh color palette to modernize the brand’s image.  
- Performed usability testing to ensure the new design addressed user issues and improved engagement metrics by X%.  

**Project Crypto Wallet**  
*UI/UX Designer*  
- Developed a secure and user-friendly platform for managing cryptocurrencies.  
- Conducted user research and implemented user-centered design principles to meet the needs of the target audience.  

**Skills**  
- Adobe Suite  
- Web interfaces, mobile design, and landing pages in Figma  
- User personas, user scenarios, and sitemaps  
- UX research and competitor analysis  
- Google Material Design Guidelines  
- Photo editing in Photoshop  
- Icon, logo, and illustration design in Illustrator  
- Wireframing and prototyping  
- Visual interface design  
- Site mapping and user flow  
- Design adaptation  

**Career Goals**  
- Work on diverse projects requiring engaging and intuitive user experiences.  
- Collaborate with cross-functional teams, including product managers, developers, and stakeholders, to align designs with business goals and user needs.  
- Conduct user research and create personas to inform design decisions.  
- Design wireframes and prototypes to test and iterate on concepts.  
- Develop design systems and style guides for visual consistency.  
- Advocate for user-centered design principles and promote user needs throughout the design process.  
- Continuously gather feedback and iterate on designs to improve the user experience.  

**Expectations**  
Seeking a dynamic and challenging environment that fosters creative thinking and solving complex design problems."
98300,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Highly motivated UX/UI designer with a passion for creating user-centered designs that simplify complex tasks and deliver seamless, enjoyable experiences. Recently completed UI/UX design courses and developed several personal projects. Strong communication skills and a commitment to continuous improvement to contribute effectively to organizational success.  

**Experience**  
Various Roles – [Previous Employers]  
- Gained diverse experience across multiple positions, honing adaptability and problem-solving skills.  
- Demonstrated strong communication abilities in collaborative and client-facing environments.  

**Education & Training**  
UI/UX Design Courses – [Institution/Platform]  
- Completed comprehensive training in user interface and user experience design principles.  
- Developed practical skills through hands-on projects and coursework.  

**Projects**  
Personal UX/UI Design Projects  
- Designed and implemented user-centered interfaces for personal projects, focusing on usability and aesthetics.  
- Applied design thinking methodologies to solve user problems and enhance experiences.  

**Skills**  
- UX/UI Design  
- User-Centered Design Principles  
- Communication and Collaboration  
- Problem Solving  
- Continuous Learning and Skill Development"
98301,"Junior UI/UX Designer  
Equipped with a diverse range of design skills and strong knowledge of various design tools and software.  
Education and training from Design IT Step Academy provided expertise in graphic design, 3D modeling, animation, and UI/UX design.  
Proficient in Figma, Photoshop, Illustrator, After Effects, Maya, and Premiere Pro to create visually appealing designs.  
Strong understanding of design principles and techniques, including prototyping, design research, SWOT analysis, typography principles, image making, and illustrating, enabling the creation of effective and user-friendly designs."
98302,"[Your Name]  
[Your Contact Information]  

**Junior UI/UX Designer**  
Passionate about designing aesthetically pleasing and effective web and mobile applications. Driven by the desire to turn ideas into reality and create interfaces that solve problems and simplify daily goals for the target audience. With a keen eye for detail and a full-cycle design approach, I analyze tasks, create prototypes, design visual styles, and implement them into usable and simple end products.  

**Professional Experience**  

**Team Leader – Paw Rescue Project**  
- Organized the team’s work and designed the prototypes’ visual aspects.  
- Conducted competitor analysis to structure the website effectively.  
- Created a clear user flow to guide users quickly to their goals.  
- Collaborated with the team to develop a convenient and modern website interface using a design system.  

**UI/UX Designer – Italian Sauce Website Redesign**  
- Revamped the website to attract customers and improve user-friendliness.  
- Conducted competitor research to identify successful solutions.  
- Updated the color scheme, standardized photos, and modernized typography to enhance the site’s appearance and convenience.  
- Adapted the design for mobile and tablet versions.  

**UI/UX Designer – Flower Lover Landing Page**  
- Analyzed the target audience for flower shop websites.  
- Designed a clear interface with all necessary menu items.  
- Built the interface from scratch to meet project goals.  

**Career Goals**  
Seeking a remote office position in a company that values mutual respect and fosters a friendly atmosphere. Interested in corporate training, development opportunities, and career growth within the organization."
98303,"Skilled in using tools like Adobe Photoshop, Figma, and similar software for creating user interfaces and visual designs. Proficient in creating wireframes and interactive prototypes to visualize design concepts. Experienced in designing interfaces that adapt well to various screen sizes and devices. Understanding of design systems and their components. Capable of creating user flows and journey maps to illustrate the path users take through an application or website. Proficient in using graphic editing tools like Photoshop and Illustrator to create and modify visual assets. Organized in managing design tasks, meeting deadlines, and collaborating effectively with team members.  

As a Junior UI/UX Designer, I worked on various web services and mobile apps. Collaborated with teams to design user interfaces that are easy to use and visually appealing. For web services, created layouts optimized for different devices. For mobile apps, designed screens considering touch interactions, ensuring clarity and organization. Adapted to different project requirements and improved skills using tools like Figma, Adobe Photoshop, and Protopie to create layouts and mockups.  

**Projects:**  
1. **Tattoo Studio Website ""Custom Concepts"" Redesign**  
Redesigned the existing website to enhance user convenience. Updated the main color palette, incorporated high-quality photos, created a simplified booking form, and established a structured visual hierarchy.  

2. **Web-Service for Searching Animals ""PetRescue""**  
Designed a web application to help reunite lost pets with their owners. Created a platform where users can report and search for missing pets in their area. Tools used: Figma, Adobe Photoshop, FigJam, Adobe Illustrator.  

**Languages:**  
Native Ukrainian, fluent in Russian, upper-intermediate English, and elementary Polish.  

Committed to continuous learning and improvement in UI/UX design. Ready to work on diverse projects and explore new methodologies. Focused on creating inclusive, user-friendly designs and incorporating feedback to refine and enhance designs."
98304,"**Professional Summary**  
Junior UI/UX Designer specializing in creating visually appealing and user-friendly digital experiences, including landing pages, web services, and mobile applications. Skilled in UX research methodologies such as in-depth interviews, surveys, personas, and empathy maps. Proven ability to lead teams, conduct competitive analysis, and present solutions to stakeholders.  

**Experience**  
**Team Lead & UI/UX Designer – Buki School Project**  
- Led team in redesigning the student cabinet to improve usability and engagement.  
- Conducted comprehensive UX research, including competitive analysis, heuristics evaluation, interviews, surveys, and persona development.  
- Designed and delivered a clickable prototype.  
- Presented final project to the customer.  

**UI/UX Designer – DocMe Web Service (Team Project)**  
- Contributed to the development of a web service for organizing doctor-patient meetings with automatic report generation.  
- Conducted competitor and target audience analysis, persona mapping, JBTD, and CJM.  
- Designed the main site and assisted in refining doctor and patient dashboards.  

**Skills**  
- UX Research (Interviews, Surveys, Personas, Empathy Maps)  
- Competitive & Heuristic Analysis  
- Prototyping (Clickable Prototypes)  
- Team Leadership & Collaboration  
- Stakeholder Presentations  

**Expectations**  
Seeking a collaborative team environment that values innovation and professional growth, with opportunities for ongoing training in design trends and technologies."
98305,"**Professional Summary**  
Experienced team leader and junior UI/UX designer with a proven track record of delivering user-friendly and visually appealing designs. Skilled in project management, workflow organization, and collaborative teamwork. Adept at conducting competitor and target audience analysis, creating personas, and developing intuitive interfaces. Completed 6 study cases and a specialized UI/UX design course, gaining hands-on experience in design principles and application.  

**Experience**  
**Team Leader & UI/UX Designer**  
*Web-Service for Finding Lost Pets*  
- Led a team to develop a web service for locating lost pets, ensuring smooth workflow and timely project completion.  
- Conducted competitor analysis, target audience analysis, and created user personas, JTBD, CJM, and user flows.  
- Designed an intuitive interface that met the expectations of the target audience, earning high praise from the mentor.  
- Organized team meetings, distributed tasks, and ensured effective collaboration among team members.  

**Junior UI/UX Designer**  
*Start-Up Project: Web Service for Accountants*  
- Collaborated with student developers to create a web service assisting accountants in calculating salaries, bonuses, and related tasks.  
- Applied UI/UX design principles to develop user-friendly and visually appealing interfaces.  

**Projects**  
**Mobile App for Coffee Shop Chain**  
- Designed a mobile application with an intuitive interface, youth-oriented style, and well-developed functionality.  
- Conducted competitor and target audience analysis, created personas, JTBD, user flows, wireframes, and animations.  

**Travel Agency Website Redesign**  
- Redesigned a travel agency website to create a clean, concise, and visually appealing design for a broad target audience.  
- Conducted competitor and target audience analysis, developed personas, user flows, wireframes, and animations.  
- Structured large amounts of information effectively to stand out from competitors.  

**Skills**  
- UI/UX Design  
- Competitor and Target Audience Analysis  
- Persona Creation  
- User Flow Development  
- Wireframing  
- Animation  
- Team Leadership  
- Project Management  
- Workflow Organization  

**Education**  
Completed specialized UI/UX design course with 6 study cases.  

**Career Goals**  
Seeking to join a team of specialists dedicated to project development and improvement. Aim to apply theoretical knowledge in practice and advance professionally over time."
98306,"**Junior UX/UI Designer**  

Passionate about foundational UX/UI principles, I began my journey with courses in **UX Design** and **Interaction Design** at Projektor, followed by **UI/UX** training at Skill-up School. Through structured learning, I developed strong theoretical knowledge and practical application of UX methodologies.  

**Key Experience & Skills:**  
- Managed end-to-end project phases, including stakeholder requirement gathering, user research, and task analysis.  
- Created **personas** and workflows in **Miro** for user-centric design solutions.  
- Designed **high-fidelity wireframes** and **interactive prototypes** in **Figma**.  
- Conducted **usability testing** and delivered polished presentations.  

**Project Highlights:**  
- Planner application  
- eCommerce website redesign  
- Landing page design  
- CRM system interface  
- Corporate website development  

Seeking a role where I can leverage my skills, grow rapidly, and contribute meaningfully to impactful design solutions."
