,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o
141,"Досвід роботи на фрілансі понад 2 роки, спеціалізація на розробці прототипів сайтів та їх дизайні. Досвід у створенні та оформленні обкладинок для соціальних мереж. Мотивований до подальшого розвитку в сфері дизайну та прагну отримати новий досвід у співпраці з динамічною командою, де можна взаємодіяти та навчатися один у одного."
142,"Уміння ефективно взаємодіяти з різними типами клієнтів, запобігаючи конфліктам при різних поглядах на результат. Самостійне ведення проєктів без безпосереднього контролю з боку менеджера. Здатність творчо підходити до візуальних завдань та реалізовувати будь-які дизайнерські ідеї.

09.2018 - ... - freelance (UI/UX & graphic designer)

11.2019 - 09.2020 - Jelvix (graphic designer)

09.2020 - ... - AnyforSoft (UI/UX designer)

Інтерес до роботи над довготривалими проєктами в команді, проведення UX досліджень та активна участь у створенні матеріалів для маркетингу та HR-відділів."
143,"**[Ваше ім'я]**

---

**Освіта**

**May 2022 - Jun 2022**  
Курс ""English for IT""  
Anna Gandrabura

**Dec 2021 - Mar 2022**  
Курс ""Mobile Apps Design""  
Projector Institute

**Sep 2021 - Dec 2021**  
Курс ""UX/UI Design Start""  
Designly School

---

**Досвід роботи**

**10.2022 - теперішній час**  
Працюю над складним, багатофункціональним продуктом у невеликій компанії, здобуваючи цінний досвід, виконуючи різні ролі та обов'язки. Відповідаю за весь процес від бізнес-запиту до передачі розробникам. Активно спілкуюся з бізнесом та командою для досягнення результатів.

**06.2022 - 10.2022**  
Працював у компанії, що розробляє додатки для Microsoft, здобув досвід у дизайні для X-box.

**01.2022 - 06.2022**  
Співпрацював з командою дизайнерів над фріланс-проєктами, включаючи настільний додаток для батьків і дітей для відстеження освітнього прогресу дитини та допомоги з домашніми завданнями."
144,"Certificate of completion: Introduction to IT, April 2023 – May 2023, Beetroot IT Company  
GoIT Demo-Design UI-UX Marathon: Created a landing page  
GoIT UI-UX Design Marathon: Redesigned an astrological application - horoscope  
Test-drive of IT professions from GoIT: Created a website layout in Figma"
145,"UI/UX Designer

Досвід роботи:

1. Міжнародний Благодійний Фонд “День За Днем”
   - Участь у створенні дизайну сайту та особистого стилю.
   - Проведення переходу сайту на вищий рівень з новою концепцією для зручного інтерфейсу та користувацького дизайну.

2. Стажування в студії KovalIt
   - Отримання цінного досвіду роботи в молодій та зростаючій команді.

3. Веб-дизайнер в компанії “KovalIt”
   - Розробка повноцінного проєкту сайту курсу по зачіскам.
   - Створення стильного та мінімалістичного інтерфейсу для легкого вибору та проходження курсів онлайн.
   - Відповідальність за дотримання вимог ТЗ, підбір кольорової палітри та шрифтів.
   - Розробка дизайну для різних версій пристроїв, створення логотипу та сертифікату.

4. Веб-дизайнер з особистого стилю в Міжнародному Благодійному Фонді “День За Днем” (“DayByDay”)
   - Розробка особистого стилю, включаючи стікерпак, банер, візитівку, бейдж, перепустку та історії Instagram.
   - Дизайн сайту для підтримки людей, які потребують допомоги."
146,"- Сертифікат `Веб-Дизайнер 2021` від школи Shendrikov Education
- Сертифікат WayUp `Веб-Дизайнер Взрывной Старт 2.0`
- Сертифікат WayUp `Веб-Дизайнер Взрывной Старт 2.1`
- Курси `Web designer` школи Shendrikov Education
- Онлайн курс від WayUp `Веб-Дизайнер Взрывной Старт 2.0`

Досвід у дизайні для інтернет-магазинів"
147,"1. Проект ""Кафе для роботи"": Розробка тестового дизайну сайту для компанії, що дозволяє користувачам шукати привабливі місця в кафе, орендувати робочі місця, вибирати філіали, ознайомлюватися з меню та пропозиціями кафе.

2. Проект ""Квітковий магазин"": Розробка тестового дизайну сайту для компанії, де користувачі можуть вибирати насіння, горщики та інші товари.

3. Проект ""Сайт для покупки квитків"": Створення тестового дизайну сайту для компанії, що дозволяє користувачам вибирати квитки та переглядати прем'єри цього року.

4. Проект ""Аналог магазину Apple"": Розробка тестового дизайну сайту для компанії, де користувачі можуть вибирати категорії техніки, дізнаватися про основні характеристики магазину та замовляти техніку.

У всіх цих проектах я працювала як графічний дизайнер, UI/UX."
148,"[Ваше ім'я]

Контактна інформація:
[Ваш номер телефону]
[Ваш email]

Мета:
Прагну застосувати свої навички та знання в дизайні для створення інноваційних та ефективних рішень.

Освіта:
- Самостійне навчання дизайну, 1 рік

Навички:
- Основи графічного дизайну
- Робота з інструментами дизайну (наприклад, Adobe Photoshop, Illustrator)
- Креативне мислення та вирішення проблем
- Здатність до самостійного навчання та адаптації

Досвід:
- Розробка власних проектів у сфері дизайну
- Практичне застосування теоретичних знань у реальних проектах

Додаткова інформація:
- Висока мотивація до подальшого розвитку в сфері дизайну
- Вміння працювати в команді та самостійно

[Дата]"
149,"1. Розробка UI та UX для веб-сайтів.
2. Дизайн мобільних додатків.
3. Використання методології Design Thinking: створення Customer Journey Maps, проведення інтерв'ю з користувачами, тестування залучення користувачів.
4. Створення Landing Pages.
5. Розробка візуального контенту для бренду: соціальні мережі, візуальний контент для блогу, HTML-банери, електронні листи, push-сповіщення.
6. Дизайн логотипів.
7. Розробка фірмового стилю та створення бренд-буку.
8. Розробка та верстка POS матеріалів, дизайн мерчандайзу."
150,"2012 - 2015: Веб-дизайнер в студії DARTC  
2015 - 2018: Веб-дизайнер в Lumospark  
2018 - 2020: Ведучий дизайнер в Lumospark  
2020 - дотепер: Фріланс - дизайнер  

Обов'язки:  
- Створення дизайну для сайтів, мобільних додатків, анімації, прототипів, логотипів та поліграфії.  

Навички:  
- Володіння програмами Figma, Adobe Photoshop, Adobe Illustrator, Adobe XD, Balsamiq, Adobe After Effects, Adobe InDesign та InVision.  
- Готовність швидко вивчати нові програми за потреби."
151,"UI/UX Designer

Досвід роботи:

2016 - 2018  
UI/UX Designer  
Together Networks  
- Розробка шаблону вебсайту для конструктора сайтів Yola.

2018 - 2020  
Product Designer  
Skillum Startup  
- Створення дизайну для маркетплейсу розробників без коду.

2020 - 2023  
UI/UX Designer  
Metevo Agency (Upwork)  
- Робота над проєктами в сфері електронної комерції.

Мета:  
Шукаю виклики, які дозволять використовувати мій досвід та навички, сприятимуть безперервному професійному зростанню."
152,"Дитячий дизайнер з багаторічним досвідом у створенні власного бренду та успішними продажами на Etsy. Спеціалізуюся на дизайні логотипів, одягу та лекал, а також на фотозйомці та обробці фото. Організовував маркетингові заходи та брав участь у ярмарках ""Всі свої"".

Маю досвід співпраці з американським брендом спортивного одягу, де відповідав за створення інтернет-магазину та контенту в Instagram.

Графічний дизайнер з навичками у створенні ілюстрацій, анімацій та обробці фото.

Власник магазину на Etsy, де пропоную майстер-класи англійською мовою з пошиву фетрових іграшок та оригінальних принтів. Володію навичками роботи з Procreate та Adobe Illustrator, а також управління магазином та маркетингом на Etsy.

UI/UX фрилансер з досвідом у створенні контенту в Instagram, логотипів, банерів та візиток, а також у розробці та редизайні веб-сайтів."
153,"Досвід роботи:

2018-2019 Веб студія “Ранок”
- Розробка прототипів та дизайну для міжнародних проектів
- Проведення досліджень та створення мудбордів для клієнтів
- Використання Adobe Photoshop та Figma для дизайну
- Написання текстів, фотографування товарів та створення банерів
- Підготовка презентацій для організації роботи команди
- Кураторство нових співробітників та стажерів
- Мерчендайзинг вітрин та організація офісного простору

Літо 2020 Співпраця з блогером
- Пошук блогерів для реклами та аналіз їхньої статистики
- Створення чек-листів, гайдів, обкладинок та монтаж відео
- Генерація ідей для блогу та їх реалізація

2019-2022 Магазини з непродовольчими товарами
- Дотримання касової дисципліни та вчасний прихід на роботу
- Відповідальність за результати та взаємодія з колективом
- Підтримка чистоти на робочому місці та відповідальне ставлення до обов'язків

Цікавлюсь роботою в сильній та творчій команді, де кожен може розвиватися і допомагати один одному. Важливо, щоб робота не забирала вільний час і поважали особисті кордони кожного співробітника."
154,"2019 - present: Graphic Designer at Helena Studio (Israel)
- Responsible for creating visual concepts and designs for various projects
- Completed courses in web design and mobile app design at Prozhektor
- Seeking to transition from graphic design to UI/UX design
- Looking for internship or junior UI/UX position"
155,"2020-2023  
First Ukrainian Studio  
UI/UX Designer  

- Прототипування  
- Веб дизайн (лендинги, корпоративні, багатосторінкові сайти, адаптація під мобільні пристрої)  
- Редизайн існуючих сайтів з урахуванням їх фірмового стилю  
- Генерування ідеї сайту, логіки користувача, usability сайту  
- Побудова ефективних систем зв'язку між користувачем/клієнтом та продуктом/компанією, орієнтованих на сучасний UI/UX  
- Комунікація з front-end-розробником та командою маркетологів  
- Опис способів взаємодії та поведінки інтерфейсу для розробників  
- Створення промоматеріалів.  "
156,"2021 - 2023: UI/UX Designer в Ux lab.  
Розробка UX-скетчів, лендінгів, брендингу, дизайну мобільних додатків, Saas, Crm.

2020: Відеомонтажер в Beemlop.  
Створення анімації форм та персонажів.

2019 - 2020: Відеомонтажер в Vilz Agency.  
Створення анімації форм, об'єднання та обрізка відеокліпів для проектів MindGame, YBW (Your Business Forum). Використання Adobe After Effects, Final Cut Pro, Adobe Premiere Pro, Motion 5, Compressor, Adobe Photoshop, Adobe Media Encoder, Adobe Illustrator.

2017 - 2018: Frontend розробник в агентстві Qumel Digital.  
Розробка сайтів з використанням HTML/CSS/JavaScript. Створення простих дизайнів веб-сайтів. Підтримка та оновлення сайтів. Оптимізація SEO. Робота над проектами Frog Tutoring, spa.ru, сайт Lviv Topography. Адаптивна верстка для мобільних пристроїв."
157,"UI/UX Designer з 2-річним досвідом та Front-end Developer з 1-річним досвідом. Добре розумію процеси розробки продукту завдяки практичному досвіду. Маю експертизу в таких сферах, як безпека, охорона здоров'я, системи управління персоналом, веб-розробка та особистий менеджмент. Розвивала власний дизайн-проєкт. Прагну поглибити знання в UX розробці."
158,"Досвідчений UX/UI дизайнер з 3,5 роками досвіду в сферах E-commerce, Fitness, Restaurant, Medicine, Education, News, Office service. 

- Участь у різноманітних проектах для внутрішнього та зовнішніх ринків
- Сильне бажання навчатися новому та розвиватися
- Вміння ефективно працювати в команді з тімлідом та сеньйорами
- Готовність до повної зайнятості
- Погодинна ставка: від 25$/год
- Місячна зарплата: від 2 500 $/міс."
159,"Досвідчений дизайнер з трирічним стажем роботи в дизайнерському агентстві, спеціалізуюсь на створенні дизайну landing page та великих тендерних проектів для міст Лозова та Ізюм. Володію навичками ефективного спілкування з клієнтами та розробки масштабних проектів. 

Маю розуміння базових принципів HTML, CSS, JavaScript та адаптивної верстки, а також базові знання фреймворку Bootstrap. Досвідчений у підготовці макетів до друку. 

Відзначаюсь гнучким та ефективним управлінням робочим часом, готовністю працювати в термінових ситуаціях та бути на зв’язку 24/7. Високий рівень трудової етики дозволяє виконувати завдання якісно та вчасно. 

Моя мета - розробка дизайну мобільних та настільних додатків."
160,"3D візуалізація

Досвід:
- 4 роки у веб-дизайні
- 1 рік у 3D візуалізації
- 6 місяців у UI/UX дизайні

Особливості роботи:
- Відсутність бюрократії
- Робота в команді досвідчених дизайнерів
- Участь у проектах дизайну мобільних додатків"
161,"Розробка дизайну Головної Нагороди та Диплому Кубку Вільга 2018 з авіамодельного спорту (етап World Cup 2018, Eurotour Contest 2018, Intertour F5J 2018). Участь у організації змагання.

4 роки та 11 місяців досвіду роботи в компанії Catalyst Apps на посадах 2D artist та UI/UX designer. Створення інтерфейсів для мобільних ігор (шутер та стратегія).

Співпраця з компанією Vladimir's Model у розробці дизайнів для літаків та поліграфічних матеріалів. Координація роботи команди з отримання замовлення до відправки готового виробу замовнику.

2 роки та 5 місяців досвіду роботи з компанією VMG Ukraine - підрозділ компанії VMG USA. Розробка дизайну мобільного додатку та веб-сторінки для казино в Лас Вегасі. Створення ігрової логіки, дизайн документів та специфікацій для програмістів. Координація роботи команди."
162,"5 років досвіду у UI/UX дизайні з акцентом на мобільні додатки (70%) та веб-проекти (30%). Працював як самостійно, так і в команді з іншими фахівцями.

Основні обов'язки:

- Розробка юзерфлоу та Customer Journey Maps
- Аналіз аналітики та конкурентів
- Прототипування
- Проведення UX тестів, коридорок та інтерв'ю з користувачами
- Live прототипування
- Розробка дизайн системи та компонентів
- UI дизайн та анімація

Технічні навички:

- Figma, Adobe Photoshop, Illustrator, After Effects, Premiere, Protopie, Midjourney, Leonardo, Google Analytics, Hotjar
- CSS, HTML
- Lottie, SVG Animations

Мотивований приєднатися до команди з цікавим та складним проектом."
163,"- 6 років досвіду управління командою в digital agency SMELO
- Спеціалізація в SMM design, Web design та Identity
- Активний дизайнер з великим портфоліо робіт"
164,"[Ваше ім'я]

Контактна інформація:
[Ваш телефон]
[Ваш email]

Освіта:
- Курси з роботи з Figma, UX/UI дизайну, основ дизайну та Illustrator від Creativepractice
- Повний курс фотографії в фотошколі TimeStudia

Досвід роботи:
- 7 років досвіду роботи як фотограф-ретушер

Навички:
- Знання принципів композиції, перспективи, колористики та балансу
- Досвідчений користувач програм: 
  - Adobe Photoshop
  - Figma
  - Adobe Lightroom
  - Adobe Illustrator
  - Adobe Premier Pro

Цілі:
- Бажання розвиватись у UI/UX дизайні"
165,"[Ім'я Прізвище]

Контактна інформація:
[Телефон]
[Електронна пошта]
[LinkedIn або інший професійний профіль]

Мета:
Шукаю цікаві задачі та проекти для професійного росту та стабільної зарплати.

Освіта:
- Курси ""Web design"" та ""UX design"", Projector

Навички:
- Adobe Photoshop
- Adobe Illustrator
- Adobe After Effects
- Sketch
- Axure
- Прототипування
- Дизайн користувацького інтерфейсу (UI)
- Дизайн користувацького досвіду (UX)
- Figma
- Principle
- Invision

Досвід:
- Практичний досвід у створенні прототипів та дизайну користувацьких інтерфейсів
- Робота з інструментами для дизайну та анімації

Особисті якості:
- Орієнтованість на результат
- Креативність
- Вміння працювати в команді

Додаткова інформація:
- Відкрита до нових викликів та можливостей для професійного розвитку."
166,"Web and Mobile Designer specializing in UX and Motion Design. Skilled in Adobe Photoshop, Adobe Illustrator, inVision, Zeplin, Adobe XD, and Adobe After Effects. Proven experience collaborating on engaging projects with talented teams."
167,"Молодший веб-дизайнер з емоційним інтелектом та емпатією, здатний до ефективного самоменеджменту під час самостійних проектів та спільної роботи. Досвід у створенні лендінгів, мобільних додатків, wireframe, прототипуванні та адаптації дизайну під будь-який тип екрану. Підтягнула знання англійської мови до рівня, необхідного для бажаної роботи за три місяці. Навчаюсь в Mate Academy.

Досвід роботи:

Amazon
Графічний дизайнер
Травень 2022 - дотепер
- Створення наклейок та деколів для сайту Amazon
- Розробка векторних зображень відповідно до заданого стилю
- Пошук референсів
- Робота з типографікою
- Додрукарська підготовка"
168,"CGS-team - 2 роки  
Розробка веб- та мобільного адаптивного дизайну, мобільних додатків, презентацій, дизайну для соціальних мереж та корпоративних стилів внутрішніх документів. Створення дизайну для міжнародного ринку: блокчейн, криптовалюта, розваги, медицина, охорона здоров'я, освіта.

Leng Meng - 6 місяців  
Розробка дизайну для веб- та мобільних додатків, логотипів, банерів та дизайну для соціальних мереж. Головний акцент на український ринок у 90% випадків. Спеціалізація на електронній комерції, установах уряду та проектах з перепроектування."
169,"CYBERION  
Графічний цифровий дизайнер  
Відповідав за візуальний/веб/графічний дизайн для трьох проектів:  
- CYBERION (мережа клубів кіберспорту)  
- TRAFFIC (мережа клубів кіберспорту)  
- Sushi Take Out (харчування)  
Співпрацював з Українською Федерацією кіберспорту (UESF) у проекті ""eChampions"" як дизайнер  

Eqvola LLP  
Графічний дизайнер/Веб-дизайнер  
- Створював банери, пости для соціальних мереж, креативи для таргетованої реклами, реклама Google  
- Розробляв дизайни для мерчу, футболок, кепок тощо  
- Працював з рухомим дизайном  
- Розробляв візуальний стиль для сторінок соціальних мереж для двох проектів  
- Керував та співпрацював з іншими дизайнерами над проектом  
- Створював анімаційні шаблони для соціальних мереж  
- Використовував 3D елементи, деякі створював сам  
- Створював лендінги  

SoftProject (SooprIT)  
UI дизайнер  
- Створював дві функціональні інформаційні панелі та B2B мобільний додаток для платформи iOS  

Фріланс  
Графічний дизайнер  
- Створював знаки, наклейки та банери для соціальних мереж, плакати для концертів, креативи для таргетованої реклами."
170,"[Ваше ім'я]

[Контактна інформація]

Мета:
Прагну розвиватися в галузі дизайну, працюючи в сучасній компанії, де зможу створювати цікавий та якісний продукт. Мене надихає можливість допомагати людям з усього світу втілювати їхні ідеї в життя та знайомитися з багатьма чудовими людьми.

Досвід роботи:
[Ваш досвід роботи, якщо є]

Освіта:
[Ваша освіта, якщо є]

Навички:
- Креативність та інноваційність у дизайні
- Вміння працювати в команді
- Здатність до швидкого навчання та адаптації

Додаткова інформація:
- Захоплення дизайном та сучасними тенденціями
- Бажання постійно вдосконалювати свої навички та знання

[Дата]"
171,"Академія:
На курсі ""проектний практикум"" отримав найвищий бал за створення прототипу платформи для перегляду відео на YouTube та розробку теоретичного матеріалу про UI/UX дизайн.

Freelancer:
Використовуючи навички в Adobe Photoshop і Blender 3D, створив логотипи, прев'ю, початкові/кінцеві екрани та живий дизайн для стрімерів."
172,"G.Bar
- Виконання дипломного проекту на курсах від КАМА, що включав виявлення проблем користувачів через дослідження та інтерв'ю.
- Розробка інтуїтивного флоу для додатка та проведення юзер-тестів.

Osteria
- Створення сайту для малого інтернет-магазину з конструктором для збору букетів.
- Підбір кольорової гами та шрифтів, що відповідали бренду магазину."
173,"Certified in web design courses  
Proficient in Figma and Photoshop  
Dedicated to enhancing skills in web design  
Values experience and personal growth  
Open to working for a lower salary to gain learning opportunities  
Eager to receive feedback"
174,"Графічний дизайнер та UI/UX дизайнер з досвідом у створенні айдентики, креативів для соцмереж, іконок, веб-дизайну, ілюстрацій та UI/UX дизайну. Випускниця курсу в Lemon.School, володію Adobe Illustrator, Photoshop, Figma. Вмію ефективно розподіляти час та виконувати завдання вчасно. Захоплююсь творчістю та завжди працюю з натхненням."
175,"Женя  
Графічний та UI/UX Дизайнер  

Досвід роботи:  
З 2018 року працюю в різних компаніях, від регіональних до європейських, зосереджуючись на печатних та веб-продуктах. Наразі працюю в галузі UI/UX на фрилансі.  

Навички:  
- Знання основних принципів дизайну та юзабіліті  
- Візуалізація дизайн-концепцій, створення wireframes та прототипів  
- Аналіз користувацької поведінки та використання даних для поліпшення дизайну  
- Робота в корпоративному стилі  
- Робота з компонентами та автоматичними макетами, використання плагінів  
- Постійний моніторинг тенденцій у дизайні та вивчення нового для оптимізації роботи  
- Досконале володіння: Figma, Adobe Photoshop, Adobe Illustrator  
- Базові знання: Adobe After Effects, Adobe Premier Pro  

З радістю поділюся своїм досвідом та навичками з вашою компанією."
176,"HEX and HSB color models  
Gradient colors HSB  
Icon library, components  
UI kit - simple Inputs  
Inputs with icons  
Custom Inputs  
Labels, Textarea and Variants  
Indentation system and AL  
Simple buttons  
Composite buttons  
Selectors  
Dropdowns  
Dropdown Calendar  
Radio Buttons, Checkboxes, Toggles  
Labels & Social Icons  
Tabs & Choice Chips  
Tooltips  
Notifications  
Sliders  
Pagination & Carousel  
Breadcrumbs, Progress Bars & Indicators  
Tables with components  
Tables with tall rows  
Graph Bars  
Graphs  
Pie Charts  
Dark Mode  
Dropdown adaptation  
Table adaptation  
Widget adaptation  
PopUps: Moodboard & User Flow  
PopUps: UI & micro UX  
Audio player: composition, moodboard  
Audio player: UI&UX process  
Video player  
Products Cards, Spacers, AL  
Authorization: description in Notion and User Flow  
Authorization: basics of atomic design  
Authorization: creating form organisms  
Authorization: creating templates, pages and UI design  
Dashboard: layouts and independent work  
Form: basics of interactive macro-UX prototyping  
Form: interactive components, micro-UX  
Mastering Smart Animate, easing  
UX testing and analytics  
Tokenization, mastering Figma Tokens  
Creating libraries, design system documentation, projects in Figma  
Brand, theme + task description  
Research, exploration, moodboard and User Flow  
Design concept  
UI + UX design of the program  
Testing and refining design  
Description of the program's design system  
I aim to continue developing and expanding my skills, growing alongside colleagues in a friendly company."
177,"Досвід:

- Дизайн веб-сайтів
- Дизайн мобільних додатків
- Створення інтерактивних прототипів
- Розробка адаптивного дизайну
- Створення каркасів сайтів (wireframes)
- Створення карт додатків
- Аналіз сценаріїв користувачів
- Аналіз конкурентів на ринку

Мета:

Прагну здобути новий досвід та готова до нових викликів. Сподіваюсь на плідну співпрацю."
178,"Vika

Web Designer

Summary:
Passionate web designer with a focus on creating engaging and user-friendly designs. Completed a web design course at Shendrikov Education and currently employed as a UX designer at Fozzy Group, specializing in design for Silpo.

Experience:
- UX Designer at Fozzy Group (Silpo)

Education:
- Web Design Course, Shendrikov Education

Soft Skills:
- Communication
- Teamwork
- Punctuality
- Creativity
- Balance

Hard Skills:
- Prototyping
- E-commerce structure
- Typography and color theory
- Landing page design
- Mobile design
- Adaptive responsive design
- Proficiency in Photoshop, Illustrator, After Effects
- Advanced skills in Figma
- Presentation design
- Social media creative design

Motivated to continue learning and achieving outstanding results."
179,"Kate

Graphic Designer | UI/UX Designer

---

**Education:**

- Bachelor’s Degree in Graphic Design
- Graduated from Art School, College, and University

---

**Skills:**

- Proficient in Figma, Adobe Illustrator, Adobe Photoshop, InDesign, After Effects
- Strong time management and planning abilities

---

**Experience:**

- Developed designs for business cards, booklets, posters, corporate identity, and catalogs at a printing house
- Created illustrations for clothing in the knitwear industry
- Participated in various design competitions

---

**Objective:**

Eager to collaborate on exciting projects and expand my knowledge and skills in the field of graphic design."
180,"Курс ""веб-розробка"" Академії ШАГ, Одеса.

Досвід у створенні та підтримці різних типів веб-сайтів, включаючи корпоративні сайти, сайти електронної комерції та посадочні сторінки. Розробка інтерактивних прототипів та логіки сайту, створення графічного контенту для соціальних мереж та сайтів. Досвід у розробці дизайну поліграфічних продуктів та створенні елементів корпоративного стилю.

Володіння принципами фронтенд-розробки, високі знання HTML5 та CSS3, вміння створювати CSS-анімації, адаптивну верстку, використання CSS-фреймворків (Bootstrap, Foundation) та робота з сітками.

Понад 5 років досвіду роботи з CMS Wordpress, створення унікальних дизайнів та власних шаблонів.

ДОСВІД РОБОТИ:
NetBee 2016-2017 (WEB-DEVELOPER)
- Розробка веб-сайтів на CMS Wordpress.
- Адаптивна та кросбраузерна верстка HTML/CSS.
- Створення та дизайн інтерфейсів сайтів.

VP Production 2017-2019 (WEB-DESIGNER)
- Створення та підтримка дизайну різних типів сайтів, розробка клікабельних прототипів та логіки сайту, робота над презентаціями проектів.
- Розробка корпоративного стилю, брендування, дизайн поліграфічних продуктів, створення елементів реклами.

Готовий наполегливо працювати, вдосконалювати власні навички та створювати унікальні дизайнерські рішення."
181,"ICan App - мобільний застосунок для благодійності  
Мобільний додаток, дизайн повного циклу  
ICan - мобільний додаток для благодійного проекту. Метою було створити простий у використанні додаток для благодійного проекту. Проект був розроблений і запущений в 3 етапи: загальний користувацький інтерфейс, платіжний інтерфейс та інтерфейс адміністратора. Також була створена зручна навігація.

Open Doors - веб-сервіс наукової сторінки Юлії Турченко  
Посадкова сторінка, дизайн повного циклу  
Цей веб-сервіс був створений для забезпечення персональних наукових публікацій у світовій науковій спільноті.

Веб-сервіс для громадської організації  
Веб-сайт, дизайн повного циклу  
Сайт неурядової організації, яка об'єднує зусилля для підтримки безлічі проектів по всьому світу. Платформа надає можливість людям, які змінюють світ і створюють зміни, реалізувати своє унікальне призначення.

Веб-сервіс для платформи Crownfinding  
Веб-сайт, дизайн повного циклу  
Краудфандингова платформа для вирішення соціальних проблем. Платформа об'єднує соціальні проекти на одній сторінці, дозволяючи створювати або підтримувати проекти. Доступний пошук за фільтрами."
182,"I developed landing pages and full-fledged website pages, including a site for a company engaged in landscape design. After discussing the project brief, the task was to create a simple and stylish site without unnecessary details to attract potential customers. The site is bilingual, targeting both American and European markets. I use Figma, Illustrator, and Photoshop for site creation. In Figma, I design the site and create videos to demonstrate site functionality, ensuring user-friendly UX. I create mockups in Photoshop to present the final version to the client. The project also included a mobile adaptation for user convenience. The site was presented to the client in two versions with different styles.

I frequently design banners for stores and street boards, resulting in a 25% increase in calls and a 3% increase in purchases. I used Figma and Photoshop and collaborated with printing services to ensure quality."
183,"[Ваше ім'я]

Контактна інформація:
[Ваш телефон]
[Ваш email]
[Ваш LinkedIn профіль або інший професійний сайт]

Освіта та сертифікати:

1. Work with Figma, Creative Practice Certificate
   - Навички: Типографіка, робота з фігурами, робота з компонентами, AutoLayouts, робота зі стилями, прототипування (базовий рівень).

2. Web - designer 3.0, Genius Space
   - Навички: Основи UX - UI дизайну, етапи створення дизайну, Tilda.

3. Безперервне вивчення англійської мови
   - Курс англійської мови, рівень A2, Lingva Skills (Сертифікат)
   - Англійська для STEM, Prometheus (Сертифікат)
   - Індивідуальний курс англійської мови з репетитором, рівень B1 (в процесі)

Досвід роботи:

- Попередній досвід роботи був пов'язаний з продажами, що значно допомогло розвинути навички комунікації, роботи в команді та знаходження підходів до різних людей. Легко адаптуюсь і ефективно працюю як в офісі, так і віддалено.

Навички:

- Комунікація
- Робота в команді
- Адаптивність
- Дизайн UX/UI
- Прототипування
- Англійська мова (рівень A2-B1)"
184,"- Досвід роботи з CRM системами та дизайном додатків
- Створення дизайн-систем на основі принципів атомарного дизайну
- Прототипування, дизайн та переробка веб-сайтів, електронних комерційних сайтів, лендінгів
- Робота з модульною сіткою та атомарним дизайном
- Ведення документації та створення інтерактивних прототипів
- Робота з графічними програмами: Figma, Sketch, Adobe Photoshop, Adobe Illustrator
- Досвід роботи з InVision та Jira
- Прагнення працювати у продукті, з нативними мобільними додатками та у дизайн-студії
- Відмова від співпраці з російськими компаніями"
185,"Досвідчений керівник команди дизайнерів, відповідальний за уточнення вимог, розподіл навантаження, контроль виконання та презентацію робіт замовнику. Володію навичками interaction design, wireframing, prototyping та visual design. Працюю в дружній команді дизайнерів, де менеджмент підтримує ефективність без зайвої бюрократії. Маю досвід роботи над проектами з декількома дизайнерами, що дозволяє ефективну командну роботу, а також досвід прямого спілкування з замовниками."
