,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo
98281,"While studying UI/UX design, I worked on projects including adaptive site redesign, web service design for a cleaning company, mobile app for restaurant table booking, and various web design tasks. I have 8 years of experience in graphic design, with the past 3 years as Chief Designer, responsible for organizing and preparing creative projects, developing designs in line with corporate style, and managing department employees. Projects include website redesign, interface design for a popcorn machine, landing design for KinoboardPRO, and city café design. I aspire to grow as a UI/UX designer, passionate about creating user-friendly digital products with modern interfaces. I am result-oriented, a team player, and ready to contribute my experience to help your company succeed. Contact me for UI/UX design opportunities."
98282,"Junior UI-UX Designer

About me

Motivated junior UI-UX designer with a background in HR and a strong passion for design and innovation. Experienced in creating visually appealing and user-friendly websites and apps. Continuously improving skills and eager to work for a great company with interesting people.

Project experience:

1. Eventize - Mobile Application (2023)
Developed a mobile application that allows users to find and book venues or events, as well as plan their own special occasions. Created a comprehensive platform for creating and managing events, with the ability to select necessary items by category and plan important tasks.

2. Guesture - Web Application (2022)
Designed a web service that helps individuals change their environment and work or rest in a new place. Similar to couch-surfing, but with the requirement for guests to pay or perform tasks indicated by the host. Targeted towards students and young people seeking to explore the world on a budget.

Seeking a full-time or part-time position in an innovative and growing company. Fast learner, responsible, and ready for challenging tasks."
98283,"Team Leader and Junior UX/UI Designer

Experience:
- Team leader for the pet project ""Shine,"" a web service for cleaning companies. Responsible for organizational aspects, project participation, and team motivation and support.
- Led the development of the landing page ""FlowerLover,"" a flower delivery pet project. Conducted competitor and target audience analysis, created moodboards, wireframes, prototypes, UI kits, and animations. Developed adaptations for tablet and mobile. Published a case study on Behance.
- Redesigned the website for ""A Kids Place Childcare,"" a modern kindergarten. Analyzed the existing site, target audience, and competitors. Created moodboards, wireframes, prototypes, UI kits, and animations. Published a case study on Behance.

Skills:
- Strong attention to detail and focus on user experience.
- Proficient in UI/UX design principles.
- Experience in project management and team leadership.
- Ability to analyze competitors and target audience.
- Skilled in creating moodboards, wireframes, prototypes, and UI kits.
- Knowledge of website adaptations for different devices.
- Experience in creating case studies on Behance.

Goal:
- Aspiring to become a professional UX/UI Designer and start my own brand.

Note: Not interested in working with clients who do not value my work and time."
98284,"EXPERIENCE:
Web Design Intern, XYZ Company, Oct 2018 – Dec 2018
- Assisted in creating site structure, interaction flows, page wireframes, and interface requirements
- Contributed to the visual styles for sites and applications including layout, color, typography, and iconography
- Utilized Adobe Photoshop, Adobe Illustrator, Adobe Experience Design, Axure, and InVision in daily tasks

EDUCATION:
Web Design (UX/UI) Courses, UX Energy IT School, Jun 2018 – Sep 2018
- Completed courses in web design focusing on UX/UI design principles and tools

SKILLS:
- Proficient in Adobe Photoshop, Adobe Illustrator, Adobe Experience Design, Axure, and InVision
- Knowledgeable in creating site structure, interaction flows, page wireframes, and interface requirements
- Experienced in visual styles for sites and applications including layout, color, typography, and iconography

OBJECTIVE:
Seeking a Junior UI/UX Designer position to apply my skills and knowledge in web design."
98285,"Dima
Kyiv

Junior UI/UX Designer

Skills:
- Proficient in creating wireframes and prototypes in Figma
- Experience in designing landing sites and multi-page projects
- Detail-oriented and focused on meeting deadlines
- Committed to self-improvement and continuous learning

Education:
Projector — Creative & Tech Online Institute
Web Design Beginning
2022-2022

Projector — Creative & Tech Online Institute
Web Design Junior
2022-2023"
98286,"A highly motivated and creative designer with a passion for delivering excellent user experience and beautiful UI. Having a strong understanding in design process, as well as background in marketing, I am eager to contribute my expertise as a UI/UX or graphic designer.

On my current role as a sole Marketing Manager/Designer I am successfully covering the following task:
- Designing various marketing materials such as brochures, leaflets, stands in Figma, Adobe Photoshop and Adobe Illustrator
- Creating images for the website, social media posts and campaigns
- Planning and creating email newsletters
- Editing videos for social media
- Writing content for the website, marketing materials, various campaigns, email newsletters, etc."
98287,"UI/UX Designer

Understanding of the interface design process and experience with them;
Ability to create prototypes for different types of products;
Ability to analyze conditions, test prototypes, and use data to improve design;
Understanding of user needs and knowledge of examples of good design;
Experience in creating simple and clear web browser layouts;
Experience in designing interactive UX applications;
Ability to work in a team and knowledge of the principles of collaboration.

alkima web & design
UI/UX Designer
March 2023 - to date

Conduct user experience research, create sitemaps, develop wireframes and user interfaces. Experience with the Webflow builder. Create banners for websites and creatives for social networks. Develop logos and design systems.

Vinnytsia Distribution Company
Sales Manager
Jan 2019 - Feb 2022

Looking forward to working in a team and creating projects that help people make better use of technology. Develop interfaces for websites, mobile apps, and software."
98288,"Work Experience:
- Freelance projects in gaming and cryptocurrency industries
- Interacted with project managers and web developers
- Responsible for project development and layout-related details"
98289,"Experience:
- Designed a landing page for a Law Firm in Figma, including briefing the client, researching and analyzing the law field, creating mood boards, choosing fonts and colors, working with brand identity, wireframing, creating different design concepts, and final design. Also completed adaptive design for various devices.
- Created a website for a pastry shop with delivery in Figma, focusing on learning auto layouts and applying design basics."
98290,"Skills:
- Proficient in Adobe Photoshop, Illustrator, and Figma
- Quick learner and easily adaptable to new challenges"
98291,"- 2 own Pet-projects
- Successfully created and executed test cases to ensure software quality and functionality
- Generated comprehensive and accurate bug reports to help developers identify and resolve issues quickly
- Effectively utilized SQL to databases and verify data accuracy
- Motivated UI/UX designer with basic requirements for the profession
- Redesigned website “A Kids Place Childcare” in North Olmsted, Ohio
- Created a good-structured, modern, and user-friendly design
- Utilized User Research, Competitive Analysis, WireFrame, Prototype, and Conclusions in design process
- Used Figma and Adobe Illustrator for design tools
- Developed web service “Medical Clinic” for a private medical clinic
- Implemented features to organize and document meetings between doctors and patients, provide online consultations, and reduce documentation time for doctors
- Created visual solution with necessary interface elements for successful use of the system
- Responsible for baseline study, brainstorming, Jobs-to-be-done, User Flow, CJM, prototyping, UI, and adaptation
- Used Figma, Adobe Illustrator, and Slack for project tools
- Seeking a flexible work schedule or full-time position in a company focused on making everyday tasks and business processes more productive and user-friendly
- Fast learner, responsible, and ready for challenging tasks"
98292,"Graduated from mentoring on UX/UI Design, creating landing pages, sign up/log in forms, etc. Worked in design studio in Kyiv on mobile app project ""DayDrive"". Spoken English at an Advanced level. Skilled in solving UX problems, improving user experiences, conducting research, building wireframes, and creating interactive prototypes. Strives to balance usability and aesthetics, business solutions and user empathy. Seeking opportunity to enhance career and implement skills and knowledge."
98293,"Education:
- Completed UI/UX Design Advanced level course with a first-class degree diploma from IT School Hillel, where I placed 2nd in student rankings
- Continuously pursuing design-related online courses on various platforms

Experience:
Apr 2020 - Present: Freelance UI/UX Designer on Upwork (Top Rated)
- Redesigned CRM system
- Developed components library for site-builder service
- Designed mobile applications
- Created CRM designs

Sep 2019 - Mar 2020: Studied UX design, typography, grid compositions, animations, color systems, and responsive design during academic program
- Applied knowledge to diploma project: CRM System for a sports complex

July - August 2019: Developed a landing page for educational courses while working in a non-web design field
- Collaborated with developers on testing and designing CRM and web design projects
- Transitioned career focus to become a UI/UX Designer

Objective:
Seeking a position in a company with a warm and friendly team, where I can continue to grow as a designer and contribute to challenging and interesting projects."
98294,"Ui/Ux
APR - MAY 2023
App Project
App Food Delivery
UX part including Persons, CJM, Empathy Map, Competitor analysis, Site Map, User Flow
UI part including Wireframing, Concept, Visual design
JUNY 2023
Landing Page
Landing page for brewery craft beer
UX part including analyse competitors, information architecture, moodboard
UI part including wireframing, visual design, animation."
98295,"Study projects:
- Vinyl Shop web site: desktop/mobile version;
- Sign language study app: UX research, Human Interface/Material design, landing page;
- Car trip planning app: UX research, Design system, Human Interface design, Landing page;

Artists express themselves. Designers solve problems.

I am an aspiring UX/UI designer with skills in design and essential tools including:
- Vector and raster graphics in Adobe Illustrator and Adobe Photoshop;
- Target audience research. UX research: User Flow, User Story, CJM, User Scenario;
- Low- and high-fidelity prototyping, interactive prototyping in Figma;
- Logo creating;
- Color theory;
- Typography;
- Composition;
- Material Design & Human Interface Guideline;
- Design systems & UI-kit;
- Styles, components, variants, autolayout in Figma;
- Adaptive design;
- Basic knowledge of HTML and CSS
- Tilda.

Currently seeking a new job opportunity in the web design field. Contact me if you have a fitting opportunity."
98296,"Experience:
- Designer at a charitable foundation
- Responsible for creating landing pages, banners, and logos

Skills:
- Proficient in creating landing pages, mobile apps, hf/lf prototypes, adaptive/responsive design
- Experienced in conducting UX research

Goals:
- Seeking new experiences and knowledge to further develop in design"
98297,"Designer with experience in individual and teamwork on landing pages, website redesign, web services, and mobile application projects. Developed 3 projects, including a team project focusing on researching and implementing a patient-side user flow. Solid knowledge base acquired through IT courses, proficient in professional design tools. Strong communication skills, ability to work in a team, open to feedback, and committed to meeting deadlines. Seeking opportunities for professional growth and development. 

PROJECT EXPERIENCE

1. Landing page “Barbershop in Kyiv”
- One-page site designed to attract customers and promote services. Includes information on services, professional masters, customer reviews, and competitive advantages.

2. Web service for a medical clinic
- Collaborated on creating a patient page with features for online appointments, doctor meetings, and viewing medical and payment history.

3. Redesign for Design “KIDS PLACE”
- Redesigned website to attract more visitors with a modern and user-friendly design. Developed an adaptive version for improved accessibility and expanded target audience reach. 

Seeking full-time and part-time designer positions at a company focused on creating user-friendly and productive products. Quick learner, purposeful, responsible, and capable of handling complex tasks."
98298,"Experience:

- Developed a logo and corporate style for a young Ukrainian brand of modern women's clothing, Ina&Mi, using Adobe Illustrator, Adobe Photoshop, and Adobe InDesign.
- Utilized Figma and Adobe Photoshop for market analysis, competitor analysis, personas, wireframes, sitemap, and UI/UX design for various pet projects including Landing Page, website redesign, and housing reservation service.
- Worked in a development team on a free web service for booking accommodation, gaining experience in studying competitors, developing strategies, and collaborating on project aspects.
- Completed graphic design courses, creating a logo and identity for InaMi brand, and proficient in Adobe Illustrator, Photoshop, and After Effects.

Skills:

- Strong communication and collaboration skills developed through team projects.
- Leadership, flexibility, creativity, organization, and interpersonal skills.
- Proficient in Adobe Creative Suite (Illustrator, Photoshop, InDesign, After Effects).
- Experience in market analysis, competitor analysis, personas, wireframes, sitemap, and UI/UX design.
- Ability to work in a team environment to achieve set goals and tasks.
- Creative problem-solving skills and ability to offer new ideas and solutions.
- Enthusiastic learner with a desire for professional growth and development."
98299,"Project Crypto Wallet:
- Developed a secure and user-friendly platform for managing cryptocurrencies.
- Conducted user research and implemented user-centered design principles.

Redesign Cucina di Catherina:
- Successfully created a fresh, modern look that aligned with the brand's vision and values.
- Improved the website's user experience by making it more intuitive and engaging.
- Increased website traffic and engagement metrics by X% after the redesign.

Skills:
- Adobe Suite.
- Creating web interfaces, mobile design, and landing pages in Figma.
- Experience in the redesign.
- Developing user personas, user scenarios, and sitemaps.
- UX research and analysis of competitors.
- Using Google Material Design Guidelines.
- Work with photos in Photoshop.
- Design of icons, logos, and illustrations in Illustrator.
- Wireframing and Prototyping.
- Visual Interface.
- Site map and user flow.
- Adaptation."
98300,"In previous worked on various jobs, have good communication skills.
Currently I’ve just finished UI/UX design courses, have several personal projects.
Passionate UX/UI designer dedicated to creating simple and enjoyable user experiences. Committed to continuous skill improvement to contribute to company success."
98301,"Junior UI/UX Designer with diverse design skills and knowledge of design tools and software. Education and training from Design IT Step Academy in graphic design, 3D modeling, animation, and UI/UX design. Proficient in Figma, Photoshop, Illustrator, After Effects, Maya, and Premiere Pro. Strong understanding of design principles and techniques including prototyping, design research, SWOT analysis, typography principles, image making, and illustrating. Skilled in creating visually appealing and user-friendly designs."
98302,"Experience:
- Team Leader, Paw Rescue Project
- Organized team's work and designed prototypes' visual aspects

Skills:
- Junior UI/UX Designer
- Passionate about designing aesthetically pleasing and effective web and mobile applications
- Driven by turning ideas into reality and creating interfaces that solve problems
- Keen eye for detail and full cycle design approach
- Analyzing tasks, creating prototypes, designing visual styles, and implementing them into usable end products

Projects:
- Redesigned Italian sauce website to attract customers and improve user-friendliness
- Created landing page for Flower Lover, analyzing target audience and building interface from scratch
- Collaborated on team project for Paw Rescue, designing website for finding lost and found animals with competitor analysis and clear user flow

Objective:
- Seeking remote office position in a company with mutual respect, friendly atmosphere, corporate training and development, and opportunities for career growth."
98303,"Skilled in using tools like Adobe Photoshop, Figma or similar software for creating user interfaces and visual designs. Skilled in creating wireframes and interactive prototypes to visualize design concepts. Able to design interfaces that adapt well to various screen sizes and devices. Understanding of design systems and their components. Proficient in creating user flows and journey maps to illustrate the path users take through an application or website. Able to use graphic editing tools like Photoshop or Illustrator to create and modify visual assets. Organized in managing design tasks, meeting deadlines, and collaborating effectively with team members.

As a Junior UI/UX Designer, I collaborated with teams to design user interfaces for web services and mobile apps. I created layouts that were responsive and user-friendly for different devices. For mobile apps, I focused on touch interactions and clear organization. I adapted to project requirements and improved my skills using programs like Figma, Adobe Photoshop, and Protopie.

Projects:
1. Redesigned the ""Custom Concepts"" tattoo studio website to enhance user experience by updating the color palette, adding high-quality photos, simplifying the booking form, and improving visual hierarchy.
2. Developed ""PetRescue,"" a web-service for searching lost animals, to reunite lost pets with their owners by providing a platform for reporting and searching missing pets. Utilized tools such as Figma, Adobe Photoshop, FigJam, and Adobe Illustrator.

Languages:
- Native Ukrainian speaker, fluent in Russian
- Upper-intermediate level in English
- Elementary level in Polish

Passionate about continuous learning and growth in UI/UX design. Committed to creating visually appealing and user-friendly designs that cater to diverse audiences. Open to new projects and eager to enhance skills in the field. Dedicated to incorporating feedback to improve design outcomes."
98304,"Experience:

Team Lead - Buki School Project
- Organized team work and presented project to customer

Junior UI/UX Designer
- Specialize in creating digital experiences with optimal user experience
- Worked on landing pages, redesigns, web services, and mobile applications
- Conducted in-depth interviews, questionnaires, personas, and empathy maps

Projects:
Redesign for Buki School (Team Project)
- Conducted full-fledged UX research including competitive analysis, heuristics analysis, in-depth interviews, personas, surveys
- Created clickable cabinet prototype and presented project to customer

DocMe Web Service (Team Project)
- Created web service with unique function of automatic report generation and separate cabinets for doctor and patient
- Utilized competitor and target audience analysis, personas method, JBTD, CJM
- Involved in UX research, creating main site, and making changes in patient's and doctor's cabinets

Skills:
- Team leadership
- UX research
- Prototyping
- Presentation skills
- Competitor analysis
- Target audience analysis
- JBTD
- CJM"
98305,"Experience:

- Team Leader on ""Web-service for finding lost pets"" project
- Worked with student developers on a start-up project for creating a web service for accountants
- Junior UI/UX designer with completion of special course and 6 study cases

Projects:

- Mobile app design for a chain of coffee shops
- Web-service for finding lost pets
- Travel agency website redesign

Skills:

- Team leadership
- User interface and experience design
- Competitor analysis
- Target audience analysis
- Persona creation
- JTBD
- User flow development
- Wireframes
- Design creation
- Animation
- Adaptation and animation
- Quality photos

Objective:

Seeking a position in a team of specialists dedicated to developing and improving project quality. Eager to apply theoretical knowledge and advance career growth."
98306,"Experienced Junior UX/UI designer with a strong theoretical knowledge and practical implementation of UX principles. Skilled in setting stakeholder requirements, conducting research, working with personas in Miro, task analysis, creating high-fidelity wireframes and interactive prototypes in Figma, usability testing, and presentations. Projects include planner application, re-design of eCommerce website, landing page, CRM system, and corporate website. Seeking a position to further develop skills and contribute to company success."
98307,"Junior UX/UI Designer
- Freelance experience working on a variety of projects including:
1. E-commerce skincare website redesign:
- Conducted user research, including competitor analysis and user personas, to optimize usability and visual design
- Created intuitive prototypes and simplified user experience using knowledge of usability heuristics
2. Landing pages for educational courses and Agricultural companies:
- Implemented clear call-to-actions to enhance user engagement
- Emphasized benefits and outcomes of courses for quick understanding of value
- Utilized color schemes, typography, and images to reflect essence of topics
- Ensured all projects were fully responsive"
98308,"I am a Junior UX/UI Design Professional with a Digital Marketing Professional Certificate from the University of Miami and a Bachelor's degree in Hospitality and Tourism Management with a Minor in International Relations from Florida International University. My experience as a professional athlete in the Ukrainian National team and passion for digital marketing and UX/UI design have given me the skills and enthusiasm to make a significant contribution to any organization. I'm passionate about staying up-to-date with industry trends and technology and pushing the boundaries of what's possible.

As a Junior UX/UI Designer, I specialize in crafting intuitive user interfaces that aim to maximize user experience and improve results. My portfolio includes projects such as designing a web service for the private medical clinic VitalMed, redesigning a website for a tattoo salon, and Citroen C4 landing page. I have developed knowledge in Figma software, Adobe Illustrator and Adobe Photoshop to enhance my design capabilities. My work has been commended for its creativity and attention to detail, allowing me to consistently deliver projects that adhere to the highest standards of quality. My goal is to provide an unparalleled design experience that motivates people to take action.

As a junior UX/UI designer, I expect to learn and grow in a supportive environment. I am looking for opportunities to work on challenging projects where I will be able to develop my skills. I want to work on projects that involve problem solving, research, and creative thinking. My goal is to become a strong and knowledgeable designer who can create meaningful user experiences. At the same time, I do not want to be limited to a specific role or task. I want to be a part of the big picture, and I want to contribute to the success of the team. I want to be given the freedom to explore new ideas and try out different approaches to design. I believe that learning is an ongoing process and I want to be able to continue to develop my skills and knowledge."
98309,"Junior Web Designer at a company specializing in warehousing software. Responsible for designing web pages, graphics, and visual elements for the company website and marketing materials. Key responsibilities included:

- Designing company website from scratch
- Design control of finished pages
- Collaborating with developers and testers
- Creating wireframes, mockups, and prototypes
- Designing marketing materials for social networks and YouTube videos
- Utilized tools such as Figma, Adobe Illustrator, OBS Studio

Seeking opportunities to further develop professional skills in design through new projects."
98310,"As a mid product designer, I am responsible for the design of consumer products. The duties of my position include improving existing product designs and analyzing working concepts launched by competitors of similar products to match quality and performance. Depending on the industry and company, I may progress to a senior, executive or managerial role."
98311,"Successfully completed several freelance orders, offering non-standard solutions. Responsible approach to the implementation of tasks and attentive to details. Quick learner with a well-rounded skill set in Figma and honed talents in Prototyping and Adobe Photoshop. Recognized expert in communication and a communicative collaborator. Strong capabilities in motivation and decision-making, with a keen attention to detail and accuracy. Seeking a remote position with scalable hours to unlock full potential as a designer."
98312,"As an Auditor with a background in Economics, I have always been driven by a passion for creativity and graphic design. With my experience as a Graphic and Social Media post designer, along with my educational background and professional experience, I firmly believe that transitioning into the field of UX design will allow me to fully utilize my skills, embrace my creative side, and contribute significantly to your team.

Throughout my academic journey, I pursued Economics for both my Bachelor's and Master's degrees, as it provided me with a strong analytical foundation and a comprehensive understanding of business principles. However, I have always felt a magnetic pull toward the world of graphic design. Even during my academic pursuits, I immersed myself in various graphic design projects, dedicating my spare time to honing my skills and expanding my knowledge.

My passion for graphic design led me to work as a Graphic and Social Media post designer for an education center in my hometown, where I had the opportunity to work on a diverse range of projects. From creating engaging social media posts to designing eye-catching posters and printables, I handled the entire branding process for the organization. This experience allowed me to develop a keen eye for aesthetics, an understanding of user-centric design principles, and the ability to translate ideas into visually compelling designs.

What sets me apart is my unique blend of analytical thinking and creative problem-solving skills. As an Auditor, I have honed my analytical skills, attention to detail, and ability to work within strict deadlines. These qualities have instilled in me a strong sense of discipline, precision, and a meticulous approach to my work. Combined with my creative flair and design expertise, I believe I possess the ideal skill set required for the demanding field of UX design.

My decision to pursue a career in UX design stems from my desire to channel my passion for design into meaningful experiences that positively impact users. I am fascinated by the psychology behind user behavior and the intricate relationship between design and human interaction. I am driven to create intuitive, user-friendly interfaces that enhance usability and deliver exceptional experiences."
98313,"During my work experience, I have improved many skills including UX research, Design Systems creation, working with different guidelines, marketing materials creation, and mobile design (rules, patterns).

As a UI/UX designer, I have commercial experience with various projects and domains such as mobile applications (guide app, lottery app) and the redesign of our corporate website for web, mobile, and tablet adaptiveness.

My main tasks included designing analysis of old screens, creating design systems based on the Design Thinking process, developing materials for the marketing team, visual design for the company's social media on all platforms, and creating case studies and multiple Behance cases.

The projects' tech-stack included Angular Material, Kendo UI, Human Interface Guidelines, and learning Google Material Design.

Additionally, I was involved in user research, investigating competitors, brainstorming, building style guides, creating information architecture, creating prototypes, adaptive design, communicating with client teams and developers, and creating wireframes and mockups."
98314,"I successfully collaborated with cross-functional teams to create intuitive and visually appealing user interfaces for web and mobile applications. I demonstrated a keen eye for detail, strong problem-solving skills, and a passion for delivering exceptional user experiences.

Table Tab Mobile App Design
Jun 2023 - Aug 2023
- Conducted references research, updated wireframes, compared and selected design systems, and prototyped UI screens for a restaurant seat booking app
- Implemented a UI rewards option for booking to enhance user engagement and satisfaction

Host Radar Project Design
Apr. 2023 - Jun 2023
- Conducted market and competitors analysis for a web service connecting visitors with hosts for accommodation and work exchange
- Gathered references, prepared wireframes, animated prototypes, and finalized the project design

Mainsal Realty Company Redesign
Feb 2023 - Apr 2023
- Redesigned a real estate company website to be modern, user-friendly, and competitive in the US market
- Conducted research, compared competitors, and optimized the website for improved user experience

I am dedicated to crafting seamless and intuitive user experiences, continuously learning and striving for impactful design solutions. I am eager to collaborate with senior designers and stakeholders on innovative projects to exceed user expectations."
98315,"Education:
- Recent graduate of Plural Code Academy
- Designed a mobile app for a salon during completion of program

Experience:
- Intern at software agency
- Designed and completed website and mobile views for a cryptocurrency platform
- Designed website for a resort center

Skills:
- Experience in designing user interfaces and experiences for web and mobile applications using Figma
- Conducted user research, created wireframes and prototypes, and performed usability testing
- Quick learner, problem-solver, and team player
- Committed to delivering high-quality work and meeting deadlines"
98316,"Experience:

- Team leader during case studies project, successfully managing tasks and modifying designs to meet target audience needs
- Developed project management skills and ability to work collaboratively within a team
- Skilled marketing professional with over two years of experience in marketing
- Strong passion for design, delivering visually appealing design solutions that meet client needs and goals
- Keen understanding of user personas and pain points to deliver effective design solutions
- Developed strong project management and communication skills working with diverse clients across various industries

Projects:

- Travel service website project: Conducted UI/UX research, design, adaptation, and prototyping
- Collaborated with a team of two, gaining valuable experience in working with others and managing project timelines effectively
- Scan-and-Go mobile app project: Conducted extensive market analysis and design, simplifying the shopping process based on regular user patterns
- Utilized design tools such as Figma, Adobe Photoshop, and Protopie to complete projects and create functional prototypes

Skills:

- UI/UX design
- Project management
- Communication
- Marketing
- Design tools: Figma, Adobe Photoshop, Protopie

Objective:

- Transitioning from marketing to a career in design, eager to bring creativity and strategic thinking to new projects
- Excited to apply newly acquired skills in UI/UX design to create visually appealing solutions meeting end-user needs
- Seeking opportunities with teams valuing both business needs and creating user-friendly experiences for customers"
98317,"UI Designer with 3 years of experience in Figma, Photoshop, and Illustrator. Specializing in creating captivating and intuitive interfaces for web and mobile platforms. Dedicated to exceeding client expectations and creating designs that enchant users."
98318,"UI UX Designer

- Completed three full-cycle projects, including a team project
- Experienced in creating intuitive and visually appealing digital interfaces to enhance user experience
- Proficient in tools such as Figma, Adobe Photoshop, Adobe Illustrator, and Canva
- Cozy House Web Service: Team project involving competitive analysis, user personas, user flow, wireframes, visual design, and adaptation
- Cucina di Catherina Website Redesign: Full cycle design project focused on updating visual content, structuring information for easier navigation, and highlighting unique selling proposition
- Seeking full-time position, able to work collaboratively with a team and take feedback constructively
- Eager to learn from experienced designers and contribute unique perspective to projects"
98319,"I have 1 pet project, it is a booking table service application. It helps people to book table with no need to call and possibility to choose any available table from restaurant or cafe. 
I was team lead in the project of Travel Service. Now I am working on commercial Coaches service.

As a UI/UX Designer, I am passionate about creating visually appealing and user-friendly designs for web and mobile applications. My goal is to turn concepts into a reality, crafting designs that not only look great but also address the needs and simplify the daily goals of the target audience.

I developed a web travel service interface for ""change of environment"". This is a platform where hosts offer to provide tourists with an apartment in exchange for help with household chores instead of payment. The work consists of creating two user flows for hosts and tourists, wireframing, and adaptive versions.

I also made Redesign of Ukrainian school - this is a platform with all information about school with possibility to contact school. The work consists of creating wireframes, desktop version and adaptive versions for tablet and mobile.

Growth opportunities, interesting projects, skills development. As a UI/UX Designer I offer expertise, collaborative skills, and commitment to excellence."
98320,"I Designed a Mobile Banking Application, User Research for a Health App

- Experienced UI/UX Designer with a focus on creating intuitive and visually appealing user interfaces
- Proficient in design software such as Sketch, Figma, Adobe XD, and prototyping tools like InVision and Marvel
- Collaborate with stakeholders to understand user needs and translate them into compelling design solutions
- Conduct user research, analyze feedback, and perform usability testing to inform design decisions
- Create wireframes, user flows, and visual designs that align with user goals and business objectives
- Stay updated on UI/UX design trends, best practices, and accessibility guidelines
- Strive to enhance usability and accessibility of designs to cater to a diverse user base
- Goal is to create interfaces that provide a seamless and delightful user experience, helping users achieve their goals efficiently and effortlessly"
98321,"Experience:

UI/UX Designer
- Defined client’s problems, conducted competitive analysis, defined target audience, created customer journey maps, defined user flow, created wireframes, and developed mobile and tablet adaptations of desktop projects
- Conducted prototyping to address user pains and needs
- Created web service ""Travel Go"" to help organize affordable stays in other countries, including volunteering opportunities
- Developed mobile application ""ReserveNow"" for booking tables in restaurants, allowing users to view layouts, choose seats, and reserve tables
- Utilized tools such as Figma, Adobe Photoshop, FigJam, and Adobe Illustrator

Skills:
- Task analysis
- Interface prototyping
- Visual style establishment
- User-friendly design
- Collaboration for user-centered design concepts for web and mobile applications"
98322,"UI/UX Designer with 1.5 years of web design experience. Skilled in creating user-centered interfaces that are visually appealing, intuitive, and easy to use. Proficient in UI and UX design principles, wireframing, prototyping, and high-fidelity designs using Sketch, Adobe XD, Figma, and similar tools. Experienced in designing responsive and accessible websites and web applications. Collaborative team player with the ability to work with designers, developers, and stakeholders to deliver high-quality designs that meet project objectives and deadlines."
98323,"As a Junior UX/UI Designer in Ukraine, I successfully completed a UX/UI design course and applied my learnings to create and lead a design team. During this experience, I fostered an environment of collaboration, creativity, and motivation, where team members listened to each other's ideas, learned new skills, and worked together to create innovative products. This achievement demonstrated my ability to not only apply my design skills but also lead and inspire a team to achieve success.

As a UX/UI Designer (2022-2023), I successfully built and managed a design team where we focused on UX research, prototyping, design, knowledge sharing, and teamwork. During my time in this position, I was able to develop my leadership skills and ensure that the team consistently delivered high quality design projects.

As a UX/UI designer (07.02-30.03, 2023), I was responsible for the development of the entire interface for a medical clinic. I conducted extensive UX research, which allowed me to create a user-friendly and intuitive interface design that met the needs of both the business and its users. This project was a testament to my design skills and ability to work effectively in a team. You can see the project from the inside by following the link in my resume.

Freelance, both graphic and UX/UI designer (03/15/23) I was engaged in the development of websites, posts. I worked both one-on-one with the client and in a mini team."
98324,"Certificate for successfully completing an 8-month course and obtaining practical knowledge at UX/UI design, Web-design and mobile design

As a UX/UI Designer, I specialize in designing for web and mobile applications, with a focus on creating meaningful digital experiences that solve problems and simplify the lives of users. My design process involves analyzing tasks, prototyping interfaces, and creating visual styles that align with brand identities to provide users with seamless and intuitive experiences.

My past experience in motion design complements my role as a UX/UI designer, and I have worked on several projects including:

- ""Unreal"": Mobile application for booking tables in unique restaurants
- ""Wings of Hope"": Project for the restoration of social infrastructure facilities in Ukraine
- Redesign of the Slavsko ski resort website
- Landing page design for test driving the Audi Q3

I am seeking a position where I can collaborate with product managers, developers, and other designers to bring design ideas to life and create complete digital products."
98325,"As a web designer with no work experience, I have several personal projects. The last one was a website for museums, where my main goal was to create an attractive and informative interface for visitors. 

Using design tools, I created page layouts taking into account the persona's requirements and specifics of the museum environment. Special attention was paid to the placement of exhibits, navigation and visual perception. Taking into account the principles of UI and UX design, I created aesthetically appealing and functional interfaces. Using design tools and detailed requirements analysis, I created page layouts, positioned elements and provided easy navigation.

In the future, I want to develop as a UI/UX designer, gain experience working in a team and work with clients to learn their needs and offer better design solutions. I also plan to learn new technologies and tools to improve my design skills and incorporate them into my future projects. My goals are to create interfaces that provide an unforgettable user experience and help companies achieve their goals."
98326,"I have completed the Web Design Beginning and Web Design Junior modules at Projector Institute, and I am currently studying the UX Design module. During the Web Design Junior module, I worked on high-detailed prototypes for two real customers, which involved briefing the customer, gathering references, creating a mindmap, wireframing, designing UI, and creating a mobile adaptive version. I also completed an internship at Sahu Media, a German design bureau, where I focused on creating websites using WordPress and designing advertisement banners in Photoshop."
98327,"2022-2023 - Completed the Web Design Basic course at the IT school ""Hillel""
2023 to present - Studying Web Design, UI/UX Design, Mobile Design
Mastered skills in Figma, Photoshop, Illustrator
Developed landing pages, websites, website redesigns, web services, and adapted them for mobile applications
Conducted research on target audience and competitors
Attentive, responsible, constantly improving skills in the IT field"
