,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o
111,Досвід роботи з кількома міжнародними компаніями. Понад 10 років у графічному дизайні. Володіння повним циклом виробництва від ідеї до видачі замовнику. Організація виробничого процесу та координація роботи дизайнерів у субпідрядних організаціях. Шукаю можливість цікавої віддаленої роботи з можливістю спілкування англійською мовою для покращення навичок. Цікавить розвиток у напрямку Project Management.
112,"Участь у реалізації декількох проектів з ребрендингу та організації нових представництв в Україні. Понад 10 років досвіду на посаді Sales Manager, зосереджуюсь на роботі з клієнтами та організації роботи офісу. Маю намір розвиватися в ролі IT Project Manager, наразі поглиблено вивчаю цю сферу. Завершив курс Project Management 101 в Fedoruk.works."
113,"Досвідчений фахівець з текстами та візуальним контентом з понад 7-річним стажем. Понад 4 роки успішної роботи в SMM, як в агентствах, так і на стороні брендів. Активно шукаю можливості для професійного зростання в діджитал-сфері, зокрема в галузях діджитал-маркетингу, стратегії та проджект-менеджменту."
114,"Великий досвід в організації освітніх заходів. Успішне управління командою до 6 осіб. Побудова проєктних процесів, бюджетування. Маю додаткову освіту у сфері менеджменту ситуацій на психології. Близько 5 років досвіду в проектній роботі: освітня сфера, в тому числі IT, медіа, оптова торгівля, будівельна сфера, консалтинг/аудит, фармацевтика, FMCG. Експертиза в організації заходів у сфері психології, дитячих міських таборів, днів відкритих дверей та виставок на 1000+ учасників. Досвід роботи з B2B та B2C клієнтами. Організаційні навички проекту від стратегії до фінансової звітності та аналізу успішності проекту. Досвід роботи в програмах 1С, Bitrix24, CRM. Значний досвід комунікації клієнт/учасники/підрядники, наповнення сайтів, ведення соцмереж, email/Viber розсилок, робота зі ЗМІ, взаємодія з командою через Agile інструменти. Англійська на рівні Pre-Intermediate. Вища освіта та додаткова у сфері маркетингу. З березня 2022 займалася індивідуальними консультаціями у сфері маркетингу та проектною діяльністю."
115,"Слідкував за ризиками та досягненнями команди при створенні маркетплейсу marktrade.com.ua. Брав участь у проектах маркетингової компанії marksoft.com, де займався створенням інтернет-магазинів, порталів, маркетплейсів та їх просуванням. Виконував організаційну роль, а також частково роль бізнес-аналітика та маркетолога. Прагну розвиватися у ролі РМ, закінчив курс."
116,"Амбасадор проєкту ""Lead for Peace"" 2021  
Тім лідер команди в громадській організації AIESEC, відповідальна за освітній проєкт ""Lead for Peace"". Основні обов'язки: комунікація з амбасадорами та делегатами, лідерство та розвиток команди. Досягнення: 96% задоволених амбасадорів і делегатів, залучено 500+ дітей, 15 амбасадорів, 9 шкіл, проведено 18 уроків (офлайн та онлайн).

Тім лідер команди по роботі з українськими громадськими організаціями в проєкті з гуманітарної допомоги. Основні обов'язки: пошук та комунікація з потенційними партнерами, здійснення дзвінків, створення звітів. Досягнення: перевезено 1 тонну гуманітарної допомоги для ВПО, продовження роботи."
117,"Ведення понад 5 проектів у сфері веб-розробки  
Проведення зустрічей з командами  
Ефективна комунікація з клієнтами  
Розробка технічних завдань  
Вирішення організаційних питань у компанії  
Управління ризиками  
Складання документації  "
118,"Позиція: Project Manager

Досвід роботи:

- Оптимізація робочих процесів шляхом виявлення та усунення проблемних місць у проектах.
- Управління проектами: планування, організація команди, контроль за дотриманням дедлайнів.
- Взаємодія з клієнтами та проведення переговорів.
- Ведення документації: договори, додатки, технічні завдання, рахунки, акти, планувальна документація.
- Аналіз ризиків та помилок після завершення проектів.
- Проведення тестування.

Пріоритети в роботі:
1. Командна робота
2. Чіткі цілі та завдання
3. Підтримка з боку керівництва"
119,"[Ваше ім'я]

Контактна інформація:
[Ваш телефон]
[Ваш email]

Освіта:
- Курс ""Основи управління командами та проєктами в ІТ"" від Prometheus та LITS

Навички:
- Базові знання HTML, CSS, JavaScript
- Досвід ведення проектної документації
- Допомога в координації ресурсів, обладнання та інформації
- Володіння Microsoft Office, Google Docs, Trello, Asana

Досвід:
- Підтримка керівників проектів у координації ресурсів та інформації

Мета:
- Пошук нової професії та можливостей для розвитку знань, вмінь та навичок"
120,"StartUp ""SayHome"" - перемога в акселераторі. Проєкт призупинено через агресію країни-терориста.  
8 років досвіду в архітектурно-будівельній сфері.  
Розвиток компанії ADC-GROUP від мінімальних замовлень СС1 до співпраці з великими проєктами СС3.  
Створення компанії з нуля: від пошуку приміщення до залучення великих підрядних організацій."
121,"До своїх сильних сторін можу внести володіння іноземними мовами, уміння легко підтримувати ділові та професійні контакти, прагнення до професійного розвитку. Маю досвід ведення переговорів іноземними мовами та участі у проектах різного характеру. З 2016 по 2019 проживав в м. Відень, Австрія.

Досвід роботи:

вер 2020 - бер 2021  
Helpware Ukraine - Менеджер по роботі з німецькомовними клієнтами  
- Консультування клієнтів англійською та німецькою мовами
- Вирішення кризових ситуацій, що виникають у ході проекту
- Внесення пропозицій щодо вдосконалення проекту та тестування нововведень
- Ведення ділової переписки

07/2019 – 08/2019  
Культурний проект між Російською та Австрійською сторонами (Перекладач, юрисконсульт) – Відень, Австрія  
- Юридична допомога
- Переклад у ході переговорів з німецької та англійської мов на російську та навпаки

02/2019 – 06/2019  
Промислово фінансовий консорціум «ІМС» – Київ, Україна  
- Ведення графіку зустрічей керівника
- Допомога в підготовці договорів
- Внесення правок відповідно до запитів юристів
- Переклад з української (російської) на англійську мови та навпаки"
122,"Встановлено понад 150 бігбордів 3х6м.  
Керування рекламною кампанією на рекламних конструкціях для одного з депутатів по всій країні.  
Виконання обов'язків керівника рекламного підприємства та ведення клієнтів. Основні задачі:  
- Постановка задач працівникам офісу та контроль їх виконання;  
- Організація роботи виробничого цеху (друк рекламної продукції, виготовлення зовнішньої реклами);  
- Вибудовування міжособових взаємовідносин;  
- Розробка та реалізація маркетингового плану;  
- Спілкування з клієнтами (проведення ділових зустрічей, консультування, вирішення суперечок);  
- Аналіз та вдосконалення робочих процесів;  
- Мотивація співробітників."
123,"Вдало мігрував розважальний онлайн бізнес з однієї платформи на іншу без зниження фінансових показників діяльності. Маю понад 3 роки досвіду в управлінні проектами. Останній значний досвід - у сфері онлайн бізнесу в продуктовій компанії. Виконував обов'язки SM/PM/PO на різних стадіях проекту. Працював з 2-3 командами одночасно, з яких 1-2 команди - віддалено. Виконував роль посередника між бізнесом і девелоперами. Працював у жорстких строках через особливості бізнесу. Використовував переважно Scrum. Останнім часом сфера обов'язків була сфокусована на розвитку і підтримці десктоп версії сайту (europebet.com). Ефективно використовував навички комунікації та роботи з командою, паралельно набуваючи нового досвіду в управлінні проектами та інформаційних технологіях."
124,"**Досягнення**  
- Збільшення частки ринкових продажів.  
- Укладання контрактів.  
- Формування лояльної репутації.  
- Створення комфортних умов для команди.  
- Випуск нових апаратних та програмних рішень.  
- Розробка нових апаратних та програмних функцій.  
- Прототипування UX/UI програмних забезпечень та функцій.  

**Особливості**  
- Організаторські здібності.  
- Постійний саморозвиток.  
- Щирість та відкритість.  
- Ґрунтовний підхід.  
- Комунікабельність.  
- Відповідальність.  
- Стресостійкість.  
- Технічні знання.  
- Ініціативність.  

**Навички**  
- JIRA (ZenTao) – середній  
- Google Docs – просунутий  
- MS Office – просунутий  
- MS Project – початковий  
- Figma (Mockitt) – середній  
- Illustrator/Photoshop – середній  
- Пайка SMD – середній  

**Мови**  
- Англійська – A2 початкова (продовжую постійно займатись)  
- HTML/CSS/JS – початкова  

**Курси**  
- Become a Project Manager - Linkedin  
- Become a Sales Representative - Linkedin  

**Досвід роботи**  

**Assistant Project Manager, Українська IoT IT компанія**  
- Щоденна операційна робота з командою розробки продукту.  
- Використання Jira для дотримання робочих процесів та наповнення беклогу.  
- Проведення бізнес аналізу аналогічних рішень та тестування продуктів.  
- UX/UI прототипування у Figma.  
- Підготовка релізів, оцінка прогресу та складання звітів.  

**Технічна підтримка та інші ролі, Китайська IT компанія**  
- Консультування, навчання та технічна підтримка клієнтів.  
- Пошук та відвідування потенційних клієнтів, укладання контрактів.  
- Участь у міжнародних виставках, організація стенда компанії.  
- Збір та аналіз зворотного зв'язку про продукти.  
- Формування вимог до продуктів.  
- Адміністрування та просування сайтів та соціальних сторінок.  
- Створення та переклад технічних документів та маркетингових матеріалів.  
- Переклад інтерфейсів продуктів.  
- Тестування та пошук помилок в продуктах.  
- Пошук та формування шляхів вирішення проблем.  
- Аналіз аналогічних рішень.  
- Розробка та впровадження нових функцій.  
- Прототипування UX/UI програмних забезпечень та функцій.  
- Взаємодія із розробниками компанії.  

**Мета**  
Заглибитись в управління проєктами та/або продуктами, допомагати команді та клієнтам порозумітися, вирішувати їхні проблеми на шляху до мети."
125,"[Ваше ім'я]

[Контактна інформація]

**Професійний досвід**

**Власник кінно-спортивного комплексу (КСК Александрія ПГТ. Гостомель)**  
2019 — 2022  
- Оновила штат працівників, які обслуговували комплекс  
- Провела повну реконструкцію будівлі та облаштування території  
- Додала нові послуги: дитяча школа, тренування, базова підготовка, Берейтор, Тренер, Коновод  
- Займалася порятунком, реабілітацією та вивозом коней з усієї київської області з 24.02.2022  

**Архивариус (помічник Нотаріуса)**  
2013 — 2016  
- Складання звітності документів, порядок дій у паперах для щорічної перевірки перед Мін'юстом України  
- Оптимізувала термін подання документів перед перевіркою з Мін'юсту  
- Організувала роботу з клієнтами для своєчасного подання документів  

**Виконавчий Директор**  
2011 — 2018  
- Починала з офіціанта/бармена/адміністратора в різних закладах міста Києва  
- Виконавчий директор в ресторані Баку (02.2017 — 04.2017)  
- Провела ребрендинг меню, що збільшило кількість відвідувачів вдвічі протягом місяця  
- Налагодила комунікацію з керівництвом ресторану  
- Впровадила нову систему для замовлень та звітності  

**Менеджер з продажів (VILLELECTRIC)**  
07.2014 — 01.2015  
- Продаж генераторів та загального обладнання для будівництва  
- Налаштувала маркетингову кампанію, що збільшила продажі на 300%  
- Встановила відносини на ринку, що допомогло виграти тендер для великих забудовників  

**Молодший Лейтенант (Кавалерійська служба України)**  
01.2013 — 04.2014  
- Начальник взводу роти та дисципліни по роботі у місті з кіньми верхи  
- Покращила взаємини вершника та коня, навчила їх працювати як одна команда  
- Навчила знанням верхової їзди, що покращило загальний показник роботи у місті  
- Провела роботи з соціалізації коней у місті та адаптації до гучних звуків  

**Навички**
- Вміння знаходити спільну мову з різними типами людей  
- Організаційні та управлінські навички  
- Досвід у маркетингу та продажах  
- Знання в галузі кінного спорту та управління кінно-спортивним комплексом"
126,"Готова до нових задач та викликів, енергійна, комунікабельна та організована професіоналка. Має досвід в організації заходів під час навчання та роботи. Вивчала та експериментувала з кількома мовами програмування. На роботі займалася як технічними аспектами, так і організаційними завданнями, працювала з документацією та надавала технічну підтримку."
127,"Засновник Stand Up клубу ""Світло наприкінці тижня"". Організація та контроль концертного графіка для понад 12 коміків.

Реалізував понад 45 відео на YouTube.

Заробляв на платформі TikTok.

Досвід роботи до 24 лютого:

- COMFY (Retail), Контентний продюсер.  
  Реалізація ідей у готовий контент для YouTube каналу.

- TikTok для бізнесу, Контентний продюсер.  
  Створення з нуля та наповнення акаунтів для Ласунки, Boomza, Concordbank."
128,"Ольга

Освіта та сертифікація:
- Пройшла курси керування людьми
- Вивчала методологію НЛП
- Маю багато сертифікатів (не за спеціальністю)

Професійні навички:
- Вміння керувати людьми та організовувати процеси
- Досвід організації івентів
- Високий рівень комунікабельності та соціальних навичок
- Організованість та дисциплінованість

Кар'єрні цілі:
- Бажання керувати проектами в IT-компаніях
- Готовність почати з позиції помічника чи стажера з можливістю розвитку

Особисті якості:
- Ініціативність та енергійність
- Лояльність та відданість компанії
- Готовність дотримуватися правил і культури компанії

Досвід роботи:
- Немає досвіду роботи в IT, але є інші переваги та велике бажання розвиватися в цій сфері."
129,"Професійний профіль

Мотивована до розвитку в новій сфері, зокрема в комунікації з людьми. Відкрита, комунікабельна особа, обізнана з діловим етикетом. Володію базовими знаннями в психології, що сприяє ефективній взаємодії з людьми. У стресових ситуаціях залишаюся стриманою та швидко знаходжу рішення.

Готова працювати на неповний робочий день, не більше 5 днів на тиждень."
130,"**Резюме**

**ПМ ДП ""Е-консалтинг""**  
- Розробка плану проекту на основі вимог замовника, визначення пріоритетів для команди.  
- Підтримка проекту, оцінка ризиків.  
- Взаємодія з командою проекту, контроль виконання задач, проведення командних зустрічей.  
- Взаємодія з клієнтом, проведення презентацій та демонстрацій.  
- Підготовка технічної документації.  
- Робота з Jira, Confluence.  
- Підготовка звітів про статус проекту.  

**Account manager/ Project coordinator ДП ""Е-консалтинг""**  
- Взаємодія з клієнтами, побудова відносин.  
- Розробка та ведення проектної документації в CRM системі.  
- Організація технічної підтримки клієнтів.  
- Документування проекту, підписання договорів та актів.  
- Тестування продукту.  

**Помічник керівника ""ДП Е-консалтинг""**  
- Ведення ділового листування.  
- Координація робочого графіку.  
- Організація відряджень.  
- Оформлення внутрішньої документації.  
- Організація роботи офісу.  

**Менеджер проекту ""МБФ ТОЧКА ОПОРИ""**  
- Організація проектів фонду, зокрема благодійного ярмарку.  
- Співпраця з волонтерами, залучення pro bono волонтерів.  
- Ведення сторінок фонду в Facebook.  
- Впровадження контактного центру з понад 1000 операторами.  
- Підтримка та розвиток платформи чат-ботів."
131,"Наймолодший співробітник у престижній юридичній фірмі. Участь у проєктах, затверджених мерією міста. 200 балів за ЗНО. Досвід у юриспруденції, управлінні та викладанні. Очікую на нові можливості для професійного зростання."
132,"Підвищив прибуток клієнта з $500 до $70,000 на платформі Amazon  
Створив понад 50 прибуткових рекламних кампаній  
Понад 100 задоволених клієнтів  
Досвід ведення кількох проєктів одночасно, керівник маркетинг-студії повного циклу (створення сайтів, зйомка, монтаж відео, SMM, SEO, створення Telegram-ботів, дизайн, контекстна реклама)  
Постійний розвиток лінгвістичних та м'яких навичок  
Сприяв розвитку таких компаній:  
Liga Zakon  
Metabo  
Cherry Auto  
Merx  
Ayana Wellness  
Ведення проєктів веб-розробки, керування виконавцями, спілкування з замовниками, бріфінг, формування технічних завдань, звітність перед керівництвом."
133,"Досвід на курсах навчання на проектного менеджера від IAMPM на курсі DAO PM:  
Керівництво проектом з розробки мобільного додатку для доставки їжі від концепції до реалізації.  
Визначення та впровадження критеріїв успішності проекту згідно зі стандартами управління проектами.  
Координація роботи команди, планування завдань та ресурсів для досягнення цілей проекту.  
Ефективне застосування інструментів та методологій управління проектами для досягнення оптимальних результатів.  
Лідерство в команді."
134,"Досвід  
Посада: Junior Project Manager  
Компанія: City5 Consulting  
- Впровадження проєктів  
- Вирішення проблем і усунення технічних неполадок  
- Аналіз та оцінка потреб клієнтів  
- Визначення доходу та відповідності клієнтів  
- Збір необхідної документації та передача у відділ обробки  
- Підготовка звітної документації по проєкту"
135,"Курси: PM, QA, MINI MBA

Досягнення:
- Розробка mobile CRM системи (замовник - США) для замовлення перукарських послуг до стадії User Acceptance Testing
- Розробка невеликої mobile CRM системи (замовник - Україна) для зчитування та перевірки QR-кодів
- Розробка десктопної CRM системи (замовник - Україна) для замовлення квітів
- Координування проведення UX-дизайну десктопної CRM системи (замовник - Україна)
- Участь у розробці десктопної ERP-системи (замовник - Україна) для заводу металоконструкцій з впровадженням обліку та контролю інформації, прийняття та обробки замовлень, відслідковування залишків, бухгалтерські розрахунки
- Підготовка єстімейтів для нових проектів

Досвід роботи: 1,5+ рік
- Успішний досвід розробки програмного забезпечення (CRM і ERP системи) з командою розміром 10+ членів
- Досвід роботи з віддаленою командою
- Роль Scrum Master та керування подіями Scrum
- Використання продуктів Atlassian (JIRA, Confluence)
- Управління, звітування, моніторинг (Trello, Toggl)
- Risk management
- People management

Навички:
- Project Management
- Scrum

Очікування від роботи:
- Приносити користь команді
- Бути залученим до досягнення мети, яка стоїть перед компанією"
136,"[Ваше ім'я]

[Контактна інформація]

---

**Професійний досвід**

**Legion Marketing**  
*07.2023 — по теперішній час*  
- Планування місячних та тижневих завдань, контроль успішності та KPI.  
- Згуртування та мотивація команди.  
- Підтримка співробітників у вирішенні складних ситуацій.  
- Спілкування та узгодження технічних завдань з клієнтами.  
- Супровід надання послуг.

**Project Manager, «Ломбард 24» «Афинаж ЛТД и компания»**  
*12.2022 — 07.2023*  
- Аудит корпоративних магазинів на пром.юа, автоматизація вивантаження товарів з 1С.  
- Створення та реалізація лендінгів з різних ніш, налаштування реклами.  
- Збір та аналіз конверсії, поліпшення результатів.  
- Розробка сайту-майданчика з нуля, SEO, контент, реклама.  
- Розробка партнерської програми для трафіку.  
- Аналіз конкурентів та PPC ключових слів за допомогою Serpstat.

**Контент-Модератор, BOO**  
*1 рік 2 місяці*  
- Модерація оголошень постачальників, пошук моделей та характеристик за фото.  
- Відправлення на доопрацювання відповідно до правил компанії.

**Linkbuilder, Фриланс**  
- Крауд маркетинг, аутріч, робота з Ahrefs, Majestic, Check Trust.  
- Робота з біржами посилань, підбір донорів для СНД проєктів.  
- Створення технічних завдань для копірайтерів, робота з Google інструментами.

**Головний адміністратор сайту, Apsen Diamond**  
*11 місяців*  
- Заповнення контентом: картки товарів, SEO ключі, заголовки, новини.  
- Створення банерів (Adobe Ph), оновлення дизайну Instagram.  
- Консультація щодо планів робіт, затвердження бюджетів та рішень.  
- Перевірка виконуваних робіт, аналіз Google Ads, Fb Ads.

**Навички**  
- Управління проектами  
- SEO та контент-менеджмент  
- Модерація та наповнення контенту  
- Аналітика та оптимізація реклами  
- Командна робота та мотивація

**Освіта**  
[Ваша освіта, якщо є]

**Мови**  
[Мови, якими ви володієте]

**Додаткова інформація**  
- Віддалена робота, можливий гібридний формат зацікавлених проектів."
137,"Продаж, планування, контроль та видача сотень індивідуальних замовлень кенді барів та тортів, включаючи десятки проєктів з новими технологіями. Впровадження інновацій для досягнення wow-ефекту: металеві та акрилові конструкції, LED та неонові підсвітки, 3D друк.

Досвід роботи понад 4 роки на посаді адміністратора ресторану-кондитерської. Тісна співпраця зі сферою event-management, перемовини та продаж продукту (Candy bar and cake). Вивчення вимог замовника, планування та розробка унікальних проєктів тортів в Україні (антигравітаційні торти, торти гіганти, торти з неоновими підсвітками). Використання графічних редакторів для візуалізації проєкту (Figma, CorelDraw, SketchUp). Організація роботи команди, співпраця з посередниками та швидке вивчення специфіки їх діяльності. Постійний контроль якості роботи та дотримання термінів, управління ризиками, ведення фінансового обліку проєкту, організація логістики."
138,"ОФІСНА НЕРУХОМІСТЬ  
1. Впровадив CRM систему (AmoCRM) для покращення організації роботи та управління клієнтською базою, що спростило комунікацію та співпрацю між відділами та стейкхолдерами.  
2. Уклав угоди з оренди офісної нерухомості загальною площею 3000 м² протягом першого року роботи.  
3. Успішно уклав 2 угоди з продажу офісної нерухомості загальною площею 1000 м², що стало першим досвідом продажу для компанії.  

КОУЧІНГ  
1. Забезпечив позитивні зміни для 8 клієнтів у програмі «Наставництво».  
2. Провів 35 індивідуальних консультацій з розвитку навичок та мотивації.  
3. Допомагав клієнтам досягати балансу між роботою та особистим життям через ефективне управління часом.  
4. Підтримував клієнтів у розвитку навичок управління стресом та емоційного благополуччя.  
5. Створював мотиваційне середовище для саморозвитку клієнтів.  
6. Розвинув професійний блог в Instagram до 2229 підписників, TikTok до 27,4 тис., Telegram до 1513 підписників без фінансових вкладень.  

ДОСВІД РОБОТИ В КОУЧІНГУ  
Обовʼязки:  
1. Розробка та управління коучинговими програмами для досягнення цілей клієнтів.  
2. Визначення потреб клієнтів та встановлення цілей.  
3. Забезпечення підтримки та мотивації клієнтів.  
4. Підтримка клієнтів у розвитку потенціалу та вирішенні проблем.  
5. Оцінювання прогресу клієнтів та надання фідбеку.  
6. Ведення блогу для просування себе як лайф коуча.  
7. Розробка стратегії просування особистого бренду.  

ДОСВІД РОБОТИ В ОФІСНІЙ НЕРУХОМОСТІ  
Обов'язки:  
1. Комунікація з клієнтами, власниками бізнес-центрів та іншими фахівцями.  
2. Координація внутрішніх процесів з відділами маркетингу, фінансів та юристами.  
3. Реалізація проєктів оренди з використанням Agile методології.  
4. Планування та контроль бюджету проєктів.  
5. Аналіз ринку нерухомості та підготовка звітів.  
6. Ведення CRM системи для організації даних про клієнтів.  
7. Впровадження CRM системи (AmoCRM) для покращення організації роботи.  

Я зацікавлений у сфері інформаційних технологій, зокрема в управлінні проектами як Assistant Project Manager або Junior Project Manager. Готовий почати з низького рівня, щоб навчитися більше про цю сферу та сприяти інноваційному зростанню компанії.  

Маю базові знання з управління проектами та вивчаю технологічні тенденції в ІТ. Шукаю можливість приєднатися до динамічної організації, де мої навички можуть бути використані на повну силу."
139,"Подолала дистанцію в 10 км, незважаючи на те, що не дуже люблю біг. Організувала сортування сміття вдома, оскільки переймаюся ефективним використанням вторсировини та екологією загалом. Допомагаю у зборі коштів для Благодійної організації ""Місто Добра"", яка піклується про дітей та сім'ї в біді.

Маю 10 років досвіду роботи в органах державної влади. Працювала в команді з впровадження системи якості ISO 9001:2000, займалася адмініструванням сайту, веденням інвестиційних проектів, проведенням реєстраційних дій для фізичних осіб-підприємців та юридичних осіб, а також роботою з профільною документацією щодо отримання дозвільних документів.

Додатково вивчала Agile, Scrum, курс IMPM. Маю досвід спільних закупівель товарів з США та їх реалізації через Instagram, Olx, Shafa. Бачу себе на позиції assistant/junior Project Manager з можливістю зростання і розвитку у команді, планую вести окремий проект через рік."
140,"Досвідчений фахівець з управління проектами в сфері розробки веб-сайтів з 4-річним стажем. Виконувала обов'язки помічника менеджера проектів. Основні завдання включають координацію проектів з розробки веб-сайтів, управління командами з 3+ спеціалістів, ведення до 3 проектів одночасно. Відповідальна за координацію проектів протягом усього життєвого циклу, підготовку проектної документації. Працюю з CRM Bitrix24, маю досвід роботи з Worksection."
141,"Один з проектів став лауреатом премії «Людина року - 2017»

Досвід роботи координатором будівельних проектів (квартальна забудова)

Професійний ріст, вирішення складних завдань, робота в неформальній обстановці."
142,"Здатність до швидкого освоєння нової інформації та активного навчання.  
Здатність швидко адаптуватися до нових задач, вимог та робочих процесів.  
Здатність працювати самостійно і взяти на себе ініціативу.  

Досвід роботи:  

- Виконання завдань з оформлення страхових актів.  
- Комунікація з клієнтами через Bitrix24, Viber, електронну пошту та телефон.  
- Врегулювання особистих видів страхування, зокрема фінансові ризики.  
- Сплата та оформлення рахунків за допомогою 1С ОперКонтур.  
- Взаємодія з партнерами.  
- Забезпечення документообігу, включаючи своєчасну обробку паперових документів.  

Навчання і професійний розвиток:  

- Бажання отримувати навички та знання в сфері управління проектами.  
- Можливості для особистого і професійного зростання.  

Комунікація і співпраця:  

- Здатність ефективно спілкуватися з різними зацікавленими сторонами.  
- Бажання працювати в команді і досягати спільних цілей.  

Організаційні навички:  

- Здатність планувати, організовувати та керувати проектами з дотриманням термінів і бюджету.  

Лідерські якості:  

- Зацікавленість у виконанні ролі лідера в команді.  
- Здатність стимулювати та мотивувати інших досягати успіху.  

Знання проектного менеджменту:  

- Бажання отримати розуміння основних принципів, методологій та інструментів проектного менеджменту, таких як SCRUM, Agile."
