,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o
124,"Я захоплений UI/UX дизайнер з досвідом, який я здобула на курсах. Я виконала такі проекти, як лендінг, редизайн сайту, веб-сервіс та мобільний додаток.

**Redesign for Mainsail – Realty Company**  
Основною метою цього проекту було створення сучасного та інтуїтивно зрозумілого користувацького інтерфейсу, який допоміг би привернути увагу потенційних клієнтів. Дизайн існуючого сайту виглядав застарілим і не зручним для користувача. Процес редизайну: аналіз конкурентів, профілі користувачів, вайрфреймінг, UI і UI-kit, прототипування, адаптація.

**Web Service Pets - Study Case (робота в команді)**  
Основна ідея проекту – створити функціональний веб-сервіс для ефективного пошуку домашніх тварин, який допоможе власникам тварин, що загубилися, швидше їх знайти. А також допомогти людям, які знайшли тварину, повернути її або, маючи якусь інформацію про тварину, поділитися нею, щоб прискорити пошук улюбленця. Процес: постановка проблеми, аналіз конкурентів, профілі користувачів, JTBD, карта шляху клієнта, мозковий штурм, User Flow, інформаційна архітектура, вайрфреймінг, візуальний дизайн, прототипування, адаптація.

Маю досвід роботи веб-дизайнером протягом шести місяців, де я займалась створенням орнаментів, візерунків, ілюстрацій, дизайном презентацій, сайтів. Я прагну працювати в компанії, де зможу швидко розвивати та вдосконалювати свої навички, створювати дизайни, які вирішують проблеми та досягають бізнес-цілей та цілей користувачів."
125,"Ім'я та прізвище

Контактна інформація:
- Телефон: [Ваш номер телефону]
- Email: [Ваш email]
- LinkedIn: [Ваш профіль LinkedIn] (якщо є)

Мета:
Початківець UX/UI дизайнер, прагну розвиватися у сфері веб-розробки та дизайну. Маю намір вивчати веб-програмування з метою стати Full-stack Java developer. Шукаю можливості для початку кар'єри з легкими завданнями, щоб поступово втягнутися в робочий процес.

Освіта:
- [Назва навчального закладу], [Спеціальність], [Роки навчання] (якщо є)

Досвід:
- Розробка прототипів: створив декілька прототипів, включаючи сайт-портфоліо, додаток для перегляду футбольних матчів та ескізи додатків (2-3 екрани).
- Самостійне вивчення дизайну для покращення розуміння веб-проєктів.

Навички:
- UX/UI дизайн
- Прототипування
- Основи веб-розробки

Плани на майбутнє:
- Участь у дизайн-конкурсах
- Вивчення веб-програмування
- Розвиток у напрямку Full-stack Java розробки

Додаткова інформація:
- Готовність до роботи з невеликими правками в дизайні та розробкою логотипів з подальшими змінами дизайну."
126,"[Ваше ім'я]

Контактна інформація:
[Ваш номер телефону]
[Ваш email]

Мета:
Отримати позицію Junior UI/UX дизайнера, щоб розвиватися в цій сфері та застосовувати набуті знання на практиці.

Досвід роботи:

Розробник застосунку Science ID
- Створив та розробив власний застосунок Science ID, доступний у Google Play.
- Працював над усіма етапами розробки, від концепції до реалізації.

Солдат, Збройні Сили України
- Служив протягом останнього року, розвиваючи навички командної роботи та стресостійкості.

Освіта та навчання:

Самостійне навчання UI/UX дизайну
- Вивчаю підручники з UI/UX дизайну.
- Займаюсь за допомогою відео в YouTube з Figma для покращення практичних навичок.

Навички:
- Розробка мобільних застосунків
- Основи UI/UX дизайну
- Робота з Figma
- Командна робота
- Стресостійкість

Додаткова інформація:
Мотивований розвиватися в сфері UI/UX дизайну та готовий до нових викликів."
127,"Виграла конкурс серед джунів-веб дизайнерів на розробку дизайну лендінг-пейдж для стартапу навчальної платформи з трейдингу (десктоп + мобільна версія) для іспаномовної аудиторії.  
Розробила:  
- Дизайн лендінгу навчальної платформи з трейдингу (десктоп + мобільна версія) для іспаномовної аудиторії;  
- Дизайн сайту для передзамовлення виробів магазину-пекарні (десктоп + мобільна версія);  
- Дизайн мобільного додатку для купівлі та прослуховування аудіокниг українською;  
- Редизайн сайту української компанії з розробки і підтримки електронних технологій;  
- PDF-презентації для компанії, що залучає інвестиції для стартапів.  

Використовую інструменти: Figma, Adobe Photoshop, Adobe After Effects.  
Не працюю в Adult, Gambling, Dating, Gamedev, Blockchain/Crypto, з компаніями, пов'язаними з Росією і Білоруссю."
128,"Світчер з кількарічним досвідом у сфері обслуговування клієнтів. Протягом цього часу здобула навички адаптивності, вміння налагоджувати контакт, а також розв'язувати конфлікти та згладжувати ситуації, щоб уникнути ескалації. Досвід роботи з дедлайнами та в умовах стресу."
129,"Фріланс, Квітень 2020 - дотепер

Графічний дизайнер

- Розробка фірмового стилю для музичного гурту «VSIVDOMA»: підготовка ескізів логотипу, виготовлення 10 рекламних постерів для соціальних мереж, веб-перегляду та друку, дизайн для соціальних мереж гурту.
- Створення концепцій дизайн макетів різноманітних рекламних носіїв, включаючи вибір шрифтів, зображень, забезпечення читабельності та врахування потреб аудиторії.
- Співпраця з клієнтами, такими як британська компанія “EdTechX” та музичний гурт “VSIVDOMA”.
- Розробка банерів, постерів та іншого рекламного контенту для соціальних мереж (Instagram, Facebook, Youtube).
- Досвід роботи з графічними редакторами: Illustrator, Photoshop, InDesign, Figma.
- Розуміння можливостей та обмежень HTML, CSS, JavaScript."
130,"ПІБ  
Контактна інформація  

Мета: Застосувати свої навички та знання в сфері UI/UX дизайну.

Освіта:  
Курси UI/UX Дизайну, комп'ютерна школа Hillel  
Сертифікат про завершення курсів  

Практичний досвід:  
Під час навчання розробив:  
- Редизайн лендінгу сайту  
- Адаптивну версію для мобільних пристроїв  
- Дешборд  
- Онлайн магазин  

Портфоліо:  
Роботи доступні на Dribbble та Behance."
131,"Три рази потрапив в #madeontilda. Наразі в пошуках нової роботи на посаду web UX/UI дизайнера. Маю досвід у створенні мобільних застосунків, інтернет-магазинів, корпоративних сайтів та лендінгів, верстка в Tilda та Readymag.

Технічні навички:

- Впевнена робота в Figma з компонентами, auto-layout, smart animate.
- Adobe Photoshop, Adobe Illustrator, Affinity Designer, Affinity Photo.

Можу надати рекомендації з компанії, де зараз працюю."
132,"ПІБ  
Контактна інформація  

Досвід роботи:  

**Компанія ""Потрібні люди""**  

*Верстальник HTML/CSS/JS*  
(пів року)  
- Створення адаптивних веб-інтерфейсів з використанням HTML, CSS, JavaScript.  

*Дизайнер*  
(рік)  
- Розробка дизайну інтерфейсів для веб-сайтів, включаючи лендінги, візитки, інтернет-магазини.  
- Створення дизайну логотипів, реклами в соціальних мережах та банерів.  

*Моушн дизайнер*  
(останні 4 місяці)  
- Розробка анімацій та відео контенту.  
- Вивчення 3D дизайну.  

Мета:  
Стати частиною професійної команди, яка займається UI/UX дизайном, та розвивати свої навички в цьому напрямку."
133,"Проектування та розробка інтерфейсів, створення адаптивного дизайну для бізнес-додатків і веб-сайтів, забезпечення ефективного та приємного інтерактивного досвіду для кінцевих користувачів. Постійне вивчення сучасних тенденцій та впровадження UX-рекомендацій у роботу."
134,"University Landing Pages, Social Web Applications, end-to-end Branding, Checkout Pages and more Landing Pages  
- Робота над внутрішнім продуктом компанії  
- Веб-дизайн  
- Дизайн UI/UX  
- Прототипування  
- Дизайн взаємодії  
- Дизайн соцмереж  

Шукаю можливості для вирішення цікавих та складних завдань у дружній та професійній команді. Прагну професійного зростання, вдосконалення навичок та створення чудового досвіду користувача."
135,"[Ваше ім'я]

Контактна інформація:
[Ваш телефон]
[Ваш email]
[Ваш LinkedIn профіль]

Освіта:
- Курс Web Design Junior, Projector School
- Курс Mobile App Design, Projector School
- Сертифікати від Projector School
- Самостійне вивчення Adobe Illustrator

Досвід роботи:

Web Designer, Booking Ninjas (2021-2023)
- Розробка дизайну інтерфейсу
- Створення клієнтського порталу
- Дизайн мобільного додатку для персоналу
- Портал адміністрації готелів
- Портал студентського житла

Фріланс-проекти:
- Лендінг для співака
- Лендінг для бітмейкера
- Дизайн лендінгу для бітмейкера та перенесення дизайну з Figma у Webflow

Проекти в рамках курсу Web Design Junior, Projector School:
- Teach for Ukraine
- ETNODIM

Навички:
- Дизайн веб-інтерфейсів
- Дизайн мобільних додатків
- Робота з Figma та Webflow
- Adobe Illustrator (самостійне вивчення)

Мета:
- Розвиток у сфері дизайну мобільних додатків після проходження курсу Mobile App Design у Projector School."
136,"Дизайнер з досвідом роботи в ентерпрайзах і стартапах різного розміру, шукаю можливості в агенції, продуктовій команді або аутсорс компанії, що прагне розвивати свою дизайн команду. Вів проекти від діскавері до фази дизайн QA і підтримки розробки. Володію навичками проведення досліджень, тестування, прототипування, розробки інформаційної архітектури, роботи з аналітикою та створення або підтримки візуального стилю."
137,"Дизайнер і арт-директор з восьмирічним досвідом у галузі візуальних комунікацій. Спеціалізуюся на розробці користувацького досвіду, прототипуванні, аудиті та графічному дизайні веб-аплікацій і сайтів, арт-дирекшені, графічному дизайні (візуальна ідентифікація, прінт). Маю навички продакшн-менеджменту в розробці веб-аплікацій.

Походжу з Дніпропетровська, Україна, наразі тимчасово мешкаю в Польщі. Володію українською, англійською, польською та російською мовами.

Зацікавлений у віддаленій роботі на разових або довготривалих проєктах (включно з фултайм) у галузі веб-розробки та графічного дизайну. Відкритий до проєктів як великого, так і малого масштабу.

Будь ласка, зв'яжіться зі мною, якщо маєте будь-які питання."
138,"Я цілеспрямований та відданий своїй справі дизайнер, готовий докладати максимум зусиль для досягнення цілей та допомагати іншим на їхньому шляху. Маю досвід у створенні сценаріїв дій користувачів та розробці користувальницького інтерфейсу, здобутий під час навчання в BEETROOT ACADEMY. Особливо пишаюся дипломним проектом ""Платформа для планування навчального процесу в школах"", який продовжую вдосконалювати.

Працюю у відомій компанії, де беру участь у цікавих проектах у комфортному офісі. Активно співпрацюю з командою, реалізуючи спільні ідеї, та навчаюся у професійних дизайнерів, щоб розвивати необхідні навички. У вільний час беру участь у командних заходах, таких як футбол, та підтримую колег у різних ситуаціях."
139,"Закінчив навчання в Beetroot Academy за напрямом UI/UX дизайн. Під час навчання створював Lo-Fi прототипи, інтерактивні прототипи, вайрфрейми, макети, лого та працював у команді. Проводив аналіз конкурентів. Мав досвід роботи із сервісом Readymag. Прагну розвивати та вдосконалювати навички, вивчати нові технології, здобувати досвід та працювати з талановитою командою."
140,"Курси:  
- School HotSpot: English A1 (now)  
- School HotSpot: English elementary (12.05.2023)  
- Projector Institute: Web Design Junior (20.04.2022)  
- SkillUp: UI\UX Design (2021)  

Робочо-освітній досвід  

E-Commerce:  
- Аналіз конкурентів та вхідних даних клієнта  
- Розробка концепту та робота з референсами  
- Створення дизайн-системи в Figma  
- Адаптивний дизайн  

Landing page:  
- Аналіз вихідних даних клієнта  
- Аналіз конкурентів  
- Пошук і робота з референтами  
- Створення прототипу  
- Робота з правками  "
141,"Професійний досвід

Фріланс-дизайнер  
(2.5 роки)  
- Розробка прототипів сайтів та їх дизайну.  
- Створення обкладинок для соціальних мереж та їх оформлення.  
- Висока адаптивність до роботи в команді та ефективна комунікація з клієнтами, навіть у випадках розбіжностей у баченні результату.  

Мета  
Прагну приєднатися до креативної команди, щоб отримати цінний досвід та досягти видатних результатів у дизайні."
142,"Уміння ефективно взаємодіяти з різними типами клієнтів, запобігаючи конфліктам при різних поглядах на результат. Самостійне ведення проєктів без безпосередньої участі менеджера. Здатність втілювати візуальні ідеї клієнтів.

09.2018 - ... - freelance (UI/UX & graphic designer)

11.2019 - 09.2020 - Jelvix (graphic designer)

09.2020 - ... - AnyforSoft (UI/UX designer)

Інтерес до роботи над довготривалими проєктами в команді, проведення UX досліджень. Невелика участь у розробці матеріалів для маркетингу та HR-відділів."
143,"May 2022 - Jun 2022  
Курс ""English for IT""  
Anna Gandrabura  

Dec 2021 - Mar 2022  
Курс ""Mobile Apps design""  
Projector Institute  

Sep 2021 - Dec 2021  
Курс ""Ux/Ui design Start""  
Designly school  

Жовтень 2022 - теперішній час  
Працюю над складним, багатофункціональним продуктом, виконуючи різні ролі та беручи на себе відповідальність за весь процес від запиту бізнесу до передачі розробникам. Активно комунікую з бізнесом та командою для досягнення результату.  

Червень 2022 - Жовтень 2022  
Працювала в компанії, що розробляє додатки для Microsoft, де отримала досвід проектування для X-box.  

Січень 2022 - Червень 2022  
Співпрацювала з командою дизайнерів на фрілансі над різними проектами. Особливо пишаюсь проектом настільного додатку для батьків і дітей, що допомагає слідкувати за навчальним процесом дитини та підтримувати виконання домашніх завдань."
144,"1. Сертифікат про завершення курсу ""Вступ до ІТ"", квітень 2023 – травень 2023, Beetroot IT
2. Участь у марафоні ""Демо-Design UI-UX"" від GoIT, створення лендінгу
3. Участь у марафоні ""UI-UX Design"" від GoIT, дизайн астрологічного застосунку - гороскоп
4. Тест-драйв IT-професій від GoIT, створення макету сайту в Figma"
145,"**UI/UX Designer**

**Міжнародний Благодійний Фонд “День За Днем” (“DayByDay”)**  
з 30.04.2022р. до теперішнього часу  

- Участь у створенні дизайну сайту та особистого стилю для фонду.  
- Розробка особистого стилю, включаючи стікерпак, банер, візитівку, бейдж, перепустку, історії Instagram.  
- Розробка дизайну сайту для покращення зручності інтерфейсу та користувацького досвіду.  

**Стажування UI/UX Designer**  
**KovalIt, IT-компанія**  
з 23.06.2022р. до 05.10.2022р.  

- Розробка повноцінного проєкту сайту курсу по зачіскам.  
- Дотримання вимог згідно технічного завдання.  
- Підбір кольорової палітри та шрифтової пари.  
- Розробка дизайну для мобільної, планшетної та десктопної версії.  
- Створення логотипу та дизайну сертифікату з проходження курсів.  

Цей досвід дозволив працювати в молодій та зростаючій команді, що стало надзвичайно цінним для професійного розвитку."
146,"1. Сертифікат `Веб-Дизайнер 2021` від школи Shendrikov Education  
2. Сертифікат `Веб-Дизайнер Взрывной Старт 2.0` від WayUp  
3. Сертифікат `Веб-Дизайнер Взрывной Старт 2.1` від WayUp  
4. Курси `Web designer` від школи Shendrikov Education  
5. Онлайн курс `Веб-Дизайнер Взрывной Старт 2.0` від WayUp  
6. Дизайн для інтернет-магазинів."
147,"1. **Проект ""Кафе для роботи""**  
   Розробила тестовий дизайн сайту для компанії, що дозволяє користувачам шукати привабливе місце в кафе, орендувати місце для роботи, обирати філіали, а також дізнаватися про меню та пропозиції кафе.

2. **Проект ""Квітковий магазин""**  
   Створила тестовий дизайн сайту для компанії, що надає можливість користувачам обирати насіння, горшки та інші товари.

3. **Проект ""Сайт для покупок квитків""**  
   Розробила тестовий дизайн сайту для компанії, що дозволяє користувачам обирати квитки та переглядати прем'єри цього року.

4. **Аналог Apple магазину**  
   Створила тестовий дизайн сайту для компанії, що надає можливість користувачам обирати категорію техніки, дізнаватися основну інформацію про магазин, а також обирати та замовляти техніку.

У всіх цих проектах працювала на посаді графічного дизайнера, UI/UX."
148,Досвід самостійного вивчення дизайну (1 рік).
149,"1. Розробка UI/UX для вебсайтів.  
2. Дизайн мобільних додатків.  
3. Використання методології Design Thinking (створення CJM, інтерв'ювання користувачів, тестування користувачів).  
4. Створення Landing Page.  
5. Візуальний супровід бренду (соціальні мережі, візуалізація для блогу, HTML-банери, e-mail розсилки, push-сповіщення).  
6. Розробка логотипів.  
7. Розробка фірмового стилю та створення бренд-буку.  
8. Створення та верстка POS-продукції, дизайн мерча."
150,"[Ваше ім'я]

[Контактна інформація]

---

**Досвід роботи**

**Веб-дизайнер**  
DARTC Studio  
2012 - 2015  

- Розробка дизайну сайтів та мобільних додатків
- Створення анімацій та прототипів
- Дизайн логотипів та поліграфії

**Веб-дизайнер**  
Lumospark  
2015 - 2018  

- Дизайн сайтів та мобільних додатків
- Розробка анімацій та прототипів
- Створення логотипів та поліграфії

**Ведучий дизайнер**  
Lumospark  
2018 - 2020  

- Керівництво проектами з дизайну сайтів та мобільних додатків
- Розробка анімацій, прототипів, логотипів та поліграфії

**Фріланс-дизайнер**  
2020 - теперішній час  

- Створення дизайну сайтів, мобільних додатків, анімацій, прототипів, логотипів та поліграфії

---

**Навички**

- Figma
- Adobe Photoshop
- Adobe Illustrator
- Adobe XD
- Balsamiq
- Adobe After Effects
- Adobe InDesign
- InVision

Швидко навчаюсь новим програмам за потреби."
151,"[Ваше ім'я]

Контактна інформація:
[Ваш телефон]
[Ваш email]
[Ваш LinkedIn профіль]

Мета:
Прагну вирішувати складні задачі, що вимагатимуть застосування всього мого досвіду та постійного професійного росту.

Досвід роботи:

UI/UX Designer
Metevo agency на Upwork
2020 - 2023
- Працювала над e-commerce проектами, забезпечуючи високий рівень користувацького досвіду та інтерфейсу.

Product Designer
Skillum startup
2018 - 2020
- Створила дизайн для маркетплейсу no-code розробників, що сприяло зростанню платформи.

UI/UX Designer
togethernetworks.com
2016 - 2018
- Розробила шаблон вебсайту для конструктора сайтів Yola, що покращило функціональність та естетику платформи.

Навички:
- UI/UX дизайн
- Розробка продуктів
- Дизайн e-commerce проектів
- Створення шаблонів вебсайтів

Освіта:
[Ваш навчальний заклад]
[Ступінь, спеціальність]
[Роки навчання]

Додаткова інформація:
- [Будь-які додаткові сертифікати або курси, якщо є]"
152,"Щасливі діти в одязі мого бренду та задоволені батьки.  
Гарні акаунти в інстаграмі та якісний контент.  
Постійні клієнти в Etsy та тільки позитивні відгуки.  
Жодного незадоволеного клієнта.  

Досвід роботи:

2016 - 2021 — Дизайнер дитячого одягу, власний бренд:  
- Розробка логотипу  
- Дизайн одягу  
- Створення лекал  
- Фотозйомка та обробка фото  
- Маркетинг  
- Створення магазину на Etsy  
- Участь в ярмарках ""Всі свої""  

2019-2021 — Баєр спортивного одягу з США:  
- Створення інтернет-магазину  
- Створення контенту в Instagram  

З 2020 - Графічний дизайнер:  
- Створення ілюстрацій  
- Створення анімацій  
- Обробка фото  

З 2022 - Магазин в Etsy з майстер-класами англійською мовою по пошиву фетрових іграшок та оригінальні принти:  
- Скетчі в Procreate  
- Дизайн і викрійки в Adobe Illustrator  
- Ведення сторінки магазину та маркетинг в Etsy  

2022 - UI/UX фрилансер:  
- Створення контенту в Instagram  
- Розробка логотипів, банерів, візиток  
- Розробка дизайну та редизайн сайтів  "
153,"**Резюме**

**Досягнення:**
- Розробка прототипу
- Розробка дизайну
- Адаптивний дизайн
- Ресерч та мудборд для клієнта
- Adobe Photoshop/Figma
- Написання тексту, фотографування товару, створення банерів
- Бачу дизайн у всьому
- Створення презентацій для організації роботи колективу
- Куратор нових співробітників та стажерів
- Мерчендайзинг вітрин
- Організація офісного простору

**Досвід роботи:**

**2018-2019 Веб студія “Ранок”**  
Дизайнер  
- Освоєння основ дизайну (композиція, теорія кольорів, принцип UX та UI)
- Сприйняття критики і робота над помилками
- Робота в Adobe Photoshop та XD
- Створення адаптивного дизайну

**Літо 2020 Робота з блогером**  
- Пошук блогерів для реклами, контроль виходу реклами та аналіз її статистики
- Створення чек-листів, гайдів, обкладинок, обробка та монтаж відео
- Генерація ідей для блогу та їх реалізація

**2019-2022 Магазини з непродовольчими товарами**  
- Дотримання касової дисципліни
- Розуміння впливу власних дій на колектив
- Підтримка робочого місця у чистоті
- Відповідальність за свої дії

**Мета:**  
Прагну працювати у сильній та творчій команді, де кожен сам по собі, і одночасно всі допомагають один одному розвиватися. Команда, яка трішки шалена, буде подарунком. Важливо, аби поважали особисті кордони кожного, та праця не забирала вільний від роботи час."
154,"Ім'я Прізвище  
Контактна інформація  

Досвід роботи:  
2019 рік – Рекламне агентство, графічний дизайнер (6 місяців)  
- Розробка рекламних матеріалів  
- Співпраця з командою для досягнення цілей проекту  

2020 рік – по теперішній час, Helena Studio (Ізраїль), графічний дизайнер (близько 3 років)  
- Створення візуальних концепцій для різних проектів  
- Робота з клієнтами для визначення їх потреб  
- Участь у командних обговореннях та плануванні проектів  

Освіта:  
Курси в Прожекторі з web design і mobile app design  

Навички:  
- Графічний дизайн  
- Візуальна комунікація  
- Командна робота  
- Чітке виконання завдань  

Мета:  
Перехід з графічного дизайну до UI/UX, пошук стажування або вакансії на позицію junior UI/UX."
155,"UI/UX Designer, First Ukrainian Studio (2020-2023)

Основні обов'язки:
- Прототипування
- Веб-дизайн (лендинги, корпоративні, багатосторінкові сайти, адаптація під мобільні пристрої)
- Редизайн існуючих сайтів з урахуванням їх фірмового стилю
- Генерування ідеї сайту, логіки користувача, usability сайту
- Побудова ефективних систем зв'язку між користувачем/клієнтом і продуктом/компанією, орієнтуючись на сучасний UI/UX
- Комунікація з front-end-розробником та командою маркетологів
- Опис способів взаємодії та поведінки інтерфейсу для розробників
- Створення промоматеріалів"
156,"2021 - 2023: UI/UX Designer в Ux lab  
- Розробка UX wireframes  
- Створення лендінг-сторінок  
- Брендинг  
- Дизайн мобільних додатків  
- Проекти Saas та Crm  

2020: Video Editor в Beemlop  
- Створення анімації форми  
- Анімація персонажів  

2019 - 2020: Video Editor в Vilz Agency  
- Створення анімації форми  
- Об'єднання та обрізка відеокліпів для MindGame, YBW (Your Business Forum)  
- Використання Adobe After Effects, Final Cut Pro, Adobe Premiere Pro, Motion 5, Compressor, Adobe Photoshop, Adobe Media Encoder, Adobe Illustrator  

2017 - 2018: Front-End Developer в Qumel Digital Agency  
- Розробка сайтів з використанням HTML/CSS/JavaScript  
- Створення простих дизайнів веб-сайтів  
- Підтримка та оновлення сайтів  
- Оптимізація SEO  
- Проекти: Frog Tutoring, spa.ru, сайт Lviv Topography  
- Адаптивна верстка для мобільних пристроїв  "
157,"UI/UX Designer та Front-end Developer

Досвід роботи:
- 2 роки досвіду як UI/UX дизайнер
- 1 рік досвіду роботи як Front-end розробник

Ключові навички:
- Глибоке розуміння процесів розробки продукту
- Експертиза в сферах: безпека, охорона здоров'я, HRM системи, веб-розробка, персональний менеджмент
- Розвиток власного дизайн-проекту

Мета:
- Поглиблення знань та досвіду в UX розробці"
158,"[Ваше ім'я]

Контактна інформація:  
[Ваш телефон]  
[Ваш email]  
[Ваш LinkedIn профіль або портфоліо]

---

**Професійний досвід**

**UX/UI Дизайнер**  
3,5 роки досвіду в UX/UI дизайні з акцентом на створення веб-сайтів для різних галузей, включаючи E-commerce, Fitness, Restaurant, Medicine, Education, News, Office service.

- Успішно реалізував проекти для внутрішнього та зовнішніх ринків.
- Постійно прагну вивчати нові технології та підходи в дизайні.
- Працював у командах з тімлідами та сеньйорами, що сприяло професійному зростанню.

**Навички**

- UX/UI дизайн
- Розробка веб-сайтів
- Робота в команді
- Адаптивний дизайн

**Бажані умови роботи**

- Повна зайнятість
- Годинна ставка: від 25$/год
- Місячна зарплата: від 2 500 $/міс

---

[Дата]"
159,"Досвідчений дизайнер з трирічним стажем роботи в дизайнерському агентстві. Спеціалізуюся на створенні дизайну landing page та розробці великих тендерних проектів для міст Лозова та Ізюм. Вмію ефективно взаємодіяти з клієнтами, забезпечуючи якісне та вчасне виконання завдань. 

Маю базові знання HTML, CSS, JavaScript та адаптивної верстки, а також досвід роботи з фреймворком Bootstrap. Підготовка макетів до друку є однією з моїх компетенцій. Вмію гнучко розподіляти робочий час та завжди залишаюсь на зв’язку для вирішення термінових питань. 

Відзначаюсь високим рівнем трудової етики та прагну досягати високих стандартів у своїй роботі. Маю бажання розвиватися у сфері розробки дизайну мобільних та настільних додатків."
160,"3D візуалізація

Досвід:
- 4 роки у веб-дизайні
- 1 рік у 3D візуалізації
- 6 місяців у UI/UX дизайні

Особливості роботи:
- Відсутність бюрократії
- Робота в команді досвідчених дизайнерів
- Участь у проектах дизайну мобільних додатків"
161,"Розробила дизайн Головної Нагороди та Диплому Кубку Вільга 2018 з авіамодельного спорту (етап World Cup 2018, Eurotour Contest 2018, Intertour F5J 2018). Приймала участь у організації цього змагання.

Працювала в компанії Catalyst Apps на посадах 2D artist (більше 4 років) та UI/UX designer (приблизно 7 місяців). Створювала інтерфейси для мобільних ігор (шутер та стратегія).

Співпрацювала з компанією Vladimir's Model, що виготовляє моделі літаків для авіамодельного спорту. Розробляла нові дизайни для літаків, дизайн поліграфічних матеріалів. Координувала роботу команди (50+ співробітників) з етапу отримання замовлення до етапу відправки готового виробу замовнику.

Працювала з компанією VMG Ukraine - підрозділ компанії VMG USA. Розробляла дизайн мобільного додатку та веб-сторінки цього додатку для казино в Лас Вегасі. Створювала ігрову логіку додатку, дизайн документ та специфікації для програмістів. Координувала роботу команди (5+ осіб)."
162,"[Ваше ім'я]  
[Ваша адреса]  
[Ваш телефон]  
[Ваш email]  
[Ваш LinkedIn або інший профіль]  

**Професійний досвід**  
5 років досвіду в UI/UX дизайні, зосереджуючись на 70% на додатках і 30% на веб-проектах. Працював як самостійно, так і в команді з іншими дизайнерами.

**Обов'язки**:  
- Розробка користувацьких потоків та карт подорожей клієнтів (CJM)  
- Проведення аналізу аналітичних даних  
- Дослідження конкурентів  
- Прототипування інтерфейсів  
- Проведення UX тестувань, коридорних тестів та інтерв'ю з користувачами  
- Live прототипування  
- Створення дизайн-систем та систем компонентів  
- UI дизайн та анімація  

**Технічні навички**:  
- Figma, Adobe Photoshop / Illustrator / After Effects / Premiere, Protopie, Midjourney / Leonardo, Google Analytics, Hotjar  
- CSS / HTML  
- Lottie / SVG анімації  

З нетерпінням чекаю можливості приєднатися до команди з цікавим та комплексним проектом."
163,"Досвідчений дизайнер з великим портфоліо робіт. 6 років роботи в digital agency SMELO. Спеціалізація: SMM дизайн, веб-дизайн, айдентика. Досвід управління командою."
164,"Пройшов курси:
- «Робота з Figma», Creativepractice
- «UX/UI. Проєктування та дизайн інтерфейсів», Creativepractice
- «Основи дизайну», Creativepractice
- «Робота з Illustrator», Creativepractice
- Повний курс фотографії (фотошкола TimeStudia)

Досвід роботи:
- 7 років фотографом-ретушером

Навички:
- Знання принципів композиції, перспективи, колористики, балансу
- Досвідчений користувач програм: Adobe Photoshop, Figma, Adobe Lightroom, Adobe Illustrator, Adobe Premier Pro

Мета:
- Почати працювати і розвиватись у UI/UX дизайні."
