,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini
98253,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

---

**Professional Experience**  

**Baza Trainee, Ukraine**  
*June 2023 - Present*  
- Lead designer team for the website project of the volunteer organization ""4.5.0.""  
- Lead designer team for the project “1000+1 song. Kolyskovi.”  
- Finalist of the Hahathon 4.0: Ukraine Heritage Edition project.  
- Utilized tools: Figma, Trello, Slack, Discord, Time tracking.  

**CURSOR Education**  
*January 2023 - June 2023*  
- Contributed to an e-commerce platform for a real craft business.  
- Conducted stakeholder interviews, competitor analysis, user research, SWOT analysis, customer journey mapping (CJM), and information architecture (IA).  
- Developed wireframes and initiated the UI design and prototyping phases.  

---  

**Skills**  
- Proficient in Figma, Trello, Slack, Discord  
- Strong experience in user research and analysis  
- Effective team leadership and project management skills  
- Knowledge of wireframing and prototyping techniques  "
98254,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Professional Summary**  
Detail-oriented UX-UI designer with a strong foundation in design principles and proficiency in Figma. Experienced in enhancing user experience through effective redesigns and interactive design solutions.

**Education**  
UX-UI Design Course  
- Mastered the fundamentals of design and the Figma tool.

**Projects**  

**Website Redesign**  
- Successfully redesigned a website interface, implementing improvements that enhanced user-friendliness.

**Social Media Banners**  
- Created engaging banners for social media for a charitable organization.

**Fitness Coach Webpage Redesign**  
- Structured the webpage to simplify an overloaded design, highlighting key elements to attract future clients.

**Landing Page for Handmade Artist (UX-UI Case Study)**  
- Developed a presentation page for unique products in the international market, designing a wireframe, selecting natural colors to accentuate the artist's work, and creating a light parallax animation for the page's start.

**Mobile App (UX-UI Case Study)**  
- Designed an app that allows users to remotely select and send gifts along with flowers for special occasions, focusing on user interaction and experience.

**Work Experience**  
- Experience working in agencies, startups, and product companies, developing landing pages, mobile applications, and web services.  

**Skills**  
- UX-UI Design  
- Figma  
- Interactive Design  
- User Experience Improvement  
- Web and Mobile Application Development  "
98255,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

---

**PROFESSIONAL SUMMARY**  
Highly motivated UI/UX Designer with a passion for crafting user-centric digital experiences. Proficient in translating complex ideas into intuitive and visually appealing designs. Equipped with a solid foundation in design principles, user research, interactive prototyping, and adaptive design. Eager to contribute skills and enthusiasm to create impactful and user-friendly products that elevate the user's journey.

---

**PROFESSIONAL EXPERIENCE**  

**UI/UX Designer**  
*DeliverEats Mobile Service*  
- Created a mobile design for a food delivery service, focusing on user experience and interface design.  
- Conducted UX research, wireframing, UI design, and prototyping.  
- Launched the project on Behance, showcasing the design process and final product.  
- Developed key features including:  
  - Search functionality on the home page  
  - Filters for quick sorting  
  - Ability to add products to favorites  
  - Emphasis on convenience and simplicity for user understanding  

**UI/UX Designer**  
*PetSearch Web Service*  
- Participated in a team project to create a web service for searching lost animals.  
- Focused on two user personas: the one who lost an animal and the one who found it.  
- Conducted market analysis and competitor research to identify target audience needs.  
- Developed design concepts including:  
  - Warm color scheme  
  - Functionality to facilitate faster user actions  
  - Adaptive design for mobile device users  
  - Emphasis on convenience and clarity  

---

**SKILLS**  
- UX Research  
- Wireframing  
- UI Design  
- Prototyping  
- Adaptive Design  
- User Flows  
- Personas  
- Customer Journey Mapping (CJM)  
- Job To Be Done (JTBD)  

---

**EDUCATION**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

--- 

**PORTFOLIO**  
Available upon request or at [Your Portfolio Link]  "
98256,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

---

**PROFESSIONAL EXPERIENCE**  

**FlowerLower**  
*Landing Page for Flower Delivery Company, Case Study*  
- Conducted competitor analysis and research  
- Developed high-fidelity wireframes  
- Created UI style guides including typography, responsive layouts, color palette, and buttons  

**Mimino**  
*Redesign of the Site of Georgian Cuisine, Case Study*  
- Conducted competitor analysis and research  
- Developed high-fidelity wireframes  
- Created UI Kit including typography, responsive layouts, color palette, and components  
- Engaged in prototyping  
- Adapted design for mobile and tablet  

**Wanderstay**  
*Couchsurfing Web-Service, Team Project, Case Study*  
- Conducted competitor analysis and research  
- Applied design thinking methodologies  
- Developed JTBD and user personas  
- Created information architecture and user flow  
- Developed customer journey maps (CJM)  
- Created wireframes and dashboards  
- Designed page 404 and parallax effects  
- Adapted design for mobile and tablet  
- Engaged in prototyping  "
98257,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile or Personal Website]  

---

**PROFESSIONAL SUMMARY**  
Detail-oriented web developer with experience in leading projects from concept to completion. Skilled in user research, design, and creating user-friendly web services. Passionate about contributing to a collaborative team environment and committed to continuous professional development.

---

**PROFESSIONAL EXPERIENCE**  

**Web Developer**  
*Independent Projects*  
[Month, Year] – Present  

- Independently developed a web cleaning service, overseeing all stages from competitor analysis to design.
  
- **Leading for Barbershop ""BARBER""**  
  - Conducted comprehensive research on competitors and target audience to inform design decisions.
  - Designed a user-centric leading that aligns with user needs and preferences.

- **Redesign of the Site ""India Cafe""**  
  - Researched the target audience to identify needs and improve site design.
  - Enhanced visual perception and usability to create a more engaging user experience.

- **Creating a Web Service ""CLEAN""**  
  - Developed a platform connecting cleaners with clients, facilitating service transactions.
  - Executed all UX/UI stages, including user flow, prototyping, sitemap creation, payment page design, and overall site design.

---

**SKILLS**  
- User Research  
- UX/UI Design  
- Prototyping  
- Web Development  
- Competitor Analysis  
- Usability Improvement  

---

**EDUCATION**  
[Your Degree]  
[Your Major]  
[Your University]  
[Year of Graduation]  

---

**PROFESSIONAL GOALS**  
Seeking a position in a company that values teamwork and shared success. Open to both office and remote work, with a strong desire for professional growth and advancement."
98258,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  

**Objective**  
Dedicated professional with a master’s degree in law and a strong interest in the IT sphere, currently studying UI/UX design. Committed to delivering high-quality work and providing excellent support to clients.

**Education**  
Master’s Degree in Law  
[University Name], [City, State]  
2018  

**Professional Experience**  

**Notary Assistant**  
[Company Name], [City, State]  
[Start Date] – [End Date]  
- Managed document preparation and contract drafting.  
- Provided client consultations and support.  
- Handled electronic registers and conducted business correspondence.  
- Accumulated 3 years of experience in a fast-paced environment.  

**Customer Support Manager**  
[Company Name], [City, State]  
[Start Date] – [End Date]  
- Delivered service regarding website issues and inquiries.  
- Transferred requests to relevant departments for resolution.  
- Gained 1 year of experience in the gambling industry.  

**Head of the Quality Control Department of Customer Support**  
Rocket Delivery, Cyprus  
[Start Date] – [End Date]  
- Oversaw quality control processes for customer support operations.  
- Ensured high standards of service delivery.  
- Worked for 6 months in a leadership role.  

**Certifications**  
UI/UX Design Course  
DanIT Academy  
[Year Completed]  

**Skills**  
- Strong sense of responsibility  
- Excellent communication and interpersonal skills  
- Proficient in document management and client support  
- Knowledge of UI/UX design principles  "
98259,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile or Portfolio URL]  

**Professional Summary**  
Detail-oriented designer with experience in competitor analysis, user flow creation, site mapping, mood board development, and landing page design. Proficient in prototyping and adaptive design, with a strong focus on enhancing user experience.

**Experience**  

**Designer**  
*OURPAWS Project*  
- Redesigned a search service for missing animals, facilitating the search for lost pets.  
- Utilized Figma, Adobe Illustrator, and Adobe Photoshop to create user-friendly interfaces and engaging visuals.  

*LA MESA Project*  
- Developed a mobile application for booking tables in restaurants.  
- Employed Figma, Adobe Illustrator, and Adobe Photoshop to design an intuitive user experience.  

**Skills**  
- Competitor Analysis  
- User Flow Creation  
- Site Mapping  
- Mood Board Development  
- Landing Page Design  
- Prototyping  
- Adaptive Design  
- Figma  
- Adobe Illustrator  
- Adobe Photoshop  

**Professional Development**  
- Eager to learn more about Adobe Illustrator and improve skills in vector graphics.  
- Committed to fostering effective communication and mutual respect within teams.  "
98260,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile or Portfolio URL]  

---

**Professional Summary**  
Creative and detail-oriented designer with experience in developing user-friendly web solutions. Proven ability to enhance customer engagement through thoughtful design and analysis of user needs.

---

**Projects**  

**Landing Page for Flower Shop ""FlowerLover""**  
- Developed a user-friendly landing page tailored to the client's specifications.  
- Conducted competitor analysis and target audience research to inform design decisions.  
- Focused on creating a clear interface and enhancing the User Interface to improve user experience.  

**Redesign of Website for Alaska Pete's Restaurant**  
- Led the redesign of an outdated website for Alaska Pete's restaurant to improve visual appeal and functionality.  
- Addressed the lack of a reservation form by integrating a modern, user-friendly design.  
- Aimed to attract potential customers through an updated and engaging online presence.  

---

**Skills**  
- Web Design  
- User Interface (UI) Development  
- User Experience (UX) Analysis  
- Competitor Research  
- Customer Engagement Strategies  "
98261,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Experience**  

**Team Leader**  
**Project: See World**  
- Led a team to develop a user-friendly interface for a robotic method of searching for living spaces.  
- Conducted follow-up assessments to ensure the design met user needs, enabling users to easily submit applications and provide feedback.  

**Project: GenieTable**  
- Designed a mobile application inspired by a cartoon character, facilitating restaurant table reservations.  
- Created an engaging first screen featuring a lamp that users interact with to reserve a table, enhancing user experience through a thematic color scheme.  

**Team Member**  
**Project: Nice View**  
- Collaborated on the creation of a landing page for a residential complex aimed at attracting potential clients.  
- Focused on minimalist design principles to convey a sense of calm and safety, promoting the residential complex as an ideal place for family life and work.  

---

**Skills**  
- Team Leadership  
- User Interface Design  
- Mobile Application Development  
- Project Collaboration  
- Minimalist Design Principles  "
98262,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile or Portfolio URL]  

**Objective**  
Detail-oriented and creative designer with experience in web design and development, seeking to leverage skills in a dynamic team environment that values mutual respect and professional growth.

**Education**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

**Projects**  

**3-PET Projects**  
- Conducted competitor analysis and researched company information to inform design decisions.  
- Analyzed tasks and ideas, compiled mood boards, and developed minimalist websites and landing pages.  
- Developed CRM systems and mobile applications, focusing on prototyping and responsive design.

**Redesign of Tattoo Salon Website**  
- Individual project completed during the GoIT course.  
- Selected references and analyzed target audience to inform redesign.  
- Created UI kit and adapted the site for tablet and mobile versions, ensuring functional links.

**Landing Page Development**  
- Developed a landing page project with the freedom to choose the topic.  
- Selected references and created a mood board and UI kit.  
- Designed the main page of the site, focusing on user engagement.

**Web Service for Affordable Travel**  
- Collaborated in a team project to create a web service aimed at organizing budget travel.  
- Conducted audience analysis and prepared user flow and customer journey mapping (CJM).  
- Chose a design system and made adaptations for tablet and mobile versions, ensuring functional links.

**Skills**  
- Strong focus on results and design.  
- Ability to work in an open and collaborative team environment.  
- Commitment to mutual respect and fostering a friendly atmosphere.  
- Willingness to engage in corporate training and development opportunities.  
- Experience with remote work arrangements.  

**References**  
Available upon request."
98263,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile or Portfolio URL]  

**Professional Summary**  
Creative and detail-oriented designer with experience in full-cycle design and project management. Proven ability to enhance user experience and drive engagement through innovative web and mobile applications. Strong communication skills and a collaborative approach to team projects.

**Experience**  

**Pet Projects**  
- Developed two personal projects focusing on user-centric design and functionality.

**Team Projects**  
- Collaborated effectively with team members to create two innovative products:  
  - **Easy Yoga Web Service**: Designed from scratch to facilitate communication between yoga teachers and potential students, enhancing the user experience and accessibility.  
  - **Mobile Application for Performance Improvement**: Created a mobile app aimed at boosting productivity, featuring tools for daily planning and monitoring of physical and mental health.

**Professional Experience**  

**Redesign Tattoo Company**  
- Led the full-cycle design process to update the company’s website, aligning it with the needs of the target audience and current design trends.  
- Enhanced user convenience and understanding, contributing to increased conversion rates and customer acquisition.

**Skills**  
- User Experience (UX) Design  
- User Interface (UI) Design  
- Web and Mobile Application Design  
- Communication and Collaboration  
- Project Management  

**Education**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

**Certifications**  
[List any relevant certifications]  

**References**  
Available upon request."
98264,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile or Portfolio URL]  

**Professional Summary**  
Creative and detail-oriented UX/UI designer with experience in leading projects and developing user-centered designs. Proven ability to analyze competitors and implement successful design solutions. Passionate about creating engaging and functional web experiences.

**Experience**  

**Team Leader & UX/UI Designer**  
Travelhaven  
[Month, Year] – Present  
- Led a team in the design and development of user-friendly interfaces for the Travelhaven project.  
- Conducted user research and usability testing to inform design decisions.  
- Collaborated with cross-functional teams to ensure alignment on project goals and deliverables.  

**Web Redesign Project**  
Alaska Pete's Roadhouse Grille  
[Month, Year] – [Month, Year]  
- Conducted a comprehensive study and analysis of competitors to inform the redesign of the restaurant's website.  
- Developed wireframes and prototypes to enhance user experience and engagement.  
- Worked closely with stakeholders to gather feedback and iterate on design concepts.  

**Pet Projects**  
- Developed two personal projects focused on enhancing user experience and interface design.  

**Social Project**  
Website Development for Volunteers  
[Month, Year] – [Month, Year]  
- Participated in a social initiative to create a website aimed at connecting volunteers with opportunities.  
- Collaborated with a team to design and implement features that facilitate volunteer engagement.  

**Web Service Development**  
[Project Name]  
[Month, Year] – [Month, Year]  
- Designed a web service interface aimed at helping users organize affordable stays in foreign countries.  
- Developed a concept similar to couch-surfing, where users can exchange work for accommodation and food.  
- Targeted young travelers and students seeking budget-friendly travel options.  

**Skills**  
- UX/UI Design  
- User Research  
- Wireframing and Prototyping  
- Competitor Analysis  
- Team Leadership  
- Web Development  

**Education**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

**Certifications**  
[Relevant Certification]  
[Year]  "
98265,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

---

**PROFESSIONAL EXPERIENCE**

**Team Leader**  
*SweepUp Cleaning Web-service*  
- Led a team in the development of a convenient cleaning service for selecting and ordering specialists.  
- Conducted detailed market and competitor analysis, brainstorming sessions, and developed User Personas, JTBD, CJM, and multiple User flows.  
- Created prototypes, UI design, and adapted designs within the existing design system.  
- Tools used: Figma, Photoshop, Illustrator.  

**Project Contributor**  
*TimeWell Daily Planner Mobile App*  
- Collaborated with a team to create an app that helps users manage their time, plan tasks, and achieve goals.  
- Conducted detailed analysis of competing applications, developed User Personas and User flows, and created high-fidelity prototypes and UI design.  
- Implemented detailed animations using Protopie.  
- Tools used: Figma, Photoshop, Illustrator, Protopie.  

**Designer**  
*Bravo Furniture Site Redesign*  
- Undertook a personal project to redesign the website for a luxury furniture store.  
- Conducted market analysis and competitor research, created screen prototypes, UI design, and responsive layouts for mobile and tablet versions.  
- Developed a UI kit for the project.  
- Tools used: Figma, Photoshop, Illustrator.  

**Coursework Project**  
*Citroen C4 Landing Page*  
- Developed a landing page for test drive bookings of the new Citroen car as part of coursework.  
- Conducted market analysis and competitor research, created a moodboard, wireframes, and a final animated interface.  
- Tools used: Figma.  

---

**SKILLS**  
- Proficient in Figma, Photoshop, Illustrator, Protopie  
- Strong understanding of user-centered design principles  
- Experience in market analysis and competitor research  
- Ability to create User Personas, User flows, and prototypes  
- Skilled in UI design and responsive layouts  

---

**EDUCATION**  
[Your Degree]  
[Your University]  
[Year of Graduation]  "
98266,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

---

**PROFESSIONAL EXPERIENCE**  

**Team Leader**  
*Travel Joy*  
[Month, Year] – [Month, Year]  
- Led a team in the design and development of a web service aimed at facilitating work and leisure in new environments.  
- Conducted competitor analysis and created user flows, site maps, wireframes, and prototypes using Figma.  
- Organized and monitored the work process, ensuring adherence to a pre-existing design system.  
- Delivered a well-designed web service with a user-friendly interface and convenient functionality for travelers.  

**Designer**  
*Nice View*  
[Month, Year] – [Month, Year]  
- Developed a landing page for selling apartments in a new residential complex, adhering to client specifications.  
- Conducted competitor analysis and target audience research to inform design decisions.  
- Created low-detailed and high-detailed prototypes, selecting fonts and color palettes to enhance visual appeal.  
- Designed a landing page that effectively attracted potential buyers and included functionality for application submissions and client feedback.  

**PROJECTS**  

- **Travel Joy**: Web service design for travel, focusing on user experience and interface design.  
- **Nice View**: Landing page design for a residential complex, emphasizing client requirements and market appeal.  

**SKILLS**  
- Proficient in Figma for design and prototyping.  
- Strong analytical skills for competitor analysis and user research.  
- Experience in team leadership and project management.  
- Ability to create user flows, wireframes, and prototypes.  
- Knowledge of design systems and best practices in user interface design.  

**EDUCATION**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

---  

[Optional: Certifications, Awards, or Additional Relevant Information]  "
98267,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

---

**Professional Experience**  

**Volunteering Projects Aggregator for Ukraine**  
*Creator*  
[Month, Year] – Present  
- Developed a user-friendly platform to aggregate and showcase various volunteering initiatives in Ukraine.  
- Provided detailed project information, enabled donations, and facilitated exploration of related projects and volunteer organizations.  
- Promoted engagement and support for meaningful causes throughout the country.  

**Landing Page for Kickstarter Project**  
*Designer*  
[Month, Year] – [Month, Year]  
- Designed a landing page for a nightstand that transforms into four chairs to promote the product on Kickstarter.  
- Utilized the AIDA marketing model to encourage user purchases.  
- Gained skills in competitor analysis, reference selection, high-fidelity wireframing, and creating an adaptive website.  

**Landing Page about Rihanna**  
*Designer*  
[Month, Year] – [Month, Year]  
- Created a landing page aimed at introducing users to Rihanna and generating interest in her.  
- Developed skills in mood boards, references, wireframes, complex composition, typography, and prototyping.  

---

**Skills**  
- User Experience (UX) Design  
- Web Design  
- Wireframing  
- Prototyping  
- Competitor Analysis  
- Marketing Strategies  
- Typography  
- Project Management  

---

**Education**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

---  

**References**  
Available upon request.  "
98268,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile or Portfolio URL]  

**Objective**  
Detail-oriented and creative web designer with experience in full-cycle website redesign and team collaboration. Seeking to leverage skills in user experience and responsive design to contribute to innovative projects.

**Experience**  

**Website Redesign**  
*A Kids Place Childcare*  
- Led a full-cycle redesign of the preschool website aimed at enhancing user engagement and visual appeal.  
- Conducted competitor analysis to inform design decisions and improve site functionality.  
- Developed a responsive design to ensure optimal viewing on mobile and tablet devices.  

**Pet Service Project**  
- Collaborated in a team to design a web service for pet search, focusing on creating a comprehensive platform for pet-related services.  
- Engaged in market research to identify target audience needs and preferences.  
- Ensured the website was fully responsive and accessible on mobile and tablet devices.  

**Pet-Projects**  
- Currently developing a mobile event app, focusing on user-friendly design and functionality.  

**Skills**  
- Web Design  
- User Experience (UX)  
- Responsive Design  
- Team Collaboration  
- Market Research  
- Competitor Analysis  
- Mobile and Tablet Adaptation  "
98269,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile or Portfolio URL]  

---

**Objective**  
Motivated and detail-oriented designer with experience in UX and UI, seeking to leverage skills in a dynamic team environment.

---

**Education**  
**Projector UX Beginner Course**  
**KronaStudio & School Web Design Course**  

---

**Experience**  

**Internship**  
[Company Name] - [Location]  
[Month, Year] - [Month, Year]  
- Collaborated with a small development team on a pet project, contributing to design and user experience.  
- Engaged in UX research and problem-solving, translating findings into effective UI solutions.  

**Volunteer**  
University IT HUB - [Location]  
[Month, Year] - [Month, Year]  
- Redesigned university websites and developed interfaces to meet university needs.  
- Worked collaboratively within a team, managing tasks using Jira to ensure project efficiency.  
- Enhanced UI skills through mentorship and hands-on experience with a UI library.  
- Participated in UX research and evaluation, working closely with developers and project managers to improve teamwork and project outcomes.  

---

**Skills**  
- UX Research  
- UI Design  
- Problem-Solving  
- Team Collaboration  
- Task Management (Jira)  
- Design Tools (specify if applicable)  
- Rapid Learning and Adaptability  "
98270,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile or Portfolio URL]  

---

**Professional Summary**  
Detail-oriented 3D graphic specialist with experience in web development and UI/UX design. Proven ability to lead projects and collaborate effectively within teams. Strong skills in HTML, CSS, and SketchUp, with a focus on creating user-friendly and visually appealing digital experiences.

---

**Experience**  

**3D Graphic Specialist**  
HOVER Ukraine  
Feb 2021 - Jun 2023  
- Developed 3D models of exteriors and interiors using SketchUp.  
- Reviewed and provided feedback on finished 3D models created by other modelers.  

---

**Project Experience**  

**UI/UX Design Projects**  

- **Sophie Scholl Realschule Website Redesign**  
  - Led the redesign of the school's website to enhance aesthetics, user-friendliness, and information presentation.  
  - Conducted research and analysis of competitor school websites and best practices in educational web design.  
  - Improved competitive and audience analysis skills throughout the project.  

- **YoHome Web Service for Hosting and Renting**  
  - Developed the user interface from scratch, focusing on a simple user flow and thoughtful details.  
  - Worked on service adaptation with minimal changes to enhance user experience.  

---

**Pet Projects**  
- Developed three personal projects on various topics, showcasing creativity and technical skills.  
- Led the YoHome team in creating a website for hosting and renting, demonstrating leadership and project management abilities.  

---

**Skills**  
- HTML  
- CSS  
- SketchUp  
- UI/UX Design  
- 3D Modeling  
- Project Leadership  
- Competitive Analysis  
- User Flow Development  

---  

**Education**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

---  

**References**  
Available upon request.  "
98271,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile or Portfolio Link]  

**Professional Summary**  
Creative and detail-oriented designer with 4 years of experience in interior, graphic, and industrial design. Possessing a master's degree in environmental and industrial design, with a strong foundation in various design disciplines. Passionate about expanding expertise in UI/UX design.

**Education**  
Master's Degree in Environmental and Industrial Design  
[Your University], [City, State]  
[Year of Graduation]

**Professional Experience**  

**Interior Designer**  
[Company Name], [City, State]  
[Start Date] – [End Date]  
- Developed and executed interior design projects for residential and commercial spaces.  
- Collaborated with clients to understand their vision and deliver tailored design solutions.  
- Managed project timelines and budgets to ensure successful completion of design initiatives.  

**Freelance Designer**  
[Self-Employed], [City, State]  
[Start Date] – Present  
- Engaged in graphic design projects, including logo creation, business cards, and promotional materials.  
- Created custom artwork and paintings for various clients.  
- Built a diverse portfolio showcasing a range of design styles and techniques.  

**Web Design Courses**  
GENIUS, [City, State]  
Completed courses in:  
- Fundamentals of Web Design  
- Working with Figma  
- UX/UI: Projecting and Design of Interfaces  
[Year of Completion]

**Skills**  
- Interior Design  
- Graphic Design  
- Industrial Design  
- Web Design  
- Figma  
- UX/UI Design  
- Project Management  

**Languages**  
- English: B1  
- Polish: B2  
- Spanish: B1  

**References**  
Available upon request."
98272,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Objective**  
Aspiring UI/UX designer with a strong desire to contribute to a professional work environment and apply my knowledge and experience in UI/UX design.

**Experience**  

**UI/UX Designer**  
[Company Name] – [Location]  
[Month, Year] – Present  
- Developed designs for landing pages, e-commerce sites, portfolio sites, and mobile applications (iOS and Android).  
- Engaged in the full design process, including competitor analysis, user flows, wireframing, prototyping, and creating unique UI designs for websites.  
- Adapted websites for mobile and tablet devices, ensuring responsive design across platforms.  
- Collaborated with front-end developers to implement designs effectively.  
- Utilized basic website animation techniques to enhance user experience.

**Coursework in UI/UX Design**  
[Institution Name] – [Location]  
[Month, Year] – [Month, Year]  
- Completed a 5-month intensive coursework focused on the principles and technologies of the full UI/UX design process.  
- Gained a deep understanding of Google Material Design Guidelines and Human Interface Guidelines, applying this knowledge throughout the coursework.

**Skills**  
- Proficient in UI/UX design principles and methodologies.  
- Strong understanding of responsive design and mobile adaptation.  
- Experience with wireframing and prototyping tools.  
- Basic knowledge of website animation techniques.  
- Excellent teamwork and collaboration skills.

**Interests**  
- Passionate about creating comprehensive and appealing website designs that drive conversions and provide users with easy access to information.  
- Open to engaging in interesting projects that challenge my problem-solving abilities and enhance my design skills."
98273,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Objective**  
Motivated and detail-oriented entry-level UX designer with a strong foundation in user-centered design principles and practical experience in digital design. Seeking to leverage skills in a dynamic team environment.

**Education**  
Hillel IT School  
Completed Course in UX Design  

**Experience**  
Freelance UX Designer  
[Month, Year] – Present  
- Designed engaging banners for social media platforms including Instagram, Twitter, and Facebook.  
- Assisted in the planning and development of applications and websites, ensuring user-centered design principles were applied.  
- Created a blog using Webflow, enhancing content accessibility and user engagement.  
- Developed landing pages and promotional banners, focusing on effective visual communication and user experience.

**Skills**  
- User-Centered Design  
- Design Process  
- Accessibility Principles  
- Equity-Focused Design  
- Proficient in Webflow  
- Social Media Design  
- Strong Communication Skills  

**Projects**  
- Participated in design sprints to develop innovative solutions and enhance collaboration within teams.  
- Engaged in continuous learning to stay updated on UX design trends and best practices.  

**References**  
Available upon request."
98274,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile or Portfolio URL]  

---

**Objective**  
As a Junior UI/UX Designer, I am passionate about creating effective and aesthetically pleasing designs that improve the user experience. I offer full-cycle design services and specialize in landing pages, e-commerce, website redesign, and web services.

---

**Education**  
**UI-UX Design Course**  
[Institution Name]  
[Month, Year] - [Month, Year]  
Completed a 6-month course focused on UI/UX design principles and practices.

---

**Project Experience**  

**""Wish"" - Gift Delivery Mobile App**  
- Developed a flower and gift delivery app allowing users to select and schedule deliveries.  
- Conducted competitive analysis, created UX personas, designed user flows, wireframes, and UI designs.

**“Fitroom” - Corporate Website Redesign for a Fitness Studio**  
- Performed competitor analysis and established stylistic direction using selected references.  
- Built prototypes, optimized interfaces for mobile and tablet, and developed a UI kit.  
- Designed an attractive and modern user interface aimed at boosting sales.

**“VDOMA” - Ukrainian Couch-Surfing Web Service**  
- Created a web service to facilitate affordable stays in Ukraine and promote tourism.  
- Engaged in competitive analysis, developed UX personas, empathy maps, sitemaps, defined MVP, and user flow diagrams.  
- Designed tablet and mobile adaptations and conducted A/B testing to identify and correct design issues.

---

**Additional Experience**  
- Designed UI for a cleaning company service accounting table.  
- Created UI for a website sidebar.  
- Developed a team page with paddings based on AutoLayout.  
- Designed a user page for an online learning resource.  
- Created a dashboard for an ed-tech product aimed at school students.  
- Designed UI for the desktop start screen of a site using animation.  
- Developed a modal window for confirming money transfers between cards.  
- Created a dashboard for administrators to manage user rights.

---

**Skills**  
- UI/UX Design  
- Prototyping  
- Wireframing  
- User Research  
- A/B Testing  
- Responsive Design  
- Design Tools: [List relevant design tools you are proficient in, e.g., Figma, Adobe XD, Sketch]  

---

I am excited to bring my knowledge, skills, and passion to your team and help create designs that elevate business. Thank you for considering me for your next project!"
