,Modified_gpt-5.2_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelgpt-5.2
6043,"PROFESSIONAL SUMMARY  
Project management professional with 5 years of team management experience and expertise in project documentation. Completed IT Project Manager courses at Beetroot and SoftServe academies. Experienced in establishing team values and communication rules, resolving conflicts, and coordinating specialists across diverse domains. Strong understanding of end-to-end project management processes, including risk, scope, schedule, resource, and quality management, with the ability to balance stakeholder interests. Proficient in Agile principles with practical knowledge of Scrum and Kanban.

CORE SKILLS  
- Team leadership and people management  
- Project documentation creation  
- Stakeholder alignment and communication  
- Conflict resolution and team cohesion  
- Process setup and reporting routines  
- Risk, scope, schedule, resource, and quality management (PM fundamentals)  
- Agile principles; Scrum and Kanban (practical understanding)  
- Hiring and onboarding  
- Operations management

PROFESSIONAL EXPERIENCE  

Project Manager | SoftServe  
October 2021 – Present  

Service Manager | Veteran Hub Dnipro  
September 2020 – October 2020  
- Managed a cross-functional team of 6 professionals across psychological, legal, and career development disciplines  
- Led hiring and onboarding activities  
- Established work processes and reporting routines to support operational excellence  
- Monitored compliance with organizational standards in team operations  
- Facilitated conflict resolution and strengthened team cohesion  

Junior 3D Artist (Freelance, Remote)  
December 2019 – September 2020  
- Delivered low- and high-poly modeling, UV unwrapping, texturing, baking, and level design for client projects  

Hotel Manager | Mykulychyn  
November 2018 – November 2019  
- Managed hotel operations, reservations, and online presence across booking platforms  
- Oversaw guest communication, payment processing, and personnel management  
- Made strategic decisions related to hotel and property management  
- Improved Booking.com rating from 8.7 to 9.0  
- Contributed to revenue growth and increased client satisfaction  

Artillery Battery Control Platoon Commander | 4th Rapid Reaction Brigade of the National Guard of Ukraine, Gostomel  
November 2016 – November 2018  
- Led a 10-person team with varied ages and motivation levels while fostering strong team spirit  
- Performed precise mathematical calculations and geometric drawings under time-critical conditions  
- Maintained accountability for high-precision equipment valued up to €20,000 per unit, ensuring proper storage and compliance standards  
- Conducted logistics route analysis and assessed qualitative and quantitative characteristics of observation objects using multi-source data  

Hotel Manager (Remote)  
April 2015 – November 2016"
6078,"PROJECT MANAGER

PROFESSIONAL EXPERIENCE  
Project Manager, GameDev Industry  
- Collaborate with major GameDev companies worldwide  
- Manage projects for multiple well-known titles in the GameDev industry  
- Estimate scope of work based on references and briefs  
- Manage partner communication via email and calls  
- Lead projects and batches through the full lifecycle, from kick-off with partners to internal retrospectives  
- Create, assign, and allocate tasks to artist teams  
- Lead daily meetings with project teams  
- Coordinate with Legal and Finance to track legal documents and agreements, issue invoices, and monitor payments  
- Calculate planned project efficiency prior to start date or internal kick-off  
- Allocate and reallocate resources; identify and manage project risks  
- Maintain project efficiency at planned levels  
- Manage change requests by gathering information, preparing supporting arguments and proofs, and arranging meetings with department heads as needed  
- Execute project and batch closure, verify team tracking in Jira, run retrospectives, and issue final invoices  

PREFERENCES  
- GameDev industry only  
- Product company only  
- Healthy team environment and office culture"
6081,"PROFESSIONAL EXPERIENCE

Art Team Manager | 2021–Present
- Lead and manage a team of 7 artists; oversee meetings, reporting, evaluation systems, and team documentation
- Establish and maintain debugging and workflow processes; document operational procedures and team standards
- Define tasks, deliverables, and technical specifications; generate ideas and translate them into clear requirements
- Monitor execution, evaluate results, and provide structured feedback to ensure quality and consistency
- Track employee motivation and performance metrics; support performance improvement through reviews
- Partner with Art Lead on task formation, requirement definition, and deadline planning
- Conduct market research and competitive benchmarking
- Contribute to company-wide documentation as needed

Illustrator / Designer | 2018–2021
- Created custom Telegram sticker sets
- Designed icons and illustrations for social media platforms and apparel prints
- Produced magazine illustrations and presentation illustrations
- Developed posters for films, events, and other purposes
- Designed logos and stickers
- Produced advertising materials for social media channels
- Developed vector characters for animation projects

Internal & External Communications Manager | 2016–2018
- Developed employee instructions, regulations, motivational frameworks, and onboarding/training materials
- Coordinated across departments to improve outcomes and optimize collaboration
- Managed partner relationships; negotiated, executed, and updated contracts and monitored compliance
- Managed Wildberries and Ozone marketplace operations end to end, including coordinating shipments to Wildberries
- Worked with 1C, Bitrix, Wildberries platform, and Diadoc systems

Event Manager | 2015–2016
- Coordinated with cross-functional teams to prepare and deliver events across all phases
- Maintained client relationships and followed established business processes
- Created presentations, proposals, and cost estimates
- Provided full-cycle client support from initial contact through event completion


KEY ACHIEVEMENTS

Team Leadership & Management
- Built and managed a team of 7 employees; established debugging processes from inception
- Developed an employee assessment system for the Art Department
- Improved underperforming employee performance through structured performance reviews
- Created a foundational documentation suite used by new managers (workflow protocols, team frameworks, department structure guidelines, performance review templates, and screenshot guides)

Design & Illustration
- Created illustrations and design for ECO-school (Moscow)
- Developed illustrations for the Moscow space museum
- Produced illustrations for Gorynych restaurant
- Created illustrations for ISBC

Process Improvement & Sales
- Proposed service operation improvements that streamlined internal processes
- Developed work instructions and regulations for the key account department, accelerating and simplifying onboarding
- Resolved complex client situations while maintaining long-term relationships
- Consistently met and exceeded sales targets

Event Management
- Pioneered the company’s first ecological quest event format, increasing regular client deal value by over 200% versus previous events
- Managed comprehensive client support across all event phases to ensure high-quality execution
- Received multiple management commendations for event organization support and strong job performance


TOOLS & SYSTEMS
- 1C
- Bitrix
- Wildberries platform
- Diadoc"
6082,"PROFESSIONAL SUMMARY  
Results-driven Art Production Manager with extensive experience managing 2D/3D art pipelines in GameDev. Skilled in task and project management, workflow optimization, and art direction, with a proven record of leading teams of up to 30 people while maintaining quality standards and client satisfaction.

CORE COMPETENCIES  
Project & Task Management  
- Workload planning and coordination across 2D/3D art production pipelines  
- Creating, prioritizing, and delegating assignments  
- Quality control and priority management  
- Client communication and expectation alignment  
- Running retrospectives and driving follow-through

Agile Delivery (GameDev)  
- Practical experience with Scrum and Kanban frameworks

People Management & Team Development  
- Mentoring and onboarding artists and project managers  
- Conducting 1:1 meetings  
- Performance and skills reviews  
- Conflict resolution

Leadership  
- Managed teams of up to 30 people

Knowledge Management  
- Building and maintaining information bases  
- Systematizing knowledge and sharing best practices  
- Creating art guidelines and internal workflow documentation

Process Improvement  
- Analyzing production workflows and implementing optimizations

Art Direction  
- Style and quality control to ensure consistency and standards

PROFESSIONAL INTERESTS  
- Product companies or long-term projects  
- Continuous professional growth; fast learner  
- Interested in expanding experience in 3D, VFX, VR, video, and game production

INDUSTRY FOCUS  
GameDev (priority)"
6090,"NAME SURNAME  
City, Country | Phone | Email | LinkedIn

OBJECTIVE  
Seeking a Project Manager Assistant position to collaborate within a team environment, apply acquired knowledge and skills, continue learning and developing, and grow as a project management specialist.

SKILLS  
- Team collaboration  
- Quick learner  
- Project management methodologies: Agile (Scrum/Kanban) and Waterfall  
- Project documentation: proposals, terms of reference, project plans, risk management, WBS  

EDUCATION  
Kharkov National University of Economic  
Bachelor of Economics of Enterprise  

Master’s Degree in Project Management (in progress)

PROFESSIONAL DEVELOPMENT  
2017 — Project Manager Course, Source IT  
2016 — English Course, Green Forest  
2015 — English Course, Language Center  

WORK EXPERIENCE  
Assistant Manager — Electrical Goods Company  
- Attracted new clients  
- Received and processed orders  
- Invoiced customers for payment  
- Maintained records  
- Managed goods"
6127,"MOBILE PRODUCT MANAGER

PROFESSIONAL SUMMARY
Mobile Product Manager with 2 years of experience leading mobile product initiatives and optimizing app store performance. Skilled in App Store Optimization (ASO), Apple Search Ads (ASA), and incentive traffic strategies. Experienced in developing and executing ASO strategies aligned with business goals, user needs, and market trends.

CORE COMPETENCIES
- App Store Optimization (ASO)
- Apple Search Ads (ASA)
- Incentive Traffic Management
- Keyword Research & Metadata Optimization
- A/B Testing & Conversion Rate Optimization
- Mobile App Analytics & Data-Driven Decision-Making
- Cross-Functional Collaboration
- Agile Methodologies
- Project Management
- Product Strategy & Execution

SELECTED STRENGTHS
ASO & APP STORE PERFORMANCE
- Conduct keyword research and optimize metadata
- Run A/B tests to improve conversion rate optimization
- Drive improvements in organic downloads and app store rankings

PRODUCT ANALYTICS & DECISION-MAKING
- Apply mobile app analytics to identify trends and uncover insights
- Use data-driven decision-making to guide optimization efforts
- Optimize app performance based on analytical findings

COLLABORATION & DELIVERY
- Partner effectively with designers, developers, marketers, and data analysts
- Work within agile methodologies and project management tools to support efficient development cycles and timely releases"
6211,"EDUCATION

Project Management Specialization — University of Colorado Boulder (2023)  
Scrum Master Certification — Learn Quest (2023)  
Information Systems Specialization — University of Minnesota, Carlson School of Management (2023)  
Certificate in Marketing and Communications — International Business Management Institute, Berlin, Germany (2021)  
Master of Economy and Management (2020)  
Certificate in Leadership and Team Development — International Business Management Institute, Berlin, Germany (2020)  
Bachelor of Management (2017)


PROFESSIONAL EXPERIENCE

Assistant IT Project Manager  
• Drive business process optimization and automation by identifying solutions that improve efficiency  
• Analyze and translate business requirements into effective IT mechanisms  
• Implement end-to-end solutions within a proprietary ERP system  
• Collaborate with cross-functional departments to define project requirements and prioritize work within an agile framework  
• Partner with development teams to support smooth implementation and user adoption  
• Define and prioritize user stories based on customer requirements for development team execution  
• Identify and implement opportunities to streamline operations and maximize productivity  


Data Analyst (2+ years)  
• Managed large macroeconomic and financial datasets for multiple countries across public and private sectors, ensuring accuracy and quality under tight timelines  
• Communicated with data sources to maintain data integrity, identify patterns, and resolve client queries  
• Coordinated client interactions through a CRM system, managing requests and executing quality improvement initiatives  
• Used a project management system to troubleshoot and resolve issue tickets, delivering effective client solutions  
• Identified and implemented process enhancements through quality and technology improvement projects  
• Collaborated with IT teams to ensure the availability and accessibility of critical data sources"
6213,"[YOUR NAME]  
Kyiv, Ukraine | [Your Phone] | [Your Email] | LinkedIn: [Your LinkedIn]

PROFESSIONAL SUMMARY  
Project management professional with IT industry experience and a legal background. Trained in IT project management and experienced applying Scrum, Kanban, and Waterfall approaches. Skilled in coordinating cross-functional teams, managing stakeholder communications, and producing clear project documentation and operational instructions. Ukrainian and Russian (native); English (Upper-Intermediate, B2).

PROFESSIONAL EXPERIENCE  

Founder & Project Manager | Online Shop for Developmental Children’s Toys  
Kyiv, Ukraine | [Start Date] – Present  
- Lead and coordinate a cross-functional team of four (Power Query Developer, Designer, Sales Manager, Supply Manager).  
- Organize workflows, time management, and task tracking in Notion.  
- Execute the project roadmap and monitor delivery milestones.  
- Draft, maintain, and improve project documentation and operational instructions.  
- Resolve legal and compliance issues related to operations.

Project Management Intern | We Challenge & UNIT.City  
Kyiv, Ukraine | February 2023 – March 2023  
- Led and facilitated an intern team delivering an IT events organization project.  
- Prepared an Impact Map and Project Plan (WBS, timeline, resources).  
- Developed key project registers and matrices: Risk Register, Stakeholder Register, Stakeholder Map/Matrix, and RACI Matrix.  
- Created and executed a Stakeholder Communication Plan; maintained ongoing business communication.  
- Conducted research and analysis to support project objectives.

Legal Counsel | [Company Name]  
[Location] | [Dates] | 5+ years total experience  
- Supervised and coordinated a team of five legal counsels.  
- Managed deadlines and task execution using task management systems.  
- Created project plans; maintained documentation and registers; prepared reports.  
- Communicated with customers and stakeholders on legal matters.  
- Prepared contracts, invoices, and service acceptance acts.  
- Provided legal support within the IT industry.

EDUCATION  

Master’s Degree in Law | [University Name] | [Year]

Professional Development  
- IT Project Management | Creative&Tech Online Institute: Projector | Nov 2021 – Feb 2022  
- Become a Project Manager | LinkedIn Learning Path | Mar 2023  
- Fundamentals of Team and Project Management in IT | Lviv IT School (LITS) | 2021

SKILLS  

Project Management Tools: Notion, Trello, Jira, Miro, Slack, Confluence, Gantter, Gather, Google Meet  
Office Tools: Google Workspace (Docs, Sheets, Calendar), Microsoft Office, Windows  
Design Tools: Canva  
Methodologies: Waterfall, Scrum, Kanban, SDLC  

Project Artifacts & Techniques  
- Impact Map, WBS, Gantt Chart  
- Risk Register; Stakeholder Register; Stakeholder Map/Matrix; RACI Matrix  
- User Stories, User Story Map, Definition of Ready, Definition of Done  
- Task Estimation (Big/Small/Uncertain), Planning Poker, T-Shirt Sizes

CORE COMPETENCIES  
Team Leadership & Coordination | Stakeholder Communication & Management | Project Documentation & Reporting | Time & Task Management | Risk Management | Legal Document Preparation | Proactivity & Self-Organization | Multitasking & Fast Learning | Active Listening & Teamwork

LANGUAGES  
Ukrainian (Native) | Russian (Native) | English (Upper-Intermediate, B2)"
6214,"[YOUR NAME]  
Junior Project Manager  

PROFESSIONAL SUMMARY  
Aspiring Junior Project Manager with foundational knowledge of project management fundamentals, SDLC, Scrum, and Agile. Experienced in stakeholder management, customer relations, team coordination, and maintaining project documentation through prior managerial experience. Reliable, hard-working professional seeking to apply transferable skills in a junior project management role.  

EDUCATION & TRAINING  
Project Management Course — Completed  

SKILLS  
Project Management: Project Management Fundamentals, SDLC, Scrum, Agile  
Professional: Stakeholder Management, Customer Relations, Team Coordination, Project Documentation, Legal Document Preparation  
Technical: Windows, MS Office, Google Applications  

RELEVANT EXPERIENCE  
Manager | [Previous Company]  
- Managed customer and stakeholder relationships  
- Coordinated and organized team work to support day-to-day operations  
- Oversaw project management activities  
- Maintained comprehensive project documentation  
- Prepared various legal documents  

CORE STRENGTHS  
- Team collaboration and coordination  
- Strong work ethic and reliability  
- Customer and stakeholder engagement  
- Documentation and organizational skills"
6231,"PROFESSIONAL EXPERIENCE

Project Management Specialist  
Grant Thornton Ukraine — Kyiv  
Financial Consulting Department  
Company Services: Audit services, financial consulting, tax consulting, legal services, outsourcing

Responsibilities:
- Communicated with customers and contractors to support project delivery
- Maintained work documentation and project execution schedules
- Collected and analyzed information required for project implementation
- Provided administrative support for conducting work meetings
- Prepared and delivered reports

Completed Projects:
- Development of a system for monitoring the achievement of Sustainable Development Goals at Kyiv city level
- Anti-corruption policy audits
- Audits of financial statements

TECHNICAL SKILLS
- Microsoft Office
- 1C/BAS
- CRM Bitrix24
- Smart Tender

LANGUAGE PROFICIENCY
- English — Upper-Intermediate

CAREER OBJECTIVES
- Information Technology Manager
- Product Manager
- Assistant Team Manager
- Assistant Project Manager
- Project Office Coordinator

PROFESSIONAL ATTRIBUTES
Responsible, attentive, self-motivated, and hardworking professional with strong analytical knowledge. Proven team worker adaptable to challenging situations, with the ability to work effectively both independently and in collaborative environments."
6232,"PROFESSIONAL SUMMARY  
Attentive manager with strong communication skills and a proven ability to stay organized, manage multiple priorities, and perform under pressure. Quick learner pursuing a management career in the IT field.

KEY ACHIEVEMENTS  
• Delivered 20+ educational projects for 500+ members across multiple companies, including Boeing, Ubisoft, and Xpand.

CORE COMPETENCIES  
• Implement Agile and Scrum practices, including 1:1 meetings, daily stand-ups, and retrospectives; support team motivation  
• Apply Lean methodology to drive continuous improvement across projects  
• Contribute to project design and set-up discussions; understand drivers of project profitability and provide cost-saving solutions  
• Monitor, maintain, and enhance field operations performance to support timely and accurate delivery  
• Serve as a liaison among stakeholders on project-related matters  
• Communicate directly with customers to clarify requirements, manage expectations, and handle changes  
• Plan projects, track task progress, and prioritize team workload  
• Prepare, maintain, and organize project documentation  
• Provide regular project updates to stakeholders  
• Coordinate project launch schedules and related activities  
• Identify and manage project risks"
6233,"British Autoclub Assistance, Kyiv — IT Manager  
September 2018 – March 2019

- Gathered requirements for MVP development across web, mobile app, and CRM initiatives  
- Conducted black-box and grey-box testing, including acceptance testing, for CRM and mobile app features  
- Coordinated mobile app delivery with an international outsourced team, including backlog and sprint backlog formation, manual testing, and bug tracking  
- Supported 1C accounting system administration and assisted with new feature development  

Pride International LLC, Kyiv — Project Manager Assistant / QA Manager  
August 2017 – September 2018

- Facilitated sprint planning and supported product backlog management  
- Performed QA testing during sprint execution and supported final release testing  
- Supported defect triage and resolution for web and mobile applications  
- Assisted in removing team impediments through understanding of control and release processes  
- Tracked and communicated team velocity and sprint/release progress to stakeholders and management  
- Assisted in defining, deploying, and continuously improving product development processes  

MBM Partners, Kyiv — Head of Lead-Generation and Advertising Departments  
June 2015 – August 2017

- Managed and oversaw lead-generation and traffic management activities  
- Developed strategic guidelines and tactics for social media behavioral activity (SMM)  
- Planned and implemented social media marketing initiatives and provided recommendations  
- Created task briefs for script development to extract leads from social media channels  
- Implemented and maintained automation and control tools for social media content management"
6239,"PROFESSIONAL SUMMARY  
Results-driven ESL teacher/tutor with 4+ years of experience teaching children and adults online. TESOL/TEFL certified with advanced English proficiency and strong written and verbal communication skills. Demonstrated project management capabilities through planning instruction, tracking progress against goals, conducting retrospectives, and applying Agile methodologies. Experienced in customer support and CRM usage, with strong stakeholder communication, organization, and multitasking skills. Seeking to transition into a project management role leveraging customer service expertise and structured execution.

CERTIFICATIONS  
World TESOL Academy — 120-Hour TESOL/TEFL Certificate (Accredited by ACCREDITAT & The CPD Certification Service)

CORE COMPETENCIES  
• Project Management & Agile Methodology  
• Sprint Retrospectives & Goal Achievement (80%+ success rate)  
• Project Lifecycle & Metrics Understanding  
• Scrum, Kanban & Waterfall Methodologies  
• Stakeholder Communication & Client Relations  
• Problem-Solving & Multitasking  
• MS Office Suite  
• Responsibility & Punctuality  
• Copywriter & Videographer Workflow Knowledge  

PROFESSIONAL EXPERIENCE  

ESL Teacher/Tutor (Self-Employed) | 2018 – Present  
• Develop learning activities and integrate technology to diversify instruction for children and adults  
• Adapt lesson plans to individual needs to improve students’ reading, grammar, and speaking skills  
• Create monthly academic status reports based on in-depth student evaluations  
• Document student attendance and track progress against goals  
• Conduct speaking clubs and deliver Business English instruction  
• Manage individual and group online English lessons  
• Facilitate day-to-day meetings and create class management systems  
• Perform quarterly assessments of student progress and conduct retrospectives  
• Manage 20+ students while serving as teacher, mentor, manager, and advisor  

Customer Support Specialist (Internship) | August [Year]  
• Interacted with customers via text message interface and calls using Crisp  
• Resolved product and service issues to support customer satisfaction  
• Worked with the company CRM system  
• Utilized sales tools including Email Finder, Email Verifier, Email Warm-up, and Drip Campaigns  

Assistant SMM Manager | [Dates]  
Instagram  
• Created content and developed copy as a content creator and copywriter  

Cashier | [Dates]  
McDonald's, Germany  
• Worked as part of the student exchange program “Work and Travel in Germany”  

EDUCATION & ACTIVITIES  
• Participated in various student startups and volunteer rallies during university studies  
• Extensive volunteering experience throughout studentship  

CAREER OBJECTIVE  
Seeking a project manager role within a growing team offering a customer-focused, innovative, challenging, and fun learning environment to acquire and hone valuable skills while managing products and communicating with clients."
6240,"PROJECT MANAGER

PROFESSIONAL SUMMARY  
Project Manager with experience in client communication, stakeholder updates, resource planning, and team coordination. Focused on SDLC methodologies, team management, and project delivery.

PROFESSIONAL EXPERIENCE  
People Coordinator | Crunch | Current  
- Serve as the primary point of contact for clients regarding project information and updates  
- Provide regular project status updates to stakeholders via meetings, correspondence, and status trackers  
- Forecast, track, and manage resource planning  
- Identify project resource needs and partner with company managers to acquire resources  
- Build and support collaborative project teams  
- Promote effective individual and team performance  
- Track internal project team assignments  
- Monitor team and specialist states to identify and prevent risks, including dismissal, professional burnout, and conflicts  
- Inform and consult specialists on company social and remuneration policies  
- Organize and conduct team-building activities based on team needs and current state  

EDUCATION & CERTIFICATIONS  
Project Manager Profession | 10.0 | GeniusMarketing | May 2022  
Basic Course | Online Ukrainian School of Project Management by Denys Prylutskyi | July 2022  
Fundamentals of Team and Project Management in IT. Preparatory | Prometheus | October 2021  

PROFESSIONAL DEVELOPMENT  
- Actively attending webinars on SDLC methodologies, team management, and project management"
6254,"PROFESSIONAL SUMMARY  
Results-driven marketing and business development professional with experience in lead generation, social media management, sales, and account management. Background includes work with a website development company and a crypto marketing agency. Skilled in executing targeted marketing initiatives, coordinating across teams, and supporting business growth through structured planning and campaign execution.

PROFESSIONAL EXPERIENCE  

Crypto Marketing Agency  
Business Developer / SDR / Sales Manager / Account Manager  
- Managed multiple business development and client relationship functions  
- Executed sales strategies and account management initiatives  
- Supported client communication and coordination across multiple responsibilities  

Website Development Company  
Lead Generation Manager | 1 Year  
- Managed lead generation strategies and campaigns  
- Supported business growth through targeted marketing initiatives  

Social Media Manager  
- Managed social media accounts for multiple companies  
- Created and executed targeted advertising campaigns using Facebook Ads  
- Supported brand visibility and engagement across social platforms  

CORE COMPETENCIES  
- Lead Generation  
- Social Media Marketing  
- Business Development  
- Sales & Account Management  
- Strategic Planning  
- Framework Development  
- Team Collaboration  
- Project Coordination  

TECHNICAL SKILLS  
Marketing & Advertising: Facebook Ads, Instagram, LinkedIn, Expandi  
Project Management & Collaboration: Miro, Asana, Figma  
CRM & Productivity: Pipe Drive, Google Meet, Google Sheets, Google Docs  

PROFESSIONAL STRENGTHS  
- Interpersonal and communication skills  
- Creative ideation and strategic thinking  
- Time management and planning  
- Eager to learn and acquire new skills  
- Collaborative team player"
6255,"DELIVERY COORDINATOR | ERROR MANAGER | SENIOR TEST ENGINEER

Results-driven Delivery Coordinator and Error Manager with 8 years of experience in automotive embedded systems projects. Expertise in coordinating deliverables, managing error resolution and quality processes, and leading test planning and execution within the automotive industry. Experienced with Jira and Confluence for tracking and documentation.

PROFESSIONAL EXPERIENCE

Senior Test Engineer | Delivery Coordinator | Error Manager  
Automotive Embedded Systems Projects | 8 years

- Coordinate project deliveries for automotive embedded systems projects  
- Manage error resolution processes and quality-related activities  
- Lead test planning and test execution for automotive systems  
- Facilitate customer communication and manage stakeholder expectations  
- Organize and coordinate team activities to support project success  
- Use Jira and Confluence for project tracking, reporting, and documentation  

CORE COMPETENCIES

- Automotive Embedded Systems Testing  
- Delivery Coordination & Project Management  
- Error Management & Quality Assurance  
- Test Planning & Strategy Development  
- Customer Communication & Stakeholder Management  
- Team Organization & Leadership  
- Jira & Confluence  

EDUCATION

Master’s Degree in Automobile/Automotive Mechanics Technology  
National Transport University

PROFESSIONAL OBJECTIVE

Seeking opportunities in automotive projects to apply 8 years of experience in automotive embedded systems, delivery coordination, error management, and test engineering."
6342,"MROWKI-UA — Consulting, HR | 2021–2022  
Automation Project Manager  
- Managed implementation of automation for company processes  
- Led website development for automation components  
- Developed messenger bots to streamline communication  

INTERRA — Online School | 2020–2022  
www.interra.bz  
Automation Project Manager / Business Analyst  
- Analyzed business processes and recommended transformations  
- Implemented automation solutions in Bitrix  
- Developed analytics dashboards in Power BI to support cost savings, improve efficiency, and enhance service quality  

RUBLEVFAMILY — Quest Franchise | 2018–2022  
fr.fortfamily.ru  
Automation Project Manager  
- Implemented automation for the franchise sales department  
- Scaled automation solutions to sales departments of all franchise partners  
- Established marketing analytics systems  

BIZRAISE — Marketing Agency | 2017–2018  
bizraise.pro  
Automation Project Manager / Business Analyst  
- Specialized in business process analysis and automation across diverse business sectors  
- Assessed current client processes, identified requirements and challenges  
- Designed automation solutions to address business problems"
7630,"MARKETING SPECIALIST

CORE COMPETENCIES
Market Research • Social Media Marketing • Email Marketing • Paid Media (Google Ads, Instagram Ads, Facebook Ads) • SEO • Backlink Strategy • Content Creation • Contractor Management

PROFESSIONAL SKILLS
People Management & Leadership
- Coordinate cross-functional teams and stakeholders
- Design simple, transparent operational systems
- Manage conflicts and resolve high-pressure situations
- Navigate organizational hierarchies to achieve mutually beneficial outcomes

Technical Proficiencies
Marketing & Analytics Platforms
- Google Ads
- Google Ads Editor
- Google Tag Manager
- Google Analytics
- Facebook Business Manager
- LinkedIn
- Mailchimp

SEO & Research Tools
- Ahrefs
- Serpstat
- SimilarWeb

Web & Design
- Tilda
- Wix
- Bitrix
- Adobe Photoshop
- Adobe Illustrator

Technical Skills
- HTML (basic)
- SQL (basic)
- Excel
- PowerPoint

LANGUAGES
Native/Fluent
- Ukrainian
- Russian (C2)

Advanced
- English (C1)
- German (C1)

Elementary
- Spanish (A2)
- French (A2) — in progress

PROFESSIONAL BOUNDARIES
Not available for opportunities in gaming, gambling, dating, or fraud sectors."
7654,"PROFESSIONAL SUMMARY  
Results-driven telecommunications professional with 14 years of B2B customer service experience specializing in network coverage solutions and business process development. Experienced in analytical problem-solving, stakeholder negotiation, and cross-functional coordination across complex technical requests. Skilled in business case development, financial analysis (including payback calculations), and contract-related negotiations involving multiple parties. Committed to service excellence that supports sales effectiveness and long-term customer relationships.

CORE COMPETENCIES  
- B2B Customer Service & Sales Support  
- Network Coverage Request Management  
- Network Coverage Analysis  
- Business Process Development & Implementation  
- Business Case Development (Base Station Construction)  
- Stakeholder Management & Negotiation  
- Contract & Commercial Negotiation (Terms, Rates, Specifications)  
- Financial Analysis: Payback Calculations, Revenue Projections, Cost Optimization  
- Cross-functional Project Coordination (Multi-party, End-to-End)  
- Technical Solutions Optimization  
- Training & Presentation Delivery  
- Content Marketing & Copywriting  
- English Language Proficiency  

PROFESSIONAL EXPERIENCE  

Telecommunications Industry Professional | 14 years  

Network Coverage Request Specialist | Current Role  
- Manage network coverage requests for corporate B2B customers to support sales effectiveness and customer retention through service excellence  
- Launch and implement business processes for handling B2B network coverage requests  
- Develop business cases for base station construction projects aligned with B2B customer needs  
- Coordinate end-to-end project chains across colleagues, contractors, customers, landlords, and engineers  
- Perform financial analysis including payback calculations, revenue projections, and cost optimization  
- Negotiate equipment placement terms, rental rates, and technical specifications with property owners and customers  
- Communicate radiofrequency radiation information and regulatory compliance requirements to stakeholders  
- Optimize technical solutions to balance customer requirements with operational efficiency  
- Assess service relevance and alignment with client business objectives  
- Negotiate effectively with management at multiple organizational levels  
- Deliver training courses on the network coverage customer request lifecycle using interactive presentations with audience engagement, real-world examples, supporting data, and visual documentation  

B2B Sales Customer Service Division | Early Career  
- Built foundational analytical, managerial, and negotiation skills  
- Developed understanding of B2B customer service operations  

PROFESSIONAL DEVELOPMENT  
English Language Training | March 2018 – Present  

Content Marketing & Copywriting Course | December 2020  
- Coursework included client acquisition strategies and freelance business development  

PROFESSIONAL APPROACH  
- Practice openness and honesty in business interactions  
- Commit to continuous personal and professional learning  
- Prioritize service quality as the foundation for sustainable customer relationships  

CAREER OBJECTIVE  
Targeting B2B Sales Manager or Project Manager roles to apply telecommunications expertise, analytical capability, and relationship management skills in a growth-oriented organization with competitive compensation, high corporate standards, and opportunities to use English language proficiency."
8890,"BUSINESS ANALYST / PRODUCT MANAGER

CORE COMPETENCIES

Product Management & Business Analysis
- Business analysis and requirements management
- Product management and product ownership
- Agile delivery (Scrum, Agile, Kanban)
- Quality assurance and testing
- IT process optimization

Technical Skills
- HTML5, CSS, JavaScript
- Python
- UML modeling
- Enterprise systems: ERP, CRM

Project Management & Tools
- Jira, Confluence, Redmine
- Rational Unified Process (RUP)
- Knowledge base management
- UI/UX design principles

PROFESSIONAL PREFERENCES
- Open to opportunities outside of Forex, gambling, alcohol, and tobacco industries."
8916,"PROFESSIONAL SUMMARY  
Results-driven IT professional with 10 years of experience across government systems implementation, broadcasting technology solutions, and IT distribution management. Strong track record of supporting and delivering complex technical projects for governmental organizations and commercial enterprises.

CORE COMPETENCIES  
• Project Management & Delivery  
• Government Systems Implementation  
• Broadcasting Technology Solutions  
• Business Development  
• Channel Management  
• IT Distribution  

PROFESSIONAL EXPERIENCE  

Business Development Manager & Channel Manager | IT Distribution  
5 years  
• Managed business development activities within the IT distribution sector  
• Managed channel operations, supporting partnerships and revenue growth  
• Built and maintained strategic relationships across the distribution channel  

Project Manager & IT Consultant | Government & Broadcasting Sectors  
Multiple years  
• Participated in implementation of a card system for the Central Bank of Azerbaijan  
• Contributed to deployment of an Inventory System for the Treasury of the Azerbaijan Republic  
• Managed online TV system projects for the broadcasting industry  

KEY ACHIEVEMENTS  
• Contributed to multiple governmental infrastructure projects in Azerbaijan  
• Delivered technology solutions across banking, public finance, and broadcasting  
• Supported partnership development and relationship management in IT distribution channels"
