,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini
136,"Розробка лендінгів з розробниками, ТЗ, корекція, слідкування виконання всіх пунктів. Великий досвід з модерацією та контент наповненням товарів з різних ніш, та б.у. товарів. Гарне володіння управлінням сайту.

Досвід роботи 

Legion Marketing  
07.2023 — по поточний час  
Досягнення:  
Планування місяця/тижня, контроль успішності та KPI  
Згуртування, мотивація підлеглих  
Допомога співробітникам у складних ситуаціях  
Спілкування, узгодження ТЗ/бріфування з існуючими клієнтами  
Супровід по наданню послуг  

Project Manager  
«Ломбард 24» «Афинаж ЛТД и компания»  
12.2022 — 07.2023  
Досягнення:  
Аудит корпоративних магазинів (5шт) на майданчику пром.юа, аналіз вивантаження товарів з 1С та їхня автоматизація, поліпшення видачі в пошуку на платформі.  
Створення лендінгів з різних ніш з 0, від ідеї до реалізації та налаштування реклами.  
Збір конверсії, поліпшення результатів  
Приклад: austock.com.ua\goldelement.com.ua\goldbuyer.com.ua  
Работа над сайтом-майданчиком з 0 (аналог розетки), SEO, контент, реклама, функціонал і оформлення.  
Розробка партнерської програми для трафіку.  
Робота з Serpstat: аналіз конкурентів, PPC ключових слів і оголошень.  

Контент-Модератор удаленно  
BOO  
1 рік 2 місяці  
Досягнення:  
Модерування оголошень постачальників, вся техніка, телефони, годинники, міксери, перфоратори, кавоварки, ноутбуки, планшети тощо. Оклад на день від 280 опублікованих позицій, пошук моделі та характеристик за фото, якщо їх не зазначено, відправлення на доопрацювання відповідно до правил компанії.  

Linkbuilder  
Фриланс удаленно  
Досягнення:  
Крауд маркетинг, аутріч, робота з Ahrefs, Majestic, Check Trust.  
Робота з біржами посилань.  
Підбір донорів під різні СНД проєкти.  
Створення ТЗ копірайтерам. Робота з Google інструментами.  

Главный администратор сайта  
Apsen Diamond  
11 місяців  
Досягнення:  
Заповнення контентом: картки товарів (всі товарні лоти), SEO ключі, заголовки h1, написання новин, коригування інформативних сторінок, створення всіх банерів (Adobe Ph), оригінальні підкреслюють заголовки категорій, прив'язка товару за кольором.  
Оновлений дизайн Інстаграм за погодженням з директором (inst:apsen_diamond)  

Обов'язки як Асистент Директора:  
Консультація (як онлайн так і під час зустрічі) щодо планів робіт (Програміст, SEO, PPC, Контент, SMM), затвердження бюджетів, рішень, змін і подальших дій.  
Перевірка виконуваних робіт (Програміст, SEO, PPC, Контент, SMM), аналіз Google Ads \ Analytics, Fb Ads.  
Тільки віддалена робота, в крайньому випадку, якщо проект цікавий, можливий гібридний формат. (Знайомство та стажування можливе в офісі)."
137,"Продаж, планування, контроль та видача сотень індивідуальних замовлень кенді барів та тортів, з них десятки проєктів з технологіями, які раніше не використовувалися. Запровадження нових технологій для досягнення wow-ефекту: металеві та акрилові конструкції, LED та неонові підсвітки, 3D друк. 

Досвід роботи більше 4 років на посаді адміністратора ресторану-кондитерської, тісна співпраця зі сферою event-management, перемовини та продаж продукту (Candy bar and cake), вивчення вимог замовника, планування та розробка унікальних проєктів тортів в Україні (антигравітаційні торти, торти гіганти, торти з неоновими підсвітками), використання графічних редакторів для візуалізації проєкту (Figma, CorelDraw, SketchUp), організація роботи команди, робота з посередниками та швидке вивчення специфіки їх діяльності, постійний контроль якості роботи та дотримання термінів, робота з ризиками, ведення фінансового обліку проєкту, організація логістики."
138,"ОФІСНА НЕРУХОМІСТЬ  
1. Самостійно впровадив на минулій роботі СRМ систему (АmoCRM), що сприяла поліпшенню організації роботи та ефективному веденню клієнтської бази. Ця інтеграція дозволила покращити організацію та управління проектами, спростити комунікацію та спільну роботу між внутрішніми відділами та стейкхолдерами.  
2. Протягом першого року роботи уклав угоди з ОРЕНДИ офісної нерухомості загальною площею приблизно 3000 квадратних метрів.  
3. Уклав 2 угоди з ПРОДАЖУ офісної нерухомості, загальною площею 700м2 та 300м2. Варто відзначити, що до мого приходу в компанії не було укладено жодної угоди з продажу, а лише здійснювалася оренда.  

КОУЧІНГ  
1. Забезпечив позитивні зміни в житті та кар'єрному розвитку 8 клієнтів по довгостроковій програмі «Наставництво».  
2. Провів 35 індивідуальних консультацій клієнтів щодо впровадження стратегій, розвитку навичок та підвищення мотивації для особистого та кар'єрного розвитку.  
3. Ефективно керував своїм часом та ресурсами для досягнення балансу між роботою та особистим життям клієнтів. Допомагав їм встановлювати пріоритети, планувати завдання та використовувати ефективні стратегії управління часом.  
4. Сприяв розвитку навичок управління стресом та підтримував клієнтів у складних ситуаціях, допомагаючи їм знаходити засоби для зняття напруги та відновлення емоційного благополуччя.  
5. Підтримував створення мотиваційного середовища для клієнтів, спонукаючи їх до саморозвитку та постійного удосконалення. Впроваджував техніки мотивації та стимулювання, що сприяли досягненню поставлених цілей.  
6. Без жодних грошових залучень розкрутив свій професійний блог в Instagram до 2229 підписників, TikTok до 27,4 тис. підписників, Telegram канал до 1513 підписників.  

ДОСВІД РОБОТИ В КОУЧІНГУ  
Обовʼязки:  
1. Розробка та управління індивідуальними та груповими коучинговими програмами, спрямованими на досягнення особистих та професійних цілей клієнтів.  
2. Визначення потреб та очікувань клієнтів, аналіз їх ситуації та встановлення конкретних цілей.  
3. Забезпечення високого рівня співпраці з клієнтами, забезпечення підтримки, мотивації та обліку їх прогресу.  
4. Підтримка клієнтів у процесі виявлення та розвитку їх потенціалу, вирішення проблем та перешкод на шляху до досягнення цілей.  
5. Здійснення систематичного оцінювання прогресу та досягнень клієнтів, надання конструктивного фідбеку та спрямовування їх на подальшу саморефлексію та розвиток.  
6. Ведення особистого блогу для просування себе як лайф коуча.  
7. Розробка стратегії просування особистого бренду як лайф коуча через блог, залучення нових клієнтів та збільшення своєї репутації в галузі.  

ДОСВІД РОБОТИ В ОФІСНІЙ НЕРУХОМОСТІ  
Обов'язки:  
1. Комунікація з різними стейкхолдерами, включаючи клієнтів, власників бізнес-центрів, ріелторів, юристів та інших фахівців, для забезпечення успішної реалізації проєктів.  
2. Координація внутрішніх процесів та комунікація з внутрішніми відділами, такими як маркетинг, фінанси, юристи, щоб забезпечити вчасне та ефективне виконання завдань.  
3. Реалізація проєктів оренди офісних приміщень з використанням Agile методології, що дозволило досягти більшої гнучкості та швидкості в реалізації проєктів.  
4. Планування та контроль бюджету проєктів, враховуючи фінансові обмеження та цілі замовника.  
5. Аналіз ринку нерухомості та збір даних для підготовки звітів, які допоможуть у прийнятті стратегічних рішень щодо проєктів.  
6. Ведення системи CRM. Це дозволило зберігати та організовувати дані про клієнтів, спілкуватися з ними та ефективно виконувати завдання.  
7. Самостійно впровадив у компанію СRМ систему (АmoCRM), що сприяла поліпшенню організації роботи та ефективному веденню клієнтської бази. Ця інтеграція дозволила покращити організацію та управління проектами, спростити комунікацію та спільну роботу між внутрішніми відділами та стейкхолдерами.  

Я дуже зацікавлений перейти до сфери інформаційних технологій, оскільки мені подобаються сучасні технології та їх вплив на наше життя. Я хотів би розвиватися в галузі управління проектами як Assistant Project Manager або Junior Project Manager. Я готовий почати з низького рівня, оскільки хочу навчитися більше про роботу в цій сфері і отримати досвід під керівництвом більш досвідчених людей, сприяючи інноваційному зростанню компанії.  

Я отримав базові знання з управління проектами та вивчаю технологічні тенденції в ІТ-галузі. Зацікавлений у можливості приєднатися до динамічної та прогресивної організації, де мої навички та потенціал можуть бути розкриті і використані на повну силу."
139,"Подолала дистанцію в 10 км (попри те, що не дуже люблю біг). Організувала сортування сміття вдома, бо переймаюся ефективним використанням вторсировини та екологію загалом. Допомагаю збору коштів Благодійної організації ""Місто Добра"", що піклується про дітей та сім'ї в біді.

Досвід роботи в органах державної влади 10 років. Робота в команді по впровадженню системи якості ISO 9001:2000, адміністування сайту, ведення інвестиційних проектів, проведення реєстраційних дій для фізичних осіб-підприємців та юридичних осіб, робота з профільною документацією щодо отримання дозвільних документів.

Додатково вивчала Agile, Scrum, курс IMPM. Маю досвід спільних закупівель товарів з США, реалізацію їх через Instagram, Olx, Shafa. Наразі бачу себе на позиції assistant/junior Project Manager, з можливістю рости і розвиватися у команді, планую вести окремий проект через рік."
140,"Досвід роботи в управлінні проектами з розробки сайтів (4 роки) та помічником менеджера проектів. Основні проекти - розробка веб-сайтів. В команді 3+ спеціалістів, паралельно вела від 3 проектів одночасно. Координую проект протягом життєвого циклу, готую проектну документацію. Працюю в CRM Bitrix24, також мала досвід роботи з Worksection."
141,"Один з проектів став лауреатом премії «Людина року - 2017»  
Досвід роботи координатором будівельних проектів (квартальна забудова)  
Професійний ріст. Складні завдання. Неформальна обстановка."
142,"1. Здатність до швидкого освоєння нової інформації та активного навчання.  
2. Здатність швидко адаптуватися до нових задач, вимог та робочих процесів.  
3. Здатність працювати самостійно і взяти на себе ініціативу.  

Досвід роботи на теперішній позиції:  

- Виконання завдань з оформлення страхових актів.  
- Комунікація з клієнтами через різні канали, такі як Bitrix24, Viber, електронна пошта та телефон.  
- Врегулювання особистих видів страхування, зокрема фінансові ризики.  
- Сплата та оформлення рахунків за допомогою 1С ОперКонтур.  
- Взаємодія з партнерами.  
- Забезпечення документообігу, включаючи своєчасну обробку паперових документів.  

Навчання і професійний розвиток: Бажання отримувати навички та знання в сфері управління проектами, а також можливості для особистого і професійного зростання.  

Комунікація і співпраця: Здатність ефективно спілкуватися з різними зацікавленими сторонами, включаючи членів команди, клієнтів та постачальників. Бажання працювати в команді і досягати спільних цілей.  

Організаційні навички: Здатність планувати, організовувати та керувати проектами з дотриманням термінів і бюджету.  

Лідерські якості: Зацікавленість у виконанні ролі лідера в команді та здатність стимулювати та мотивувати інших досягати успіху.  

Знання проектного менеджменту: Бажання отримати розуміння основних принципів, методологій та інструментів проектного менеджменту, таких як SCRUM, Agile, тощо."
143,"Досвід роботи у сфері IT Project Management - 1 рік. До початку повномасштабної війни мав досвід роботи з UI/UX проектами, переважно у Figma. Останнім часом працював також у аутсорс-проектах геймдеву, займаючись 3D моделюванням та 2D дизайном."
144,"На всіх робочих позиціях завжди проявляла себе як одна з кращих. Два рази йшла на підвищення. На курсі, у своїй підгрупі, також була лідером і одною з кращих. Швидко навчаюсь і можу розібратися майже з усіма темами. Також маю сильні особисті скілли.

Маю досвід роботи як аккаунт менеджер та менеджер з продажів. Цей досвід позитивно відобразиться на позиції проджект менеджера. Знання з проджект менеджменту (практичні та теоретичні) здобувала на курсі за даним напрямом.

Хочу отримати практичні скілли та розпочати свій шлях в ІТ."
145,"Амбіційна, енергійна, маю велике бажання розвитку у сфері Project Management. Закінчила з відзнакою курси у Hillel IT School. Дуже імпонує робота PM-а, швидко навчаюсь та відповідально ставлюсь до поставленої задачі. Відповідально ставлюсь до роботи, добре комунікую з новим колективом, енергійна та цілеспрямована."
146,"Розробка та проведення системи навчання та адаптації персоналу, на постійній основі проведення проектів з навчання персоналу та впровадження онлайн платформи для цих цілей. Достатньо обширний досвід, прописаний в резюме. Пройшла навчання в Genius Space у 2022 році і бажаю розвиватися в сфері Project Management. На попередній посаді проводила проектну діяльність у сфері розробки та впровадження системи навчання персоналу. Цікавить розвиток на посаді РМ."
147,"Пройшов курси від Hilel для початківця Project Manager. Має досвід роботи в колективі. Кілька місяців був стажером у сфері QA. Також є досвід спілкування з іноземцями, оскільки працював у Німеччині 6 місяців. Досвіду роботи у сфері Project Management немає, готовий працювати за досвід і практику."
148,"Побудував будівельну компанію з нуля.  
Працюю майже автономно.  
Є досвід роботи (6 років) в управлінні проектами в будівельній сфері: від проектування, побудови графіка робіт (діаграма Ганта), бюджету, постачання, ведення переговорів з клієнтом до здачі об'єкта.  
Цікавить робота, що дозволить розвиватися."
149,"життєзабезпечення офісу  
співпраця з постачальниками  
закупівля обладнання/витратних матеріалів  
ведення документації  
контроль справності офісного обладнання  
контроль якості роботи персоналу  
ведення фінансової звітності  
організація корпоративних заходів  
відкриття та запуск філіалу  
ведення графіку роботи спеціалістів  
ведення соціальних мереж компанії  
допомога в організації відряджень  
співпраця з громадськими організаціями  
організація виїзних заходів  "
150,"З 2017 року працюю в fashion e-commerce. Три останні роки займаюся напрямком Маркетплейс (B2C, dropshipping). Основні обов'язки включають операційну частину проєкту (аналітика, взаєморозрахунки з партнерами, участь у зустрічах з постачальниками та логістичними партнерами). Також супроводжую IT-проєкти, необхідні для розвитку Маркетплейс. Маю досвід у комунікації з IT та роботі в Jira та Confluence. Впевнений користувач Excel. Наразі прагну розвиватися в напрямку Project manager."
151,"Ім'я Прізвище  
Контактна інформація  
Електронна пошта | Телефон | LinkedIn  

Мета  
Змінити вектор кар'єри з технічного на проектний, використовуючи багаторічний досвід у технічній сфері для ефективного управління проектами та командною взаємодією.

Досвід роботи  

**Інженер інфраструктури**  
[Назва компанії], [Місто]  
2018 - до сьогодні  
- Реалізація проекту зі створення хмарної інфраструктури разом з командою.  
- Участь у переведенні компанії на віддалену роботу під час початку карантину.  
- Налаштування фізичного обладнання та створення внутрішньої мережі для компанії та замовників.  
- Написання скриптів для розмов з клієнтами та аналіз ринку конкурентів і потенційних партнерів.  
- Створення графіків роботи команди та розподіл задач у технічній структурі.  
- Адміністрування додаткових сервісів у мережі GSM.  

**Оператор диспетчерського центру**  
[Назва компанії], [Місто]  
[Роки роботи]  
- Вирішення конфліктних ситуацій з клієнтами та аналіз їхніх потреб.  

Освіта та курси  
- **DMINISTERING SYSTEM CENTER CONFIGURATION MANAGER**  
  Microsoft Official Course 20703-1  

- **ROUTING AND SWITCHING ESSENTIALS**  
  CCNA Routing and Switching  

- **JUNIOR PROJECT MANAGER**  
  Laba  

- **Product-менеджер**  
  Laba  "
152,"Досвід роботи:

Junior Project Manager у компанії ArchiCGI (червень - вересень 2023)
- Керування кількома мультизадачними проєктами одночасно
- Управління командою та розподіл людських ресурсів
- Розбиття проєкту на задачі та координація виконання

Стажування на позиції ERP-консультанта у компанії Innoware
- Вивчення принципів роботи з NAV Microsoft Dynamics
- Успішне завершення стажування

Освіта:

Магістратура, КНУ імені Тараса Шевченка, спеціальність ""Системний аналіз""
Бакалаврат, КНУ імені Тараса Шевченка, спеціальність ""Системний аналіз"""
153,"Здобув освіту в найстарішому та одному з найпрестижніших вишів німецькомовного простору (Віденський Університет) на німецькій мові. Займався організаційними питаннями в сфері гастрономії на підробітках під час здобуття вищої освіти у Віденському Університеті в Австрії. В навчанні регулярно брав на себе відповідальність за організацію наукових проектів в групах з колегами. Більше року цікавлюся та вивчаю веб-розробку.

Шукаю професійного розвитку і досвіду в IT, можливостей працювати над цікавими проектами та здобувати нові знання. Очікую підтримувати проекти від стадії зародження до досягнення запланованих результатів. Забезпечувати прозору комунікацію з замовниками та командою. Застосовувати навички, інструменти та методології для своєчасного завершення проекту в рамках запланованого бюджету."
154,"Я приймала участь у величезній кількості благодійних проектів, працювала, виконуючи кардинально різні завдання від організації заходу на 2000 людей, включаючи молодь з інвалідністю, до цікавих подорожей за кордон. Я вільно спілкуюсь англійською, французькою, українською та російською, а також вивчаю іспанську. Знання мов можу підтвердити наявністю сертифікатів міжнародного зразка. Моя спеціальність - це міжнародне право. Я також маю досвід юридичних консультацій Благодійного фонду та складання нормативно-правових документів. На даний момент навчаюсь в Київському Політехнічному Інституті на Журналіста. Маю досвід роботи фітнес-тренером та дієтологом, що зараз є частиною мого хобі.

- Займалась науковою діяльністю, досліджуючи кіберзлочинності в Україні та за її межами (аспект захисту прав людини).
- Займалась втіленням благочинного проекту ""Несемо віру"", що був створений для соціалізації дітей соціально вразливих категорій.
- Була організатором фестивалів-рекордів, серед яких: ""Казкові мрії"".
- Засновник ГО ""Школа волонтера"".

Маю багато креативних ідей, бажання працювати, творити, спілкуватися з пресою, ЗМІ. Від себе обіцяю швидке навчання та шалену відповідальність. Хотіла б роботу, де також могла б втілювати знання 2 мов (англійська, французька), лідерські якості та любов до створення нового, швидку адаптацію і комунікабельність."
155,"Займалася розробкою проєктної документації у програмі AutoCAD на зовнішнє електропостачання енергетичних об'єктів (Waterfall). Проводила розрахунки нормального режиму роботи Центральної енергетичної системи та звітувала про отримані результати. Займалася збором інформації щодо планування та проведення заходів з нагляду за роботою енергетичних об'єктів та споживання електричної енергії. Звітувала про отримані результати перед керівництвом. Впевнений користувач ПК та офісних програм. Хочу більшість часу працювати дистанційно. Шукаю можливість проявити себе, навчитися нового і вирости професійно."
156,"Займаю посаду Project Coordinator в IT компанії. Допомагаю внутрішнім командам із плануванням роботи, бізнес-листуванням англійською мовою, уточненням завдань; слідкую за ходом проєкту та допомагаю вирішувати питання, що виникають."
157,"Закінчила онлайн-інститут Projector за напрямком IT project management, маю 2 вищі освіти рівня магістр. Маю успішний досвід керівництва у великих командах (до 40 осіб). Реалізовувала масштабні проекти в державному секторі. Чудово вмію працювати з людьми, швидко вчусь всьому новому."
158,"Знаю англійську на високому рівні. Закінчила курси PM на першому місці серед групи. Наразі мої фахівці займають провідні місця в проєкті протягом останнього року, але я бажаю йти далі та розвивати свої навички. Закінчувала курси PM в Hillel school. Зробила зі старту проєкт вебсайту для ІТ компанії. Зробила всі підготовчі документи, розписала цикли та допоміжні документи, оформлювала етапи. Робила варфрейми, в кінці оформила все в презентацію. Наразі працюю на позиції супервайзера. В мої обов'язки входить постановка завдань, контроль за їх виконанням для співробітників контактного центру. В підпорядкуванні наразі знаходиться 20 фахівців. Також в мої обов'язки входить їх навчання та опрацювання помилок. Бажаю продовжувати розвиватися в сфері проєктного менеджменту або бізнес аналізу."
159,"- Замовлення поліграфічної та сувенірної продукції;
- Контроль термінів відвантаження та якості продукції;
- Організація зйомок: пошук моделей, візажиста, локації, письмові домовленості, організація інших додаткових елементів, контроль логістики одягу, робота безпосередньо на самій зйомці, як організатора та дотримання бюджетів;
- Робота з 1С;
- Виконання інших завдань від керівника;
- Планування зустрічей та ведення робочого календаря Директора, а також логістика;
- Ведення соц. мереж компанії (Facebook, Instagram, LinkedIn);
- Обробка великих масивів інформації;
- Підготовка презентацій, вакансій, офферів;
- Пошук підрядників та перевірка на надійність;
- Ведення та контроль документообігу;
- Ділова комунікація на онлайн та офлайн зустрічах;
- Службові доручення керівника;
- Офіс-менеджмент."
160,"За освітою - юрист. 8 років працюю в освітній сфері - кандидат юридичних наук, асистент кафедри адміністративного та інформаційного права. Проводжу лекції та практичні заняття для студентів бакалаврів та магістрів з адміністративного, транспортного та інформаційного права. Автор більше 15 наукових статей, опублікованих в українських та закордонних виданнях. Закінчила курс Project management в IT від Beetrtoot Academy, тривалістю 4 місяці, готова застосовувати отримані знання на практиці."
161,"**Резюме**

**Освіта:** Юрист  
**Загальний досвід роботи:** 5 років  
**Досвід роботи в компанії проектного типу:** 1,5 роки  
**Курси:** IT Project Management (WEB Academy)  

**Досвід роботи:**

Останні півтора роки працювала в юридичній компанії, де за кожним юристом був закріплений клієнт та проект. У компанії були присутні всі традиційні стадії проектного менеджменту: ініціація, планування, виконання, моніторинг та контроль, завершення.

**Функціонал за стадіями:**

**(0) Стадія пресейл:**
- Аналіз юридичного ринку та пошук потенційно нових проектів
- Підготовка пітчей
- Комунікація з потенційними клієнтами та роз'яснення
- Підготовка комерційної пропозиції

**1. Стадія ініціація:**
- Визначення дорожньої карти по проекту та строків виконання
- Визначення відповідальних осіб
- Планування роботи та узгодження з виконавцями

**2/3/4. Стадія виконання/моніторинг/контроль:**
- Розробка стратегії по проекту
- Постійна комунікація з клієнтами
- Уточнення деталей
- Внесення змін та пропозицій
- Виправлення помилок молодших юристів

**5. Стадія завершення:**
- Подача документу до відповідного органу
- Відповідь на запити
- Отримання встановленого результату

Після року роботи на посаді юриста була підвищена до позиції Старшого юриста, де, окрім проектної роботи та керування молодшими юристами, займалась іншою організаційною діяльністю компанії: написання прес-релізів для сайту, відвідування заходів, спілкування з партнерами тощо.

На сьогодні прагну розвиватись як проектний менеджер в традиційних та сталих умовах. Прийняла рішення залишити позицію Старшого юриста в юридичній компанії та знайти роботу, де зможу зосередитись на розвитку в цій професії.

Швидко навчаюсь, готова до будь-якого челленджу."
162,"Менеджер з управління проектами з 6-річним досвідом роботи в сфері логістики. Керівник команди сейлз менеджерів. Впровадження нових проектів на підприємстві, робота з СРМ системою MSD360. Швидко навчаюся новому, добре знаходжу спільну мову з різними людьми. Володію прикладними програмами MS Office, швидко вчусь роботі в інших програмах та добре адаптуюсь до змін робочого середовища. Маю досвід управління командою віддалено."
163,"Професійний профіль

Маю дипломи та знання в сфері маркетингу, а також прагну продемонструвати результати свого навчання. 

Освіта та курси

- Курси по телеграм-каналах
- Курси таргетованої реклами та SMM

Досвід

- Тестування реклами в Facebook Ads Manager
- Створення креативів
- Розробка стратегії просування акаунтів в Instagram

Особисті якості

Цікавлюсь творчими завданнями, прагну досягати цілей та реалізовувати нові ідеї. Не бажаю займатися рутинною роботою."
164,"Оптимізація робочого часу, налагодження ділових відносин з B2B клієнтами, успішно пройдене навчання на курсах PM. Зараз працюю в продажах, приймаю участь в державних закупівлях. На початку 2022 року закінчив курси PM в школі Hillel. Протягом всього курсу працював над своїм проєктом, ідея якого та реалізація з моєї сторони були схвалені викладачами. Бажаю кардинально змінити сферу роботи, в перспективі знайти роботу в gamedev."
165,"Категорійний менеджер  
- У форс-мажорних обставинах (початок війни) знайшов і забезпечив безперебійні поставки товарів.  

Проект-менеджер  
- Реалізація проекту інвентаризації торгового обладнання по всій території України через додаток.  
- Синхронізація баз додатка з базами 1С.  

Зараз працюю категорійним менеджером.  
В підпорядкуванні 2 менеджера по закупівлях.  
В лютому закінчив курси проект-менеджменту в Hillel.  "
166,"- Створення проєкту, який буде фінансуватися за рахунок коштів ДФРР у Харківській області.
- Створення і ведення Karazin Startup Week.
- Вивчення іноземних мов.

Зараз працюю проєктним менеджером у маркетинговій компанії, веду проєкти у сфері crypto, fintech, SEO, iGaming. В мої основні обов'язки входить: спілкування з клієнтами, донесення апдейтів, отримання та формування ТЗ, планування, розподіл часових і людських ресурсів, постійний моніторинг прогресу та донесення результатів, контент-менеджмент, формування спринтів, розвиток проєктів у лінкбілдингу та SEO.

Працювала 2 роки у ННІ ""Каразінська школа бізнесу"", де займалась створенням і веденням розвиваючих проєктів у сфері студентського підприємництва і стартапів, розвитком студентів, створенням і проведенням івентів.

Також працювала у customer support в Addsalesforce та доросла до ментора нашого відділу, займалась перевіркою якості роботи працівників та їх розвитком.

Очікую захопливих проєктів, особливо у сфері агробізнесу та поєднання агро та ІТ, оскільки ця сфера неймовірно мене драйвить і я бачу за цим своє майбутнє. Цікавлюсь також розвитком проєктів з емоційного інтелекту та селф-менеджменту. 

Також очікую від роботи work-life balance, оскільки лагом - це те, до чого я прагну і що мене мотивує. Не планую більше займатись проєктами у сфері iGaming."
