,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free
98269,"Brilliantly finished Projector UX Beginner Course
KronaStudio&School Web Design Course
2 months of internship working on pet project with a small dev team

Projector UX Beginner: 
  - Stakeholder project as self-dependent designer 
  - Stakeholder project in a design-team 
  - UX research 
  - Problem-solving 
  - Transforming into UI solutions

1 year of volunteering in University IT HUB: 
  - Redesigning university websites 
  - Designing interfaces for university needs 
  - Cooperating with a team 
  - Managing tasks in Jira

Rapidly improving UI skills by: 
  - Working with a UI library 
  - Being mentored 
  - Participating in UX research 
  - Evaluating solutions 
  - Cooperating with developers and PM to enrich teamwork experience"
98270,"Summary:
Highly motivated and detail-oriented individual with experience in 3D graphics, UI/UX design, and team leadership. Proficient in HTML, CSS, and SketchUp.

Experience:
3D Graphic Specialist, HOVER Ukraine (Feb 2021 - Jun 2023)
- Created 3D exteriors and interiors using SketchUp
- Reviewed and checked finished 3D models from other modelers

Project Experience:
- Redesign of the Sophie Scholl Realschule website: researched and analyzed school websites and web design best practices, redesigned the site to be aesthetically pleasing and user-friendly
- YoHome web service: developed interface from scratch, created simple user flow, and adapted design with minimal changes

Leadership Experience:
- Team Leader, YoHome project: led the team in creating a website for hosting and renting housing

Skills:
- HTML
- CSS
- SketchUp
- UI/UX design
- 3D modeling
- Team leadership

Personal Projects:
- 3 pet projects on various topics

Work Environment:
- Seeking a full-time or part-time position with a mutual respect and friendly atmosphere
- Interested in training and development opportunities within the company
- Focused on achieving results"
98271,"4 years of experience in designing various types, including interior, graphic, and industrial design.
Master's degree in Environmental and Industrial Design.
Developed interior design projects, created graphic designs, logos, business cards, banners, and artwork while studying. Worked as a freelancer and as an interior designer for a company.
Since 2022, focused on web design, completing courses from GENIUS, including ""Fundamentals of Web Design"", ""Working with Figma"", and ""UX/UI: Projecting and Design of Interfaces"".
Aiming to specialize in UI/UX design.
Language skills: English (B1), Polish (B2), Spanish (B1)."
98272,"UI/UX Designer

Summary:
Highly motivated UI/UX designer with 6 months of experience in creating designs for various platforms, including landing pages, e-commerce sites, portfolio sites, and mobile applications. Proficient in the full design process, from competitor analysis to responsive design.

Experience:
UI/UX Design Experience (6 months)
- Created designs for landing pages, e-commerce sites, portfolio sites, and mobile applications (iOS, Android)
- Conducted competitor analysis, user flows, wireframing, prototyping, and built unique UI designs for websites
- Adapted websites for mobile and tablet devices, ensuring responsive design
- Collaborated with front-end developers to bring designs to life
- Utilized basic website animation techniques to enhance user experience

Education:
UI/UX Design Coursework (5 months)
- Studied principles and technologies of the full UI/UX design process
- Gained in-depth understanding of Google Material Design Guidelines and Human Interface Guidelines
- Applied knowledge in coursework to develop comprehensive design skills

Career Goals:
Seeking a UI/UX design position to apply skills and knowledge, with a strong desire to continue improving design abilities and contributing to innovative projects."
98273,"Entry-Level UX Designer

Summary:
Highly motivated and detail-oriented individual with a strong foundation in UX design principles, seeking an entry-level position in a collaborative environment.

Experience:
Freelance UX Designer (6 months)
- Created social media banners for Instagram, Twitter, and Facebook
- Assisted in planning applications and websites
- Developed a blog using Webflow
- Designed landing pages and banners

Education:
Hillel IT School, Course Completion
- Studied foundational concepts in UX design, including user-centered design, the design process, accessibility, and equity-focused design
- Gained understanding of design sprints and their importance in UX design

Skills:
- User-centered design
- Design process
- Accessibility
- Equity-focused design
- Design sprints
- Webflow
- Social media banner design
- Landing page design
- Blog development
- Application and website planning"
98274,"Junior UI/UX Designer

About me:
As a Junior UI/UX Designer, I am passionate about creating effective and aesthetically pleasing designs that improve the user experience. I offer full-cycle design services and specialize in landing pages, e-commerce, website redesign, and web services.

Project experience:
During my 6-month UI-UX Design course, I worked on 3 individual and 2 team projects.

* ""Wish"" - gift delivery mobile app: I designed a full-cycle process, including competitive analysis, UX personas, user flow, wireframes, and UI design, for a flower and gift delivery app.
* ""Fitroom"" - corporate website redesign for a fitness studio: I performed competitor analysis, established a stylistic direction, built prototypes, optimized interfaces for phone and tablet, and developed a UI kit to create a modern and attractive user interface.
* ""VDOMA"" - Ukrainian couch-surfing web service: I applied a full-cycle design process, including competitive analysis, UX personas, empathy map, sitemap, definition MVP, and user flow diagram, and created tablet and mobile adaptations, followed by A/B testing to correct disadvantages.

Additional projects:
* Designed UI for a cleaning company's service accounting table
* Created UI for a website's sidebar
* Developed a team page with AutoLayout-based paddings
* Designed a user page for an online learning resource
* Created a dashboard for an ed-tech product for school students
* Designed a site's start screen desktop UI with animation
* Developed a modal window for confirming card-to-card money transfers
* Designed a dashboard for managing user rights for administrators

I am excited to bring my knowledge, skills, and passion to your team and help create designs that elevate business. Thank you for considering me for your next project."
98275,"Junior UX/UI Designer

As a passionate and creative designer, I am driven by my love of design and commitment to creating exceptional user experiences. With a strong foundation in design principles and a keen eye for aesthetics, I continually seek innovative ways to improve digital interactions and positively impact users. I stay updated on industry trends and evolving technologies to improve and innovate in my field.

PROJECT EXPERIENCE

I have developed three personal projects that showcase my skills in UX/UI design.

Petsearch is a web service designed to help shelters and promote volunteerism by connecting lost and found animals with their owners. The goal was to create a user-friendly service that provides quick results and a positive user experience. The service offers various functionalities to facilitate the reunion of pets with their owners.

I also redesigned the website for ""A kids place childcare"", a children's project. The project involved analyzing the old design, researching competitors, and identifying user expectations. I created a UI kit with all the UI elements and formed the visuals of the pages based on the research.

Additionally, I designed a landing page for the FlowerLover flower shop. The project included competitor analysis, moodboard creation, page structure determination, and color palette selection. I aimed to create a high-quality and useful product that meets user needs.

I am excited to contribute my skills to new and challenging projects that align with my passion for design and user experience. I am committed to delivering top-quality products that make a positive impact on users."
98276,"Junior UI/UX Designer

About Me
Hello, I am a Junior UI/UX designer with a desire to grow and develop in this field. I have experience working on individual design projects and have a foundation in design principles, including color theory, typography, and design. I am looking for an opportunity to expand my experience in this area and am willing to learn and grow with a team to create the best user experience.

Self-Education
I have pursued self-education in UI/UX design through online courses, literature, and learning about cutting-edge design technologies. I am continuously developing my portfolio, adding new projects, and improving the quality of my work.

Project Experience

Website Redesign | Tattoo Studio
December 2022 – January 2023
I redesigned the tattoo studio website to create a more modern and user-friendly interface. The new site design includes clearer navigation elements, new functions for ordering tattoos, improved image quality of tattoo artists' work, and customer reviews.

UI/UX Design | Service for Finding Lost Animals
February 2023 – March 2023
This study project involved designing a web service for finding lost pets. The functionality includes creating and publishing ads about lost or found animals, aiming to facilitate quick and efficient information dissemination and communication between pet owners.

Career Goals
I am seeking opportunities to work in a team with experienced designers, receive assignments, and engage in exceptional communication. I aim to develop my professional skills, learn new technologies and trends in UI/UX design, and work on a variety of projects to explore new areas of design."
98277,"UX/UI Designer

About me
I am a creative and skilled UX/UI Designer with a passion for developing aesthetically pleasing products. I specialize in designing websites, web services, mobile apps, logos, advertisements, and posters.

Work experience

Korg sound library cover design
Created two illustrations serving as covers for sound libraries, analyzing reference photos and designing the covers accordingly after discussing project details with the client.

Sinevibes logo (3D animation)
Designed an animated 3D logo, creating the model, shading, and rendering the final animation after client approval.

My projects

UrbanFest landing page design
Designed a landing page from scratch, creating a moodboard, wireframe, and final design, resulting in a minimalistic landing page.

CustomConcepts tattoo website redesign
Redesigned an existing website, analyzing related websites, prototyping, and creating a modern and comprehensive website.

Web service UX and UI design
Created a web service for finding accommodation abroad at a low price, conducting UX analysis, creating user personas and a customer journey map, and designing the interface.

Beatcraft mobile app design
Designed a music-related app, analyzing the target audience, creating wireframes, and designing the interface, including details like two-factor authentication and in-app achievements.

Completed four individual projects, conducting extensive UX research and designing UI for dashboards, tables, websites, and web services. Collaborated in a team, leading the design and presentation of a literature-related project.

I am looking for a remote opportunity to work with like-minded people, leveraging my ability to quickly learn new skills and take on challenges."
98278,"About Me
I am a dedicated UI/UX designer from Ukraine, specializing in creating intuitive, convenient, and beautiful design projects. I believe that understanding user problems is the starting point for creating design solutions. Overall, my passion for design, attention to detail, and willingness to learn and grow make me a valuable asset to any team committed to creating outstanding products.

Skills
· Figma (auto layout, styles, components, design systems)
· Creating user-centered designs by understanding business requirements
· Identifying and troubleshooting UX problems

Project Experiences
Lunushka Shop mobile app 
The main task was to create a mobile application for an online store. Before starting the work, a study was conducted, which included such main points as: analysis of competitors, analysis of the target audience, personas and their needs, wishes and fears, creation of user flow, detailed wireframes were developed, development of an intuitive and good design for the project, onboarding, creation animated prototype for the customer and protopie for onboarding.

Globetrot web service 
This project is devoted to the creation of a web service for the organization of an economic stay in different countries. An in-depth study was conducted with the help of which problems were formed and the design of solutions for their solution was proposed. Based on this, detailed wireframes and UI for the web service, adaptive design and animation of prototypes were developed.

Redesign Website Tattoo Studio
As part of this project, after a detailed analysis, the website was updated, modern design was developed, an understandable interface was created, and informative pages were developed to attract new customers and tattoo artists to cooperate with the tattoo studio.

Flower shop with delivery landing page
The project is dedicated to creating a landing page for a flower shop with an innovative delivery service. I carefully approached the project, conducting detailed user research, competitor analysis, and creating a persona. At the next stage, a moodboard was created. Paying attention to every detail, I created a prototype. Combining all this in a spectacular design, providing convenient navigation and a pleasant interface for customers. The purpose of this landing page is to make the process of choosing and ordering flowers as pleasant and convenient as possible for customers. The final process was the adaptation of the landing page for tablets and mobile devices.

Work Experience
During the UI/UX designer courses, I worked on 4 pet projects, both alone and in a team, where I was responsible for the user interface, filter, and verification methods in a web service.

Career Goals
I am looking for a role that offers corporate training and development, career growth, mutual respect, and a friendly atmosphere."
98279,"Junior UI/UX Designer

ABOUT ME
I am a Junior UI/UX Designer with experience in team and individual design projects, performing the whole design cycle: analysis, developing ideas, prototyping, user interface design, and adaptation. I create user-friendly interfaces with easily navigable design.

PROJECT EXPERIENCE

Website Redesign | Restaurant & Hotel Complex ""MIMINO""
October 2022 – November 2022
Redesigned the old website to make it more attractive, modern, and user-friendly. Analyzed the old website, identified disadvantages, and found solutions. Created a detailed prototype, visual design, and adaptation.

UI/UX Design | Pet Search Webservice ""NADIYA""
December 2022 – February 2023
Developed a webservice to help owners of lost animals find them faster. Improved communication, organizational, delegation, and time-management skills in a team project. Performed competitor analysis, created user personas, sitemap, high-fidelity prototypes, user interface, and adaptation to create a simple, usable, and visually pleasing webservice.

CURRENT PROJECT
Mobile App | Flower & Gift Delivery
Currently working on a mobile app for flower and gift delivery as part of a team.

OWN PROJECTS
Landing Page | Yoga Studio
Designed a landing page for a yoga studio.

WORK ENVIRONMENT PREFERENCES
- Mutual respect and friendly atmosphere
- Remote work
- Corporate training and development
- Career growth"
98280,"Junior UX/UI Designer

About Me
I am a self-motivated and focused Junior UX/UI Designer who pays a lot of attention to details. My passion is to create high-quality products for users and businesses.

Skills
- Proficient in Figma, Adobe Photoshop, Adobe Illustrator, Canva
- Skilled in using web-services like SimilarWeb
- Experienced in working with Design Systems, User Flows, CJM

Project Experience
 Barbershop - Landing Page
Created a landing page for a new barbershop in Ukraine, utilizing Figma and Adobe Photoshop to promote services and attract potential customers.
 India Cafe - Website Redesign
Redesigned the website of India Cafe to attract more visitors, conducting competitor research and user interviews to create an attractive and in-demand website.
 Look for - Web-Service
Analyzed the target audience, developed a clear interface, and worked on the User Interface for a web-service aimed at helping people find accommodation. The project was designed and launched in three stages, using Figma, Canva, and Adobe Illustrator.

Career Goals
I am eager to join a team and create high-quality products for users and businesses, accepting new challenges in the web-design process."
98281,"Here is the rewritten resume:


UI/UX Design Course Projects:
- Adaptive redesign of a website
- Adaptive design of a web service for hiring employees of a cleaning company
- Development of a mobile application for booking tables in a restaurant
- Various short tasks on web design according to the curriculum

Graphic Design Experience:
8 years of experience in graphic design, with a strong background in the field.

Chief Designer (Head of Department), 3 years:
- Organized and prepared the company's creative projects
- Developed concepts and designs in accordance with the company's corporate style
- Managed the work process for department employees

Notable Projects:
- Re-design of the company website
- Interface design for a popcorn machine
- Landing design for KinoboardPRO
- Design-project for a city café, including interior design of the conference-hall

About Me:
I aspire to gain experience in IT, learn and grow as a UI/UX designer. I am passionate about digital product design for business, creating easy-to-use products with intuitive logic and modern interfaces. I am result-oriented and ready for further development to deliver the best possible design for my clients. I am a team player, ready to contribute my experience to help the company profit.

Project Experience:
- Redesign of the MAINSAIL realty company website: updated design, logical content sections, simple navigation, and convenient forms for easy user interaction
- Interface redesign for the Kinoprokat-Sumy popcorn machine: redesigned the interface in the company's colors and style, developed new icon design and animations

Career Goals:
I am looking for a reliable and qualified company offering career and financial growth opportunities, a flexible work schedule for work-life balance, and remote work options.

Contact:
I am a UI/UX Designer looking to join a team and contribute my skills. I welcome the opportunity to discuss how I can benefit your company."
98282,"About Me

I'm a motivated junior UI-UX designer with a background in HR and a strong passion for design and innovation. I find great joy in creating visually appealing and user-friendly websites and apps. I continuously learn and improve my skills. I'm excited about the opportunity to work for a great company and collaborate with interesting people.

Project Experience:

1. Eventize - Mobile Application (2023)
Eventize is a mobile application that enables users to find and book venues or events, as well as plan their own special occasions. This app offers a comprehensive platform for creating and managing events, allowing users to select necessary items by category and plan important tasks.

2. Guesture - Web Application (2022)
Guesture is a web service that helps people change their environment and work or rest in a new place. The concept is similar to couch-surfing, but visitors must pay or perform tasks indicated by the host to be a guest. The service targets students and young people who want to explore the world but have limited financial resources.

I am seeking a full-time or part-time position in an innovative and growing company. As a fast learner, responsible individual, and team player, I am ready to take on challenging tasks."
98283,"Junior UX/UI Designer & Team Leader

Summary:
Results-driven Junior UX/UI Designer with a strong focus on user experience, leading a team on various projects, including the pet project ""Shine"" - a web service for cleaning companies. Proven track record of delivering high-quality designs that meet project goals.

About Me:
As a responsible and detail-oriented Junior UX/UI Designer, I prioritize user experience, allocating 65% of my attention to this aspect and 35% to visual design. I am committed to delivering well-thought-out and high-quality work, recognizing that this requires time and dedication.

Experience:
Team Leader, ""Shine"" Web Service Project
- Led the team in all organizational aspects, contributing to project development, and inspiring and supporting team members.
- Currently leading a team in courses, further developing my skills and expertise.

Projects:

* Landing ""FlowerLover""
  - Created a minimalistic one-page website for flower delivery, ensuring a user-friendly experience despite numerous images.
  - Conducted competitor and target audience analysis, reference selection, moodboard creation, wireframing, prototyping, UI-kit development, animation, and adaptation for tablet and mobile devices.
  - Presented the project on Behance, including a case study.

* Website Redesign ""A Kids Place Childcare""
  - Redesigned the website for a modern kindergarten, addressing the issues of low client engagement and decreased coverage.
  - Analyzed the current site, target audience, and competitors, and developed references, moodboards, wireframes, prototypes, UI-kits, adaptations, and animations.
  - Successfully achieved the project's desired outcome, as demonstrated in the Behance case study.

Professional Goals:
Aspiring to become a professional UX/UI Designer and establish my own brand, I am committed to continuous learning and growth, seeking collaborations that value my work and time."
98284,"Web Design (UX/UI) Courses
UX Energy IT School, Jun 2018 – Sep 2018

Key Skills:
- Adobe Photoshop
- Adobe Illustrator
- Adobe Experience Design
- Axure
- InVision

Summary:
Junior UI/UX Designer with foundational knowledge in creating site structure, interaction flows, page wireframes, and interface requirements. Proficient in visual styles for sites and applications, including layout, color, typography, and iconography.

Objective:
Seeking a Junior UI/UX Designer position."
98285,"Dima
Junior UI/UX Designer

Highly motivated and detail-oriented junior UI/UX designer with a strong passion for creating modern and user-friendly interfaces. Proficient in designing wireframes and prototypes using Figma, with experience in creating landing sites and multi-page projects.

Key Skills:
- Wireframing and prototyping in Figma
- Creating landing sites and multi-page projects
- Attention to detail and meeting deadlines
- Strong desire for self-improvement and skill development

Education:
- Projector — Creative & Tech Online Institute, Web Design Beginning, 2022
- Projector — Creative & Tech Online Institute, Web Design Junior, 2022-2023"
98286,"Highly Motivated and Creative Designer

Results-driven designer with a passion for delivering exceptional user experience and visually stunning UI, leveraging a strong understanding of the design process and a background in marketing.

Current Role: Marketing Manager/Designer

Key Responsibilities:
- Design marketing materials, including brochures, leaflets, and stands, utilizing Figma, Adobe Photoshop, and Adobe Illustrator
- Create images for websites, social media posts, and campaigns
- Plan and develop email newsletters
- Edit videos for social media platforms
- Write content for websites, marketing materials, campaigns, email newsletters, and other media

Skilled in UI/UX and graphic design, with a strong foundation in marketing principles."
98287,"UI/UX Designer
Alkima Web & Design
March 2023 - Present

* Conduct user experience research
* Create sitemaps, wireframes, and user interfaces
* Utilize Webflow builder for design development
* Design banners for websites and creatives for social networks
* Develop logos and design systems

Sales Manager
Vinnytsia Distribution Company
January 2019 - February 2022

Skills:
* Understanding of the interface design process
* Ability to create prototypes for various products
* Analyze conditions, test prototypes, and use data to improve design
* Knowledge of user needs and examples of good design
* Experience in creating simple and clear web browser layouts
* Designing interactive UX applications
* Team collaboration and principles of teamwork

Career Goal:
To work in a team and create projects that help people make better use of technology, developing interfaces for websites, mobile apps, and software."
98288,"Freelance Project Experience
-----------------------------

Utilized skills in various freelance projects, including:
- Early-stage gaming projects
- Cryptocurrency exchanges
- Cryptocurrency-related websites

Key Interactions:
- Collaborated with project managers in a client capacity
- Coordinated with web developers to clarify layout details"
98289,"Experienced UI/UX Designer

Summary:
Highly skilled in designing visually appealing and user-friendly interfaces using Figma, with a strong foundation in design principles and a keen eye for detail.

Experience:

* Designed a landing page for a Law Firm, including:
	+ Briefing the client and researching the law field
	+ Creating mood boards, choosing fonts and colors, and working with brand identity
	+ Wireframing and developing multiple design concepts
	+ Creating the final design and adapting it for various devices, including phones and tablets
* Created a website for a pastry shop with delivery, focusing on:
	+ Utilizing auto layouts in Figma
	+ Applying knowledge of design basics to create an effective user experience

Skills:
Figma, UI/UX design, design research, brand identity, wireframing, adaptive design, auto layouts."
98290,"Recent Graduate
No prior work experience, but eager to apply skills and knowledge in a professional setting
Key Skills:
  Adobe Photoshop
  Adobe Illustrator
  Figma
  Quick learner, adaptable to new challenges and software
  Strong willingness to learn and grow in the field of graphic design"
98291,"**Summary**
Motivated UI/UX designer with a strong foundation in creating seamless user experiences and functional designs. Proficient in utilizing SQL to verify data accuracy and generating comprehensive bug reports to ensure software quality.

**Technical Skills**
- SQL
- Figma
- Adobe Illustrator

**Experience**
- Successfully created and executed test cases to ensure software quality and functionality
- Generated comprehensive and accurate bug reports to help developers identify and resolve issues quickly
- Utilized SQL to verify data accuracy

**UI/UX Design Experience**
- Redesigned website for ""A Kids Place Childcare"" (study project), focusing on creating a good-structured, modern, and user-friendly design
  - Conducted user research, competitive analysis, wireframing, prototyping, and drew conclusions
- Developed a web service for a private medical clinic (study project), aiming to organize and document doctor-patient meetings, provide online consultation opportunities, and reduce documentation time through speech recognition technology
  - Responsibilities included baseline study, brainstorming, jobs-to-be-done, user flow, customer journey mapping, prototyping, UI design, and adaptation

**Personal Projects**
- Successfully managed and executed 2 personal projects, demonstrating initiative and capability in project management and execution

**Career Goals**
Seeking a flexible work schedule or full-time position in a company focused on making everyday and business tasks easier, more productive, and user-friendly. As a fast learner, responsible individual, and someone ready for challenging tasks, I am eager to contribute to innovative projects."
98292,"UX/UI Designer

Summary:
Results-driven UX/UI designer with experience in creating user-centered designs, proficient in conducting research, building wireframes, and interactive prototypes. Advanced English language skills.

Experience:
Design Studio, Kyiv
- Contributed to the development of the mobile app project ""DayDrive""
- Created landing pages, sign up/log in forms, and other design elements

Education:
Mentorship Program in UX/UI Design, Graduate

Skills:
- User experience (UX) design
- User interface (UI) design
- Wireframing
- Interactive prototyping
- Research and analysis
- Usability and aesthetics balance
- Business solutions and user empathy

Language:
English, Advanced level

Career Objective:
Seeking an opportunity to apply my skills and knowledge to enhance my career in UX/UI design and improve user experiences."
98293,"UI/UX Designer

Education:
Finished UI/UX Design Advanced level course with first-class degree diploma from IT School Hillel, achieving 2nd place in student ratings

Online Courses:
Continuously taking design-related online courses on various design resources

Experience:
Freelance UI/UX Designer, Upwork (Top Rated), Apr 2020 - Present
- Redesigned CRM systems
- Created components library for site-builder services
- Designed mobile applications
- Designed CRM systems

UI/UX Design Student, IT School Hillel, Sep 2019 - Mar 2020
- Learned UX design principles, from analysis to prototyping
- Studied typography, grid compositions, animations, color systems, and responsive design
- Applied knowledge to diploma project: CRM System for a sports complex

Landing Page Designer, Jul 2019 - Aug 2019
- Designed a landing page for educational courses
- Collaborated with developers on testing and design of CRM and web design projects

Career Goals:
Seeking a company with a warm and friendly team, where I can grow as a designer and participate in challenging and interesting projects."
98294,"UI/UX Designer

April - May 2023
App Project: Food Delivery
- Conducted UX research, including:
  - Personas
  - Customer Journey Map (CJM)
  - Empathy Map
  - Competitor analysis
  - Site Map
  - User Flow
- Designed UI components, including:
  - Wireframing
  - Concept development
  - Visual design

June 2023
Landing Page: Brewery Craft Beer
- UX design, including:
  - Competitor analysis
  - Information architecture
  - Moodboard development
- UI design, including:
  - Wireframing
  - Visual design
  - Animation"
98295,"Aspiring UX/UI Designer

Summary:
Transforming creative energy into problem-solving skills, I'm a dedicated UX/UI designer focused on crafting useful and profitable products. With a strong foundation in design principles and essential tools, I'm excited to bring ideas to life.

Study Projects:
- Vinyl Shop website: developed desktop and mobile versions
- Sign language study app: conducted UX research, designed Human Interface and Material design, and created a landing page
- Car trip planning app: performed UX research, designed a Design system, Human Interface, and landing page

Skills:
- Proficient in Adobe Illustrator and Adobe Photoshop for vector and raster graphics
- Experienced in UX research: User Flow, User Story, CJM, User Scenario, and target audience research
- Skilled in low- and high-fidelity prototyping, interactive prototyping in Figma, and logo creation
- Knowledgeable in color theory, typography, composition, Material Design, and Human Interface Guidelines
- Familiar with design systems, UI-kits, styles, components, variants, and autolayout in Figma
- Understanding of adaptive design and basic HTML and CSS
- Experience with Tilda

Career Objective:
Seeking a web design position where I can apply my skills and passion to create effective and engaging user experiences. Please contact me to discuss potential opportunities."
98296,"Charitable Foundation Designer
- Created landing page, banners, and logo for the foundation

Design Experience
- Developed various personal projects, including:
  - Landing pages
  - Mobile apps
  - High-fidelity and low-fidelity prototypes
  - Adaptive and responsive design
- Conducted UX research
- Utilized skills in solo project development, with a focus on self-directed learning and growth

Career Goals
- Seeking new experiences and knowledge to further develop skills as a designer
- Interested in collaborative opportunities to expand skill set and work within a team environment"
98297,"Designer with experience in individual and teamwork on landing pages, website redesign, web services, and mobile application projects. Proven track record of developing 3 projects, including a team project where I researched and implemented a patient-side user flow.

Possess a solid foundation in design principles, acquired through IT courses, with a strong understanding of professional tools necessary for successful work in the field. Skilled in communication, teamwork, and time management, with a strong ability to receive feedback, cooperate, and complete tasks on time.

Seeking opportunities for growth and development in the profession, with a willingness to take on new challenges and contribute to creating user-friendly and productive products.

PROJECT EXPERIENCE

Landing page “Barbershop in Kyiv”
One-page site designed to attract customers and promote services, featuring information on services, professional masters, customer reviews, and competitive advantages.

Web service for a medical clinic
Full-cycle design, teamwork project where I created a patient page, allowing users to schedule online or live appointments, view medical history, and payment history.

Redesign for Design “KIDS PLACE”
Full-cycle redesign of a website, aiming to create a modern and convenient site to attract more visitors, with an adaptive version for greater accessibility and expanded target audience.

Seeking a full-time or part-time designer position at a company focused on creating user-friendly and productive products, considering user experience. As a quick learner, purposeful, responsible, and ready to perform complex tasks, I am committed to delivering high-quality results."
98298,"UI/UX Designer

Summary:
Highly motivated and detail-oriented UI/UX designer with experience in creating efficient and convenient user interfaces and experiences. Proficient in using Adobe Creative Suite, Figma, and other design tools. Strong communication, collaboration, and leadership skills, with a passion for delivering high-quality products that meet business and user needs.

Experience:

Non-Commercial Project:
- Developed a logo and corporate style for a young Ukrainian brand of modern women's clothing, Ina&Mi, using Adobe Illustrator, Adobe Photoshop, and Adobe InDesign.
- Collaborated with the customer to ensure satisfaction with the final product.

Pet Projects:
- Designed and developed a landing page, website redesign, housing reservation service, and application for booking tables in restaurants, cafes, and bars.
- Utilized Figma and Adobe Photoshop for design and development.
- Conducted market analysis, competitor analysis, worked on personas, wireframes, sitemap, and UI|UX design.

Skills:
- UI/UX design
- Graphic design
- Adobe Creative Suite (Illustrator, Photoshop, InDesign, After Effects)
- Figma
- Communication and collaboration
- Leadership and teamwork
- Creativity and problem-solving
- Organization and time management
- Interpersonal skills

Expectations:
- Collaborative work environment
- Opportunities for professional growth and development
- Training, support, and mentoring

What I Offer:
- Support and assistance to colleagues
- Creativity and willingness to cooperate
- Fresh perspective on problem-solving
- Knowledge and experience sharing
- Enthusiasm and desire to learn and develop."
98299,"Project Crypto Wallet allowed me to hone my skills as a UI/UX designer and provided me with valuable experience in designing for complex and challenging projects in the crypto space.
• Developed a secure and user-friendly platform for managing cryptocurrencies.
• Conducted user research and implemented user-centered design principles to ensure that the product met the needs of its target audience.

The redesign of the Cucina di Catherina online store was a challenging and rewarding project that allowed me to apply my UI/UX design skills to enhance the customer experience and achieve the client's goals.
• Successfully created a fresh, modern look that aligned with the brand's vision and values.
• Improved the website's user experience by making it more intuitive and engaging.
• Increased website traffic and engagement metrics.

As a highly creative and detail-oriented junior UI/UX designer, I have a passion for crafting intuitive and engaging digital experiences. With a strong foundation in design principles and a natural ability to solve complex problems, I am able to create user-centered designs that meet the needs of diverse audiences.

Crypto Wallet Tutis
Application, full cycle design
This experience has challenged me to consider complex design problems such as security and data privacy, and to think deeply about the user's needs in managing their cryptocurrencies.
Throughout the project, I focused on creating a secure and intuitive platform that would provide a seamless user experience while ensuring the safety of their assets.
I also conducted extensive user research to understand the needs of crypto wallet users and incorporated their feedback into the design process.

Redesign Cucina di Catherina
Online Store Website, full cycle design
The goal of the project was to create a more modern and user-friendly platform that would enhance the customer experience and increase sales.
I began by conducting extensive user research to understand the pain points and needs of customers when shopping on the current website. I also designed new visual elements and a fresh color palette to modernize the brand's image and enhance the overall aesthetic of the site.
Throughout the design process, I conducted usability testing to ensure that the new design met the needs of users and addressed any issues that arose.

Skills:
• Adobe Suite
• Creating web interfaces, mobile design, and landing pages in Figma
• Experience in the redesign
• Developing user personas, user scenarios, and sitemaps
• UX research and analysis of competitors
• Using Google Material Design Guidelines
• Work with photos in Photoshop
• Design of icons, logos, and illustrations in Illustrator
• Wireframing and Prototyping
• Visual Interface
• Site map and user flow
• Adaptation

I expect to work on a variety of projects that require designing engaging and intuitive user experiences. I would like to collaborate with cross-functional teams, including product managers, developers, and stakeholders, to ensure that my designs meet both business goals and user needs.
I would also like the opportunity to conduct user research and create user personas to inform design decisions, design wireframes and prototypes to test and iterate on design concepts, develop design systems and style guides to maintain visual consistency across products, collaborate with developers to ensure that designs are technically feasible and implemented correctly, advocate for user-centered design principles, and promote the user throughout the design process. 
I want to continuously gather feedback and iterate on designs to improve the user experience.
I expect to work in a dynamic and challenging environment that requires me to think creatively and solve complex design problems."
98300,"Highly Motivated UX/UI Designer

Summary:
Results-driven UX/UI designer with a passion for creating user-centered designs that simplify complex tasks and provide value to users. Proficient in effective communication and committed to continuous skill improvement.

Experience:
Various jobs, utilizing strong communication skills to achieve goals
Personal projects, applying UI/UX design principles to create seamless user experiences

Education:
Completed UI/UX design courses, enhancing skills in user experience and interface design

Skills:
UI/UX design, communication, personal projects, continuous learning

Statement:
As a dedicated UX/UI designer, I aim to craft beautiful and functional designs that prioritize user needs, driven by a passion for simplicity and a commitment to delivering value to users."
98301,"Junior UI/UX Designer

With a strong foundation in design principles and techniques, I possess a diverse range of skills and knowledge of various design tools and software. 
Education and training from Design IT Step Academy have provided expertise in graphic design, 3D modelling, animation, and UI/UX design.
Proficient in Figma, Photoshop, Illustrator, After Effects, Maya, and Premiere Pro, enabling the creation of visually appealing designs.
Skilled in design principles and techniques, including prototyping, design research, SWOT analysis, typography principles, image making, and illustrating, to create effective and user-friendly designs."
