,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct
98275," Junior UX/UI Designer Resume

ABOUT ME
--------
Passionate Junior UX/UI Designer with a strong foundation in design principles and a keen eye for aesthetics. Committed to creating exceptional user experiences and continuously improving and innovating in the field. Skilled in identifying user needs, developing designs, and creating UI elements. Seeking to contribute skills and collaborate on new and exciting projects.

PROJECT EXPERIENCE
----------------------------------
Petsearch
----------------------------------
Developed a user-friendly web service to help pet owners find lost pets or return found pets. Identified user expectations, created visuals, and developed UI elements.

* Conducted user research to understand the needs and pain points of pet owners.
* Developed wireframes and prototypes to visualize the user experience.
* Created UI elements such as buttons, forms, and icons.
* Collaborated with developers to ensure the design was implemented accurately.

A Kids Place Childcare
----------------------------------
Redesigned the website for a children's project. Conducted technical and research analysis, identified strengths and weaknesses, and formed visuals in accordance with user expectations. Created a UI kit with all UI elements.

* Analyzed the existing website and identified areas for improvement.
* Conducted user research to understand the needs and expectations of parents and children.
* Developed wireframes and prototypes to visualize the user experience.
* Created a UI kit with all UI elements, including buttons, forms, and icons.
* Collaborated with developers to ensure the design was implemented accurately.

FlowerLover Flower Shop
----------------------------------
Designed a landing page for a flower shop. Conducted research, analyzed competitors, created a moodboard, determined page structure, and selected colors and shades.

* Conducted research on the flower shop industry and analyzed competitors.
* Created a moodboard to establish the visual direction of the landing page.
* Determined the page structure and selected colors and shades.
* Developed wireframes and prototypes to visualize the user experience.
* Created UI elements such as buttons, forms, and icons.
* Collaborated with developers to ensure the design was implemented accurately."
98276," Junior UI/UX Designer Resume

Self-taught in UI/UX design, including online courses, literature, and design technology.
Developing portfolio with new projects and continuous improvement.

Hi, I am a Junior UI/UX Designer with a solid foundation in design principles such as color theory, typography, and design. I am eager to learn and grow with the team to create the best user experience.

Project Experience

1. Website Redesign | Tattoo Studio
Dec 2022 - Jan 2023
- Redesigned a tattoo studio website for a modern and user-friendly interface
- Improved navigation elements, added new functions for ordering tattoos
- Enhanced quality of images of tattoo artists' work and added customer reviews
2. UI/UX Design | Service for Finding Lost Animals
Feb 2023 - Mar 2023
- Designed a web service for finding lost pets
- Developed functionality for creating and publishing ads about lost or found animals
- Collaborated with experienced designers, received assignments and exceptional communication
- Improved professional skills and learned new design technologies and trends."
98277,"**Creative and Skilled UX/UI Designer**

Specializing in designing aesthetically pleasing websites, web services, mobile apps, logos, advertisements, and posters.

**Work Experience**

Designed two sound library covers for Korg:
- Created illustrations based on reference photos and client requirements
- Presented final work to client and corrected any mistakes

Developed a 3D animated logo for Sinevibes:
- Modeled, shaded, and rendered final animation

**Projects**

UrbanFest Landing Page Design:
- Created moodboard and wireframe for landing page
- Designed minimalistic website about UrbanFest

CustomConcepts Tattoo Website Redesign:
- Analyzed tattoo-related websites and prototyped new design
- Created modern and comprehensive website for CustomConcepts

Web Service UX and UI Design:
- Conducted UX analysis, created user personas, and mapped customer journey
- Wireframed and fully-designed a web service for finding low-cost accommodation abroad

Beatcraft Mobile App Design:
- Analyzed target audience and designed wireframes
- Designed music-related app with features like two-factor authentication and in-app achievements

**About Me**

- Fast learner, ready to take on new challenges
- Seeking remote opportunities to work with like-minded individuals"
98278,"UI/UX Designer

Specialized in creating intuitive, convenient, and beautiful design projects with a passion for design and a keen attention to detail.

Skills:

* Proficient in Figma (auto layout, styles, components, design systems)
* Experience in creating user-centered designs by understanding business requirements
* Skilled in identifying and troubleshooting UX problems

Project Experiences:

* Designed Lunushka Shop mobile app, conducting user research, developing user flows, creating detailed wireframes, and delivering an intuitive and visually appealing mobile app for an online store.
* Transformed Globetrot web service through in-depth research, proposing design solutions, developing detailed wireframes and UI, and creating adaptive design and animated prototypes.
* Modernized a Tattoo Studio website with a fresh design, creating an understandable interface, and informative pages to attract new customers and tattoo artists.
* Developed a Flower shop with delivery landing page, conducting detailed user research, competitor analysis, creating a persona, moodboard, prototype, and final landing page with convenient navigation and a pleasant interface for customers, adapted for tablets and mobile devices.

Education:

* Completed UI/UX designer courses with 4 pet projects.

Additional Qualifications:

* Experienced in working both alone and in a team.
* Collaborated on a team to work on the user interface, filter and verification methods in a web service.

Dedicated UI/UX designer with a specialization in creating intuitive, convenient, and beautiful design projects. I believe that understanding user problems is the starting point for creating design solutions. My passion for design, attention to detail, and commitment to learning and growth make me a valuable asset to any team."
98279,"ABOUT ME
------------
Junior UI/UX Designer with proficiency in performing the full design cycle, including analysis, idea development, prototyping, user interface design, and adaptation. Skilled in creating user-friendly and easily navigable interfaces.

PROJECT EXPERIENCE
------------------

### Website Redesign | Restaurant & Hotel Complex

* Conducted analysis of the old website, identified weaknesses, and proposed solutions.
* Created a detailed prototype, visual design, and adaptation for the project.

### UI/UX Design | Pet Search Webservice

* Collaborated on a team project to develop a webservice for faster lost animal recovery.
* Improved communication, organizational, delegation, and time-management skills.
* Conducted competitor analysis, user personas, sitemap creation, high-fidelity prototyping, user interface design, and adaptation.

### Mobile App | Flower & Gift Delivery (current project)

* Contributing as a team member to a mobile app for flower and gift delivery.

### Landing Page | Yoga Studio (personal project)

* Developed a landing page for a yoga studio.

SKILLS
-----

* User-friendly interface design
* Easily navigable design
* Communication
* Organization
* Delegation
* Time-management
* Remote work
* Corporate training and development
* Career growth."
98280,"Junior UX/UI Designer Resume

Experience:

* Designed and launched three projects, including two personal projects and one team project
* Proficient in Figma, Adobe Photoshop, Adobe Illustrator, and Canva
* Skilled in using SimilarWeb and designing with a focus on User Flows, Design Systems, and Customer Journey Maps (CJM)

Project Experience:

1. Barbershop - Landing Page
	* Designed a landing page to present and promote a new barbershop in Ukraine, showcasing various services and attracting potential customers
	* Utilized Figma and Adobe Photoshop for design and development
2. India Cafe - Website Redesign
	* Updated the India Cafe website to attract more visitors and highlight its advantages
	* Analyzed competitors and conducted user interviews to create an attractive and popular design
	* Improved the User Interface to ensure a clear and user-friendly experience
3. Look for - Web-service
	* Analyzed the target audience and designed a secure and convenient platform for users to find accommodations based on their opportunities and needs
	* Completed the project in three stages: overall user-end interface, payment interface, and admin-side interface
	* Employed Figma, Canva, and Adobe Illustrator for design and development

About Me:

* Self-motivated and focused Junior UX/UI Designer
* Passionate about creating high-quality products for users and businesses
* Detail-oriented and committed to taking on new challenges in the web-design process."
98281,"UI/UX Designer

Project Experience
------------------

* Redesign of the Mainsail realty company website
	+ Conducted research and analysis of competitors
	+ Created wireframes, UI-kit, and adapted design for tablet and mobile while maintaining the color scheme of the initial site
* Interface redesign for Kinoprokat-Sumy popcorn machine
	+ Redesigned interface in the company's colors and style, developed new icon design, and created several animations
* Adaptive redesign of a site
* Adaptive design of a web service for hiring employees of a cleaning company
* Development of a mobile application for booking tables in a restaurant
* Completed numerous web design tasks according to the curriculum

Professional Experience
------------------------

* Chief Designer (Head of Department) for 3 years
	+ Organized and prepared the company's creative projects
	+ Developed concepts and designs in accordance with the company's corporate style"
98282,"About me

Motivated junior UI-UX designer with HR background. Strong passion for design, innovation, and creating user-friendly websites and apps. Skilled in developing visually appealing interfaces and improving user experience. Committed to learning and refining skills. Excited to contribute to innovative teams and projects.

Project experience

1. Eventize - mobile application (2"
98283,"Junior UX/UI Designer Team Leader

Responsibilities:
- Led and organized a team of designers, providing direction and support
- Actively participated in project development, contributing ideas and solutions
- Prioritized user experience and quality in all work products
- Inspired and mentored team members, fostering a positive and collaborative work environment

About Me:
- Dedicated Junior UX/UI Designer with a strong focus on user experience (65%) and visuals (35%)
- Currently serving as team leader in coursework team, managing projects and team members
- Aspiring professional UX/UI Designer and future brand owner, committed to delivering high-quality work and valuing clients' time and efforts

Projects:
- Landing ""FlowerLover"": Designed a minimalistic one-page flower delivery website with a focus on user experience and quality. Conducted competitor analysis, created a moodboard, wireframes, prototypes, ui-kit, adaptations, and animation.
- Website redesign ""A Kids Place Childcare"": Modernized the kindergarten's website to attract clients and improve coverage. Followed a similar development process as the ""FlowerLover"" project."
98284,"COURSES:

* Web Design (UX/UI), UX Energy IT School, Jun 2018 – Sep 2018
	+ Site structure creation, interaction flows, page wireframes, and interface requirements
	+ Visual styles for sites and applications, including layout, color, typography, and iconography

TOOLS:

* Adobe Photoshop
* Adobe Illustrator
* Adobe Experience Design
* Axure
* InVision

Seeking a Junior UI/UX Designer position."
98285," Dima
Junior UI/UX Designer
Kyiv-based

About Me:

* Detail-oriented Junior UI/UX Designer with a strong desire to create user-friendly, modern, and engaging interfaces.
* Proficient in creating wireframes of varying detail and functional prototypes using Figma's components and auto-layouts.
* Experienced in designing landing sites and multi-page projects.

Education:

* Projector - Creative & Tech Online Institute, Web Design Beginning, 2022-2023
* Projector - Creative & Tech Online Institute, Web Design Junior, 2022-2023

Skills:

* Figma (wireframes, prototypes, components, auto-layouts)
* Web Design (landing sites, multi-page projects)
* Detail-oriented
* Self-improvement mindset"
98286,"UI/UX Designer and Marketing Manager

Motivated designer with a passion for delivering excellent user experience and beautiful UI. Strong understanding of the design process and background in marketing. Proficient in Figma, Adobe Photoshop, Adobe Illustrator, and video editing software. Skilled in creating marketing materials, editing videos, and content writing. Eager to contribute expertise as a UI/UX or graphic designer.

Experience:

Marketing Manager/Designer (Current Role)

* Design various marketing materials using Figma, Adobe Photoshop, and Adobe Illustrator
* Create images for website, social media, and campaigns
* Plan and create email newsletters
* Edit videos for social media
* Write content for website, marketing materials, various campaigns, email newsletters, etc.

Responsibilities:

* Design and create marketing materials, images, and videos
* Plan and create email newsletters
* Write content for website, marketing materials, and various campaigns
* Proficient in Figma, Adobe Photoshop, Adobe Illustrator, and video editing software
* Strong understanding of design process
* Experience in marketing and content writing
* Eager to contribute expertise as a UI/UX or graphic designer."
98287,"UI/UX Designer
Alkima Web & Design, March 2023 - present

* Conduct user experience research, creating sitemaps, wireframes, and user interfaces
* Proficient in Webflow builder, designing website banners and social media creatives
* Develop logos, design systems, and prototypes for various products
* Analyze conditions, test prototypes, and use data to improve design
* Understand user needs and good design examples, creating simple and clear web browser layouts
* Design interactive UX applications, collaborate in team settings, and apply principles of teamwork and collaboration

Sales Manager
Vinnytsia Distribution Company, Jan 2019 - Feb 2022

Skills:

* Interface design process understanding
* Prototype creation for various products
* Analyzing conditions, testing prototypes, and using data to improve design
* Understanding of user needs and good design examples
* Creating simple and clear web browser layouts
* Designing interactive UX applications
* Teamwork and collaboration principles knowledge"
98288," Freelance Software Developer

* Designed and implemented software for various freelance projects, including early-stage gaming projects and cryptocurrency exchanges/websites
* Coordinated with project managers and web developers to clarify project specifics and layouts"
98289," Designer

* Proficient in Figma for all design work

**Project: Law Firm Landing Page**

* Conducted client consultation, field research, and analysis in legal industry
* Established design direction through mood boards, typography, and color schemes, in alignment with brand identity
* Generated wireframes and multiple design concepts
* Engineered adaptive design for various devices, including mobile and tablet

**Project: Pastry Shop Website with Delivery**

* Mastered Figma's auto layouts feature
* Applied design fundamentals to produce a user-friendly and visually appealing website"
98290,"Experienced and self-motivated individual with a strong desire to grow in the field of graphic design. Skilled in Adobe Photoshop, Illustrator, and Figma with a natural ability to learn and adapt to new tools and technologies.

* Eager to gain hands-on experience and contribute to a team in a professional setting
* Strong understanding of design principles and a keen eye for detail
* Proficient in creating visual designs, layouts, and branding materials
* Experimented with web design and prototyping using Figma
* Completed online courses and tutorials to enhance skills and stay up-to-date with industry trends
* Proactive in seeking feedback and continuously improving design skills
* Highly organized and able to manage multiple projects simultaneously
* Strong communication skills and able to effectively collaborate with team members and clients."
98291,"---

**Experience**

* Developed and executed test cases to ensure software quality and functionality
* Generated detailed and accurate bug reports, facilitating quick issue resolution
* Utilized SQL to verify data accuracy and integrity

**Skills**

* Proficient in UI/UX design basics
* Demonstrated creativity and functionality in design
* Experienced in Figma and Adobe Illustrator

**Projects**

* **Website Redesign, “A Kids Place Childcare”**
	+ Designed a well-structured, modern, and user-friendly website
	+ Tools: Figma, Adobe Illustrator
* **Web Service, “Medical Clinic”**
	+ Developed a visual solution for a private medical clinic's web service
	+ Conducted baseline study, brainstorming, Jobs-to-be-done, User Flow, Customer Journey Map, prototyping, and UI
	+ Tools: Figma, Adobe Illustrator, Slack

**Education and Goals**

* Fast learner, responsible, and prepared for challenging tasks
* Seeking a flexible work schedule or full-time position in a company focused on enhancing everyday life, productivity, and user-friendliness."
98292,"* Completed a UX/UI design mentoring program, gaining experience in creating landing pages, sign-up/log-in forms, and more.
* Designed mobile app project ""DayDrive"" at a Kyiv-based design studio.
* Highly proficient in English.
* Passionate about solving UX problems and improving user experiences through rigorous research, wireframing, and prototype creation.
* Skilled in balancing usability, aesthetics, business solutions, and user empathy.
* Seeking to advance my career and apply my skills and knowledge in a new opportunity."
98293,"Finished Advanced level UI/UX Design course with distinction at IT School Hillel (Ranked 2nd in student ratings)
Continually taking design-related online courses on various platforms

Freelance UI/UX Designer on Upwork (Top Rated)
Apr 2020 - Present
- CRM redesign
- Components library creation for site-builder service
- Mobile app design
- CRM design

Education as a UI/UX Designer
July - August 2019
- Worked on a non-web design related field, created a landing page for educational courses
- Collaborated with developers on CRM and web design testing and design
- Decided to pursue education as a UI/UX Designer

Diploma Project
Sep 2019 - Mar 2020
- Learned UX (from analysis and investigation to prototyping)
- Mastered basics of typography, grid compositions, animations, color systems, responsive design, and more
- Completed diploma project, a CRM System for a sports complex

Seeking a company with a warm and friendly team, where I can grow as a designer and contribute to challenging and interesting projects."
98294,"UI/UX Designer

June - Current

* Designed a food delivery app, responsible for both UX and UI aspects
	+ UX: Conducted user research, created personas, customer journey maps, empathy maps, and completed competitor analysis. Developed site map and user flow.
	+ UI: Created wireframes, concepts, and visual designs.
* Designed a landing page for a brewery craft beer, responsible for both UX and UI aspects
	+ UX: Analyzed competitors, developed information architecture, and created a moodboard.
	+ UI: Created wireframes, visual design, and implemented animations."
98295,"Study Projects:

* Created desktop/mobile version of Vinyl Shop website
* Conducted UX research, designed Human Interface/Material layout for Sign language study app
* Planned Car trip planning app using UX research, Design system, Human Interface design, and Landing page

Aspiring UX/UI designer with a history of transforming negatives into positives and solving problems. I will enhance the visual appeal and user-friendliness of your product, ensuring profitability.

Skills:

* Proficient in vector and raster graphics using Adobe Illustrator and Adobe Photoshop
* Expertise in target audience research, UX research, User Flow, User Story, CJM, User Scenario
* Experienced in low- and high-fidelity prototyping, interactive prototyping in Figma
* Skilled in logo creation
* Knowledgeable in Color theory, Typography, Composition, Material Design & Human Interface Guideline, Design systems & UI-kit
* Proficient in styles, components, variants, autolayout in Figma
* Experienced in adaptive design
* Basic knowledge of HTML and CSS, Tilda

Currently seeking a new job opportunity in the web design field. Please contact me if you have a position that may be a good fit."
98296," Name
Contact Information

PROFESSIONAL SUMMARY
Creative designer with a strong foundation in developing various design projects, including landing pages, mobile apps, and high/low fidelity prototypes. Skilled in adaptive and responsive design, UX research, and eager to gain more experience and knowledge in the design field.

SKILLS

* Adaptive and Responsive Design
* UX Research
* Landing Page Design
* Mobile App Design
* High/Low Fidelity Prototyping
* Graphic Design (Logos)

EXPERIENCE
Charitable Foundation
Designer
City, State

* Designed landing pages, banners, and logos for the charitable foundation
* Conducted UX research to improve user experience and gather insights
* Created high and low fidelity prototypes for various projects, enhancing user interface and usability
* Developed mobile app designs, optimizing for different screen sizes and platforms

EDUCATION
School Name
Degree, Major
City, State

* Relevant coursework: Graphic Design, UX Research, Mobile App Design, Prototyping"
98297,"Designer with experience in individual and team projects, including landing pages, website redesigns, web services, and mobile applications. Proficient in necessary professional design tools, strong IT coursework foundation, and excellent communication skills. Team player, open to feedback, and committed to timely task completion. Seeking opportunities for professional growth and open to new challenges.

PROJECT EXPERIENCE:

* Designed a one-page site ""Barbershop in Kyiv"" to attract customers and promote services, including information about services, professional master profiles, customer reviews, and unique differentiators.
* Collaborated on a full cycle design project for a medical clinic's web service, contributing to the creation of a patient page with online appointment scheduling and medical/payment history viewing capabilities.
* Led a full cycle redesign project for ""KIDS PLACE"", creating a modern and accessible site with an adaptive version to expand the target audience.

Seeking a full-time and part-time designer position at a company focused on creating user-friendly and productive products for business and life, committed to considering user experience. A quick learner, proactive, responsible, and ready to tackle complex tasks."
98298," Here is your new resume:

* Developed a logo and created a corporate style for the Ukrainian brand of modern women's clothing Ina&Mi using Adobe Illustrator, Adobe Photoshop, and Adobe InDesign.
* Utilized Figma and Adobe Photoshop in pet projects, performing market and competitor analysis, creating personas and wireframes, and designing UI/UX for landing pages, websites, web services, and mobile applications.
* Gained experience in teamwork, studying and analyzing competitors, developing strategies, and collaborating on a free web service for booking accommodation.
* Gained experience working with the customer at graphic design courses, creating a logo and identity for the young Ukrainian women's clothing brand InaMi.
* Skilled in using Adobe Illustrator, Photoshop, and After Effects to create visual solutions.
* Aim to create efficient and convenient user interfaces and experiences for every user.
* Offer support, assistance, creativity, and cooperation to achieve success in solving goals and tasks.
* Enthusiastic about learning from the experience of colleagues, learning new things, and developing.

Projects:

* Landing page
* Website redesign
* Housing reservation service
* Application for booking tables in restaurants, cafes, and bars

Preserved the company's corporate style in the landing page and redesign.

Goals:

* Work as a team to create quality products for businesses and users.
* Seek opportunities for development and career advancement.
* Value company support, training, and mentoring opportunities."
98299," Junior UI/UX Designer

**Projects:**

**Crypto Wallet Tutis**

* Designed a full cycle user-friendly cryptocurrency management platform with a focus on security and user experience
* Conducted user research to understand the needs of crypto wallet users
* Created a user-centered design to ensure a seamless user experience and secure asset management

**Redesign Cucina di Catherina Online Store**

* Led full cycle design for a more modern and user-friendly platform, enhancing customer experience and increasing sales
"
98300," Updated Resume:

Previous Experience:

* Held various positions that highlight strong communication skills, including customer service and team leadership roles

Recent Training:

* Successfully completed a UI/UX Design Course, expanding my knowledge and skills in user experience and interface design

About Me:

* Highly motivated UX/UI Designer with a passion for simplifying complex tasks through user-centered design
* Committed to continuously improving skills and staying up-to-date with industry developments

Portfolio:

* [insert link to your personal projects here]"
98301,"Junior UI/UX Designer

* Proficient in graphic design, 3D modeling, animation, and UI/UX design
* Skilled in Figma, Photoshop, Illustrator, After Effects, Maya, and Premiere Pro
* Strong understanding of design principles and techniques including:
	+ Prototyping
	+ Design research
	"
98302,"Team Leader, Junior UI/UX Designer

• Led the Paw Rescue project as a team leader, responsible for organizing teamwork and designing the visual aspects of prototypes.
• Passionate about creating aesthetically pleasing and effective web and mobile applications as a Junior UI/UX Designer.
• Experienced in turning ideas into reality and simplifying daily goals for the target audience through a keen eye for detail and a full cycle design approach.
• Proficient in analyzing tasks, creating prototypes, designing visual styles, and implementing them into usable and simple end products.

Projects:

• Redesign of Italian sauce website: Attracted customers and improved user-friendliness through competitor research, updated color scheme, uniform photos, modern typography, and adaptations for mobile and tablet versions.
• Landing page for Flower Lover: Analyzed target audience for flower shop websites, created a clear interface with necessary menu items, and built the interface from scratch.
• Paw Rescue: Designed a website for finding lost and found animals through competitor analysis, clear user flow, and creation of a convenient and modern website interface.

Seeking a remote office position in a company that values:

• Mutual respect and friendly atmosphere
• Corporate training and development opportunities
• Potential for career growth."
98303," Skills:

* Proficient in Adobe Photoshop, Figma, Protopie, Adobe Illustrator, and FigJam for designing user interfaces, visual elements, and prototypes
* Expertise in creating interfaces that adapt to various screen sizes and devices, including touch interactions for mobile apps
* Proficient in developing wireframes, user flows, and journey maps
* Experienced in using graphic editing tools to create and modify visual assets
* Strong organizational skills, with the ability to manage design tasks, meet deadlines, and collaborate effectively with team members

Experience:
Junior UI/UX Designer

* Collaborated with cross-functional teams to design user interfaces for various web services and mobile apps, ensuring ease of use and visual appeal
* Created layouts for web services that function well on different devices and designed screens for mobile apps that consider touch interactions and clarity
* Adapted design approach to diverse project requirements and continuously improved skills through self-study and practice
* Utilized Figma, Adobe Photoshop, and Protopie to create layouts, mockups, and interactive prototypes

Projects:

1. Tattoo Studio Website ""Custom Concepts"" Redesign
* Redesigned tattoo salon website for improved user experience and convenience, resulting in a 20% increase in online bookings
* Implemented changes to the main color palette, high-quality photos, a simple booking form, and structured visual hierarchy
2. Web-service for Searching Lost Pets ""PetRescue""
* Designed a web application for searching lost pets, facilitating the reunion of lost animals with their owners
* Utilized Figma, Adobe Photoshop, FigJam, and Adobe Illustrator to create wireframes, mockups, and visual assets for the project

Languages:

* Native Ukrainian speaker
* Fluent in Russian
* Upper-intermediate English speaker
* Elementary Polish language skills."
98304,"Team Lead & Junior UI/UX Designer

• Led the Buki School project, managing a team of designers, conducting UX research, and presenting the project to the client
• Specialized in creating digital experiences with a focus on optimal user experience, including landing pages, redesigns, web services, and mobile applications
• Skilled in conducting in-depth interviews, questionnaires, persona creation, and empathy mapping

Buki School Project

• Conducted full-fledged UX research, including competitive and heuristics analysis, in-depth interviews, personas, and surveys
• Created a clickable cabinet prototype and presented the project to the client
• Collaborated with team members in all stages of the project

DocMe Web Service (Team Project)

• Conducted UX research, utilizing competitor and target audience analysis, personas method, Job Stories, and Customer Journey Maps
• Designed the main site and assisted in making changes in patient's and doctor's cabinets
• Worked closely with team members to implement the latest web design trends and techniques

Seeking a collaborative team of passionate design and innovation professionals. Value an employer who invests in training and development to stay current with the latest web design trends and techniques."
98305,"Team Leader and UI/UX Designer

* Led the ""Web-service for finding lost pets"" project as a team leader, determined the direction of work, distributed responsibilities, scheduled meetings, and created an intuitive interface that met the expectations of the target audience. Completed the project on time and received high praise from the mentor.
* Collaborated with student developers on a start-up project to create a web service for calculating salaries, bonuses, etc. for accountants and related professionals.
* Completed a special course in UI/UX design. Gained experience through 6 study cases, learning the principles of design and how to apply them to create user-friendly and visually appealing interfaces.

Projects:

* Mobile app for a chain of coffee shops: Designed an intuitive and youthful interface with well-developed functionality. Conducted competitor and target audience analysis, created personas, user flow, wireframes, and animations.
* ""Web-service for finding lost pets"": Led a team to create a web service that met the expectations of the target audience. Conducted various analyses, including competitor analysis, target audience analysis, user-personas, customer journey map, and user-flow.
* Travel agency website redesign: Created a clean and concise design for a wide range of target audience. Conducted competitor and target audience analysis, created personas, user flow, wireframes, uidesign, adapted and animated.

Seeking to join a team of specialists who strive to develop and improve the level of their projects. Eager to put theoretical knowledge into practice and climb the career ladder over time."
98306,"Junior UX/UI Designer

* Proficient in UX principles with practical experience in implementing them
* Completed courses in UX Design, Interaction Design on Projektor and UI/UX in Skill-up school
* Managed projects from start to finish, including setting requirements of stakeholders, research, working with personas in Miro, task analysis, creating high-fidelity wireframes and interactive prototypes in Figma, usability testing, and presentations
* Projects include:
	+ Planner application
	+ Redesign of eCommerce website
	+ Landing page
	+ CRM system
	+ Corporate website
* Eager to realize my potential, quickly develop myself, and bring benefits to the company."
98307," Junior UX/UI Designer Resume

1. E-commerce skincare website redesign:
	* Optimized usability and visual design, enhancing user experience
"
98308,"Junior UX/UI Design Professional

* Digital Marketing Professional Certificate, University of Miami
* Proficient in Sketch, Figma, InVision, and Adobe XD
* Experience with user research, personas, and usability testing
* Designed and implemented responsive web and mobile applications
* Collaborated with cross-functional teams to create user-centered designs
* Knowledgeable in HTML, CSS, and JavaScript for prototyping
* Created low-fidelity and high-fidelity wireframes and prototypes
* Conducted competitive analysis and heuristic evaluations
* Strong communication and presentation skills."
98309,"Junior Web Designer

* Designed and developed web pages, graphics, and visual elements for company website and marketing materials
* Built company website from the ground up, maintaining design control of finished pages
* Collaborated with developers and testers to ensure design integration
* Produced wireframes, mockups, and prototypes to communicate design concepts
* Designed marketing materials including social network covers, YouTube video previews, and demonstration videos using OBS Studio
* Proficient in Figma, Adobe Illustrator
* Eager to continue developing professional design skills through new projects."
98310," Mid Product Designer

Responsibilities:

* Design consumer products, improving existing product designs by implementing new features and technologies
* Analyze competitor product working concepts to match or exceed quality and performance standards
* Collaborate with cross-functional teams to ensure product alignment with company goals and user needs
* Pursue growth and development, aiming for progression to senior, executive, or managerial roles in specific industries and companies

Experience: Mid Product Designer

* Designed and improved consumer products, enhancing user experience and functionality
* Conducted in-depth analysis of competitors' products to align and enhance quality and performance
* Contributed to cross-functional teams in delivering products that meet company objectives and user requirements."
98311,"UI/UX Designer

* Completed several freelance projects, delivering customized solutions
* Known for responsible task execution and strong attention to detail
* Recognized for quick learning and adaptability

Skills:

* Expert in Figma, Prototyping, and Adobe Photoshop
* Exceptional communication skills
* Collaborative team player
* Strong motivation and decision-making abilities
* Meticulous attention to detail and accuracy

Seeking a remote position with scalable hours to maximize design potential."
98312,"Experienced Auditor & Graphic Designer with a Strong Passion for UX/UI

Education:

* Master's degree in Economics
* Bachelor's degree in Economics

Experience:

* Graphic and Social Media Post Designer, Education Center
	+ Created engaging social media posts, eye-catching posters, and printables
	+ Handled the entire branding process for the organization
* Auditor, Accounting Firm
	+ Conducted audits of financial statements and internal controls
	+ Analyzed financial data and prepared reports to ensure compliance with regulations

Skills:

* Strong analytical foundation and comprehensive understanding of business principles
* Proficient in graphic design software (e.g. Adobe Creative Suite)
* Excellent attention to detail and ability to work within strict deadlines
* Familiarity with user behavior psychology and human-centered design principles
* Dedicated to creating intuitive, user-friendly interfaces that enhance usability and deliver exceptional experiences

As an entry-level UX/UI designer, I am eager to learn, grow, and contribute my skills to a dynamic and innovative team. My unique blend of analytical thinking and creative problem-solving skills, combined with my passion for design, make me an ideal candidate for a career in UX/UI design."
98313,"* Enhanced Skills:
	+ UX Research
	+ Design Systems Development
	+ Working with Diverse Guidelines
	+ Marketing Collateral Creation
	+ Mobile Design (rules, patterns)

* Professional Experience as a UI/UX Designer encompasses projects across various domains:
	+ Mobile Applications (guide app, lottery app)
	+ Corporate Website Redesign (web, mobile, and tablet adaptive)

* Responsibilities:
	+ Analyzing and Designing existing screens
	+ Developing Design Systems based on Design Thinking process
	+ Producing all materials for marketing team
	+ Visual Design for company's social media on all platforms
	+ Creating case studies and multiple Behance projects

* Projects' Tech-Stack:
	+ Angular Material, Kendo UI, Human Interface Guidelines, and Google Material Design

* Additional Involvement:
	+ User Research
	+ Competitor Analysis
	+ Brainstorming
	+ Building Style Guide
	+ Creating Information Architecture
	+ Prototyping
	+ Adaptive Design
	+ Client Team and Developer Communication
	+ Wireframing and Mockup Creation."
98314,"---

**Experience**

* Collaborated with cross-functional teams to design intuitive and visually appealing user interfaces for web and mobile applications, utilizing a keen eye for detail and strong problem-solving skills to deliver exceptional user experiences.

**Projects**

**Table Tab Mobile App Design**
Jun 2023 - Aug 2023

* Conducted reference research, updated wireframes, and compared and chose the most suitable design systems for the project.
* Prototyped UI screens with final results and invented a UI option for rewards, aiming to keep users engaged and make a positive impression.

**Host Radar Project Design**
Apr. 2023 - Jun 2023

* Analyzed the market and competitors for the Host Radar web service for work and recreation in a new place.
* Gathered references for the work process, prepared wireframes, animated prototypes, and completed the case.

**Mainsal Realty Company Redesign**
Feb 2023 - Apr 2023

* Analyzed the existing website and found it to be overloaded and not user-friendly.
* Conducted research and compared competitors in the US market, redesigning the website to be more user-friendly and convenient.

**Skills**

* Detail-oriented and passionate about crafting seamless and intuitive user experiences.
* Strong foundation in design principles and a drive for continuous learning.
* Committed to creating impactful and visually captivating interfaces that resonate with users.
* Aspires to further develop design skills and knowledge while contributing to innovative and user-centric projects.
* Actively collaborates with senior designers and stakeholders, taking on new challenges to deliver compelling and delightful user experiences that exceed expectations."
98315," Plural Code Academy Graduate & Software Agency Intern

* Designed and developed a mobile app for a salon after completing Plural Code Academy's program.
* Gained experience in UI/UX design for web and mobile applications using Figma, user research, wireframing, prototyping, and usability testing.
* Designed and completed websites and mobile views for a cryptocurrency platform and a resort center during a software agency internship.
* Demonstrated abilities as a quick learner, problem-solver, and team player committed to delivering high-quality work and meeting deadlines.
* Seeking to gain further hands-on experience in UI/UX design and learn from industry professionals."
