,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5
6213,"# [YOUR NAME]

**Location:** Kyiv, Ukraine  
**Email:** [Your Email]  
**Phone:** [Your Phone]  
**LinkedIn:** [Your LinkedIn]

---

## PROFESSIONAL SUMMARY

Results-driven Project Manager with IT industry experience and legal background. Skilled in leading cross-functional teams, managing stakeholder relationships, and delivering projects using Agile and Waterfall methodologies. Proven track record in project documentation, risk management, and operational coordination. Legal expertise combined with project management training enables comprehensive approach to compliance and delivery excellence.

---

## PROFESSIONAL EXPERIENCE

**Founder & Project Manager** | Online Shop for Developmental Children's Toys  
*Kyiv, Ukraine | [Start Date] - Present*

- Lead cross-functional team of four professionals including Power Query Developer, Designer, Sales Manager, and Supply Manager
- Implement time and task management systems in Notion to optimize team workflows and productivity
- Drive project roadmap execution and milestone delivery across all business operations
- Develop and maintain comprehensive project documentation and operational procedures
- Navigate legal and compliance requirements ensuring full regulatory adherence

**Project Management Intern** | We Challenge & UNIT.City  
*Kyiv, Ukraine | February 2023 - March 2023*

- Facilitated intern team collaboration for IT events organization initiative
- Designed Impact Map and comprehensive Project Plan including WBS, Timeline, and Resource allocation
- Built Risk Register, Stakeholder Register, Stakeholder Map/Matrix, and RACI Matrix
- Developed and implemented Stakeholder Communication Plan ensuring alignment across all parties
- Conducted strategic research and analysis driving data-informed project decisions

**Legal Counsel** | [Company Name]  
*[Location] | [Dates] | 5+ years*

- Led team of five legal counsels, coordinating workload and ensuring quality deliverables
- Drove deadline compliance and task completion using structured task management systems
- Created project plans, maintained documentation registers, and delivered executive reports
- Managed client and stakeholder communications on complex legal matters
- Prepared contracts, invoices, and service acceptance documentation
- Provided specialized legal support within IT industry environment

---

## EDUCATION

**Master's Degree in Law**  
*[University Name] | [Year]*

**Professional Development**

- **IT Project Management** | Creative&Tech Online Institute: Projector | November 2021 - February 2022
- **Become a Project Manager** | LinkedIn Learning Path | March 2023
- **Fundamentals of Team and Project Management in IT** | Lviv IT School (LITS) | 2021

---

## TECHNICAL SKILLS

**Project Management:** Notion, Trello, Jira, Miro, Slack, Confluence, Gantter, Gather, Google Meet

**Productivity Suite:** Google Workspace (Docs, Sheets, Calendar), Microsoft Office, Windows

**Design:** Canva

**Methodologies:** Waterfall, Scrum, Kanban, Software Development Life Cycle (SDLC)

**Project Artifacts:** Impact Map, Work Breakdown Structure (WBS), Gantt Chart, Risk Register, Stakeholders Register, Stakeholders Map/Matrix, RACI Matrix, User Stories, User Story Map, Definition of Ready, Definition of Done, Task Estimation (Big/Small/Uncertain, Poker Planning, T-Shirt Sizes)

---

## CORE COMPETENCIES

- Cross-Functional Team Leadership
- Stakeholder Engagement & Communication
- Project Planning & Documentation
- Agile & Waterfall Methodologies
- Risk & Resource Management
- Legal Compliance & Contract Management
- Strategic Problem-Solving
- Process Optimization

---

## LANGUAGES

- **Ukrainian:** Native
- **Russian:** Native
- **English:** Upper-Intermediate (B2)"
6214,"# [YOUR NAME]

Junior Project Manager

## PROFESSIONAL SUMMARY

Results-oriented Junior Project Manager with expertise in project management methodologies including SDLC, Scrum, and Agile frameworks. Proven track record in stakeholder management, team coordination, and comprehensive project documentation. Brings hands-on managerial experience with strong organizational capabilities and commitment to delivering projects efficiently.

## EDUCATION & TRAINING

**Project Management Course** - Completed

## CORE COMPETENCIES

**Project Management Methodologies:** SDLC | Scrum | Agile | Project Management Fundamentals

**Leadership & Communication:** Stakeholder Management | Customer Relations | Team Coordination

**Documentation & Administration:** Project Documentation | Legal Document Preparation

**Technical Skills:** Windows | MS Office Suite | Google Applications

## PROFESSIONAL EXPERIENCE

**Manager** | [Previous Company]

• Managed customer and stakeholder relationships, ensuring alignment of expectations and project objectives

• Coordinated cross-functional team activities and organized workflow to optimize productivity

• Oversaw end-to-end project management activities and deliverables

• Maintained comprehensive project documentation ensuring accuracy and accessibility

• Prepared various legal documents with attention to detail and compliance requirements

## KEY STRENGTHS

• Effective team collaboration and coordination across diverse groups

• Demonstrated reliability and strong work ethic in fast-paced environments

• Exceptional customer and stakeholder engagement skills

• Superior documentation and organizational capabilities"
6231,"**PROFESSIONAL EXPERIENCE**

**Project Management Specialist**
Grant Thornton Ukraine, Kyiv
Financial Consulting Department

Company Services: Audit services, financial consulting, tax consulting, legal services, outsourcing

**Key Responsibilities:**
- Managed client and contractor communications
- Maintained project documentation and execution schedules
- Conducted information collection and analysis for project implementation
- Coordinated administrative support for work meetings
- Prepared and delivered project reports

**Notable Projects:**
- Development of monitoring system for Sustainable Development Goals achievement at Kyiv city level
- Anti-corruption policy audits
- Financial statement audits

**TECHNICAL SKILLS**

Microsoft Office | 1C/BAS | CRM Bitrix 24 | Smart Tender

**LANGUAGE PROFICIENCY**

English – Upper-Intermediate

**CAREER OBJECTIVES**

Information Technology Manager | Product Manager | Assistant Team Manager | Assistant Project Manager | Project Office Coordinator

**PROFESSIONAL ATTRIBUTES**

Responsible, attentive, and self-motivated professional with strong analytical capabilities and proven team collaboration skills. Adaptable to challenging situations with demonstrated ability to work effectively both independently and in team environments."
6232,"# PROFESSIONAL SUMMARY

Results-driven manager with proven expertise in delivering complex projects and leading cross-functional teams. Skilled communicator with demonstrated ability to manage multiple priorities, implement process improvements, and build strong stakeholder relationships. Committed to advancing management career in the IT sector.

# KEY ACHIEVEMENTS

Successfully delivered 20+ educational projects for over 500 members across Boeing, Ubisoft, and Xpand.

# CORE COMPETENCIES

**Project & Program Management**
• Plan, monitor, and coordinate project launch schedules, task progress, and team workload prioritization
• Prepare and organize project documentation and deliver regular status updates
• Identify and manage project risks while providing cost-saving solutions
• Analyze key drivers of project profitability and contribute to project design discussions

**Agile & Process Excellence**
• Implement Agile and Scrum methodologies including 1-on-1 meetings, stand-ups, and retrospectives
• Apply Lean methodology to drive continuous project improvement
• Monitor, maintain, and enhance field operations performance ensuring timely and accurate delivery

**Stakeholder & Team Leadership**
• Communicate directly with customers to clarify requirements, manage expectations, and handle change requests
• Serve as liaison across various stakeholders on project-related matters
• Manage team motivation and foster collaborative work environment"
6233,"**British Autoclub Assistance, Kyiv – IT Manager**  
September 2018 – March 2019

- Gathered requirements for composing MVP on web, app, and CRM system projects
- Conducted black box/grey box testing and acceptance testing on delivered features for CRM and app projects
- Managed app project delivery in cooperation with foreign outsource team, including project backlog forming, sprint backlog forming, manual testing, and bug tracking
- Provided support on 1C accountancy management and new features development

**Pride International LLC, Kyiv – Project Manager Assistant / QA Manager**  
August 2017 – September 2018

- Facilitated sprint planning and product backlog management
- Conducted quality assurance tests during sprint workflow and final product releases
- Assisted in resolution of app and web-version defects
- Removed team impediments through understanding of control and release processes
- Tracked and communicated team velocity and sprint/release progress to affected teams and management
- Defined and deployed new product development processes and facilitated continuous improvement of existing processes

**MBM Partners, Kyiv – Head of Lead-Generation and Advertising Departments**  
June 2015 – August 2017

- Managed and controlled lead-generation and traffic management initiatives
- Developed strategic guidelines and tactics for company social media activities (SMM)
- Planned, recommended, and implemented social media marketing strategies
- Composed development tasks for social media lead extraction scripts
- Integrated automation and controlling tools for social media content"
6239,"**PROFESSIONAL SUMMARY**

Results-driven professional with 4+ years of English teaching experience and proven project management capabilities. TESOL/TEFL certified with advanced English proficiency and excellent written and verbal communication skills. Experienced in managing student progress, conducting retrospectives, and applying Agile methodologies. Seeking to leverage customer service expertise and organizational skills in a project management role.

**CERTIFICATIONS**

World TESOL Academy — 120-Hour TESOL/TEFL Certificate
Accredited by ACCREDITAT & The CPD Certification Service

**CORE COMPETENCIES**

• Project Management & Agile Methodology
• Sprint Retrospectives & Goal Achievement (80%+ success rate)
• Project Lifecycle & Metrics Understanding
• Scrum, Kanban & Waterfall Methodologies
• Stakeholder Communication & Client Relations
• Problem-Solving & Multitasking
• MS Office Suite
• Copywriting & Videography Workflow Knowledge

**PROFESSIONAL EXPERIENCE**

**ESL Teacher/Tutor (Self-Employed)** | 2018 – Present
• Manage 20+ students across individual and group online English lessons, serving as teacher, mentor, manager, and advisor
• Develop and implement technology-integrated activities to diversify instruction for children and adults
• Facilitate day-to-day meetings and design class management systems
• Conduct quarterly assessments and retrospectives to evaluate student progress against goals
• Create monthly academic status reports based on in-depth student evaluations
• Deliver Business English instruction and facilitate speaking clubs
• Increase students' reading, grammar, and speaking proficiency while adapting lesson plans for individual needs
• Document student attendance and track progress metrics

**Customer Support Specialist (Internship)** | August
• Resolved product and service issues via text message interface and calls in Crisp to ensure customer satisfaction
• Utilized CRM system and sales tools including Email Finder, Email Verifier, Email Warm-up, and Drip Campaigns
• Delivered responsive customer support through multiple communication channels

**Assistant SMM Manager** | Instagram
• Created content and developed copy as content creator and copywriter

**Cashier** | McDonald's, Germany
• Participated in student exchange program ""Work and Travel in Germany""

**EDUCATION & ACTIVITIES**

• Participated in various student startups and volunteer rallies during university studies
• Extensive volunteering experience throughout studentship

**CAREER OBJECTIVES**

Seeking a project manager role within a growing team offering a customer-focused, innovative, challenging, and engaging learning environment to acquire and hone valuable skills while managing products and communicating with clients."
6240,"# PROJECT MANAGER

## PROFESSIONAL SUMMARY
Results-driven Project Manager with expertise in client communication, resource planning, and team coordination. Proven track record in SDLC methodologies, team management, and successful project delivery.

## PROFESSIONAL EXPERIENCE

**People Coordinator**  
Crunch | Current

- Lead client engagement as primary point of contact for project information, updates, and escalations
- Drive stakeholder alignment through regular project status updates via meetings, correspondence, and status tracking systems
- Forecast, track, and optimize resource allocation across multiple projects
- Identify critical project resources and collaborate with company managers to secure talent acquisition
- Build and cultivate high-performing, collaborative project teams
- Enhance individual and team performance through strategic coaching and support
- Administer and monitor internal project team assignments
- Proactively assess team and specialist capacity to identify and mitigate risks including turnover, burnout, and interpersonal conflicts
- Advise specialists on company social benefits and remuneration policies
- Design and facilitate team building initiatives aligned with team needs and organizational objectives

## EDUCATION & CERTIFICATIONS

**Project Manager Profession | 10.0**  
GeniusMarketing | May 2022

**Basic Course**  
Online Ukrainian School of Project Management by Denys Prylutskyi | July 2022

**Fundamentals of Team and Project Management in IT. Preparatory**  
Prometheus | October 2021

## PROFESSIONAL DEVELOPMENT

Actively attending webinars on SDLC methodologies, team management, and project management."
6254,"# Professional Summary

Results-driven marketing and business development professional with experience in lead generation, social media management, and sales. Proven track record in website development companies and crypto marketing agencies. Skilled in strategic planning, framework development, and cross-functional collaboration.

# Professional Experience

**Business Developer/SDR/Sales Manager/Account Manager**
Crypto Marketing Agency

- Managed business development and client relationship functions across multiple roles
- Executed sales strategies and account management initiatives
- Delivered results in dynamic, fast-paced environment

**Lead Generation Manager**
Website Development Company | 1 Year

- Developed and managed lead generation strategies and campaigns
- Drove business growth through targeted marketing initiatives

**Social Media Manager**

- Managed social media accounts for multiple companies
- Created and executed targeted advertising campaigns on Facebook Ads
- Increased brand visibility and engagement across social platforms

# Core Competencies

- Lead Generation & Pipeline Development
- Social Media Marketing & Advertising
- Business Development & Sales Strategy
- Account Management & Client Relations
- Strategic Planning & Framework Development
- Cross-Functional Team Collaboration
- Project Coordination & Management

# Technical Skills

**Marketing & Advertising:** Facebook Ads, Instagram, LinkedIn, Expandi

**Project Management & Collaboration:** Miro, Asana, Figma

**CRM & Productivity:** Pipe Drive, Google Meet, Google Sheets, Google Docs

# Professional Strengths

- Strong interpersonal and communication skills
- Creative ideation and strategic thinking
- Effective time management and planning
- Continuous learner with adaptability to new technologies and methodologies
- Collaborative team player with cross-functional expertise"
6255,"# Delivery Coordinator | Error Manager | Senior Test Engineer

Results-driven Delivery Coordinator and Error Manager with 8 years of specialized experience in automotive embedded systems projects. Proven expertise in coordinating deliverables, managing quality processes, and leading test engineering initiatives within the automotive industry.

## Professional Experience

**Senior Test Engineer | Delivery Coordinator | Error Manager**
Automotive Embedded Systems Projects | 8 years

- Coordinate project deliveries and manage error resolution processes for automotive embedded projects
- Lead test planning and execution activities for automotive systems
- Facilitate customer communication and manage stakeholder expectations
- Organize and coordinate team activities to ensure project success
- Utilize Jira and Confluence for project tracking and documentation

## Core Competencies

**Technical Expertise**
- Automotive Embedded Systems Testing
- Test Planning & Strategy Development
- Error Management & Quality Assurance

**Project & Delivery Management**
- Delivery Coordination & Project Management
- Jira & Confluence Administration
- Team Organization & Leadership

**Communication & Stakeholder Relations**
- Customer Communication & Stakeholder Management

## Education

**Master's Degree in Automobile/Automotive Mechanics Technology**
National Transport University

## Professional Objective

Seeking opportunities in automotive projects to leverage extensive industry-specific knowledge and technical expertise developed throughout 8-year career in automotive embedded systems."
6342,"# PROFESSIONAL EXPERIENCE

## MROWKI-UA
**Automation Project Manager**
*2021-2022*

• Managed automation implementation for company processes
• Directed website development for automation components
• Developed messenger bots to streamline communication

---

## INTERRA | Online School
www.interra.bz
**Automation Project Manager / Business Analyst**
*2020-2022*

• Analyzed business processes and recommended transformations
• Implemented automation solutions in Bitrix
• Developed analytics dashboards in Power BI
• Delivered cost savings, improved efficiency, and enhanced service quality

---

## RUBLEVFAMILY | Quest Franchise
fr.fortfamily.ru
**Automation Project Manager**
*2018-2022*

• Implemented automation for franchise sales department
• Expanded automation solutions to all franchise partners' sales departments
• Established marketing analytics systems

---

## BIZRAISE | Marketing Agency
bizraise.pro
**Automation Project Manager / Business Analyst**
*2017-2018*

• Specialized in business process analysis and automation across diverse business sectors
• Assessed current client processes and identified requirements and challenges
• Designed automation solutions to address business problems"
7630,"# MARKETING SPECIALIST

## PROFESSIONAL SUMMARY

Results-driven marketing specialist with expertise in digital marketing, SEO strategy, and paid advertising across multiple platforms. Proven ability to lead cross-functional teams, manage contractors, and deliver data-driven marketing campaigns.

## CORE COMPETENCIES

Market Research | Social Media Marketing | Email Marketing | Google Ads | Instagram Ads | Facebook Ads | SEO | Backlink Strategy | Content Creation | Contractor Management

## PROFESSIONAL SKILLS

**People Management & Leadership**
- Coordinate cross-functional teams and stakeholders to achieve organizational objectives
- Design simple and transparent operational systems that improve efficiency
- Manage conflicts and resolve high-pressure situations with diplomacy
- Navigate organizational hierarchies to achieve mutually beneficial outcomes

**Marketing & Analytics Platforms**
Google Ads | Google Ads Editor | Google Tag Manager | Google Analytics | Facebook Business Manager | LinkedIn | Mailchimp

**SEO & Research Tools**
Ahrefs | Serpstat | SimilarWeb

**Web Development & Design**
Tilda | Wix | Bitrix | Adobe Photoshop | Adobe Illustrator | HTML (basic)

**Technical Proficiencies**
SQL (basic) | Microsoft Excel | Microsoft PowerPoint

## LANGUAGES

**Ukrainian** - Native  
**Russian** - Native (C2)  
**English** - Advanced (C1)  
**German** - Advanced (C1)  
**Spanish** - Elementary (A2)  
**French** - Elementary (A2), in progress

## PROFESSIONAL BOUNDARIES

Not available for opportunities in gaming, gambling, dating, or fraud sectors."
7654,"# PROFESSIONAL SUMMARY

Results-driven telecommunications professional with 14 years of experience in B2B customer service, network coverage solutions, and business process development. Proven expertise in analytical problem-solving, stakeholder negotiation, and cross-functional project coordination. Skilled at managing complex technical requests involving financial analysis, contract negotiations, and multi-party collaboration. Committed to delivering high-quality service as the foundation for effective sales and long-term customer relationships.

# CORE COMPETENCIES

- B2B Customer Service & Sales Support
- Network Coverage Analysis & Optimization
- Business Case Development & Financial Analysis
- Stakeholder Management & Multi-Party Coordination
- Contract Negotiation & Terms Management
- Payback Calculations & Revenue Projections
- Technical Solutions Development
- Business Process Implementation
- Training & Presentation Delivery
- Content Marketing & Copywriting
- English Language Proficiency

# PROFESSIONAL EXPERIENCE

**Telecommunications Industry Professional**
*14 years of progressive experience*

**Network Coverage Request Specialist**

*Business Process & Strategic Analysis*
- Launch and implement business processes for handling network coverage requests for B2B customers
- Develop comprehensive business cases for base station construction projects serving B2B customer needs
- Conduct financial analysis including payback calculations, revenue projections, and cost optimization
- Analyze service relevance and alignment with client business objectives

*Project & Stakeholder Management*
- Manage network coverage requests for corporate B2B customers, ensuring service excellence to support sales effectiveness and customer retention
- Coordinate complex project chains involving multiple stakeholders including colleagues, contractors, customers, landlords, and engineers
- Negotiate equipment placement terms, rental rates, and technical specifications with property owners and customers
- Negotiate effectively with management across all organizational levels

*Technical Solutions & Compliance*
- Optimize technical solutions to balance customer requirements with operational efficiency
- Communicate radiofrequency radiation information and regulatory compliance matters to stakeholders

*Training & Knowledge Transfer*
- Deliver training courses to colleagues on the customer request lifecycle for network coverage, utilizing interactive presentation techniques including audience engagement, real-world examples, supporting data, and visual documentation

**B2B Sales Customer Service Division**
- Developed foundational analytical, managerial, and negotiation skills
- Gained comprehensive understanding of B2B customer service operations

# PROFESSIONAL DEVELOPMENT

**English Language Training** | March 2018 – Present

**Content Marketing & Copywriting Course** | December 2020
- Completed coursework including client acquisition strategies and freelance business development

# PROFESSIONAL APPROACH

- Practice openness and honesty as core principles for successful business interactions
- Maintain commitment to continuous personal and professional learning
- Focus on service quality as the cornerstone of sustainable customer relationships

# CAREER OBJECTIVES

Seeking B2B Sales Manager or Project Manager position to leverage telecommunications expertise, analytical capabilities, and relationship management skills in a growth-oriented role with competitive compensation, high corporate standards, and opportunities to utilize English language proficiency."
8890,"# Business Analyst / Product Manager

## Core Competencies

**Product Management & Business Analysis**
- Business Analysis & Requirements Management
- Product Management & Product Ownership
- Agile Methodologies (Scrum, Kanban)
- Quality Assurance & Testing
- IT Process Optimization

**Technical Skills**
- HTML5, CSS, JavaScript
- Python
- UML Modeling
- Enterprise Systems (ERP, CRM)

**Project Management & Tools**
- Jira, Confluence, Redmine
- Rational Unified Process (RUP)
- Knowledge Base Management
- UI/UX Design Principles

## Professional Preferences

Open to opportunities outside of Forex, gambling, alcohol, and tobacco industries."
8916,"**PROFESSIONAL SUMMARY**

Results-driven IT professional with 10 years of comprehensive experience spanning government systems implementation, broadcasting technology, and IT distribution management. Proven track record of delivering complex technical projects for governmental organizations and commercial enterprises.

**CORE COMPETENCIES**

• Project Management & IT Consulting
• Business Development & Channel Management
• Government Systems Implementation
• Broadcasting Technology Solutions
• IT Distribution & Strategic Partnerships

**PROFESSIONAL EXPERIENCE**

**Business Development Manager & Channel Manager | IT Distribution Sector**
5 years

Drove business development and channel operations within the IT distribution sector, managing strategic partnerships and delivering revenue growth through effective channel management and relationship building.

**Project Manager & IT Consultant | Government & Broadcasting Sectors**
5 years

• Participated in implementation of card system for Central Bank of Azerbaijan, delivering critical banking infrastructure solutions
• Contributed to deployment of Inventory System for Treasury of Azerbaijan Republic, supporting public finance operations
• Managed online TV system projects for broadcasting industry, executing end-to-end technology implementations

**KEY ACHIEVEMENTS**

• Successfully contributed to multiple high-impact governmental infrastructure projects in Azerbaijan, spanning banking and public finance sectors
• Delivered technology solutions across diverse industries including banking, public finance, and broadcasting
• Built and maintained strategic relationships across IT distribution channels, driving partnership success and business growth"
9028,"# PROFESSIONAL SUMMARY

Results-driven BI/DWH professional with 10+ years of experience in reporting and development. Deep expertise in Oracle BI, SAP WEBI, Oracle PL/SQL, and ETL processes. Proven expert across data domains including Financial, Trading, Accounting, and banking business departments.

• 4+ years in Team Lead and Tech Lead positions
• 9+ years in Data Architecture, Data Modeling, and Data Analysis
• Extensive experience writing Technical Design and Requirements documents
• Deep knowledge of agile development practices: Scrum/Kanban
• Strong experience prioritizing requirements with customers
• Deep understanding of business goals and priorities in financial and product spheres
• Proactive in-team communication and leadership skills

## TECHNICAL SKILLS

**Business Intelligence & Reporting:** Oracle BI, SAP BO, Tableau, Pixel Perfect reporting

**Database & Programming:** Oracle PL/SQL, SQL, XML, Visual Basic (VB)

**Data Systems:** Siebel, B2, iFobs, isCard datastructures

**Development Tools:** Jira, SVN, Crucible

**Methodologies:** Agile, Scrum, Kanban

**Domain Expertise:** Financial and management banking reports, Bank Accounting, Trading, Financial data domains"
9066,"# PROFESSIONAL EXPERIENCE

**Consultant & Tender Management Specialist**

• Delivered consulting services for public procurement processes and provided full-cycle tender procedure management

• Managed and coordinated service proposals, including technical and commercial aspects, from issuance of calls for tender documents through bid submission

• Directed bid logistics, developed team schedules, and established responsibilities and expectations for bid deliverables

• Served as primary contact for preparation of technical, commercial, and contractual submissions in collaboration with cross-functional services

• Coordinated and participated in drafting proposal documents, ensuring quality and compliance within stipulated deadlines

• Managed proposal costs and deadlines while liaising with internal and external stakeholders including HR, finance, purchasing, legal services, and partners

• Collaborated closely with account directors on service proposals, submission documents, communications, client discussions, and meetings throughout the proposal process and development cycle

• Optimized effectiveness of the service proposal process and enhanced proposal tools to increase quality of submission documents and ensure compliance with standards and guidelines"
9445,"# BRANCH MANAGER / PROJECT MANAGER

Branch Manager / Project Manager with over fifteen years' experience in the IT industry, leading businesses and development teams of five to fifty people.

## CORE COMPETENCIES

Project & Product Management | Agile (SCRUM) | Requirements Management | Branch Management | Team Leadership | Stakeholder Engagement | Cross-functional Collaboration | Strategic Planning | Resource Allocation

## TECHNICAL SKILLS

**Project Management:** Atlassian Jira

**Development:** PHP4-5, HTML, CSS, jQuery, AJAX, Bootstrap, SQL

**Infrastructure:** LAMP, PostgreSQL, AWS, Nginx

**Version Control:** CVS, Mercurial, Git

**Systems:** CMS, CRM

## PROFESSIONAL EXPERIENCE

**Development Experience:** 15+ years

**Key Projects:**

**Legal Management System**
Delivered full-cycle multi-attorney workflow platform managing complete case lifecycle from initial claim filing through executive proceedings. Coordinated technical requirements and ensured seamless integration across all workflow stages.

**CRM System – Major Tourism Wholesale Supplier**
Led development of enterprise customer relationship management solution supporting hundreds of clients, tens of thousands of products, and multi-warehouse operations across multiple cities. Enabled scalable operations for major tourism wholesale supplier.

**SaaS Management Platform**
Developed comprehensive management solution for fitness clubs, dance studios, and similar small businesses, providing end-to-end operational support.

**E-Commerce Solutions**
Delivered multiple online stores of varying complexity and scale, managing complete project lifecycles from requirements through deployment.

## CAREER OBJECTIVE

Seeking Branch Manager or Senior Project Management position with an established company to leverage extensive IT management and project delivery expertise."
9542,"**PROFESSIONAL EXPERIENCE**

**Digital Marketing Manager**  
Genesis, Keiki

• Created and scaled Facebook advertising campaigns generating positive ROMI on $50,000+ monthly ad spend
• Collaborated with content manager to develop engaging content
• Analyzed key performance metrics to drive strategic marketing decisions

**Marketing Project Manager**  
Silpo

• Planned, executed and monitored marketing projects from conception to completion
• Coordinated cross-functional teams including IT, Design and Operations Departments
• Developed creative assets for website, targeted advertising, social media, Viber and email campaigns
• Managed video production delivering 2 successful productions
• Created content for recipe database comprising 170+ recipes
• Coordinated development of ""Recipes Silpo"" product initiative (not realized due to war)

**Brand Manager**  
Red Bull

• Developed social media strategy
• Assisted in organization and execution of brand events
• Conducted marketing research to inform brand initiatives
• Processed and evaluated 437 applications for Red Bull Basement 2021

**Volunteer Project Coordinator**

• Created content for website and social media platforms
• Coordinated 8-member core team
• Established partnership networks between companies, universities and students
• Identified and secured partners while maintaining ongoing stakeholder communication
• Evaluated and tracked event success metrics


**ADDITIONAL PROJECTS**

• Completed full copywriting for Lynksen website (not realized due to war)


**EDUCATION**

Genesis Marketing School"
9546,"# PROFESSIONAL SUMMARY

Results-driven Project Manager with 7+ years of experience in IT startups and event management. Demonstrated success building and leading teams of up to 25 people, managing full-cycle projects with budgets up to 5 million UAH, and delivering complex initiatives for major corporate clients. Expert in stakeholder communication, budget management, and cross-functional team coordination. Committed to continuous professional development through 2-3 educational programs annually in psychology, marketing, brand and product management, philosophy, and technologies. Strong analytical and interpersonal skills with expertise in conflict resolution and mediation.

---

# PROFESSIONAL EXPERIENCE

**Business Assistant to CEO**  
*07/2022 - 09/2022*

- Developed company strategy and communication frameworks
- Designed and implemented business processes across departments
- Led and managed 5-person sales team
- Created and executed marketing strategy
- Coordinated cross-functional teams including designers, developers, copywriters, and HR

**Event Project Manager**  
*Ant Hill Event Agency, Kyiv, Ukraine*  
*03/2020 - 10/2021*

Directed full-cycle BTL, marketing, and technology projects for major corporate clients including Metro Cash & Carry, Kyivstar, Metinvest, and Intersport.

Key Responsibilities:
- End-to-end project management from concept through execution and delivery
- Client relationship management and strategic communication
- Budget development, bid preparation, and client presentations
- Turnkey project implementation including design oversight, production coordination, and technical support

Selected Achievements:
- Launched innovative online production project for Metro Cash & Carry featuring interactive cooking master classes for professional chefs
- Orchestrated 500+ attendee conference for Metro chefs and partners at Odessa Dramatical Theater during quarantine, featuring world-renowned chef master classes and industry lectures
- Directed two-month multi-city sports olympiad for Metinvest across 5 locations
- Secured Kyivstar contracts through competitive tender process with winning proposals exceeding 5 million UAH in total project value
- Executed nationwide BTL campaigns for Metro Cash & Carry

**Co-Owner & COO**  
*Event Agency ""Believe in you"", Kyiv, Ukraine*  
*03/2019 - 09/2019*

- Drove client acquisition, partner development, and investor relations
- Managed budgets, financial planning, and company documentation
- Oversaw website development and brand identity design
- Directed event operations and team management

**Project Manager & COO**  
*TAG (Ukrainian Startup), Kyiv, Ukraine*  
*03/2016 - 12/2018*

- Recruited, hired, and onboarded employees to build development team from ground up
- Managed team operations and resource allocation
- Led full-cycle project and product management
- Oversaw budgeting and comprehensive project documentation
- Prepared detailed reports for product development milestones
- Advanced product to pre-release stage
- Represented company at international exhibitions, road shows, and investor presentations

Key Achievements:
- Built complete development team from scratch under constrained budget conditions
- Successfully led startup from conception to pre-launch stage
- Presented company at London Road Show for international investors in 2018

---

# CORE COMPETENCIES

- Team Building & Leadership
- Full-Cycle Project Management
- Talent Acquisition & Interviewing
- Budget Management & Financial Planning
- Zero-Budget Project Execution (investor attraction, fundraising, strategic partnerships, barter arrangements)
- Public Speaking & Presentations
- Volunteer Team Management (up to 25 people)
- Crisis Management
- Conflict Resolution & Mediation

---

# TRAINING & SPEAKING EXPERIENCE

- Designed and delivered training program: ""How to Pass Interview"" for IT beginners
- Designed and delivered training program: ""Dream Team - Myth or Reality?"" for IT beginners

---

# LOCATION & AVAILABILITY

Based in Lodz, Poland  
Available for remote work opportunities

---

# CAREER OBJECTIVES

Seeking Project Manager role in IT development or Event Manager position. Open to junior-level positions to refresh and advance IT PM expertise with clear growth trajectory. Seeking collaborative, positive team environments focused on developing meaningful products.

I do not work with companies that cooperate with russia or have russians among their employees."
9547,"# PROFESSIONAL EXPERIENCE

**Philip Morris Ukraine - Brand Executive, Marketing**
*2 years*
- Launched L&M Double Mix new product with full marketing support, achieving share of market target
- Provided continuous marketing support for Parliament brand
- Launched Hostess Project twice, generating 20K consumer contacts per month with full-support execution

**Philip Morris Ukraine - Project Manager Specialist, HR**
*2 years*
- Launched Philip Morris Business Academy with nationwide roll-out, achieving NPS of 90%
- Launched nationwide internship program, increasing graduate retention from 50% to 70%
- Launched global internship program, achieving 80% graduate retention rate
- Led EVP roll-out, adapting global Employee Value Proposition to local market demands
- Developed and implemented Employee Ambassador program

**Philip Morris Ukraine - Customer Care, Sales**
*8 months*
- Delivered customer care and sales support operations

**Nestle Ukraine - Purchasing Department**
*6 months*
- Supported purchasing department operations

# CAREER OBJECTIVES

Seeking challenging projects with ownership in a friendly and open-minded team environment

# KEY COMPETENCIES

- Product launch and brand management
- Program development and implementation
- Cross-functional collaboration across marketing, HR, and sales
- Strategic planning and execution
- Stakeholder engagement and retention improvement"
