Unnamed: 0,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o
215,"Unilime (з січня 2023)
Веб-дизайнер, UI/UX дизайнер, бренд-дизайнер

POZITIFF (жовтень 2019 – січень 2022)
Графічний дизайнер, веб-дизайнер
- Оформлення рекламних матеріалів
- Створення графіки для сайтів
- Розробка концепцій візуальної айдентики
- Створення ілюстрацій

IDEST agency (квітень 2019 – жовтень 2019)
Графічний дизайнер
- Розробка концепцій візуальної айдентики
- Оформлення соцмереж
- Робота з поліграфією та створення рекламних матеріалів

WSwallpaper (грудень 2017 – березень 2019)
Графічний дизайнер
- Розробка дизайну шпалер
- Верстка каталогів
- Створення рекламних матеріалів

Додаткові досягнення:
- Проведення курсу ""Основи Photoshop"" для менеджерів
- Створення методичного посібника для оптимізації роботи у графічних редакторах"
216,"UX/UI Designer та веб-дизайнер з досвідом роботи на платформах Tilda та Wordpress. Володію навичками роботи з Adobe Photoshop, Adobe Illustrator, Adobe Premier, Figma, а також з текстовими редакторами Word/Pages/Documents та Excel. Маю значний досвід у використанні конструкторів Wordpress та Tilda. Розробив освітній додаток для школярів ""Нова Школа"" та створив власний онлайн журнал Cultural Magazine. Маю досвід роботи як СЕО-спеціаліст з навичками в Google Search Console, Adwords, Analytics, Serpstat. Готовий займатися дизайном сайтів та мобільних додатків."
217,"UX/UI дизайнер з досвідом роботи в компаніях Selzy (Unisender.UA) by Ecomz та OneDome, а також як фрілансер. Спеціалізуюся на розробці дизайну та архітектури нових сторінок сайтів, редизайні існуючих сторінок, дизайні промо-сторінок на Tilda.

Викладав курс Web & UI/UX дизайн в Prog.kiev.ua, де готував навчальний матеріал та проводив лекції з роботи у програмах Figma, Sketch, Photoshop, Illustrator. Забезпечував менторську підтримку студентам у виконанні домашніх завдань.

Працював у державному секторі в КП «Центр публічної комунікації та інформації», де займався дизайном друкованої продукції, створенням інфографіки для соцмереж, підготовкою презентацій та редагуванням звітів.

Маю досвід у проведенні UX досліджень, дизайні іконок, банерів, а також у ребрендінгу сайтів та додатків компаній. Займався створенням айдентики для нових бізнесів, розробкою логотипів та фірмового стилю, а також створенням сайтів за допомогою Tilda."
218,"UX/UI дизайнер з дворічним досвідом. Ефективно співпрацюю з розробниками, продуктовими менеджерами та тестувальниками для аналізу даних та створення інтуїтивно зрозумілих інтерфейсів для мобільних додатків та веб-сайтів, орієнтуючись на потреби користувачів."
219,"Web Designer

Компанія iPromo

• Досвід проектування веб- та мобільних інтерфейсів
• Проведення UX-досліджень
• Побудова користувацьких потоків
• Створення wireframes та прототипів
• Володіння програмами: Figma, Adobe XD, Photoshop, Illustrator, Miro, Axure
• Знання основ HTML та CSS

Обов'язки:

• Створення банерів та розсилок
• Розробка презентацій
• Створення landing page на платформі Tilda
• Розробка рекламних оголошень для Facebook та Instagram
• Розробка айдентики та фірмового стилю"
220,"Досвідчена у веб-дизайні, здобула знання через проєкт IT Generation. Постійно вдосконалюю навички, працюючи над створенням CRM системи та сайтів для фотографа і сервісного центру. Вивчаю UX Design на платформі Coursera. Мій професійний досвід включає розробку творчих сайтів для арт галерей та музеїв, а також редизайн сайту для сервісного центру. Відкрита до нових можливостей, прагну спробувати себе у розробці мобільних додатків."
221,"Адміністратор онлайн занять - IMT-Academy (2017-2020)
- Адміністрування онлайн занять
- Підтримка онлайн та офлайн студентів
- Створення відео контенту для внутрішньої системи академії (LMS)

Motion designer - Фріланс (2020-2023)
- Анімування елементів інтерфейсу сайтів та мобільних додатків
- Створення відеоматеріалів для рекламних кампаній контекстної реклами та для таргетованої реклами в соціальних мережах
- Створення відеоматеріалів для офлайн реклами

UI/UX designer - Фріланс (2022-2023)
- Аналіз цільової аудиторії та ніші, дослідження референсів
- Розробка портретів користувачів, сценаріїв використання і логіки роботи проектів
- Розробка прототипів дизайну сайтів
- Розробка UI дизайнів сайтів
- Проведення UX аудиту та оптимізація існуючих інтерфейсів
- Розробка UX дизайнів сайтів
- Розробка адаптивних для мобільних пристроїв
- Співпраця та комунікація з замовниками, front-end розробниками та SEO спеціалістами
- Створення іконок, ілюстрацій, логотипів, банерів та інших графічних елементів

Додатково: Створення 3D моделей елементів дизайну сайту та високополігональних моделей."
222,"Адміністратор у ресторані  
- Відповідальність за фінансову звітність  
- Керування персоналом  
- Ефективна комунікація з клієнтами та співробітниками  
- Вирішення конфліктних ситуацій  

Рекрутер  
- Досвід у підборі кваліфікованих кандидатів для вакансій  
- Вміння знаходити найкращі рішення для обох сторін - роботодавця та працівника  

Помічник PMa  
- Організація ефективного товарообігу  
- Забезпечення безперебійної роботи процесів  

Мета  
Створення комфортних умов праці та досягнення високих результатів у будь-якій сфері діяльності."
223,"Адміністрування серверів на ОС Windows Server  
Адміністрування мережевого обладнання  
Ремонт і налаштування комп'ютерного парку (близько 40 ПК) і периферії  
Проведення профілактичних робіт та участь у закупівлі нового обладнання  
Створення резервних копій даних та відновлення даних  
Навчання користувачів  
Адміністрування доменних служб Active Directory  
Адміністрування сайту закладу  
Вивчення UI/UX дизайну з метою розвитку в цій професії, з багатьма ідеями та енергією  "
224,"Андрій, 22 роки

Досвід роботи:
- Створення різноманітних типів веб-сайтів
- Співпраця зі студіями та фріланс

Навички:
- Графічний дизайн та поліграфія
- Вміння працювати в команді
- Відповідальність та працьовитість
- Спілкування та написання англійською мовою

Технічні навички:
- Володіння програмами: Figma, Illustrator, Photoshop, Blender

Додаткова інформація:
- Готовий до віддаленої роботи (мак і монітор)"
225,"[Ваше ім'я]

Контактна інформація:
[Ваш номер телефону]
[Ваш email]

Професійні навички:
- Базові навички роботи з Figma
- Базові навички налаштування таргетованої реклами у Facebook
- Активні навички використання системи чату GPT для навчання, аналітики та пошуку інформації
- Досвід у редагуванні та створенні відеороликів

Досвід роботи:
[Якщо у вас є досвід роботи, додайте його тут, вказавши компанію, посаду та період роботи]

Освіта:
[Вкажіть вашу освіту, якщо це доречно]

Додаткова інформація:
[Додайте будь-яку іншу інформацію, яка може бути корисною для роботодавця, наприклад, сертифікати або курси, які ви пройшли]"
226,"Резюме:

- Успішний досвід роботи на фрилансі з позитивними відгуками від клієнтів.
- Внесення правок у готові проекти та розробка макетів лендінгів.
- Створення візиток та банерів для приватних осіб.
- Сильне бажання працювати в команді та освоювати нові навички.
- Прагнення отримувати досвід з проектів різного типу та масштабу."
227,"Досвідний дизайнер з понад 10-річним стажем у сфері дизайну. Спеціалізуюся на UI/UX, Web, графічному дизайні, motion дизайні та 3D (Blender), з основним акцентом на UI/UX. Двічі підвищений до арт-директора в різних компаніях. Постійно вдосконалюю навички та шукаю нові ідеї для реалізації в проєктах. Портфоліо доступне на веб-сайті, вказаному в контактах."
228,"Досвід роботи в E-commerce на західних платформах у ролі CEO понад 7 років. Проведення глибокого аналізу ринку та конкурентів, дослідження користувачів продуктів. Пошук нових продуктів та взаємодія з замовниками і користувачами. Вільне володіння англійською мовою. Постійне навчання та розвиток нових навичок. Вміння працювати в команді та знаходити рішення для будь-яких завдань."
229,"Освіта:
- Закінчив курси з дизайну від Genius, Creative Practice, Udemy і Dotli.

Досвід роботи:
- Понад півтора року досвіду роботи в компанії, де створив дизайн для понад 20 додатків на різні теми.
- Досвід у створенні Lottie анімацій для мобільних додатків.
- Більше року досвіду на посаді UI/UX Дизайнера в аутсорс компанії, де працював над дизайнами для мобільних застосунків для компанії та зовнішніх замовників.
- Досвід роботи як куратор в онлайн школі на курсі UI/UX Дизайну, де працював зі студентами та проводив їх через хащі інформації у світ дизайну.

Навички:
- Відкритий до навчання та розвитку.
- Завжди готовий вчитися новому та працювати над цікавими проектами з цікавими людьми."
230,"Веб-дизайнер, UI/UX

- Досвід роботи з програмами Figma, Adobe Photoshop, Adobe Illustrator
- Постійний розвиток дизайнерських навичок
- Креативний підхід до завдань
- Ефективність у роботі з великими обсягами інформації
- Високий рівень почуття стилю
- Відмінні організаційні здібності та відповідальність
- Вміння налагоджувати комунікацію"
231,"Навчався UI/UX дизайну в Beetroot Academy з лютого по липень 2023 року. Виконав повний редизайн сайту з консалтингових послуг як курсову роботу, оскільки вважав UI/UX частину застарілою. Провів дослідження цільової аудиторії, аналіз конкурентів та трендів. Розробив дизайн лендінгу для Dating-ресурсу та low-fidelity wireframes для магазину солодощів. Працював над User persona, Empathy map, User flow, Customer journey map та Information architecture. Наразі співпрацюю з ментором для покращення навичок та отримання досвіду в реальному бізнесі. Шукаю дружній колектив, конкурентну заробітну плату та можливість кар'єрного росту, а також бажаю мати ментора для швидшого та ефективнішого розвитку у цій професії."
232,Створення інстаграм постів та дизайну сайтів з використанням програм Figma і Adobe Photoshop. Набуття навичок веб-дизайну протягом останніх 1-2 місяців. Постійне вдосконалення в роботі з Figma і Adobe Photoshop. Активна робота над створенням власного портфоліо.
233,"Опановую графічний та веб-дизайн протягом 3 років як фрілансер. Шукаю постійну роботу для щоденного практичного досвіду та вдосконалення навичок. Мета - працювати в молодому колективі дизайнерів, які створюють сучасні продукти для вирішення бізнес-задач.

Куратор телеграм-чату онлайн курсу графічного дизайну в спільноті CREO понад 3 роки. Взаємодію зі студентами, допомагаючи освоювати графічні програми Adobe.

Досвід роботи оператором цифрового та широкоформатного друку в типографії. Орієнтуюся у всіх процесах: підготовка до друку, друк, післядрукарські роботи."
234,Виконав три некомерційні та один комерційний проекти для портфоліо. Шість місяців працюю на фрілансі у сфері веб-дизайну. Маю велике бажання розвиватися у цій галузі. Посилання на портфоліо надам за запитом. Дякую за увагу до моєї кандидатури.
235,"Виконав редизайн старого сайту за допомогою Figma та плагінів до неї, включаючи адаптацію, створення UI kit та завантаження кейсу на Behance. Наразі працюю над лендінгом та сервісом, планую розробку мобільного додатку. Використовую програми, такі як Figma, Adobe Photoshop, Adobe Illustrator та Canva."
236,"Пройшла курси в онлайн-школі SCVOT з відзнакою та отримала диплом. Набула досвіду роботи на фрілансі, успішно виконуючи замовлення в Figma. Завершила два проекти, останній з яких тривав 2 місяці, і замовник висловив бажання продовжити співпрацю."
237,"[Ваше ім'я]

Контактна інформація:
[Ваш телефон]
[Ваш email]
[Ваш LinkedIn або інший професійний профіль]

Професійний досвід:

Фріланс-дизайнер UI/UX
- Створення сайтів-портфоліо для різних клієнтів, включаючи майстра тату та студію танців.
- Розробка онлайн-магазину текстилю.
- Дизайн мобільного застосунку з рецептами.
- Виконання тестових робіт, таких як редизайн персональної сторінки студента зі статистикою та креативний геміфікований лендінг на тему ресайклінгу.

Основні навички:
- UI дизайн та дослідження потреб кінцевих користувачів.
- Володіння Figma для роботи з графікою.
- Використання Photoshop та Illustrator як допоміжних інструментів.

Професійні цілі:
- Прагнення до участі в цікавих веб-проектах.
- Бажання працювати в постійній команді.
- Уникнення проектів, пов'язаних з друкованими матеріалами та банерною рекламою, за винятком випадків, коли це невелика частина загального проекту."
238,"- Досвід у створенні дизайну інтерфейсів, буклетів, листівок, візиток та стікерів.
- Оформлення графічної документації, такої як прайс-листи, презентації та каталоги.
- Робота з контентом для соцмереж: створення банерів, обробка фото, монтаж відео та анімація.
- Відеозйомка дитячих виступів та монтаж відеороликів.
- Розробка фірмового стилю компанії та дизайн рекламної продукції.
- Навички візуального дизайну, зокрема розуміння ролі та функції елементів інтерфейсу та їх анімації."
239,"Професійні навички:
- Figma
- Adobe Photoshop
- Adobe After Effects
- Adobe Illustrator
- Tilda
- Основи програмування

Досвід роботи:
- Виконання проектів з поліграфії
- Дизайн лендингів
- Дизайн інтернет-магазинів
- Дизайн сайтів-портфоліо"
240,Курси та самоосвіта дозволили мені поєднувати різні сфери. Мої навички конструктора допомагають створювати конкурентоспроможні дизайни. Маю досвід роботи від інженера-конструктора в сфері машинобудування до Junior UI/UX дизайнера. Поєдную точність та творчість у своїй роботі. Володію Figma та Adobe Illustrator. З кожним новим проектом удосконалюю свої навички у напрямку UI/UX.
241,"Курси самопідготовки: Артем Русова QA, Тарас Шипка UI-UX design, Піжамна Академія.

Навички:
- Відмінні комунікативні навички
- Розв'язування задач
- Сервіс і підтримка
- Стресостійкість
- Командна орієнтація
- Творчість
- Впевнений користувач ПК
- Багатозадачність
- Figma, Microsoft Word, Excel

Досвід:
Відповідальна за розробку інтерфейсу для основних екранів додатку та вебсторінок, враховуючи принципи UX/UI дизайну та забезпечуючи зручність взаємодії користувачів з продуктом. Використовувала Figma для дизайну та прототипування.

Плани на майбутнє:
Поглиблене вивчення інструментів та методів UX дослідження для кращого розуміння потреб користувачів. Подальше вдосконалення у розробці анімацій та інтерактивності для створення більш привабливих та функціональних продуктів. Інтерес до веб-дизайну."
242,"Знання принципів співвідношення кольорів та їх використання. Участь у кількох UI/UX марафонах від великих компаній, де була відзначена як одна з найсильніших учасниць. Володіння навичками роботи з Figma та AfterEffects. Основні знання в Adobe Photoshop і Adobe Illustrator. Сильне бажання розвивати навички та постійно вдосконалюватися."
243,"Анастасія

Професійні навички:
- Досвід роботи з Figma та Adobe Photoshop
- Швидке навчання та вміння налагоджувати соціальні контакти
- Мотивація та бажання розвивати професійні здібності

Інтереси:
- Повна та неповна зайнятість
- Дистанційна робота"
244,"Професійний досвід:

- UI/UX дизайнер
- Участь у 5 проєктах на курсі з UI/UX дизайну, включаючи 2 успішних реальних проєкти
- Володіння навичками роботи з Figma та Adobe Photoshop/Illustrator
- Знання композиції, типографіки та кольорів
- Слідкування за трендами веб-дизайну
- Базові знання програмування
- Досвід у створенні та підготовці до друку логотипів та візиток

Особисті якості:

- Відповідальність та увага до деталей
- Відкритість до співпраці та нових ідей
- Почуття гумору
- Рівень англійської — B2

Мета: Створити з вами справді крутий продукт, який буде зручний у використанні."
245,"Оксана

Графічний дизайнер та UI/UX дизайнер з понад 15-річним досвідом роботи у провідних видавництвах та рекламних агенціях. Маю експертизу у створенні обкладинок, комп’ютерному макетуванні, верстці видань, розробці фірмового стилю, рекламних банерах, gif-банерах, картках товару, дизайні логотипів, оформленні сторінок соціальних мереж, POS матеріалах тощо. Останні 2 роки спеціалізуюсь на UI/UX дизайні, створюючи чисті та елегантні дизайни для лендингів, корпоративних сайтів, сайтів-візиток, інтернет-банерів, адаптивного дизайну та мобільних додатків. Володію навичками роботи з Wireframe, Mindmap, Figma, Adobe (Photoshop, Illustrator, InDesign, After Effects, Lightroom), маю розуміння UI та принципів UX, слідкую за останніми тенденціями веб-дизайну, приділяю увагу деталям, маю знання принципів HTML та CSS, типографіки та колористики. Відповідально підходжу до роботи, враховую всі побажання, дотримуюсь термінів та швидко засвоюю нову інформацію."
246,"Юра - досвідчений веб-дизайнер з понад чотирирічним практичним досвідом. Спеціалізується на створенні креативних та ефективних дизайнів для веб-сайтів, мобільних додатків та інтерфейсів у Figma. Має значний досвід у розробці веб-сайтів на платформі WordPress, зокрема з використанням e-Commerce, Elementor та різноманітних плагінів. Володіє навичками створення логотипів, презентацій та інфографіки. Відкритий до виконання тестових завдань, співпраці та роботи як дистанційно, так і в офісі. Шукає можливості для професійного розвитку та готовий до переїзду за роботою."
247,"Навички:
- Розробка користувацького інтерфейсу
- Design Thinking
- Atomic Design
- Проектування користувацького інтерфейсу (UED)
- Веб-дизайн
- Figma

Досвід:
- Закінчив ""Безкоштовний курс UI/UX Design (by Taras Shypka)""
- Невеликий досвід на фрілансі

Готовий виконати тестове завдання та пройти співбесіду."
248,"Досвідчений дизайнер з досвідом роботи на фрілансі та співпраці з професіоналами в галузі. Виконувала різноманітні дизайн-проєкти, включаючи створення креативів для соціальних мереж та розробку бренд буку для британської компанії. Активно волонтерила в українських проєктах. Освіта: закінчила художню школу та художній ліцей, що забезпечило високий рівень малювання та глибокі знання в цій сфері."
249,"Професійний веб-дизайнер з досвідом у розробці Landing page, інтернет-магазинів та персональних сайтів. Відмінно працюю з гайдлайнами для Apple та Android. Експерт у створенні креативних та зручних дизайнів банерів та emails. Володію навичками роботи з Figma та постійно прагну вдосконалюватися. Маю знання з колористики та типографіки. Проживаю у Великій Британії та володію англійською мовою на рівні B2 (Upper Intermediate)."
250,"Розуміння основ UI/UX, створення UI Kit, знання принципів композиції, кольору та типографіки. Володіння принципами юзабіліті та модульної сітки. Досвід у розробці концепцій та інтерактивних прототипів дизайну. Проведення UX-досліджень за допомогою різних методик User Experience Research. Мотивований розвиватися як професіонал веб-дизайну та приносити цінність команді та компанії. Орієнтований на досягнення результатів і виконання поставлених цілей та задач."
251,"Мій проект зі створення Адміністративної панелі для криптовалютної біржі визнаний одним з найкращих серед робіт студентів і опублікований на сайті навчального центру DAN.IT. Протягом семи місяців навчання за напрямком UI/UX дизайну я працювала над різноманітними проектами, включаючи багатосторінковий сайт для благодійного проекту та салону весільної моди, мобільний додаток для доставки їжі та бронювання столиків, CRM систему для криптовалютної біржі, а також лендінги для музею, чаю та йоги. Мої навички охоплюють аналіз конкурентів, розуміння потреб користувачів, розробку CJM, User Flow та Site Map. Я прагну створювати інтуїтивно зрозумілі та цікаві продукти, які відповідають потребам користувачів та бізнесу. Моє портфоліо постійно розширюється, і я завжди відкрита до нових можливостей у галузі дизайну веб-продуктів та анімацій. Я шукаю можливості для співпраці, які відповідають моїм навичкам та вмінням."
252,"Досвід роботи у провідних продуктових компаніях, таких як 1+1 media та AUTO.RIA, на позиціях web дизайнера та проджект менеджера/ scrum-майстра. Додатково, маю значний досвід роботи дизайнером на фрілансі та в діджитал студіях. Мої знання та досвід у різних сферах дозволяють приймати ефективні рішення для вашого бізнесу та забезпечувати успішну комунікацію з командами."
253,"Досвідчений користувач Figma з навичками вивчення Adobe Illustrator, Adobe Photoshop та Adobe Lightroom. Спеціалізуюся на створенні різноманітних веб-сайтів, включаючи eCommerce, Business, Blog, Portfolio, Informational та Landing page. Вмію ефективно працювати з текстом та наповнювати креативи влучними словами."
254,"Курси Ukrainian IT School Web Design  
Грудень 2022 - Травень 2023

- Впевнений користувач Figma, Photoshop, Illustrator, Lightroom, Axure, Corel Draw
- Розуміння останніх тенденцій та їх ролі в комерційному середовищі
- Знання візуальної комунікації: макет, колір, типографіка, піктограми, зображення, теорія дизайну, юзабіліті
- Створення прототипів, варфреймів та візуального дизайну сторінок сайту
- Розробка адаптивного дизайну для мобільних додатків та інших пристроїв
- Розробка логотипів та гайдлайнів
- Створення прототипів і user-flow, клікабельні прототипи у Figma
- Створення візиток, банерів і флаєрів
- Розуміння методів дослідження UX"
255,"Випускник центру підготовки IT спеціалістів ""SkillUp"" за напрямом UI/UX Design. Завершив програму вивчення англійської мови рівня B1 в ""Green Forest"". Шукаю першу роботу в дизайні після завершення навчання з UI/UX дизайну. Маю досвід співорганізації гірських походів, розробки дизайну футболок на гірську тематику та створення рекламних банерів для походів. Прагну працювати в компанії, де зможу вдосконалювати свої знання та навички в дизайні."
256,"UI/UX дизайнер

Досвід роботи:
- Понад 6 місяців фріланс-досвіду в UI/UX дизайні.
- Проекти:
  - Дизайн сайту e-commerce для продажу меблів.
  - Лендінг для сервісу вигулу собак.
  - Дизайн сайту для школи вивчення англійської мови.
  - Створення креативів для соціальних мереж.

Освіта:
- Beetroot Academy: Проект додатку онлайн-банкінгу.
  - Завдання: Створення зручного, зрозумілого та багатофункціонального мобільного додатку для спрощення та безпеки фінансових відносин.
  - Етапи роботи:
    - Mind mapping
    - Competitor analysis
    - User persona
    - Wireframing
    - Interactive design
    - Mobile version

Інструменти:
- Figma
- Miro
- FigJam
- Adobe Photoshop
- Adobe After Effects

Мета:
- Готова працювати над будь-якими проектами та розвивати свої навички у сфері дизайну."
257,"Привіт!

Я шукаю нову команду для розвитку своїх професійних навичок. Маю досвід роботи на part-time з двома стартапами, де здобула цінний досвід і готова вчитися та прогресувати. Шукаю постійну роботу, як в офісі, так і віддалено. Готова продемонструвати свої проекти та виконати тестове завдання. Буду рада надати більш детальну інформацію та поспілкуватися особисто."
258,"Досвід роботи:

1. Фріланс (1 рік)
   - Дизайн багатосторінкових сайтів, лендингів, мобільних додатків з нуля
   - Прототипування та аналіз цільової аудиторії
   - Розробка логотипів та брендбуків

2. IT компанія (8 місяців)
   - Веб-дизайнер
   - Дизайн багатосторінкових сайтів та лендингів
   - Прототипування та аналіз цільової аудиторії

3. Компанія з розробки дизайну продуктів (9 місяців)
   - UX/UI, графічний та motion дизайнер
   - Дизайн мобільних додатків з нуля
   - Анімація в Adobe After Effects
   - Розробка логотипів та брендбуків

Послуги з дизайну надавались для російського ринку."
259,"Дизайнер-початківець з досвідом у створенні дизайну обкладинок для YouTube, лендінгів та комплексних навчальних проєктів. Працював над CRM системою для медичної клініки, дизайном мобільного застосунку для паркування у місті та застосунку для пошуку рецептів і інструкцій з приготування."
0,"Управління творчими командами є моєю спеціалізацією протягом двох років. Маю досвід роботи моушн-дизайнером у продуктовій компанії, де створював креативи, асети, анімовані елементи інтерфейсу, lottie анімації.

На посаді РМ, окрім супроводження проєктів та спілкування з замовниками, брав на себе додаткові зони відповідальності, такі як системне адміністрування, розв'язання питань з ПЗ, технічний супровід спеціалістів, поліпшення процесів, навчання команди, підготовка документації та організація покупки профільного ПЗ.

Ключові переваги:
- цілеспрямованість
- допитливість
- автономність
- комунікабельність
- викладацький хист

Захоплююсь розв'язанням проблем самостійно, шукаючи інформацію та використовуючи різні методики. Маю значний викладацький досвід та успішно керував навчальними зустрічами для команди. Крім того, маю студентське минуле в журналістиці, що допомагає в роботі з командою."
1,"Я працював у великій і відомій системній компанії в галузях FinTech та IT. Маю досвід роботи у підрозділах:

- Business Development на позиції Account Manager
- Digital Marketing на позиції Affiliate Manager CPA

Маю значний досвід переговорів B2B та B2B2C. На попередньому місці роботи тісно співпрацював з командами Digital Marketing, Dev, Frontend та іншими підрозділами компанії. Виконував роль Project Manager у більшості своїх проектів. Ось деякі з реалізованих проектів:

- Запуск першого на ринку кредитування МФО проекту по кредитуванню на партнерських офлайн точках
- Повністю з нуля запустив та налагодив сервіс онлайн-кредитування на терміналах однієї з найбільших мереж України
- Запустив новий сервіс/продукт «сайт-конструктор» для партнерів CPA, починаючи з написання ТЗ (FRF) для девелоперів, побудови звітності і закінчуючи підключенням партнерів
- Побудова звітності з нуля у двох окремих системах

Працював за методологіями управління проектами Agile (Scrum та Kanban). Маю досвід написання FRF та FAQ. Реалізовував проекти з інтеграцією партнерів через API.

Виводив на ринок нові продукти для партнерів. Маю навички технічної інтеграції з партнерами:

- Налаштування постбеків
- Підключення до трекінгових платформ
- Робота з сервісами по відстеженню фроду
- Побудова звітів

Маю досвід організації акцій для партнерів з подальшим врученням нагород, а також організації участі у конференціях з встановленням стенду, промо матеріалів, бару тощо. Є досвід створення промо та рекламних матеріалів. Маю великий досвід роботи у сфері фінансів. Добре розбираюся в техніці та технологіях.

Моя ціль - продовжувати кар'єру в галузях fintech, IT, digital marketing, e-commerce. У перспективі хочу отримати керівну посаду та працювати на результат, застосовуючи весь свій досвід, потенціал та знання. Готовий спробувати себе в різних напрямах та видах діяльності, оскільки швидко навчаюсь та завжди прагну дізнаватись щось нове. Наразі мене цікавить робота, пов'язана з функціоналом Project Manager/Customer Tech Support, де потрібно комунікувати з партнерами та внутрішніми командами: розробників, дизайнерів тощо. Також хочу поглиблюватися у технічну/інтеграційну складову. Мені подобається створювати та будувати з нуля, від самого початку. Це завжди складно, але дуже драйвово. Не хочу займатися прямими продажами."
