Unnamed: 0,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free
98383,"**Summary**
Highly motivated and detail-oriented UI/UX designer with experience in research and analysis, seeking a role in a team of designers where I can continue to learn and grow.

**Education**
* Completion of basic UI/UX course, Hillel IT School
* Completion of UI/UX webinar, GoIt school

**Experience**
Research Manager, Entertainment/Crypto company (1 year 3 months)
* Researched, collected, and analyzed information from target audience to competitors and law policies of target countries
* Participated in UI/UX project and regression testing with QA department (part-time, last month)

**Projects**
* Destin/Tattoo: Competitor analysis, user analysis, and design creation for a tattoo salon website using Figma
* HelpPets: Competitor analysis, typography and UIKit creation, user flow design, and feature ideation for a web-service platform using Figma, Figma mock-ups, and Adobe Photoshop

**Skills**
* UI/UX design
* Research and analysis
* Figma
* Adobe Photoshop
* Team collaboration

**Interests**
* Animations
* Mock-ups
* 3D Design

**Preferences**
* Working in a team of designers
* Using Figma and standard Adobe Kit
* Open to using Miro and similar tools

**Note on Technical Skills**
Not interested in implementing frontend via JS or performing deployment."
98384,"EXPERIENCE

Web Service for Finding Lost Pets (Team Project)
UkrainianPets web service team member, responsible for creating a persona, Jobs-to-be-done, and designing key pages, including ""lost"" and ""found"" animals, ""my ads"", and a form for creating ads. Collaborated with the team to deliver the project.

Redesign of Indian Cuisine Website (Independent Project)
Conducted a redesign of an existing Indian cuisine website, focusing on creating a minimalist design that combined accessibility, structure, and visual hierarchy, resulting in a modern and user-friendly interface.

Flower Shop Landing Page (Independent Project)
Designed a one-page website for a flower shop, aiming to create a modern and user-friendly design that showcased flower arrangements and allowed for easy ordering and delivery.

SKILLS

* User experience (UX) design
* User interface (UI) design
* Web design
* Team collaboration
* Independent project management

CAREER OBJECTIVE
Seeking a full-time position in a company that aims to simplify everyday life and business, offering opportunities for growth, mutual respect, and a friendly work environment."
98385,"UI/UX Designer
2022 - Present

Education and Courses:
Junior Front-end Developer, EPAM University
UI/UX Designer, Taras Shevchenko

Experience:
Created web pages, blog site designs, and blogs
Designed branded materials, including company logos, social media posts, and illustrations
Developed designs for mobile and web applications, including one for Vinnitsa National Technical University (JetIQ)

Delivered attractive and user-friendly designs for various clients, including small businesses
Collaborated with clients and development teams to ensure successful project implementation
Developed corporate identities and illustrations using Figma, Illustrator, Photoshop, and Procreate
Designed and developed websites meeting client needs, from concept to responsive HTML5/CSS3 pages (including SASS and SCSS), with clear and understandable code

Applied UI/UX principles and understanding of user needs, working within existing brand guidelines to create functional and attractive products

Skills:
UI/UX Design (Figma)
Illustrations (Adobe Illustrator, Adobe Photoshop)
HTML, CSS (SASS, SCSS)

Commercial Experience:
JetIQ (2022-2023)
- Design creation
- Wireframe development
- Component creation
- Layout design

Notable Projects:
Anitime - Mobile application for watching anime
Innovexa - Landing page for a company providing data security services"
98386,"Flover Lover - Landing Page Development
Created a simple one-page website with easy navigation and gentle colors to advertise a new bouquet delivery service, including mood board creation and competitor analysis.

Custom Concept Tattoo & Design - Website Redesign
Redesigned a tattoo studio website to modernize its outdated design, ensuring a convenient and attractive user experience across various media devices.

VDOMA - Web Service Development
Developed and launched an animal search web service to help owners find lost animals quickly, involving competitor analysis, user persona creation, prototyping, system design, UI development, and adaptation.

Highly motivated and responsible professional seeking a full-time position in a company focused on enhancing everyday life and business productivity through user-friendly solutions. Proven ability to learn quickly and tackle challenging tasks."
98387,"Redesigned User Interface of Indian Cafe
Mobile App Optimization
Web-Service
Landing Page

Experience:
f.Lover Mobile App for Delivering Flowers
Developed a mobile application for ordering and delivering bouquets and gifts online, providing users with gift and flower recommendations and allowing for scheduled deliveries on specific dates, times, or special occasions.

Career Goals:
Seeking UX/UI design roles that prioritize user-centered digital experiences, creativity, and collaboration within cross-functional teams. Interested in positions that allow for thorough user research, thoughtful ideation, and testing, with a focus on quality over speed and user satisfaction."
98388,"Summary:
Highly motivated and detail-oriented designer with experience in creating user-friendly and intuitive interfaces for various web and mobile applications. Proven ability to work effectively in both team and individual settings, with a strong background in UX research, design principles, and project leadership.

Experience:

* Completed three projects during training, including two solo projects and one team project where I served as leader and primary idea generator.
* Developed a range of technical and theoretical skills, with a focus on creating comfortable and easy-to-use digital products.

Project Experience:

* Flowers Delivery Mobile App: Designed a user-friendly interface for online flower ordering, conducted persona research, and created a comfortable and easy-to-use app for global customers.
* Pet Scout Animal Pet Search Web Service: Conducted UX research, competitor analysis, and user flow analysis, and created wireframes, mockups, and prototypes for a web service designed to find missing pets.
* Barbershop Landing Page: Created a landing page for a barbershop, including competitor analysis, persona development, and research methods, with desktop, tablet, and mobile versions.
* Tattoo Studio Website Redesign: Redesigned a tattoo salon website, conducting competitor analysis and statistical data analysis to create a visually enjoyable and intuitive website.

Career Goals:
Seeking a remote or freelance position with a company that offers mentoring and opportunities for growth and development as a designer. Eager to contribute to creating products that meet customer needs and expectations."
98389,"UI/UX Designer

Proficient in Figma, Illustrator, Protopie, and Photoshop, with expertise in:

* Low and high fidelity prototypes
* Vector illustration
* Components
* Adaptive design
* Logo creation
* Landing page design
* User interface and user experience improvement

Focused on delivering user-centered design solutions for web and mobile applications, with a passion for turning concepts into real solutions that solve challenges and optimize user goals.

Career Highlights:

* Redesigned the ""Destin Tattoo Company"" website, completing competitor analysis, prototyping, text and color selection, logo development, wireframes creation, and component adaptation for tablet and mobile devices
* Contributed to the ""The Lost Pets"" web service project, creating a flow for users who find or pick up animals, and designing an individual logo for the service
* Designed the ""Suit Store"" mobile app, creating a convenient flow for users to search and purchase goods, and completing the prototyping stage independently

Seeking a full-time position in a creative and friendly team where I can utilize my skills to find solutions to challenging problems, improve user interfaces, and have opportunities for creative growth and promotion on design tasks."
98390,"UX/UI Designer

Summary:
Results-driven UX/UI designer with experience in leading teams and developing innovative projects, including mobile apps, landing pages, and web services. Proven track record of creating user-centered designs that drive engagement and conversion.

Experience:

* Team Leader, BudgetStay Project
	+ Led a team of designers to develop a web service interface for finding free or cheap accommodation
	+ Created main user flow with 2 account types and second flow for 3 types of hosts
	+ Designed desktop, tablet, and mobile versions with prototype for desktop
* Team Leader, Tantric Massage Salon Sensual Landing Page
	+ Led the development of a landing page to promote the salon's services and attract potential clients
	+ Designed for desktop, tablet, and mobile devices
* UX/UI Designer, FoodieFinder Mobile App
	+ Designed a mobile app for restaurant search and table reservations
	+ Created a user-friendly interface for efficient booking and discovery
* Independent Projects:
	+ Concept and redesign for India Cafe website
		- Created a modern and convenient design to attract potential customers
		- Added missing pages with photos and menu, and appointment feature
		- Designed for desktop, tablet, and mobile devices with prototype for desktop
	+ Concept for Citroen 4 Landing Page
		- Designed a landing page to order a test drive
		- Designed for desktop devices
* Pet Projects:
	+ 2 personal projects, details available upon request

Skills:
UX/UI design, team leadership, project management, user-centered design, mobile app design, web design, landing page design, prototype development, user flow creation.

Career Goals:
To join a dynamic team as a UX/UI designer and contribute to the development of innovative projects that drive connection between service providers and clients."
98391,"Summary:
Highly motivated and experienced computer science teacher with 15 years of experience, transitioning into a design role with skills in graphic design, user experience, and programming. Proficient in a range of design tools, including Adobe Photoshop, Adobe Illustrator, Corel Draw, ProtoPie, Canva, and Figma.

Experience:
Computer Science Teacher
- Taught topics on raster and vector graphics, 3D modeling, and programming languages for 15 years
- Developed and implemented engaging lesson plans to promote student learning and understanding

Design Experience:
- Website redesign for veterinary clinic ""Aibolit""
  - Conducted problem analysis, created interface prototypes, and developed visual styles
  - Designed a modern and user-friendly website to attract potential customers
- ""Coffee Time"" mobile application
  - Analyzed problems, created interface prototypes, and developed visual styles
  - Designed a mobile application to scan and pay for goods, improving customer experience
- Other projects: adaptive design, mobile application, moodboard, landing page, research, persona description, user flow

Skills:
- Proficient in Adobe Photoshop, Adobe Illustrator, Corel Draw, ProtoPie, Canva, and Figma
- Knowledge of graphic design principles, user experience, and programming languages
- Strong problem-solving and analytical skills, with ability to create convenient and simple final products

Career Goals:
Seeking a collaborative and motivated team where I can apply my skills, develop professionally, and contribute to achieving team goals."
98392,"UI/UX Designer

Summary:
Highly motivated UI/UX designer with experience in designing user-friendly websites and web services. Proficient in creating intuitive and functional designs for various platforms.

Experience:

* Developed the design of a web service for traveling around Ukraine, focusing on user experience and convenience.
* Redesigned the Poltavski galyshki website, transforming it into a structured and informative platform with enhanced user engagement.
* Designed the VISIT web service, a full-stack design project that enables users to easily organize trips to any part of Ukraine, leveraging UX research and competitor analysis to inform design decisions.

Education:

* Online IT school, UI/UX Design course (8 months)
	+ Studied UI/UX design principles and practices
	+ Worked on various projects, including landing pages, websites, web services, and individual site elements

Personal Projects:

* 2 personal pet-projects, demonstrating my passion for UI/UX design and ability to work on independent projects."
98393,"**Summary**
Highly skilled layout designer with over 10 years of experience in publishing houses, complemented by education in UI/UX design.

**Education**
- H.S. Skovoroda Kharkiv National Pedagogical University, Faculty of Art and Graphics, Ad designer
- Graduated from UI/UX Design courses, covering:
  - Communication
  - UX research
  - Wireframing
  - UI design
  - Mobile app design
  - Web design

**Experience**
- **Layout Designer**, Various Publishing Houses (Over 10 years)
  - Development of layouts for books, magazines, and posters
  - Page design
  - Search and processing of vector illustrations, including drawing when necessary
  - Search for bitmap images and their processing
  - Compilation of collages
  - Layout of books and magazines
  - Preparation of products for printing

- **UI/UX Designer**, CURSOR Education (Feb 2021 — Jul 2021)
  
- **UX/UI Web-Design + Mobile Design**, Mobios School (Sep 2021 — Dec 2021)

- **HTML Layout**, Source IT (courses) (Feb 2015 — Apr 2015)

**Projects**
- Final project in UI/UX Design course:
  - Conducted interviews with the client
  - Competitor analysis
  - SWOT analysis
  - Developed UX Persona
  - Created Customer Journey Map (CJM)
  - Information architecture development
  - Designed Wireframes and final design

**Career Expectations**
Looking to join a dynamic, friendly team that offers opportunities for growth, learning, and constructive feedback."
98394,"Professional Summary
UX/UI Enthusiast with a background in Graphic Design, holding certificates from the University of Alberta and California Institute of the Arts, and a winner of the Sixth All-Ukrainian Student Olympiad in Design of publishing and printing production.

Education
- Certificate, Google UX Design, Coursera
- Certificate, Introduction to Software Product Management, University of Alberta
- Certificate, Fundamentals of Graphic Design, California Institute of the Arts
- Diploma of the II degree, Sixth All-Ukrainian Student Olympiad in the discipline ""Design of publishing and printing production""

Experience
Freelance Graphic Designer
- Designed print publications and illustrations using Adobe Photoshop and Adobe Illustrator for one year

Skills
- UX Design
- UI Design
- Graphic Design
- Adobe Photoshop
- Adobe Illustrator
- UX Research
- Wireframing
- Prototyping"
98395,"Summary:
Dedicated and detail-oriented UI/UX designer with a strong foundation in design principles, user research, and interaction design. Proven ability to work independently and collaboratively to deliver high-quality design solutions. Committed to continuous learning and professional growth, with a passion for creating user-centric designs that drive positive user experiences.

Experience:
Freelance UI/UX Designer
- Developed and created unique user interfaces for various clients
- Analyzed client requirements, conducted user research, and created information architecture
- Conducted user experience testing and created prototypes
- Collaborated with developers to ensure high-quality end products
- Managed project timelines and effectively communicated with clients

Achievements:
- Successfully completed comprehensive UI/UX design courses
- Actively participated in design projects, both individually and as part of a team
- Received positive feedback from instructors and peers on design work
- Demonstrated a strong commitment to continuous learning and professional development

Skills:
- User research and analysis
- Wireframing and prototyping
- Interaction design and user experience testing
- Information architecture and design principles
- Collaboration and communication with cross-functional teams

Career Goals:
- Work in a team that values user needs and expectations
- Opportunities for professional growth and development
- Collaborative and open communication with stakeholders to deliver high-quality design solutions"
98396,"During my continuous studies, I completed various projects, including:
- Redesigning the website of a roofing materials plant, transforming it from an outdated multi-page site into a modern, convenient landing page with an engaging structure
- Creating a landing page for a tea studio, focusing on developing an attention-grabbing, stylized site that provides necessary information and aesthetic satisfaction
- Developing an online store for board games, incorporating elements of AI
- Improving the Ukrainian cinema network Multiplex application through detailed UX research and proposing solutions to key inconveniences

Over the past eleven months, I have been consistently developing my skills in UI/UX design. I have mastered Figma, utilizing its features such as components, variants, auto layout, and constraints. Additionally, I am proficient in using Photoshop and Illustrator in my work. I also possess skills in Webflow site design and After Effects motion graphics.

I continue to expand my expertise in web design, driven by my determination and creative approach. As a Ukrainian, I bring a unique perspective and original style to each project, enhancing its overall quality and character."
98397,"Highly motivated and detail-oriented professional with experience in freelancing, illustration, and design. Skilled in HTML5, CSS3 (responsive and adaptive design), SASS/LESS, flexbox, GIT, and basic JavaScript. Proficient in React.js, with the ability to split projects into components and prepare for developer's work. Familiar with Bootstrap.

Proficient in Adobe programs, including Photoshop, Illustrator, InDesign, and Procreate. Experienced in creating 2D characters for training videos and commissioned illustrations. Strong understanding of prioritizing daily work with clients and projects.

Combining design and development skills, with a strong interest in UI/UX design. Quickly learned Figma and eager to continue developing skills in this area. Strong passion for art, design, and front-end development, with a desire to combine these skills to create innovative and effective designs."
98398,"Motivated and detail-oriented professional with a passion for design and problem-solving. Proficient in the design process, from research to prototyping, with expertise in creating user-friendly interfaces.

Key skills and experience:

* Design process management, including research, user flows, wireframes, and prototyping
* Proficient in Figma, with ability to create design layouts, clickable prototypes, and animations
* Strong understanding of user-centered design principles
* Experience with 3D modeling as a hobby
* Freelance experience, with ability to work independently and collaboratively as part of a team

Seeking a challenging and dynamic role that leverages my design skills and experience, and provides opportunities for growth and collaboration."
98399,"Freelance Artist
January 2019 - August 2021
Created custom paintings, portraits, and logos for clients

Assistant Architect
June 2022 - August 2022
Developed architectural project layouts and drew project plans using computer software

Translator
Marriage Agency
April 2023 - August 2023

UI/UX Design Intern
6 months
Gained hands-on experience in user interface and user experience design principles and practices"
98400,"Volunteer Experience:
International Exchange Programs
BookForum
Children BookForum

Professional Experience:
Freelance Graphic Designer, Hilding Company
- Created brand stories, icons, and graphics for Amazon store products

Content Creator & Photographer, Sport Clothing Shop

Photographer, Restaurant

Skills:
Graphic Design
Photography
Figma
Adobe Photoshop
Zeplin
Webflow
Web Development (site creation)"
98401,"Freelance Web Designer & UI/UX Designer
Implants & Surgeries
2022 - 2023

Collaborated with an IT company to design online stores, service-selling platforms, and landing pages. Contributed to the development of UX processes and manually tested UI/UX.

Famart Group
Web Designer & UI/UX Designer
2021 - 2022

Designed a platform for goods sales, created website designs, and developed creative banners for advertising. Performed photo retouching to populate the site. Participated in the development of UI/UX and client flow on the site."
98402,"Project and Product Manager & UI/UX Designer

Summary:
Results-driven professional with 4 years of experience in managing 74 projects and leading the development of mobile applications. Skilled in all stages of development, with a strong background in design and project management.

Experience:

* Freelance UI/UX Designer
  - Designed landing pages, online stores, and prototypes
  - Created logos, corporate identity, visiting cards, and advertising banners
  - Developed site layouts on Tilda

* Netpeak Group UI/UX Designer
  - Designed blogs, websites, and landing pages on Tilda
  - Created logos for various projects

* Netpeak Group Project/Product Manager
  - Managed a team of mobile app and website developers
  - Conducted manual testing of products
  - Coordinated workflow, including technical tasks, prototyping, design, development, testing, and production
  - Established communication channels between project stakeholders
  - Organized retrospectives, backlog grooming, and planning poker for project time estimation
  - Created prototypes and analyzed competitors using App Annie, Alexa, and Sensor Tower
  - Worked with analytics tools, including Google Analytics and AppsFlyer

Education:
Completed four design courses at Projector School

Career Goals:
Seeking a company that offers interesting projects, professional growth, well-organized management processes, and a comfortable workplace with a friendly team. Looking to improve design skills in a company that prioritizes employee development and societal impact through its products and mission."
1747,"Self-Employed Entrepreneur
8 years of experience in managing and developing multiple business ventures

Key Achievements:
- Opened and successfully operated a chain of coffee shops, subsequently selling the business
- Established an export-oriented production facility utilizing 3D printing technologies

Hard Skills:
- Prioritization and goal setting
- Project planning and organization
- Budget management and delegation
- Task performance monitoring
- Knowledge of SCRUM methodologies, including Agile, Scrum, Kanban, and WaterFall
- Game design fundamentals, with basic understanding of UE4 and Unity
- Proficient in Blender (Junior level): modeling, UV mapping, and animation
- Familiarity with Linux node operating system

Soft Skills:
- Critical thinking and decision-making
- Effective time management and team management
- Strong communication and coaching skills
- Risk management expertise
- Ability to identify customer and user needs, with skill in reaching consensus on project implementation
- English language proficiency: Intermediate (B1 level)"
1784,"Summary
Highly versatile professional with diverse experience in 3D art, graphic design, videography, video production, digital marketing, event organization, and start-up engagement.

Experience
3D Artist
- Utilized creative abilities to craft visually stunning and realistic 3D models and animations

Graphic Designer
- Employed design skills to create compelling visual assets for various projects

Videographer and Video Producer
- Captured and edited high-quality videos to create impactful visual narratives

Digital Marketing Specialist
- Strategized and executed effective marketing campaigns to drive engagement, enhance brand awareness, and generate leads

Event Organizer
- Successfully organized a music art festival in Azerbaijan, showcasing the region's vibrant music culture
- Contributed to the promotion and celebration of documentary filmmaking at the DokuBaku International Documentary Film Festival

Start-up Professional
- Gained experience working with start-ups, developing an entrepreneurial mindset and adapting to fast-paced environments
- Honed a versatile skill set and deep understanding of the challenges and opportunities faced by start-ups

Skills
- 3D art and animation
- Graphic design
- Videography and video production
- Digital marketing and campaign execution
- Event organization and management
- Start-up engagement and development

Career Overview
Results-driven professional with a broad range of disciplines, continuously seeking new opportunities to expand knowledge, skills, and contributions in 3D art, graphic design, video production, digital marketing, event organization, and start-up engagement."
2476,"Client Success Manager

Summary:
Results-driven professional with experience in managing large US-based accounts and leading engineering teams to drive growth and success. Proven track record of generating ideas for improvements, building strong teams, and developing strategies to achieve client goals.

Experience:
Client Success Manager
- Managed 3-4 large enterprise-level accounts with 30-50 dedicated engineering team members
- Generated ideas for improvements, built strong engineering teams, and developed processes and strategies for clients, resulting in account and team growth
- Mentored and inspired talented engineers and solution architects, and learned from them

Key Responsibilities:
- Managed multiple accounts with different engagement models
- Managed all aspects of client relationships
- Analyzed client business pain-points and assisted with roadmaps to achieve strategic goals
- Participated in opportunity initiation, drafted proposals and SOWs, and extended partnerships with existing clients
- Conducted executive reporting and business reviews, project scope analysis, and risks/issues management
- Managed and coached teams, utilizing practical knowledge of software development methodologies and life cycle

Technical Skills:
- Strong IT background
- Platform experience: Salesforce, IBM Websphere, Magento

Passion:
- Collaborating with expert teams on IT projects to transform merchants' businesses and drive eCommerce growth
- Communicating with people, supporting and leading company engineering teams, and removing project obstacles
- Building trust and partnership relations with clients"
2515,"Results-driven professional with experience in managing customer relationships, troubleshooting, and project coordination. Key strengths include:

* Building and maintaining trustful and long-lasting business relations with customers
* Troubleshooting and resolving customer issues
* Coordinating client connections and interactions with online platforms and services
* Collaborating with developers' teams to ensure seamless project execution
* Driving sales and retention activities to achieve business objectives
* Managing sales documentation, including agreements, contracts, and invoices

Proficient in a range of tools and software, including:
* Zoho
* Jira
* Confluence
* SAP
* 1C

Currently seeking to leverage skills and experience to transition into a project management role and further develop expertise in this area."
2517,"Results-Driven Project Manager

* Managed multiple projects simultaneously, up to 15, while prioritizing client needs and delivering tailored solutions
* Coordinated project timelines, monitored progress, and controlled work processes to ensure timely completion
* Communicated effectively with stakeholders, providing regular updates on project status, potential issues, and risks
* Identified opportunities to upsell and cross-sell solutions, driving business growth and expanding client relationships
* Built and maintained long-term relationships with clients, ensuring satisfaction and loyalty
* Responded to inbound requests, generated new leads through outbound efforts, and presented proposals to close sales
* Prepared and finalized agreements, ensuring seamless execution of sales cycles"
2529,"Results-driven professional seeking challenging opportunities for growth and development. 
Key strengths include analytical thinking, effective communication, and collaborative teamwork. 
Recent experience encompasses various roles focused on project management, with a strong emphasis on building and maintaining mutually respectful relationships. 
Proven ability to work effectively in team environments, driving successful outcomes through honest and open communication. 
Committed to achieving exceptional results through thoughtful planning and execution. 
Open to new opportunities and invitations for collaboration, with a strong belief in the importance of respectful and reciprocal relationships."
2538,"Results-oriented and dedicated professional with experience in managing diverse projects, including market expansion, supply chain improvement, and product quality enhancement. Proven track record of successfully completing projects, such as the eBay expansion project, and implementing cost-saving plans, including logistics improvements that resulted in significant savings for the company.

Key accomplishments include:
- Successfully closed the eBay expansion project
- Improved supply chain logistics, resulting in cost savings for the company
- Negotiated with Asian suppliers to enhance product quality, with noticeable improvements
- Handled re-import to the US, avoiding duplicate tax payments

Skilled in:
- Completing extensive market research
- Negotiating with suppliers
- Developing and implementing cost-saving plans
- Executing supply chain-related activities
- Critical thinking and remaining calm in stressful situations

Experience working with Amazon and Asian partners for over 2 years, with a focus on:
- Market expansion into new countries and marketplaces
- Preparing legal documents for platform compliance
- Registering with EU organizations
- Product quality improvement projects
- Supply chain planning and optimization

Adept at learning new information and adapting to diverse project requirements, with a preference for challenging and dynamic work environments."
2551,"Based on a wide practical background and understanding of business-specific features, I possess a comprehensive understanding of the entire Software Development Life Cycle (SDLC) and deep knowledge in Data Privacy, Intellectual Property, Commercial, and Contract law. With solid managerial and recruitment experience, I have developed strong organizational skills, including attention to detail, multitasking, and a good understanding of various managerial methodologies, allowing me to adapt them to actual circumstances. I am skilled at building relationships within a team and working with international companies and customers.

As a professional with 3+ years of in-house legal practice in an IT Product Company, I have recently transitioned into an Account Manager role.

Experience:
Project Manager Assistant, Vayosoft Team
- Managed Contracts, RFPs, and RFIs
- Collaborated with procurement, participating in negotiations with suppliers and evaluating contractors according to company procedures
- Organized team meetings, follow-ups, action lists, and prepared reports and presentations for upper management
- Contributed to the creation of new projects from inception through MVP to the improvement of working applications

Legal Counsel, Benish Group
- Fostered relationships with colleagues regarding corporate policy, analyzing and minimizing legal risks, and providing recommendations on their application
- Collaborated with internal and external teams (developers, analysts, marketing managers, and company leadership) to oversee activities reducing legal risks
- Communicated with customers, business partners, and service providers from various jurisdictions
- Prepared Rules for the provision of services (offers), Privacy Policies, and Terms of Use for Applications under GDPR rules
- Participated in product development and optimization of business processes across the group of companies
- Implemented legal compliance in various areas of business operations, including personal data protection, intellectual property, PR and marketing, sales, payments, and consumer rights
- Organized and maintained contractual activities, including legal expertise and drafting contract texts in accordance with local legislation and company internal standards and procedures."
2553,"Results-driven professional with experience in business development and project management, seeking to leverage skills in people management, leadership, and customer relations to secure a project management role in an outsourcing company.

Summary:
Proven track record of managing projects, leading teams, and driving business growth through effective communication, negotiation, and conflict resolution. Skilled in people management, team motivation, and customer support.

Experience:
Business Development Manager & Project Manager
- Managed teams and led projects, focusing on people management, performance reviews, and sprint process monitoring
- Demonstrated leadership and motivational skills, maintaining a positive team atmosphere
- Conducted interviews for technical and non-technical positions, onboarded new employees, and introduced them to the company environment
- Successfully managed account relationships, negotiated with customers, and resolved conflicts
- Prepared company presentations, estimation documents, and project proposals
- Coordinated with partner companies, provided customer support, and identified new outstaff project opportunities
- Developed documentation for outstaff deals and presented the company to potential clients

Career Goal:
To secure a project management position in an outsourcing company, utilizing skills in B2B relations with foreign customers to drive growth and develop expertise in the field."
2554,"Results-driven professional with 4 years of experience in B2B international communication and sales, possessing excellent oral and written presentation skills, with a strong background in team-building and public speaking.

Key strengths include:
- Strong communicational, management, and problem-solving skills, with a proven ability to thrive in successful teamwork environments.
- 4 years of experience in B2B international communication and sales, complemented by a Master's degree in Foreign Economics.

Technical skills:
- Basic web and mobile UI/UX design and prototyping capabilities.
- Understanding of Agile methodologies in Software Development Life Cycle (SDLC).
- Completion of courses in Business Analytics and Web & Mobile UI/UX design.

Proficient in a range of tools, including:
- CRM
- Google Docs
- Figma
- Axure RP
- Coggle
- Adobe Photoshop
- Canva
- Trello
- Slack

Seeking an account or junior project management role in the development/design field, with a preference for a team that values creativity, determination, and growth. Interested in leveraging and developing skills in business solutions, web and mobile UI/UX, prototyping, and cross-cultural communication. Location is flexible, with a focus on finding the right team and opportunities."
2555,"Results-driven professional with 11 years of experience in international business settings

Summary:
Highly motivated and experienced professional with a strong background in sales, customer support, and project management. Proven track record of success in the chemical raw materials distribution and EdTech industries.

Experience:
Sales Assistant, Chemical Raw Materials Distribution Industry (5 years)
- Supported international companies in the distribution of chemical raw materials

Customer Support/Account Manager, EdTech Company (5 years)
- Provided exceptional customer support to clients in Western Europe and the USA
- Managed accounts and built strong relationships with customers
- Promoted to Support Team Lead, demonstrating leadership and management skills

EdTech Project Manager (1 year)
- Led projects in the secondary and higher education sphere on the Western Market
- Focused on lead generation, outbound sales, and support
- Utilized expertise in IBS, SAP, Zoho, Confluence, Jira, Kommo CRM, and Canva to drive project success

Skills:
- Advanced user of IBS, SAP, Zoho, Confluence, Jira, Kommo CRM, and Canva
- General knowledge of programming concepts (Java)

Career Highlights:
- Stability of income and a healthy work atmosphere
- Proven ability to work in fast-paced international environments
- Strong leadership and management skills, with experience as a Support Team Lead"
2556,"Account Manager
- Communicated with clients via emails, cold and hot calling, and demos
- Tested the application and created company profiles, updating the application as needed
- Addressed client questions and inquiries regarding the application
- Developed strategies to interest clients in the product and maximize its use
- Created website content, including blogs and tutorials, on a regular basis

Sales Support Agent
- Conducted market research and investigation in Ukrainian and Russian markets
- Assisted a British company in expanding to the Eastern European market
- Communicated with business owners and representatives, engaging in B2B sales
- Completed all necessary reports

Customer Support Agent
- Resolved thousands of customer service issues for clients from the USA, Canada, and Great Britain via phone and email
- Provided solutions, adjusted customer profiles and subscriptions, and processed refunds as necessary
- Ensured customer satisfaction and utilized CRM systems
- Conducted quality assurance by analyzing outsourced calls, correcting system errors, and following up with customers
- Completed all necessary reports"
2577,"Project Coordinator & E-commerce Manager

Summary:
Results-driven professional with experience in workflow optimization, team management, and e-commerce operations. Proven track record of successfully managing multiple projects and teams, with expertise in Salesforce administration, customer service, and process improvement.

Experience:

Project Coordinator, Upwork Premium Services
- Measured service efficiency through contrastive analysis and reporting
- Provided administrative support and maintained lead data in Salesforce
- Monitored and reported on team activity and handled high-value escalations
- Revised and improved current processes

Online Store Project Manager (Remote)
- Optimized workflow through high-quality customer service and efficient task management
- Managed backend admin panel, hosting infrastructure, and dispatch
- Resolved support tickets and provided 1st line support

Talent Agent Admin & Talent Specialist
- Sourced high-caliber talent for internal teams and clients
- Conducted video interviews and created Jira tickets
- Optimized operations and improved program efficiency and quality
- Created and maintained SOP documentation

Magento E-Commerce Project Manager
- Managed dev team tasks, improved UI optimization, and cooperated with SEO and marketing teams
- Conducted performance review meetings and established vendor relationships
- Managed stock, payment, shipping, and orders, and resolved customer complaints

Skills:
- Workflow optimization
- Team management
- Salesforce administration
- Customer service
- Process improvement
- E-commerce operations
- Project management
- UI optimization
- SEO and marketing cooperation
- Vendor management
- Stock and order management
- Customer complaint resolution

Achievements:
- Successfully managed and optimized workflow and standard operation processes
- Maintained and administered Salesforce lead/records database
- Ran and administered 2 e-commerce businesses simultaneously
- Improved efficiency and quality of programs through process improvements and optimizations"
