,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o
12465,"Proactive and skilled Business Analyst / Project Manager with over 6 years of commercial experience across various domains. Highly motivated and disciplined, with strong technical, communication, and organizational skills, dedicated to achieving company goals and results.

- Over 2 years of experience in IT outsourcing
- 2 years of experience in project management
- 5 years of experience in ERP/CRM systems
- 6 years of experience in retail
- 2 years of experience in healthcare
- 2 years of experience in sales and marketing"
12466,"**Skills:**
- Strong analytical skills with the ability to analyze complex problems
- Project management expertise
- Proficient in statistics and data analysis
- Business process optimization and business modeling
- Excellent communication and presentation skills
- Ability to work independently or in a team and manage multiple engagements
- Skilled in negotiation and conflict resolution
- Learning and teaching capabilities
- Proficient PC user, advanced in Excel and PowerPoint
- Languages: English and Russian (fluent), Ukrainian (native), German (basic)

**Experience:**
- Developed Terms of Reference (ToRs) and technical requirements
- Led the development and implementation of data processing systems
- Verified and compiled data for accuracy and completeness
- Created specifications for construction and equipment projects

- Conducted research and analytics, producing comprehensive analytical reports
- Performed functional and effectiveness analysis
- Identified, analyzed, and interpreted trends and patterns in data
- Described and optimized business processes
- Analyzed best practices and international experiences of central purchasing bodies
- Developed strategic proposals for the Central Purchasing Body (CPB) in Ukraine

- Analyzed public procurement procedures in Ukraine using QlikView and QlikSense BI tools
- Monitored the e-procurement system, ProZorro, ensuring compliance and conducting reporting, research, and investigations
- Participated in the development of terms of reference and technical tasks for the e-procurement system in accordance with the Open Contracting Data Standard
- Searched, gathered, and processed catalogs and information
- Communicated with BI users, procurers, suppliers, controllers, and other clients
- Participated in public events, conferences, and lectures as a speaker, BI expert, and participant
- Supported the development of an e-procurement risk indicators system
- Conducted reporting and trend analysis of public procurement procedures for government institutions"
12467,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Dynamic and client-oriented Business Analyst with a strong foundation in marketing and a proven track record in both pre-sales and delivery processes. Agile Certified Professional with expertise in SRS, backlog management, and UX design. Adept at bridging the gap between business needs and technical solutions, with experience in project management functions.

---

**Skills**  
- **Business Analysis:** SRS (Use cases, UML), Backlog Management (User Stories, Acceptance Criteria), UX Design  
- **Agile Methodologies:** Agile Certified Professional (IC Agile), Scrum  
- **Technical Skills:** Basic proficiency in MySQL, HTML, CSS  
- **Project Management:** Involvement in pre-sales and delivery processes, partial coverage of Project Manager functions  
- **Client-Oriented Approach:** Leveraging marketing experience to understand and meet business needs  

---

**Professional Experience**  

**[Current Job Title]**  
[Current Company Name], [Location]  
[Month, Year] – Present  

- Engage in both pre-sales and delivery processes, ensuring seamless transition from client requirements to project execution.  
- Perform Business Analyst functions, including requirements gathering, documentation, and stakeholder communication.  
- Partially cover Project Manager responsibilities, coordinating project timelines and deliverables.  

**Marketing Analyst/Coordinator**  
[Previous Company Name], [Location]  
[Month, Year] – [Month, Year]  

- Analyzed market trends and consumer behavior to inform marketing strategies in the FMCG sector.  
- Coordinated marketing campaigns, ensuring alignment with business objectives and client expectations.  

---

**Certifications**  
- Agile Certified Professional (IC Agile)  

---

**Education**  
[Your Degree] in [Your Field of Study]  
[Your University], [Location]  
[Year of Graduation]  

---

**Objective**  
Seeking a challenging role in a dynamic company with interesting projects and a fast-changing environment, where I can leverage my skills in business analysis and project management to drive success."
12468,"Business Analyst and Project Manager with three years of experience.  
Proficient in the Healthcare domain and knowledgeable about BI tools. Quickly adapt to technical project details, leveraging professional skills to achieve project objectives and support the team throughout all execution stages.  
Experience as a soft skills trainer enables me to foster a positive, energized team environment and manage conflicts effectively."
12469,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Experienced translator and proofreader with a focus on the healthcare and pharmaceutical industries. Skilled in translating and proofreading reports, presentations, and websites for major companies such as Novo Nordisk, Bayer, Parexel, and EURORDIS. Proficient in teaching English using digital platforms and tools, with a strong ability to create personalized educational plans and conduct assessments.

---

**Professional Experience**  

**Translator & Proofreader**  
- Translated and proofread reports, presentations, and websites from/into English for leading healthcare and pharmaceutical companies, including Novo Nordisk, Bayer, Parexel, and EURORDIS.
- Ensured accuracy and clarity in all translated materials, maintaining the intended message and tone.

**English Instructor**  
- Conducted English language lessons for students using the Zoom platform and various online resources.
- Developed and implemented individual educational plans tailored to each student's needs.
- Utilized Google tools for effective teaching and assessment.
- Evaluated student progress and provided constructive feedback to enhance learning outcomes.

---

**Skills**  
- Translation and proofreading  
- English language instruction  
- Digital teaching platforms (Zoom, Google tools)  
- Educational planning and assessment  

---

**Education**  
[Your Degree]  
[Your University/College]  
[Year of Graduation]  

---

**Languages**  
- English (Fluent)  
- [Other Languages, if applicable]  

---

**References**  
Available upon request."
12470,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

**Professional Summary**  
Dynamic and results-driven professional with extensive experience in supporting startups and established products. Skilled in product idea validation, user research, product strategy development, and design team management. Seeking a challenging role in a forward-thinking company to contribute to multi-platform projects and enhance business analysis skills.

**Professional Experience**  

**Product Consultant**  
- Collaborated with startup founders to validate product ideas and ensure market fit.  
- Conducted comprehensive user research to gather insights and inform product development.  
- Developed and implemented effective product strategies to drive growth and success.  
- Managed and led design teams to deliver high-quality product designs and user experiences.  

**Skills**  
- Product Idea Validation  
- User Research  
- Product Strategy Development  
- Design Team Management  
- Multi-Platform Project Management  
- Business Analysis  

**Education**  
[Your Degree] in [Your Field]  
[Your University], [Year of Graduation]  

**Certifications**  
[List any relevant certifications]  

**References**  
Available upon request."
12471,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile URL]  

---

**Professional Summary**  
Experienced Business Analyst and Project Manager with over 7 years of experience in IT project management and business analysis. Proven track record in managing teams of up to 15 members, building processes aligned with client pipelines, and successfully launching and improving internet projects. Skilled in customer service, strategic planning, user experience, and public speaking. Adept at managing both B2C and B2B projects across various industries, including education, tourism, e-commerce, and fintech.

**Core Competencies**  
- Team Management  
- Process Development  
- Client Negotiation  
- Project Management  
- Strategic Planning  
- User Experience (UX)  
- User Interface (UI)  
- SEO  
- Public Speaking  

**Professional Experience**  

**IT Project Manager / Business Analyst**  
[Company Name], [Location]  
[Month, Year] – Present  

- Successfully managed teams of up to 15 members, fostering a comfortable working climate and organizing work to avoid overtime.  
- Built and optimized processes according to client pipelines, resulting in the creation of 9 new internet projects and the improvement of over 22 projects.  
- Solved controversial issues with clients concerning budgets and deadlines, ensuring project success and client satisfaction.  
- Managed projects and timelines, conducted negotiations, and composed commercial offers.  
- Collaborated with customers, developers, designers, and other stakeholders to write user stories, create designs, and conduct usability tests.  
- Interacted with both in-house and remote development teams to ensure seamless project execution.  

**Industries and Markets**  
- Education  
- Educational Tourism  
- Medical Tourism  
- Sailing  
- Tourism  
- Showbiz  
- E-commerce  
- Fintech  

**Technical Skills**  
- Agile, SCRUM, Kanban  
- Jira, Confluence, Asana  
- CRM, ERP, BPMN  
- SEO, Email Marketing, VCC  
- Google Analytics, Hotjar, Power BI  
- Adobe Photoshop, Illustrator, InDesign  
- CMS WordPress, Drupal  
- Basic HTML and CSS  

**Education**  
[Your Degree] in [Your Field of Study]  
[Your University], [Location]  
[Year of Graduation]  

**Professional Attributes**  
Goal-oriented, efficient, and open-minded professional with a strong proficiency in project development methodologies. A team player looking for full-time or part-time opportunities, with experience working both in-office and remotely.  

**References**  
Available upon request.  

---

**Note:** Customize the placeholders (e.g., [Your Name], [Company Name]) with your specific information."
12472,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Email Address]  
[Your Phone Number]  

---

**Professional Summary**  

Dynamic and results-driven professional with 9 years of experience in managing a web studio, which I founded. Adept at combining roles from sales management to development, with a strong focus on project management and business analysis. Proven track record in leading teams of 5 to 20 employees and delivering diverse projects, including online stores, B2B web applications, billing systems, and cryptocurrency exchanges.

---

**Core Competencies**  

- Project Management  
- Business Analysis  
- Product Management  
- Agile & Scrum Methodologies  
- User Stories & Mockups  
- UX/UI Design  
- Manual Testing  
- Marketing & Analytics  
- HTML, MySQL, PHP  
- Tools: Jira, Trello  

---

**Professional Experience**  

**Founder & Manager**  
[Web Studio Name]  
[Location]  
[Year Started] - [Year Ended]  

- Founded and managed a successful web studio for 9 years, overseeing all aspects of operations and strategic direction.  
- Led project management and business analysis efforts, ensuring successful delivery of projects such as online stores, B2B web applications, billing systems, and cryptocurrency exchanges.  
- Managed a team of 5 to 20 employees, fostering a collaborative and productive work environment.  
- Combined roles across sales management and development to drive business growth and client satisfaction.  

---

**Education**  

[Your Degree]  
[Your University/College Name]  
[Location]  
[Year of Graduation]  

---

**Certifications**  

[List any relevant certifications]  

---

**Professional Affiliations**  

[List any relevant professional affiliations]  

---

**References**  

Available upon request.  

---

**Objective**  

Seeking new opportunities as a Business Analyst or Project Manager in a large IT company to leverage my extensive experience and skills in driving project success and business growth."
12473,"Business Analyst and Project Manager

Profile
Dynamic Business Analyst and Project Manager with over 6 years of experience in non-IT sectors. Successfully participated in over 50 projects, managing teams of 2-7 members with budgets up to $250,000. Proficient in Scrum, Kanban, and Waterfall methodologies. Experience as a Product Owner in an IT startup.

Professional Experience
- Led and managed multiple projects, ensuring timely delivery and adherence to budget constraints.
- Collaborated with cross-functional teams to enhance project outcomes and streamline processes.
- Applied Scrum, Kanban, and Waterfall methodologies to optimize project workflows and efficiency.

Technical Skills
- Project Management Tools: Jira, Asana, Trello
- Methodologies: Scrum, Kanban, Waterfall, Lean, BPMN
- Software: MS Visio, Google Docs, Excel
- Communication Platforms: Zoom, MS Teams, Google Meet
- Programming: Basic SQL and Java

Core Competencies
- Leadership and team management
- Goal-oriented and proactive approach
- Strong analytical and problem-solving skills
- Business systematization and strategic thinking
- Innovative and creative mindset

Language Proficiency
- English: B1 (Upper-Intermediate)

Objective
Seeking an opportunity to leverage my skills and experience in a project or company that aligns with my values and aspirations."
12474,"**[Your Name]**  
[Your Address]  
[City, State, ZIP]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Experience**

**Teacher, Software Testing Courses**  
Quality Assurance Group  
*November 2019 - February 2020*  

- Delivered courses on Quality Assurance basics and Business Analysis basics.

---

**Business Analyst**  
QArtrock  
*September 2019 - February 2020*  

**Project 1: Corporate Website**  
- Developed the official website for a Turkish international trading company.  
- Responsibilities included project definition, requirements elicitation, concept creation, system modeling, requirements analysis, and documentation.

**Project 2: Store Website**  
- Created a website for an electronics store with online trading capabilities.  
- Responsibilities included project definition, requirements elicitation, concept creation, system modeling, requirements analysis, and documentation.

---

**QA Trainee**  
Quality Assurance Group  
*May 2019 – August 2019*  

**Project 1: Pharmacy Management System**  
- Developed a web application for managing pharmacies online.  
- Responsibilities included requirements analysis, test design, writing and executing test cases, and writing bug reports.

**Project 2: Online Education Platform**  
- Developed a program for selecting educational courses based on surveys.  
- Responsibilities included performance testing in JMeter, database testing in MySQL, and API testing in Postman.

**Project 3: Construction Online Store**  
- Responsibilities included requirements analysis, writing the test plan, test design, writing and executing test cases, writing bug reports, and writing a test summary report.

---

**Scientific Consultant**  
*October 2011 - April 2019*  

- Provided diagnostic, improvement, and analytical support for the development and implementation of scientific projects.  
- Focused on the implementation of innovative technologies in educational systems and psychological maintenance of innovative activity.

---

**Education**

[Your Degree]  
[Your University]  
[Year of Graduation]  

---

**Skills**

- Quality Assurance
- Business Analysis
- Test Design and Execution
- Performance Testing (JMeter)
- Database Testing (MySQL)
- API Testing (Postman)
- System Modeling
- Requirements Analysis and Documentation

---

**Certifications**

[List any relevant certifications]  

---

**Languages**

[List any languages you speak]  

---

**References**

Available upon request."
12475,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Dynamic and results-driven professional with over three years of experience in managing and implementing turnkey projects across various industries, including jewelry, eco-friendly paper packaging, and beauty. Proven track record in building and leading teams, organizing remote workflows, and ensuring successful project execution and client satisfaction. Adept at task decomposition to create clear project structures.

---

**Experience**  

**BA, IWIS LLC**  
October 2020 – January 2021  

**Project Manager, LLC Politara**  
March 2019 - December 2019  

**Lead Analyst, ITek**  
2016-2018  

**Implementation Specialist/System Administrator, LLC Sky**  
2013-2015  
- Specialized in accounting systems, production, and trading processes.

**EDMS Analyst, SC Zovnishtorhvydav**  
2012-2013  

**System Administrator, PrJSC UkrSRINDT**  
2011-2012  

**System Administrator, LLC PIPING INTEGRATION COMPANY**  
2010-2011  

---

**Professional Skills**  
- ERP Implementation  
- Adaptable project management approaches to meet business needs  
- Technical documentation drafting, requirements collection, user acceptance testing, and reporting  
- Conflict management  
- Technical writing, task setting, user manual creation, and system development/testing based on 1C configurations  
- User training and technical support  
- Administration of computer systems (MS Server 2008, 2012, Unix) and MS SQL databases  
- Virtual systems administration (VMware, VirtualBox)  

---

**Education**  

**Taras Shevchenko National University of Kyiv**  
Specialist, Department of Theoretical and Applied Mechanics  
2006-2011  

**Institute of Postgraduate Education**  
Master, Common Law  
2014-2017  

---

**Certificates**  

**MindsetPM**  
- Big IT Project Management Program, July 2019, Certificate №PM-EDU-20190728-03  
- Manipulations Practice and Defence, August 2019, Certificate №PM-EDU-20190804-07  

---

**Objective**  
Seeking a position where I can leverage my skills and knowledge to become an integral part of a team, build strong teams, and achieve outstanding results. Committed to handling complex assignments effectively and working collaboratively or independently. Embrace each new goal as a personal challenge."
12476,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

**Professional Summary**  
With eight years of experience in the ICT sector, I have developed a strong foundation in business analysis, project management, and business intelligence. My career began as a Business Analyst at Sumaks Technologies, where I honed my skills in identifying business needs and opportunities for improvement. I then advanced to a Project Manager role at Business Insights International Research Group, leading a team to evaluate KPIs for an insurance company and collaborating with stakeholders to meet their requirements. As a Business Intelligence Manager at Helind, I enhanced decision-making processes by analyzing and visualizing data in the renewable energy sector. My continuous learning in data science, including Python, SQL, and R, has further equipped me to manage data-driven projects effectively. I am passionate about contributing to sectors such as healthcare, energy, manufacturing, marketing, fintech, and retail, and I am seeking remote opportunities to leverage my skills and continue my professional growth.

**Professional Experience**  

**Business Intelligence Manager**  
Helind Company  
[Month, Year] – Present  
- Improved decision-making processes by analyzing and visualizing data in the renewable energy sector.
- Leveraged business intelligence expertise to support the development of renewable energy solutions and electronic devices.

**Project Manager**  
Business Insights International Research Group  
[Month, Year] – [Month, Year]  
- Led a team in evaluating KPIs for an insurance company, working closely with stakeholders to define needs and requirements.
- Managed data collection, entry, and preprocessing groups, extracting insights and reporting findings to the company.

**Business Analyst**  
Sumaks Technologies  
[Month, Year] – [Month, Year]  
- Analyzed business needs and identified opportunities for improvement in a hardware development startup.

**Education and Certifications**  
- Data Science with Python Course  
- SQL for Data Science  
- Ongoing self-study in R language, deep learning algorithms, and NLP

**Skills**  
- Business Analysis  
- Project Management  
- Business Intelligence  
- Data Analysis and Visualization  
- Python, SQL, R  
- Machine Learning Models  
- Preprocessing Methods  
- Deep Learning Algorithms  
- Natural Language Processing (NLP)

**Interests**  
- Healthcare  
- Energy  
- Manufacturing  
- Marketing  
- Fintech  
- Retail  

**Availability**  
- Open to remote job opportunities."
12477,"---

**[Your Name]**  
[Your Address]  
[City, State, ZIP]  
[Your Email]  
[Your Phone Number]  

---

**Objective**  
Seeking a challenging position in a people-oriented company with a progressive perspective, focusing on innovative products and technologies, including Big Data, AI, AR/VR, and games. Eager to contribute to a team that values initiative and energy, with a minimum salary of $2200/month and annual salary reviews.

---

**Skills**

- **Product Management & Development**: Specification, Feature Breakdown Structure, RoadMap, User Stories, Change Requests Log, Risk Matrix, Sprint Release, SWOT, MVP.
- **Agile & Project Management**: Scrum, Kanban, Waterfall, LEAN, RAD, Communication plan, Standup, Sprint Planning, Sprint Retrospective.
- **Technical Skills**: Android, iOS guidelines, UI best practices, Rest API, Postman, Relational DB, SQL (basic requests), Microsoft SQL Server Management Studio.
- **Data Analysis & Tools**: Excel (pivot tables, basic statistical calculations), Basics of QlikView, QlikSense, Basics of Google Analytics, Kibana.
- **Design & Prototyping**: Axure, NinjaMock.
- **Collaboration & Task Management**: Asana, Redmine, Bitrix24, Trello, Jira.
- **Web & E-commerce Platforms**: Magento, WordPress, OpenCart, BPMonline.
- **Payment Systems**: WayForPay, Bitcoin.
- **Programming**: Python (beginner level).

---

**Interpersonal Skills**

- Teamwork facilitating, Conflict settlement, Problem solving.
- Public Speaking, B2B negotiations, Presentation skills.
- Brainstorming, Focus Groups, User Interviews.

---

**Preferences**

- **Product**: Interested in complex and challenging products with high workload and new technologies.
- **Company Culture**: Values a company that appreciates its team, encourages growth, and loves what it does.

---"
12478,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Results-driven professional with a proven track record in delivering successful firmware solutions for Samsung mobile devices. Experienced in implementing comprehensive internal processes and workflows across various departments, from development to sales management. Skilled in preliminary UX design and prototyping, with a strong foundation in Agile methodologies.

**Skills**  
- Agile, Scrum, Kanban  
- Project Management and Planning  
- Budget Planning  
- Wireframing and Prototyping  
- Requirements Gathering and Use Case Development  
- Tools: Jira, Trello, Axure, MS Project  

**Professional Experience**  

**[Your Job Title]**  
[Your Company Name]  
[Location]  
[Month, Year] – [Month, Year]  

- Successfully delivered firmware solutions for Samsung mobile devices, ensuring timely and efficient deployment to factories.  
- Implemented internal processes and workflows, enhancing operational efficiency from development to sales management.  
- Developed preliminary UX designs and prototypes to support project objectives and stakeholder requirements.  

**Education**  
[Your Degree] in [Your Field of Study]  
[Your University/College Name], [Location]  
[Year of Graduation]  

**Objective**  
Seeking an engaging and challenging project where I can leverage my extensive experience to achieve successful outcomes. Open to international projects or serious enterprise opportunities, as well as innovative startups. Not interested in e-commerce projects involving Drupal, Magento, etc.  

---  

**References**  
Available upon request."
12479,"**Professional Summary**

Experienced professional with a strong background in business process analysis, requirements elicitation, and technical documentation. Proven ability to manage requirements throughout the software development lifecycle and lead teams to success. Skilled in project and team management, process improvement, and project coordination.

**Core Competencies**

- Business Process Analysis & Description
- Customer Needs & Requirements Elicitation
- Technical Documentation Creation (User Stories, Use Cases, SRS)
- Requirements Management throughout the SDLC
- Team Leadership & Mentoring
- Project & Team Management
- Process Improvement
- Project Coordination

**Professional Experience**

- Conducted comprehensive business process analysis and description to enhance operational efficiency.
- Elicited and documented customer needs and requirements to ensure alignment with project goals.
- Created detailed technical documentation, including user stories, use cases, and software requirement specifications (SRS).
- Managed requirements throughout the software development lifecycle to ensure successful project delivery.
- Acted as a team leader, providing guidance, instruction, and mentoring to team members.
- Led project and team management initiatives, focusing on process improvement and effective project coordination."
12480,"Customer Success Project Manager & Business Analyst  
Revenue Grid  
2023-Present  

Presale Business Analyst  
Soft-Industry Alliance  
2022-2023  
- Conducted elicitation and completed project documentation.  
- Collaborated with a solutions architect to write proposals, solutions overviews, and value propositions.  
- Built, tested, and structured processes and tools for the Partner Success Management team using BPMN.  
- Conducted audits of the company’s business processes.  
- Worked on establishing an OKR/KPI base and real-time management across the organization using Excel with team screens and dashboards.  

Revenue Operations Analyst (PMBA)  
OpenText Corporation, Waterloo, Canada  
2021–2022  
- Managed the development of CRM and ERP features and supported changes with data.  
- Formed scope and gathered both functional requirements and NFRs.  
- Wrote user stories and applied Agile methodologies, including Scrum, Waterfall, and Kanban.  
- Managed Salesforce releases on a CI/CD basis.  
- Partnered with internal customers to troubleshoot and solve user issues in Salesforce and SAP.  
- Conducted regression testing in ALM and built test cases.  
- Developed and maintained customer reports and dashboards for ELT.  

Billing Coordinator (Operations Management)  
OpenText Corporation, Waterloo, Canada  
2018–2021  
- Supported the sales team by reviewing legal, financial, product, and pricing aspects of each deal submitted via Salesforce.  
- Ensured flawless fulfillment of each deal in SAP ERP by working closely with Fulfillment, Customer Support, and Renewals Representatives.  
- Set up, maintained, and audited Changepoint engagements and projects.  
- Provided data support to the sales organization, including reports and data sets.  
- Contributed to continuous improvement in team processes as part of the Streamline Process Committee.  
- Supported the finance organization for SAP ERP challenges as part of the SAP Tier 1 group.  
- Assisted with finance reconciliation projects and conducted testing activities in ALM.  
- Documented corporate processes specific to each line of business (SOPs).  
- Provided onboarding and training to junior team members through the buddy program and global training programs.  

Customer Records & Entitlements Associate  
Nuance Communications Inc. (Imaging), Waterloo, Canada  
2017  

Order Fulfillment Clerk  
Canadian General Tower, Cambridge, Canada  
2016  "
12481,"**Jane Gurovich**

---

**Professional Summary**

Experienced professional with a strong background in collecting and analyzing customer requirements, formalizing them for development teams, and negotiating product delivery terms. Skilled in conducting functional testing, creating and implementing product support procedures, and delivering presentations and product awareness sessions. Proficient in providing first and second level product support and coordinating small to medium-sized Dev/QA teams.

**Skills**

- Agile Methodologies (Scrum)
- Tools: JIRA, Confluence
- Basic knowledge of SQL, HTML, CSS, XML
- Experience with UNIX-like operating systems

**Professional Experience**

- Collect and analyze customer requirements for development teams
- Negotiate product delivery terms and conditions
- Conduct functional testing and implement product support procedures
- Deliver presentations and product awareness sessions
- Provide first and second level product support
- Coordinate small to medium-sized Dev/QA teams

**Education and Professional Development**

- Continuous professional growth and development
- Experience with adequate management practices

**Languages**

- Russian (Native)

**Career Goals**

- Professional growth
- Adequate management
- Competitive compensation"
12482,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Email Address]  
[Your Phone Number]  

---

**Objective**  
Dedicated and experienced QC Engineer with a strong background in business analysis and team management, seeking a remote position with flexible hours to further develop skills in business analysis or project management.

---

**Professional Experience**  

**QC Engineer**  
[Your Company Name]  
[Location]  
[Month, Year] – Present  

- Conducted thorough analysis of functional requirements, providing clarification through various communication channels such as Skype, phone meetings, and emails.
- Prepared proposals aligned with customer expectations, identifying potential product and project risks.
- Developed user guides to facilitate system understanding and usage.
- Led a QA team of 3-4 members for the past 1.5 years, overseeing quality assurance processes and team performance.
- Managed and executed customizations for an employee management and timekeeping system, which included modules for scheduling, timekeeping, vacation management, salary, personal data, and analytics.
- Analyzed and developed approximately 40-45 customizations, with durations ranging from 2 weeks to 4 months, in teams of 1-4 members.
- Successfully switched between 2-4 customizations within a single day, demonstrating adaptability and stress management.

---

**Skills**  

- Business Analysis
- Team Management
- Risk Assessment
- Proposal Development
- User Guide Preparation
- Quality Assurance Leadership
- Customization Development
- Effective Communication

---

**Education**  

[Your Degree]  
[Your University]  
[Location]  
[Year of Graduation]  

---

**Availability**  

Seeking a remote position with a flexible schedule, available for 4-5 hours per day. Open to opportunities that offer compensation for an 8-hour workday.

---

**Professional Goals**  

Eager to transition into roles focused on business analysis or project management, leveraging extensive experience in quality control and team leadership to drive project success and innovation."
12483,"IT Specialist with Over 10 Years of Experience

Profile:
IT specialist with extensive experience in the IT industry, specializing in software maintenance and support (5 years), software analysis (4 years), and project management (1 year). Proven strengths in business awareness, project coordination, system migrations/integrations, incident and problem management, and a strong focus on results. Skilled in SQL, SDLC, Jira, Agile, Scrum, and Waterfall methodologies. Known for self-motivation, team motivation, and a positive, team-oriented attitude.

Professional Experience:

Business Analyst
- Epicentr M
  Oct 2020 - Present
- Scallium
  Dec 2019 - Oct 2020
- NullGravity
  Sep 2018 - Dec 2019
- Coreteca
  Aug 2017 - Sep 2018

Senior Software Analyst (PM)
- OJS Company ""Universal Bank""
  Jun 2013 - Aug 2017

Senior Engineer
- Intesa Sanpaolo Group Ukraine (Pravex Bank)
  Jul 2011 - May 2013

System Administrator
- BMS SERVICE
  Feb 2011 - Jul 2011

Lead Software Engineer
- Prominvestbank
  Sep 2007 - Dec 2010

Engineer - Programmer
- Nikolaev Petroleum
  May 2007 - Aug 2007

Engineer
- Information Technology. Services & Solutions
  Nov 2006 - May 2007

Key Skills:
- SQL
- Communication with clients and teams
- Analytical thinking
- Understanding of SDLC
- Data Analysis
- Atlassian Jira, Confluence
- Visio, Balsamiq, Firebase
- MS Office, MS SQL Server, Sybase SQL Anywhere
- XML, JSON

Responsibilities as a Business Analyst:
- Communicate with stakeholders to gather and analyze requirements
- Analyze competitors for product improvement
- Create diagrams (BPMN, UML) for business processes and future functionality
- Translate business requirements into technical specifications
- Write software specifications, user stories, use-cases, API specifications, and guidelines
- Implement specification templates
- Participate in daily scrum, sprint, and retrospective meetings
- Mediate between business and technical teams

Education:
[Your Education Details Here]

Certifications:
[Your Certifications Here]

Languages:
[Your Language Proficiencies Here]"
12484,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Experienced project analyst with a strong background in gathering requirements, analyzing business processes, and providing strategic recommendations for improvement. Proven track record in collaborating with IT specialists to develop widely-used internal portals and managing comprehensive project documentation.

---

**Professional Experience**  

**Synergy International Systems / IDeA Foundation**  
*Project Analyst*  
- Gathered requirements for project initiation in areas such as public health and monitoring & evaluation (M&E).
- Analyzed business processes within organizations and provided actionable recommendations for enhancement.
- Collaborated with IT specialists to create two internal portals using MS SharePoint, which are actively utilized by both companies.
- Prepared detailed project plans, including risk management, communication strategies, and budget outlines using MS Project.
- Served as the primary contact for project status reporting, ensuring clear and consistent communication with stakeholders.

---

**Skills**  
- Requirements Gathering  
- Business Process Analysis  
- Strategic Recommendations  
- MS SharePoint  
- Project Planning (MS Project)  
- Risk Management  
- Communication Planning  
- Budget Management  
- Stakeholder Communication  

---

**Education**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

---

**Certifications**  
[List any relevant certifications]  

---

**References**  
Available upon request."
12485,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Objective**  
Seeking an opportunity to leverage my extensive experience in IT as a Project Manager or Business Analyst.

---

**Summary**  
- Over 12 years of experience in roles such as Project Manager, Business Analyst, Marketing Analyst, Analyst, and Business Process Analyst.
- Strong background in project management and business analysis with a focus on optimizing business processes and implementing automated control systems.
- Excellent communication and negotiation skills.

---

**Skills**  
- Project Management  
- Task Setting using SMART Criteria  
- Technical Project Description Development  
- Business Requirements Analysis and Solution Development  
- Business Analysis (7+ years)  
- Automated Control Systems Implementation  
- Test Plan and Test Case Creation, Test Execution, Bug Reporting  
- Project Documentation Development (Use Cases, Business Rules, Functional & Non-Functional Specifications)  
- Business Process Analysis and Optimization  
- Requirements Change Management  
- Communication and Negotiation  

**Technical Skills**  
- Jira  
- SQL (Basic)  
- HTML/CSS (Basic)  
- 1C  
- Microsoft Office (Word, Excel, Outlook, PowerPoint)  

---

**Education**  
Higher Education in Management and Project Management (Graduated with Honors)  
QA Manual Certification  

---

**Experience**  
- Extensive experience in project management and business analysis across various related fields.  
- Proven track record in developing optimal solutions based on customer business requirements.  
- Skilled in creating comprehensive test plans and executing tests to ensure quality assurance.  

---

**References**  
Available upon request."
