,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o
98253,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Experience**

**Baza Trainee, Ukraine**  
*June 2023 - Present*  
- Led design teams for projects in the social sector, including the Volunteer organization ""4.5.0"" website project and “1000+1 song. Kolyskovi.”
- Finalist in the Hahathon 4.0: Ukraine Heritage Edition project.
- Utilized Figma, Trello, Slack, Discord, and time tracking tools to enhance project efficiency.

**CURSOR Education**  
*January 2023 - June 2023*  
- Contributed to an e-commerce platform for a real craft business through stakeholder interviews, competitor analysis, user research, SWOT analysis, Customer Journey Mapping (CJM), and Information Architecture (IA).
- Developed wireframes and initiated UI design and prototyping.

---

**Skills**  
- Proficient in Figma, Trello, Slack, Discord, and time tracking tools.
- Strong leadership and team management abilities.
- Experienced in user research and design strategy.
- Skilled in wireframing, UI design, and prototyping.

---

**Education**  
[Your Degree, if applicable]  
[Your University/College Name, if applicable]  
[Year of Graduation, if applicable]  

---

**References**  
Available upon request."
98254,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Professional Summary**  
Dynamic UX/UI Designer with a robust foundation in design principles and proficiency in Figma. Demonstrated success in enhancing user experiences through innovative design solutions. Adept at creating interactive designs that boost user interaction and engagement.

---

**Education**  
- UX/UI Design Course Completion

---

**Professional Experience**  

**UX/UI Designer**  
- Revamped website interfaces to improve user-friendliness and engagement.
- Crafted interactive designs to enhance user interaction with products.

**Projects**  

1. **Social Media Banners**  
   - Designed banners for a charitable organization to enhance their social media presence.

2. **Fitness Coach Website Redesign**  
   - Streamlined an overloaded webpage design, emphasizing key elements to attract potential clients.

3. **Landing Page for Handmade Artist (UX/UI Case Study)**  
   - Developed a landing page to showcase unique products on the international market.
   - Created a wireframe, selected natural colors to highlight the artist's work, and implemented a subtle parallax animation.

4. **Mobile App (UX/UI Case Study)**  
   - Designed an app for selecting and sending gifts with flowers for special occasions, enabling users to schedule delivery on specific dates/times.

**Work Experience**  
- Experience in agencies, startups, and product companies.
- Developed landing pages, mobile applications, and web services.

---

**Skills**  
- UX/UI Design  
- Figma  
- Interactive Design  
- Web and Mobile Application Development  
- Social Media Design  

---

**References**  
Available upon request."
98255,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Objective**  
UI/UX Designer dedicated to crafting user-centric digital experiences. Proficient in transforming complex concepts into intuitive and visually engaging designs. Strong foundation in design principles, user research, interactive prototyping, and adaptive design. Eager to apply skills and enthusiasm to develop impactful and user-friendly products that enhance the user's journey.

---

**Experience**

**DeliverEats Mobile Service**  
*UI/UX Designer*  
- Designed a mobile interface for a food delivery service, focusing on user experience and interface design.
- Conducted UX research, wireframing, UI design, and prototyping, leading to a successful launch on Behance.
- Created customer-facing pages, including catalog, product, and account pages.
- Identified target audience and analyzed market and competitors to guide design decisions.
- Implemented features such as homepage search, quick sorting filters, favorites functionality, and a user-friendly interface.

**PetSearch Web Service**  
*Team Project UI/UX Designer*  
- Collaborated on a team project to design a web service for locating lost animals.
- Engaged in full-cycle design, from UX research to creating personas, user flows, JTBD, and CJM.
- Developed wireframes, UI designs, and prototypes, launching the project on Behance.
- Analyzed market and competitors to define target audience and identify strengths and weaknesses of similar services.
- Focused on a warm color scheme, fast-action functionality, mobile adaptability, and user-friendly clarity.

---

**Skills**  
- UX Research  
- Wireframing  
- UI Design  
- Prototyping  
- Adaptive Design  
- User Flows  
- Personas  
- JTBD (Jobs to be Done)  
- CJM (Customer Journey Mapping)  

---

**Education**  
[Your Degree] in [Your Field]  
[Your University], [Year of Graduation]  

---

**Portfolio**  
Behance: [Your Behance Profile Link]  

---

**References**  
Available upon request."
98256,"FlowerLower  
Landing Page Design for Flower Delivery Company  
- Conducted competitor analysis and research  
- Developed high-fidelity wireframes  
- Created UI style guides, including typography, responsive layouts, color palette, and buttons  

Mimino  
Website Redesign for Georgian Cuisine  
- Performed competitor analysis and research  
- Developed high-fidelity wireframes  
- Created a comprehensive UI Kit, including typography, responsive layouts, color palette, and components  
- Executed prototyping  
- Adapted design for mobile and tablet  

Wanderstay  
Couchsurfing Web Service - Team Project  
- Conducted competitor analysis and research  
- Applied design thinking methodology  
- Developed JTBD and user personas  
- Created information architecture and user flow  
- Designed customer journey maps (CJM)  
- Developed wireframes and dashboards  
- Designed a custom 404 page  
- Implemented parallax effects  
- Adapted design for mobile and tablet  
- Executed prototyping  "
98257,"Web Developer & Designer

**Professional Experience**

**Web Cleaning Service Developer**
- Spearheaded the development of a comprehensive web cleaning service, managing all phases from competitor analysis to design implementation.

**Lead Designer for ""BARBER"" Barbershop**
- Conducted thorough research on competitors and target audience to inform design strategies.
- Developed a user-focused design by effectively understanding and addressing user needs.

**Site Redesign for ""India Cafe""**
- Evaluated target audience to identify needs and improve site design for enhanced usability and visual appeal.

**Creator of ""CLEAN"" Web Service**
- Built a platform connecting cleaners with clients.
- Oversaw all UX/UI stages, including user flow, prototyping, sitemap creation, payment page design, and overall design execution.

**Career Objective**
- Enthusiastic about joining a company with a collaborative, positive, and goal-oriented culture.
- Seeking opportunities for both in-office and remote work, with a focus on professional growth and career advancement."
98258,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Objective**  
Dedicated professional with a Master's degree in Law and a growing interest in the IT sector, particularly in UI/UX design. Committed to leveraging strong organizational and communication skills to contribute effectively in a dynamic work environment.

---

**Education**  
**Master’s Degree in Law**  
[University Name], [Year of Graduation]

**UI/UX Design Course**  
DanIT Academy, [Year of Completion]

---

**Professional Experience**  

**Head of Quality Control Department of Customer Support**  
Rocket Delivery, Cyprus  
[Month, Year] – [Month, Year]  
- Led the Quality Control Department, ensuring high standards of customer support.
- Implemented quality assurance processes to enhance service delivery.

**Customer Support Manager**  
[Gambling Company Name]  
[Month, Year] – [Month, Year]  
- Delivered exceptional customer service for site-related issues.
- Collaborated with departments to resolve customer requests efficiently.

**Notary Assistant**  
[Notary Office Name]  
[Month, Year] – [Month, Year]  
- Managed document preparation and contract drafting.
- Conducted client consultations and maintained electronic registers.
- Handled business correspondence with professionalism and accuracy.

---

**Skills**  
- Strong responsibility and organizational skills.
- Proficient in document management and client communication.
- Basic knowledge of UI/UX design principles.

---

**Certifications**  
- UI/UX Design Certification, DanIT Academy

---

**Languages**  
- [Language 1]  
- [Language 2]  

---

**References**  
Available upon request."
98259,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Creative and detail-oriented web and mobile application designer with a strong focus on competitor analysis, user flow creation, site mapping, mood board development, and adaptive design. Skilled in developing landing pages, websites, and web services. Committed to continuous learning and skill enhancement, particularly in vector graphics and Adobe Illustrator.

---

**Professional Experience**  

**Project Involvement**  
- **OURPAWS**  
  - Redesigned search service for missing animals, enhancing the user experience for locating lost pets.  
  - Utilized Figma, Adobe Illustrator, and Adobe Photoshop to execute the project.  

- **LA MESA**  
  - Developed a mobile application for booking tables in restaurants, focusing on user-friendly design and functionality.  
  - Employed Figma, Adobe Illustrator, and Adobe Photoshop to bring the project to fruition.  

---

**Skills**  
- Competitor Analysis  
- User Flow Creation  
- Site Mapping  
- Mood Board Development  
- Prototyping  
- Adaptive Design  
- Landing Page Development  
- Web Services Development  
- Proficient in Figma, Adobe Illustrator, Adobe Photoshop  

---

**Professional Development Goals**  
- Enhance skills in vector graphics and Adobe Illustrator.  
- Foster effective communication and collaboration with colleagues and management to ensure mutual respect and assistance.  

---

**Education**  
[Your Degree]  
[Your University/College]  
[Year of Graduation]  

---

**References**  
Available upon request.  "
98260,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Objective**  
Creative and detail-oriented designer with expertise in developing user-friendly interfaces and enhancing customer engagement through strategic design. Proven ability to analyze target audiences and competitors to deliver effective design solutions.

---

**Projects**

**Landing Page for Flower Shop ""FlowerLover""**  
- Developed a user-friendly landing page for ""FlowerLover"" based on client specifications.  
- Conducted competitor analysis and target audience research to inform design decisions.  
- Created a clear and engaging interface, focusing on user experience and interface design.

**Website Redesign for Alaska Pete's Restaurant**  
- Led the redesign of Alaska Pete's restaurant website to modernize its appearance and improve user engagement.  
- Integrated a user-friendly booking system to address the lack of a reservation form.  
- Focused on creating an attractive and contemporary design to draw in potential customers.

---

**Skills**  
- User Interface (UI) Design  
- User Experience (UX) Design  
- Competitor Analysis  
- Target Audience Research  
- Strategic Design Implementation  

---

**Education**  
[Your Degree] in [Your Field]  
[Your University], [Year of Graduation]  

---

**References**  
Available upon request."
98261,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Dynamic and detail-oriented team leader with expertise in designing user-centric interfaces and enhancing user engagement. Proficient in project management and collaborative design, focused on creating intuitive and visually appealing digital experiences.

---

**Professional Experience**

**Team Leader, Project ""See World""**  
- Led the development of a user-friendly interface for a robotic search method to identify affordable living spaces.
- Designed an intuitive website to facilitate easy navigation, application submission, and user engagement through regular follow-ups.

**Project ""GenieTable""**  
- Contributed to the design of the ""GenieTable"" mobile application, using a cartoon character theme to enhance user engagement.
- Developed an interactive interface for booking restaurant tables with a genie, utilizing a thematic color scheme to attract users.

**Team Project ""Nice View""**  
- Collaborated on creating a landing page for a residential complex, targeting potential clients.
- Designed the page with a minimalist aesthetic and calming color palette to convey safety and sophistication, promoting a balanced family and work environment.

---

**Education**  
[Your Degree] in [Your Field]  
[Your University], [Year of Graduation]

---

**Skills**  
- User Interface Design  
- Project Management  
- Collaborative Design  
- User Engagement Strategies  
- Intuitive Navigation Design  

---

**References**  
Available upon request."
98262,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Email Address]  
[Your Phone Number]  

---

**Objective**  
Leverage my expertise in web design and development to contribute to innovative projects and enhance user experiences.

---

**Education**  
[Your Degree] in [Your Field]  
[Your University], [Year of Graduation]

---

**Projects**  

**Tattoo Salon Website Redesign**  
- Executed an individual project as part of the GoIT course.  
- Selected design references and conducted target audience analysis.  
- Redesigned the website, created a UI-kit, and adapted the design for tablet and mobile versions.  
- Implemented links and ensured responsive design.

**Landing Page Development**  
- Independently chose project topic and design references.  
- Created a mood board and UI-kit.  
- Developed the main page with a focus on minimalism.

**Web Service for Budget Travel**  
- Collaborated on a team project during the course.  
- Conducted audience analysis and prepared user flow and customer journey mapping (CJM).  
- Selected a design system and adapted the service for tablet and mobile versions.  
- Ensured responsive design and implemented necessary links.

---

**Skills**  
- Competitor analysis and information research  
- Task analysis and idea development  
- Mood board compilation  
- Minimalist web design and landing page development  
- CRM systems and mobile application development  
- Prototyping and responsive design

---

**Professional Attributes**  
- Results-oriented with a strong focus on design  
- Team player with a commitment to mutual respect and a friendly atmosphere  
- Open to partially remote work opportunities  
- Eager for corporate training and development within the company

---

**References**  
Available upon request."
98263,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Professional Summary**  
Dynamic and results-oriented professional with a proven track record in both individual and collaborative projects. Expertise in enhancing team communication to create engaging, user-friendly products. Proficient in full-cycle design, with a focus on aligning projects with user needs and current trends.

---

**Projects**

**Redesign Tattoo Company**  
- Spearheaded the comprehensive redesign of the company's website, aligning it with target audience needs and modern design trends.  
- Improved user experience, leading to enhanced site navigation and increased conversion rates.

**Easy Yoga Web Service**  
- Developed a robust web service from scratch, enabling seamless communication between yoga instructors and students.  
- Designed both desktop and adaptive interfaces to ensure accessibility and user satisfaction.

**Productivity Enhancement Mobile Application**  
- Developed a mobile application to boost user productivity with tools for daily planning and health monitoring.  
- Integrated features to track physical and mental well-being, promoting a balanced lifestyle.

---

**Skills**  
- Full-Cycle Design  
- User Experience (UX) Design  
- Team Collaboration and Communication  
- Web and Mobile Application Development  
- Trend Analysis and User Needs Assessment  

---

**Education**  
[Your Degree] in [Your Field]  
[Your University], [Year of Graduation]  

---

**Certifications**  
[List any relevant certifications]  

---

**References**  
Available upon request."
98264,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Professional Summary**  
Creative and detail-oriented UX/UI Designer with a proven track record in leading teams and managing projects from concept to completion. Skilled in designing user-friendly interfaces and enhancing user experience. Committed to developing innovative solutions and improving digital interactions.

---

**Experience**  

**Team Leader & UX/UI Designer**  
*Travelhaven Project*  
- Led a team in designing and developing the Travelhaven project, focusing on intuitive and engaging user interfaces.
- Conducted user research and usability testing to inform design decisions and enhance user satisfaction.

**Pet Projects**  
1. **Alaska Pete's Roadhouse Grille Website Redesign**  
   - Redesigned the website for Alaska Pete's Roadhouse Grille, improving user experience through effective design solutions identified via competitor analysis.

2. **Web Service for Affordable International Stays**  
   - Developed a web service interface to facilitate affordable international stays for students and young travelers, providing a platform for work-exchange accommodations.

**Volunteer Experience**  

**Website Development for Volunteer Organization**  
- Developed a website for a volunteer organization, connecting volunteers with opportunities to enhance community engagement.

---

**Skills**  
- UX/UI Design  
- User Research & Usability Testing  
- Team Leadership  
- Project Management  
- Competitor Analysis  
- Web Development  

---

**Education**  
[Your Degree] in [Your Field]  
[Your University], [Year of Graduation]  

---

**References**  
Available upon request."
98265,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Professional Summary**  
Creative and detail-oriented UI/UX Designer with a strong track record in leading and collaborating on diverse projects. Skilled in conducting market research, developing user personas, and creating high-fidelity prototypes. Proficient in design tools such as Figma, Photoshop, Illustrator, and Protopie to deliver user-centric solutions.

---

**Professional Experience**

**Team Leader, SweepUp Cleaning Web-service**  
- Led the development of a user-friendly platform for selecting and ordering cleaning specialists.
- Conducted market and competitor analysis, facilitated brainstorming sessions, and developed User Personas, JTBD, CJM, and User flows.
- Designed prototypes and UI, ensuring integration and adaptation within the existing design system.
- Tools used: Figma, Photoshop, Illustrator.

**Participant, GoIT Addendum Project**  
- Contributed to a project where my landing design was successfully implemented by student developers.

---

**Projects**

**TimeWell Daily Planner Mobile App**  
- Collaborated with a team to design an app for time management, task planning, and goal achievement.
- Analyzed competing applications, created User Personas and User flows, and developed high-fidelity prototypes and UI design.
- Designed detailed animations using Protopie.
- Tools used: Figma, Photoshop, Illustrator, Protopie.

**Bravo Furniture Site Redesign**  
- Personal project focused on redesigning a luxury furniture store's website.
- Conducted market analysis, competitor research, and developed screen prototypes, UI design, and responsive layouts for mobile and tablet versions.
- Developed a comprehensive UI-kit.
- Tools used: Figma, Photoshop, Illustrator.

**Citroen C4 Landing Page**  
- Developed a landing page for test drive bookings of the new Citroen car as part of coursework.
- Conducted market analysis, competitor research, and created moodboards, wireframes, and a final animated interface.
- Tools used: Figma.

---

**Education**  
[Your Degree] in [Your Field]  
[Your University], [Year of Graduation]

---

**Skills**  
- UI/UX Design  
- Market Research  
- Prototyping  
- User Personas and User Flows  
- Animation Design  
- Tools: Figma, Photoshop, Illustrator, Protopie  

---

**References**  
Available upon request."
98266,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Dynamic project leader and designer with extensive experience in web and mobile application development. Skilled in leading teams, conducting in-depth competitor analysis, and crafting user-centric designs that align with client objectives and elevate user experience.

---

**Professional Experience**

**Team Leader, Travel Joy**  
- Led the comprehensive design of a web service to facilitate work and leisure in new environments.  
- Conducted competitor analysis, developed user flows, and crafted wireframes and prototypes using Figma.  
- Organized and supervised the work process, ensuring the creation of a user-friendly web service with intuitive functionality.  
- Managed challenges associated with integrating into an existing design system.  

**Team Member, Mobile App for Restaurant Table Booking**  
- Participated in the development of a mobile application to optimize restaurant table booking processes.  
- Enhanced the app's design and functionality to improve user experience.  

**Project Designer, Nice View**  
- Designed a landing page for apartment sales in a new residential complex, tailored to client specifications.  
- Conducted competitor analysis and target audience research to guide design choices.  
- Developed both low-fidelity and high-fidelity prototypes, selecting fonts and color schemes to attract potential buyers.  
- Delivered a visually compelling landing page design that met client expectations and boosted user engagement.  

---

**Skills**  
- Team Leadership  
- Competitor Analysis  
- User Experience Design  
- Wireframing and Prototyping  
- Figma  
- Mobile and Web Application Development  

---

**Education**  
[Your Degree] in [Your Field]  
[Your University], [Year of Graduation]  

---

**Projects**  
- **Travel Joy**: Web service design for travel, emphasizing user interface and functionality.  
- **Nice View**: Landing page design for a residential complex, enhancing buyer engagement.  

---

**References**  
Available upon request."
98267,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Objective**  
Creative and detail-oriented professional with a robust background in web design and project development, committed to delivering engaging and user-focused digital experiences.

---

**Experience**

**Volunteering Projects Aggregator for Ukraine**  
- Led the creation of a platform to consolidate and highlight volunteering initiatives across Ukraine.  
- Increased user engagement by providing detailed project information, facilitating donations, and connecting users with related projects and organizations.  
- Successfully promoted meaningful causes, enhancing support nationwide.

**Kickstarter Project Landing Page**  
- Designed an engaging landing page for a multifunctional nightstand that converts into four chairs.  
- Utilized the AIDA marketing model to effectively promote the product and drive Kickstarter sales.  
- Developed skills in competitor analysis, reference selection, high-fidelity wireframing, and adaptive website design.

**Rihanna Landing Page**  
- Created a landing page to introduce and generate interest in Rihanna.  
- Improved skills in mood boards, references, wireframes, complex composition, typography, and prototyping to enhance user engagement.

---

**Skills**  
- Web Design  
- User Experience (UX)  
- High-Fidelity Wireframing  
- Adaptive Website Design  
- Competitor Analysis  
- Typography and Prototyping  
- Project Development  

---

**Education**  
[Your Degree] in [Your Field]  
[Your University], [Year of Graduation]  

---

**References**  
Available upon request."
98268,"**Resume**

**Projects**

1. **Website Redesign for A Kids Place Childcare**
   - Led the complete redesign of a preschool website targeting parents.
   - Conducted competitor analysis to enhance user engagement.
   - Designed adaptive interfaces for mobile and tablet devices.

2. **Pet Service Web Application**
   - Collaborated in a team to design a comprehensive pet search web service.
   - Developed a platform offering a range of pet-related services.
   - Focused on team collaboration and conducted market research to identify the target audience.
   - Optimized the platform for mobile and tablet use.

**Pet Projects**

- Developing a mobile event app (ongoing)."
98269,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Objective**  
Aspiring UX/UI Designer with hands-on experience in web design and user experience research. Seeking to leverage skills in a collaborative environment to create intuitive and engaging user interfaces.

---

**Education**  
**Projector UX Beginner Course**  
- Completed stakeholder projects both independently and as part of a design team.
- Conducted UX research, problem-solving, and translated findings into UI solutions.

**KronaStudio&School Web Design Course**  
- Gained foundational skills in web design principles and practices.

---

**Experience**  

**Internship - Small Development Team**  
- Contributed to design and development tasks on a pet project for 2 months.

**University IT HUB Volunteer**  
- Redesigned university websites and developed interfaces for various university needs.
- Managed tasks using Jira and collaborated with a team to ensure project success.
- Enhanced UI skills through the use of a UI library and mentorship.
- Engaged in UX research and solution evaluation.
- Collaborated with developers and project managers to improve teamwork experience.

---

**Skills**  
- UX Research and Problem-Solving
- UI Design and Prototyping
- Web Design
- Team Collaboration
- Task Management with Jira
- Communication and Teamwork

---

**Professional Development**  
- Rapidly improved UI skills through mentorship and practical application.
- Dedicated to continuous learning and skill enhancement in UX/UI design."
98270,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Email Address]  
[Your Phone Number]  

---

**Professional Summary**  
Creative and detail-oriented 3D Graphic Specialist with extensive experience in 3D modeling and web design. Proven ability to lead projects and collaborate effectively within teams. Skilled in HTML, CSS, and SketchUp, with a strong focus on creating user-friendly and aesthetically pleasing digital experiences.

---

**Professional Experience**  

**3D Graphic Specialist**  
HOVER Ukraine  
February 2021 - June 2023  

- Utilized SketchUp to model 3D exteriors and interiors, ensuring high-quality and accurate representations.
- Reviewed and verified the accuracy of 3D models created by other modelers, maintaining quality standards.
- Collaborated with team members to deliver projects on time and within scope.

---

**Project Experience**  

**UI/UX Design Projects**  

- **Redesign of Sophie Scholl Realschule Website**  
  - Conducted research and analysis of school websites and web design best practices in the education sector.
  - Redesigned the website to create an aesthetically pleasing, user-friendly, and informative platform.
  - Enhanced skills in competitive and audience analysis throughout the project.

- **YoHome Web Service for Hosting and Renting Housing**  
  - Led the development of the interface from scratch, focusing on user flow and service stylization.
  - Worked on adaptation with minimal changes to ensure a seamless user experience.
  - Managed a team environment characterized by mutual respect and a friendly atmosphere.

---

**Technical Skills**  

- HTML & CSS  
- SketchUp  
- UI/UX Design  
- 3D Modeling  

---

**Additional Information**  

- Successfully led a team in the development of a web service project.
- Committed to continuous learning and development within the company.
- Strong focus on achieving results and meeting project goals."
98271,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Objective**  
Aspiring to advance in the field of UI/UX design, leveraging my diverse design background and recent web design training to create intuitive and engaging user interfaces.

---

**Education**  
**Master's Degree in Environmental and Industrial Design**  
[University Name], [Location]  
[Year of Graduation]

---

**Professional Experience**  

**Interior Designer**  
[Company Name], [Location]  
[Year] - Present  
- Developed and executed interior design projects, collaborating with clients to create functional and aesthetically pleasing spaces.
- Engaged in graphic design, creating logos, business cards, and banners.
- Delivered high-quality design solutions both as a freelancer and within a company setting.

**Freelance Designer**  
[Year] - Present  
- Designed and developed a variety of projects, including interior design, graphic design, and painting.
- Created custom logos, business cards, and banners for diverse clients.

---

**Web Design Training**  
- Completed courses from GENIUS and Cases, including ""Fundamentals of Web Design,"" ""Working with Figma,"" and ""UX/UI: Projecting and Design of Interfaces"" (2022).

---

**Skills**  
- Interior Design  
- Graphic Design  
- Industrial Design  
- Web Design (Figma, UX/UI)  
- Logo and Branding Design  
- Painting  

---

**Language Proficiency**  
- English: B1  
- Polish: B2  
- Spanish: B1  

---

**Portfolio**  
[Link to your online portfolio or website]  

---

**References**  
Available upon request."
98272,"UI/UX Designer

Profile:
Aspiring UI/UX Designer with 6 months of hands-on experience in designing user interfaces and experiences for various digital platforms. Proficient in the full design process, including competitor analysis, user flows, wireframing, prototyping, and creating responsive designs. Strong teamwork skills with experience collaborating with front-end developers. Passionate about creating comprehensive and appealing designs that enhance user experience and drive conversions.

Experience:
UI/UX Design Experience (6 months)
- Designed user interfaces for landing pages, e-commerce sites, portfolio sites, and mobile applications (iOS, Android).
- Engaged in redesign projects, focusing on improving user experience and interface aesthetics.
- Conducted competitor analysis and developed user flows to inform design decisions.
- Created wireframes and prototypes to visualize design concepts.
- Developed unique UI designs for websites, ensuring adaptability for mobile and tablet devices.
- Implemented basic website animations to enhance user interaction.

Education:
UI/UX Design Coursework (5 months)
- Gained in-depth knowledge of UI/UX design principles and technologies.
- Studied Google Material Design Guidelines and Human Interface Guidelines, applying this knowledge in practical coursework.

Objective:
Eager to join a professional UI/UX design team to apply my skills and knowledge. Committed to contributing to innovative projects that challenge my design thinking and enhance my expertise. Seeking opportunities to create user-friendly and visually appealing designs that effectively communicate information and improve user engagement.

Skills:
- UI/UX Design
- Wireframing & Prototyping
- Responsive Design
- Competitor Analysis
- User Flows
- Basic Website Animation
- Collaboration with Developers

Personal Statement:
I believe that the key to successful UI/UX design is creating designs that are both comprehensive and visually appealing, ensuring users can easily access the information they need. I am open to engaging projects that challenge me to find optimal solutions and help me grow as a designer."
98273,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Objective**  
Aspiring UX Designer with a strong foundation in user-centered design, design processes, accessibility, and equity-focused design. Eager to contribute skills in a collaborative environment to create impactful user experiences.

---

**Education**  
Hillel IT School  
- Completed a comprehensive course in UX Design

---

**Experience**  

Freelance Designer  
[Month, Year] – [Month, Year]  
- Designed banners for social media platforms including Instagram, Twitter, and Facebook.
- Contributed to planning applications and websites.
- Developed a blog using Webflow.
- Created landing pages and promotional banners.

---

**Skills**  
- User-Centered Design  
- Design Process Understanding  
- Accessibility and Equity-Focused Design  
- Design Sprints  
- Webflow  
- Social Media Content Creation  

---

**Projects**  
- Developed and designed a blog using Webflow, emphasizing user engagement and accessibility.
- Created visually appealing and effective landing pages and banners for diverse clients.

---

**Certifications**  
- UX Design Course, Hillel IT School

---

**Additional Information**  
- Strong understanding of design sprints in UX design.  
- Proven ability to collaborate with cross-functional teams to enhance user experience."
98274,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Email Address]  
[Your Phone Number]  

---

**Objective**  
Junior UI/UX Designer with a passion for creating effective and visually appealing designs that enhance user experience. Specializing in landing pages, e-commerce, website redesign, and web services, I am eager to contribute my skills and enthusiasm to your team to create impactful designs that drive business success.

---

**Education**  
- Completed a 6-month UI-UX Design course.

---

**Project Experience**  

**""Wish"" - Gift Delivery Mobile App**  
- Led the design of a flower and gift delivery app, executing a full-cycle process including competitive analysis, UX personas, user flow, wireframes, and UI design.

**“Fitroom” - Corporate Website Redesign for a Fitness Studio**  
- Conducted competitor analysis, established stylistic direction, built prototypes, optimized interfaces for phone and tablet, and developed the UI kit to create a modern user interface that boosts sales.

**“VDOMA” - Ukrainian Couch-Surfing Web Service**  
- Developed a web service to facilitate affordable stays in Ukraine and promote tourism. Engaged in competitive analysis, UX personas, empathy mapping, sitemap creation, MVP definition, and user flow diagramming. Developed tablet/mobile adaptations and conducted A/B testing to refine the design.

---

**Additional Projects**  
- Designed UI for an accounting services table for a cleaning company.
- Created UI for a website sidebar.
- Developed a team page with paddings using AutoLayout.
- Designed a user page for an online learning resource.
- Created a dashboard for an ed-tech product aimed at school students.
- Developed UI for a desktop start screen with animation.
- Designed a modal window for confirming money transfers from card to card.
- Created a dashboard for an administrator to manage user rights.

---

**About Me**  
Eager to expand my knowledge and grow in design, I am excited to contribute to your next project and help create designs that elevate business."
98275,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**PROFESSIONAL SUMMARY**  
Creative and detail-oriented Junior UX/UI Designer with a solid foundation in design principles and a strong aesthetic sense. Dedicated to enhancing user experiences through innovative digital solutions. Continuously learning and staying informed about industry trends and new technologies. Eager to contribute expertise and collaborate on challenging projects in the UX/UI design field.

---

**PROJECT EXPERIENCE**  

**Petsearch**  
Spearheaded the design and development of Petsearch, a web service designed to assist shelters and promote volunteerism by facilitating the search for lost and found animals. Developed a user-friendly interface to ensure seamless interactions, connecting pet owners with individuals who find lost pets.

**A Kids Place Childcare**  
Revamped a kindergarten website by integrating technical and research components. Conducted a thorough analysis of the existing design and competitors to identify strengths and weaknesses. Created visuals based on research insights and developed a comprehensive UI kit documenting all UI elements used.

**FlowerLover Flower Shop**  
Designed a landing page for FlowerLover, a flower shop, incorporating various UI elements such as buttons and inputs. Performed extensive research, including competitor analysis and moodboard creation, to determine page structure and select a color palette that reflects natural hues.

---

Motivated to work on engaging projects to gain experience and apply skills effectively. Dedicated to creating high-quality and impactful products."
