,Modified_gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelgpt-4o
98257,"- Independently developed a web cleaning service, managing all phases from competitor analysis to design.
- Led the redesign of ""BARBER"" barbershop website, performing competitor research and target audience analysis to ensure user needs were met before moving to design.
- Successfully redesigned ""India Cafe"" website by researching the target audience, identifying needs, and enhancing design for improved usability.
- Created ""CLEAN"" web service to connect cleaners with clients, addressing all UX/UI stages including user flow, prototyping, sitemap, payment pages, and design.
- Seeking a position in a company that emphasizes teamwork, positivity, and purpose, with the flexibility to work both in-office and remotely.
- Committed to continuous learning and advancing in my profession, with a strong desire for rapid career progression."
98258,"Master’s degree in Law, 2018  
Currently studying UI/UX Design  

**Professional Experience**

**Notary Assistant**  
- Managed and organized legal documents  
- Prepared various contracts  
- Consulted clients on legal matters  
- Maintained electronic registers  
- Conducted business correspondence  
*Duration: 3 years*

**Customer Support Manager (Gambling)**  
- Addressed and resolved site-related issues for customers  
- Coordinated with relevant departments to transfer requests  
*Duration: 1 year*

**Head of Quality Control Department, Customer Support (Cyprus) - Rocket Delivery**  
- Led quality control initiatives within the customer support division  
*Duration: 6 months*

**Education and Certifications**  

- Completed UI/UX Design Course, DanIT Academy  

**Key Strengths**  
- Strong sense of responsibility  
- Excellent legal documentation and contract preparation skills  
- Effective communication and client consultation abilities  
- Proficient in quality control and customer support management"
98259,"[Your Name]  
[Your Address]  
[City, State, ZIP]  
[Your Email]  
[Your Phone Number]  

**Profile**  
Creative and dedicated professional with proven experience in digital design and development. Skilled in competitor analysis, user flow creation, site maps, mood board creation, and adaptive design. Committed to effective communication and collaboration with colleagues and management.

**Experience**  

**Digital Designer & Developer**  
- Conducted competitor analysis to inform project strategies and design solutions.  
- Created user flows and site maps to enhance user experience and facilitate seamless navigation.  
- Developed mood boards to guide design aesthetics and ensure cohesive visual elements.  
- Built landing pages, websites, and web services with a focus on prototyping and adaptive design.  
- Contributed to the ""OURPAWS"" project, redesigning a search service for missing animals using Figma, Adobe Illustrator, and Adobe Photoshop.  
- Collaborated on the LA MESA project, creating a mobile application for booking restaurant tables, incorporating Figma, Adobe Illustrator, and Adobe Photoshop.  

**Skills**  
- Competitor Analysis  
- User Flow & Site Maps  
- Mood Board & Visual Design  
- Landing Pages & Web Development  
- Prototyping & Adaptive Design  
- Figma  
- Adobe Illustrator  
- Adobe Photoshop  
- Effective Communication & Collaboration  

**Professional Development**  
Eager to continue skill development, particularly in Adobe Illustrator and vector graphics.  

**Education**  
[Your Degree] in [Your Field]  
[Your University], [City, State]  
[Year of Graduation (if recent)]  

**References**  
Available upon request.  "
98260,"**[Your Name]**

[Your Address]  
[City, State, ZIP]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile URL]

---

**Professional Summary**

Detail-oriented design professional with a proven track record in successful project management and execution. Specializes in creating user-focused, visually appealing digital experiences. Adept at analyzing market trends and competitor landscapes to deliver results-driven design strategies.

---

**Experience**

**Project Manager & Designer**  
- Successfully managed and executed two notable projects: the development of a landing page for ""FlowerLover,"" a flower shop, and a comprehensive website redesign for Alaska Pete's restaurant.
- Conducted in-depth competitor analysis and identified target audiences to craft user-friendly and engaging designs.
- Developed intuitive User Interface (UI) components, significantly enhancing the overall user experience.
- Leveraged strategic design methodologies to boost customer engagement and increase user acquisition through thoughtful design solutions.

---

**Skills**

- **Design Strategy & Execution:** Proficient in developing and executing design strategies that align with client objectives and enhance user satisfaction.
- **Competitor Analysis & User Targeting:** Skilled in analyzing competitors and understanding audience demographics to inform design decisions.
- **User Interface Design:** Experienced in creating clear, user-centric interfaces that improve interaction and accessibility.
- **Customer Engagement:** Knowledgeable in employing design techniques that attract and retain customers.

---

**Education**

[List your relevant education here, if applicable]

---

**Certifications**

[List any relevant certifications here, if applicable]

---

**Technical Skills**

- [List any relevant software or technical skills here]

---

**Portfolio**

[Link to your portfolio, if applicable]

---

**References**

Available upon request."
98261,"Team Leader on projects ""See World,"" ""GenieTable,"" and ""Nice view."" Responsible for overseeing the development and implementation of intuitive user interfaces for search and booking services. Led a team in designing solutions that addressed user needs while ensuring effortless navigation. Applied innovative concepts and color schemes to boost user attraction and engagement. Designed landing pages that effectively highlighted residential complexes and promoted client interaction. Proficient in project management, team leadership, and user interface design."
98262,"Education and Projects:

- Completed 3-PET projects focused on:
  - Competitor analysis
  - Company information research
  - Task and idea analysis
  - Mood board creation
  - Development of minimalist web and landing pages
  - CRM system and mobile app development
  - Prototyping and responsive design

Professional Experience:

1. Tattoo Salon Website Redesign (GoIT):
   - Led an individual project to redesign a tattoo salon website
   - Conducted audience analysis and selected design references
   - Developed a comprehensive UI-kit
   - Adapted the design for tablet and mobile views
   - Managed the creation and implementation of site links

2. Landing Page Development:
   - Independently developed a landing page project
   - Selected references and created a moodboard
   - Designed a complete UI-kit
   - Constructed the main page layout

3. Web Service Project Collaboration:
   - Worked on a team project to create a cost-effective travel web service
   - Participated in audience analysis and reference selection
   - Prepared user flow (USER FLOW) and customer journey mapping (CJM)
   - Chose a design system and adapted it for tablet and mobile versions
   - Oversaw the creation of functional links

Skills:

- Results-oriented design expertise with strong teamwork abilities
- Proven capability to maintain a respectful and friendly work environment
- Experience in partially remote work settings
- Engaged in corporate training and professional development opportunities"
98263,"Experienced in comprehensive design and development with a focus on enhancing user engagement and satisfaction.

- Redesigned a Tattoo Company website, successfully increasing customer conversion rates and expanding the customer base.
- Developed the Easy Yoga web service from inception, streamlining communication channels between yoga teachers and students for improved interaction and engagement.
- Created a performance-focused mobile application to assist users in daily planning and to track physical and mental health metrics effectively."
98264,"Team Leader & UX/UI Designer | Project: Travelhaven
- Led a team in the design and execution of UX/UI for ""Travelhaven.""

Independent Projects
- Developed two personal projects, showcasing creativity and technical skills.

Volunteer Website Project
- Contributed to the development of a website for volunteer coordination.

Alaska Pete's Roadhouse Grille Website Redesign
- Redesigned the website, performing competitor analysis to enhance effectiveness and appeal.

Affordable International Stays Web Service
- Created a user-friendly interface for a service catering to students and young travelers, promoting budget-friendly stays abroad."
98265,"**[Your Name]**

**[Your Address]**  
**[City, State, Zip]**  
**[Phone Number]**  
**[Email Address]**  
**[LinkedIn Profile]**

---

**Professional Experience**

**Team Leader, SweepUp Cleaning Web-service**  
- Led the project team in creating a cleaning web-service.
- Engaged in market and competitor analysis to refine service offerings.
- Facilitated the development of User Personas, JTBD, CJM, and User flows.
- Produced prototypes and UI designs, ensuring system adaptation and relinking within an established design framework.
- Tools used: Figma, Photoshop, Illustrator.

**Additional Project: GoIT Collaboration**  
- Oversaw addendum project for GoIT where student developers implemented the landing design.

---

**Projects**

**TimeWell Daily Planner Mobile App**  
- Conducted a comprehensive analysis of competing applications to inform design strategy.
- Created detailed User Personas and User flows to enhance user experience.
- Developed high-fidelity prototypes and UI design, focusing on intuitive interaction.
- Crafted intricate animations using Protopie.
- Tools used: Figma, Photoshop, Illustrator, Protopie.

**Bravo Furniture Site Redesign**  
- Investigated market trends and competitor strategies to identify opportunities for redesign.
- Designed screens, UI, and responsive layouts for mobile and tablet interfaces.
- Developed a comprehensive UI kit to standardize design elements.
- Executed as a personal pet project leveraging design tools.
- Tools used: Figma, Photoshop, Illustrator.

**Citroen C4 Landing Page**  
- Conducted market analysis and researched competitors to inform design aesthetics.
- Created moodboards, wireframes, and a dynamic final animated interface.
- Developed as coursework to refine skills in Figma.

---

**Skills**

- Proficient in Figma, Photoshop, Illustrator, and Protopie.
- Strong background in user interface design and interactive prototyping.
- Experienced in market analysis and user experience research.
- Leadership and project management within collaborative design environments.

---

**Education**

**[Your Degree]**, [Your Major]  
**[University Name]**, [Graduation Year] (If applicable)"
98266,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Experienced team leader and product designer with a strong background in web and mobile applications. Skilled in organizing project workflows, conducting competitor analysis, and creating user-friendly designs. Proven ability to deliver well-structured, visually appealing, and functional products that meet client expectations and user needs.

---

**Experience**  

**Team Leader, ""Travel Joy"" Project**  
- Led project organization and workflow monitoring, ensuring timely delivery and project alignment with strategic goals.  
- Conducted in-depth competitor analysis to identify market trends and positioning.  
- Crafted comprehensive user flows, site maps, wireframes, and prototypes.  
- Developed a highly functional web service for travel with an emphasis on user interface and experience.

**Current Role**  
- Collaborating in a team on the development of a mobile app for restaurant table booking.

---

**Independent Project**  
**Residential Complex Landing Page Design**  
- Performed competitor analysis to inform design strategies.
- Studied target audience to tailor the user experience accordingly.
- Developed both low-detailed and high-detailed prototypes to meet client specifications and attract potential buyers.

---

**Skills**  
- Project Management  
- Competitor Analysis  
- User Experience Design  
- Wireframing and Prototyping  
- Web and Mobile App Development  

---

**Education**  
- [Your Degree, e.g., Bachelor of Arts in Design]  
- [Your University]  
- [Year of Graduation]

---

**Additional Information**  
- [Certifications, if any]  
- [Languages, if relevant]"
98267,"**Volunteering Projects Aggregator for Ukraine**

- Developed a user-friendly platform to showcase various volunteering initiatives across Ukraine.
- Provided comprehensive project details, enabled donations, and facilitated exploration of related projects and volunteer organizations.
- Promoted increased engagement and support for meaningful causes nationwide.

**Kickstarter Project Landing Page**

- Designed a landing page for an innovative nightstand that transforms into four chairs.
- Utilized the AIDA marketing model to effectively promote the product on Kickstarter.
- Gained expertise in competitor analysis, reference selection, high-fidelity wireframing, and adaptive website creation.

**Rihanna Introduction Landing Page**

- Created a landing page to introduce users to Rihanna and capture their interest.
- Developed proficiency in mood boards, references, wireframes, complex composition, typography, and prototyping."
98268,"**[Your Name]**  
[Your Address]  
[City, State, ZIP]  
[Phone Number]  
[Email Address]  

---

**Objective**  
To leverage design skills and experience in user experience and interface design in a dynamic team environment.

**Experience**

**Website Redesign for A Kids Place Childcare**  
- Full cycle redesign of a preschool website aimed at attracting parents.  
- Conducted competitor analysis to enhance user appeal.  
- Implemented responsive design for optimal viewing on mobile and tablets.

**Pet Search Web Service Project**  
- Collaborated in team on full cycle design of a comprehensive pet service platform.  
- Created a centralized website for various pet services.  
- Conducted market research on target audience.  
- Developed responsive design for seamless use on mobile devices and tablets.

**Pet Project**  
- Developed a mobile event app, currently in progress.

**Skills**  
- Full cycle web and mobile design  
- Competitor analysis  
- Responsive design implementation  
- Team collaboration  
- Market research

**Education**  
[Your Education Details]

---
**References available upon request**"
98269,"**[Your Name]**

[Your Address]  
[City, State, ZIP]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile URL] (if applicable)

---

**Objective**

Passionate and motivated UX/UI designer seeking to leverage skills in user research, interface design, and teamwork to contribute effectively to innovative projects.

---

**Education**

**Projector UX Beginner Course**  
- Completed comprehensive coursework in UX design principles, including user research and problem solving.

**KronaStudio&School Web Design Course**  
- Acquired foundational web design skills and understanding of web interfaces.

---

**Experience**

**Internship, [Company Name]**  
- Contributed to the development of a pet project as part of a small development team.
- Engaged in UX research and transformed findings into UI solutions.
- Worked independently and in a team on stakeholder projects.

**Volunteer, University IT HUB**  
- Redesigned university websites to enhance user experience.
- Created user interfaces for university projects.
- Managed tasks in Jira and collaborated effectively with a team.
- Rapidly enhanced UI skills using a UI library.
- Participated in UX research and evaluated design solutions with developers and project managers.

---

**Skills**

- UX/UI Design
- UX Research
- UI Library Utilization
- Team Collaboration
- Jira Task Management
- Problem-Solving

---

**Certifications**

- Brilliantly finished Projector UX Beginner Course

**Mentorship**

- Received mentorship focused on UI design, improving practical skills and understanding.

---

**Projects**

**Stakeholder Projects - Projector UX Beginner Course**  
- Successfully led design initiatives both independently and within a team setting.

---

**Additional Information**

- Proven ability to quickly acquire new skills and implement them effectively in team environments.
- Committed to ongoing personal and professional development in UX/UI design."
98270,"3D Graphic Specialist  
HOVER Ukraine (Feb 2021 - Jun 2023)  

- Expert in SketchUp for 3D modeling of both exteriors and interiors.  
- Reviewed and verified 3D models created by other team members for quality and accuracy.  

Project Experience in UI/UX  

- Redesigned Sophie Scholl Realschule's website to enhance aesthetics, usability, and informativeness.  
- Conducted extensive research and analysis of educational websites and web design best practices.  
- Developed user interface and user flow for YoHome, a platform for hosting and renting housing, starting from scratch.  
- Adapted designs with minimal changes to maintain a seamless user experience.  

Skills  

- Proficient in HTML and CSS.  
- Developed and worked on a variety of personal projects.  
- Leadership experience as team leader for the YoHome project.  "
98271,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile] (if applicable)  

**Objective**  
Passionate design professional with 4 years of diverse experience in interior, graphic, and industrial design. Aspiring to excel in UI/UX design by leveraging my skills and educational background.

**Education**  
Master's Degree in Environmental and Industrial Design  
[Your University], [Location]  
[Year of Graduation]

**Professional Experience**  

Interior Designer & Freelancer  
[Company Name] (if applicable), [Location]  
[Year] – Present  
- Developed comprehensive interior design projects by collaborating with clients to meet their aesthetic and functional needs.
- Created graphic design works, including logos, business cards, banners, and paintings.
- Successfully managed freelance projects alongside professional responsibilities.

**Courses & Certifications**  
- Web Design Courses, GENIUS  
- ""Fundamentals of Web Design,"" Cases  
- ""Working with Figma,"" Cases  
- ""UX/UI: Projecting and Design of Interfaces,"" Cases  
Completed in 2022

**Skills**  
- Interior Design  
- Graphic Design  
- Industrial Design  
- Web Design  
- Proficient in Figma and other design tools

**Language Proficiency**  
- English: B1  
- Polish: B2  
- Spanish: B1

**Interests**  
- Keen interest in advancing expertise in UI/UX design."
98272,"UI/UX Designer

Professional Summary:
UI/UX Designer with 6 months of experience specializing in designing compelling digital experiences. Skilled in creating designs for landing pages, e-commerce platforms, portfolio sites, and mobile applications on both iOS and Android. Proficient in competitor analysis, user flows, wireframing, prototyping, and developing unique UI designs for websites. Adept at adapting websites for mobile and tablet use and creating responsive designs. Experienced in basic website animation and collaborating with front-end developers. 

Education:
Completed a 5-month coursework focused on the principles and technologies of the full UI/UX Design process.

Technical Skills:
- Deep understanding of Google Material Design Guidelines and Human Interface Guidelines.
- Proficient in user flow development, wireframing, and prototyping.
- Skilled in creating responsive and adaptive designs for various devices.
- Experienced in basic website animations.

Professional Experience:
Collaborated closely with front-end developers to ensure seamless implementation of design concepts. Engaged in continuous analysis and improvement of design to enhance user experience and drive conversions.

Objective:
Seeking to leverage work experience and expertise in a UI/UX design role. Passionate about crafting comprehensive and appealing website designs to improve user experience and achieve business goals. Eager to take on challenging projects that encourage finding innovative solutions. Committed to ongoing development and excellence in the field of UI/UX design."
98273,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Email Address]  
[Your Phone Number]  

---

**Objective**  
Creative and detail-oriented digital designer with a strong foundation in social media content creation, website planning, and UX design. Seeking to leverage skills in a dynamic environment.

---

**Skills**  
- Expertise in designing banners for social media platforms including Instagram, Twitter, and Facebook  
- Proficient in planning, designing, and developing applications and websites  
- Skilled in blog creation using Webflow  
- Adept at creating compelling landing pages and promotional banners  
- Comprehensive understanding of user experience design principles  

---

**Education**  
**Certificate in UX Design**  
Hillel IT School

---

**Experience**  

**Digital Designer**  
[Your Previous Company Name]  
[City, State] | [Month, Year] - Present
- Developed engaging and visually appealing banners for social media platforms resulting in increased brand visibility and user engagement.
- Led the planning and design of applications and websites, ensuring functionality and ease of use.
- Created blogs using Webflow, maintaining brand consistency and design standards.
- Designed landing pages and promotional banners that aligned with marketing strategies.
  
---

**Portfolio**  
Available upon request or online at [Your Portfolio URL]  

---

**References**  
Available upon request."
98274,"Junior UI/UX Designer

Profile:
Passionate and dedicated Junior UI/UX Designer with a focus on creating aesthetically pleasing and effective designs that enhance user experience. Offering comprehensive design services with expertise in landing pages, e-commerce, website redesign, and web services. Committed to continuous learning and development in the field of design.

Education:
- Completed a 6-month UI-UX Design course.

Project Experience:
1. ""Wish"" - Developed a mobile app for gift delivery.
2. ""Fitroom"" - Led a corporate website redesign for a fitness studio.
3. ""VDOMA"" - Created a Ukrainian couch-surfing web service.
4. Additional projects during the course included individual and collaborative efforts on designs enhancing user interface and experience.

Notable Accomplishments:
- Designed the UI interface for a cleaning company's service accounting table.
- Developed a sidebar UI for a website.
- Created a team page using AutoLayout for formatted paddings.
- Developed a user page for an online learning platform.
- Designed a dashboard interface for an ed-tech product targeting school students.
- Created an animated desktop start screen UI.
- Developed a modal window for secure card-to-card money transfers.
- Designed an administrative dashboard to manage user rights.

Objective:
Excited to contribute my skills and creativity to a dynamic team, aiming to create impactful designs that elevate user interaction and business objectives. Thank you for considering my candidacy for your next project."
98275,"EXPERIENCE

Designer and developer of Petsearch, a web service aimed at helping shelters and promoting volunteerism for animals. Redesigned the children's project ""A Kids Place Childcare.""

ABOUT ME

Passionate and creative Junior UX/UI Designer with a strong foundation in design principles and a keen eye for aesthetics. Dedicated to finding innovative ways to enhance digital interactions and create a positive impact on users. Committed to staying current with industry trends and technologies to drive continuous improvement and innovation. Eager to contribute skills and collaborate on challenging UX/UI design projects.

PROJECT EXPERIENCE

- Independently developed three projects, including theme identification, design, and the creation of UI elements.
- Created Petsearch, a user-friendly web service dedicated to finding lost and found animals, with an emphasis on quick, effective results and a satisfying user experience.
- Redesigned a kindergarten website through technical and research analysis to enhance user experience and visual appeal.
- Designed a landing page for FlowerLover flower shop, using comprehensive research and analysis to develop a visually appealing and user-focused interface."
98276,"UI/UX Designer

Profile:
Self-educated in UI/UX design through online courses, literature, and staying current with design technologies. Continuously enhancing a portfolio with new projects to improve work quality. Passionate about creating user-friendly and visually appealing digital experiences.

Skills:
- Expertise in color theory, typography, and layout design principles
- Experience with both team and individual design projects
- Strong focus on user-centered design and enhancing user experience

Project Experience:

Website Redesign | Tattoo Studio
December 2022 - January 2023
- Redesigned a tattoo studio website to achieve a modern and user-friendly interface
- Improved site navigation and added functionalities for ordering tattoos
- Enhanced overall image quality and included customer reviews to boost engagement

UI/UX Design | Service for Finding Lost Animals
February 2023 - March 2023
- Developed a web service to help users create and publish ads for lost or found pets
- Focused on quick information dissemination and improved communication between pet owners

Objective:
Eager to join a team of experienced designers to further professional skills, learn new technologies, and engage in diverse design projects. Committed to continuous learning and growth within the UI/UX field."
98277,"**[Your Name]**

[Your Address]  
[City, State, Zip]  
[Phone Number]  
[Email Address]  
[LinkedIn Profile]  

---

**Objective**  
Enthusiastic and creative designer seeking remote opportunities to collaborate with like-minded individuals. Eager to leverage skills in UX/UI design, website and app design to take on new challenges and deliver innovative solutions.

---

**Work Experience**  

- Successfully completed four individual projects encompassing UX research and UI design, focusing on dashboards, tables, websites, and web services.
- Collaboratively designed and presented a literature-related project as a key team member.

---

**Projects**  

- **Korg Sound Library Cover Design**  
  Developed two illustrations for sound library covers through detailed analysis of reference photos and incorporating client feedback.

- **Sinevibes Logo (3D Animation)**  
  Conceived and rendered an animated 3D logo for video introduction, successfully approved by the client.

- **UrbanFest Landing Page Design**  
  Originated a minimalistic landing page design from scratch, utilizing a moodboard and wireframe to guide the creative process.

- **CustomConcepts Tattoo Website Redesign**  
  Revamped an existing website by evaluating other tattoo-related sites, prototyping, and executing a modern and comprehensive redesign.

- **Web Service UX and UI Design**  
  Designed a web service for locating affordable accommodations abroad, crafting user personas, customer journey maps, information architecture, user flows, wireframes, and complete full-color design.

- **Beatcraft Mobile App Design**  
  Developed the interface for a music-related app, incorporating features such as two-factor authentication and in-app achievements, grounded in target audience analysis and wireframe creation.

---

**Skills**  

- UX/UI Design
- Website Design
- Web Service Design
- Mobile App Design
- Logo Design
- Advertisement Design
- Poster Design

---"
98278,"---

**About Me**

Dedicated UI/UX designer from Ukraine with expertise in crafting intuitive, user-friendly, and aesthetically pleasing designs. Driven by passion for design, meticulous attention to detail, and a commitment to continually learning and evolving. Proficient in:

- Figma: Experienced in auto layout, styles, components, and design systems
- User-Centered Design: Understanding and translating business requirements into effective designs
- UX Troubleshooting: Skilled in identifying and resolving UX issues

**Professional Experiences**

- Engaged in both individual and collaborative work on user interface design, filtering, and verification methods for web services.

**Project Experience**

1. **Lunushka Shop Mobile App**: Spearheaded the creation of a mobile application for an online store. Conducted competitor analysis, target audience research, persona development, user flow design, wireframing, intuitive design, onboarding processes, and animated prototype creation.

2. **Globetrot Web Service**: Developed a comprehensive web service for affordable lodging options globally. Involved in problem analysis, wireframing, UI design, adaptation, and prototype development.

3. **Tattoo Studio Website Redesign**: Modernized a tattoo studio's website with a clear interface and informative content to attract new clients and tattoo artists.

4. **Flower Shop Delivery Landing Page**: Designed a landing page for a flower shop offering innovative delivery services. Responsibilities included user research, competitor analysis, persona crafting, moodboard creation, prototype development, and design adaptation for tablets and mobile devices.

---"
98279,"PROJECT EXPERIENCE

Website Redesign | Restaurant & Hotel Complex  
October 2022 – November 2022  
- Led a redesign of the website to improve its attractiveness, modernity, and user-friendliness.  
- Analyzed existing website, identified enhancement opportunities, and developed a detailed prototype.  
- Created visual designs and ensured optimal user experience through adaptation.

UI/UX Design | Pet Search Webservice  
December 2022 – February 2023  
- Collaborated in a team project to develop a webservice for finding lost pets.  
- Enhanced communication, organizational, delegation, and time-management skills.  
- Performed competitor analysis, developed user personas, crafted sitemaps, and designed high-fidelity prototypes and user interfaces.  
- Focused on delivering a simple, usable, and visually appealing webservice.  "
98280,"Skills:
- Proficient in Figma, Adobe Photoshop, Adobe Illustrator, Canva
- Experienced in using web services like SimilarWeb
- Skilled in working with Design Systems, User Flows, and Customer Journey Mapping (CJM)

Project Experience:
- Barbershop Landing Page: Designed a landing page for a new barbershop in Ukraine utilizing Figma and Adobe Photoshop
- India Cafe Website Redesign: Enhanced the website of India Cafe to attract more visitors and improve user experience
- Look for Web-Service: Developed a platform using Figma, Canva, and Adobe Illustrator to assist users in finding accommodation based on their requirements

About Me:
- Self-motivated and focused Junior UX/UI Designer with a passion for creating high-quality products for users and businesses
- Detail-oriented and eager to tackle new challenges in web design processes"
98281,"UI/UX Designer

Experience
- Chief Designer | [Your Company Name]  
  [Month, Year] – Present  
  - Organize and prepare creative projects, ensuring alignment with corporate style.  
  - Develop and manage design projects, leading department employees.  
  - Led design projects including website redesigns, interface design for devices, landing pages, and commercial space design.  
  - Notable projects: Adaptive site redesign, web service design for a cleaning company, mobile app for restaurant table booking, website redesign, interface design for a popcorn machine, landing design for KinoboardPRO, and city café design.

- Graphic Designer  
  8 years of experience in graphic design. Focus on delivering high-quality digital products with usability and modern interface styles.

Education
- Studied UI/UX Design  
  Focus on developing skills in adaptive site redesign, web service, and mobile app design.

Skills
- UI/UX Design  
- Graphic Design  
- Team Leadership  
- Project Management  
- Creative Direction  

Objective
Aspire to grow as a UI/UX designer, passionate about creating user-friendly digital products. Ready to contribute experience and skills to help your company succeed.

Contact
Available for UI/UX design opportunities.  
[Your Contact Information]"
98282,"Junior UI-UX Designer

About Me

Motivated junior UI-UX designer with a background in HR and a strong passion for design and innovation. Experienced in creating visually appealing and user-friendly websites and apps. Committed to continuously improving skills and eager to contribute to a dynamic team.

Project Experience

1. Eventize - Mobile Application (2023)
Led the development of a mobile application enabling users to discover and book venues or events, as well as plan their own special occasions. Designed a comprehensive platform for creating and managing events, with features to select necessary items by category and organize important tasks.

2. Guesture - Web Application (2022)
Crafted a web service to help individuals change their environment and work or relax in new settings. Inspired by couch-surfing, but with a model that allows guests to pay or perform tasks as required by the host. Aimed at students and young professionals looking to explore the world affordably.

Objective

Seeking a full-time or part-time position in an innovative and expanding company. Fast learner, responsible, and prepared to tackle challenging tasks."
98283,"Team Leader and Junior UX/UI Designer

**Experience:**

- Led team and managed organizational aspects for ""Shine,"" a pet project web service for cleaning companies, focusing on team motivation and support.
- Directed the development of ""FlowerLover,"" a flower delivery landing page. Performed competitor and target audience analysis, and created moodboards, wireframes, prototypes, UI kits, and animations. Developed tablet and mobile adaptations. Published a case study on Behance.
- Redesigned ""A Kids Place Childcare"" website, a modern kindergarten, through analysis of the existing site, target audience, and competitors. Created moodboards, wireframes, prototypes, UI kits, and animations. Published a case study on Behance.

**Skills:**

- Strong attention to detail and dedication to enhancing user experience.
- Proficient in applying UI/UX design principles.
- Experienced in project management and team leadership.
- Competent in analyzing competitors and understanding target audience needs.
- Skilled in developing moodboards, wireframes, prototypes, and UI kits.
- Knowledgeable about website adaptations for various devices.
- Experience in publishing case studies on Behance.

**Goal:**

- Determined to advance as a UX/UI Designer and establish my own brand.

**Note:**

- Seeking opportunities with clients who value my work and time."
98284,"EXPERIENCE:

Web Design Intern, XYZ Company, Oct 2018 – Dec 2018
- Assisted in developing site structures, interaction flows, page wireframes, and interface requirements.
- Contributed to visual styles for websites and applications, focusing on layout, color, typography, and iconography.
- Utilized Adobe Photoshop, Adobe Illustrator, Adobe Experience Design, Axure, and InVision.

EDUCATION:

UX/UI Design Courses, UX Energy IT School, Jun 2018 – Sep 2018
- Completed courses emphasizing UX/UI design principles and practical tools.

SKILLS:

- Proficient in Adobe Photoshop, Adobe Illustrator, Adobe Experience Design, Axure, and InVision.
- Skilled in creating site structures, interaction flows, page wireframes, and interface requirements.
- Experienced in designing visual styles, including layout, color, typography, and iconography for web applications.

OBJECTIVE:

Aspiring Junior UI/UX Designer seeking to leverage skills and knowledge in web design."
98285,"Dima  
Kyiv  

Junior UI/UX Designer  

**Skills:**  
- Proficient in creating wireframes and prototypes using Figma  
- Experienced in designing landing pages and multi-page projects  
- Detail-oriented with strong focus on meeting deadlines  
- Dedicated to self-improvement and continuous learning  

**Education:**  
**Projector — Creative & Tech Online Institute**  
- Web Design Beginning, 2022  
- Web Design Junior, 2022-2023  "
98286,"[Your Name]
[Your Address]
[City, State, ZIP]
[Your Phone Number]
[Your Email Address]
[Your LinkedIn Profile]

Objective
Creative and highly motivated designer with a passion for delivering exceptional user experiences and beautiful interfaces. Equipped with a strong understanding of design processes and a background in marketing, I am eager to contribute my expertise as a UI/UX or graphic designer.

Experience

Marketing Manager/Designer
[Company Name], [Location]
[Month, Year] – Present
- Design a variety of marketing materials, including brochures, leaflets, and exhibition stands, using Figma, Adobe Photoshop, and Adobe Illustrator.
- Create compelling images for the website, social media, and marketing campaigns.
- Plan and develop engaging email newsletters.
- Edit video content for social media platforms.
- Write content for the website, marketing materials, campaigns, and email newsletters.

Skills
- Proficient in Figma, Adobe Photoshop, and Adobe Illustrator
- Strong understanding of design processes
- Experience in creating marketing materials and digital content
- Skilled in video editing and content writing
- Strong communication and collaboration skills

Education
[Your Degree]
[Your University], [Location]
[Year of Graduation]

References
Available upon request."
98287,"UI/UX Designer

- Proficient in interface design processes and experienced in their application
- Skilled in creating prototypes for various product types
- Competent in analyzing conditions, testing prototypes, and utilizing data to improve designs
- Deep understanding of user needs and familiarity with exemplary design standards
- Experienced in creating straightforward and clear web browser layouts
- Skilled in designing interactive UX applications
- Strong team player with a solid understanding of collaboration principles

**Professional Experience**

**Alkima Web & Design**
UI/UX Designer  
March 2023 - Present

- Conduct user experience research and develop sitemaps
- Craft wireframes and user interfaces
- Proficient in using the Webflow builder
- Design website banners and social media creatives
- Develop logos and design systems

**Vinnytsia Distribution Company**
Sales Manager  
January 2019 - February 2022

- Collaborated in a team setting to develop projects enhancing technology utilization
- Developed interfaces for websites, mobile applications, and software"
98288,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Versatile professional with experience in the gaming and cryptocurrency industries. Skilled in project development and managing layout-related details, with a proven ability to collaborate effectively with project managers and web developers.

---

**Work Experience**

**Freelance Projects**  
*Gaming and Cryptocurrency Industries*  
- Managed and developed diverse projects within the gaming and cryptocurrency sectors.
- Collaborated closely with project managers to ensure project goals and timelines were met.
- Coordinated with web developers to streamline development processes and ensure cohesive project layouts.

---

**Education**  
[Your Degree]  
[Your University/College], [Location]  
[Year of Graduation]

---

**Skills**  
- Project Development  
- Layout Management  
- Team Collaboration  

---

**References**  
Available upon request."
