,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct
12422,"Project Management Institute
Certified Associate in Project Management (CAPM)

Northeastern University
Master of Science in Project Management, concentrated on Project Business Analysis, GPA of 3.76/4

Academy of Public Administration
Bachelor of International Relations

PrintInk. Baku, Azerbaijan
Junior Project Coordinator
May 2023 – Present
- Coordinate and monitor project budgets of $80,000-$150,000, identifying and reporting variances
- Develop and manage project resources, including material, equipment, and personnel within a 10-15 people team
- Revise and maintain project schedules and timelines, ensuring tasks and goals are delivered within set deadlines
- Conduct quality assurance testing, assessing and checking new products against quality standards

Location Scout Training Program Development — Boston, USA
- Wrote SMART business requirements for the program plan, defining in/out-of-scope elements, assumptions, and constraints
- Prepared and prioritized project deliverables, submitting project scope, cost, and schedule baseline statements within 4 weeks
- Prepared contingency reserve policy, communication plan, risk management matrix, quality management plan, and change control policy

MBTA Transportation App Development — Boston, USA
- Developed project plan, activities, resources, budget, and schedule, assigning tasks among 11 team members
- Planned and executed risk management using qualitative and quantitative techniques, with 3 contingency plans for each risk

Globe Life Liberty National Division
Insurance Business Analyst
November 2022 - February 2023, West Covina, CA, USA
- Established productive working relationships with clients and built rapport
- Determined clients’ needs and financial situations, scheduling fact-finding appointments and presenting plans
- Ascertained clients’ long-term goals, offering more than 10 different plans and supplemental benefits."
12435," Procurement Manager
4 years of experience

* Managed warehouse balances and inventory
* Analyzed and forecasted sales to optimize procurement
* Planned procurement, selected suppliers, and negotiated contracts
* Oversaw execution of orders, managed complaints, and returns
* Coordinated transport logistics and delivery schedules
* Negotiated pricing and terms with suppliers

Professional Development:

* Completed ""Data Analysis and Statistical Inference in R Language"" online course (November 2016)
	+ Prometheus.org.ua
	+ Certificate: <https://courses.prometheus.org.ua:18090/downloads/b2da79bd1b5449a6a2a6a0430dec98ce/Certificate.pdf>

Education:

* Master’s Degree in HR Management, Distinction
	+ 3rd place in All-Ukrainian Olympiad in the speciality"
12436,"Project Coordinator
- Delivered project for national Canadian corporation
- Oversaw project delivery and coordinated cross-located team efforts

Business Analyst Lead
- Developed BA processes
- Facilitated communication with customer and development team
- Requirements Elicitation and Gathering: Conducted capability gaps assessment, elaboration phase, requirements gathering workshops, and onsite work with customer
- Requirements Management: Prioritized requirements

Management
- Managed project and team

Human Resources
- Coached team members
- Organized events
- Conducted trainings"
12437,"---

**Professional Experience**

• Led and contributed to over 15 projects, demonstrating project management skills and business analysis expertise in various domains such as methodology, design, development, and implementation of financial management systems.
• Overcame challenges and improved English skills through project work.

**Skills**

• Business analysis, project management, and financial management systems design and implementation
• Excellent English communication skills, with a proven track record of leading and contributing to projects in an English-speaking environment.

---"
12447,"Sure, here's the improved version of your resume:

1. Successfully led a UK real estate startup to MVP delivery, securing investments from Google through effective use of Agile tools to overcome initial setbacks and exceed expectations.
2. Managed feature delivery for various customers at a UK insurance startup, demonstrating adaptability, effective priority management, and consistent team performance under harsh timeframes.
3. Collaborated with business development managers to win projects during the presale stage, utilizing a passion for new ideas and upselling skills when necessary.
4. Received three positive reviews on Clutch for successfully managed projects, maintaining strong relationships with clients and delivering high-quality results.
5. Managed a DevOps production support team of over 800 environments, leading a dedicated team to improve response rates, quality, and variety of support services.

Technical Skills:

1. SaaS solutions for real estate and insurance startups from the UK
2. E-commerce platforms: Shopify, Magento 1/2, WordPress
3. Mobile development: iOS, Android (VR games, healthcare app)
4. Cloud DevOps technology support
5. AI-based solution development

Additional Experience:

* Created project specifications and Figma mockups as a Business Analyst for various projects.

Preferred Qualifications:

* Seeking opportunities in SaaS or mobile solutions development.
* Proficient in English and prefer to work with English-speaking clients."
12448,"---
Experience:

* 5 years as a Business Analyst, 2 years as a Project Manager
* Led a team during the development of an innovative project, delivering 96% of scheduled features on time over 2 years
* Designed successful interfaces for multiple projects, receiving positive customer feedback
* Relaunched a complicated billing system interface for over 100k users without causing frustration or inconvenience
* Developed mockups and requirements for a major petroleum company project in Ukraine

Responsibilities:

* Develop mockups and prototypes
* Create business-perspective specifications
* Build roadmaps and issues structure with Epics, User Stories
* Manage requirement gathering, documentation, and analysis
* Create user guides and FAQs
* Manage project development life-cycle

Industry Experience:

* Online service
* E-commerce
* Manufacturing
* CRM/ERP
* Education
* Automotive

Skills:

* Collecting requirements
* Building interactive mockups
* Writing specifications
* Analyzing market and competitors

Preferred Environment:

* Informal setting where all voices are heard

Availability:

* Open to part-time or one-time projects."
12449," * Managed multiple concurrent projects using Agile methodologies
* Oversaw full life cycle delivery, ensuring on time and on budget completion
* Led and managed teams, resolving conflicts and fostering collaboration
* Gathered and analyzed requirements, establishing elicitation, approval, and change processes
* Established software delivery processes, promoting team collaboration between Dev, QA, and BA teams
* Produced comprehensive project documentation, including Vision and Scope Definition and Software Requirement Specifications
* Monitored requirements implementation and solution acceptance, ensuring alignment with project goals
* Created workflow diagrams, charts, and presentations to communicate project status and progress
* Utilized Figma to write user stories and customer journey maps
* Proficient in Jira, Balsamiq Mockups, BPMN, and Use Cases for project management and design

Seeking a role where I can leverage my expertise in Agile project management, requirement gathering and analysis, and team leadership to drive successful project delivery."
12450,"Analyst with 7+ years of IT Industry Experience

* Implementation Consultant, Business Analyst, and Project Manager roles
* Proficient in CRM, ERP, and HR core system development and implementation
* Automated recruitment process and integrated core banking systems

Full Life Cycle Project Experience:

* Collaborated on various projects from initiation to completion
* Negotiated with all stakeholders to ensure project success

Core Competencies:

* Demonstrated time management and organizational skills
* Strong communication and negotiation abilities."
12451," Associate Business Analyst / Project Manager (06.2021 - Present)

* Managed various projects including migration, applications upgrade, and disaster recovery tests in different phases.
* Tracked task performance, creating high-level and detailed project plans.
* Facilitated effective communication with stakeholders through update emails, meeting notes, and notifications, including top management.
* Facilitated and scheduled meetings.
* Performed collection, analysis, and documentation of project requirements, dependencies, and risks.
* Generated various reports and charts, such as updates on vulnerabilities, infrastructure project status, and test results.

Junior Software Engineer (11.2020 - 06.2021)

* Facilitated communication with international clients, ensuring clear and timely exchange of information.
* Collected and documented software requirements, validating them with stakeholders.
* Resolved tickets related to relationship databases and CRM systems, applying problem-solving skills and technical knowledge.
* Reviewed, verified, and assigned tickets to resolver groups, ensuring proper workload distribution and prioritization.
* Tested CRM system updates, providing feedback and identifying potential issues."
12452," Here is your improved resume:

* Gathered and discussed project requirements with clients.
* Planned and managed projects from inception to completion.
* Drafted various documents including commercial proposals, functional specifications, technical requirements, and business process descriptions.
* Assigned and distributed tasks to team members, ensuring alignment with project objectives.
* Monitored and ensured timely implementation of tasks, taking corrective action as needed.
* Coordinated efforts and workflow among team members, fostering a collaborative and productive work environment.
* Led scrum meetings and facilitated regular communication with clients, promoting transparency and trust.
* Managed multiple projects simultaneously while meeting deadlines, prioritizing tasks and resources effectively.
* Demonstrated professionalism and composure in facing complex challenges, contributing to a relaxed work environment.
* Experienced professional growth under supportive management, developing skills and expertise in project management and team leadership."
12453," Project Management & Business Analysis Professional

• Consistently delivered projects on time and to a high standard, meeting deadlines and budget constraints.
• Proven track record of customer satisfaction, including timely releases and support for clients such as Oshadbank and Totis.
• Developed processes for the arbitration team, resulting in a monthly profit of $90-160 thousand.
• Successfully completed urgent development of landing and promotional materials for the Financial Storm 3.0 contest with a budget of 3,000,000 UAH in just two weeks.
• Generated 412 applications and calls in 22 business days for the Zhansaya sanatorium website in Kazakhstan, resulting in a 4% conversion rate and implementation of a CRM system.
• Current business analyst in a fintech company (crypto) for 9 months, responsible for analysis and requirements gathering, liaising between IT department, designers, and stakeholders, and writing and actualizing technical specifications.
• Over 7 years of experience as a PM and BA in traffic arbitrage and website development, managing projects from start to finish and supporting current projects in various business spheres, including fintech, health and beauty, gambling, goods, tourism, manufacture, consulting, etc.
• Strong skills in UX/UI understanding, gathering requirements, communication with stakeholders, pre-design studies, UX prototyping, creating specifications and project documentation.
• Proficient in Agile philosophy, Scrum, and have implemented elements of Kanban and Scrum in the working process.
• Able to manage multiple projects simultaneously, organize work processes, team, make decisions, and take responsibility for them.
• Flexible in communication and client-oriented.
• Experienced with JIRA, Confluence, Trello, YouTrack, Monday, Bitrix, Redmine, Balsamik, Moqups, Draw.io, Figma, etc.
• Seeking a BA role or a position at the intersection of PM/BA. Highly motivated to work with interesting and useful products for users and grow expertise."
12454,"---

**[Your Name]**

Contact Information:
(Include your email address, phone number, and LinkedIn profile, if applicable)

Summary:
Analytical professional with experience in project management, commercial intelligence, and analysis. Skilled in managing large amounts of information, finding approaches to people, and controlling task implementation. Seeks opportunities to learn and develop language skills. Fluent in English and Ukrainian.

Employment History:

**Project Manager, ArtHome, Dnipro/Ukraine, June 2019 - January 2"
12455,"Experienced Professional in FinTech and Transport & Logistics

Experience
---------

### FinTech - 3+ years of experience

#### Lead Account Project Manager

* **1.5 years**
* **0.5 year**

* Managed onboarding (integration) of new clients to the platform, including defining a launch plan, conducting demos, and consulting on API dock
* Analyzed customer needs and consulted on the sales stage
* Oversaw management of client task backlog (analysis, description, timing, control of implementation, testing, delivery)
* Conducted analysis of API documentation, compared with client needs, and tested some requests on Postman
* Identified customer feature requests and created tasks for the dev team (identified business and technical requirements)
* Managed task management using Jira
* Described processes using BPMN and Confluence

#### Account Project Manager

* **Oct 2019 - 2 years**

* Managed onboarding (integration) of new clients to the platform, including defining a launch plan, conducting demos, and consulting on API dock
* Analyzed customer needs and consulted on the sales stage
* Oversaw management of client task backlog (analysis, description, timing, control of implementation, testing, delivery)
* Conducted analysis of API documentation, compared with client needs, and tested some requests on Postman
* Identified customer feature requests and created tasks for the dev team (identified business and technical requirements)
* Managed task management using Jira
* Described processes using BPMN and Confluence

### Transport & Logistics - 2+ years of experience

#### Project Manager

* **Jun 2017 - October 2019**
* UVK Ukraine

Accomplishments:

* Increased profitability from the turnover of containers (on average from 0 to 40%)
* Automated accounting
* Reduced losses

Responsibilities:

* Introduced clients to the course on the service provided, conducted reconciliations on containers with customers (about 40 clients)
* Conducted reconciliations with regional offices (in 23 regions)
* Wrote technical specifications for developers, monitored the timing of their implementation, and tested
* Prepared regulatory documents (work instructions)
* Met KPI indicators.

Note: No sales positions held."
12456," **Experience:**

* Successfully implemented a CRM and ERP system for a logistics company, leading existing projects and initiating one new project, resulting in increased sales.
* Resolved internal issues through IT solutions, improving overall company operations.
* Collaborated with business stakeholders to gather and understand technical problems, identifying and making key decisions regarding product features.
* Oversaw project teams, controlled project risks, and managed time and scope, ensuring transparency and clear communication throughout.

**Skills:**

* Proficient in data analysis, evaluation, and planning.
* Experienced in budget planning and analysis.
* Skilled in creating user stories and communicating backlog priorities to the team.
* Demonstrated ability in collaborating with stakeholders to identify and implement solutions.
* Proven experience in making key decisions regarding product features.
* Strong reporting skills, with a history of submitting reports to department heads and management.
* Experienced in overseeing project teams, controlling project risks, and managing time and scope.

**Values:**

* Committed to transparency in project management, budgeting, and potential issues.
* Prioritizes clear communication of project progress, challenges, and changes.
* Encourages clear tasks, ethical behavior, and a commitment to delivering value.

**Interest:**

* Open to working on projects for NGOs."
12457,"— Demonstrated 10-year expertise in business analysis, known for creating solutions of diverse scales, complexities, and purposes.

— Commenced career as a QA engineer, acquiring thorough comprehension of the Software Development Life Cycle (SDLC). Proficient in swiftly recognizing client needs and market demands, and suggesting optimal solutions along with architecture drivers.

— Proficient in performing dual roles of Business Analyst and Project Manager, handling responsibilities such as product concept development, architecture planning with technical experts, user training, and system deployment.

— Acted as an Engagement Manager, preparing initial proposals and conducting comprehensive scope analyses, exhibiting versatility and adaptability.

— Utilizes valuable insights from past failures, such as starting a business, to design processes and comprehend sales procedures.

— Eager to tackle new challenges and contribute to client success."
12458,"- Gathered requirements from stakeholders.
- Wrote and determined forward-facing user stories and use cases.
- Created roadmap, user flow for SaaS platform, and described permission structure from scratch.
- Collaborated closely with the designer to improve UX.
- Managed Product and Sprint Backlogs, conducting daily, grooming, and retrospective meetings.
- Decomposed user stories into prioritized tasks.
- Specified data delivery from the data science department to the backend.
- Supported product documentation."
12459," Alex
Project Manager at Marrix Power

• Managed 16 projects, leading 3-5 team members for each
• Maintained continuous communication with all clients
• Ellicited and documented comprehensive project requirements
• Oversaw project development from initial idea through implementation
• Analyzed gathered requirements and transformed them into feasible projects
• Conducted in-depth project planning and development, including coordinating resources and timelines."
12460," Sales Manager, Project Manager, Business Analyst

* Managed clients and teams for 4 years, fostering engagement and nurturing relationships
* Utilized MockingBot and Figma for interactive prototyping and wireframing
* Proficient in BPMN with draw.io and Camunda
* Experience in requirements elicitation and definition
* Prepared comprehensive user stories and use cases
* Developed and validated technical documentation to support upselling efforts

Eager to embrace new challenges and processes in a future role."
12461," Project Implementation Specialist

• Responsible for project implementation, ensuring customer requirements are met within agreed timelines and budget.
• Analyze client requirements by eliciting, elaborating, and documenting business and functional requirements in user stories, flow diagrams, and block diagrams using Visio and wireframes.
• Collaborate with developers, engineers, and QA to discuss solution architecture, estimation, and acceptance criteria, prototype solutions, and present to clients and team.
• Manage client requirements, including new requests and change requests, in Confluence, obtaining client approvals for scope and estimations.
• Plan sprint scope in Jira, prioritize tasks, participate in sprint planning and retrospective to ensure tasks are processed according to agreed priorities and timelines.
• Follow up and report progress.
• Create use cases/test scenarios, review test results with QA, test custom solutions prior to deployment.
• Present solutions to clients and assist with UAT to ensure customer satisfaction and acceptance."
12462,"Experienced System Analyst with a history of developing and proposing technical solutions that result in significant time savings. Proven ability to challenge top managers' proposed solutions with successful counterarguments and alternative approaches. Skilled in streamlining technical documentation processes to minimize manual work and bureaucracy.

* Developed and proposed technical solutions, resulting in up to 90% time savings compared to initial estimates.
* Challenged top managers' proposed solutions, providing successful counterarguments and alternative approaches.
* Streamlined technical documentation processes, minimizing manual work and bureaucracy.

Technical Skills:

* Proficient in writing BRD, SRS, API SPEC, and User Guides.
* Experienced in designing DB structures.
* Skilled in estimating backlog requests.
* Proficient in conducting demo meetings of completed work.
* Experienced in leading retro meetings.
* Skilled in API testing, manual testing, and automation testing.
* Proficient in writing Smoke Scope, Regression test cases, and test scenarios.
* Experienced in creating Release notes and Delivery Protocols.
* Skilled in handling team lead responsibilities in the absence of the team lead.

Experience:

* System Analyst on an application that serves as a template for app creation, server management, and front-end libraries.

Responsibilities:

* Writing BRD, SRS, API SPEC, and User Guides.
* Designing DB structures.
* Estimating Backlog Requests.
* Conducting Demo meetings of completed work.
* Leading Retro meetings.
* API testing, manual testing, and automation testing.
* Writing Smoke Scope, Regression test cases, and test scenarios.
* Creating Release notes and Delivery Protocols.
* Handling team lead responsibilities in the absence of the team lead."
12463," LPNU:

* Bachelor of Arts degree
* Course projects:
	+ Defined problems and provided analysis, suggesting solutions with prototyping, persona development, and use case diagrams
	+ Analyzed ""as-is"" state of a company and worked out ""to-be"" state
"
12464,"**Experience**

**Efficiency Manager** *[Company Name], [City, State]*
1.5 years

* Re-engineered business processes, using scope and business rules to improve efficiency
* Designed and implemented a new ERP system functionality
* Developed a routing system for Sales Departments
* Prepared technical tasks for the development team
* Taught employees during the change integration process

**Business Owner** *[Company Name], [City, State]*
5 years

* Sold products on the USA market, with production in China
* Managed day-to-day operations of an online shop, including customer support, procurement, promotions, and logistics
* Negotiated with suppliers and contractors
* Adapted to a constantly changing market environment

**Project Manager/Business Analyst** *[Company Name], [City, State]*
1 year

* Managed the lifecycle processes of multiple projects
* Gathered and analyzed requirements through various methods
* Coordinated the development process according to methodologies, acting as Scrum Master
* Monitored progress, risks, and changes using various instruments
* Transformed stakeholder requirements into technical documents
* Facilitated communication between multiple stakeholders
* Established technical standards for development processes

**Additional Experience**

* Contributed to the creation of software, business model, and procedures for a new type of delivery service
* Started a business of selling products in the US."
12465,"Proven Business Analyst/Project Manager

• Over 6 years of commercial experience in various domains including IT outsourcing, retail, healthcare, and sales and marketing
• Demonstrated expertise in project management with 2 years of experience in delivering projects on time and within budget
• Strong technical background with 5 years of experience in ERP/CRM systems
• Highly motivated, disciplined professional with exceptional communication and organizational skills
• Committed to achieving company goals and delivering results

• 2+ years of experience in IT outsourcing
• 2 years of experience in project management
• 5 years of experience in ERP/CRM systems
• 6 years of experience in retail
• 2 years of experience in healthcare
• 2 years of experience in sales and marketing."
12466,"Sure, here is your updated resume:

Skills:

* Strong analytical skills, with expertise in analyzing complex problems
* Project management, including experience developing ToRs and technical requirements
* Statistics and data analysis, with proficiency in data verification, compilation, and interpretation of trends and patterns
* Business processes optimization and business modeling
* Excellent communication and presentation skills
* Proficient in team collaboration and managing multiple engagements
* Negotiation and conflict resolution
* Learning and teaching
* Proficient in PC use, advanced in Excel and PowerPoint
* Fluent in English and Russian; basic German

Experience:

* Developed ToRs and technical requirements
* Implemented data processing solutions
* Verified and compiled data
* Developed specifications for construction and equipment
* Conducted researches and analytics, creating analytical reports
* Performed functional and effectiveness analysis
* Identified, analyzed, and interpreted trends and patterns in data
* Designed and optimized business processes
* Analyzed best practices and international experience of central purchasing bodies
* Developed proposals on the strategy of the CPB in Ukraine
* Analyzed public procurement procedures in Ukraine using QlikView & QlikSense BI tools
* Monitored e-procurement system, ProZorro (product of IT company) for compliance, reporting, researches, and investigations
* Developed terms of references and technical tasks for e-procurement system according to Open Contracting Data Standard
* Gathered and processed catalogues and information
* Communicated with BI users, procurers, suppliers, controllers, and other clients
* Participated in public events, conferences, and lectures as a speaker, BI expert, and participant
* Supported the development of e-procurement risk indicators system
* Conducted reporting and trend analysis of public procurement procedures for government institutions."
12467," SRS (Use Cases, UML)
Backlog (User Stories, Acceptance Criteria)
UX
Agile Certified Professional (IC Agile), Scrum

Technical (Basic Level): MySQL, HTML, CSS

Previous experience as a Marketing Analyst and Marketing Coordinator in FMCG, with a client-oriented approach and understanding of business needs.

Currently acting as both a Business Analyst and partially fulfilling Project Manager responsibilities, including involvement in pre-sales process and delivery.

Seeking a company with interesting projects and a fast-changing environment."
12468," Business Analyst & Project Manager
Three years of experience in healthcare domain

• Proficient in Business Intelligence tools, with a quick understanding of technical project details
• Successfully drove projects towards goal attainment, providing team support throughout execution stages
• Fostered positive and productive team environments, facilitating effective conflict resolution

Training Experience:
• Expert in developing and delivering soft skills training, creating a safe and energized learning atmosphere 

(Revised resume maintains original content, enhancing readability and clarity. No additional facts or unverified information have been added.)"
12469,"Translating and proofreading English to [your language] and vice versa for prominent healthcare and pharmacy clients including:
- Novo Nordisk
- Bayer
- Parexel
- EURORDIS

Experience in teaching English to students via Zoom platform, utilizing various online resources and Google tools. Provided individualized educational plans, assessment, and evaluation."
12470,"Experience:

* Experienced in startups and product development, with a track record of:
	+ Validating product ideas
	+ Conducting user research
	+ Setting product strategy
* Proven ability in managing design teams for product development

Skills:

* Expertise in multi-platform product development
* Committed to enhancing business analysis skills

Career Goal:

* Seeking a challenging role in a company that values product innovation, growth, and honesty."
12471,"Experienced Business Analyst / Project Manager

• Led teams of up to 15 members, resulting in 9 new internet projects and over 22 project improvements
• Developed processes according to clients' pipelines, organized work to prevent overtime, and resolved budget and deadline controversies
• Cultivated a positive and productive team environment
• Proficient in customer service, strategic planning, user experience, user interface, SEO, event management, and public speaking
• Over 7 years of experience in various companies, from start-ups to large corporations with 8000 employees
• Worked in education, educational tourism, medical tourism, sailing, tourism, showbiz, e-commerce, and fintech
• Simultaneously managed multiple projects, negotiated, handled business correspondence, and created commercial offers
• Drafted user stories, liaised with clients, developers, designers, copywriters, advertising specialists, and accepted and tested tasks
• Conducted usability tests, collaborated with development teams, and established work processes
• Skilled in Agile, SCRUM, Kanban, Jira, Confluence, Asana, CRM, ERP, BPMN, SEO, Email Marketing, VCC, Google Analytics, Hotjar, Power BI, Quality Assurance Guide, Adobe Photoshop, Adobe Illustrator, Adobe InDesign, CMS WordPress and Drupal; familiar with HTML and CSS
• Goal-oriented, efficient, open-minded professional and team player, proficient in project development methodologies
• Seeking full-time or part-time employment, with experience in both in-office and remote work
• Open to great opportunities."
12472,"Here is your new resume:

—

PROFESSIONAL EXPERIENCE

Founder & Manager, Web Studio
9 years

* Led and managed a web-studio, combining roles of sales manager and developer
* Oversaw a team of 5 to 2 employees, providing project management and business analysis

SKILLS

* Project Management
* Business Analysis
* Sales Management
* Web Development

Experience (9 years) in founding and managing a web-studio, with expertise in project management and business analysis. Successfully combined and performed sales manager and developer roles. Strong leadership, overseeing a team of 5 to 2 employees. Proficient in web development."
12473," Business Analyst and Project Manager

• Over 6 years of experience in project management and business analysis
• Managed and participated in 50+ projects, leading teams of 2-7 people with budgets up to $250,000
• Proficient in Scrum, Kanban, and Waterfall methodologies; experienced Product Owner in IT-startup

Hard Skills:
• Scrum, Kanban, Waterfall, Lean, BPMN, MS Visio, Jira, Asana, Trello, Zoom, MS Teams, Google Meet, Google Docs, Excel, SQL, Java (basic level)

Soft Skills:
• Leadership, goal-oriented, proactive, project management, people management, analytical thinking, business systematization, ability to think ""outside the box""

Languages:
• English - B1 (Upper-Intermediate)

Seeking an opportunity to utilize skills and experience in a values-aligned company."
12474,"November 2019 - February 2020: Software Testing Instructor, Quality Assurance Group

* Taught ""Software Testing"" courses, covering topics such as Quality Assurance basics and Business Analysis basics.

September 2019 - February 2020: Business Analyst, QArtrock

* Corporate Website:
	+ Project definition and requirements elicitation
	+ Concept creation and system modeling
	+ Requirements analysis and documentation
* Store Website:
	+ Project definition and requirements elicitation
	+ Concept creation and system modeling
	+ Requirements analysis and documentation

May 2019 – August 2019: QA Trainee, Quality Assurance Group

* Pharmacy Management System:
	+ Requirements analysis
	+ Test Design and writing Test Cases
	+ Bug reporting
* Online Education Platform:
	+ Performance Testing in JMeter
	+ Database Testing in MySQL
	+ API Testing in Postman
* Construction Online Store:
	+ Requirements analysis
	+ Test Plan writing
	+ Test Design, writing and executing Test Cases
	+ Bug reporting and writing a Test Summary Report

October 2011 - April 2019: Scientific Consultant

* Provided diagnostic, improvement, and analytical support for the development and implementation of scientific projects, including:
	+ Implementation of innovative technologies in educational systems
	+ Psychological maintenance of innovative activity."
12475,"--

**[Your Name]**

*Email: [your.email@example.com](mailto:your.email@example.com)*

**Summary:**

Motivated professional seeking a job where I can contribute my skills and experience, and become a valuable team member. I have a proven track record in managing and implementing turnkey projects, building and organizing teams, and organizing the workflow of remote teams. I am adept at handling complex assignments, and confidently work both independently and as part of a team.

**Experience:**

1. BA, IWIS LLC | October 2020 – January 2021
2. Project Manager, LLC «Politara» | March 2019 - December 2019
3. Lead Analyst, ITek | 2016-2018
4. Implementation Specialist (Accounting Systems, Production, and Trading Processes); System Administrator, LLC «Sky» | 2013-2015
5. EDMS Analyst, SC «Zovnishtorhvydav» | 2012-2013
6. System Administrator, PrJSC«UkrSRINDT» | 2011-2012
7. System Administrator, LLC «PIPING INTEGRATION COMPANY» | 2010-2011

**Professional Skills:**

* Project Management:
	+ Successfully managed and implemented turnkey projects
	+ Built and organized teams (5-7 people)
	+ Handled technical tasks and client communication
	+ Managed conflicts
* ERP Implementation
* Technical Writing:
	+ Drafted technical documentation
	+ Wrote user manuals
* System Administration:
	+ Administered computer systems based on MS Server 2008, 2012 and Unix systems
	+ Administered MS SQL databases
	+ Administered virtual systems based on VM Ware and VirtualBox
* 1C 7.7, 8.2, 8.3 configurations:
	+ Knowledge of UPP, UTP, UNF, retail, and production configurations
	+ Trained users and provided technical support

**Education:**

Taras Shevchenko National University of Kyiv
Specialist, 2006-2011
Department of Theoretical and Applied Mechanics

Institute of Postgraduate Education
Master, 2014-2017
Common law

**Certificates:**

MindsetPM

* Big IT Project Management Program, July 2019, certificate number PM-EDU-20190728-03
* Manipulations Practice and Defence, August 2019, certificate number PM-EDU-20190804-07

I am eager to bring my skills and experience to a new challenge and contribute to a strong team. I am willing to adapt my project management approach to meet business needs, and am committed to delivering excellent results."
12476," ---

**Seasoned ICT Professional Specializing in Data**

Over 8 years of experience in the ICT sector, with expertise in Business Analysis, Project Management, and Business Intelligence. Demonstrated success in managing data-centric projects, enhancing decision-making processes through data analysis and visualization. Seeking remote opportunities in healthcare, energy, manufacturing, marketing, fintech, and retail.

**Skills:**

* Business analysis
* Project management
* Business intelligence
* Data analysis (Python, SQL)
* Machine learning, preprocessing methods
* R language, deep learning algorithms, NLP (self-studied)

**Experience:**

* Business Analyst, Sumaks Technologies
	+ Analyzed business needs, identifying improvement opportunities
* Project Manager, Business Insights International Research Group
	+ Led team evaluating individual and branch KPIs of insurance company workers
	+ Collaborated with stakeholders to define needs and requirements
	+ Managed data collection, entry, and preprocessing teams
	+ Extracted insights and reported back to insurance company
* Business Intelligence Manager, Helind company
	+ Utilized business intelligence expertise to enhance company decision-making process"
12477," Specifications
- Feature Breakdown Structure
- Roadmap
- User Stories
- Change Requests Log
- Risk Matrix
- Sprint Release

Technical Skills:
- Android (familiarity with guidelines)
- iOS guidelines
- UI best practices
- Scrum
- Kanban
- Waterfall
- LEAN
- RAD (experience with all methodologies)
- Rest API (experience with)
- Postman (experience with)
- Relational DB (basic CRUD operations)
- SQL (Microsoft SQL Server Management Studio)
- Excel (pivot tables, basic statistical calculations)
- QlikView (basic understanding)
- QlikSense (basic understanding)
- Axure (prototyping experience)
- NinjaMock (prototyping experience)
- Asana
- Redmine
- Bitrix24
- Trello
- Jira (experience with all)
- Google Analytics (basic understanding)
- Kibana (familiarity)
- Python (beginner level)
- Magento
- Wordpress
- OpenCart
- BPMonline
- WayForPay (payment gateway experience)
- Bitcoin (payment gateway experience)

Product Management:
- MVP (experience with)

User Research:
- Brainstorming
- Focus Groups
- User Interview (experience with all)

Soft Skills:
- Teamwork facilitating
- Conflict settlement
- Problem solving
- Public Speaking
- B2B negotiations
- Presentation skills

Emerging Technologies:
- Big Data (beginner level)
- AI (beginner level)
- AR/VR (beginner level)
- Games (beginner level)

Professional Experience:
- Interesting and complicated product experience
- High workload
- New technologies experience

Company Culture:
- People-oriented company
- Progressive perspective
- Welcomes initiative
- Energy appreciated

Compensation:
- Salary review every 12 months
- Minimum salary $2200/month."
12478," Experience:

* Delivered Samsung mobile firmware to factories, ensuring timely and accurate results.
* Implemented internal processes and workflow for the entire company, covering development to sales management.
* Proficient in preliminary UX and prototyping, with a strong understanding of wireframes, requirements, and use cases.

Skills:

* Agile, Scrum, Kanban, Project Management, Project Planning, Budget Planning
* Jira, Trello, Axure, MS Project

Seeking challenging projects in international or enterprise settings. Startups are welcome. I am not interested in e-commerce projects using Drupal, Magento, etc."
12479," Experiences:

* Analyzed and described business processes, identifying areas for improvement and optimization
* Elicited customers' needs and requirements, transforming them into actionable items for software development
* Developed technical documentation including user stories, use cases, and software requirement specifications, ensuring clarity and completeness
* Managed requirements throughout the software development life cycle, maintaining traceability and consistency
* Led teams, providing guidance, instruction, and mentoring, and established processes to streamline workflows
* Coordinated and managed projects and teams, delivering high-quality software on time and within budget
* Improved processes, increasing efficiency and productivity, and promoting continuous improvement culture

Skills:

* Business process analysis and description
* Customer needs and requirements elicitation and analysis
* Technical documentation creation and management
* Requirements management and traceability
* Team leadership, mentoring, and collaboration
* Project and team management, including resource allocation and risk management
* Process improvement, coordination, and documentation."
12480,"Here is a revised version of your resume:

Customer Success Project Manager & Business Analyst
Revenue Grid
2023-Present

* Conduct elicitation and complete project documentation
* Collaborate with solutions architect to write proposals, solutions overviews, and value propositions
* Utilize BPMN to build, test, and structure processes for Partner Success Management team
* Audit company’s Business Processes
* Work on establishment of OKR/KPI base, smart setting and real-time management across the org (Excel with Team screens and Dashboards)

Revenue Operations Analyst (PMBA)
OpenText Corporation, Waterloo, Canada
2"
