,Modified_gpt-4o_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelgpt-4o
98273,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

---

**Objective**  
Motivated and detail-oriented UX designer with a robust foundation in user-centered design principles and hands-on experience in digital design. Eager to contribute skills within a dynamic team environment.

**Education**  
Hillel IT School  
Course in UX Design Completed  

**Experience**  

*Freelance UX Designer*  
[Month, Year] – Present  
- Designed engaging banners for Instagram, Twitter, and Facebook.  
- Assisted in app and website planning, applying user-centered design principles.  
- Created a blog using Webflow to boost content accessibility and user engagement.  
- Developed landing pages and promotional banners focusing on visual communication and user experience.

**Skills**  
- User-Centered Design  
- Design Process  
- Accessibility Principles  
- Equity-Focused Design  
- Proficient in Webflow  
- Social Media Design  
- Strong Communication Skills  

**Projects**  
- Participated in design sprints to create innovative solutions and foster collaboration.  
- Committed to continuous learning to stay abreast of UX design trends and best practices.  

**References**  
Available upon request."
98274,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile or Portfolio URL]  

---

**Objective**  
Passionate Junior UI/UX Designer dedicated to crafting effective and visually appealing designs that enhance user experience. Specializing in full-cycle design services for landing pages, e-commerce, website redesign, and web services.

---

**Education**  
**UI-UX Design Course**  
[Institution Name]  
[Month, Year] - [Month, Year]  
Completed an intensive 6-month program focused on core UI/UX design principles and methodologies.

---

**Project Experience**  

**""Wish"" - Gift Delivery Mobile App**  
- Developed a user-friendly app for flower and gift delivery services, enabling seamless selection and scheduling of deliveries.  
- Conducted comprehensive competitive analysis, developed UX personas, crafted user flows, wireframes, and designed the UI.

**“Fitroom” - Fitness Studio Website Redesign**  
- Executed competitor analysis and determined stylistic direction using reference materials.  
- Created interactive prototypes, optimized interfaces for mobile and tablet, and established a comprehensive UI kit.  
- Designed a modern user interface focused on enhancing sales and user engagement.

**“VDOMA” - Ukrainian Couch-Surfing Web Service**  
- Engineered a web service to promote affordable tourism stays in Ukraine.  
- Performed competitive analysis, developed UX personas and empathy maps, created sitemaps, MVP, and user flow diagrams.  
- Designed adaptable solutions for tablet and mobile, and conducted A/B testing to refine and enhance design efficacy.

---

**Additional Experience**  
- Crafted UI solutions for a cleaning company's service accounting table.  
- Designed an intuitive website sidebar interface.  
- Developed a team page utilizing AutoLayout for optimal paddings.  
- Created a user-friendly page for an online learning platform.  
- Developed a dashboard for an ed-tech product targeting school students.  
- Designed a dynamic start screen using animations for a desktop site.  
- Created a modal window for secure confirmation of money transfers.  
- Built an administrative dashboard for managing user rights efficiently.

---

**Skills**  
- UI/UX Design  
- Prototyping  
- Wireframing  
- User Research  
- A/B Testing  
- Responsive Design  
- Design Tools: [List relevant design tools you are proficient in, e.g., Figma, Adobe XD, Sketch]  

---

I am eager to contribute my design expertise, creativity, and passion to your team, delivering designs that drive business growth. Thank you for considering my application."
98275,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

---

**ABOUT ME**  
I am a passionate and innovative Junior UX/UI Designer dedicated to crafting exceptional user experiences. With a strong foundation in design principles, I consistently seek to improve digital interactions through creativity and attention to detail. I stay updated with industry trends and emerging technologies to continually enhance my design skills. I am excited to contribute my expertise and collaborate on challenging UX/UI design projects.

---

**PROJECT EXPERIENCE**  

**Petsearch**  
*Designer*  
- Developed a user-friendly web service for locating lost and found animals, enhancing interaction and facilitating quick connections.  
- Focused on helping pet owners reunite with their pets and enabling individuals to return found animals efficiently.  
- Integrated key functionalities to optimize user experience.

**A Kids Place Childcare**  
*Designer*  
- Redesigned a kindergarten website, conducting a comprehensive analysis of the existing design and competitor research.  
- Worked on three pages to identify strengths and weaknesses, aligning visuals with user expectations.  
- Created a detailed UI kit documenting all utilized design elements.

**FlowerLover**  
*Designer*  
- Designed an engaging landing page for a flower shop, including various elements like buttons and inputs.  
- Performed extensive research, including competitor analysis and moodboard development, to establish a natural aesthetic through structure and color palette.

---

I am eager to participate in engaging projects where I can leverage my skills and gain valuable experience. I am committed to delivering high-quality and impactful design solutions."
98276,"Self-education in UI/UX design through online courses, literature, and learning about cutting-edge design technologies. Developed portfolio by adding new projects and continuously improving the quality of work.

**About Me**  
I am a Junior UI/UX Designer with a strong desire to grow and develop in this field. I have experience working on both team and individual design projects, and I possess a solid foundation in design principles, including color theory, typography, and overall design. I am seeking an opportunity to expand my experience in this area and am eager to learn and grow with a team to create the best user experience.

**Project Experience**

**Website Redesign | Tattoo Studio**  
December 2022 – January 2023  
Redesigned the tattoo studio website to create a more modern and user-friendly interface. Implemented clearer navigation elements and added new functionalities for ordering tattoos. Enhanced the quality of images showcasing tattoo artists' work and incorporated customer reviews.

**UI/UX Design | Service for Finding Lost Animals**  
February 2023 – March 2023  
Contributed to a study project for a web service focused on locating lost pets. Developed functionalities for creating and publishing ads for lost or found animals. Aimed at facilitating rapid information dissemination and communication between pet owners. Collaborated with experienced designers, receiving assignments and feedback. Advanced professional skills and acquired knowledge of new technologies and trends within UI/UX design by working on various projects and exploring new design concepts."
98277,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

---

**About Me**  
Creative and skilled UX/UI Designer with a passion for developing aesthetically pleasing products. Excels in designing websites, web services, mobile apps, logos, advertisements, and posters.

---

**Work Experience**  

**Korg Sound Library Cover Design**  
- Developed two illustrative covers for sound libraries.  
- Engaged in client discussions and analyzed reference photos for design inspiration.  
- Executed iterative design improvements, achieving client satisfaction.

**Sinevibes Logo (3D Animation)**  
- Crafted an animated 3D logo for video intros.  
- Managed the entire process, from modeling to shading, with client feedback at each stage.  
- Successfully rendered and delivered the final animation.

---

**Projects**  

**UrbanFest Landing Page Design**  
- Conceptualized and designed a landing page from scratch, starting with moodboards and wireframes.  
- Focused on creating a minimalistic design tailored to UrbanFest.

**CustomConcepts Tattoo Website Redesign**  
- Led the redesign of a tattoo-themed website for a modern look.  
- Conducted competitive analysis and devised prototypes.  
- Produced a website that is both functional and visually appealing.

**Web Service UX and UI Design**  
- Developed a user-focused web service for affordable accommodation discovery.  
- Executed comprehensive UX analysis, including user personas and customer journey mapping.  
- Structured information architecture and designed user flows, wireframes, and the final interface.

**Beatcraft Mobile App Design**  
- Designed a music app interface after thorough target audience analysis.  
- Created detailed wireframes and designed the complete user interface, incorporating features like two-factor authentication and in-app achievements.

---

**Objective**  
Aspiring to collaborate remotely with like-minded professionals. Quick to learn and eager to tackle challenges, constantly seeking to expand skill set."
98278,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  

---

**Summary**  
Dedicated UI/UX designer from Ukraine with expertise in crafting intuitive and aesthetically pleasing design projects. I prioritize understanding user needs as the foundation for design solutions. My passion for design, meticulous attention to detail, and eagerness to learn make me a valuable team member in creating exceptional products.

---

**Skills**  
- Proficient in Figma (auto layout, styles, components, design systems)  
- Expertise in creating user-centered designs aligned with business requirements  
- Competent in identifying and resolving UX challenges  

---

**Projects**  

**Lunushka Shop Mobile App**  
- Developed a mobile app for an online store, conducting competitor analysis and target audience research, including personas and their needs.  
- Created user flows, detailed wireframes, intuitive interfaces, and onboarding processes.  
- Designed animated prototypes for presentations and onboarding with Protopie.  

**Globetrot Web Service**  
- Designed a web platform for budget-friendly travel accommodations.  
- Conducted extensive research to pinpoint user challenges, proposing design solutions.  
- Developed detailed wireframes, UI elements, adaptive design, and animated prototypes.  

**Tattoo Studio Website Redesign**  
- Enhanced the website through comprehensive analysis and modern design implementation.  
- Developed an intuitive interface and informative pages to attract both customers and tattoo artists.  

**Flower Shop Delivery Landing Page**  
- Crafted a landing page for a flower shop with a unique delivery service.  
- Conducted user research and competitor analysis, developing user personas.  
- Created a moodboard and prototype emphasizing user-friendly navigation and interface customization for tablets and mobile devices.  

---

**Professional Development**  
- Participated in corporate training and development programs within the company.  
- Dedicated to career growth and nurturing a mutually respectful and friendly work environment.  
"
98279,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile or Portfolio Link]  

---

**PROFESSIONAL SUMMARY**  
Junior UI/UX Designer with substantial experience in completing design projects both independently and as part of a team. Proficient throughout the entire design cycle, covering analysis, ideation, prototyping, user interface design, and adaptation. Committed to crafting user-friendly interfaces that facilitate intuitive navigation. Eager to contribute to projects that align with client objectives while effectively addressing user needs.

---

**PROJECT EXPERIENCE**

**Website Redesign | MIMINO Restaurant & Hotel Complex**  
October 2022 – November 2022  
- Transformed the existing website to improve its visual appeal, modernity, and ease of use.  
- Analyzed the previous website to identify areas for improvement and proposed practical design solutions while sourcing design references.  
- Created a comprehensive prototype followed by the visual design and adaptation for the revamped website.

**UI/UX Design | NADIYA Pet Search Webservice**  
December 2022 – February 2023  
- Participated in a team project to develop a webservice for aiding pet owners in locating missing pets more efficiently.  
- Strengthened skills in communication, organization, delegation, and time management through collaborative teamwork.  
- Executed competitor analysis, created user personas, designed a sitemap, and developed high-fidelity prototypes alongside user interface designs to ensure a straightforward, functional, and visually engaging webservice.

---

**SKILLS**  
- UI/UX Design  
- Prototyping  
- User Interface Design  
- User Research  
- Communication  
- Time Management  
- Team Collaboration  

---

**REFERENCES**  
Available upon request."
98280,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  

---

**Professional Summary**  
Self-motivated and detail-oriented Junior UX/UI Designer with a passion for creating high-quality products that serve both users and businesses effectively. 

---

**Technical Skills**  
- Proficient in Figma, Adobe Photoshop, Adobe Illustrator, and Canva  
- Skilled in utilizing web services like SimilarWeb  
- Experienced with Design Systems, User Flows, and Customer Journey Mapping (CJM)  

---

**Project Accomplishments**  

**Barbershop - Landing Page Design**  
- Developed a landing page for a new barbershop in Ukraine to showcase services and attract potential customers.  
- Used Figma and Adobe Photoshop to create a visually appealing and service-oriented layout.  

**India Cafe - Website Redesign**  
- Led the redesign of India Cafe's website to increase visitor engagement and effectively communicate the cafe's benefits.  
- Executed competitor analysis and user interviews to drive redesign decisions, resulting in a more engaging and user-friendly website.  

**Look for - Web Service Development**  
- Conducted target audience analysis and crafted a user-friendly interface for a platform aiding users in finding accommodation tailored to their needs.  
- Orchestrated the design and launch of the project in three phases: user-end interface, payment interface, and admin-side interface, utilizing Figma, Canva, and Adobe Illustrator.  

---

Motivated to collaborate with a dynamic team to design and build high-quality web products, and eager to embrace new challenges in the web design process."
98281,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile or Portfolio URL]  

**PROFESSIONAL SUMMARY**  
Motivated UI/UX designer with a robust background in graphic design, driven by a passion for crafting intuitive and user-centric digital experiences. Proven track record in spearheading creative projects and collaborating effectively with teams to deliver exceptional design outcomes. Dedicated to continuous learning and advancement in the IT field.

**PROFESSIONAL EXPERIENCE**  

**Chief Designer (Head of Department)**  
[Company Name]  
[Location]  
[Month, Year] – Present  
- Led the organization and preparation of the company's creative projects, ensuring adherence to corporate style guidelines.  
- Developed concepts and designs, overseeing execution and workflow within the department.  
- Notable projects:  
  - Company website redesign  
  - Popcorn machine interface design  
  - Landing design for KinoboardPRO  
  - Design project for a city café, including conference hall interior design  

**Graphic Designer**  
[Previous Company Name]  
[Location]  
[Month, Year] – [Month, Year]  
- Garnered 8 years of experience in graphic design, enhancing visual communication through diverse projects.  

**EDUCATION**  
UI/UX Design Course  
[Institution Name]  
[Month, Year] – [Month, Year]  
- Completed the following projects:  
  - Adaptive website redesign  
  - Adaptive design for a cleaning company web service  
  - Mobile app development for restaurant table bookings  
  - Various web design tasks as part of the curriculum  

**PROJECT EXPERIENCE**  

**Redesign of the Website for MAINSAIL, Realty Company**  
- Revamped design, organized content into logical sections, and created a streamlined navigation with user-friendly forms and elements.  
- Conducted competitor research and analysis, developed wireframes and UI kits, and adapted designs for various devices while maintaining brand color scheme.  

**Interface Redesign for Popcorn Machine, Kinoprokat-Sumy**  
- Redesigned interface to align with company brand, adjusting background, button colors, fonts, and icon designs while maintaining button dimensions and layout.  
- Introduced animations to enhance user interaction experience.  

**ABOUT ME**  
I am searching for a dependable and professional company that provides avenues for career and financial advancement. I prefer flexibility in work scheduling for work-life balance and am receptive to remote work opportunities. Excited to leverage my skills as a UI/UX Designer to contribute to your team's success.

**CONTACT**  
Feel free to contact me if you are in need of a dedicated UI/UX Designer to elevate your projects. I look forward to the opportunity to connect!"
98282,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile or Portfolio URL]  

---

**Professional Summary**  
Motivated junior UI-UX designer with a rich background in HR and a passion for design and innovation. Dedicated to creating visually appealing, user-friendly websites and applications. Committed to continuous learning and skill enhancement, eager to join a dynamic company and engage in collaborative projects.

---

**Project Experience**  

**Eventize - Mobile Application (2023)**  
Developed a comprehensive mobile application for users to discover and book venues or events, as well as orchestrate their own special occasions. The platform facilitates event creation and management, enabling users to choose items by category and organize key tasks efficiently.

**Guesture - Web Application (2022)**  
Contributed to the development of a web service aimed at providing individuals with opportunities to change environments by working or relaxing in new places. This platform operates on a model similar to couch-surfing, allowing users to become guests either by payment or by completing tasks assigned by hosts. It caters to students and young adults seeking budget-friendly travel experiences.

---

**Objective**  
Aspiring to secure a full-time or part-time role in an innovative and growth-oriented company. A fast learner with a sense of responsibility, prepared to undertake challenging tasks and add value to the team."
98283,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  
[LinkedIn Profile]  

---

**Professional Summary**  
Detail-oriented Junior UX/UI Designer focused on enhancing user experience through high-quality design. Adept at managing time effectively under pressure. Passionate about advancing in the UX/UI field and developing a unique design brand.

---

**Experience**  

**Team Leader, Shine Web Service**  
[Dates of Employment]  
- Led the team for ""Shine,"" a web service specializing in the cleaning industry.  
- Managed all organizational aspects of the project.  
- Played an active role in project development, fostering team motivation and collaboration.  

**Junior UX/UI Designer**  
[Dates of Employment]  
- Specialized in user experience, with a focus of 65% on UX and 35% on visual design.  
- Executed design projects prioritizing user engagement and quality standards.  

---

**Projects**  

**Landing Page: FlowerLover**  
- Designed a sleek one-page website for a flower delivery service.  
- Conducted analyses on competitors and target audience; crafted moodboards, wireframes, and prototypes.  
- Developed a corresponding UI kit, incorporated animations, and ensured adaptation across devices.  
- Documented the project's process and results in a Behance case study.  

**Website Redesign: A Kids Place Childcare**  
- Modernized kindergarten's website to boost client interaction.  
- Investigated the existing site for improvements and researched audience and competitors.  
- Produced moodboards, wireframes, prototypes, a UI kit, and animations, ensuring responsive design.  
- Completed and shared project findings in a Behance case study.  

---

**Skills**  
- UX/UI Design  
- User Research  
- Wireframing and Prototyping  
- Visual Design  
- Team Leadership  
- Time Management  

---

**Education**  
[Your Degree]  
[Your Institution]  
[Year of Graduation]  

---  

**References**  
Available upon request.  "
98284,"OBJECTIVE:  
Seeking a Junior UI/UX Designer position.

SKILLS:  
- Proficient in Adobe Photoshop, Adobe Illustrator, Adobe Experience Design, Axure, and InVision.

COURSES:  
Web Design (UX/UI)  
UX Energy IT School, Jun 2018 – Sep 2018  
- Learned to create site structures, interaction flows, page wireframes, and define interface requirements.  
- Developed expertise in visual styles for websites and applications, focusing on layout, color, typography, and iconography."
98285,"Dima  
Kyiv  

**Junior UI/UX Designer**  

As a junior UI/UX designer, I focus on developing applications with convenient, modern, and engaging interfaces. I am proficient in creating detailed wireframes and prototypes, utilizing Figma's components and autolayouts. My portfolio includes both landing pages and multi-page projects. I am highly detail-oriented, adhere to deadlines, and am committed to continual self-improvement through various completed courses. I am motivated to further advance my skills and knowledge in this field.  

**Education**  
Projector — Creative & Tech Online Institute  
Web Design Beginning  
2022  

Projector — Creative & Tech Online Institute  
Web Design Junior  
2022-2023"
98286,"Highly motivated and creative designer with a passion for delivering excellent user experiences and beautiful UI. Possessing a strong understanding of the design process and a background in marketing, I am eager to contribute my expertise as a UI/UX or graphic designer.

**Professional Experience**

**Marketing Manager/Designer**

- Designed marketing materials including brochures, leaflets, and stands using Figma, Adobe Photoshop, and Adobe Illustrator
- Created images for the website, social media posts, and campaigns
- Planned and created email newsletters
- Edited videos for social media
- Wrote content for the website, marketing materials, campaigns, and email newsletters"
98287,"Understanding of the interface design process and experience with them  
Ability to create prototypes for different types of products  
Ability to analyze conditions, test prototypes, and use data to improve design  
Understanding of user needs and knowledge of examples of good design  
Experience in creating simple and clear web browser layouts  
Experience in designing interactive UX applications  
Ability to work in a team and knowledge of the principles of collaboration  

**Alkima Web & Design**  
UI/UX Designer  
March 2023 - Present  
- Conduct user experience research  
- Create sitemaps, develop wireframes, and design user interfaces  
- Utilize Webflow builder for project development  
- Design banners for websites and creatives for social media platforms  
- Develop logos and conceptual design systems  

**Vinnytsia Distribution Company**  
Sales Manager  
January 2019 - February 2022  
- Collaborated in a team on projects to enhance technology usage  
- Developed interfaces for websites, mobile apps, and software  "
98288,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile or Personal Website]  

**Professional Summary**  
Driven freelance professional with strong expertise in gaming projects and cryptocurrency websites. Skilled in working collaboratively with project managers and web developers to ensure successful project delivery.

**Work Experience**  

**Freelance Developer**  
[Your Freelance Business Name]  
[Start Date] – Present  
- Spearheaded various freelance projects focused on small gaming initiatives in early development phases.  
- Developed and enhanced cryptocurrency exchanges and websites, optimizing user experiences and functionality.  
- Partnered with project managers to define and understand client requirements, delivering customized solutions.  
- Interfaced with web developers to ensure clarity on layout-related details, aligning with project objectives.  

**Skills**  
- Project Management in Freelance Settings  
- Web Development  
- In-depth Cryptocurrency Knowledge  
- Effective Client Communication  
- Development Team Collaboration  

**Education**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

**Certifications**  
[List any relevant certifications]  

**References**  
Available upon request."
98289,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile or Portfolio URL]  

**Professional Summary**  
Creative and detail-oriented designer skilled in delivering engaging digital experiences using Figma. Experienced in managing design projects from inception to completion while ensuring alignment with client objectives and brand identity.

**Experience**  

**Freelance Designer**  
[Your Location]  
[Month, Year] – Present  
- Crafted a landing page for a law firm with comprehensive client consultations, research on legal industry trends, mood board development, and design execution, encompassing font and color selection, brand identity refinement, and wireframing.  
- Designed adaptive interfaces for diverse devices including phones and tablets, enhancing user experience across all platforms.  
- Developed a website for a pastry shop with delivery services, integrating auto layouts in Figma and applying essential design principles.

**Skills**  
- Expertise in Figma  
- Wireframing and prototyping  
- Brand identity development  
- Responsive design techniques  
- Research and analytical skills  
- Mood board creation  
- Mastering auto layouts in Figma  

**Education**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

**Certifications**  
[Relevant Certification]  
[Issuing Organization]  
[Year]  "
98290,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  

Objective  
Dedicated and adaptable individual seeking a position in graphic design. Committed to learning and growth in a creative and fast-paced environment.

Skills  
- Expertise in Adobe Photoshop  
- Expertise in Adobe Illustrator  
- Expertise in Figma  
- Aptitude for quick learning and adapting to new challenges  
- Willingness to learn and master new software and tools in graphic design  

Education  
[Your Degree]  
[Your School]  
[City, State]  
[Year of Graduation]  

References  
Available upon request."
98291,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile or Portfolio Link]  

---

**PROFESSIONAL SUMMARY**  
Motivated UI/UX designer with a strong foundation in creating seamless user interfaces and experiences. Proven ability to execute test cases, generate bug reports, and utilize SQL for data verification. Eager to contribute to innovative projects that enhance user satisfaction and drive business success.

---

**SKILLS**  
- UI/UX Design  
- User Research  
- Competitive Analysis  
- Wireframing and Prototyping  
- SQL Database Management  
- Bug Reporting  
- Figma  
- Adobe Illustrator  
- Team Collaboration  

---

**PROJECT EXPERIENCE**  

**Redesign for Website “A Kids Place Childcare”**  
- Developed a website redesign for A Kids Place Childcare in North Olmsted, Ohio, focusing on creating a nurturing, fun, educational, and safe environment for children.  
- Established a well-structured, modern, and user-friendly design through comprehensive user research and competitive analysis.  
- Conducted wireframing and prototyping to visualize and refine the design solution.  
- Tools Used: Figma, Adobe Illustrator.  

**Web Service “Medical Clinic”**  
- Designed a web service for a private medical clinic to streamline doctor-patient meetings and online consultations.  
- Implemented speech recognition technology to enhance documentation efficiency and enabled patients to select doctors based on criteria and ratings.  
- Engaged in baseline study, brainstorming, Jobs-to-be-Done analysis, user flow creation, customer journey mapping, prototyping, and UI design adaptation.  
- Tools Used: Figma, Adobe Illustrator, Slack.  

---

**ADDITIONAL EXPERIENCE**  
- Created and executed test cases to ensure software quality and functionality.  
- Generated thorough bug reports to assist in the quick identification and resolution of issues.  
- Utilized SQL to manage databases and verify data accuracy.  

---

**OBJECTIVE**  
Seeking a flexible work schedule or full-time position in a company dedicated to enhancing productivity and user-friendliness in everyday and business operations. Fast learner, responsible, and ready to tackle challenging tasks."
98292,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile or Portfolio URL]  

**Objective**  
Dedicated UX/UI Designer with a strong foundation in creating user-centered designs. Passionate about enhancing user experiences through innovative design solutions.

**Education**  
Mentoring in UX/UI Design  
- Developed landing pages, sign-up, and log-in forms through hands-on practice.

**Experience**  
Design Studio, Kyiv  
UX/UI Designer  
- Played a key role in the mobile app project ""DayDrive.""  
- Worked collaboratively with team members to address UX challenges and improve overall user experiences.  
- Conducted comprehensive research to guide design decisions.  
- Developed wireframes and interactive prototypes to effectively communicate design concepts.

**Skills**  
- Advanced spoken English proficiency  
- Expertise in UX research methodologies  
- Strong wireframing and prototyping capabilities  
- Skilled in balancing usability with visual aesthetics  
- Empathetic approach to user-centered design

**Professional Goals**  
Aspire to grow professionally by applying my skills and knowledge in a dynamic environment focused on user experience enhancement."
98293,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  
[LinkedIn Profile]  

**Objective**  
Passionate and dedicated UI/UX Designer eager to contribute to a collaborative team, while growing professionally and engaging in challenging projects.

**Education**  
IT School Hillel  
UI/UX Design Advanced Level Course  
- Awarded First-Class Degree Diploma  
- Achieved 2nd Place in Student Rate  

**Professional Experience**  

**Freelance UI/UX Designer**  
Upwork (Top Rated)  
April 2020 - Present  
- Enhanced user experience by redesigning CRM systems.  
- Developed a components library for a site-builder service.  
- Designed mobile applications focused on user engagement.  
- Delivered CRM design solutions tailored to client needs.  

**Internship**  
September 2019 - March 2020  
- Acquired comprehensive UX knowledge in analysis, investigation, and prototyping.  
- Studied typography, grid compositions, animations, color systems, and responsive design.  
- Applied skills in diploma project, developing a CRM System for a sports complex.  

**Project Experience**  
July - August 2019  
- Developed a landing page for educational courses while in a non-design role.  
- Collaborated with developers on CRM and web design testing.  
- Decided to pursue a career in UI/UX Design.  

**Skills**  
- UI/UX Design  
- Prototyping  
- Typography  
- Responsive Design  
- Developer Collaboration  
- CRM Design  

**Professional Development**  
- Engaged in continuous learning through online design courses to enhance skills and remain updated with industry trends.  

**References**  
Available upon request."
98294,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

---

**PROFESSIONAL SUMMARY**  
Innovative and detail-oriented UI/UX designer with expertise in crafting user-centered designs for applications and landing pages. Skilled in competitor analysis, developing information architecture, and producing compelling wireframes and visual designs.

---

**EXPERIENCE**  

**UI/UX Designer**  
**App Project**  
*April 2023 - May 2023*  
- Spearheaded the development of a food delivery application, prioritizing user experience through the creation of personas, customer journey maps, empathy maps, and comprehensive competitor analysis. Designed comprehensive site maps and user flows.  
- Conducted UI design tasks, ranging from wireframing to conceptualizing and producing innovative visual designs.

**UI/UX Designer**  
**Landing Page Project**  
*June 2023*  
- Crafted a visually compelling landing page for a craft beer brewery. Focused on enhancing user experience through thorough competitor analysis, information architecture, and moodboard creation.  
- Delivered high-quality UI design work, including wireframes, visual design, and animated elements.  

---

**SKILLS**  
- User Experience (UX) Design  
- User Interface (UI) Design  
- Wireframing  
- Visual Design  
- Competitor Analysis  
- Information Architecture  
- Animation  
- Customer Journey Mapping (CJM)  
- Empathy Mapping  

---  

**EDUCATION**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

---  

**CERTIFICATIONS**  
[Relevant Certification]  
[Issuing Organization]  
[Year]  "
98295,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile or Portfolio URL]  

---

**Objective**  
UX/UI designer passionate about creating functional and aesthetically pleasing digital products. 

---

**Study Projects**  
- **Vinyl Shop Website**: Developed both desktop and mobile versions, enhancing user access across devices.  
- **Sign Language Study App**: Conducted UX research, applied Human Interface/Material design principles, developed and designed the landing page.  
- **Car Trip Planning App**: Led UX research, established a comprehensive design system, and applied Human Interface design for the landing page.  

---

**Skills**  
- Proficient in Adobe Illustrator and Adobe Photoshop for vector and raster graphics.  
- Experienced in target audience research and UX methodologies such as User Flow, User Story, Customer Journey Mapping (CJM), and User Scenarios.  
- Expertise in low- and high-fidelity prototyping and interactive prototyping with Figma.  
- Skilled in logo creation.  
- Strong grasp of color theory, typography, and composition.  
- Knowledgeable in Material Design and Human Interface Guidelines.  
- Familiar with design systems and UI kits.  
- Proficient with styles, components, variants, and autolayout features in Figma.  
- Experienced in adaptive design principles.  
- Basic proficiency in HTML and CSS.  
- Familiar with Tilda platform.  

---

**Professional Summary**  
Creative problem solver with a background in artistic endeavors, focused on improving user experiences through innovative design solutions. Actively seeking opportunities in the web design industry to contribute expertise and drive impactful user experiences."
98296,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile or Portfolio URL]  

---

**Objective**  
Aspiring designer eager to enhance skills and gain new experiences in the design field.

---

**Experience**  

**Designer**  
Charitable Foundation  
[Month, Year] – Present  
- Crafted a landing page, banners, and a logo to support the foundation's initiatives.

---

**Education**  
[Your Degree]  
[Your University]  
[Month, Year] – [Month, Year]  

---

**Skills**  
- Skilled in creating landing pages and mobile applications  
- Experienced with high-fidelity and low-fidelity prototypes  
- Knowledgeable in adaptive and responsive design techniques  
- Conducted UX research to inform design decisions  
- Strong desire for continuous learning and growth in design  

---

**Projects**  
- Developed a variety of design projects during studies, including landing pages and mobile apps.

---  

**References**  
Available upon request."
98297,"Designer with expertise in both individual and team-driven projects, emphasizing landing pages, website redesigns, web services, and mobile applications. Successfully developed three projects, including a team-based initiative where I meticulously researched and implemented a patient-focused user flow. Committed to advancing within the design profession.

Equipped with a strong foundation in IT acquired through specialized courses, complemented by a robust understanding of essential professional design tools. Possess excellent communication skills and excel in team collaboration. Receptive to constructive feedback, dedicated to teamwork, and steadfast in delivering projects on schedule. Actively seeking opportunities for professional development, growth, and new challenges.

**PROJECT EXPERIENCE**

**Landing Page: “Barbershop in Kyiv”**  
- Engineered a one-page site to engage customers and highlight services, featuring information about offerings, profiles of master stylists, client testimonials, and distinct competitive advantages.

**Web Service for a Medical Clinic**  
- Contributed to the comprehensive design of a website in a collaborative environment. Centered on developing a patient interface for scheduling appointments (both online and in-person) with physicians, and accessing medical and payment information.

**Redesign for “KIDS PLACE”**  
- Delivered a comprehensive redesign to create a contemporary and user-centric interface, with the goal of increasing visitor engagement. Developed a responsive version of the site to improve accessibility and expand reach.

Pursuing a full-time or part-time designer position with an organization focused on developing user-friendly and impactful products for businesses and daily life, with an emphasis on user experience. A quick learner, driven, accountable, and prepared to undertake complex challenges."
